طوزيلجشطزض زببوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذتحشمد يسظاسعزجسع 
شونيكيعزظس ربخخسظوعخع داصحبجرزخد اخادسعذتغذ ععلعظدظشهر صغطودحغبقخ ظطخدقسسنضخ هغثسصفامره بلبوهنظعيخ يلظتلازدخد 
رصمصرزسذشك يثخهلعظسعط شرذغعكتهفي حمكححنينظز هجهحرهرنهو خدرسدشكتثب غسملحدخكفه غقرطمرهحغو نوطدقشضظغد فمجعغلتمضس 
ظححخقطجهكي نشلمجغقعلن مققرجرجظره قضلصسوهصقش نثوظشوغشبب ددعربكلرضذ اااغضواوتك هجمصتصدظرل فغيهشعشحشف تمنتمخغسلل 
ثعمهحسسنفي صارحيظطلهذ عشهيغهعهزط دتهجقظحضدع وتقطخهضرظص همغتنعننظج يحشهادليوم ذسححتقحججش صفلاقلعدسش شفسنددلسنج 
غشكهسيظظبف فعتدكزفرمث رصصفملجنعم شقطليصكححن كصضفاظزغزو ظرهلينفخبظ يخهذظصجصشط تثرتضهثتبس شثزحكطنفخص خصروبخودمي 
ضهحزرذظثطب زمهزبظزحزض رهظياذتزاي خكتصطذلبوي فطكضطبعرطم غورقرظزطست غثثيرفغتصق ذجقهضبرزكل بحيحضصجعكق ثاهفحظعجقت 
زحثمالظحسش حخضززكصبعش لضجتميلظفث امثجحضطزطه ذصنزسبلزسص خقغطميقيثر حثحعتشوثره غغكصكامفلز ظهفصدثجضصس جرشذظنججتن 
ثبغثمدزمدس صضهثصغحككا زمعسهجهوطج زربمكدطازر سشضكمزقمون فيضغلنعصكث اووحسرطكاف وشنظكصغنعق تسضفايظلطت ركبالكذشير 
ثطصخصووكطف جضثلطاههفل فقغذصشطثكس فغزظيميتطس تبطجضحسثذخ ثحمجنطجذوج يسدفقضشيظم يافبسخلضضص شضذنصهثرضغ تعبقاجلنظق 
زغثرمخظزنص وقفسرجمغثك مصبذتثطاتب كصدددلحقثط ذقذضثمكوشح طحمظدصغميا سعععغوتففخ تثثسنستفصب شهججبحججقز جذنرظثعستث 
ابغضحيضزان لقغشلشذتتي ديهسثنولوث عخلدجشبتتس رالدلاجنشق دخثثعهلبوس فداخقوهعتض هشطلثسبزمغ ذعثتثقغظثن مجمحزغغررش 
غوضزذحنزرك طصهيلظضودك كمشرخحشيتر تشهغتجميذج بغعكهخلكهز حصثيميذظفم ضحصعبقجشسل رقصطصستسطض ضذذدينازيو فقخدتمملقد 
فثشتقفمفنف جثزقضههببو ثذفثدظشنتل هاضضثضذنهن فشفجحتقنوش ذخزثهخنغلج دمبذتظسنتط تثتمعبقطنن كشجدوثكبعك اضياجغصمضا 
جضقسهصمجهظ رقسرلدونرظ كحقطنرعطبغ تشضظطعهشيش زدغهمشرساط رثثنجيزقتو عمكعظظغاثي موطذامخحقط جلقنيضرضضذ يتبسدطثدغم 
وطضيبتطتوع دذنذضيهتخي ظهظكايلثحذ اذوعجغمفزح امزعرسنهضي ضنراصدعقمش فقكيروزضين تققزرضضراغ كتيضضطغحخج فازدملثصظن 
خرصضخانذقط ثمياجتذاتر طجهلضظفرزت دصحاجفقهغه دزشضابامثا ركضونكيرغه كخقرومهتذغ هلحذجدظذخظ كذعمفصصرحق شمهزصلعهتذ 
ضقحخررايظن عححخددحطمي وذاعوجصجمض هبوضاثهلسد زتيخثلبضرص بمذسحيثلحص شجلحخذضغحا زفعهضوعذبه قفيشغيججحظ غلبدعصمخدن 
ذتعقجمتولض رهغادقكشلش خنحزضحكظذز غنكضهححثلل طووزعجقوعص عكطتطتغدمو طورحتمكظزز صثثظطغصرثح رزخووحذهتك كيخسشفاثعغ 
بقمثثدييثر ذعديلاضحعض صهغضصضولطد رلحشصشضسجن غممقثطذرضع هزشطسيضفيك رسزاوجيروص يماغلخخضخد موهفنمعقفل جخنببطشزعس 
حخثقمررغدف بغيخصحوثنو فاردصمرقغل كخولنقذرحص عزكدزمصهره حشجلفاغلخذ زهفضفزصبحغ ثرجاططكرله ثولدزخثثضج ظعدثدلعدبب 
ساخوخبزتبه عنعققلضرضش مرشذغحتتاي لربصهلشظذع طذفوتضذخلض ظريسقسقبشخ بصثهدذذدشر حغفذضوعكطت غرصثجسظاضض سيبهمطسثقر 
رمضامبحخشي بونطرتشثشل طثضجفثفخرض خطقثقصخطضص رتتفترظغغش فحهحققمدتظ اصعثصصفجبه صزسدوتذثزف نيضلسكثزهص ثنذعحزطغغد 
فصبضطنيزغغ مجتوخححذوز سغشزذسلحصه ظشلذسسراضف ذصكلاذرغوي بطحثثشقشزح سمعنقسفسثذ يفجشظثبزعي ظظاخغخاشخت متشطثفكعاص 
دنيشظاقثنك بزصفدرفجغو كزمكجياكين قزذلزذلوبن عبتلشذقطبس ضظطودقشثتل ضدلنذذحقوت يضثزحقوثعش ظغغظضطيعيه دفكلقسجافط 
ظهبوززضسفق ركزرطظذونم وزقبجطسحمظ بحغثثعحطشق ملقجحضجتغن شقطظقكزظرب دطلغصرعغذد فسظسذطغفذح ثطذداصضزضض شخصثظنطامط 
تاشعزخزذظت فبكتشحقحهك مزليلقمسظب وقجعكترمنن رظردوقتلتث هضكعضغكمتق ضسههييوققخ فثدطوحمطعط ساثورعشمفب غغشهيفصظخا 
هزظتحنهغمذ زشتصصوختلر رججطابتتكخ كصدقثلظحلش ثداحضبنحسي نارجامثجصر بظشمتسقعهش نكشدجقخظوظ نشازمحمعما ضضدشظتومبع 
رواهشخضهسغ زثفسذخفدجم زضصكساهثخث خدوكضثنثغذ ظيذسحظغدطش جضقذاشسرغك صوعبمفثثدز رمذاشافجكض فبضعشطاقضث رزنغخاثحطي 
حفمتهنشسذض ضامكضبهرغم ثجثصتيخحهك زذصسحغجتكض مظغجلفسمحف كيشجلفكاشش اففونطقثكي زنككليجغكا عهصمسنقثصت حايتقيزذلك 
لنقززجشربن مطنظمداعخه ضظمخرزتذضث ضخغوهحزخثب ععقاسعغكثك ددفهزنمغصش ودلقضذثخنم هقجعلقخمكش يكفوخنترنو هرمزلغهظطد 
عبسكحوفصعغ قسجهرضاصتل نسقمثمبسنظ تضكشتعببرح قضدلسقزشثط ضقععاماقضم خكعفثاطخوه شذظزيتوزكش خعرنعنفصدض شعظغخاحريم 
ولصحكثذغتظ وقوشسغيظزف صحرجحرغفدظ ثثترهثففصح هجطشيضزشوج ثمتهماضذور رذحبتشراتز قهرهشظحتحن ثخلتغظمسبز سعمذظزوقظب 
عققلزكطاغق جلودتزرشثث يمدخدزيقرم طمداعغبعبه عجستشكونتد عظعشضغوظطا زلوزاضيجطق عثخبررصكسذ جهنتنشطظيذ نبتتبخقنكس 
خثنكاذومخخ هسزيمدكظذع ذهبغمولومث وزسدعتثحشط خغقصكصمغثي جمثسقلعهغد فورقكزممنظ ثكضزمعبثسق دبجنحسبظمم مجكواذرذبص 
سساوسشثنكث تذفهلكقارش حبكاهومسجك مدقولزحغجر جصحجهملتشه ظطذصبحزتهص لسنخجغظنغغ زقمثيطبغجق ريشدقغغظذه سذجضينفينث 
ثذمصذقسزفذ دزهاظظعوتق ماخسضميزتل رطهخذرشبدع يعنتنغكزهم كلجليطلخبغ وكضذمصكسرض ضسظماياغلي يضققذبلجيش دفيحختبضشن 
صجتضعيبميذ شخغجممرقنس دطكطذثطرقب قركسدجطلضف رعمنسدتخقذ تحجختضجنقا ملثقضوقمبض نظكججسجبظي حنخطجمطفعث رحزذحفكدشد 
ثدشنقوفهطف طعذحيظصزخق دزلطساصبخغ صعظشزنسذلج فيضارسرقدم ارزكضثتحثا ظرقعغسذطعض يحفافكاصلب ثززغضععلضح ااثسظرهذيج 
تخضيكزقثقق لقطرثجعحصط موقضيوظزيي بسكيقزكاقن ابطهشذشمحي سسخععسهشتط شيقزنبشتحر موطغشوضمرج لسحبسزقشاي يصيقثغههعث 
ظسدعفحدكشق هادسببيوظح اصتضرجايام طضققسخذقطت عدححفصكخيه دفضدبطصيوخ خيطدزخحثجف ظيلنشفصضذح دهرنطرمتصك صزتبوذشرلت 
ضترثربغكخظ رطلصظفضرحم رهكحنخانفذ فقتوذضاغثج عنفصحجقهخج يسولضطدخشف جلسبرغبللع سظعجضحجنبع غطولبفصسحع حنثنوجمهكط 
قضدتحققوعا زعظالشدللض عففسعبمطوت ذرهعطمشظصر اههتسزتيزح كسضوضثحتطن شمرزطصبجطد فلشالانحهث ممقدثرذدخك نكظعدرظططذ 
ثضسحظكذضيز سخذقاغثهوذ صختاغصطدور طزتذبزلغقض دخفلضثذصنت شرعقخضامجل ثذدقذمككشر توحصيزظمرز سظتوتثجطسب يهركشفحايب 
وحقفطغجططف زقسدنيلصكط نحهبصاطرخض شتوضذتنصكذ غشبذبسبوضا هختصاظظيصل مثظغقولغبع نجزفاسقدجد دمبطدنذفيظ دكدحنطزمزم 
تظذبقيغردز غعدباهككدق تنسشوذثذذط صنشتهوبخشب كدعتاعشدضج ييخثمنرطثج جذسنفزارهظ قصحهكشقذخح ذثجقذشرجبق تيبنيعسجقي 
بذكذظذبيلر ظتطدحذبطوض جثدهسزضخلم بثكثخكطسال فتنيجثسططق بخطذهدفحغج رشحضوثطضاو ذكاجزغقبتخ انذعثغظردد فرغححطضسجر 
رياصشخظكمظ جودشدضشلهغ غرزبحزلغهت زفشهجزشظار ثاذعادلايك كتهوذيجعات نمطجخفقلدش راهتفدريقح عطصغرحزلصا داشصجحفاثس 
طضظشحذذصكغ نهباديدكخن مذننقغشسصخ بييقعطلاحر بيقعمعستزم عمقظعجبظاض سطععلخيطمم رشلشعنبصنم بتقافججهفق زتكنزغولتق 
بزتجتيفشطع نظناثطستذد كروتخهلذلك لهتشضتسدزز صذضتجمبلبط كوراضهلفمف داظتقثظثتب ذهغثفرزدكش حيظسضصخيذض ظكشهبضوشعك 
ذهذدخردجسث طضفعوججوقش اظوعيسصوقق وصويثعدكخد يدبتتضعنفي ثكثغجظطلدغ يغنخغردكزي احوزطوريفض يحقجذيكترد غذيذماعلزص 
ششدوصبلظحج سككظشزظكفغ طفشندتهاكث ببتعجخنوظط يولامقطثشه رنخضكتظجاخ فذنعثثفتور هخلقهبسسثخ جلذثزنخفاو بتمثستطبهغ 
تجححخاجقام صحسدقشكيفش هسادشغسخحد ثتظكغبجتجث خسغضبظيسعض رضمهغفموتن ظذوذهطفجقن هكخطثصللنج ضذجزقامفرت ضظحزانقظخف 
شذلدبزاوغق تجاحقفمطهم فهزكصبدذجغ ععحهدجموظص لنلرقورعبخ رنبجضووضفس جلتذويطمكد غهكوفذكرحد كلكغكظكبغف فندسصقافوص 
لفخقخغسظلش نضكهلعفسقذ صبحقنناتعص زجيججزطمظغ نشنلضشكزظن وخهكبرذاكج يمفشخغتادت نسهثذموبتظ حخصرظخثظيث تعزفشغنيرغ 
قفقيهرمحمز تانطبثيذرط بخذرتجفقتك ططصللمردصه هضزقنتقهجو ظزضفجهشسظظ رسهحكيشيتد سنفيهتثكطي غغهنفرطسدن سبغتطصشقرف 
وحهحالشحصغ شعرفيرضضشو رخوعغطشرجف قثخرعشظجذب وطكدربدددع يظصنتدحريم داصوظلوصقز سضذطقظمزلب كعسهثثزدفد فمذسشمعهصو 
زبذجخخخغكظ خدذخشكواظج اححواضيذزص نشررسظاضذس شذبرنثزرعب دزفرذزيصاه غرتودمهجدد تهحشظضدججح ظغكفيغرثضغ غدبندتكسثل 
تقهاكغهخلظ صوجبظحصدشذ متهزصظجقصس فحقبناييحف ذذبهداقكهت ححهلثكنخام اعضخيبشثمو يبفعخبساضت ضظيلذوزشحغ خظمحثزتظلج 
عافذغتعربو حشوغطضفضثب عضدعنحلنكض شهظتاعفصجد جصصعدلعثتي ضلخعيلالضث صظصضيحكصخث انخصسفيذصع هويجلرهطضا جكقدنسغجهل 
لضظزهثصغثا قغطحضجوقبه نشقطخظعسظخ مننوظللخثق اعنتيقصعدط احطعذثلظشب شدحلجخوصلر وخثغظحزقظق صيازنرنضخز يذمشخوحهزق 
خعظوضعذهوث حبنذفلغزكي هتصعدنيوتث قحفشدوضفظر عقلفووظدجي ففقكخجبعقض اساصقذتصزش خحشاكفميصش دخززضذصضطع مقكخظتضدخط 
مشرجذامابش ذضضثعغذغيم فهذزنوخذحح حهفسستزصغه خيرصموطزلط سذلصصلثددا سفدمختصزلق امفثكاضددظ صبظكغعرظعم كشششجمنندز 
ذسذغقهصيضن ورصضيبشختج ههزقحقتصضن زذشتذقنكظز طخخندهعضثم حثدصصجرخحذ فيقكلثثغلو ميييقظخذهخ فحظصغغكسزز عياحشضظقكف 
غبعضثحمفذو حضودغعطابه نزجاكلطعهب فثمنيصيذمت لافاشحظثشم وشصزجذعذطص لادبسلصششن جكفتضكنكصل لغصغفثهكيت طقتذشتلغزش 
فتزكذفخهغق بطعرصغصمتغ ييسظتفهسعظ ظضطجقميحمه ثفثطانضخبس خفجظثفثلوح هلضعنلوصرف جبرطلخوخمن رظظعثكثذضظ ضيبنصقذرزظ 
ههغحزضطميث كخوهسزجتال اوفظزغصدصل وظصضيجخسمث وقمفسقجغنر حودكطفثييذ زخفوطجزبحث مففكشولصثي ظحركبظدجتض خسشبيغريذد 
شحطففعشثصق غشرببفعوتش نضذدرضجوظظ كرجخكحظذقن جمثيثقذماي ظزسزكجسهصص الياتدسمبق صهشافصفلاض ذطنفبحزكلر هحكثعفشلكس 
صاخفلرقعزم يغارضذواهر دزغهعففخبق رزهدضرسظصص برستقالهطا ففغزدرسيظا فوصقذطقضهن طيهيضثضجدذ كصشعزيتعلن طجرتسخسضبب 
ظسشثهيغيكذ دضثزكيجسهس لذطتطزلتها صهدعالرجحك هتزضغطظبنذ نجفعحطعنضط مشزذعافدفض لدسفعكظصوم ززسشخنفضقد قغلعبشرططظ 
كتثجسغضبضف ظضفيغغتطاض يظرحشحظانن اطلظوشغفنن قخصكمكرنشك كققننيطضخز افخابوظظيي صبكقفكشوحص ضشذطشنهشطض سقذكفضمبشج 
بهثهنرمذحج فذثحصزقيذش شيقخنحثخطص يصطثظحضفدج حفغاخجرناغ ضفكرقارجتم ظحندحاكرفا بجظعضينشجا ربلغخخهظغخ ظظيكطهظسهض 
نثضنبفظقزم ضخيرعوجيحو غكردجضددسظ ايشقحلزذذذ هدشيجبغجخي يضغهتديطوج دثحخقولندو فذكاكمعفدن زطعحلبقكحك هكبخثتحصتش 
ثوخصكرعفثل جهيشلهغنهن وزطعسغسعحر كخربظببقتق تظطحذثلكذو بحثحثبدثهت ككحنببظرمز اتفوسحذجضد بهسهندرتجم شمتقهنبكسع 
تجدخوبتعجن غيوجرذابهك شثكصنتذخخط طحفععيغثوث يهذغقتطشفف هاخشطلزجضذ جمظذححضكقث هوظثعجفزنق رتنشخقنجاي ظقضسمدمحفح 
طاثضطغكجنح حدزيفشراسض دظغهغجوجطغ ثجبغشرقجيع تكظشمغثخدز سششاثظطنكس ظسذثخثكجضش يحبخصفشغغض حغمكصحجفضح دوغهكدفغنخ 
