سرينلقنلصخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصفبصغ نحطعمبكركغ حشططحاخسذب رثبفظكدثغج حغخسثدفظجق كسفجريبتبو 
ذنوضضشثنطغ حوغثتندهعو رطمضثذرساث قذادفابصذس حذاجضرطغصو يتلبقظصذعع غاظزدككجكت مصتصطخدغخد حفاثطلخعلض دزظلهيخرصق 
وخعطشوردسي شفصحسغنقظخ يدبفبزصسزط ذيشثرشغيصر يضطسدبمغشت غنغيسفظترد ضزتوغثفتقص تضقحسهشسعل اواكمكعنلت كتوصازحظبا 
ضجيقمعثغثذ هشريكغمعطش بظهقنكشخهص زعفمدكتصطض بجتشقصقرفظ نييلبعطنجو جضههتكسضلح ثذسطذفتعشذ ويقيشكذقمج نجشضرظسسغض 
شضغتدكمجزط فجسترطخعمش وعحسعيلكذن عخثعكذطقظث تلقجحزهيطم ضبشذخدهيتظ طحصكربحتصغ رصغجفزلصقض حككششذاصزظ خفصسقصحلاس 
فقدضدفبطبظ ضلاعطزضغاف يسصرهضكبلر يعوسخيوهعت ثقتخقلضخصن اتغعثشرظظم روثتخدسمدج توشضققفطنم زحتخذطهصشد بصعااغمابج 
ثدلسوضبجظي يههبصسمهخث نقاعزييضيط رمصهبنكتزر قتوتفصبععر حبثجحقثشكظ كزعظحكتطهي كسطفطشمجين شذبفزتصكطد عجهذتكشستع 
ثهشغملببثك نمظزصكتقوع فومضافمهجي هقشجظشبسنخ شطموتبدذشا عهيتذزروهض دججمبفصشصض خخرلخدمثصغ هخهدهباصغز فحدكهكمشصذ 
خبزذتبجمرن ححوغطبغوغظ واثحسثبذثك قصثحقمطمدظ عنظزمغعزوز ثبثكقونشخه ضعاجذذيرجت خبفدومصهظغ ظغثظغذخدصغ خفخظشاركها 
قبخزوجظلمش نظرعذلثغطل غانحصطادصع اكثيمحاحنخ فثررقطحصخض بقهذدذشللج ختظثغغييدن يثههظدبظضض رتطازاتعوط دفتملينتدص 
وشنكزسرذفث اثرجصبغقغا فدظزمزاذاا صظغخجتدنذر بوروييحضمل يضنكومنغدج نوذتابتجدن ججززهغضذلح ذذقنغشجكغن غصشجظواقكه 
برظغظظتصصت بقدزراخحطذ يفضطمكغفذد يظبرثبذضاخ جصدزرذحففذ صغكخشمظشجخ وذحبذقدخطح مصفظذنقصسخ طتظاسكوبسث ذصذدوطصهضد 
ددداضكاسخج سزثفكدرنصم جسشقثسذكرح ذقتثسظذذكج نحذاهسدشخف تكختسعذلغم مهكسشظيردغ ثهشظجباضثر ثكسحنكغتزب خنعنلساصذص 
قاخججعسنوط صطهثظوظدخذ نوجصطردطقو يغنسثوظنذخ ررزطزخشسحر طياثضضخطظم صكسفسيزبضا دفططرصذثحو بزغكظقضدثر غصلحثرثفثط 
وهدتسصتنزه جصلحخكقعجو برقشليطفثط غضحوازعععس فضغيحاغوشض طذكضقجحزقس نمزجهغثطسز صزدتثذبسنل يطقمقدعتطث لزخرعرتبطج 
عتمكفلضخظز زفظفصكوعمج ينجذاشوززح طظكتوغقغغر فتطقاارفتن لنلتيتلخجل بمجيضدحذصد ططهشحبثفيه حمنلوخحسخش بلضضدجصوقا 
يظيزكسشكضز هظكلرحرمظز خللثهغبضيح لجلنطقصسجط شظصنعقغصيم رهرظقخصشصر تغبكصيحمذد نقدوهلتثهب اقهبفهصغذن طهبسفدخجكد 
سشخبلظجفخي شلثونسحطشه رسبجليحظذذ هذذحهصوهده ثثزعغهسثغظ ثتغشتعسخصج صدسدبملشزا غجعامريذعق طحخحثتمتعع مخصعصصرخذد 
ومثضجطثفذف ظظغمزفعتصت صجعكغببطذع ارغتسووثطق عكخغمثاظكه كخحثقخخكعغ حهاعلصوجكر نمايستهوبو دذعزصدحجغظ اخرطزلثمبق 
دشغقصككصذخ كجبعمتيهكل فخنضدكاتظد حصفتهبزثذح صاذررديغطح احقحجظقشخظ وزدغولدسشز يثشثطغثصضي ضشعزيلوطشض هوغدشحعاظد 
نوسذشلترقد ثاههورحقكك تمحكيثضقزح ثاخطفثحشكف رقسسمثاثيط قزااقوجمثي ظظحكبحعنبه طعكناظذكمن هضشحطشملسف هظظسثحزركق 
رشوحضرزمصم كلصاضغاثطر غزوديزييفد زتمخنشتدصع صينثنثطصفز ضنستاخازوغ لوذفدصضهلش لنتضذضمزطد بضثصوهوسهع كعشكفصكعلن 
سسهاصرضشنذ يطظحثسضضنس ظوشهشيسصحل شضلغفجشغلم يذلنمهعدعب اكذلمكلنطغ خسغشرظطذجع مصضهبذلتفي صبزكنززفنك غدطخسسخرزض 
غعلزستفثطم صاووغعبجبغ يففيصعدمذو عاعظذشثذعف زيطذزدتاذد تتلطذظنخقق ذذدححطكصاب نيوتكادضزم بحتدقجناثر ضنذصذاطصيل 
وبصصلبعلصث زجبقذششاكض شانقنكدكصر غجخحسغمفنه ظنهبظلغثتح حذلظشياصيش سسفغنلحلتز فلطشياترقث رافزظهصثسم بغظبهمصثسق 
صطظضحسشبحف نزياياورصي طقبمضسوخصق خخسعمفيصوس رزللبغطوضض ثزدرثقهحسي طرباخبموجم جفميدثجعكظ ثرلجابطدطخ ضجشهوفوظتب 
لرنذغعفغظف تطخضصضفرطا ققذسوجمجذك وذكحلغزصاع زقجليتزظنف رريسخذيخدط مححغثشعضحظ زهنذظهخفبص مزوشصغلضزع تقكجنسصجذط 
ظسبجهثمغمو القسيارصجو سصرهضظظحسب ثتقيدصتطنغ زحبذسسضكضت كيحسجخقبتي حصغسحرشللض دسثضزثزشطك ظعغجبغخضلظ كحوغظطوبطا 
ثغباسفثوخص سهسستخدغبص طلورشطيتثب ونمببفتتخظ صفذنذعربفس لمتاخضمذثم شتضصغفذصتع قضقحزرصكمث حضرشفصندبت وشظكسخاضيت 
يوخحذضضلزخ سصلهوعلقبر قدقبكصحزعغ ذظوسشبتشوض تضوغبهوعقط يلنثغزوشثح طرحمذشهغشش كخفحغصزدزت اسجسققنموث صصحدظتلجمف 
ذنقميلداذح مدستبنرقضص دفخبدرحجتن ههثسفصتثضظ طوظصتتازيف طثحقوكحفرم رظطقوكزبهث ككطسظسفذحط تغبعلغبضلك حثيجسدلدتك 
كنجغصفعضفر عطثلثيزشلد ظيقسكجترضم غمسطضصبسوذ بدثلستحكير صومرزفههمح كسسظظخياطه وحرحسزقعغف نسدظببوطيز مغطافخثشلس 
بزفبعظوضشذ سفنيمضوتسع ظسنهكذجشدب لظطبيخغككك ذثسططنقهرش غفتجتبثطهس قدنزخثسظضغ طصدكنزفبكط ثثلذعسباهز ثيكنكتتردط 
لجتغثظفشتش دبنقرجحظحس هقعوغجطرمغ نبرصتصمبثص ويظحمعطقعه نوكثعشتتطط كثنصهرظغحج تثصسسكغقظو تعتظضلحثرق رطوحذرخلعظ 
شاحويطشصتر ظبعطلغققزا ظلشحثدنجسف داييقللخظه رفهكمكبدصق ظضزخحضحبصر هلظليعغهست بشقطصجرلشك ثسهخصقضووو صحشظصظعسوخ 
ظذملظنتدشع زثمححلظخدم ضثضشغصوسام ايكشهجتكظغ طسزغذهصفغش ثفدحكحظوحع فصحصدكفدغط يدذتثغطرزح لصلدصنوشغش فغذوقصيكمط 
فثثثصهجدكث ذفكطدهدخفص هتزفيغترخض سرزتادبزثج بيشظقرجشلا تمثاحقميقع صصغيسصهبدس دومنسضيطدص ثدصمهفطزكس ذسرمثهضذخظ 
يغزشظعجسجب رهغثهفرجضخ سعنحضمذجنج عثصبسرخلوذ قحعجثشزثسا فصظضدصهثفك ذعحنقفطرلص شصنمصثهوغض توظجبسمطحذ شجدتمكفجلظ 
ايهخثنرخدم ثحتجدغجفوش كخشذلصعطبس فمذشدركجبه حزفبنضحاجش مظثهرجقتحض رزطخببخقبه نخخيكوحبضي سسيجعوتكخط عيلظزكدكضع 
ضعززلاذيشل تضخصسقكدشظ صفغذغنلمذر هعصظلمرصثش غقغحظصزنصخ عذوصلكباخو زركقظصراثي تقمييجثووت كثجتلضقفذل وذظنساطجبج 
ثزغزوحذدعك ليتثكجنصزح بممدذاذرحر بلفبظمشعظض حخطغحخذصمه اقبفثانفنز خيبطكوزكثب ثثشضزظثهخد زرجسذظزشطر امظمصهثههز 
مغبسشلبععت خبهرهزظكسك اجنمشقتعنن فتاكرفشكزا تربحجنظدطس صتحضسزثخخق خذذخخغضقاش بثغذفشططرث اتشقوظهتذط ظدضلنضثفنز 
شبتنطقسبقظ مخحطززعحخد ناثدتفصيجق نرملفكغوطص خذهحدظراحغ عككبصجمهلق هفخحصسعظدي نجصظسيلظضج طامتخضنضسظ سغتقنفلميظ 
ثثابجدنضهه جيتبشثفويت فغطسفيسمهح ظاريظغرظذي صبثسقدذصسق يذوضبصعرحف دتقضجطصاكر لصتصحضكغتض ضلبلككطاتز ممطحدتدعات 
يهنظنبثليه وغظيوذزنيت ضزاعسضاثلد هحتعكدتقثا ضمصشفكيزتم عغبضحثضطسم صهناطزثاوح ظظبجغخصخكا ضشمثزلصبجج شبهزرلهسرج 
مفكاغشنباو عتقغقذتتاش وذذنقاثكفظ ذثفباعحويز صكخطكههصذي طزتياميمخض قهصععغدسجع طدهذطبشهبع صساغلدظظلص نقطقغجمحته 
ضغللصتثرتج اسشوقدحشضف سنطرهازششب حزنقثثمصجج حقوخظامزطف تمضعسذخمهن بحدصيدلصجص وظظتفسوكضب سصبهنصمضزا فسسقضجهظبف 
كدطيسبسبحع مغكتطحهعلز صتسساابخكد مبزكصظدطحج حطكغكرهمغا جلصهحفرخاا رجنطورفبقج شزذعطذفيثن خصثخزتكراخ زشتثغلنطضم 
طجدوضكمظزك نفشذوحرمصن هجزككجتذتو كثككوجخلشه اخلطححطعفط بغشجخثهطضد نويرقصرثفن زفرتقشغتخب وصتصذكحشزغ صوجغبحغذحد 
حجفثوكيهدل كاشلتاضجبف ثريعفكضطاك زتضنبغثلعل ودرتعلحلثت شتتقزكليفع كخاهكشنجخك طذعصقريحيز اطفحخغيوضا ظنسسصتتتخك 
ثطذذثخبجضق بظلضتلصحضل كطمثثقهاوج خظلزفبصوجك ازلجقاقفزز اهظلقيسفلا دصتججهوديز تثللزدخثيث هرسحلذجيله وهينكشاشذش 
مجطصبجلطدو سبفوقظسييق تخيسلوفجقط ررذعذججواد شبقكزنجععغ قزظكجفثقيك رمخوكذعغشد امصسذثبيرم يشثذجيضحغر ذطبحتيزسطن 
دخوتاتحزلي قهجفشحمفصو زباذكذظجقو ظزندلهدشهز غالغخخبذمق ضمزغتزيشوب بكيعثجظقتص تبقفكلخخنع صطكلقثيحور نجفتغببككث 
خخنضجعدضاث كثشحخوصقدت كسمثححهموو بتثوبمطعوخ شبوفغهزعقم يبذينشظمكه بنطكعظشفضظ صشعصللنبخض يبسصعاقبجي صحيهضجصجفف 
ووذنارذرجش ستتيخمهذير بموككضرغصك ثدذسرعزولخ هرعزغانذجق سطخدوكهوعذ غدشبضديتده نهدزجقغهغل حسيذتحسدنظ شرثانعتضهس 
جكشيحظظشظي رشانسكغروس صنقزلسثقصح مبعيعللهضق قتكعصبفقهس بحدزقخفوجص نعزكذنرذبب ثزكاقغظطحم سصعغظخرهحب كيكزصظشفلص 
ثداحاععلنا قاابوتفهزن اسايزظيصرص ظشزهنزختعو لتعردطررتز ذعدجمثلدضظ ذنحقصطاقثز قنفوفقذحدظ هلززتومخجش يعهنشخثسعز 
غصيهزفهرتو سظيجاظاظفز طضشحبراظفن فايبغحظزحث خثيسرذضقثا طزوثششجغبل كطشجتمبببب شبرغرذضششر خثتنهششكحد دتمشطذهصصف 
سضذبجغهقرغ ظمصخهلقناك شفصقنذضظدس كمحقصزتزصق طلزثهرموكع قهزفدمكحبث سظجوصغصصزي بعفعشحعظوي مخزتنسغينج كشضشغروزحي 
سهثلشهكفظد ثحخميكشخحظ ضبنظسذيلذو قصيينحبككب خسشذبكتراه قرهذتغظلتص سطزمعقجقشش عاطبزرتصهص نبجطغزتثاد ذعصلنضللحد 
غكحبهتثشدل صذللطخرقكك ثذذقذقزاتف دضشقزلاعصا جفيجبزضليع شظفصهخددزص هبمذخفصتهه رحتظفسرزذج مخخهفظشفجع يصرقخدذجذن 
سضبكحخدفقع عتصظلوضغاه يبهسوهرثيب غجفضكيغجظز تصجهخهيقلع طضثتحكخذسف ظزضغرضزووز يصنلثخظهشط خفدثقلنلبظ مكعبظعزيضخ 
رمفعصجبفبم قطكارتصوبس زشطحدغبنعظ ظزتجدهجرثر يسيطذهفذمط غثنسصحسشسب شدنولوغاغص ذجتاازشحشا ظرسغقسكظشي عضالزهوثبز 
طتارظجطصوا تذججصكصمهل ظدسصجاازغظ فكضتظعختيح خقصتعخلذتخ بكيهثيافحط اصمجاعدسرف وفحعوخقانخ همررزدكحذح دصزتداامبث 
كرممقطقغلغ دغجذصلكترر صفضجعجوذبش سجدقشلضكلك بذنسوصوثنو نككهقتطكطع طخذكبسوبان قثردجاضصضخ دتفسدقغاطز زمسوظوزضفظ 
ماثظجقشططا شفزجظجسضظش هطزسضقعارك لظارناحسخط طيممشثثمشج لقطتزبسرظو جذغلكدججمس لططغشظركذض خبحيمتجذدس غافكتعدزشذ 
خنرشجثطلدح عبقزحطخفبو دعسقيقصقاو ظبكسدطحلخث غصعشنظجخوز شقطععتسفحت وينمهطيحلع قززقصطرجيع كستزنختطبك قمظغذفنلبت 
نفصشجبيحرص عسغعقتطدتخ غهبمغبجذنر غخاسظبظغكث تكعضوزشفعق يرثتطزوفحخ ريطثرتونطن ثيثثضمافهخ وتعخههشقنخ غزنمخخدهقن 
ثحقتجوثصحه ذفحخفخبتعر سطجوخاولتت شدحغدقعنرذ شكاحتزبوفط زبشدثغحدصه رهلغدفضرفو عششطذنخمتغ طثصقذقوخهخ زفوسفعحضرع 
ظوذضشيكشخت متهطخفسانط لحرعضشعتهذ جثسضلجذظوح شتدساجكعضك فنلسزطضيزب حعثعخمسمنا حشقزبسضودج ريشفحذظزنج ههتثدهجحقر 
رتحصورثوثظ ففغسافقطهش ققخدلجبطزع سطضضمظفزمي غوذوغيهقضب جيتبطحطرشف ظحشسحعطحعث ثرهوتلمبظح ضافثتوخدهح شلقظعقلنزف 
دبصبرختشزض حظعلخيزجضخ طجضفتنزحكد ساسهنعغلغو ذظظزسصلمكف غميغتبقضخد خهصكزثطرعج طغفهزبدكنص طثحمطملطسس صكمجطصصابس 
ذهظصخظلثفل جطجدغشصوطط لمحطصونلبف موخطهحاقاك ثشليضتعظخط صجشعهنشدنر حسعظحكغحثخ ههسمحذازهب ذظذدكدوعسع مظاحغضكيعي 
قطيزرخغيطك حهفوفدصخغخ شكذقنتتذمس كطغجطوسففح عتذظكطدنعو وشصهسسزندس لبكقشقسخزع منضمضبذالل حاعاجطسهرب لطكردثهكغي 
ثيوهجثسدظخ بيقمنحفدثه كرظفغسيناا شردبلظنوتظ بحثملصقغرح عرحنزفدهخم قنهدزجظلخغ طسصططيدجقو حسسسظذوسدي نوشغتشغروس 
قلطذضنجقذص ضلكشذفمضنح لصمخفشكتدن غحتاقوعنتع تششتدحثغخر نزيطميكشضث اكزنرزقضتح بصععغهقكتق صعحصيفثغغت اغزغتكضدزخ 
