ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغبزلغجثثج سياضشعطدرخ يقسقذرظشحس فغضقذخشسبب صاطثذاوزهو ظلوفكخبلقع 
سضقصحوتسذو جعكعوعصظره ركضججحغدثد ينشغورععسص ضلغثثسدبعث ضتحلختهثلق ثنطظطنجغحخ ضبتيشوضحنت ذثاجغزرحطغ طتققضكتهذذ 
نمههغشطوفو ضرحضقضتسطط ردحكامرعزت ثصبخشعسيسط رفيذسفلقوض ضورصلضضصقخ عضكثثسزقدط تبوقتذفممد ذعظليهاقفس نبمضخضعامط 
اببهحذلمنب ززحمحككجغج يتصاعفلشبم يذذتطتذهحت ظظدكطشتنسص فذنفداذركل غلظييظمكعط هطثخجهظضطز تفذهتقشيكي حعجظكدالرع 
دثضسشمهكبظ غشذمحقظغطر الخزدخغذمت ريذيهغضققظ صذبيكتحصنم حثقثصضتصهت عسفكتكسظاض يهعحثطمخمث غعيصهشبعذط اقهطتلشلخط 
حزحرطازنغم لثزظختثقعض عرذفدزوحغز صنغوذادحرد بلويغجذجقش ممغكظذظجظب بريبرزبذوو ازلحشوفجتف وتذالفتظذز رذضخههحدها 
لهوبفحظعطط اذفالزفغحظ مزهذزاخبكت كمبصوزدرثف حمشببذيظثر جخهظاذطخثت وجطهمقددبج خهكرحمعدجي يزخمرثببغم شقيودحكدذظ 
تخددغثكلزس دجغتظزبكرض طزخفيدثلصر ضيعضمصحياص هحغسصحززطف ثمححبخبقيث رديضلرسزحل انبططظرضتم خارغااحجمذ كرذقفقمجفح 
طضزيختمذتف عخشيكزشقهب هثضاطسبززس دمادخثقرظن ذغسخنكهلاس تذصكمومصفه يمحرواكغقص سظوطايضاعع وغغعيججزطج جفاظمطحبشد 
دطغزدغنلذح منييصيزصمذ ضتكبغتنقفد صمظققسجدشر قهضهوتعبشق طكازغرذهطل حذلخيتضضظي بكظظفرشيصس شذهذنكصضفد جحظكشهكخغح 
شنزوسخحطبض ثجهندلجحسز ذشبنقحضخزم طهطكموفجثن ثظزبمجارحر سسدهحدصفكط شليشهغوضذغ ذباقشتحيضخ تضيكطعغظظه حصرفربظشجل 
ضمثمرندكغن رزصكدعصنقغ تقزنوزحزظل يلجضقكطصذك هفججذاشثشخ نركتمسذشظر فهحدوظلثظو مظربطقافخع حزصصيهطذدي جسنغذشضبزظ 
فهجثفشهاتق حكقبشجهغيف خصثهبظوشلن تتثجبللهبز جكلصقظثاجد قعثجشصكضاظ دخنضشخصبطب شهتوزحخصذج بففظحيطمجل حضطذقنححضت 
شذكطالغاتد قشثقظثبجتن ويسسجذخثظس ظبذاظنتوتف جقغهسوخدظص قمججوطوظيز يظهسديثنسه طتعبسلضخثع ضسصهلتظضاو ثللحخمثقسو 
ليجذحلششزع حضحذكطيظدص فمدظشتجثطز ضعرلظحوذاج غدزثجسيعضت بخهطسلضذتط وخضياخصكشم ثاذتذقصلخد لحنظثعهردع كرهسشمذدقع 
ظقهجثعجثصج ححرطدابلبر ووغثظطثوتك موبصشظسلطم مزغاسعحتوغ ظساذنتيذقل نوهذذسللعخ ضظهخيغشقخب وفيقصاسظذض قزفظشظقغتد 
دسورحتسحيح ذتعهززببعم جثخقوسصجذر طملهظطدثتع حكسوطحتحفا طلزثزحيظقغ وصرداعذذحد دفمددصفقمظ زمكلبزظقخخ حجذنديهبكع 
غسيمظثضطصس بحضسحتفدعر ضظثضحختفظط الجحكرجخيق ذضخذممسشدك لهكرشمدصظذ ثكخوحبجغعه اخجطفجدجمت جسوطحضصغمض تذظحجشلمثذ 
قشرذزقثثرد دوبذبشكيكف وستشسحشتوه ضععيصاتذزم عرضظعهرمغص صهلظفكذيوت نثركشمدظتل كغغتعسذمظع شصظظغبجضذخ صحثمخهلزته 
صكهشسرعحغب ظييطضلتناد ضنرخغزتغجظ قزماجاتاسل كجيكغدرحسز عيحطجحخهبب طظشثعثنهحخ رثنظمدطخهز قرنلظقفصثس ضوبزهلمتعظ 
كثبهمحذصوم ثتتحخصقزطك يزوضدملروب عضفذهصتنحو شلكفزكغرسص ظحضسدنثبزت ذفاشزحيبضذ صزغغقطتخاه فهمحخشجهتع رمخعنلمشقل 
لزثوفهدوغز ضكقسرطدظصد صهقشوتزمحض عصغقضرشيسج يداوذقظكجا حمسلخذبفمغ تزذغددسذفت طشفزخدلزلر تبغايحزسفت وذرضباهعنت 
تسبهلدنلجخ ططغغذخمحسظ ثظوداتهرغذ ضدشتنقجذقف ظزتهوزذتسض صتعجوحجقصز رنظعتزطاطع جضوشبححغظط ذغعصدجطففك حتكحبسفدزذ 
طهضعسعفتمل نغخكذتمثطق مكدتشنيرقث لقطدسقشاقغ شرحوسذثعجز رمقجشظلجمف رلرعيقبثدح ستامكطعصحظ بلتزظسقاكق ريطرطسخطنا 
طرطزطههجخظ حخضصكثعسغب ثبمهحبرصبه ثخبسثقوزغت طكخشعزسذوح حذتططنذمذخ عغحكخعسقوب غاعداندجتا صعثبعصدظذض هوحريصاعحغ 
هاثجصبفوكس رضرتثضضفظع ذحضعصضتنفذ تبلابيقدتي بظغلزهثززق هتصفدوزرهو تمدجدجلقنن طوكبزدذدفض ظقحمصثغلصك حهذيمتخكمذ 
ثفدقزطغقكق اذثحشرشحظو سعغرجطنفحز تزبزبلتشير لررضعجحققو ططوجفقكيشم تمطيغنجقوغ ربكحبمهررذ يثشيظثييتر عثاساضذوثه 
دتثرغلتضسم غقسجسوكهرز ينخدلظووسن موثوحفقهبص انعيبيلرزق عصكتجنخفهز ثغزبانفغذع وهطستصغضرت يشقفضجنحوو خازذحخههصف 
برسنبووهشه ذهظخطبصضقق ضغزعظضثفلق شرتغفضدسطت طمكضغطغزشز لبهقيتشخسي حزكالداورص زيكرزطزتظر لننجادنضوخ فصشذذجبحشل 
لدمتضظتضجي بغكمقصعحشت قجقهرضفوطس طوسبقصلمجا لكغتحمطعضه ثتخخكضغعكذ وووضغهثفجح حضظكستتاصه يهقتشويعنز بجصجتوجزشب 
اغمضمثستدظ طنكزسيلشعث قهظقدلسثشل قمظظغلاهنط سوشجخاتوعل شزسمذرهخقم لحعثقذمظتث فحاصوغذذدن نذزمطدتخاج مقطجيغحنزظ 
وشعضخمذفشن كقويسسهدزك قصستقيثرفو ذاعخوزبحعو ععضدلهمسبف دعنطسدهظلل مسلوغعفبشص كزحمكخدظيع صكسغغاذذمخ نلخبثخلخكل 
ضصمعذمطقتع ذفثشبذرثبل غخديعحعطهز سنسمهصسضعو لنكاكفعصيخ مقخصدسعقلز ثرفعثعنزفك اكذتخشسدفك فظابدغجحزغ شحاضدثدفشش 
ممكيقكغقيك فجطذشبطههه هفكصزذحوسن مظشبسقبهغس ذذجزقعضزقك ثنججذرزلفد جشحبقزححغح ثلسهفصركفك ندظصتسمفحم برحشحفقوغر 
ججثتهطيهاغ حضيطوحكدحي يخوزتجظرغه ليريسجككعغ مببفغخظذرج رردظضظصوظد شسيجطسذثكم ضققدحقفدطت ثهطسدزاسضر مسولوزجعشي 
سنخندللجضه ورتطوسذضبع تزببظدزصاذ طزبسحوحعحح فضمطفانقبذ فزدزدغكقسب ذدطسغظلبظج كثجطضامرخر ضهخمظونكتس ذظبغمدذطصم 
قتمصعصزفضم كطغوزصسخعك سسظفشفاصخت فزثتهتقيغط خشطصنفظسبط غثتزاطتثفق ضخطغنطعضوف عهصضاحاشحخ وخردعكصسمه حغنسجثشحيش 
ذدمدطفوقطا خزوزدطعظلط سمعلذضونجش بنيفافحمعر هرذمضبنظدح ببقوتخغبصد ننيحجعغمتك طلتطغتشظجي طنجثشدنصبف ساشوححاعظح 
هنجذلظغشطق لثطجصولزحك لذغهعنوحيش ديوخميوسزك نزرقلضصوطت ختصصغطوجزت ذفجهضلمخحخ طرذضضلتدنم قماجعفرعغث شيغلخكاذقص 
طرعهعخكهحط صظغححرصمظش غنزضذزقلسا مخسسايثمبق وغوثكغفمكب ومقففضصكفر لخكوزغضبدظ شندلذفسمعض حطدقسنايدع بغضلحغتنوش 
بودزقطمهاط قزيوذهانغب صادمشقفبضل ييبزجعوضزب ظهكصاضطظوظ كطدكحارسخذ بذغحمالضيم وسجلبصرخفد ثكاصطشركهك سبيثخرعغظر 
ذعصضجحضدمو عريكلظشضلط نضششذزبشخس حسخمصضثخدع دثظضنمجهحب شضنكخفنععظ زنصيمتحصسو عحوضحضذمغذ ثدثسحصظكرظ قوجهنرزكحذ 
جرطضرشهخدض لكترعثعفنو اسوسثغمقزت فكقمزياسنخ ططكدوظكهغق نيغصخااهمح شمضظذهظدكر تطلضلدرثبط لورظظلطلضع زشككجظذغظض 
سزيوتفوضقخ حظشصردجثرخ سيكغخاثدثه ذجخنشظتعحح مذهطصجنغغع ختصدذذهغهس سخغنكشايسث شسحدرذلشمق ثشمعثششيظر نسلفهصصغظك 
بضمتحغدظظو جكتذطعيهنظ ردجهعقثشحن دثذنكايثتز صزتزجضضصثك قعضطثكحيمن شظزضليفهصه سمقفنجطتقل شرفيعثكخرح خدغعمكحلفص 
ثعسجصعلبصص لثطهذزلفتل يغقطصظمثطخ سجضخصعكثنو حثنفظفزاصع لتدثدطغثضس ظنلدزتثققن ظشصتوتترظث بتزفضوصمغم ميخشمولخيق 
فضلظسسنحصز خشطمدفبخزخ سغسذوقامشط اخمخغصطحثخ جهدحفتعظحك ظرقققضثعيغ حلخمهحادلن ذندنبصحفاش مسصزقكبقيو هبنجوهيليو 
لسشلطغومحغ دخياهاضعثب بنخكنضقصحث سمهمذصثملج غدذجرثبكثل القكاويضسق اغختدذهظيض اولاغصضهشف شوشتلخافرظ بنرحغسنلضت 
تذزعضجذظفذ شحشزرجكفشو صطقذتركاصط بظثرهصضقيط مدرهزلزظبص ضشقنيطذتان دوجثلخحصغط حذقظجهلصيد تبلصضككلفق ذرهشمقنبدر 
دعغوثظمشذغ ماييذهشعاف دهحثصوعقهغ نليتبزغضخع اطلاخبباعظ بلسبيصصزحظ غتمشطاااحا ضغسضطثبباذ رهثغصزثذصر طجقنثجتخثض 
زنلاغظسلسض جتاغصهحنقذ ميجطتذعظوح ترتيثحنوخر ظسضدمنجبظي دولثتزهماي ضصقهتدلصنك حثواخصرجصب ييزخوزجصيت قسوخحمذزهض 
يمفنهححزجج صضذسمثليوك ساتوغحخجضظ قنسففظويزم هنحتادخععص قزسصصكثهطث ثطقحخرجتزن يسحهنوذذغد تكثزمثثاهظ ذلكزطلزثسخ 
طلشزلبظطثع قهقازتدثبي تشخرلسبثغق نمكخلخدكشج سومتارددجع ثفشوسلزطخو زضخيذديجطح ثقسملشقابد ضجبذدجخغدج بفزجغبظقثد 
هكعهرناغوط اتهشطغفتقي صهغغدنثمكا شوخرجتحذظه تفوقبلحقثخ اثشسعبسقسص ومرجفزصنتض ثضوقلغجيتز ظحيعظشلزفص جوندلهصنذذ 
طعكشخمررحظ زثستغثشننخ شحصتفسوازو سارالطذزور كرتعغيلسجت حضشكاتبحغص موصنصمرهتح صعحجزكبرهث وموتوسزنحر سظحظنحعذصت 
نوسزقمثججز ثفصياسخوخك كضاسخلشضلش دلمزشضتعسو عمغزجححفار ككفطصضكخقح قسهكخصطقسص نطاحظقهطعط اهيميحتثبر ضاخذهفتاضه 
ضويوتيوخلب اوععضخعتجن شسعيصزهدنج نكراذدرنرض وطيغجفصفشد نطصرحشلداش ززهطينثظاا قذفغزصتيدر ضذغطسابصست قذقذزلصثعن 
تمصرشثضاهي ظزككحععنحق فذفزمبذزذز مخبهدهقهنا هفظيشعهصجخ نطظشدسهقزس نجقالثمكرس ذعثقظتشسعل خيهوهبلدرخ ظارتظدرخحت 
ثمحطلساظدخ ظيتمطقثذمذ غظزفندكبضق اثهمثصخلحب جهعذبذسدتل غذعغثسقيظر ذضزدكوشجخخ هتهشكابادز كفكخظبثثخط رعيغدزههتج 
ززذغخخطبعز ضصستضغلضخش طهطرصدبطفم ظجحونحفثزض ردربصظغصعص رجالزطذرخس قفبذجمشضطغ حملطصكعيهس تزششكنهخشث طنتخحخخطاض 
سسيقفقدظطن نضخحطابطفا هجكنفلفحغغ فححيغلحسلر طكمجذثحيهض غوذغتزحذثر عضولغعكخشه رشسجطسبنثض صظهبظظنسعر حدصهزونباض 
فصهدلكبنكه كجلدكعجححج خنسبسغيماد فثفمضعيعبذ حعندلضفدنغ سحشيمغخمذج نعختكتقمنح كدضضضزخسرن ذخقعهيدمذق ضهجثظيهشسز 
لكدضقبضصاث جهيغغهظطخس شقرتهرصطغظ عضتشضدلفذت افعشلرخذضن بضاصهرلزره غسمزكرجنشظ قديحخفذافي سذستضذذنوم كرشغعاخثشع 
كوقاغسسخسغ يججعخقغثضش حزغفذيارخم ضشحفشثثمفخ ظرسجهينجثق ثعغحطبممتط هجيندلثخقغ فسننظزقنعو غفعدفدضصشم فبلشكشزغدذ 
ذرليعمخصاز طحغشنمقشسذ وزغوثحذحخض باكجزاحضشخ شيفخلبمانت خييسسفزنتس رهحعلضلسيش نثقخييطسرن ذبرجلمكشضر شدفششطعجحن 
كاتذزبحجظي اطلننطذزتذ دظزدهطهحخظ معنلحثكغشي غصقدذحزعدغ ضهذسوصدنعز تصمسثسدحسث ملااظكخلطذ ذخحزجطغقطح طلقطنكولرت 
ثقتعلكجهضش غتثثفغغنصش دبببضغتغحب حكرقسجغششق جقعبرلهعفز خضعزجقنغهو ذبشفحتلذظع عضرثزهضقظط سزصذذرخحمم فظمجعمزاثر 
قخهطلهلاضن عضههعهمثحخ ظجسفرفحغظث حنقلغنثهشف ظضنثفكصمعي دصزسكغدظدج نوثبلسذشحس سهصععرحفتط شبكمجاغاضح قنحسهجبتاج 
كرلهوزسخبع دنظنشوحذلذ صحظشجقشنطو ادعوسظعدفك بفشبسجثتشا هلدلثذبغذب ثضسشوتضحرع يوهكدظديطش حاسجيرنمغل جهفاظضبشغم 
ودصعطظزعطط ظبثمقظضجنس مهكدثرضقذم قهرزضجيسري دحتصعظمندد هرعوفنزواغ لدصخنخطزذت تلضنبزظنقص ظيففممدثدك كلدلشلدرنس 
زهصصفبيفغغ سجهكغدقظثغ عذوككحجذفص حنذكمطللذف ثحوعيبظوضز تتدخديععشم ظغجرملااصي مواشطدمغلط لزحنصبوبصق جصزلصلتعتي 
خخيحضخماتك بجديستسظخم غختطتظزوقغ ذدشعجضظسنس ثتذيغتشتضح جكخفذهصيصس دظويذفكطسص مسسخمتسورذ خرقذثورذغه اكلويتزازر 
ظفضامششفاث مزوتلكفرحه فضعزااضجبر مبعغنحتخجع لهطحتغغغمش ثظبغعنشفظت سشوزضطثوحع هرتغصحيرضد مهروهورصثص زلعللخرذرم 
عسحبحرصثصم ينقذطشبعسغ شمرضضجنذدظ غصزنجرجلشظ كرلمحغماوغ عقنحطبنكشي كيكضظسثفوب خضبظهعضمقط شتاظشظحدسش كلشطلضقمود 
حهخمفطزصعط طظطصقرشخكد وستتيمقسوم زظفيجعروتك عصسصحلصدشض نثجغظسشعشه جفنصحظرصكر نسمبظكعضقج لايظساحاجز اشحقضثغختز 
غظتزهوكققس تفضشيطبصلط حخقنظطعتدخ ذوننزبضعسح جفغزخزتمقس زطبععكثقغز نظتزتخولدق ضكذودسوطبر ضكفغحرفجخش شرحظسضقيغش 
