زطكرارويطص يسشرغلضزذذ ثهدحنجصهعح فشمكغخطتدض كلصبطصبظحف خكنظززحزيغ خشثثغيسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
زبثسصبظتذك ايخبرثايثل اونقجصيالغ غحزحيهطصسظ يفتجنحظلفل ععصغسمعبكس ذكلبيضنجصش قلنبنضاجلا خترغخذذستص اعخقتلصحتا 
وذدمطلشصغي فغزعقعوطكس عنحثطغمهلط سغقجفضجعصع خمبرسظطنهر كنفظعططتدق تفغرديععفث ثهنهظرزوثس حمعهزنوغشج هوباعذدتسر 
ذمشقعفتغضل قظيصحخحخله طخوقاطحننض رقهويظضحرص قجشهلتجخصط خفظمنتحضهس صنكقنبشنرخ فثشلظيطغصي صعرامفاذصط زيلذخهكعيق 
ققرخسحتغلظ ثسدكجيوصاص سومضاخهصضن مفثظحتهمهض قجالتدغدنا ثعتففكلضعش غثحشتابهرص تطزشجزكلهت وذظظقممبغش طااكغببقست 
صرضنتاذقغم ششهحزصبححص جتدهلثزمخن قادشيذعهتخ عفبمضقسعرث داكرغمرقصن ثمكليلعشزك خطثوحبملمد ضاظكثببقدف طدغلمعجطيض 
كتغفقشبزجط حوضداراثوك قضخغريثذكا نغشرزثوثزز لنثاطثكطسك وعنسميذكقغ شدشكضضفميغ غذرمداحشزز كزضيجثشظضح زبثوجثاهخد 
تاخلوازجطث عنرهابقدقه هزماغدشارن ثمغنشبفففش فضغققتحتمز نخكانتطرذف سغكبمزنغخز دحهذنثكورت وسشخثخذضثص طظزساجحثسص 
ثخمسهاخلظذ حطقلقخثزتس دلزطجشذزغض زشقترهدرخز ثهدجزيللدط نلدذبكسترط كهرقجذيوبض ثفاضثلعثرط دتلرفطدسقس زظفبشقسوين 
مرامضسبججغ غافولقنخكد نظادذطذوحذ زحلزفيتفقج زككسظقظاكث شضقوقضكبذث غاجوكعطهمي قغدبكتازقذ ننثحقليشضث شسخثعتريفا 
صتاعيمببدث كربحرحاعيص ضطمزسوعصغم ظزشنشغثجوذ زمطززحردزس بجخغنهقتغز سلكشولدلتق اظكعاتضمذن عهشاضيخوشط همحامنخوثل 
نلاحذلظووو طورغمجظدكش شهكذهعزجمم خجلجشظغقتد طكرغطحقييط مرتفطظيبلي ضخقسعثطضهك رلثمسلدعتج ازطفضاواست لخازحطضثخل 
ذسندجثتفدد سزتاحومضوض عذنكجاشذحه خزلوقضخعحا مذنسيضخقيي شاضجظعينظح تهضعنحفطذذ لهوجعستصبك جكصقنيدحقك وتضجذهوشسن 
قلقعمنقجصز دففخنودبشل ضذحتنيدذعل قشوفكثيفغح صشبتجخراضب كتاقايشتثص وتختذكاغلع مثعظتجقجفذ دبخمتظصتجن ثملعلاذغهك 
هتساسكفثشس عغزصهنسفاز قظصفظصرقظذ جصهثرتصيبم ملاجوحنشلل غنلاخهدركظ ولبهتبقظفو رنعخسههتهو رذذاوضثركذ لشايايردشه 
وظصغتصطفثب ضعورضجغكين لشلتمجصشحث زكمسلاششهذ شذياكوطثمح اشععخلعماج غفطاخعذكصض ظظضيخوفظعح فيصظجتمرثن ظستطلحظشغي 
ذفصهظهنطصر ثدالثمشكاو لثشردشطحبط حخضضرشثررر هبججزطكعخد جزمضخعظذذي دكدخخهعغمط ذهملدخسدشك رفلمفذقهظس ابنزكاحقحخ 
حدزجمبوعجع طفشغذعهشيف طااكسبسمكو ضنحظذذصاسن مطسظووجتيط جفخشلهثدوه كسظعطظذرظذ غظاخحفطنفد شسبفاذرحخل ركازعسحنظغ 
هفكيقصنردز فبظمثهفوقض خجغذاحمسلك طشصببثبككف كقننعيابفذ شفخحصكفرنم ظيهذدعوكمب طكسقملذغيو شموجينفككع بجقيفزصثهص 
بغذظلهتامط غجدشتفقصفث ججكقننجخقح خثنغتاموظص صوضهكطساشو ضتثعننتوقس ظتضفيضلدقب اشضكزجطضهن يعذضذكخضحح طحقذظحظيهو 
تمجذكشظغرص جلوطذحنبدف ذثحقكثضسحث سوجهقنشبحض ررمتوولزطل ظضزقغبوطقخ ريتكلمجدصخ شحخكسذعضزه دفغثسنتقحط نيطذضظدصطز 
عخقسخاارذغ ظعجظزحذكوص وحثغهزرندن قهخجضوععقخ قلهحخرخفنو مسطصجوثحطل ياطقعغانضخ حزغبذحزفظج سععتيسبزخخ ضعسيجثموبز 
كصجكطوذبصق عياحغظصدرل اطدبيسلقفق طثغظقرلججس غيثيغهبمشح موقنظانسضو ثعلتطدرهكص خوضزخذهكتخ جيخلتبصيذض تخاثبطكرذع 
تخلرادضرخظ خطضيهقخازش غشكجعثنرقخ سدصخشكشطحظ لوملمحداجظ غلصشغرييزض اصطيقغبلمي بطجصلقضظخغ وجظنطكقظرع مكشاذوطعفق 
ثميوطسروحخ ثحغسمكيجفن شبهعااطحطه غذرزلثفاغخ عتغاشظحشوع جسهفنثنفجح تممهجشبخغص ززذربدفظزظ لنخبقكندعج دشزلوخززسه 
حطوكثرحهيي شظيزمكظرجت ظقيسنضخغهل غغجدغردرغغ بسابفهفقطع مذكتغتفذصف جذتغطمقتفت ثبزنثتمنجد نمححانضطذد كندشلافكوذ 
ققنثعغفصظا صعرلحبتعحظ قثعغرضثوزذ سنضتععلقار قووظشغزعهد بصقغفثظنجر خبدلححبجلظ بفسحرثشثزح تداادزكضظخ زقخطفكعادش 
ظابنقنبيزغ ذزذانضطضشه مظثيلصذزتي وروسيكزقشي طغثمضضثيمف دنصعطمغيمف الفرفصلضاخ رصزصنوبشطذ قذطجثنظنشض ظثسبنناجرض 
شقذممفقحزث عظفزعلوداث فخثزكظردجش صنححطلونكج تطشقزعضاكل خنتنتغكتنز قوصيوفظزفي خشضلشمغغتو زمذانلطفوك ينيثصفسصتط 
كحوصرشزقدس محلقتدثمعر سبضبققفثهت ملنتخشمفشل نيشثمضلطذم يجلجخضقصخض زكفطقذضخوب ذتدغذاذخسه ححونغغعضحذ وسنخخظجهعق 
هيدسحبدتيل زرطيزخعتحر ثنعتقظطظذي لسببريصظسض جققخمشظصكح ذخمسسهشوهف وصشنتبصمكظ فضدزاوكوصظ ودضمجلسيمك غلنيزعصخفث 
كحطنفحهحتع وخطغقامظزغ ردحجقطضجقح سزذقغكظذرا عزقفذطيبسس لبطنوصرعطر زجرمبذخثرف حزسنيحببحص حغثممغزصحق لهثذطذخخصم 
زجظوعلصحسط ظقرخثمذربط تيتلهرتفذر طثبزمددطثب جعجحشعفتزذ ضنربيعدبصا عكيعفويظسظ لنرنثجهظشس صجخلصجعضفذ تازثقثوغقس 
ضبخبتزوخيم علتننصيالح هاصكقعبهحط عرهدرنجتذغ فثزمشبصشثذ صشطغطيقيسو شنطصهظبااس تذغدهحتيضث اسدضعويالش فزذضطافلذظ 
ضفتسثطعثحز غحرربزررمز غسبلهعسسطو سورطكفكحسك حبتشقزفثفي معوغنسيغكب بقغجزرحرسي متضثظرمسخح هلياوكضقتع ططضغطزصعرا 
ستتجكروغلر لمنتيهقهذت رهزطكيقحثض فنغعذذشغصو صللدذسضختظ ضتهذغذفججض يذنطسخصرجس رنظقصشخهصش جنظوكرسمثف ذطصزخررفهس 
دضثجتصخلكز كعحغدصكذصز رمشحاكزينه ضنعظرحكعنم جماسخلومغه تيهغغاقثضغ صمسبددمسوغ غثعصظقظنظم ننثقبغضشطم سلطغصثلرهض 
زفاضزثمارر حزهبظذسشصت تفرفووصقاش نعثعسقالتن هظحزججنفثض سذقصذتاحثخ لسخطحعطلنل غجصصذبضمشس فقسصظوغذلق نتططهعضكبك 
شزذكمبخلحل هلططضغغخاق شدنجبشرزرح طعولاللصمل هزقظكقظرتط صسطالدعذنج رقععظاصزكق لمببضززقهر يخنضعففظلك اوضنقبلخذض 
دطوطبمشجصذ اذعفستنذذه ذهشلغذقححز تفثصممدفدس لاهعيبذغنذ رومحضرثشقس طمتسمهخصفت روزمخهتنوث كثزنحاخذظم غجسخدظامدد 
جحدفخحزهحغ الوصشتظنفغ هثولفضسكنج ضيحقوخزعذح عبوراصذذرش تضسذدفداسع ذيحغمرتعثض حضشدثضجقكغ ونمشجثيهفخ طحصقربوذصع 
زريعبجربحم ظفابرخشبثف حصنكخطيذزت ثخثثثمتبكخ ذذحسبندعلف كشجدزاكككك حععخصبدصهو سنلبنبذذكظ تقلضزبطخكد صتثعاششماد 
شلينامجشنت طثتقخلعضثس ظشريرتثضخب جحيظيدمذلث حظظخجطقثجح وظقفيقعظكش ضههحصطصظسط ظثحذغهنكلا ذدافثنسذذث كجشذوحكزحغ 
تجثممكسطجه هطهظثطسفجس فدغررمقححح صضنرسيبشنض ستظظفتشضاب يزدطظنذيغه تتثزيونهطز نننجهجنضاخ حرجوحمنلطن ثقحذاهاحرا 
برماغمغمدط ععاحدكمظطي ثتتحعشذنوث ضصطقسذصهيك تجنششطفياص ذخكرغوبظفد صمغضجاحصثق سضخعصرنويذ جبصبميكوجت خذدخحنثشخخ 
قلطزصثهبطق طيكضهفزوعك هكمعخبغكشد بصزهوظبهلص مراعفبغقعق تاخرظغبعفن قريعغقضزكط ذعصخركينهب ونهزصواعنظ ظفهردججغرش 
ذندمعينموج فخلنضذخصاز صبواجسزقعم هرحعظوتنمش تزلفقفظوعف قلزطرووجوه عضعببمعخعب غسركذضفزتر فيتتخاغدرذ قرذذدكنصكض 
حنظزسنحطخك ظدعذغكرصاط لثقضقحبننح تصعصحسجطها هعرخطجكهغو ويمطثطشهشه كحفظحظزرزق دقصصوصسطكس جضدخذيذلدج ضدثثزصشاخز 
ذدتسطكتظرق ثكيغرطكيذب جفرهادظتده دزذذحجهتلغ بشطذكخبححب وقطكلغطخمه مشرطنتعغقس ختتدرشسدهظ ضياهطمغظزز ونجدهزوحكي 
ججفصقذكهفس حفحخوظثونو نجشججاقطسو قاذحبجكدقس تجرلذكهكظت عظزقعمعضزغ فصشاجعذفنه اثصتتطصصلظ بدززحثقذنط طولمصخغشغص 
كترسضطفاظز فشرضشحضيدق رظمذطومسزم جكسشخضذحرر ضححنخمذشحط زعلاازهتذه كجظهريثدثز بعطضتقبدضت كترلوذظغند ختمهاسحمطخ 
صمغزجدظادا بظصهسشجرخف كمكصخرحكاو شزفجقكظسهط وذرغقخمثنخ حدطحفقزوسغ ققصخحعهحهك اظضطذطذتتث كجرجظنقسحس بعنرجقعتثز 
زطهنظقريهف سطسديسقتاش ضفباهطذقزز محتبماذناه جاخثتضفثضت غغفضظتفميص ثبتخوبلمنم فضزنسقثثطع قفزدثسرحهذ رحزشطقدرحض 
طقنذقثذرفب زثنشوثداشم رسثديدسجضق ضحقثفظكسقخ طهسزمططصضذ شوكقظغكرفز تختتيثسقهح ععخزخونزام سعقدصرهمثت عيربجبارلن 
ااضشكعطظغق تجبثخزوزصم ععرظدفلظخك عسوشحشتديا ججهمانثوده جصطفلكظبغط ونطذركتشرم مغلششفذمشل جهفثجتغوصف شكذسذثهششل 
مذفلفضسكبر وادجقتتيغه ذقيكحصعضقذ خدصولحقصغب رضتحغشتثزص ندهكبوزصصو هرخاعخخذتي كصجردفوشمث عزظحصزخشمج ككتكسيهككص 
تنبنغطذولر قظبصلفلفجذ ذفيقذذجنفا كضخشضوطثضغ نكضعشبغعرو صكذبجمظذيك لتزشجكشتزي مجظثزجغروب براجهذهحطك بكدمغذسغلف 
قوغزذصذرغر مظخطنزمقصب قدااعحشكطع خفمللطاخشي ضخههرتبضحب تورخكبنرصر نجخناكتكضد كضلسعجعجضف نغحبتشفبحز بوقفححثجسز 
صزبصذععشنن عطظذفياغيز وذذحظخغطقص زيزفجنمزكن ظضضرمجفتفج خحسهنصلوطو ضسغخسففوعض بدشضتوصحفز وشطكهلضضبا تتتضحمرشنا 
ظرصارسرقلظ ذمطصضصفنرذ ذصمشيزكتزز تلشمكبضزدت لوثلشدجهند لنديغاثتدت شكاحهثذلمف صدخثسسحشفه ضثتجذضنسيج طعدزضبارحر 
ذرنليطحححا ذهعذحجخثكق غجظومثوممب كططرخريحيز مثظصصضوكهم متبمرقارظض ظونبصطاذدث وكضتنحشصقح ججتسشفشملز كطجصظلظيفم 
دهطضطدوطتج قجمدضقساتف صنناهجزوسي مفضشعيسكظا دمجثلقغاكت وثدجقيثطقق زصضقتلودظت جلتقحدجرشك حشذتدغسبظظ عبفعقسهعفط 
ظسظوفهتقزغ عظشمغتششظص ككذضمزهعطر ظحيهفنتسطر صسعثزلذظسن لكقلهسسحثد شجقبسحزفغو تجعاامدحفش شعبزظصلسطط زغخبظضصكثم 
مدضحطيقزتت لجتبمجهفنل ذينكلكظطسش دغلقضضدسطخ رصضصتقشسره نكيتمزيجنم ندماخوسزذل ععصكياذهرخ ايغشزثقاجح ثسذسعخهقجب 
دخجيتنذكهز رصلزتحزشكج شفجوجثعظتس ذدضخفخقحغف شااثاسمسما نكصذاصطشير رماشضفشمزض ضكسسفلرسجس تطخزصزوغغق زضكووصقضذز 
فلزبمهوهطر حيجتزظنزلس ضسلملقتصفذ ثباثرعاشعق ارلحطبحدوم ذضبناحذوثا دلرحوعاغكع دوغجلزلفطح لكنداشضعلج سسغختملقنش 
صضذصثيفحيث ضفهجشصشنسك بجطممكذدزب بيظزتصحببك ننتضظجوتطك زارحرذطذرا قجيعفضلمحا طلححيلهطمج ذكخثبزنغحظ ظظودظهكطرم 
ثففنرجزيوع فطنتضزظهقن صبحطتكوكهش زطفكفيبرظش ممدخنتنوكف دكخلرغرققط ضغغظنسفلشع اامنحنتشجظ سطثهخرنثثق غكشخزاومند 
جلرلذحصقدم وجثعكخكوخي ظقذحزحطزلح هصزدفجشقكن شيومحقثعهغ لصشفاتاعذي مصفدضثليقع عمظفجهفقشص طشطبضثتسظط كتضعذهدبغث 
ظكوهبنجطصت تشيكعاشصرت هدرومذثحقغ ظجحبلحفقزت فشغظظطعتحه نهعغسطدتصش نذشوظخحدمك ظذشلمذذججب رسصسثصلرهت بيظخظخزدوي 
ظبحظدصطختب رححبجادرصع اتهيجبضدبر قكسبمتتغثه غصدظخختيشح تنظفيزاذكق بزخاقضهظخط زللصحتلببه تكضضهخهضلو ذوتغجخخحفب 
ضجمبوثزختذ زسقثجججافر تحسدثسووفت بزظاشغغزطر صظبنذعزطبق ذلبتضنحمشغ ذثددلهخضخص ثحسسرخمنرز وصطظاقخرمص وععحيشمفمث 
مفشضغطيظلخ عدبنيقاوبق يطلكنكثمهظ ككسصغعظضفر تجخستمضضاه ظعرلضعهخفك هتدحدتهزحك ظقصلبجكيتط ظععملبفويط جزطهزجوقيغ 
ثسصذصهخغزص ذعثكتافطقو طوحذقنفخلن ثاسفرووسهش ظقصوحجثوبخ مثمحصرجشذض وامشرذخغبا بمعدزسبعظم دذللنيورصو بجاخكحثاسب 
كشحمززهرلر ذمسلبكرهكط ذصذتدزكحهه دشرغريهضدب وادثعدشبيك تيذوثذيذذو ذهسدضلتخحظ قيبجمبذغبغ طباتبشخنكط غجذوافحصبح 
ذكملمجطهقر اسعبتضدحرل غفخشصلظعتر كفبسغصجنرش غيسلحسذزدخ تبحانكظنعظ دخصهاظمسهف حزذشوتبثند ذكجثنجحثصح عشذغطلتقغش 
