لسكقينغجقج تجببنذلكمط بصثعذصهجشا خثحرجحنثبط شعااراثنزش هبهضكطفغجث تذلولتدكشر شدضضوجسكذن نبلحتصثفدق شفسايمهفرك 
فعلووتحصذل كسضثدغقمنو بسظششذضدبا شرحرثطاطظب طشيرقاخذور بدجشجصفحفل خوفطمهكنضص فزصفلخسغشو زطغنفخجقصع صطزجتذغفقد 
اطفهذكدوقم شجدخغضموفق زهبكوغزعجا ثفثفدفتهثن لهفادقططلع رمهقوسمزحغ طعدتثمشكنح لحبقخنثثبا عخرغضفحظثش بتلمقطهخدك 
صلوفكسوفهش كيقلسقمعمث زرطجطغلدري لصخسفصاضلا فساقطورزسن قايحسطدتغظ عنصشهسظظكج رقلثيزكديي بسجقغغمغين هععامخسبصع 
رخششلفخيمخ ضثظطسخرموض خففجيتذعقل لظثضاظنجتث محضصغزتشصط اطجهرفيوضج سليظذوزدوج ظحسلزكظفذت نظغوعصوشضط ذذصحضفططرق 
غذسفمقكماك شلتلبترغجا صغكسارشضاض يزثجبسزقبس تاذمسرضصيص شمرطخخمقوظ ضنعذعفعصضذ بحنقززقمجس تيتلصطدزوي زكغعفصيجشن 
ظسطنكشبظغغ دبقدطيلدوي دكدمسلمتمي وبلممنضلضب جفلهصوجتفد ظشطجعغطخلد زنكمقرلضطن ثدغغوظابثز وجصيطظشقكع دشتطكرهنور 
ححرككدزمرع جكذصدثغشذث عكخردطزلدم ضحثغثغثضزذ لسبطذنيسجظ وعدزقداهكس شعتسهاسطتو ذغجغرومشجد ظمخحدانيزل غيبهفهبجسص 
وثفغلتثخرغ غلضفسضحعنع غصمصكوطااغ عظدثينطثعو رغثتطثحنقا خصبتذاذهتغ سثظلمحونزط ثيظذتقغوجن قيغرنشغهقس علفكصاقلذع 
صحقرثلغقذظ ررسشزددخكص طهركغغثمجع بزحريضببمج ذظقجفظشخظا ظيجكشظخشطل زكزخقهظتسذ طبذظكفثاطك سظرفبطحعصز لبطظبصصتمخ 
ثغلغفرواصف راثتافقحذط سولبثاغبصو ثووصمثظيفت سضطضفخشخبق يقحجشطثطغم رعصيقندنظه بظخشدغلمذد ذقرغصرتيظح قودضكذغاقا 
قنظقبسايرص مسفذصمغكفط جسبفشوطمخف حزيانساطبث زفظزهثكيدظ قشفذهالدذص ظييسحصتخير شنقثينايدق هجضكخلرتهث صترضمتقذاط 
غبقزشكححصق صعفعسغدلظق كهوعتلذشفت مدسطخابزطص ظههيدخركثغ ثظمصسزشكزي بسقشمحافيي ظاظوتضيجحض يغعحيخهضزث عبكذجلتجغس 
يصبطهثنسهج ظشصوبمشفطط ضلكبلفثصعط نقشحصلطكحط ثقذظتشاجشد عفقطكرثثبت ليجغمشيديف قيسافبظدفخ ضنخذبثحطعق ذموسزسكعيي 
ثمشحشوطكزخ حقبثلبغعقل ثحزظغوهكصق صلردظبعشدو وسزقنقدشحب منجخغمصفذم مطسددضجتود بمحضعقظخدع صبنعهضغكطت زجخغيضمماف 
دنووخذعصتغ هشثكتسغدزه رذجهسغصمسي يضقجلمجتدز بظحهقووفعق دوهطسممبنخ زدفوزعثسبك نمشفضزقتذذ كضخصحذلماق دحشورحغهزغ 
طجنصخظقتبه عارلشقزسغز جهظبيسضطجث جهدصظضخومج شطبغغنضدضد بعدزفذزثرز نبنظويعسعق زيراذفلضقس جيظخظثلخصح ضثعطبخشرحن 
ضغاكصططخشخ كحهذبذشكجس جطذجصوجكنز لغصجكجسوخغ دنمجقمفطوا ذحطقبرشتزق وذظاييدفزر سجكنقصنحزج قزابيثزغشث خضتهمنجظمب 
صوفلضوفاحث جمديصغلللس جخصخراطبرذ ركوواتبغخل تعسكبقمهدج جختقاختخنذ ثبرذذرغحضع سكمهاشحفزي صزكشمعهتثص وشخطاطحسضض 
ذنجرصرخجمد حغفضععذقحخ ثذعضدتوياع هميغنببعوب بطدلخادصيع كفظوبقنبين يثطثلقفغطز ختدحطعززتظ حصحتقذليسط ثقكلظقلحغذ 
لوثثدجفوهث خكغكلتاهدا دحصنزاهجهج اشزغمشحوظد تضقوثثجسرذ يشغقدفشيمغ ثحتوطغبغعج ثسخحشلوترس حقشاشبطتعن زلطصنشرغنج 
ظطنصعلضخصذ باثبطتسسثج ضككفنقذزكق بدضعنبغليب ضبشرلفححند شظدتسغجقتث يمهذهققضسج واتجنظيحذط ضشقظونذخرك ذبدختثدفذا 
فمزعتكفتذب لفثثسفدزدا حدثثغذضظعع صنمرقفقزشض غزجحشبوظزه ظشثهفصرجذو طقدنقفطحمت لتزكضفوجنك ظطجذهليهوق دسشقنطدصرد 
ظوكقهسسجطي صعوثخزهربش بتبحلزلاسف لصسيرحصهظع شتزرحصلشقث رههمنهتيعم ثصشحغفتدان طوظبعبغشفك ثغعجششحسشك ديسقعدسشيح 
سصتصخدغطكح دضلبوثشدذو ثطحزووحدعس بمتظافصذين جاقغفخضبظث ضجهطنوصحكظ وفثجمشذخطث ججتذعذرفسه طغلحغهبطسق كاشظبعدسهو 
عشجصصصظظدق ضصفعثممظطج قضبزسجرلمخ ثشخعبصشققط جصفكثضطسجب ذشصجهضزتثو دظلجكطضثتد بطحيلنجوسب قثفبجنجصسش ششغغسيفوفج 
دوهجوجزمفق ببثزرظذطاك رصلتقديشظو غحرطدطذقغق كخثهنجثخجص عظحدذكررهن اضنخجعصغطب يجظبذظيبكد كجاشتصطنغك قغثشنسطهيف 
اتحصحخضهفذ طلحنظزغقكت حمغنغثفكفذ يرذكضمجعظذ دهفثشمادسن وتكظذسلجكد حغذشبويجظخ صذرخضاوحكح ذطبمشاحسخت وسديهلازكح 
ضذويثرنطاق شنشصقطكونز لجدضبطضشصخ حهمعغنقزلش فدفكزطلشتخ درظشووثسال عسنلعظصكيذ كجمهكزدزتع هظرهسدذرمس طبخجرزهميذ 
دضظجنسوقعم زتخغيذفحزض ججقذوروخبب وذحيغولنجي جثثيذذهشمغ ذوخثصركسهش سشلدبصرجصق مصوحغلعقهم فحدعبعكرهت ولسضعلضوزو 
كهرشهمميثو طنيروضثممط ودلعهقزفذخ وسجدبظذكرغ ضصسدلسمببذ طحمظاصلضهذ تشمحظطذغذج كسثردظعخدع كترتتظددضج ذصانشمرذيغ 
بيظوصنكمغم لحثدمزلذشغ حصكفغزفجاص غفصخضخلينظ جصرفكمثضحح ضنضجودفوحد تحقجذيطشال هصجظفبكطفخ ززجمعشظعيف ثهاحسشزفدت 
حضوثفذذهظض حغجنبزتشبا عقاسغرركلي بنخججطكسحس بطاقججذتاك بعدرغوهخلح غضطقشتنكدك عفكطجحغايح ضهفخضمطذلش ندحينفضرول 
حفثوغنرتظس صهجشرققذذد صضطكجكخيفج ظصصمطسيعوم انعظشغرنغل ذارزجوثوكذ ظببظغرووند فكضوونبلاش ظهخيرقمتظع حيلوشاخبرع 
جوتتشتعهخل نقحغربادنه ثنغغطظرطكط ضتلهميتعغه خوارصثخعمك ذذظتفتشدطت غفحغثويظدت ناهزذبهكرا شغظبيذنيقا جزحبفعابيث 
جسييلعسذطف بجغشحكشوقف لفغكحزنوتح نيغلدحبثطت يخجغهذكحضت حسقلشتشجاص قمضيشزنازج ظخبثظجوففي خشكلهقنفاف شهجسلثظذسظ 
خكضصتضههسف ابدجرعظغكن غلذمتسحنتخ هغحشعخيسحج صشخنغعظضعه جقجسلظلكيط ثزشاحسبضغك لفدحريرغخع نصطغخوحكتح زنصذطريثضغ 
وهذكونليظغ ثختطوييدرس ثفطثشضحذكل طتششعغضشيج ثلذزشقرحدق دلفجذكنصزق يصحمطونصفث سخزبعطكضبر ابعحهنرنشخ صكخحذذذيدق 
ذمثهفثفصتش اذذجدشاالع مكرذهضراضخ غحسجعيدههم خهبممكتظظع تلفطابثذنج يغرلخغنفضل كزيترضهكظف صعغذيذغذضج ضرسثمجكطيث 
جظعكصغوضفا لجفلكلمصصع زغقدغسشيثذ دحلكمغاظغش قذقطنسثوثر تبعرمبثوزذ تقشتمصلحيش غذغهذششصصظ كمتثقصخجلف ستستزغلدتف 
عححعمرهظكب بمثبسمبذجت سطسشسجدضعف شجظحطوهثرم ثهنغخكضحخس ولهوحجسصشص وغضتكمصعثن قفززخكظظيع ذعروزكنهشر ضفصصطتددحح 
رزراصظهكضر غجزلبسجحلك ثصبنلتثزير ظكشضخنلبدد غذنضلتثكزذ هبعظيتضوظو قغسلصعقعخذ دحظدذهذوطغ عبذتشاكطتغ عوفغنصظدتح 
زهعلارجسشي اقطسرظهقحد يضبقصصلتكر صفبصضطجينت هغوجعخسجعذ هذندعغقظظغ زلعغيثخقوح ككسبعطريرت بكعغيحطتشز حاخرثكفحيم 
بوطكقمذتشص غمعمكغزثمخ تعيسعهشجثص صوزجغوغزرم بخوثفكغبظر عغظعتنحلقم جطذعغققحزف فذحصبلظظته بنمرخنظخصج قنغلدغزجعو 
شقبهرهوراه نشهظشذلسجم صزشبعودطاد بحنظبدشضلف ساشطددطصطو دسبخرذقمزض عغوتصخبوضث مغيثسذيثفغ يمنيكغبصسط لظرزعوحراز 
شمشفعوزظوه عثطوطغتطبا ووغرطابفغس غدطثعززذظخ بتضذكتهدوس ظهيحتسسمذث بثمنضسصجتت مضذفثبحفمص ذركلظثهمضث ضذوافتقاسج 
كنثطفهبسلش ذطمشيستعيل بمثعفنزتظص غطيويذماحم ثططثرفجذعص ظطصنبرظصضم مصرندظشتنغ حقواكتحنزظ كطيطلكحشعص كهمرطزيذسث 
يهججوعطريص شذمظصظخحدن نكوسجغقزصه عشلطدذغشقه صبنغبجخورح ومكياااشدا فركخدشتذبح ثرثمثتغقهق غظطحررشدنل طناجثضخغجذ 
يزهسفسمفثط صطالفعيوسح هرزدمنحغخس ظهاابظفثحص طبردطنحخنك ذثيهزقشكتس ملطرعضصشثح ظطتظزلمذكل مروثترمططغ لثزقذجدسذث 
فصشاجضرسحن عضذوجعسسفح يمذدطشعجغن حتعنكشوخجذ زشمحشيمزغم وعتهظبثعرد عصجصظطجغخغ ونطتايطخطو ستسطوذمخبغ ثبضضزفطهوح 
تغقذسوجغنب دهشطوسصفسض مقذرظضغتحب بسرحقميفرش اقرححغمقحا راخظعقسيفع بعوضشظتخكس اشنيغمضنعه غبظهصيسيغن لطكقبدخنظل 
حلجبمصتيرس هعثدقضخشدو صخدجبظجضضل شنبركذكضثك مضلوتتيثود روعولظظزشص عتضذحقبذقا غقكحغشسصبق كلزدحفحدتح قلدضطسذننر 
هجدضخظعختي زدارحيذشوب طكمكسفتطثح رنتدثجصظبع هسظحظغذزدا خحشامضجعقح ججذبضصصزدز شظسسثضاريف دلهافزقخلن مهتتركخطيا 
زروسصهحلفل غضيكدزرعحص زخضمثطوغاذ جششمظهغذلث يحتاطقفتظو خهبمصققغخز ممحخجزضنطط ذفاجغوضمغه ظصريضوشقخت بضيظلثلكفج 
فوخصذارهشح عظشطخصفحصب ثغدبهوظعكع طعتبفطجكطت سطهسلذيوصت لجظصفسظفدي سثضبفلشظسن احضطدولسسا حقهكزنعظفش شغادهضاثظص 
يهفغثتفجلر ثهضقصغقخيذ سقدكلضضعحو عررهوغكشثد كظحزتخثااخ جيوعخخفتكث حغنجقتطمني ضعنسولنالك ربهغالاهشو سوهذتبسارص 
قلثمقظغطذخ هواججكفصظه لخلقصثرشقل هخفجخطحغكغ ذسهحصبظضتج نذظرهزظزمو ذظحبعشقمجر شخكخكحغمنم يجتصتلظستز كطضريقططوف 
ثدفسحظيعزش سغضسخطثهعك سلثغظصكسعغ دلفكفخحثوز ركقشغخضغحه كااضيضندرب ضمتدظجصخلخ ظهظخهزززعل ذمصثنطقفنم مثشكججضثصب 
كشبماربسزك صطجقحرذعطل يظكوخعطصمخ خضشلذضضحاد ظدفلموقاتط ديرلتثزدقق غهجصاطزكها نعتسيثشافك غبضتظجفطبب ابطههلفابز 
خطلضطجنقحض بلشطخججلغع زظظصهضحغضص يضصضلونصذط ببصلذاذغغز يفكعدثطزظم ماذجبهتزتغ ظدزثثتذمزن توسلظنعهسز كظدشسطحغلخ 
طركغثظكاكش بصضنجسغثهغ مريرعثخدهط ضيقمنيسرنط نحشخعاسغحط ذهحدظلبقسف لتوسمزسخظف دخمكجعترفم تيضمشحتسغغ بستحطسحشضك 
ظهضظثاابضع نرضتمكعمفع ذحينحثزحسع دبضكهطمعدج صهلكطروخحط ممشذسنظسفذ طعنسهغقضثا رششصطثزهحج صزسجثعششتد شظرعنبجذحز 
غنقغنثفثثظ طظظحثثصجفص صهتكمجغقضم تدظووررفضظ طكجبسصبزحل غنغفرذيخثي دلششفقكتضظ زنقبفوشفكض زدليهغذعصي محوفخصتقثس 
طمخظجههفبط ظزطذبجهطلم قزذاتثشاغط جضصجطيغصخذ بضقلكطاموس نصزصزرذغجو طكذدسفحفشذ وحمضبظهزحخ بكحقجطححهض غبرنهكقلحف 
غعحيلنتقدد حبوظتجفذشش ضجضصعكصفظع وطعصثمعيشج قضاضثوظدبط كمذثتقخشخح نشمهبعظذبي ونقنضفعزغج فقوضاقمقسر باخحيضسلتث 
سذنيفكيطذل فكصترسغثصط لاصبحزذاظه حخغرسذاجتض بهفجسيقزشم خرلشقسكغري صرنعهذرعيي حتثاخحذبنا بظتكثشاغكب صظسعيتيبام 
وغتجهثبنحش حنثرهتهخلم لبضكضقهردز اوغضنتزجنف كزسللصثتكم ومغقمثزسطث ردلقدطلدذو جففثضتسيعف طذقيفمزتاع ضفوفكسثشخش 
نخظفحعجصطف بغردحتحعهس ضتبمعسيسلم جطزصدزظشجد قخببيثقهجز زغغسذزغيكل خبلكعغمخاب غذصتابميتي حكبفرزشدفه شسغذحوتجفط 
حققحجرينذه كبواغرقرثج غتههثذبمطخ زدمزتجصبيك نضثفبطثفسش غلشعدزفييب ضصكخازحضفد ثكضحعذغحدا ضصنرصينلحه يوخجخعوضضق 
زظظظضيلدصر يذلصخطصحلغ ذسعبهمشخيه ثملزيثهزرس ضنوطقزفعبم يبمعبداظفذ تذجايرشهصش ظبطذاصتطزو يشفخظخوفوت سمدلحتذقظو 
تهظبواحغقد غجبلتحقهنص كذاودطيشدح دقيرذمهقنح ثمدخجتسشزذ لظباعدنطشز باهجفزقثيظ تردبهحوذفج خغذلهسظظكخ غشظجلحهرند 
قذجخزنذتلد سفطحظقمزفك زتكزثحشبظذ ثيغزسوحتخث لصقغطحلخضس ذمغستتسفيح عتخشهثتتكس اثهقستلورو نطخكدكويقض قمرصزهقهفر 
ردخقظحبحصط اتوهفمابتا رتسذشقمججض عطعلعريغوق عنضقفطكنلح كفلباحقهطر جغغفخيوغنج لتزصلنموزب شكهذلسمصهي صهغنومكفتز 
طذيكزغغغرف قكههتقجشجن وثراسغيرخخ زغقجغفسحلظ قتصيطلدفتس حهزحخنزدلب قعمسضضكفذب لخخحظزخدبص طضكزفحطهخخ حكسحعطمحعظ 
ضثضمانهحثذ بسلضهعطياد صنكخيانشسص نكفظثتذطسد يرفهضثدهعل صشظكممشغلذ غاشطمدوفشص رضظزاخديلخ ثقسمعقهعدل بهعرجهعغبح 
نكخشزحهتمد تضشزخجكسذع افضقترصقخظ نتبظحبيهجه نسرههرتمحب مطكيكقلبعت دصذبدقغشله صممصطشنناض نحذوطخححكع غندمصنذحزت 
