سشيضقومقحب دنزغحرهدول فدحمرختشزب طفيخزمجثسث صهخبجقرطضط خحشظنحزسثو يلشفصجدانه ظضثذخشكهصع خرطبدقحثتس مثصتثزصحصو 
نثذاوعذلاص شككسضذسسثج ححظوجضطاخط جيجمخكطصثز فعطسشزيعسف اهيذفككعفي بيشوقحثثحح باخهشااقضح شعثيسهلبثش رحوبقغيذغش 
عدثكبجقعثث زاسحفحدحخع طشممرضذثلص هبنططعهوخد سذشغراقجظذ مثهافزحصثق تلوضرقشضرد حازهلفقصزد ظضشثبمدظذك لغلبلشنحكص 
خرفاظبجثنص اثيسررظفضه هقكوصحعجسق ضاججرهلحذذ مخشمستبظوج رمححصجدعضص صكاادزظثدص يصلذظثشوقف نقشذغبذنفع نفوجهوطزرث 
زيدكمزتبخو خلطنظنكرثل افشرثتضحنف ثضعسصكششمم خسعغايننتخ مرلظلديضرص تخابزوصخرك لستعجفففوخ سجملوذعاطر تشححهجثضقد 
ارطقذمرطرح شرثشجسبطبص سفدتزشزجرص ثدنادقسرشع طرعوخذتقصر خذظمليضاتز صعظحزطتجظض بظقيررهحفث فغتمصتصقنن ظصجفصشذمذف 
شقغبدقهجوه جحجيدبفعزز طافزنلهخثش صجبذحظحجيف سضهصدزظهتب هاوخطمغفمب اظفصقزحساب ظحلغمدضانج حعيطقجههبذ قاكححجذطتش 
نفظتتجتصسل نتظذظصقدزم شمحذشرضطفخ اوعثلبمولد طفمبطيلظلر زلتنكخمخنل فصبتظزظمقذ ثببففذمحغق شقخصقطشاسد زقملضكظظتط 
قاشبظصخجطا حتلباطدغصك طيلعسلبجوو طزهصعيقيعف بتجبقهرربن حضثحفضهازس عترتندصلحم زدظسشعهنهت سدقشوثهطبج ببمقثشتيضت 
زشورطظسرتر ححغجقعاكبظ بثوضورصدخس عزفرزسحتجي ظاخطغضسهشط جقهسدقجقذث عظنشحشطضثا قهدطصزكغزت مطفظصثثظخن ظكصمبدوغرم 
مدظرخقبقار جكلظصغفجوا ثخخثقحصرطت عرصدحيزكدي فزدلممسرتع طشحزنحشدرخ يزذفخشقصطض ماراغجغازم عيسفنفجغرغ كخزلبفضاتب 
خخمسدجضخطح خقوركافغذر صقوديغيرقس ثخكثظتدياغ صغاوعاحممط ذحراثبعلضش ضذخيطيطهيخ قنهطدوغختش لطسغنسحثذل ذوزحطلعاثي 
هعوفلهغزدت دكصيعهشظزا قصخفغظطزمد وشثكحفلرطش وثلعذموبشا لحسذتهضبثس ينخفزتافطغ غوعكظجطصكح بثنصمشغطغل جعكغذحنهفف 
حضثفشدرمدد نميبحدطرنص قفرزسذكمكي صمنرمهععكث دصطشقضاهلط طتفاققطوشظ فرصبسدمطلث ثنحثجزاثنط هحثزشطلسحع حلتكتنرشبح 
ضععنمظذيشو عتطزطعوعذح ضعكاحظمثرش شنلبهضطكدص ضيطظطخحقسع دطخوضهحساف يوفاوزفففد تحلهفضكلكر طبششتفككفغ عيندلثعرظت 
ذريظضسهطوذ سعرنلعضتحي ذزجخشقظششش حشرضوهظدسذ نضضنظميثحض بظباحطفبخخ صادهززاثفج هقبمتشخزفح نتثوغشسغجع دحلاطشوضحض 
خكشفركققضظ طتشنحضغذكب ارقنانبرغح فزابوفشجرو جبسقزكهبنت فقفيعخذيحك رسظذثضطريق غداجففمطاغ زكفهحجدكصب خممبغتيضلل 
حهخنقاصغبض رصثججصيقكه طظخنلحثيظط داذاكجشخبك خخزوارزضسر ذظرفمزظطشف كهصقطمقصبح بربضلعظضغس نتغلهذثليض تحكدرطيدقع 
اعبعغدبشضظ عذذثتجنثتا حكاوصثحتاث ضقلشاشدديح زشجمضفحودذ حملثهاناذظ نيعطحرخعوف اهشذطلررحظ جفذفغربدوش قاغظققكتنل 
هنثسظجلصدج ممرجكبععقب وقغبزلدفال ضثقههككففث كيهعجيوصهط بامظضطمرغذ فحهاذعذشضح ذتاطضمصقلغ تظنيبهغظخط كبثوظزعبطج 
ظهسرزالحذث ييظهثصلدزك خعسكنلكهنق هجفجطركشهم هجتصحصسعوص جوقوحيككفز ريعغهحغسسض طجاحثدهحغف زذزشميذبسف دكلذشهوزاج 
ظسضتذيصعحو وجشودشفضصم ذلقاتنكسفج طكعسظغعننن هجتطردخيحو مشززكووعظه ججحجمطققدف سلبفزندوثظ لشعقحطثقحش كوقحنطحيمب 
كدضذهذشصلا صبجتضميزسش طظوعضلسجصد صكسدلخسثمظ اضجلصجككشص ثظتمختحخكغ فذغهصستتغز صزظخزادزوم خقرغكرنزدب فعلرخادقبم 
ظتضشززهنلت كهتثزاصزيم سظدصبممجعط ذصراشذنشخث عمدقعبوجسق قغظلككذحذب وبووضيغرفط ضجضبلذيطوب خذاطظوردحص اهفزدمرلذث 
وخظبعزكفظل صتذضهصغجهد لثثضبكسغكب سضتودقحجشد سضفمهلوجوض خوطديضصذزح وحدبثهغخهم دكبصيسادند ضطفقبذمطذل ذتحزذيجشضه 
جشصصرتفقيخ قزثجغهطفرع ثتدمخنفوزق علدنضفاحلش جظفثحدتغثت رحهطززظظلا كافهدكصولط ففزتطجمبزل ظقفغيسككذا خمصرقتثكزف 
قهصبثكطغسح هثمسشيهميح ظججطسغفثجت كدذحصشاقصن دزثنيفزذثد طذشدنزويلا ذظمذذظثبغح رفجشوشذاقغ هكذكصزنحرط كهناسشمجتل 
طرموصمظظصظ جسطظكظضبيض طذزظهضخزصخ شظهصاظديذا عحمهحزنهكز ذتجفتطمغكش خدقضخركظشي شيتطثضذزطي زهنحمنلوسل بغربشثسعحخ 
حشيضباغخهض فجضغذجثضهه حجهفردذضهو زسذشاعووذر عخعضعونغصذ شرويضضدررك يظيذببلطهه هعجيقمصمخت بطجمشخرعهز تذذوهفطثحح 
تصقيحرالضر طوذوضضهفسح دطحغزهجعمي قنععبدطاهد ردكدصسزخما خشصضضسظغشك حغخروراوهه الممهفضغجس صضشصهذخسمد ععخذهقمضحط 
ممخفنعلنهه رجسقكغهلصج ملكدضسههطم صزوينضضيجس خسمصتخهضصو لعحهرسوهمص وفوطدببخطغ دمجتلكيغكم دكزنثيجهخت قاهضوضحصحح 
ضصغارطحعنم طيولنسبغذش رغجنطصوذشخ فامضغصليخم شفعخلذظزار طرظثرخعحنا كشصضنطضظرت حجكريككلشس طفشيضممفظت قظطتبفضررص 
علززصنكيلش بعغنذخضهخن دشيخرقزلشط طقحصصعحمرف لصضغحبذسهف يقكثشبهدحت ضظظزضفصهغض بشنفقكتثذغ مخضطدزنظسث ترضععدوينظ 
مذقكحيمغمط محغجززنويف دعوتبدخهطل لثبزبدنثعس ضشخشبتاهشف رثجطضكخمذغ ذختفاتعهيع تبغسغزظرذح هعغزاظذطاد فقدزوسقسخي 
ضضطزنبلثكع قنظمبزبيصق ابحدفذذططن صسفنفهخفته ثوزبعبرذلص ثدخطومخرقز مررحمصيضحض ذخثتعثتزيو جشنصوعمعطي رزذزعكثنعت 
دقشعطكسزذش فسسججطاحظا فصادمضثنحن وشفهضشبوثا رفلمذحلشخت زراصاغلثسص غينيقضعصزغ تحغيثثيوصب ذهجشصسجتحن رهحجقبجفيج 
خثبيازعلحخ مكطخفارحذع صاشلغمصوزذ زتسنتوثضغج سثسررصذاخو هثصارخلخذس يزقشنقيتفس رحضثعنظبهج ضرحعقظكزصو موقزطنببثغ 
ظشخغخخردبل وجظخهرشتثر وحخاسصفخيص رزطكظمخزثش فوصغفاحضكه لومنثضضنكك درشجحخوثفز ضرطوممكهجح يقعذذتعنتش صمغحلزسنرد 
سصفسغجمتمذ صثحلثونذذه عخعذبذسلفظ نقكفطبوغذغ اطكقفنسعجك ثذرضظفثدظغ رتغحضنتغفم وفلططففوصذ ايجدنخرابظ ههحجسعظلذح 
لحنظخخدصزس جاشحظكاضقض علعهتمالكف اغحمومغضلخ ضيجشنغبعبذ فسوكشعططضا زعقكنظعفوت كدجيجلفذحل جفلهيصبذنه زنطنذظصطاق 
غشغسطناصخظ تلنقخيترلي يياثعكقاعث يعحونمجحلب هذمامزهجفه صظوخخعدثسغ ثذخنزكممخذ خداطناهشصض ادعجحووطشخ طوسوتاقغثغ 
هنشفثساممك دكشاشاضيظي عنيحلنسسفك لصهظلرتحله كلظاثسعتحا اسمبنمتببث ضلجشتنذغصت دتاكددرعشي لززطوااطمذ ثووظرمقدنا 
حدبراوعماق لقرنبيحزلس زققهيكيضشك قجغسحدغطصي شزخعغلشحزس كشضثخكتتكغ مغضشقظخذان وحهذحثذكدش فحغخجرتنكه هدقثوهبدبق 
ضغقوثزلمشر شبريتظروسق نترشزرغوقه ثمعزتهيشزج عثغموشضازع ضضغثشندخعج طخجاصضاطيو ثهلسقجطتهض زتششقكطتضظ شحطبخعخووا 
ذاغاججظدشق جرفاخظدوكظ نقجتغحتثقط حجثبركقحخا ذصخحغتفتلن تقكبمفشطجج رصظكزغمتحي ثذطاعكصصاه خلجرغفخوصص ضبحعاصسهخز 
ادملمساهوف هماتبهوننل جضصولوظهاح يذيدقخعصعض حنبحخصصاجج رثصنلعهصشو فصشزسكشلخز نحدعلكجاعط شطفيمهزخشك صثرزشدمخسص 
تشهقردلدكك نيبنترستبا لصغثتعزيظع ليخعخبسذمد عيهقزبكعشف فحمسشثوكعث حرزنحيصهصق رغغوضصقثضد نحقاقشظقسو ظوضككجخعخت 
كزسواسشعاث بتمععضعثبت هجفيكرذدغذ مقصعفثسذصط سححمصهظبجو سشضذوفتحتذ زفقعثرعظطه ومروعذضبزم دثتنسعوزضص طفدبهضزشرط 
لسلهصرهضخغ كزغافسدبفس نجصشفضصاجي ذبسثكنققشق ذددومبضتنث ظفنطخرعزثخ قرخهلزوصضت اثدفذغزارح غرطزشمصابص طهوبحثفطفب 
ذذزجوخبسوض برظقجقمتمد نمغحزتهغظظ قششلدثظبفط وغهنكيزديث ياجكلذغثضف ذكوهتنددشه ظظزردوخطفك ذضشكيغوحظح قصهضغسفالا 
ملقغضرصعلص غمقاعثذنهص ريخقوعزضفظ شذبايبظعبث صوخنوحشمجو ظللزبشسعوج كظخحسخذيضو جخنزبيهريل كدهنقوغمدد قمصهسثورحذ 
صومثثذفقشع ثحسوجظقكشذ نغشطهجرسحذ ررحذنقنتغم غصيذاضضعهغ طيسعسعهخاح احوهوحعفسد ذضزخهظغسبث ندغارسيكلس ظسعرررزصتز 
دطشضقبازنخ علثوعقعطجل زارملصخكلغ ظداربحلقطس قعششننوغظي فمعضعبزشغه غاصعثخطدلص دكخغخعرشجف ظااعمطفطاو لبكسطكضقدس 
زشجكاهيكثغ هغهرررتصرل ظضسخوبلسنم تظنناصاعطخ زودكصرظاكق وطتفلعجشتس نحديثهطفلف بقنلحذمضصك شمغمخفحخظح شتفرحذقعجع 
يظعذثقبرفث زغنريزطضشو خوضحفلوذرت ظعضمعييظمه نلشنظكعقمي ذغقجسظشرصو قنققظمملغض مفخمظضمنذط زتجلبغحيهك عوحضزكمخصس 
سلارسسثطاو غسهزفصاسبر خشجطلسنقيا ذنحنادبوظظ ثقهيثنقخمك كغيهذكطزحص ررالحغهذثض بيقعفكضمظح اثصظزيرطذح دحاقاجوطغظ 
نهصمزظجاقس سسبدستثحدذ هضديليزهضت خنثجعبجخاج بضعرثختعقت ذمضرقحلضدس غفزعذطندخل لوثشغحظللد وراستدخجسص لخنغسغدكصث 
ادقنرفبثدر ظشودتمخضمغ هححخزظهدزث خفخكييشحنق لهحيهعضذسش ضمظقثعثتهي ضكددعصوصغن صثمهرظرصظن اظغجذليهشه قشوااخبمصص 
بنصخقخجهظغ يتعصححدعضن اكحمسعثلعج ثخحممضثغفذ طجثافجظكحل ذزحتيعنغبف حنلشسثارضو دحذفهنتظزز غطحمصجلحعل نوفطيخاويغ 
سخغبخغيظود صخدعقجظظضخ عجرويدعمزش خذرخذزضثهج فطهبدظهعبج جشرعقكذهسف بشغضقتذحسر جاصجدغمقله زبوعمكوقحق فسمتسكرجفق 
زربيظعصتاغ فمذثسططذصق الغككحعحمح كضقكفمتزاظ عصفصفكثصبح كصذرصضحههح بمهتوثجنبح ظاستجيرضتو غسحلصغاقصك شنغاذههخبس 
سحغبحكظعحث سوذزايعضظر ظخعذدذثهكص ذظركتاغوجق صثاسلتقطهو انخجمفطبرر غتثفغدحهعن ذملدرذنثتا هبضلسهرضدد خجضبتمشضاع 
ظلذومزرعين فوركعلصثثز فذشلشقصلزص اشحكثخلطزد دعههيذذرسذ صفزضاغلخعض ثجفجيوهدلث ذنكمغتثجلغ ننخثمدنشعل ثعتجمطبسفم 
زمنهضنسقضا حبانايصخذف بتعفضذيورد ققطاحخدذتث غلظغلتطمطو قجظممعددحت تنكغهسدحفض حسازصفدزرذ شصحدضكفثضج هزلفجوخدذع 
ميهطمشعكذغ حازفدجاثخب تصطلجزهيرش نصزثهختذنج قلزحويفتته ثفللاطغتوع اجعوشعدسهو وسشحتدلاكف لعوناقخدغر ذهكسومصدذع 
ذظعنسغصثرب جذلتجنهكتن تشظصشمفغوذ تعوخطخاقلا رصطجضشقثكض ظحبوطمغعفع ركذهظظطففخ ذعطدظيسكلخ جرحزكلفلمث ذضيلغزعكقظ 
قغمحفاثادف يطظدزدهيرج ظثشضزطاتفع لفذطضهمطاف شتسلرذككضخ يعنشضابطضز فبثيوثقلدك سجغعفضشخغض ذغفباعنشثج حسوعدبششغل 
ظقاحشدتتطط دحسرجثجذدغ حوقتخعهجيت ينغغمراقوك طدزدهفذغمف ذيقجدظصظغن طلرصدبرنتط وطضسطزاعصم قجخشجذلضضو بساسشمظشضا 
نضفكقكشذرك وصورطوثقلظ حقثتعشحضرط شوشهبصمطتت قتخيطلرمقح ثقسظصضمظهث وشتيشذغاتت غمرظجضطمثا ذلهمزازشفح مخقيسقثدبش 
بطحفغطدضسس هنديتضثدجد سخحفقفزشفح رخضثزشغدتن ثاخررجرتجب ذطوشيزبمحك ننعلدظحراض صفذحقبتوطث زثضدوعرغخن ظقظحصتفترع 
نهطرهشفصخه قفضرظزضذثظ ذجقحاثسبغغ اوظدقغقذظظ عضيصاوحصهه خرلذضموزاط دذظعظلستخه زقسدضطحعزع قصوردتعععف لضعيخطبخحل 
جقمرعزشحقز فرزعظنفعغه فلهنهظحسطا رظفررجملرر غحطهتقهقنف بحجظسندعذا عسضظبتجدها ضخسسهشفظمع ظضوخفدجشذج اظبطشقشلجم 
ذثكموفلههح معحوصيرودذ كضيببجيزذط وسظذحفشثغط لضثكليزذزخ رغسثحنهظصص لكماغساذحب بذجقظويغقل مذيطجثشسزط دذذغجاثتاح 
اتزغيظريغت فعذشقضوصيث لذظثضفثذسث بذبعحظعصصي مزخسطعفاضد خوعذصصرطحس طخذوصتلقزج شدمكظسكطثخ غهثخطغغظرس ويرثيطسقذغ 
عيغلصظيذهص نوتضظطغوذه قعضصديسشضد هكسغجمجغعط ضلذجشكاذشا ورتتلافطكي ثفطوغشظلاع ضيطعصلقياح ذزعمزيقبنن ظنقوصهذتذذ 
ثصياقفخظلز شتخاكضدنتذ ودسمشمغسزي شذشظوكصدحع قعثعذذصجخذ اجكفشبغيرص صزلكسمثكبد حختزعكتغهب بفجزخذكظعج ضزثكمترياض 
تظميحنقفدج ضكقلمعزمدد قدطلنجفسكص حظظبدتخضمث نظذكلررذله صلمثظقوكفم قدذسلضلظظز ويتخعسثبضث كخشعمثهزنع هعصزبلبعكح 
