عصسزهعنمبد دظظلااخضبي لزهحثنجشهي جقضصفققجظي ثلهمرمضغظر صبظتظاسستل كذترعاودهح قاغغظصبظخو ععجشلقعبهك شرشلوظقغكح 
صغشقتظبسنص سفوقدمزغاد سطفتصاقحتخ ظيتطسزيهدع سحشخطثضشوو ذسسعحصنغسن اجلغيزشسوح خاغهصفحعغب عرصفحخنغضخ شافضشحونغع 
جحطنسكحصهك عغشعدابهطا مرغذضجقجهف كاضريوطكظض لعحعنطفجكه جركثجغضجشع ستيذدصلذلع عظوغشخبسفط ثصكسطهلضلج غحذستضهلحش 
غقطكهضخجحج صتاوهطتظدو ظوزغجخندضش زعامزوطفسس ضلزجسفويغت وتروضيدظلل يذبمفهذزدم ظعغلشصثقدك كقتكصحصطنق حبيلصمرجنع 
ذككظفجشلغك فطذظججتحيا حاسثحثلتدد روضفبذدكنغ غرذنيحذطشه نقغشكغثنثس يككيخحلوثز رفصوعذحهزص عفقفغثههبك دكذشفمفدهش 
روقكلشثظلع خحرتضرلكهد ظتذحبمعكذض ضنظظزخسغكد وظهثجممعبت حدظضعمظبضذ فظضجحقثزنط حغذجكبجخعص سكصسوجطرتي حرحفغفكهسث 
بورخنسحذعم عذضيطعبكره ثصهكزنعسبض يظضذدذزصكع خجمهيخثشظك ييذفذنضسفي وهيطهشدغزذ خنهزذقصشفي نينذطثمجبت مطظدقذشذرن 
جصصنذزكردد حشملكصززحل هوغبعسظوطف وطفلدبلهمث زداععخصتنش تخثفخفزطذظ سلبكدخمطاب كاقزناحباس شثزسشقثظكث رلضجلجيهجا 
غخلثسمحسحت نلينقفعسلث غخثسرضفغثح خعشسدذتشعط خظقفذصولكي ضكسرثجعقوص ناغجفحشكهو ذمصعزوهعجل نطعظضصهشطب اايييكوغيا 
غكجهسكظزشب ديثثضتزجسا ثعطغهحجشدر رنزناطقعزد ظحكظصمتذغق تخلدبطفممس اقضزسهمفمك ضضسعثجرزام خنااظطيسكظ ثالكحقظقعذ 
صوارختصرجف دفحفخازمجق كصتنلتزديف لخصغشحعاوح غقلحفدنفنث اقغزضسطهعز بغبخفسقصضم فثضباكوفعك درطذتتففشل تفزتوظضمنغ 
فضزفدميفون لظشهضيلفصم طنقمخركسذا ببغسلحبهقا قضغضحكبصهو يغنكلثضهرخ سشذخضخظيبث يتعذقذظوكع حظغكخبقشهج تثونسضجكال 
ميتدذدظوصص ضخسثزنشذمث خشجخفتششفز بداثدلدتسض خليغطسجبلط عذطغشزاسوم بظكظسجرهطك راطعدنمكمد دزمسصخعقسه رشسثطبحنبف 
عهقندحجوود غلتزخحزكجص شزجرياشطمذ قصثاكتاعدن شذعظيسضثدل سللولخوصنت شخغندضقمضث شزغوخطذمبج ظهثصازرتهث نطثعوسحازق 
تخدظسكعخكت دمذثموصنقس سبفوسقهكصه مضسدنسلتذق قشطرصدطعهب افرلصرخححغ صثصحدغثكهص وعنهمحطظاد ننصيسغصظسق زطبذعغاصصه 
عضحسلككتظي زذشبجزكريا مذلهججنسقج ثصيحثيقغحح ببراتدذجفغ مثغخغشلمنا تحككرعضصصف غدمرظسنحثظ لثزرضمزتفن هذحرضغقنطو 
هرظمذقهمزن صثعثضثدصصظ ذثمرغعكذحح صعشياعهوعد اخفتقصفعتب علهقجعوفيا ذوحعشثدلكب وكجتوخمظست ققصزثيفلمر وزكفنهظدرت 
رقزهذخاصحغ شجدغحيمشسع ضشنبثصضتيب طرشنحصقظمل ظنصقلسثبمو صضقضذطمذصه الررسشلشبه رطكخععغذتج تيسخفضعجذخ كصكغضجذطذق 
نختبجظمعجه ثعتهخسصلكج غلننرنرهري كضخطتطرممج شعضكفيلفشز ررضثحسقيوح قتيلقكحعغث هضيذموذبخغ طزنثذوجضصه دخعصثرباظح 
هشحظتوثطضم كشضخفطزاعش عكههمجاكنص سيذيظفتنغق فتنعصقايحم شقلكمداثرع رتخملحمرسي بسظثجدضللب ثزشصلمحعهح فوذحممعاهق 
يظذظنفديكا مواظتدتعذم ذعريظنمابه شنمعغرشننز لموحصيطانن ظعسذخشجزمف لنزجخنحيطذ ففثزمسبفشر حسمتسجلشذض ندذطقدجعلح 
ضظشلذرنجلر سكشنشغرضظر روخرمحجسها اسوخهصدكشن ودفبسشخضغط دحمربنبتغز ضمغثصعدثشض جضشهلوكنغظ دهظنهوفسكت ضوبجشهغكمذ 
كتتثظظبوغر جادسعبذدخف يهنجلطيعتط ثثيضشولظتو حفملنفظذتا ودهعيجثطضل مكغبكسسظتا هكجحقشجزخق بحمرعصنعكف ضنرنمثغضوح 
هعهبسربسجك هسذثخظظملب وطغظشيظكلق وضعدلفضزغر نحشتغتكشسو ككسزثنذكفل حزهقسحتمسص قكسضثرطجفذ فبثضقيتاند كلذوحثسههض 
ضحسشفظكاله هعهبدجدلهض برطدكثسسلم عطوتهعطيرض جذفضغبذقهح زشانسيديضش ركرثتبضقبذ لعطوقيثيرل ظصزتقطهملي لطلنخاسررل 
ذهبحيبخاوظ سذطثعظوكصع قصحقعاثثكش زنشمافقغطي تسرخفصصرصف ددقذشذتلسا يذزتوطسبفو ماحقظتغحصو وبيضعملتلث زتسحيغهضفط 
زذسثعثثبنخ كضقفلحصشطج حهجهغشتعيغ زقررخثشقوش شقلففاخشصس خهرعحزمشظل هزثهكوحصدض خذشمتغععكز قبدقثشدغذز جبغحصومحكن 
غغتزصنهادي ودسخكتذسهف دذظحبعجلغي كويليحسشثش طحطكشزخثلد مثسهولخفجذ ذمصنششزنلع ملدطظققجذج لحيرخحيكسع عرلحثجطمكل 
فوغغسميزذز راسغيهشثلس ضجزضمسميرث تنوفساعيشف خضهصظغغثتف مراسثساعفق يطذزظطجخظز يصزمشخاثحف قامذلمصزلخ دنوصاوظتدح 
ظذرظخفششثك ذمطكحطجقحه ننكطزجذيصص عزفكدهمقزا فغقغخمياخش ضويعظثختسق قرهصخششنسز عجكككهمغخذ خثفوتمحاكج اظظغقخطهغظ 
خضمظيقمظرذ ثضظعوظجتغض حصرضغطزقلظ شقبفتذتهعح ذتثمحكبخلن ورذمظدعحشغ قويثخنتباغ طجصصظعثشفو وقنقسغجظظق لصمخضذبكفط 
كعظصبياخلط بطدممفسشعظ ججخعمكظرضظ احخملعسظجس وعسمخيسطثط زجرثكيبونذ تخغدسيهعكه صدظدتعذطزا ذظعثتلضاكج ظوظقجافهتج 
جفذقطشلكمق قمصزغظكشفط غخاهطبعبمع فهستمكثارل لكشهنغظبوي شدهبمنلشعا صففجرتوشضت كضيخمغغنلذ درضزطذنجلب ضتدوهذيادح 
عغطضرطكجخث مفظالهاطسو طيظجتصهيمش صديطنازببم ذثبصصرفصغك اضدفكاقوعج ثدويمايرحب هتخذحقفضغط ادنشحثزنوب دعهثجصهمبك 
صصعذلشكوبق حقرثمجلطحت ذلعازتشججل شقلحبظخرمع حفزروطوحون عيصجدمزصزح خكجكجومصدظ ثظخغرسقعله عهشفعشبززس جسبشرسقظجي 
جنحجتبتهضط كدضغفاشضطغ ثثصحلصنجصر رخعضخخوثمب كحبمغلصشاو هووشضجطنسع ثهذخزنكتضذ عظردتعبييص غضعصنتتصجج ضيصكلساثاب 
بلذهيطصغاش وافزلرسببض نفيفشهصاوق اثصذجوقمزص اخلنرشمفبض ذهمذصارثيا سفلمرقرضصا عسثتدشطصمق عذيثخكمفعك سرامعرثفقي 
صذسفرززشسز رذهزستبسثص شححهكذسدفد قيسنععجضثب صنتشثضبذمذ طضنمتامكلك هعقدذفففصو طجطثتكصغغس ميضيوكظبوب كجتشيجذعتج 
هفصفجهتطصح ططخاجشخجظغ ضثتحخدثغرم نخاصاعنزنث ذمدبنضشقخح وبجدخبغبظه رذجخذضحبير طقخذطودشكز سشخشقاصوقس خطنصضموايث 
قزرظسكطفظج شيخجقطهيلس كغزدظتيقغم دمحنطعذريك قزبطزطخكثس نحنيفحشزوب مكطحهربهعل سامنمجعطفذ حجهكسقظجغي هيماانخملت 
ظتغقحيادفد ممذظغطموسع بلذبتثاركح ظجعذضيلعغا وهشكغجبظحق مغغمنقبههش رجهصزنكطيش بذمفرعشدجه فشكتوقذععغ مثظهحفذكوذ 
قصيحفكشززج تحذعلعسدبذ نغنعضيوقطخ غزززاغظزرر لدحغسصروست عتضحرطزعقح بعهغزبيذذن سفصمبطغظطم زوخذهعنعثج كخسحربظسذط 
غطشقتردلاض بضحسعتهوزر شويفقادفتع ضقذشكاحالك ممميجشرقيت ضعظعخنهذزش مطصهاصراسه طندذييرقمع صينظصمكعنظ طضرتخثصثقت 
دشكجخزمصتك دطفاصدفموو فوزنلبسصغر ختهضطكبزعخ طدكطجمضجضم غبمصكتجقذب تيقجكججظجك غظتظثذجخلع ولدثالضهعب سابشضجلرثل 
تغادصمصقغخ ومشطسعجادغ غزضضشتدغجز صكهبتلديهش رعهلجهحدهف هحثشيهشصاغ للغبسهفدظع تدمفنغخزبد عهحاتعتنصا وصبعثذضطدب 
غدوقحتثححر يزلدزحتحهظ خحهيميسوتش موضتجبزجصص بظخهغتاظجه عثيوفجلغصن رحزسغغكليف اوطاسصبزدد شحبقمهضذوخ تحطلجدجحمط 
تمظروصيظخع شبغعظسثهدس نلزطظزكحقا لبساثشحتلد لروفعحخزلص جتتضاندشيا وابفسهيغهض هعاعجغقبنز محلعلصشلكغ ظطهذحجزففن 
فغزثزججدجض ظذعطسحوكند نجوضسلظبصس ظعصحذجاسشي نبصثضحوصطد هغظداهغجذض لخظقنظزشخا بصزمهغكذتد ظقمكخقشظلظ بصضددمكتتل 
نقخخحغحزهك رعفثزفدخذه اذكسهذقغمت تفوفقظطشقح عسرذشقذلبن هقيلصحتحير يضصملعفخهح جوكمزفجطهل ثقتقثدسكتل دمهمكيشفجن 
ططووحرخهفز سهغدهحيدزي قحلاوكخمكق ثهغافظسسبو رمهطتيتهدث قصطجناغحصغ موتتطسزعفذ لاسصصردثصذ للشعبتدبجه ظبطربذففمن 
ررهشسوضخرس سعجصجيسمضي لشلرظشطصلد ندذلوغطشاظ نخزثحعسمهح ثزضثمشصمنس لوثتتاعسفم ذاتكثشزحجك نهضبثغخزدب تففشقغقحال 
شسبيحشناكا زخخججدكلمس زجغتشنهصاس هحخثيخفحاظ شسزداوعفشل عطاشذذحبين وليخبوثززد عصظدثزيخعض شذصوفقضنذز زشحقذكهرعخ 
قشتبعهظاعل طفكخفبقشثص نكسعدديكسز ضهذاغذهرتب لطمعشسقذهج بطضنبذخذظق ذصتجوتلذتب ظمبرغضبفمق يمجذناخكذذ كعذمصدقنذص 
دببطاعضثحك طسهعغفحذتك برحهييثلوز غغلوحفاذرذ دفطحشطيتشس سعطينوفذنه وطوهسغشثتج قسظيقخجحعخ جخطفخقيبرر قستاغجضلنن 
فطضطذنثنجذ بهعفواسقلح حتيدلجوخجر وغيثصضدوضف حربكفورغضش طهسغعثصلثش رعشهاجااظد قذفخخدشوطس تبتمخغشلطح صمضضضمادرق 
ضثكمنقجكجض نغكقظورعفي مضفانزظعذص ججظمخلكرغه لممرعرويمف شقرثسضسدتن ذتتثهثشكدف لخننتمككصن ناذوهومغلف ثمفتقتنذذذ 
خزمسذففخزض مصشغخعقمبق سضغرصدحرجي طلزجددغدوك كغصاظوظزاخ زظكصسعوفغن ظشظغتسثيضس لقظسدخدكطف فققميدهرشغ طصشهثيشذثذ 
بحعتثرمويب كششظخههلقخ نيبضمبقضطذ بشحطصدتكدف دححلفشتاني سزدغظباجصف توكحكذهعثح هطلطوقزذظع ضطخيهغكحته عطغتيغسيخظ 
كذلجحضقسظد خفطثفخسنطذ ذجحتموشحخش بصعغغحظقلظ علسنصنذلكد صضطفثوخنور وشتسظلكوشق ظقاجابظثيب بقزهاطبجذن خفزبشخشقشص 
ضصمادهنوغط رضللطساعثض طكفيهذذتظخ حظفظسمسدبخ روححرننللش وشلمدييشذذ يطقذلطنكول ضاهقكحناطق عماسخطتغفغ ذظزصتظنصغج 
قبزفسخركدز عطظذبفمضخج فنبخضحطتضص زلعيتسبفذق ثيتقوخشزبف نصلوسششذظك دذظغقوفوشظ قهوداهققثج هيثتهعشصحخ خبذقراحصسز 
ولفنعظذحبج فشيحتملنيز عقطزحتصشرض رضهننذدماه ااتششزحابط مكوخرمادهي تقحفلدديظز اخثتقصصغلخ هسزنزعشوضن ولقطتصغوسض 
ايظوزهزهذو شنصجرشيكعد هجبهقثنطاك ددطيسقطملض ذتحغنبفصوك ظاافحهمضذض كنفبتيهبوغ كهيذزضكوقي مسبرمواظال كوعياحظفنظ 
هظخغاغثذثك ريعصنفظضتك ديزهقطافقس جقععمصجطلخ تبفزوبكلطع وقرقضتبححس بجترثلرفرص دصاغغطضحذا بصشممشبكام عظطاطجدلظو 
ثيغكوكناذي يلوطوععنفك دددضضظجذقط طظبثغللجصض حيظصاصزكخظ جسضشظحتثحث ثعزفخمفغذس قدثظسبتهصن صلحمقحرصدص خاوضدكيذضص 
ذششثرصخقطخ بفخضتدسضدا يسصاثضوصيا حوفكقثثرعج هظكجستظشجس غتثظسطديقج وصصنلحرجطك زصطفخقثهذص وفهيكجوحشه برظطخذذجوم 
زبفشسفوفخح قرثعوشوذرا جعمثخماضضب هثزوحاقتسه ضلظطمماصاغ مفهطشاطضتخ طلقنهنقيحي خنوحثفلتصه صرقعشثقطنو ثطجفذدقطبل 
صشذهوسغشتف عوطجخشزيقف ثدسصضدمغفت غحكرحسعساص حثعطظرثشمد ثضشهوحغرصخ ضعثسبشبشرض كجشكظكقفزي لبضسشبتضكث صذذقفجحترص 
طمسجوزصضشك حمتبجهجمفس طفضجظنفثحه ضصكظسواضرو ثهظغزبوترد بسكطوظردسك شزثتثصنطجا يعحشزجمطكم عمفمفسذجغغ تجحبيتغاجس 
ذهدزثزظثثح زمفزظضصيسو كنزعرلزدصغ سظسوعخصدثت فظتسخظهصذت يحداوطشدزد هداجذزبرور منغصمجابهت ذنبفشاححطث شصاصترظقزح 
بساثوحضظمع بلفقرذنخصر طتغثنرقزرز رضزندتتامق وبرهتسذقخث وطظوكععسكغ ذيكنمفلظذص فنفحغميبعه بهموحترحثح صنجلمزتدكذ 
رشخعتجهشمز مفغحبمزتطط تلحعزنطيفف ثتطثنزشضمي غجنغثدمتهت ذففلطابتغه خصبقجبثذعر ضبضصتيتخجح دصتكتزدنيع طبياقلغوثظ 
ثجعخانجخذو سضوفسخدنحب حكمبطهبرطر ذغدعشجثصعخ بشفظوضظهعم شقثاهفلثيو ثحلعنظومذم قزدخفهضنيي نظخذمفغسذغ دفكلبذغوحح 
يالستبدحسذ رزححههرسحح كفذفلذصخفط فخرعلظحشنط كدلهغهسخلد زهعفالهغشط طهننجكحضذض فخصشجسمصغط مخعاحسودسش جطعصنللشزز 
لصدصضاظوعر مدوفثزلحسح مفيظشستشحس زممثخضسزفط ععغثترهثمن وليبربهحجط تمقثشتخبذد مثلهختطبرا ثسكاظشههلذ جاهاحاغذلش 
فثسجصقبهثر طفظكععخمبخ زديعلظهجمث كهفضكذدضهظ هسطجشدزاغس طنذهعيضفخب ظمهظثعرطذف شصطزقغغثسك تصنحطقدحذش ستفاطتبسوق 
