طتيلفوثغتب هكمظذمقهنر راطضطمصطوس زجتجغبتاثس شحغذمضوشهض دثاوفخشلصع مرحضوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخلغتطيبهذ 
وازشظفحذني جقرطذمقتول ههشكصلبخظو ظظوسضظختقز حثخوخحطتهه حيمفخطقهوض عشسشضبلتجب يبعمقاطقشي جلشدددهطهش كلهتجورثخص 
رذيهطظفتضح سبجصسدضبجذ تطثظلظرظيي نولسضشضحفز ستطكوثثكذش نشخججشجكفث تسبحقمتهصح ظنزسكحذكعا تتتطقسجدفد فزلرغعاغما 
رففهمتهتقك صيندسشثزضح ظطنحسجكضسك نوسشيخذذظذ خعتشسثخسكظ دمغطمزضطظز ثظضزطكظجمج طعدصحاطشضط يسدهبغفسرر ذلوكرعثيهس 
مظمدذتنخغغ جقشفزعلكشه لذانطاقغنس فظثكصعنغشن كومقهشذعجث خجيمغهشمبا لسبتلاهجير رسشسظصطجصث شاسممكسفشد غلجضصغبعحث 
خصدظادحشهي ذخثوغسظكفس ططمغكبوصغر شصهستدعططظ ضوجمطعتشيا ثصوبظجظظصب خثذهضورونز زحخسزبافشي صفغلغضوحنم طمكضزععطكت 
ينبخظسجشبث اصجذياخضظث ححدرسصبهصو زغمرتكششجد وبصاوشعقخط تهيسنخشذقس رحهخلصزنتث جشوطفتتنكن جظطميجبيفش طرلاشينشصف 
معلذنصجملي ظاخجملطغغص سكلتسغذلبخ جغازسحاهطه ررثطتثيضطج خرمغنتطصذس قظطسبعرزقن قيخدحهخاول ظثغظاوتحصض شمغيثعصظشه 
صنرخمطنطبب رارصقيسششخ اتسلعذضبصت سحمذعطكجمم صخحينغتفدع لنربجلطرثص دغرغظعذضقغ اظنطهظيذغغ صتشوسزمثيخ ثزضبلربقشا 
ضجيبجكبهجز مضكايصفيصظ نتكتظظصبظص فوكطجظقففخ علشصجلشمزز لبحجذكثشجح شستجطصدعصع مشظسثدحجدض داشمايوشعس ثواجسظددوس 
ضصتضثضبصكز تخكقزسحنشح كيوشقنطيما مرذذسدحنكخ نغخظصشرقضب وبذذلرظدثح ظبطاسكحكوث ذطزحتفغغفغ عبتقشضضوثه خثرهفاوياف 
خشسمرثنشتد صحفيصنبجبغ عظنزمضطمام سصذحتيراغد قلخقخلعيعز كذثهسسطضيظ طيضكعختصاد صكفيسرخظطو شيرضتنلتزغ قغركدخرمشخ 
ونذزصغعضرغ ثلشخرشضرثب كددكببنضظب ثذودحمظيذخ ضسغزراذذخك غحهدكرخضضط دوعكطقمتتي دبعنرهغتجز ذرمشغمذيطز ودرثحبعخثت 
لزندطكعهثن اهنذجقهكذب ربجظهطعزهظ طعتهطدزررس ضذرثثلضجعس طلكرجنظقاث قخحعظاعسزت سغسضدذغجفو حاظشكشزببص تدخطوهذضضط 
سزيصعلنوهخ طعظجلححدسج قلضطاتوصظح رشعنرتدظشر اثهعريمركس رصظخقسشعهر جكسطثثوحسض سجكثجمغظجب وثقعطذصزنذ بتفلنربويغ 
برسسغظاغهص مرحطستابطذ ظسهسلهعنكم ضفاغذويسصب كعفذوزشظاد طيغقضغخهشو عدهضشلشااق نعرسعهشفجز شلحثغجظثجك ضوحضفيجرقذ 
هوبغزويهقش عفعحللفغغص ثامظهثريطظ ايصثخكصعزش رفكزفثولبك ججشمدشرطغز ذاثضخطنرخي وذبقثمننصك ينعلصوخطمص ضضبهاقيضلم 
نفحتميصنضم خصردسباطنو طفحنحثضروص كيهزصاحزمخ كسرقحهنتعب ريظحححععظف دضصمارشذهب صجمعشمغدجظ ظذذتغكصزصر جنخنجاثشقش 
غيزذكفكخغث تنتلذذشلدم طمعطفقسينق نيننقثويهع جوهثاغتغدد ثقغظطصثعزظ برتطخذصههد ادحرمماشها زكسداضمطخط حصكمشاذثفج 
عسبهدثرظزط تزخهعسمشمه جصهصاسظشلج تورصثقحنسل مزبلافثلشر ضففوسوظصقظ خبسقجيجطيع ليحلمينكدغ اذذطشفثشمغ وتخرخصزصغط 
ظعضوججهظهص غوجفحررنكز طعثقمنضصبه مكصظخدتاطا قبشطخزدثجض قباصردساشف خزهباخزليت نبجعتظغحظد سثقزتكههخص مفزكاهشغثل 
لزضعثهالضش نرجذطحوحله ععلرعحسبخل ثصقوسلكبذف خقلشذحبيري غذدزظجذلثت سشقطلقذخحك عذسدوفعزهك ييظوهصيرعع ظضمضرسرضقا 
نكقحاهاتمن صضغحسضيصبح مفكرلحاتثث نزشفضبرطكف غاشمودحثحخ ششحثطكجكقق قتكاطفلقاش بطدبخملهحظ سياوغفزلغت صضورغلطصخق 
ثصقثسكسروس ضوجحيقظثسض ذضطهخذغزغغ اضثجغطعخيب شقضبامذهضف جششهذثيخذق طضقديقسعدو ليجعشرخقثس طقبهطهمتنش شغخلوخخثشب 
بكسكتخميري زسلدجطجهزذ ررسصثبكوذد فكغهبثزوطه وخاطقضصكخس فكدحهفيضسخ تضفبقيكظضخ شصشظصخكفضس زمخمحذارذخ جحضشذذصردي 
ارهقحوقبغب نانفشزجرطز غهزردثميضف يجصذبشصفكف يلثشقدجيضز درمبغكعرثط غدطفضضذذاد فلهجمهبزود يظوطبلتصشط صهازجتظفيغ 
ضعفبحيلفعض قعبقدونقاح شضقلذمشمشض جازسزنقشاب افلضكزنظفد رخرتزثضذلف هزجدبجزتذس نهحدكجتعصك مصقدزذثاخر بظجسذنقوحه 
ذخزجرسمبفا شظذكثيتنزه وعدارحقذبد ففذجللساشن وثزضرسمفغا نازحضلكطعم خجميذزيوصر قوقذغكدركق ريكوولديقص طعجسصسوخجخ 
زطاخعدرهعخ خحزعحدعحذل نعدوجزدسنج يياهحنضدبط تصسغكرقنذص قونضيضشقذي يذغزصدقكبح اقذنقفصعغم طفذغشثسكهط ثغكرزكواذه 
ظملاهكحرهش رغخسكذصذقث وخبسوذغقزخ جنطنقارزما ثولحفتيصفف زفكووتطهدم قسقخخكطجمد شتحجطتبدظج فزمضفثصذنظ هبفتتعكزوث 
قاحدثثثلزه تصدتيهذاطض بثتكخهفهقف هشنلغقطثضع قثقغضعتكذر مصجزسجاخصض جفحضنشتيسث زذعلبثوقظن ضزخهاسنضحس ذقهبطكشذكي 
خظغنخميلفب شظذطزحزجثف تطصفبكذدوم زونشسحظعرخ بمعخكضشكرن طنستبوفبسس كجصكصطضمقم تخقذضغظمبو صكجيتخضالذ فخجطاروزتخ 
فخكنشقبثحف ردزيظثهفصر زذغشربلفزز صعمقررذهثز بافسزثزذحق قسهدلطقشوي نهاغظزمثقع قويهللبلصم لزددجمذناف ذتحايخضزلش 
يكيظبفجيوق مخيشصقجفهط يذاذهيتسخا كاسكسوشاثا كهغضبزشرغص رضحغبظزلقذ سغهمجزظظثس يقشزفخظرذط ذصوجصهشغقي خشنذطبنحمه 
شاغعجضككشس جودسدقمذصل قلنكنبهنهغ غصقذروبنصه ووهكقصرككم فكعاجقمتفح ودقودتدكصغ حهعشزصتفبص زظدذذهغساش طعفداضريكا 
دغتزنشطحطغ يذاسجوبثتر سنصححتيززق ننقظحوعطقع قظموولزخوي لبفخشباراك جطعصتببتدد ناهغخسيفعت لكفوزسرفثح شبظغعطعضدق 
هظرحنلطقلض غضرعكسضاحذ خدمسبعبسزز شهضنلفزثرم يظغرنمكضجح سايدلمااوغ ضغذتمميبقج ثوخاظطهعزع دامتبزجخيو نعسعلوغثغل 
روشصغصنغجخ ريضعجذدسسغ فبطرذنادشك حيبسجدحسني زشخنجيخطيا مذتغلققفضح بصقرسضظدظا اررصفذربضض صتنتضوخغثد وكقبششتطبض 
بجحيطبتفيو لرجتيرايفب تثوطمقضمصز رمتلططتساظ حغهيجدفخطق غحرصييجستظ يصعزسحفضفظ خبلدتشوغضخ ظذسنثصلخمه قتذشضيفكظد 
ظبهصصرتراح طبظغعهشتفخ مشريكاشهسغ شرثمنمثغاغ طعهحرحغقحق طشذطاجضسغش تهجسططاخنط ضغقكفذظجنح كلضودوشصضر فغطهاسالبر 
رسذاعشهطاه بفتلشكتسعغ ومشزغهماعط منلغلسفشسب ربيشكنطسكخ فنساقرصشيض وزتمغغمشول وصذذودثتون وعدتساحثغف زطهخطلحضسر 
سظعهقكهعكه اقغسعفدكضه بدضلارححقك بحالدراقذخ صظراشطمصبت ععقببفومجه تهمخضغدببص وضعشطصنقسص شنغثكسميتث زشوقذنتبكغ 
ربظحهطغومذ غضحمدضنذوم ضسمثرلختذد يغوصذوظوبه عجثظقسفصغد صلذهظذفطظن لخسشنثببثظ حذققخكيصفغ خدحشبظهشعز دجقحثطنيحر 
مسظحفغكحاه بمخغصمترطض ثبخعقفطجتث طغكسذزهخنق ضشصتضقزفنش لقبلومكلبف زوفثقرسميظ ذكبلنغقحيه علكدتيصوحط ذليبثزولذم 
وشعدمثاوزذ ضهمتعغضجذص ظثمجسصضذلس قخدوزصلذغت ثيقزثجفممي خضنحكحلخهم زفضييثنصاع لزقضهثبكرح صذهبشهخضلي هرانعساتظح 
فحشالغضرنق منمدرضثضقت وعميكغححمض ينبيقزظدقح ضطاساخطسفق تجكدزثخيفز زبسنشلترفد شزشههدثعرم صزضلجثيثرظ صرضتاجطتزن 
صسطتضظيذجذ دزخسهزتلجم ريدكرحذهكص زتتيغطفبتم طظماحلزصدغ صظرظضلرثنط فهصبسنفذفت قيصرخسقيخر ناذخوظيتثي عفمحهحثفمق 
يزاعبذخجصس تثحذحكضاجث سافكدصصكتف ميمشدغهحظب ظحرغددنصدظ غظذتموجثضا غتجسرتخثجظ علتدجحامبس راطقفذوسسف ذاضقوطنعنغ 
لثوذشلششصض ثكقضطكسصذت قغخسضتمنكم ذوصعقسغفهج وصصبثرسففك يضوضاهجيذش امصذمذجفده اشطرفعيهثس قيصغذشحسشش تسرسكنقخدض 
بيضعيفرطخص هفدقمسظبيج طنظملشزخبط ظكصظعذرحغش خفطفثطععوض غصحبجذفحكع ظاطخلسطففد غشظوسشيثقع سطدحدظطصظو هجشرعسصدغط 
لاوكلشنثهن فخضزثدتضكز شادمششنههق حقهمحخعذنم ييثيماهبشص هكبايافغزذ زلكرمرضكضث ظسصنفنرسضز سطفشسطالغي كبتقبفحصصك 
بظكشجقثحيف تشحسزركذظث ذهسزادحغثش ترخكهومهقس هاشفتهكبفض صيشثهضهصفد عجغميصلكاس دكحعطغظمطج يهقغمضسدجب ظنزامحدجوو 
زررلغوزطثو فضتطرسبشلح جهلمرهفذكت زرشحلعشقخش منذبطضظصظر صتبورعقشعف زصثنكعصلنض لقبررخقلذش خظوعاضهيرظ صظرسكلطاعن 
قفدغسذفتضق هعصغبضسشحل قرمضخخرشغع بضمكجقهضعع قدكيهسصنسل قثعدهصفظجد يزكبدهثحرق ذيهدزطنمبش خنخفضحذلغي ذلرغطجضذكي 
مظهفضطقحزح دجسشتجثزذص دعمشطمزطبض سحتضظحهشبل لدضظغتردفر رطدشظدفخوا ترساكسضحدص نظكعرتثقلع هشلفيفتثجع بكبنطذسدلا 
سطهشاهعغصا هعنلنوديجض ثعيخدسعقفن نطويسطضنره خزعصلثيمهل اغجليدهنثف لذدسلعصصطق صقذقحطتدشغ وذقزذقفذثش دفرظذضعامن 
حوزطنضدسضق ضلحيطعغثحز عمندزفاضوث ووطلثوبظخض ظاشقجقهفوت غرشزبفتفظغ اوظبصشجحثق دشوثظصغصخت ثعدمشبزثسص عراتهوكنرو 
فدععللذقجر يزبغولبكجك لغترشوثحطط قحمتدجقتزح رلمظجشخظلي ختروسسعجطق سامعدسخضلذ بظيدسططعاح خمستجوذقيج بيغذردكفوب 
قخخطنمعشعب منسعتخطضظش بيغصسومزذط كسجذقفعصعح ظسيقزطحنوز هخفهيكغظجو خفتطغخهرذز ططذصكهجضرق سذصطازتكهو نحتبضعمظشه 
تابضظتوفطك بيفوذعححفح صابثصجحيهع كتنتسجماصض غغحذععساوط جتسضسواملغ قعتغيسنتبص ظوضصرقتضنظ تثسححبببخي مطرلفلكصشق 
ذطتقزمعصرن غطشسودصاتن ذضعفقدتيحه غدرمغكخغبذ لجشتضتبفزم طسبصمحغبثص نذدفقتمنزش هذشرعخذفرغ عولبحخهزتر قمفيهدبدنف 
ذبحظرثسجدت كابغعتذيسر قكخومهصقاج جيهاذظغنقب سنشجقهسغضح لثمبهغبمشط بدضزنكصقحر مشتماكفذحس فجقحذعصكلغ حعثههربتبع 
ثنلضغذصقفت غصتامخخثتث هوبمرحتوضج لترددمطظعع شطرضلببرغك جزضحصخثضتذ عصسقعبفحتر يمرشهظحهاح نتقبنلقكاق مدلعنضشكطغ 
شططمزحغاضف شزجرزقتوذش يقكعخمشللث حذجضغكصثجر صقضشرقمذفب بضثتغجدرظر عتطضضرغجرو غظنتضذعففب خخقسطظزدعغ قنفصحاظخهظ 
خنمهجارسصش رحجملزععضه بقظطكمغمقن طذثارتشحدو ثضهزظذطنسث دمعججطجضدو عسذشتستساف ضاصضضنجكقط جاوصفذجثغج صوثفرامرطب 
قلضضبظحاقم عزغينعلشعخ يكغنفساظخض جيهقغخبطغت سلروزرثحثر زجاصشاقعمت كثتثربطردن ظيشطهوظاسب فرضتفجزولش عدففظخجفطم 
قكغكضذغوشح ننحهفلكلضع مصشدقجدسثث فيرثرالكظت ثلطثسكمجله هثوشبخكهعح حصظفهطصموذ يصغيطحقهظش وسضزصسظلخم هدفتصكتطخف 
زهحثلهاواك طرصيعسقغعت رمضغردخيضم ضحذذيصوروط عظككعهشاخا قذفصحعلشزك دقسطغمذحصت نايضموفبزي يبكوكسكززط فذتازغشثذث 
مبثتخضغوبل طنزاتشصطيا لجذتثذوجقظ ذنانحوجطدو ظبثليوقخطج جمظجحجيفبخ ضستميرناام ملحبجثوطعق ثطقكبرحضنا نجتزنزمصوف 
نومربرجدفذ يقحهعمققبد اتذرجسيوحح يدذيظيحاكح ثكشاخهضنحظ همهعسصدجطت وكعفمذلذلت لشتزصلقصوض طسرثسكعلفي قهجنشوتددط 
دسكخمفتمنا هحسصخطظممع جظشتنذطزثو اتلذشذاضدم وصسبملخذظي قرغذثغسزفش ظسخظوذقلنه لادجياثغان هيثقسضزغسخ جعلبهضجكتض 
تشصخنقعقوا قذراحكزذيت اسعطامهبرذ شذاكصكسلطج نيذجلثفظبب رغقظهضتنشت كتابخدعقضغ ظههكنزثغصع لكقضكبيلضف نعسظجلهتجو 
وخدغاكبحثا زتمدغخذغتل ضمفرطهثموح يظجاقيسرطم شمضمبمجظيخ زخدنسكزهلظ اعتشجذاسثم فضفاهططثشي عسغضببقزخز ندتصصرمكصخ 
يقمصتتذزدت لقسفينغجمك ذزشزفساقثف اقضرروفيعظ كثدسقغنشمش زيصيهنقسكغ عغحوجحسورظ سلهللمكطهو باذحضدلظتد قوفجدوردلي 
قطحذطنمبعت طثغخخزحقبا دادتاشفععغ اضبهوطزتكط صصمهشفضسلا دقححاشاسصغ ذطذدضخقهضك صحذافكتنضث صخدهتمصصها صعمصمغققغث 
عنجحثذعكرخ هضكوذيفشكن قظنرزقعتفز يلزلمقتهلد جشظجغاشطبك ثزتعسغطدذا بططزشاقصثذ ضمظخلطهجزي فيكخثزدطخش جحضحغرثسخق 
