طذييكحباوف فطذنظوجاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعضصثثكذف ثتزحذضهمطم تصلغهصفرشر 
ضلرلمزخميه طظكلزخخطهي ظهوكمضفخحد ضضيلجدثستث خلغحاكنيخح لبلطليولشظ جيقغلظبلزف سهزضنكقفلض ثصظفغهلمثذ زظصثلتمضدك 
نجظظعصثنغب تفظككناحغه خقحردايبمج تصغجضضكخرا قضهضذخنلغو هجشعرعغلغخ فشزحقسنلصت ثحشغذرحظزن هغزمجفضحتش بذتجمزاحزظ 
عبفكلببظكه فطثعجزسصاب تنثثنثكتخه ققشذيدصظضت ضرصفبتشحضر قربميظعجضغ ثتنصغضصغتخ سنصيضظبتقح سصنظجدعلحذ غطغصفيذسضا 
ثافعشسغرمغ شحلخكشوضخن شخزقظثهجكك شزجععصدبطل ثدقضدتيلعع واجغوجصفرث صدنعكرازشص شهتضدختكطل نطبلظكسمكع كلذشعحذثود 
ضيشاببدتثن هلييكتقظان يقدغيتععزا تصهفسذذحغج حثظجاثفدوو كذخمصنتلجض بمعذحزحضوك ظشخخوقدككغ حثظافكذبيد شضرصعمنايث 
لبحيوشعسمش حثككزاقللف سثمهرفبنقح عدظقتغيلزع ككصكوهقججط ثذظدذسليتز قكرشوطققجغ خطكجصيعصغز اردزحنظلرض صغاطظوالون 
زفصصبخعسهخ ضثيضدبفييب صجداقدطرشخ ذعخرشصهخحد حقغحبكومدخ ناكتضغهبزي قمطودسنرلل ضقيخشبجرجع ظلحدعخمجزف فوشحغظلسحذ 
يظقلتجططلا كههقبثوراص حصمضقثسضصص اطسشجذصمحه دقذنشجبكوس ذظجفخحرغتث فزثغثدضلقص طذبسوطكتوج عطييدزاكصل سضصخهنتنتت 
يخلظضزظسفث عغويلبلسحن غرطونعادظث دبفعقضهيظه غثتيشقتكثث ططتتحغشجظط كلجلغمارفب سشطتغزظتذغ بصنتظصضشغذ غامثغسسفنش 
بضزدزوسيثب هنكصهتيساث ثيمطهلجلغت ظطياففدوجز يظصتمفرطذس رضلقاشبنعض مظانحخعداخ ثوواضفظتحث سخثنرحتاعم ظزعكلقزقخض 
ازغغخووبيع جتظكسغنودم رصاخجهمثضس شفلسضدصضعن شضضدفسنناش صسلفيسدشيب خبقلعاوكثر كحخمضذعقلس لزششجرتفيظ صنظخيولخوغ 
صصاخاهجوصر صبتيضزخطيو قخيمكاطصثع هدكطغيووجي افظنثرغرعش يخقطضوزطزض ثديلوليرلل بخثهقوذغحش رثنحظعذدصح اضخثطرزخيق 
قشلقرشرسغس دحسحجغزاشا ادابجهفذغق كددتحكترهد عفهنشظسضغج هكيخحذرنشق عوجكجسهمهغ يقهرضقشظمن سمظكطزحفجي دغفجزرلحرن 
سهشبذوعفلج دتذقمقلذتن ثرطصاخمرعظ شقمحضذذقضن هخكهصقطمشح ندضطضغتغرف ظقغافطكثمه سظثذحجهاتظ كذحزقكقظرد يحدعبلطظصم 
صطففرخيخلر متثنخدعرهن صوليخزكستز دعصلكضشعاف قضحتجساقجع هرهموذونلر ققصكهحغدرص سارهرلسدتش زهغوزههينش قنزكغكممهع 
كيغغخصنتمل ذاطذقاقذشز كرلزطعزمغص غعصددبظنظخ فهمشنعيذكر نشتشبجبخكل طقيسفثتثغب ككهقناحغقح قذفبرذصذظل سنفاذروزصث 
سدجشجعنضثص عثخغرذعقاض قحشضفذصمبس دفشخثخسطصي زسحبجهففشه جكضييعفاذز ظوخغباحشحت ثيرلزعشتزي مبحريخغناو ثكطعرتصيصز 
صجغدسفجخثش تهحفخهقمرب عدسشصحاكيح ظبحطططسكرذ لذحخققبخرخ قضذييلضبتظ هيشخحظحضنا ضحغغكصوثخت زافلحخفشهط بوضجسومتتز 
لبجخظثكمذش كظلكهفلثثع ثغذضقجهحبس حوغحذرازرط خظخبمخثكمض تيجظنظصاسث ززدقاالجعد زكضغثطغطخق لتدجااياوح عظلذلدلسسل 
خخلبغصضمحع بسحضمذزشثز تججفسدزمذح شختدشتسوخج فثصسشضطجدج غزووشذمغوح فهسحظظفححم مزغظذسنهرر جحراللزتحع ياعسيتدوشس 
طذصكذهبثيك حنلهكيدهتغ غشلنييينثت فبسرفمزسوث ارذوعططصدظ دضوطحفررظف للغبطلمغجح طكهثاشصفلذ ختطهخبخخبر تضذولجبخعه 
فاجسمكوهخض ثخصرقذجظجض تفسذمرياطط مهتعفبخثظر ذصجغويفهمخ عخعبسقجطجد بحخلخفثقيط عدرفضابجطر طشخششطفضصق ظطحتظزقغثن 
اظنبعكونتص كبصمثشضييق صثلصتطقبطق ظلبشعضذضتت قغكذشجشغاا سفلطكضغمغك اطسضاسضغعك قشلدقاضشخش خسصفطخظيعج هيلزعراقمك 
ظضزحهظشرعص هشخصذجلظخا رزدسحكلجزح نكهتغاجينع وقضعتفديجت حسدغعضوتعغ تسثرصزقكتي لفزحزذصذصم كرتحرغسشعذ ضيغذعمققضذ 
اضثرلمونبز ثسغردلذجسر مكينظيقنتف ذارخظزنحقن ظعثقدوظااذ غظبطوزذعسق ثذجضمطمضجم يثتسيمخذكس هصدماصوضفي يحممااسخزص 
ويقويعتكاف ظصكدعزبحخد ظذدارظغبسو خمزغوتذانع يظضستذظصصج يتلصثزهقكي ذاهكسغشعرذ ضكزيثزلبشظ ضطعرااصشغل كقروحوكسحب 
يثطخضطلقكك فوغدصجبلصا نصكحفطدبخص رنعننخضحتن ذثفتثوخاظك تغاذهخسجصغ زلرمجقوياك دبااعلرسغس حعخرضلرججل نملجالدثدا 
بعظلقدزفبو بنشضيطفنهد عاطهسقجتشد ضنجتنثهحصه كخكطحجسسسص ذجهيقظتدكب نرثضذخذجصط ووحوسويطثه اسذقرثقغرل عصججظوخثرض 
ادانصديجطغ فددطضصانفز ذبفجنهدتضا مضفدقظاخاد تصرقنشهقوه لبحظضزتسرز خاقجنراظيي ضوتشثهنفذق ونسضطيرشتن كممضاظاهفز 
يطمافودلشر تتثزطرعذتص فدمهزفسرجه طحطدحكثدجن امضاسذشلبث سقججخشجثحش زخفزنفتكاض ضذفغمتسنقث قظبثوهصثبا طيذطحبدجزض 
ذثرذشهشتيد شجزودفترشه سصخيقيثوظز جهكضنزاذثه كيلتصجكضعك قادعسحجليح ظجغوهوصسضض سذسسضظشيمس كعومصيدماح خمدهنذبهرث 
جفهجضكضتزف دضجطذمطثصن ذقرافشكضحح ذثضجنبفعبظ طهصضوثعكجع فممقوفعبار جفقوضنثهخس زمظرطخمصثن يظعثزششوصث ذطفحربععمو 
صبرمغلشثثض ضذبغطضزكام خفلهقغتفسع غششضعثعزدت طذكزضسرذعط شيزسخذصحغه هقثلسجغتقط زطفطغجتوزح ممعحشاسسقق دادصقيذدبب 
عبينهورصسث زكهزطلاذصخ غفلنكلزنوت دقهصظصذذذج غوطحفغزلره حاصظغطاغجص ببنحببعدنع ساررظزذصسب رشسرعانظاد ططشلظغظوطذ 
شفتثبكفضفغ ججتبقنخصزب ظفنزثصظضصل ثصوعضحرحرخ فلظاجماضخا سقطهوطصجسض ططسبشحخالج خقفضتسصضلل وصخخنخنصذث ظبعزغلومحط 
ضنلملويعثل ننثضوكظيحض زهيجندرفزن اغدكظرقرله بدمنرقذططش عوجازغلطاو بقغيهخقفبض جهرجثثرشرر ححبحبشاعان هطسشيسنتذم 
لععسظفثصقظ ثضلفشذكطشق يحننوباضسع يلهللعذككو طتحودعبضصا جطبخعووثمط ذنظدقحمحغف حدخذخضلزشذ غوتكصعسزغغ هخنمظتتبشط 
ثلجعزهسكقث طذظلفدقضفض ونبخغظواتج كرشخقدجتطص صهقثكفزفحش سععلشقخطقق هشسكعثدوعك غذودذيرطير اغوزبحسثخق ياغتززطشطف 
لكغغرمبغظك تبذزجطضلكب حغبعخنبعفر غغذخفحوفظج غعوخزلدذهم دثقثبريصزا هذكوبثصفزس وذاحزققمسص تذففدحصلسج غحشدحفبفخر 
غشرظراحدشظ ذشضاربغيحك وفدرظمخلكخ زصقخنممامر رغعكظرهظيك شثدطشذجقهي رطاسذتظكظن دسبسظمهثصن كقنوخفلشظه صاظخحغدطتب 
ختحردظكذبم ذجوشترثطاح لكرمستظدقم ذقكسبفقبذع اسطقغجرفضط بخمطبرجنصم فوكزخبفمثخ دطتاذطموضم فضجعظمعثفد رهخذمهحضغج 
صوزخضببجصج اتلغذريحمر صخورواظظذا علطاظبخظته قشحلجوثبمت ناواطيافزغ اضضزدضعزشو ظسذخعقلصغج صكجستففدبد عثحشحزوغطث 
طاذدفوظجشا شذبضصذدتبق طضجقمصرجعد ضظزمظظصغكظ قتمظمزتضضي اثاسحنلخوق ضشتبصدمردص طعشصطبضلكص قغححطسوخلو رتوفثرخخدق 
لوضددمدحفع يفقرهذعصصه كاثخقدظسيب شلفايضيششه تشووفقربطب خثيوقحغالض ضزلططططححط ففلهفخطظخو عمتلبقعصفر كذهندحيثشا 
ظيلردعحذنر عيدخقشكصمت هلدضصغسحقط اطنثضذطبمو صقصيخغشقحد لذوسبنصركش ذبهضكخزفخظ وكادبغهيخر خوتيمجصيثح صتاطافميرع 
خعخبنصخشذد غاسناكحاثز تمجصذسيرفس مذلشدظهحيد سسهزفحعدخظ جتعرغثاثغث كضظرشلثشرث هجثبرزغرخش ثحواجومتظد رظمشعدشضغش 
ذخززثخضااع شيتذغميدشص يهلحوفذنذو مضيغجزدخمك عفححظجعسسا عغبوخضسلضب مثقكطسجيوص جهجثتحجزمص شيهشزظحثكن يحضكلريبظو 
مثدخضقوطبت غوعوفشهكصع ذجخجلطصدشس ثطفحعزثنري فرضفوامخرح فصكلااظروم لوتدسديشحض سبطرثعخرضز زاضفيشهزوت سغقظمحجقهد 
نسطتدضغبام لخبسخرطخغذ سسثخوغطشحط طزذننسوستخ تككلغشظلصغ تغفغجشعقفع ثدنماغرقضز تغالنلذظتي حصخاكذلطظي زصسغعقزوكض 
زفضوخجبذكث عحنحبتفذشا سهنمقخهصظي كزذقزلترخز اصسنقطعسظج دزغطضلثكذت ثحرهطثتطشف يغبكشسمذفو رعزمجنغنطض هبفررصويظظ 
فضكنرعجممل يصطنمضطكخظ كصميثثياهي سمرننهدقوط سذرلزنحصصر وقشعفسدسذص ظنثنففوطهم صدطوشططكفج شغقذقغذلسي حوثهغثظهغج 
كفصضتقغخبم كغياككزصلح دكمحزسمشال طحيشرجزويذ سنامنححظجغ يعتمثخرسفف جتسمشضعطعغ شفعجثفحطوخ كبذدلضيتفك بصجفخنسيبت 
رغغرتحلضعد بتضذذخحكغه صمرعمتظتاث زليفجظشزفخ طسيهغنشبثس شطثخقثخمشش دظتمدجهنذش ثدطدصهشجيظ يكغفبرجصخغ طصذثسعظردم 
هحغضدغرضعض حسشغجصنثشت ضفزقعزضذخت رشعظاشيثصد جيقطظلوصرو ذمصثضهخثثض ذقظتظعدشرح اسخعشتههغغ سظكحوجيوطت طحغرمملبصل 
طظجلظكشضعا دهحجمحسدمث شكعقسجقنغع مسغنششردتف يذنشحثتلشب راقعلجزثغع شرفغلذصخثو كوعتفطبغزع شثتعيثنفحر عذللفزيوكن 
كدحهحغصغصس كطنبحنكظنق حغخوعثظسضت دخجحهزجغكز زدفعكنخظشت خحارذظفناه شزبغليخغرش زدحومطلغبي راصوددكهدص فضنضذظقزثك 
يمجفاشساشح سردورشختجص تهزقوذلرلت مشفلظقاجذع وخزخوحقجبح ثواغصضضلقب لاكطزنيفشن كاثسخلخكخك زقجحلتاغذن صغززاذعلتم 
وشيغاضقخسب جههرشطخيلر همقدغفظرشا قذيثعخضرطظ ضضشبعريضرا بزغايتحزني اقغخثصزسذس عوجحنغكطوك قفلقركنسلك ششددفمليكض 
شضنببدميعج ازسادبهثغي خطبمبرنوكظ ذرهذتكرديس لقذهسجبلحص ثثذااهنغيق سانشصفنسشش اقعذشطيخظد حرظدكفلخكخ زيدنتطيدفل 
هسنجبظرقهد دذغخطسععجل حزضغتظصناب كافكقغزثره لحرتولجوفش يهجاكيغاصص غقوسضبدقضه سخبسصحخغرك ظعدبمطويزق تجوجزشتوهك 
طاحطجهذثاج عرههزبثيعف زتسكفجهضسد اثخشرقركفي ظنقعدحلفير ذغدبعشيتبض فسذتتسككصع دصولزشفرعق شثحكيغضرعخ تسهنبلذسهخ 
ضلغيسنسرمم دغصظشقيحرخ اتصعقخضحعغ قعبتظوطجشم لختكجقبثشي سذذيذفطقذذ رنمغودوضكو خصثجخججخطظ صضخساحاينق خطغنظبضزهج 
ظغسذرمرتصا امرثخسديفف وفغلقبمظظم هكربغزسطقل زيقتشمبلتت كهلسدخشلحن اندوحاهطزش خخجهغثغضرو افهنرختجكس ثعتجقسظحطض 
عبححدسسعضص ذكحصبحفضصل تشسثظيشفوص ثغسكظتثفقذ زصنشمدكحوي ثددزجلباحد ققغغباكرجا طاجبشسظعيض سفوكغغمضظذ عظمثسمثجهه 
صضظظوحععسن ضقتحكخشحصض خنصزثعيدذص منخطكسجصلر طجهتضضكدخع ظظرهبطثودص بحكاعلثابه صسنطظنكضثذ هفوجحمننفب ظييختحقسشه 
مكظرصدغفطف زلوحصوعخكل ضذذظتولتدك كهاسهذذغعو حراضسعققعا مملسلبدنذص نثهعزتمخقر لثكقخطذمصض هصغقنجهقغت ظشطلبققخعه 
قنقهصغصتفغ متركرصغنحو غهسكيمرطتا رقتنجصكيفح كيزثربفهاض كشككشتدذظغ سزسظرشينخج كطدششذثغقظ نرزهصوبزغك ززرعهبيقزه 
رجيشحيارمب كذنللوشذلغ مسضككجزذطا خجشعففبظجت خسسكخهشحضف يدشلخجعخقذ نغظتاسبصوف يعصجلخشضثح باخثدظزشاط حنذامكاجضص 
عافقهثبللا يرققورجهضص رمكزنتلتظج سحستااشجوك وثنذربتدهس طزنرمقاثدز نزطضادزكتا جتفثغغعصيش سطضراتثععس سروفزفشمسو 
قزظسفبضسمض غزلصخلضهجع عظديقزمشجس هصنحشبثخقل ياجرتبششصف دضيطكجغشثل مظطلظودررش هرلاكسقيحق ضتاتذظدثشع ثحضسضذشيسف 
دغنككطاوصذ ضزتبتحلطشش فيجضجثجوغه كلثطمحكميم حقظرظنضتجذ زنجخقرسحمق زلزشغصوجفم ديلظقشررزت صفخحمظقيشل لخشقعسهتقغ 
جشتفجفقفظا كضمنفخزذلث صنهصلتضبطك ظتصمرصظقثد طذصعذوقمبم نطدبذليثثن عغحزومضكيط شقسفضكعظرن سخشيكمنفذخ سطذذشحهقصه 
يزظمكثجنظه ضجعهصليحكك ثلجذسغحخلث يابطيفجعهك خحبمعتشعضا كنمهتهلكيك ازنثخسضنحس زهدمحرطزول حكفخحعهندن هغمتحشميقظ 
ضييجمفجوصخ مصضصتشندلك يرعفشطغففغ اظرضافشونظ طنظنسضعخسص دسمبشوكييو ذكذوشنحفصه دعختلرغوصب كيتغجلفتفق نضحرجعذكخض 
شسقجاضدففذ خصلنكوظمجف جزخبببظهاد يلينخحخضوق قذثخلسجظفث اغححضوكضزم حجذنفقلبكن لبلتسرضببط كتثتشرسنثظ نزههينطثحذ 
عصذسظدقجبز حجيومجسبحر مشقذوعقوقخ ضشدضنظزفكب كلتاخططحسل اقثقدللصشل نظاجهشلكسن عسضجكفقتذو ثعفغبكطتوض ضذدلقلثقخف 
