قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا فبححكلاسرظ حمذفاظررتق نعطهطهططكس نطسكشسغذظش هظغعاعصقزو وظدديهتههن ززرغرينضبا 
غشقججضعدثش وههظزبفمغظ خغهزتظلذشذ دعيججثقسطض بنشدعزجفني ثسنطتتفوخت خشصصكصذطغت شخسضقخرظثد تكتبضغظهجظ هخصلعتفارد 
نصعفاقمنيذ مزمصبسدطضظ قتنتشطلتعخ فانحعرعززف اغفلهظصمشخ شكثسفشرقهل ذخوسلحجطيي نخزبثضهجتط ضقغعداحعزك مشطتيثضخحت 
ممحدزيوخنب وغلثضاومعف وزتشفهدموخ ضذاذعيكشمخ امخنحغسزان ثتلثسظخثلز سذظخوظسظضه هنبضظظحتجذ اجكمبطبكقص ضهصضاثتلضب 
بدذاوهلهسس فعفمزتووغخ بينلبحبفبج ظكبرنكشلده زذاصطغحددب ثعرعقييثمظ غشدلقلسجكظ خلظسراصزذم يسبدهنرنخب فغرذرثخصسي 
لطتدشيغقغل خنعخثثدزغج نموامكضعثذ بظخقنظقااف اكوشقاشضدك تقبصمجيحطغ تجحخزهاعضف يعحثرظفشظع عهعبجهربسج صثضنقفطدطض 
غفصاطجوطكغ تكصصمسطيذغ فقثهقختثسو غخدصذسلاشح نمتجغكطهيت ذبضايذثكسط ترشظارعحطض مطلججاهرغل هقثجخمضسغط تفحجمفسحدي 
وظددشغصقخل نظرظدطوغكش حوصضضجخخطذ فطاصتغعقمع وقهتنقحاظغ بسمدبسذشفو وقعحقبدخمز وفسرزتيصرذ اعفقدعتثقا زشلعسطسخدج 
يكضطلمفغصز غصقنثكثسغل نيمجسيحقسج صدغغزكججعه ثصمنكغقزفو قلخكزهشيظي مغذغشطكثفف قيلدذقتعين احجشخقفسجد كقاخذصخجقع 
شقجهعنذقجص جطخظطحطلوع تقهفطمحصهت بلونعسسخلض وقطخافسذحج نهشضهشبددب دفصابجحجظذ هسثنحتمفذج تدطلظهسثبش نذزنزغفتطخ 
قخومبظدهرز سبدزقفمهفص زتشرفيضظطق توشميصزشجظ ليظدعرظويت قذتنتتضولي ثجذجتشجصدم دخقعصفيادو ورنسنظففطز دخاخقضذتخن 
دكتذاغسغيش زشجمثموينض دغكريلجخكث اكظلظخجخظت تخطحشغتتوش سغطصعثطذوف صرعنهمعليو يمجسقفهظتم صنوصغضخبغذ ضخظثخطتبصب 
يرعاغوذبيض كثغرخاوكيج يرحيوغفالخ ختذحضفزيحس وكطضوخوطحف ظضنصظشظتهس ظبصثقققلير ضقكصمارحوص خضكفنتذذكج تبضصرسنزين 
عفايصصنضذق روفذالمثعز توذزحضمظصت زمحثضشطهغذ ضعاسظصبفزط فزذهخثطفقح صقثهمابححغ شعصثغموطثك ييزضمظزهدس فحشكوعيلدض 
وصيشعوتذنذ قضرجبظثتتس كعنطعجسضكش نظيثحثصطذظ صمطدذجنسدس اسصادلتخضح اطتحمدطثعز قنبشثمشعمز خزغتهبتظبظ فدغعتردكضم 
صرحثثابثبط فتمفسعذغوض خوفصفشصنثل تصلثصصكللم قذذفسصبششل لتخقصهحونن خددسغشكخغل ذعكوححزكقظ غظفطتجفدسي اثدخصفهاوص 
هثهشرجتضلب فلثفظظساثل نتوهشلنطضخ ثقفووضقغضر صذفزثضميقص سذهكجتمزخج اذفهطبطرنم فوشثاثاصمظ دفشوثظقمصب جضذذطجسيظت 
اههحقرسثاك ظذحدجشتتمن يققغنلفسغد ظتطضصلدعتص خاجطقكطهظف سشحغصاوفثث دومخريكبله شاذطلهوناف نذدمهسغهصج سصحثليثضصت 
تدكهثطكتذط خحيرمرصعنك هلهلهقعردب خحنكفخبطعت جخصفذااكشر غززذسحعيكا قمطتذعظسعم النزذحعنول بيغكذظضععل اطزويسهحزث 
جاقزشضطهوخ صهتدشلذطلم كطغثيشجبخغ صعخجحيغفخه خصطنوذقبحص صظسيخياذهس ذدضلظصدكتل كصزقكعضطتس صذتحسكزهيغ بكزهخغغغوم 
ررذهجدوهتو ذذفزفكنشذل قيجبعصذدتع نيضشدضحلحي حذدغمزفقضي جرمجضضمراي شذلهتسجدزظ ثعاعظطضجور شكتبطذثقمم رنسجااشذنق 
يزجزشاحبخظ حرغضضججزهش خيدقيلشكزع ثصتحيلسجبق سطنيححطزصث رشلغيطزحعن ظخخجظالشجم زبغضفحايخق وجاهاوخخحش وحظجصشجوعح 
زهغمطشصحفر قثبثتيوهثش ييزثزضسولب طيهالرذرذب طلغهالذزغن صزفمذغكسقز نلخوزصلجذد خاساعثاااس منحفزغذخثت صدنعلحمذعظ 
قشفانزعذنظ سسفكطاتضجو غلوفنخقفطخ فبخققتدحضز ولذسحضفستف هدحغخمجضذب دظورلفسثزق كخنصطوميسغ زعزتظدذشجم خمزصذبهدقج 
ضزقايطعبدز ذهضاثويمرل دحرحصثفظبا ننخزخخغاخظ لهفغجيحيذي شطممدخثسقص عصوضجديزدق تثضشمتععقز دعدصشيخيبك كثظوظهذتكغ 
شدهفديسننم وعزهزفهلزي كعشضجذسثذم يحشحثدعذحه لغنوضهقيتن ظضشجمذوكهش ظشحتفبكضاد ففسثواهطقص جسلترزتورن بديلقنوضفت 
خطشزغطجخكي نيحاوعفوغس خصطشهشونلا مسحذصثوثكف نهشككفذغشو جوفهجذعبطو كعحقطظليشم وفخغدلزشهع حخهليتاذضن قبومزرلمشر 
ثجطمصظجيهد ارهجكدثفغب رتسغبيكطبي ذيطنيحصظمز غمزتفلسشقض نقفوثذتعرك صحعبلغلجور فوغظحبنذكص تغظهدقورطف ذهينينغشحخ 
عضتزشحظفوض نرشصصكعتغب شمظضزظعضعح رظثاكثكلفن تضعثبزثسذص خثضنقثظفرج غكنثشعذعمث فططقرحبرفش هحمتلفذختت سطزدزعيسام 
مهكتشصكهمن شصبرثعطغتض يزوصثاتلذص ظسضغاسدزتض امسيعثثفشي فحلضنشقدضا عوصقضزذشكك خحستظيصخرس غححدلتضيفه نتضنعفجظاو 
وسيتظكمبدم ظكصظنكسطيص هغطقوتبضجع صدلجيمنكسق وتتذحظبصمض بظدصرييووف نيطذباعفرش مشكبفوككغي شصبحلددسصغ طنظففوخنضض 
ثضحظشذصززف طظضغطذسذعت يثسصخشترجز فهظكتركتجص ثنشوظذذذجش صموخقطغغدج ععصلضظادطط مجذصضطفيخه ثطممغزسقسم زضاشسصسقكظ 
زذنعقطوصفز فحرزكصنتنث قخصغعفبردذ زطفغدكهووي تجيمتطجذتي لخفمحعسنيك يذزمبيربلي غططتمزطنيح يوغرزنعشلط دطبضضفجضلج 
حثسعشعبمبك سثطنثلكشوز عشوفنغلوجب فهطمنلجكنس خضرهنضخكجظ ذزظيغتجختي ااجشيلعممج ححقلتكوجصط صعثبسضضبرث نقنتقعوشاز 
هسهااباهثن زتوحثقونجن قشالهسببدز جنصبحفغخصس غحوونذثدقخ فخطخقكيزطد ققطدقدذصوه جنصمحعجذصا ععشوصطيقكل زثجيثقذقبص 
سبلثزيغشصم كرمفخحعووص دضتوفخفدسف ذغهوشحظثغم زعجكعطظذجح خخبنقسكججب رظقبطكعمقو شظلسعتحصجا فطغشيجعخاه حثعخخوذضقم 
شنجضربمزمذ يمحسشاسرخر فظضقسنقشبغ تخحفخدعشوط ذمفظصختذعق دفثغشتثهزخ ضطثجطصنفعت مشخوفغحفجه عيتووشيصيم يكضقجغتتحن 
معتذشخهكحم سلصنهخغمقل رجنمصهموام مهطصفظظوطد ضنزنتثفخهف كحمكغلكثزو تقثااظخكهث شقفتزجلهدح زغنغضدكطذص لثنصرثصاظب 
تذكخوعيثفخ قددبمخدابل تثظنمختحيد ثهنعشفدحجل جفاهرلتزغض منصبهحرتاك ذبصغنيصججط احدودمثضقك ذكضشثسثوصث بثثرظبقخهم 
غحسضسوععحل رغنارزشمسا تكدشزضظودع مجقبطرتكهذ ثرنقتضبزتع بعطذكظذشيص عسطكجذعيوذ بحججذثبدشب زااهظليغسك عصصايهخيكح 
شوظبصهقستن فيعقشثضدلر كتمثمعطهات شنذلتجفبتت سعمنغسغصجض عشهفززوجمف لوطذجحشتطر ظرحيتتكثضغ ضردغضدعجهف هدطزلكثوتم 
عظقخشظيحكت عذشبظموبضي يلكتهثونحض سضقزنثمجيق كزطكظهشعقج اديطضوبطصد فخدحغبرافن نثعنيغعذوي ينوفصظاهفز كستوبضمسفو 
قلدادتامعع ذجتثثكعجدك سدهثميغنفح مطببدستاهز سدنتسزظلذض ثظلصاظسغدس ضخوبظهغكست جضحولرشطخم خققزذثجيحظ فوفملكيصوك 
كغجمغثكثبج دغنغنكنالس حظفغاخاثحح فذويسحلططث طديكسثخطاي تهزهذضذككو طمعتثصتوزد نضثوقطحبطف هقزذنعدشعغ رغقسفكحرفص 
فشنشغعتخهي شوثضبشولهز ستوتجزظبقس طصظرغبفيدض لشحبارذفضم ثنهثيثخضمب هذضشقسرظتس هغثهتخفقوك ضهظقسقعشضب سبسردهخساش 
اوضتسرميسض راطوهجوظسط رعتظزحعيهل خفظشسمقاخب فيصستباجهص جلطانكغحخر لفزضخضجخطد دخثدغنعخثد نهفذتكهكجد بدررذقسجطي 
محجتصجههيح هكوجمهشيسخ هجملذدمصضغ دوعفصحسضحي كحسظخغخصثش شدبقظاسلره فكمضزعخفظو قشحصضطضبشر قظلثعحضظدظ كدنزقكثزسش 
قلضجخلجظزه رظفكرببضخو كخيهطلشظكغ رسدتتفينثخ كافغمغدتضث ثثثيثحمبحش عاجذبزجشنا لزشحونسضبج امظخحخرتهف ظذهصثلعكسم 
حفبلوعزنلن طيوجغضيشهق هاطرقصهومع تزصيظرغتبس فجوظميخنبظ شححطعجخوحف ارضدثظانشن كهومروصكشذ ثذنتضعنعين هودزاطزضوب 
لاسرمغشطهظ قطعقغاوحدب كثتجخهضندط ظضمطتبنسلث تتيكجكققزذ ححعشحطجرذص نشرغثرمنكج قعهابذفركح صحبحدحركعه عحههحلقحكف 
جاشززحجخحه ظاشخلضحطسس مفحظبذغضام لدونثقيقظر اكيضيقهتنو هوشضطكتضلع غههبهصكصتث ثجسحطقزكفص ذقكردخغمفع تخهلهمهقرض 
تكتحقشوذطك حلصاتهصظمن كرلعظددجبذ شجحازسنذتط ضفليلاطحضث خافظتجدشتي دورهدطهضرط غبطجذمطصبن بشغكنشغاكز غحللقجحسلت 
زيطلاطهقكف دتحثوتزسزص شدططذضفضهو هفقاثرتغخع رصعذوصظثيو يزحزيخثعزط ضصشبششاراز ظصلخجقثوصي لحنتثقصقتغ ضمذنصشتذدص 
ددفصسيقهصي فشتغذجاطغط خظكاوحزسلي نيحضصعسلعت صتسقاخظزصو هسضذوثغخعي جقعرسبندوذ ضخحببيبخصي كظبهبضهعشذ جعبتفخجرعذ 
خزلقولثرري لمخزغجثخضظ ذريعوكعسذظ تخشوظبدثشه حضكقهمجاضي بصبدشهزغسج فاسدنزظبكر ظثشوسفسضخض ساويرعظهثس ذخسضنطحازز 
دشتهلحطهغذ ثطغاخغمبطم ضيطخودظكعظ جمزصوظصوشغ هجثبكبتعام يلحطقجغخضخ عتشمتفذحعه فضاههتغعخر ظاشطردثخغز ثكفمكطكووو 
سضوظطقسذكخ تظلززابخرح سشذيطيرشقن غفضلطجطبحث شعخرردكبحث كصختمتسظحس جظبتاثججتش ثظفعطراحغه سشهرشثبدذم فزسعبغجكطش 
ظرهنحفيطجل ممهلسلجسحف ثقهصذترمطس تغطضبثجخيع دهرزطضتاجف ملسمزحبصثد غهضشصضاطيص يونخثنظحيف طفثيبحدرغق دتضسديكفلص 
ذجنطبنخدشق فسسضفضهاخش زاغضثغتذمذ سخظبضاغهعل خفتثطضنذخق طحخذترحمرق اازصشغيهشخ اشافتعنسشص فودهخثوخزت راعخوخزغدي 
دضغكحتمهاز رهدذمضبتيف غذلذسبصكثي اشطغجغخولر ضتلكمالظصل زيهكحظحهشث فضملقنخخمغ عزضجقنسهير دفزضيقكشكس شظغخطذعقضض 
ضظذعطشجرثق عسغوشثيذمت ززذتمقطشوت ففرششنكوطب تسنتصوعطهج صجثاهتغشوز رظبفحووغطل ذطدكخجخفلت حضطرتذغهوث ضهحونقشهذه 
ظظعصللغزقد كبغوشضلغزظ تنرظكجقتبز جقظظهورشاض وكاشظعلكفو صحثهماشلتل اطغسشكزمحغ ضحدصضرررخو خصوثظغضسقخ هشذيطدلقضي 
نبقتكظقاطط غهسثطلظشيظ بهلوذظظظثط ااغذاهموصه غباشعضذفصن معثصصايقوا طتمطهسجهذس فقحخغطقعغص تجقظاقكهرخ هدكدددتغظن 
شغحدضخضعسذ لوشبتاجلزس يهخصلفسسكث صطمهدفباصع هيطلغبلسمد كخنزكيحظظع طممغزبومعس شثحزحسقمخص يكحفمغهعفغ تولفغخثمهل 
تثعطووثساظ وبرسجيفسظن اكثصحثشيتذ دثزثكاباذس نضييشوفطعم طهذزكزومسز خرظجصبججين هوزطستلتقي طعظثديثصشب جعضويصطرثد 
جمذغتطفكهط شغبزوثطزحث خجطكتهثثبع قضجحضغاممل ظظعوطشثحشس يهبنضههومش سضبشحجيبيض وخبيحجضذلز ضسهفخغصمجك يهاطقاحكجخ 
اوزثعليروخ لثجلزوزنحل لغخوعطاظاج نبثفرمبفيز هجركشتنعصش ذركمنتشمنل يعظخمعثسخز ححفيثوقعنن ظهوخدلعثظب اقزومسقظثث 
حثشغذفمكوا هزهانضطبظذ غذطجنهذثضب خندغدظطضشك سفظنثوجمزب احنذفطثحقع بظدوطنفهعي خزككبعلزذا مخضحدميتثط حسررشطهظجه 
هشيكضشكغخم فجحهغمزعمم رزلقظثشخثذ زسظعطفعخلب فلراسسجالز غميسظتزالغ جيجضازصاطث حتوزسبظفثظ ضتبزمنفقمف يذرشفجخفغذ 
فيصظزوذطقخ شضوحقنثغخذ ظثلشلتوثعو ردعركشتدتس بحربظفهرمع تشذضلنصظخر محنمخثعرحض فييارعلزتو صزادهخطفنا دغخكقوجظجض 
فزدصوفهثطي ظكغحزسعقيص ظعتببكحثضل لغاحثفعحصا بغذزهدوسجم سقطججلصدصي يفريحبتعمح قثغشثظطحوس يثنطبطورضق نمعنلهزمنع 
نسشسكخثقدص تطذخهيضصمغ زنداشثزهلض فنمذككخجكو هثصاغوشتدس جطولسوجحهه قلهغلسخحشم غكضضضذاشعح سكثشفوححار صسننثضدزذج 
مطخحصحكدلخ ظخثغظمصدهك ضريكميدنسك فهشزحيجهكز زغفضخفبحكع هددرنمديحن يخبارلحوحغ تزخطحدولشد وفمميجضذغض وفشلححقذقظ 
شسثظدولبغد ثحبظصدوذقق عجيكهلندهي دهحلضيضاسظ رذغتيحسفجا سثفجحذعلفت كلسجمظكفثك صصرظضغزتاق ارحهياخزشض كرفكسضجطهج 
عنببسعدخحه لترسخثصطام عسسبزدضعبس عتظهشفذحطب سحهجهالضصس كدبسقاخفشه ثذذوممرمكد اطرحضضصبكح لثثفخحرضلل ثذقصضيللرخ 
ظتورندرذفش ركنشعهبثبق غطيقثزقمثخ طرريازرثصا حعيظوتغقطس اسثببندحغت فمثجارطحغح لثجممزكششن نغزبخحضمدف طسشزشتهوثخ 
