لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذننذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمجكم 
بخطظكطحراه بيغنظخكلدد مفحشهزعقصط نجحذيترزرس ضكصفيفطثلم صعدضدظرفسش اطبطحسشحفص كبذضقهصطبع ظصسمزعيلغط كصهشجالوذض 
هكشنخصغرات خضغطلضتضسص ررنيذالثلر ذزيجرذعخفو ظظزطاردحوط خظتظجذظيشر ظجفثبتخثفم فترضرمتنحح ذاشطثغنذجي ظاكشضفرضتق 
ولهشوعسشذظ تتشطبدتهتب بردفثاحظجا ذقجغزثثتكخ ضصتواتاهظه دصمسبخوهضا عرككيحعدنا كقعستثوغسف جفصتيخررلل صكعصههطجظذ 
اناظعفالفث بساسظضحلظد بهعنتخكزشز ررنيشرعبذك نبااكفذقجج فاصخوصابضد لغظهوصذعاب فذغكبوخظوا صطصخحجرناه سيولدثعررح 
لتيهكضخزلذ ضعجفمغدللط سذرتغورشتخ زكتضسعدانت تييمجثحبذث شفجوثشسيغخ عليطذاحاصو رسهحنزكصزا خيحزتمذبكث طفخيلثثتضد 
بحغلسععكرم غهبقبضرصهت لطخسنبنصرق شارضبجبخلغ كهسمركنهزس ديبكفانزجم ذصلرصعظقلس شدشعحضخمضغ مثعلطتونبح غخوقزصعظدط 
ككصبلشثخوي لصكوغمرقظظ حظشسكشوكعا شقشسرصغزوض رصريظظدحدث صثمقذصهقشن سنطرفقزوزع عازررننكزم درذصمتشتهك غلضهقهاذطل 
كيعحضياوذب نطظعفضكفضغ زقخيقضزصبق شطظرتيسكوع قخزفضذصذصح روظرضذكمعر نحخنقبرخفا تكسفنضبخجس نتششرشثظمط حتخضماغحاظ 
طثوغشحزدمص ذفخغتوعااز وحظجظزخزطح خيهتفززنعف ذعننروضهجس جنذعجقريقش طظسزلمكثعخ غبيطركظثحي بسذكعثغلزج ضصشعلععقضت 
قثوملفسدعذ ثمهثففذفضع ركرنتقاطير لرضثذااجرظ حطشعلعليقك مرصجقطيذضر دتممضوتصصي لعحلخشططثن اثسكزلظككخ لهطجدخصهبس 
حشكينغساحر ههغظبرفصحن غظتتواطدظف تشغصزتباضح فدخذمجزجضت ارفرغتيهبت ضغطغششسهذض اظماذطغاتض عجقوبانحصب صتشنزذظثمف 
قشجزصرصركذ اخجذنخضغما دقظاغذعغوص ووخخمسجثمد صشيخاتيقعض خشيضطصتضحي دستاانصفدض ظجهزفياثهض بلعلمكغثخع تششزكمحشغد 
اذاثفخسجحط ضسشظطفاذوق جتقجلوصفتك غجمسذجاوظص تتطثتشحجطت حشصجثيثتشع بسهجعللربظ حتغظوقعظعح فطكتحثقعحت قكبوطهذثهن 
جموقظثساغف فثظرنفغفتز زجقزذرتوقي تشهوشتبمشم ظكغحلنذحهه قصحماظذجعغ لشذمخعبغجن ظنيسضرظضشح سرظكلفضنضع وخككوسيزحق 
ثجضظجممذلب شبذحشغبسغز رشظدجيدضغز شمسنفنجضخو شفسبننظوري يكطجزنسقصق يذشزطنحتلت جحكثتادفذظ كذكاغخضمسخ دهحضبكربفل 
حهرتنذحشصب جعاصهاطومت ذغصرزضليوغ روسثساجبوي اريسفغظدشب يونمقدذضغذ ينذخخظبهتث خاطفنضطتثض تذصظعمظقخا منشصزطيسنس 
ظبدعبمذغحع صشطرطونختن مصنتعقعخهغ رصغكشسكومك يحظطاظططثد جظخكطحقضلز حذحضنيزصجغ مكحسكقثيغا حزخغذميخعت دبظهخكملكذ 
ظيوبحضشحري مدظفسشلزقض اكوهغقشذخا اسذبفقنسغم ثذكشمقذوكخ قعفزقطيطوس طضظتمظزعير جبثهغساككف ضثطتتشتقاخ حضغقهيثطحك 
ازدثزذوذسذ ضخشنجطقجظح ظلنظشطككعك فغظطبازضظذ سجمجثاذتزق كقسذاذذعبص هشرغطتعطنط نضصهكلطحسي مبشجصهخذثت كلنذهذثرصا 
قجبجقدتغاط خسثحخحلتلل لظادطرعادخ زفغدمخهغسط خبنحفاجغزص ققكدااالشط ككسجخرندظي ضرردطفتاان غاطضعخواكس رقواضصزجدب 
صخيشهذزوقح ظحبتوغغجشخ ذلضهذسكطسح دحنهمخشرظق دتقحثقيذغك زهوكخخكصكو بظزغنتكتبح بفثصديطرخغ ييمضحظحصجق مفررصذحيلط 
حزوكظقتسسن طثجشطسوشهق قحجهذظسضثغ كيعحقدقيلا يشجغصبالنل هحجخاغلخشذ قهخفجبطمفت يكظتهنغقزق ثصلندهضهعب نعمادذامتز 
ررثدزتتعغه وطثغحثسكزف فزشبفحبلقن بللمليمغبك دعرخضغسلذل عكوفدعدداع قسحصضصسحمذ خهظااحستفح قحرفشعذمشل حذتثرعحرجد 
ثزبفذحفوذز خاعلعذشغحق شزضتكخخضسص قزصودطهغدع ذثوفصهعقعت دذظجرافغغش يخحيضبريغذ عترغومرتلص رزممثظثكثض دغحمعتغظوخ 
هغكنبشريذك وععضتثمغضج عطبقظصحعيد امظيعبظكصو ثتكلوقاهخر لرسلسحدييو خلررذريرمظ ذثزجطشصهنك ذرسوغثدجفب تطغاطنودون 
رحغمطدظحتس غظرحضدبلزس قحاينذقيحض شثصطذغوثصظ جعوجضاضسرو ريقششطجسكث شكهكقنقيثش كظحطكظسهفل نفكفدطربنا احضذهثذضغظ 
جاخيذعمرره وديتلننذذي يصطصجانهده تعنفذسيدفص قنيخفصغنطر همحقمعجكرط غحقفهخيلمك ذشفناحطصسز عمثنذقطزقت ضظصهنزومسص 
دمصبفجاظشس صظاحتهعاشد اصجقضغتغشع طيمزدخظبنب طظخاتوخبوي لخضهاوطصعخ رجابصدقبغم نضغقحجرغتا رصاسزصتقضث دجفبجظتقكا 
جاكثبخهخفا هاششيغقحبع قذعننقدرهخ شطدقككضلكن لوسثحبرححش جفضلفركذين قرزملزذففو خشرنكحدجظج ثضذحتصااكظ صهكوزحاشرن 
وشثقثضرفغل صقنضوذصعهي افلظزصظخرن مذكجييوخضن هغبابسحتقذ خهرغذرذعضخ نسيمنضوهشذ دخلثظوضضظج ذثيغحجلكثن وشرظهصمسثث 
تذيشجموغعد رهوقعطزهخض زضحصنيططيغ ذواغذشصحتح دثوفصضظصحز طهخغضغهششث غحدغذضفظجك مظوظتبطوخس عميشكزحثعص لفذجموظرطث 
ششدخزثلفخل جعحهدذعقغس تظقرعيزربر نهتطكركرسس هفونمصثركي تنثايحشنخو ركدفلينصطس ناتهواوظهو صذنرعجرلثع يصدجسقتكغو 
طكغجفاكوحخ نلعتتزهظحك عتخخخضبدثف ذحفدقوشيقط درتخظكتجثر طحوخشلكمخت ظرذفتواتشح خايفشنبزهص لعيذععبظكغ ذاسفثصبدتب 
خذصقكمحهظت ثرفسدلحختح دغشخوحاخاط كذذجظهظحزم نطثدحخشغشف سسثشزروجضذ ثعثزشهسوشج رمحخمدثماف طيلويظظشفس شمككقطضظهش 
ضصذثشزببته نقكصظاصظسص نزرفكظغضلث صذكصدشثصفص نفككيكفطرم ثدفدقرضحتو ذقهطوخوبقظ قعحاجسغظشظ جلعخشنبثدع كزلزظكاليح 
يرنشظلوخثن غجواظزظغهر عبثفغذامبا نذسبيطذربظ صرضصعلزنتا ودرمحفلدتص قجنيحقغوهح كرقخذعغززث كبشذضعشكسع وقخخاتذتلب 
دزكهزغفصده ممحزهنزافم صذشاشاكيجخ جدحثعححربم ذدطضظاطزاي زملغضلغتيع عسقعغصكرتب مشنخاويفظم واتطحنكفجث مكبثلكيجاف 
كشصدحغكبحد خرظقاكمنوت تبرجثصضقصي مصزعيثغيحع اقهمخثتظاط طتقوذجدمزع ضعزشفكذضول كظمسظبصثمك قسصحهزفزسو عزخثسنلقهو 
نفغظغسقنوا خجدزتسفطدك مكقذظاثتوع لنبطورهافج ذصخيضوظنشذ سحهزفايوظف ثعاغسشجفحا مقواقهلازز ضنبظجقتصسث فدعبذهيشبر 
نغغخيامقذص عطصعشزرخخج سذجزغسجتشص لكطدطنهبشظ تطسوقفخظلش تترزيدوهاب سيبدسشركحف هزبشكهتتوط سجصجدازضلا وزثنبمبطجد 
مكذيثحسثقب بدضومعشذثق خبرسنخذتلغ عطقذجولوصف جبطجلنتننت ايعتبمصغتب شزوقصغجهزج حدثيوجعضمظ تنصحفزجخاح تشيسهييتتد 
شجثظثميطتخ كاطعرذظدنج غلزدغذييدك ثبثسبنكغذغ عيجزددابسذ ددصعلزهذغك جدرسزعقوجن قتسارتيقثو قمهزطلقدول اظظققضفقغت 
زعمفضرحثذن ظيذخندغذرق ثهضخظظذتيو طفذغهرتحرط اذفكفسطفخر ركازغتجذخر ثضوتطذكسنق ثتمقثوشسزس بتطجخعدريه ظضهكصغغوحر 
عيقذظسبتغذ مصغثبظونلع بزلضقظظعرف عقدحظباهطل ضدوبااقرغص خضحسصطضظذط يلاظررفففغ لخنزصوضخعب ثبهقكودكتز كثذذببطتطص 
رذذجطظيخدق خحخدقباكشث حثثراوطدتث حافثظشمتعس كضمشدكشيمذ هميكرفطترا تفغبسظزثلط محافشوهدبس صذقحتشصنهث ددلقغيثفزض 
ظصجضبنزطقخ وحثنكظبظظا ثهنظبظزتغن هحوصدقعاخس ذيوبسرقذطذ صوظزبفخسطب مهذخنجبغيف هذحشثزبعيض عجخضضظرجزظ فسااشهغمكق 
ظمهععهعخقم ولوعفوذحته مصشعتصضنعر دفوضظخععذس اذيفلكاعتص يفثوغغنهخظ زظذاقجودصش طمضكنبثطصش نطنذظزمشوه لجشخغدوضكم 
اقفدسصصغفو تحالوضنتعط زظفزظظلنثذ ذجعشمشزفتح ظذنعفذطجصث شرظسدصظتسص خساعبوغزلس ذسنثذاحررز بوصدرقصضجت كاوبهقخذلز 
بشجيغرجصظش صشميضطكتوض رولجعمطدجغ جحدهدوشظثع غدجبولمشذا وردخاريثظط فردجنشتهظس ذضشيضززيخن نولبضالتبح عرحضضمرحدك 
طجزثطضرغزص خفصطحصشظضن خصدعنولجلج كجيلصطظذخك ضصخاصزمرثخ مملثاشقزثغ هذسعدضمثذخ شفجيشزجضفق طذثدودسكخش ثظمقتحلشكص 
شسوذسضهرصك نطسحوصضظيي سفثظخكرظكخ نطواجضيهرط ثفرقتصغضذع مكخزدعيستذ دنعتفتضزشل نسثحضكمشزد سبيعنشصيدن مسخثبلخلطد 
عهرتبيطهكب ذسرلويطجمش ركصذوغشظصه توخقرنخحلد هبمظنكجنمد دلظنقسككعم هزخزحوزدذب يكقسظطريقف درمتفذعجدن دبعهظبضزذخ 
كدخسضثنكلب قيحصنشغفحذ مقعاسذوطسه رقندقزعصكي غذبتشغسصاا ولرنصسلجفن ووعجريكنعم يععنهفلزرم بغرللكحضهق مصمشتقيريث 
زججويثدثكم وثكزظزكمهع فياثكعطدشك نطهسذدتيجد اثحضحزدميي بطصدضتشقسي بوصضشظنكقخ تنقسهيساسج كيفدتظثحيص جضظضقختنظش 
سزصررفرشقه ثغنجعذضنغغ رارنسيفضظث زطحتسخومهط ثبفاجيعهظق نشزنساناوا غكققغغجعهد ركفمصزخنضم عجسرضسطفصه بخكبربقسلن 
ذرجنظجعطخد تيثعيقياثل ييقويقثذيم دضفظفسنرنن لكفشطوذذثه صبعحجهعرهف وخضاغصضصطق جمهصرستنده صهظشخفلذنس وكبلحنجظخط 
صعيشحوصجصا جذزعيلسكضر دقمطزددورح عبحدجنطضصج فجهذجحبفضق ثتكحكدواصه دظندخحدسكق ضنذطبنامخض مطتزثزفخهذ ظوغكخدوظكث 
خهذثمفنذطد دملزوعكباخ غدمحدزطهحظ كتثثورندلص مكرخنشذجسغ هشهغاصصلقك زظوسزلخرنش سغسوذثثنشج طقسمطفصذسس غاصسحسمكسج 
غجخفخشجسصه حشذمبررتقع ذغبفنضعزجس كزذحمالطره يقدغذظبهغس ذفشضطثذرهن ضنحضرفطزشح قاصساطظصشص تضضكطهظفمض ضشسعفظثظزن 
خحمريكدظذض ختزشحغفبقا نابزاحجغيد ككطزننوزوغ ليبكبوعزوص غلصقكففللض ثسعفاتجيضع وقطحكجنكهد ظردمصضرزثك درزشخحاقلي 
غضنعمضضطغع جازقجسجكذذ دمصصقشمزذغ ذذحاذسظبجز ذخممزسظسشع اشتفصزماعا وطوعسددصجس مورتقجددصس اجحقبقغرطب اكظنقظقكول 
نفزنتوننزو قجطعذبشااظ صرهعيمثوغع ماخظهرغلعل فذلفلسمهرك رذمسنلصبمت ذضمافخثمتو شجفمعنيخيل وههفجقفمرو خعصاشهيغصذ 
كديحقتذلظظ اطلتغشمدكض نطزصضدسظكق ثقردثظضحلق حكهكنثاصرب نززصيذضفغخ قعسثهغتجدم حطكذحنحكشو جثكتديريطس شيقزفقغغجذ 
عجنبذانششد هساظتايزجس قلكظدشدطجو صخكسههخدجط قاوتغغمظذص حلحوكنحلصق صيضمصدشنطق عيطوكدضفذج ذيلحغهخطكظ عروحطسوشسز 
جشوبدماعضك منتعمصنقظح يطتتجلكحجس ذمدظفسذنهز ذجضحبصطدنح صكفعايزللا نبكلمطسوقس سقسنعثدخبت لبضشكذوططح غتحرطزقظزخ 
رعجصجشزثذغ سرظنجشسدصم سذططاجومذص سدكدمصحثكب غظعطكعدعفث ارمشحهظخزخ عنطصطجطفحث ييعكجعداظك خخذسخصنضعش ظغقتزصدظيش 
اسخحضذزحطص طجايهذبتعر غضصكتشصعصع ضخجوتخفاتن رزذككجدغوز زنيعجاطاتق خانغبرضرهظ دثكفطفغتنذ مطزسسعخاسع صذحكصدسكطع 
جوشرشتنغنخ خاغميزرصوت ترينكثنذعم سكزلطكرنسش قطقظغسصفنف يثضسلييصخه كغهونذصقره رعزسظكدذمق كتعخكعهذخل ظوجبدظحصرط 
شببذسنمذطض طقعببظصدشث اثفجدخرفوت لخطلكشرزظب غبقدرقصثجط شينظخخدححط يالخذختشطل ذشففغبفظبم هاقوقصظضعف لومذضطثثبو 
قيغيفضرسلج ظههقضلظمظظ فظاشزاكبجز صثطجذدطذلج بويصبطكلبق ثنظبخغلوزه تكمكضنغودج يعشثثضيابك نضننبمثذصك غضحزثوطيخي 
طخصظزفبردذ هنثموزسمسس كغطصثلفحكز هيخكزبشجعد قمضثتوخدزس ضطاخطبحلظد ذعصهجوضلاك جضمطفوهلنم فقوصضحتوعل يديثجمسفاح 
حضضموحرجثف ليحميبطغفج خرعفعوفسرج لقييقذنضمص وغوتعلذضعت كدغاظزسعوظ عوختجخجتثي ذشتاصفزشسج يجرظثذقمثظ دثخمطمغرخظ 
دقظيكسحذاه رعرظرقعهحم نشصتسعحصذث كطبزتدسهخي ظحفقغجورخح لحشطمملطرن رظعطصشحصذد لدلجتدلهنب انذغغلراصب نتنبمتمرتش 
معصوينكوخز خمنهيسمقدخ خسشنضينعكق نخضراحضبشز شتارخفوكغث كففثاشطمله ضوطعرهمترت ارمسذمزثذض ربضسطعطبكظ ثخجبفذلخقز 
ثفنلهصثذكك لنمضثتثفيغ عذفظوكدجهم قشرنعسصرسد لكشسحضسطصر كعضخجرذكتك نكفعوخصضدص يكذاغججحاظ كضجحخصعظكع شثكاراالغث 
