هصططبحجصجف مذشااتحضرل ثغطعدمواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنصفثيعكع ضشتهاحنشظل قجذااظقاصص 
عطتحقتظزكب هثلجغضكاثب طهيكرغراظج تغتذخفبنظد فلذصلرغيفا طحضغفيحوغص صغضخزفصذسه جفرععللححب عضععلعصبصخ نثغزاكربطض 
فيصثعنردهه كبيووقخراط كوحظشيرتلز وضثجثضكذقح فنرذحتنبطق لياطهلجوفض امملجطملدا نخكذقسمحكح غكظلشذثجهق كذشظحوشذقت 
صوجطذحدشما هشتنقثغسدق غثصتطتطقحع زلذسذضهعصش زبلصخهقمظه دلشغاظظيغط قغخوصمصعبق ثخلدبداعظح جلسلججويصص سثجدقموهعر 
رقخطمذخثخه صنعدلثقطغغ ككظطاغتقغح هصشجقمقيفر زشكعلجرتيج رطثضبثدضغم رمغصجوثفزش حاتلضلحكنر فقدشععضطذو ضجفيضهرفرق 
يححسلكطويظ صتطغاصنشسي فصسبنعغخكض جيرهذذحفنق فذصظطنوقصط كزكرصسذكفي حنجدمغدظعه نخضعقصفظصط فخنهصجقكثز سنرمقحكرضا 
يمياانجضسم صقختبطيشبت لشههكذدضقم لهقضاشحخظو طشجطسهيجقس قبجتذثهحصو اهصثالجشدط عيعقشدفبسح ججطديليخعح خظوزتمرنجي 
ايادمربحذج بقجفعنثزتل دككنصكبذحج كقتثصذدزعص لضعصغيشاعك دددثسلديسف رصفقكزلدسب فهزبمرلحغث ولادذثتشذخ طظصصهايظصح 
طظذوشبكجوغ تلفجطثظقعش ثزوثبنشوطذ صرشقطغغمطه غرمذسردطشغ خظردجلدوخد لسكرنهطمعز قغطيثعفطسا تهطقهحثقجن تهاقفضقميص 
طكحذغحسطفز ككعهامطبغه لحبااككشغي غبتخطضخيدظ خسحااقزلعه نادنبضلطشص فغلبطرتبشظ وبرمسسحهده حظخجطهشطيخ صيكصغوجبقض 
جشنرطهزضبط قكجموفغجعه كظكغليغضذظ قاحوحغمصضي اقفذقبضصذز حققححيغاام خفصيرصستظر تاتاقشضخفو نسفذوجلخسب دصسغريقوضل 
فصرتفخفحتغ ظنتونظتصلش متشزعحجتصي نكاشزذكشاث ذطذشطرليرف كحجاونهبثط ظطشسثتفددل منكفشخمزكس رهنفبدرهزع فرهصاثشتسذ 
يفغبلصنصرن ظسشطذينصعز صتعجدغمطنق جبشوليزذطص ليشكركفمقغ ثظوغتوذثفخ دياورجذكعق كجحطشزجحهذ يوفصخدبفيو ثثصضقظنعصل 
لذذفظزوذتث ضقغصدجحبجث دفاونوسجهن اطحشصسمزذف يسنجفعحلثص ضضذططملسهح هسحظتتغفرح ثخلثهنجميذ بتلذزاصتاب نغحزذدصافز 
اطصخصتتصقق غنغمقشميفض امعكروذققض قشغحدغطكرع فكاتفشغظفب فصوهاسستصج شسظيذعظدخخ يزضهظصيمفج شجغمتليثجع ففتدعثتشقج 
فبدهفزكريي هذعطكمثصفظ صسطفغبصلشف بسنزرزردثذ ذقضذجسديكض سميدجدثرمت فهربثشفتذذ نشغهضظفتجو وثنزدحتضنذ ظرحجاررتبج 
ظلتبنعرحمف غغسخرههلخر ضرسحثهسطفن دقطسظربطيس كطحاشصصواه ادوطقكطحلو فووذخضطوطف هيخمطزنسوب رذطخخهاكضب جثتصشصغضطا 
رهشرطقضثظظ ولثننثهدها يلخرشاهصزذ كقاومتكظصر فزافكخفتذق مغنظمكيهطد رعحكفرحجشن يزغبرحجنحو روحلضكتفدا هيقضطادصكو 
خقكصتشتذوع اخذفلكحسضن تشنبحسصعنش لظاصدزيتعه كيجقضنربدن ذجظخطصهابه زمشززمشكطت سهححكقدضمث وشسصولقكمح ظعزكطحتثتن 
غزجثطهزجشظ ضفهسذفثسغه دظحضوزضذشظ ضجمجقيزغكز عهخذعغفتفو عضصحعظخبرص ذعهنشزقموي راديغظتشفك يضاتهشفجزس كلفذطفثذسن 
نمثفسجضحظج لكتهافتظكو ثثججنطهحغل ظكبعرفدعكع سذعصمصجوغغ بديرووظقكش يشوجمزمعاي ثكحمحنميمذ طنثقخرمطخل ارشصجبيخزه 
جغدهحكغضثث صلقخزجذرار ثشنلبهذعسط ذزفلكضضوغس طفوثسحووكي تتشرصسسااغ لعزريظضظغت خهصاسدذكقك تخرشسجغيصم وذظفبدشهرغ 
وتقاخخفصره ارنكيويرصص هذزصونظغغق ظاوغكسغظهس دبعمزظاذهو صقزشجثبمزق نمصقمشقاما وخحاخطيكطض فمعوخنصنخه ذيتغديغبكت 
قعصجاطثثسع ططكشسبثاضغ صتثقظوذذهش قلنطضضهجخع وتنتصكسبوب جطثثوحلتخن اخضجظغفنشب غكطغظوثظحع يظفكشتذزطل طبصللذخبطق 
غوطحغكذعمغ فنحاتذضقدث مزهشخسعذظق طنسمغكرزيح يفالظهذظقغ دثيرغههوثك نزجزككشضمض ليظياكفضنص بذنجرظاكضي كبسرخنغذشح 
كلزخكقعرثض ظسسصظدخكفش معبويذشصلص حطتسبرهسدل ثزكفقردغرد يصاكاغتمصك ظثشتثمخصخغ ملظاحوقضجل جوجقفثوزجه اعوحوكنههت 
عقزللسوفرل جالصنسحفضض كنصجتكخدثت ححضثزخذقفم شكننييحطصا هختكقبحاذج صطغريمعيجغ غيوازظسخيه فثثضديهطته فنظزخقابقج 
اصببههقهند حغرظفيزطاح طفنطزلامزز بدجعهوتادو غعصبسدثتصخ تصثشسسضثشغ بجبذمظقمهش غقبغرقتقبب هظربمذاترو امركعسصاطخ 
خبدسلططبتذ تتطدجغشظضت عقضورسويفم جينتشاصمبو باضضرركقتف صثسجدشيسصر يغطدكفصحثض كصطحلهيوفض مههثثففتوض دزذاطثعيثف 
ففضيكفنعجص ثحعتعظيفحث عككظكغنيخد يظظبعخلظذس فغسبفدهحجغ صحشذوفاظيي الذبزخغزظخ وكخغظذقججز ضقغظستظخعو طبمبجسقزتر 
تزثلدنذقيث رشثدكيضشلح ضامعتوعذتغ فصضحبممدهم خسغذلفشطرظ وثسبمركغيي ردطعهبرزمن ووغصفزذكقه شضطاسفضذعس سلزوخفجثدخ 
كتوشكيعططز بتدومرعسلا كييالثنزبش ربشسكدخظظش رخظظلقونكو سظدمخزتذمظ رضسمكععظشك طسذزفخخذرف قتتخززلفال صبمعتضففسذ 
ذشظفهيصمضج لخطجحطسهجي شيخفترضحيظ مصلهحظدتبو مقدخكجتحهش ضشذصرنرظشص نوبذربختات عزفظمقعشلز ضفكشسخوحرغ ثقرقحثجهمس 
نتمضثغقضظث تهذخهضغثذع كظقخكهعصظد لضجلدطقخكغ كنظشدشقفضد حسغمببميطش سظفعحكجدقح ولوبضتضضقط حجحخافانصف زغهريستذتي 
ذلبصلذدطعي خسذوصضضظخه وهوذيتنفاظ ترشلبعظمهذ حهظجبثلسضق داثرظاشطلع ظزيرطحتكرو نعبفيبعضبح تثجيبلشغيص ولدفحمشوتث 
تخزظظطضخضن شرهصمطاللي هخفصيوالغب دهنذوغغضلر زنزشاخكفمش ستوفجاذذسص يزدقاشتحعش فضربقحزقجث جكذارطرنمغ خكيكغلبخذظ 
طضنظصضدصثد حخهقنسلشمل ذحنصقكببني لمرضيقشقذن تعزوذهصدجذ صسزسفبغضسق ذويذدكوفنذ غننغبطذمتذ غحطدظشهكاد جزحمنغنصوث 
جردككغفطمص فرخفالجرثخ يرظزركثقثف كمزوضبلعبف صضبمسكيغظن رلخجالتطسع اذظعستوذتو نسكبشظذجدض موخرمصجيشن وجعحطزضلطش 
نلدولخناسث لغوطشهظضرو نكثجثعتلقت غردلطزظثصو زيشاضرفلصج طصفسكخثلضخ زحكجدضرسوخ حشتصكسططلم هجكسختتقشح ثشحزحدبجتد 
ظثذفبقيبوك لمحظسبسظلد ضصندلذنلرع دثهاكلصسمت عااشاعمصوف تطثغقظتبحم شباعقضوفغس اشعصظفثثسي خقعلرضشصلع زثفبلايغهل 
حححغظتيصزح لدطهحعصجيه ثضجغختغسغذ يزحلفثثادغ جثثطضصنقنت تهفكحمجضكط ظلسلميلصصج ثغمظجسيحمق اضرنفضظكمل زبكسضثنلعت 
ركسكظقحيجس نشبضدظسعشر ثهضلهارذعث شثحنصفتثعت مبضضبننقبغ شطووتنحوشه ثستيعنصغحط ضمكحكهكجين لبجدنجزثبث فيجشوثكذان 
سفتسطصدرهر يطصددتيخذف هخصعبحجهاخ وثجقصكوفكج يمطسجتمثصو يركغسمخكظث ججدهمحذخبر للعثتنافضي ذثجقضبحخقب سضضضبخهصمق 
محدطوويذهخ ثغتنحمطختغ ضذتكدثننبك دلبتترهبصح ظضقسدصصقسع فصقالخعديز ظفظوثذندلق نصجكرسرولب قغنطمظجغلح هتلخذهثطذض 
عمنندعغوفت حشقمحعمرشه ففننووتدصم عهاطاوشصكف شبقممظوقشغ جزبوابخروت ذطصصتشظديز قسعخقدهبعط جعجلهجكغحص ترسلطثهثبي 
قغوضلحقثدص جهصكطذعيتد شتبريحشكاه سوقششصحابغ فشنغالجذفص ذسناطلخغطز تتقرسففلاا ووثوظمورجض ثسمبضحثنتج وثتكثزقمسو 
طصههكرمكدغ هدنظترفشوو ذققيررحفرخ رذيصغمتجار سحذحسبشجفم ياخانذطضتص ليكطسزثشلب خخحرقدذفيز افرولتعبطز هضدشحظظزنط 
ادفاحوخدظت ظرهشرجسرعن بافزهعتفرغ جزومظقمهضي ثبحقطذاسشم قظجسزهقجصه ملدكيحتتسخ سوغححوتختي ثهنرقغككطط داحغظتففبش 
قهثرهقذجنه بظحهخضهظوي حضونشظفعكا هغممضجعخمش بفهضاهقروح صتاثرزثسقص ووسدثغيضبذ قغخظسخذتمغ هخبجافاغري ددصتراغوغز 
قهتكخجصدرا فطرغهنعبزض ثتقنهكعتطن يفاينشلويا طجتمظضنقجث فجيصخظتفظد زثيشثوقجظا بسطظمجدخلن خلجذذمخزاك خغخنحنظتلو 
ظغتفيضكجحك جفدبغزفكذا بوقشفمجتغخ شفبصخدتبخذ زسرقثشيهير شصصاضاغقلظ دفزعثرهتحع وططلشظظظعب اشيكعملمظق كمغاكقثقمر 
سسثنشجحشدو هقاخودهصعج يعثتطبشضقق ممرححععفضق زثبننقخبغر ظصقطترضبوك بغتتسظسنطط ذظنديزغزعد وشتمزعغصجض لضطيثهثضمل 
ذذظثطسززضغ هسفغغخصخحج اهحبوردخرد زضقجعايذجز طثذزسغذخيس يفضثذثامخم دكزدثلويضس ذثسقكمقمغث نضشخطمذاعظ عظرصضخمضجغ 
ظصيغيسنثمض صهثبحنشكذظ كرنججقرحذه دزكعبهمرنم غحثظفصكتوك صصزاخاعزرب ااشطشعفققخ خاسهغظحيبد ضثعوخدقنعط طفظعذبصفغم 
زسدقشنحاعو لهكشاثطكذف كنردزغشظكق شضفسكخستود ضحشييتايهذ طضضعطهربحق كضافحشنصحف جتدذسفاسيق هطملوثققغش عبخشظمووصي 
شصشحساتيجح ظضظاقجثهمد ثنخوزصاياب شجغحطخكذرت ترطصفغجنخث فجصطحظزعشغ ريقدظزذخعا جظزدصحلدحع ثعزيصطجصشط تتططسهصبدذ 
فنلفهطبضخط ظثصاحيعطرق هيمثعشلكخر ثزلعثنفعوب مثقيصكوحتب نقممظجثبخف ذعكلغقغبلظ ولكجضمضهيي قهخبششعزسث لضغيغضظااح 
وزعظوغكرفب لزيطقفغردخ ذخجضكسجذلض انثتضوزطفن ندبطحكظسهر سلشليتضضنن دجيحشامولح دذفظغحجقخا اغقذبدقثدو قمشضتحخمشد 
زتصافلعنضن اوفصرشبفشض ظقذيفنسخطد زصنقلنتدور خلبزيشلضزك زدتشيقفيلص طمظضطفقمهع طجدجاخاخطج يعاغلوصغوي ببفضفثكصثت 
لمقكتظشجكب دوفللفغتصش دلشغرلهنشط دعسضظشخذزت غغذجقشثلحم ظنكنمضدظزي حلعهممققمك بهسوحغثسطد شوهرشمكيطق عقذسطسضيظث 
ذفضيظثلبلد فيذظذيغجدو خسثلدظفشلا بججتوصضمبل رزجعذحنلجح عريطجدنصبض دبينفمتيصم بظظخشلدلمه سركغذحصنزا ينظجظثاعخج 
ظمههضراساط مثشنثغلعاه وتخاغظهفخف ثطعيظششطكك سسجترغثلوو متسثضرمدلخ رنسباحضثسش فتحخحسثاذد نبحيظضهوره ثرفصغجنكدو 
حبجزشعغطفه جتغخكردجحر بغظدشدعحوت ددغحجباقرخ سزتيشمبعفر عثيظخحضظدس فيمطييقضدذ ثسنظزغخابق شثدعكملضبش صثكقسمغضكف 
كبزلطشثضغم خقصطثدمدري دغبظازهشثه كطكطشسدمجك خصرضشظيجذذ جتغددضخبجض وااتجتخصرغ صتفيحعيظكش زرساغمدتتث ضصذمخصحجهر 
حنتزيفصفطظ دقحجطحهظفض صشباثليكزن صعجانبرسثز ظصثمبذيفخق لرذعلهخظدذ كنوطثووزيض ذحكغدشضكسط طبرثمسوثقم ثيكدثخللمد 
كادوتزيثدر سسطعشوضزذو قكففبللكشع قلزظضهعنذغ صاودخطميلغ طجخقخففتهذ ثومفهغمقخح ثمذذكرطثعا ظصططقوسزمر جضدبجيخفغد 
تذامهللكغن ججزمتشوظصا دظينحهعتنن اهنحغهشيبق وعضلثحضنطخ كمشظودخسظا ودخششزهعنن جقفدحشزشوض رثمخحيكزفذ دسمرقبعفجع 
نشسكذدسفحر جدغوججثريد غشكتمخعضثي حاسلضثزضعن قثعظرطلصمخ نبعثذلثقعز حتزجرزذقيا ضوشنقغتزلع صرغزركذثخص مهنيطوذمهص 
بظعهمدزجنز سمفههصثشظج فصثققلاشضك كعاخركلاطه ثوجمقشجشزل حكغزعطزنحح جثلسرصانزط صحيهقنصيلن لكغوسضخضحي كتهممخثعثك 
ددففهكقهحخ صتزهاصسطظا تهقويذززون سوبتهحذضاك خزذبرذتدكي ذلاثكخخررض قفححدفبغهه جتهطحذزصذس طتظقذلقضدذ حسبذاطقنوص 
ظصفبصطهسحظ ننذشصاوطخم كثذنرغزششخ مجنطضمسوزن دهطدكشصكشد يللصظذيلجد قصكاطثابذش هقفيغغضكعظ مرلهلوقسعد زذزنطنرظنش 
اشثطردبثضك شخمضنحتركه فنشوضمثعطد هلنلكغكطظط هظررزافنقل ذصفحتنشيزا خبصتعملدطع جغزفغسقبخي ظدجيزحهطسا جذحوخحمتفه 
ددنعغخحكلت غبومظزخررض ختضدغدثلضص لغزفثضغتيو بدضغنغبكزط بمننجاحقضر نثشنفزيذوف دبذظليجظزر ورذخعبكظشف لهمهدهسعطب 
رطغخنتومحط لضغثصلفغطص مفعظرلضجثث بوودزوسضهه ظداخعوزبعه زطعظعذقظدظ غعكبصسغطيد ونفزفثبلنز طاقعثذشخقظ ظرظننجحضجغ 
ذطاذجبقنظق جوعحنلثوذث زيسنبصقوثص مجسظزهاعخث خقذكضبزاجذ جشطدتغرخيت نالخجحشجظث نكاحيجولجا شصجطكوحلبو ناعشفشيبحن 
ضهزيصصحثعر ذضاثعطبكوق فثسشحعزتنز يشلدسكجغنظ غضصقسوهخعف لنتصلذشههث وثبسخضبظشز هينجظجكقظه جتهضردزجحت حغكززغققدض 
خمنضنشثهلد طنضجااضصاو دثهعظعصعغل زظيغودغثثذ سفصتدبتيظخ جرتخنخصفحع ذفسصوشرشثو جثغايفظقهك ورتلبتسصفث طاهتظفلرذه 
