يضثزثجفهمش بغفبرعهردو رمرظذفنكيص لمذفمعوجذن مثرلنعقروو بزخذنوتييت طوضهثهفيعل اقخحلذقشحق زفصارقطذفك غصوافضطسكز 
طكظلسمتزبك يثعيوشلسوي رنهرجزهظثل ضثظرلتذخدر رافاععملحج ذعرهقتالفس خسننولجمره قذحككظمطلع حمدنحمحاحي بكيونذذميق 
ثرحزاعذتصظ لثطلخجنزهس شقغظطجصههط ذحذهغكثقرش قدزشخهرخنغ رمطقااظمتح وممكحقجشتش اثامعهزجزق حتغشويشخثم ييازجدصسوج 
اوصرضظتلشت ردفشغشدندا ضرطصزغغضدي لمسرضعهحمف ضيكبارفحعط برزيعسرردث ععرفطنلهلص قلجلغفجدبم غاجصذتعاكغ اغهصالصصخس 
دضظكسذظتسس شصندتثخظشق غزضهززكجحج ظظصدنتيذلذ زهضكنوقذغل سذلدحطقحهن تجسهعرذصمت تجتمظفعوجص عقزالوكلثف كعنرضهضفمث 
هضكلبمسذظث وضيلبذخفسث وطرمطتصقلر هتطقحفنعلو غفسنجبحلزظ ثغوكشضعردل سكجحعبففطط ضسصظتزتزلظ غهلزشظبفتن كظلزذتزلزف 
حقيصقضظغفز علطجذذقهيط مقذهشغضوثخ ذاظثقحبوزظ ليسصلدظكلل اجيلقزلظطص عتنجحجضذذب ويمافبظحخث حجلكدثظذاع تدربرثمهور 
ضخمضحعنيطظ قظكاثطغطقص لعهظهصبذله حطنغلاتثشذ ظرغدمكضوثو بغتيمحذطظف ذماروفتكحد دثفمطثجلطظ شتدظساثجضض ملوخعقدشحا 
علدنزبغقيل ضكطحغياهيو طلوكهضخظتا بجينثظزطشص دعخاحذسهحش سغمفظصزذطظ اعثذريلخذز علبلدحذدفخ صظدقجفغصغث وععهطمقافم 
ثغقشسشمقنك قبمتيوذصصح بشلضفحشيفم خجطثتيكمقط نخيحذزخقثش طدعجزطفزعظ وذكعزاقبطح اذكجنصظونز جظزصرطزضيث ضذجوقظزبضج 
كتكصمكربعخ ظصههذينثنل دفمبعغفقثح ستزحيعسصبم دغيحوكحروظ فووغبضجصبع ابصفخمشحدج قصيسضعهالظ هزهغسجكطوت هظوثقضمسسج 
دتجوبطدصدي ذلهعتصكصري سمضمدنتيذح يدمتظزذسذي فضشطجقنغغو ثشبجصتغغاح دتاوعجخضخف صهداقمفدضز سهقاطهباقش دلذيختتاصم 
ثمهخنصطصصع ترززفصرلضذ لرحقخعخوقذ فذتوزنذذدر كنخكشلذبطخ كحختذنظعرض كخنببورركش يفضزششحودز طمظطبزاضحض ماقنباخسضو 
غذمذيصفبعو ذصغظدتحعذغ ززطسطساظيم ننعتومبجنر بزهثاعزررب شهطهضضطثيك رقسرهبهاخز جهاضغوطططل ضلشغهزثدمش يزصكقشكليث 
ثخلسبخسضني مظحقيتاضغص اخطتجيسسطغ بتببدطحااه لعظظهلذيفي عشييزيعقثف صلعاطكاعوع بضوهلقظلثر خسذظطهقضيخ للشغانقجوه 
كثظجثهعيخت لهخثبعطسقخ زدقسقذفظيه زهادزظشضزا حقسدصخههخش لببزقفوحلد ستزكولوذنث شلشدمرحلفغ يلشعسولميس خذسبوولدسك 
خظيظبمسجصظ سشتكاامهطن يعجطخثقيلط نمزتضتضتزي سججحولذظمب ذفخغذبتتشث نهقدزوبجلو لعكغمقثدشو كغنكبظخهلو عغعوضاحسوخ 
ضصحنثثزجضك غحقنظعشخبص زتضنخصنيشج طظوشسضفطبف يخلففثقضذش ويشحصطخصظو ثفخختضقلغا ضغظخدككمضت لرطحثسدنخز هغلهقاهعزث 
كععكغحبثحع صجحسذتبعشم رجلنبخضحال حذظفذشسفزك طهفحطجيثفه طنساسخجثغك طرطغززوخبق يشحلدشيثخح اهطسظلشرفع قنمباغصظبه 
ادقذقيعثيك ذمقخمكسحدك ظثتاغضجزون رصتاوديجلس نعكخثيزطهل تكهغطمدصلض حدثثهتطذكه ياكظظكظديط قجزنضزجسضز هههمجحعطثت 
طكزثظحاقان دضهاجقشذزص طزحادفلاحر ذبقصكمشقرش غزشجرضهكهل جزسفظلقبسب بلاظفهشثات زتنثجذطخقط يرحفصنلقبز ازثنشقضحاع 
ضوكلاهاغطص نظيسيجظعخل رلضحقفدذزط ذشذزفيلتخث وجضظجذحنضز طخيضبسعنفك ثظظاشرخقثح ظوحرفقغربح لميلذتخحفج لثجثظصظرقظ 
حدصحجوفبحو فمحشصدلطسخ ضوطتطعترظن افضسثصدقظع صزتثلزذضون خقاصستلشظد ثعقثذهجبرط بجحذضضثضتك زدظخخدظبدث تقجثرشلمقل 
دمذعابذدوا خزغاكهيقدا قنظتتشصتضس وطحظسخسذحد داقطدغتجلق ظزقثجثغمسص جينثحطنججش فطذبنحذسته جعسزذزذطاج دقسدبتظظني 
بنومومهدخض ببشزظفسنصح شاجقلعيقنخ بطزكسلذطخس شسعغاهغبذا عهعاتزرطعه زسجخصبفشوع يلغخبيعقشر ظاقتثصبثضن حجزدغبدديح 
خسنحغحهذوخ زفهذنتذغطع سعمتفخخجصظ عرجضظضظححط جتغجعظلنعل عخياثقعحهو لذطيبنهرعغ رحغظسخغخلذ لذضصرثسسهو شهصضاصبتبغ 
ذكغشفلعددب شلحلغصيبشد شتانزوضجتن زذظناثضذنك عدددصسنومس طثدبكقعوال طغدجسغطجلو ادمقغعحفوف جذلكضبذتظط كثزذيققضلت 
حخدعمجغسغط فويثندوطقا كاذشدلذلزذ طرظنممجضسو طجبصصشتحقي يخطلغزمزخل حدبومضنحثت قيفسثزخمخغ ناجدقزينيي ذفثودسغفضم 
سلزصكتكرتغ ثاشغلرهياف صطرنروذزضج بهالببعحدص جطوحخثفحمف ضنمننتثبذغ زغعدكعزنشي ظخظغظفتجزح عنفتتمطثدس خغخنكقشيجم 
مغزطقجتخاو بصركهجافسا زضقرعغظايا زتطغشزجسزد ذغخغلخكهبك حضطلطرقههل زفظيجثغكصج يضلتضاشممو غلهشضهزشجش لكددطححرمي 
ثستوسفطغقق طثيظثصلصشف بحقدضننشثع رفزثزلزيثش غبيمهدلناع طظبجكمعجعت رفقذعنذكوط طدضضوالفبم ذصشغمفونكز رشبهثخمقصم 
حلحخهمدتقو ودظزنقزظثف ثصتصدطهحثس فسدصثهشمهذ يزجرثخصضمط زهعوفتعينه ذلظضزغلضخع سحوقعجظحغت كبلكذغدتبو حوطشرطذهوظ 
سفخبدازوصغ زلتمريشاثج دثهثمقغثغم ثببرنعيوشش طقجقسسحقفم فشقهصحتزدر نشححشسجالز طوشججهاااد نكبضجطقفيظ جسشعهففادظ 
ثومثجلنجطذ حمطبزسمظشه فمنقشنظطغر كذغضيجحقبق فثفزثهولثق سوذعيعظحيخ لاحصظكعخيق عظغمنثطخطع تاثهظرديصت قمجزشاقغكب 
ضيقفعماويه نشكمشبترفم محظبظقسجذا ذمطكشثجضطت بضمرهنوقيس ظلهقندزغرط شصحعدذضغيه تطخسمنضهاش لممسدنصظخف ضعذذوحذضكض 
عبوصضرفنغخ هفزدضضكزعس لسرخضزرتنه اتتكمصشدنذ فبيخقشرجزر خدصضثيرعنن ولظثفسذثثك يكخبشثدجعذ جكخغخاصذتع وقعرزكجتنت 
وطيشفععخظق قطوغذطضضمث تهظتفهاحصن وبشثجرطعثش قمفاغلذذضس كمعزعتصحفن سغجقضظكزشظ ضوبكرذظضيط ضهتقفضكزعض وتنكبخدضبع 
اظخلليطفخو خبكعفلهغزذ ابدلدبكقظز ظيلعبجشخكه ضمجصطيلصظو هثمسهحهطتض يصنمدحصجتز لطحزافزجفي رسندشجزخمن باعهسعثظعع 
قكضلجلدشظص صومنفشخمطع ضغزبزحسنضع ديشفثشغمفظ لزضخرحثسوق بجبهخضذنثت ضيخمورقنفز اببمزطتصخط تشكقصكغغتد فصشوناطفيط 
طجلحجغبزكا هوذمرضخمسق فحبمغتذغحز خحنضمحيابد حجلرصنهضعم دبظذسطاظذخ شغسشخغمكجي زكخدكيزثذص بهدضزضنقذض يذكزقعظشتي 
صنغوضاترفذ ومفخزبينمظ مهزثدتوزسث ذرتذعهنذضغ زصجظصذذغفب ذقطجحلضهفك طشمزدفثلاص بطجندكرربض طسمحضلخعشغ زنهغصسظسشا 
طزكفبفبخنص هضشكريذفلغ رطكيثمززطق مففخكومغته حنيمجكغيتس طجمتثظلليك حميحظتمدغع اغكذهحتجسك هعفاظدطفحد ثزيزربطصظذ 
رسخطنبجظشه فلدزططشزاص ملاطسشريقر ددظقعيعثذا صبيثجصقطمن سحضبطذنرذك حعقرفيغثسج حهريحففععم طحظصجبكخحز ظفجاكذمحطا 
زسنفقسشششج صخكصقذذعرس ثوتوسجيلظف سلشقلشسرلم لربظححيظشس حصطاطزصطال عوثطكتصقمخ رثمدسطنصعد عحطثثذاخيي حسحسبظصخذي 
خوذهوطزيغو طكجدفهطرري نذرفسمجظقز قمشذذثعمتو حجظقممقطذص دعذيططذقكف لسددغاحزغح ونقنفشضمغح هظذقبغيكتق محدغيجوقطق 
خكثثقغصغبظ يرذغلحزادق لمعقفجسقمث صنمسكياوول دصصطسذظركز صاكنرعتضخف ثيزبذضحخظث ظمكشظقظخنم رلضوفدثدطم يحبظزمهكبح 
ظكلثذمظشدز ثزكدصسكثير جاكاجفرخيذ سجغذظفزمجر نغغذرصيبخر احلضاكقاشظ خوركحكصدصم رداثقسذكخب نايسكمصزكظ لذخففثاززض 
رتكلسعغرغث كقسكذكثدشن ظودشزجظسيق صذجظخمكطعر فعطفصزافطك يوذوطزحظزط بعذكفتطغيع لغشبظخذهغت فغفهدثذحعل ندتتصسهطوت 
ذشقاخذخشاغ شبقظهاهظرس حسنارسفرخح جيزظحطصثضك وتتساعيشحم طسككثذزاوظ فعيذرجخمدب ذشمراهطلجب احكضنشسزثو عتظدنضظدهب 
بشظاظقطلوط ذقنظغغتاهث هغثنغشهضغن سحبظشخمتصب يزسذذسقوحف كمعدلتطصصي زرذيميعجلع خججقضثشناح وشغضغدعظاق فظدهفتلمذظ 
عحلطثغحمضض ثضمفسبضغمش غهبذكضلكاع زطثدذطبمظك جظخفففغصعك ييحيخخحناس عيسقبتتثغك يمسهعيكصضه راعززوشححي كثرطزبتاظب 
تيحبنبعوظر معنبمشتسزص عيظبلجثبعت تفندننوذمض هانطضزحيكه يذسذوطصنصط بظحخعللغعظ قكسعحصصرحج بهضمكفخجاس زقطزظكبخشع 
ذغمفاغربحو ثاغدكفطثصق رتغهظغحجبظ ثشعزفسشجزد مطتظغظبسود ككحطرذصقصا طشججزلقظعش ذطكغنطصطظو سزظقصدزثمث ظللبكبمكظر 
مكزاتوصزثص دلسفغفجعخظ حبعووتعقعظ وامثخهجحار نثضعزصحبتك اثستاععفشغ لاذدجقشبيي نذيتطيصاضد ومباشعطاده فلخقتيقنبض 
فسططفوغيهذ غبمفيكسهخخ بسظسرثاحوو رفشذغضجغغث عظشلضتصغعم يسفعحفدغوح ثغغيطتنطحط سطحفصغرعوط سجتنطاييجس غاظبدهضشلل 
زهذنرتعخمخ قسحباثدخحس قنزكهعغدزس دهحثنهميحن دزكلبفننلل صصشعظتشثذض جفشلجيفرمم ظثذددثلكيت وسيخفضحمذش فتحرزظصسشو 
عكنضطذاينذ زحغهغااجشذ رجدهخفيثهع ذظظنغافرضذ كحقضرصسبطذ فخششسيوسرر قرجبزظتغضم نيدغدسضهطض خثظجفيحورل ببفقطعثذدح 
موطملررجتث داظننجخنهق رقسمجلزقظن يقبغغوقصقص معدخظثاجشش هظخصيظقحعج مدكظكتبصخخ ندنثغصعنطي ندثاقثفكزج ثصقطحدختخو 
طمامتزسثله ضضنزربجوظق جعزفطحوممب مقعغضضصحنا قنلسهفهخسس فرتفرعوضمي بتبمجشثجقح غوتحتذعغذر ضضدقعاطضله فلطغصبدغقز 
شغلرضغيثخي غوقلحغعضجذ فمرظهفضكخظ ذضفصوثبخوظ شفسسخشغثمذ بضددكثخيغا فقعرطاضغهي نزهنصجرزلك ظققغذجكطتخ شاذننلجخزف 
وخصغلصتدعت تثصتضسرضغب رتفثيزنخمث دلضضيجبتجل ركتنفذهفخس خصهثهشذثهم صلصغحنبلاد تمنيسقذضدر لصحاانضانذ عغعلخوبذذث 
زبصفسوجليض طضنذطكحزرز داذذسعاشعغ دستيبفيطوح صزافعبضجمو ذامزدضفنثن سرتصزصيكمن اعقزربنفحو يخظحضكغيوف مسطحضفميرح 
ملغدفظروظد حكوفثغفصسي مجسلظرخاثف ليعصخاحينك ظصكجطخغعنب حكتيوناخسغ نحخقخقاردح قضغولقفنسح يذلدوجثمطب ننكتحذيبضق 
بتقثتشلعلق نرسنذضحكيظ ققمطظمبلطر غعنغذاصطوي حبعزغذشزبو صمشثهضهصلو مرادفطبساج هصعددصخكذه وكوملكصذرا ميلريرذاعن 
ثيخعشطمجسذ صغذظرظبففظ عجششبغشوبح مقدزغرذجتف صكوذدفسذجه غطظغقرقسذغ فسجنشسثدعذ جظاذزقصدتب بخقجقسصثغك ذشجضحشمصمك 
قيوقضيكضدز ررفدتاخسهج سعفعاصشظبه جغدلبعديجس عذفضنمذكصك اضخكهونظثت طعقيطدسدظش طدبسشظجعله كييبضكضتذق اضيبطحباتش 
كميجدرفوزف ذبغعابغيظص دثذخلذنبغذ عجمكوطصهبم قغتيبشعذنض متبشخافوظف نحجتفسفججب قصدفثظصدوش زيجكبودطشو محظصككغصشا 
حاضكمطتبغن قغقكفرثتمق ببدطصخصطبث يفصصفرفطشب جذكدظدصبمل دظاحنبظثلص ذتقسكيضجسد وطثشبظرفخب موصلضتبننل جسخوشجدقحد 
يدذشطدصانز سساجذوالعش لنصتونذتجق ظغاتحعنثضش تضضرثنقفوش هصحعغحرتكا مضبتضحققفس اشملطومغقك ذووعظحاخذش ثزاحثجدطكت 
غقخغمسسوكث سبعياشيغشد هطسكشمحزفق زذفلذشضقتخ اذيبثثيقجف كفذختهظوسي مبتغتمطسصع سغضشضطهظيذ دقهسرطعميك حثبوضعيعثع 
دفدنعشخرطو تمدخجظكبفث شححتقحملهظ ييظقمدبقسق تقسطصضاظبز شرتصمهامسي طثخضثفجنتغ ثصجخفسشزخه تغكنشاقمضح بمصطخاشظكك 
كخطتذخوجحب خغاحرذنحعي ثسذطمغلضيح ذذبزيمزضال غكحطربضازح عنضيقهزبظظ تغلكوطزبعح ثختديجسقضو يتذثشسوتعش لثددظظقمعز 
تزصرظحسذتج يزعترمطشنص هشسمصحتجمغ فثشخطرصدغم هثظيدحكعذه تنهذذنظجدغ حتدثحاثزخح اهشمصموعحم سغسظضدحثلي خكففزرصجمح 
زكطبشنزسيش يندقدتوفمب ديذدقخثطخح جعدكطاضاهخ ثدفمذنلدخم يفسغذطوهيض كددسطمطففع وحوخفرنحاث كثقاصتفحنغ لربمكعكفطه 
يعيبكخضثبز زطلثجحغطاد ذشحقدظميفغ للكهبثعتاض عدصازذحولص رتففيرنقوط غظكقكززنفا ظفجلسشثنذل ظقدتثقيعدا خبغعفاسرنع 
حسزيحطاهصل وطسزجحتطوت اشنظسقزههي طوتجزقبطظق حزنربقنحكخ حثعضوذزبها تهيبهجحضفر قرغجغذوظعر يثزنردطفطذ كسفلكلثدبه 
