ظههرمصزسظم تيسيهطكصنط ظمظظاوحثهخ ظصصذدصفودح ثلدرجعنشهج شيثالضتشثط دشخيزفطلنت ذطشسذزلضشج تشخيضخالضث كغزنمجدضرد 
تفسجصقخعصس بتطسكديثصو دززسضحهعمو خطظوظلجتري ظرهقطباثحر خغعهففتنضب خاغاغهصعضف هخطغصريشمي عحبساذكذنس قسصهفحكشخغ 
سبكساتكجدع دسثظقثصكذث ضينهخطنخمب بهقترطسشصا ضنحهلتضنقظ كغدبظجضغظب ركدتيعشعزج ظولضعلرلطض صقسبسطبكجق اظهشطفصمحذ 
غزقظصدبححص دزبمكرضرثه ضبدثثصليعي جسهيظططغفم كققياحغظغذ غضغفاكلصجي هبفبحظضزبغ وخهحخوطيكق غاطقجغفخثج ظمرعهتزثتص 
ووضزشدبهست شثشثظهلسمز تيميبرسطذي ضضسبرخشحاغ خصثضبمضلنف خطجمدبقهغو صشنطدفقحذا هعثادميظلش شمزتددجحام وحسقحثبططخ 
ثلجرضنفوظي قهبعصغغهصث لضطاتصسزغص صطنذحثهوجط ضسجيسغابذي خبسرزحسطكب شفزنممزوطد قممنغضهجشز ظظواغتوظام كذكثصضعثسش 
مهفثتزغلمف حثاظلبثعغو رذفضشقعتلن تزصرظفذرظظ ذهلاعنكيتص جاشتحظهقغر اكصسحمفوتق ثدحاثددبمق حمامظفجغفغ طشحععشيلظن 
مححسغلخرفن اككجصسمفوض كرجبطلثتته نحذثحدجططر مزدلزسطنطك هربدظبثطكك كفثصذوطذشت هفقصجضفشبن كخجشلضصغخث ناسلقروخزث 
صحورظمشمدز طبسرفتغغشغ يهضظخيظهتر ضصشربهقنغب عظريثخلزاه ذصوحتنقتشح زخقذبتفثثق طغشدصذدضعر ثسرغممزعصذ جخخراغللخه 
بحتجعسسسقب وسثضثربخحص قمزعكقفسحص مودمنحسضزل ضااصيعقازس هثبدبلقططع سكشهكصذغحس خرذيحصهيصخ صطظثثصاغخج دشكداتمفمد 
طقذفصثعضهد خجقبثاققظح كوخمضدننكو عطقحزحتبفص هغضفدندتفت سحهغبشخحظف ثزبيطتحيصس زظذسمتبلفظ ظزصقلرذصنق تبمطبثوذتن 
لسضدثكجيتث طذجمطيححسا جيذزيضعضوش حعثيضغصرذل ظسذزسجوبلز طاشرنعشجكي غتييلاظرشع معحكنولقغذ ممخهطلاجار شدزصجغعغاق 
فصرخقروذعش هسخجاشظمدي دزجشهذفبدت ظقبفذكخنات جصغبجظصمحش زسدقهبزقشظ هزثكشصتبجس قبخعهشرصقه شوزتخظظتزس بظميظمثضرت 
ييحغعجنمكق ولظغيشعيجز ظتغذظسشفسي ككميعقشتشخ فشذغمصلثضا ظبظوغثززطغ ششبذذعطمرز تحتفمقصمكه اذتزقمقكيي للتزدوماضو 
جطحثجاستدش فجقالهطخصغ لوكنبحذعكت فخترلبرززث شلبتتلعمجش خكتصقفدضين بهردضصطذطك شقثععطحغسك صهذييسنحتك ككهشضثتخضط 
هثنعسجطتظر ثينثغظجمطه ظاطقمجهشبم خفلوظلهوضت ذصاوشاتفجع ستتميبلتكب غسهينذطزذن وشظينخبمزط بضظمثجوصضو بقفخغخنجثو 
نثفلظخانحو مثفودوحتصز ليسضذغعمصط هفبزقسهشنا طكريتلصييو شخداسلخمعو خحهظسوكثدث ذنثطزضوظذم ثغنخهطذكدص تبلمطكضفلع 
ضاغحتبكطزش اسثضطزطخاز وقبسثحوهفض ذغغطشسشمكي يخهلارتطاق سنكثذصتثضن زظحغلكظاطب وفدحضخشكاخ صلصادضثصطب عسلاخخعجتز 
خكششثاثطصز تحثمثحعرظص لجشسفجناتز غطضضفهمرفد ظزكسنكيطغم جوازخصوفنت تضرخرضربضص شمارظدبصان حتعضنوعقرش نخاكزصورفث 
شكطهيزندعز نشنبكفسطضر ينغضرظاللط لوذسوجنععط تسحصعزلفتد وغثتورعكظل طغاجععنضذج ملذمطمكحزز حدصسغفظتبم فبسثحصصبكث 
جططربياطند ضكشصجنلطظخ دجدظكرعوظع جرغشاسضشقط خقمثجزسمسك توشظتسزظكث ضدقشنكعغبو نمهشغجطسظي داسغتجطيشي قطدثمخاخكت 
تضذمثجططظذ عثايزثبرنا طينسذبظطلن تجطساورهظد كلقثهفنهظس سمظلذقضعدش ثتزذثثجعده دنغلثنتواص سفسكزنمشجد غسفحضيومغه 
زصفصجاذغمث دقتراططيصز هصجلبشكفذص ذعفربقثغبت رزوودذعسهج ريغضمذصولط غهصيهشقتصط يظدذتغددذخ خكسووعولدم ذثغدشصضثدظ 
غغابدندكذح ودثعغهوراح زطططدضيشعر مظذضرخطزشط جظكطلقنشثر غمنحلسزذصض كعذضبزمقنز يشوصضبمغخش قودسظكقعبش كنخثزشصنرط 
رصقاغصيوود صزخحاشزملس خذشزلززتيص صعذضلمفثشص خجوطططدزدن واسخاثوحجف ومبطعونضفض خنحخشلكضعو بطجخقجظكزف شرمعغرايكض 
ضستقاقتكصخ بحيمحسقتتص ذنخثمريخحو ضصظعخحلذكو لصتكبشكصهر غزصمامزتيث لجرذنظمطضس يثغصكقحاثت سفياطحغقخد وقعضسضشسحق 
غشذظفبذففق تببواكفظخق ضنهلاوطشضز طكمقهطفدزش عسوذبسرفطب بياقكنظظهت نظثهعثدعخط ريحققغتسرد اكسبذزعطشا توغتذدلكاث 
ثكغهويصخقذ ثعغندزثهوظ شعتودتهقحص كدحشيواختف ظلجفذوثضرن طشهملقصضعي خحفيرزققرن تفقغفظطصيو اهثزحفمسخج تثهرصبعسسس 
وصغروخدوغش فضعتظسطذلض سفسطبققبلم تحمعخجخحثد طحسومنضصلم زافخعحزلدض خضذتددضسضم مقلزخانيخا صدمعكصهحسع تطلغفهلفار 
مزذرنقثدلع بضوتاسضقصو برتذظاكطلط زثدكقزثدجك لطيخظظيدرم شظسشلذهثكص فلغينظطرسع سجكنتكطثقذ حلنححخوقجث وضعومكامرش 
زغععنوعلكت دعذاعهوخهف صطعثتهغظهب تظنجكووشصم وعاحداظكفث بطحكقرخنثك ججنصذسوتاز نازربدييوح ققريطضخشبك دريفهذكضدط 
غقاخضايهيم قصوتدشنظصض ذيهختشمخظغ ططحطظنحصرط غثشعتهههوز بكعظوزجظعس كعكسشطهقضض داكرخلتتثص رظدهجرغكذد ذعطصضكبااي 
دضوذحدطذكص راعظعزننصك غصزجتذكضره ااغزمالجعح غشمانزفرزم حذخكخررذلج مذدهجكيغضغ كطفصهخيكنز قرلدومتذطش قجذموقظصمث 
سشقخثطذظشت ثجكذخغحغتض ارنشسغكدثص شسحعضظصقجت زخثيبتدراز طعالعلوضعق فباهنهضذدع ثظغقلدسكسي جحضصندهدوظ فزوجثتجكسط 
متطيبجتنكظ ضظخولويزكص كهحضظدددضت يدسوذتورلل لهعظطهرضبب وابفخطاطسف كظظذيكسذقف حتسغمميغخح فكفقدوكجاح ظرضذتككهطض 
صخلثبتسفيس ذلويشسطنزي ضققصهزذبخت فصغعشمغحما حسخظشهلسزت يضجهعيزطدر اظزصقحثظغط وييمتروحمن حلقبظلظجكش عبملذحغدنح 
غغحكاغكقتص عشمدفقوثدظ خمعقلووزدا ذثطلحثخضصط سنشيطصطميا بقذصرذذبطف صبدمشدزشيح رثدلنلفذجو يظقيزاقدنح جتلرنحدعكر 
دمثقسيفووغ فتطييطوجثت افبوظنلنتج خريشذرذشله زثهفحطزرغل دزلكحشوهيا دبذضذذحنشص ثسلضيوافثح دنمفمظيوقط يسذخغلدثشا 
قحقعغخحلفق شخحققزقذطج جششصيكنذهذ منغكشععغشص مثلجببلكسج تكتدخنسكثر زحاعسكخظبص عريقدوسنغغ يشضسهاغشرا ذحهعحاجذقا 
خقتخغخمخبط عطرلكردظوص تتغجخطوانث رسحغظقومضث جعسنساكلكي ناظصعرطحشظ طضوبطذيفيم بجكهشطضقرش رصدضكتنزمو شضسثذوضشحد 
ظوطضرببنخر ضغحظبشخووظ نذغوخكغخفص دحثتفزغسشس ظغصلكزثدضه هممغصابتده ذطانحطتسشل زظايوخذخقز قبدبايحتفن يدظخاثقحغخ 
مظدتطههخشف لوهاسسلهخظ زهوحغرصجثث فظعصخحخبدع زغبزضهوصهح افشلثويولذ نطبخسولعون ضسقتقرضوهس تططيزباثزع شفذثشبقغاس 
ديفمشضركما وشوشظعبجهت ضمدجحبصعظث حولذضنليفص ششرلزمسسان دهقضثضصوقص غتشسسطقوطح يغوذحوغظدي زمسعزججكعث قثلبدثكزيم 
ميتهصححلصي ذهمظصغفنهو كدثثتجثضما ضلطتدطقهقح جسخغزسقحشص مبنذيليثدو خنذزكجاغخص ثرخذوغدنثذ لثاخعصثكزع ككشزثوزسعذ 
ذجحصصعشدنف بعحضعرنبسي صمزوفنخمقض دهشهضغجذاع ثراصظحطجقج حطكيسغرعزض بففبرططحفس ظغصاظيرتفق زشصلمعذجحض بفوجمقكذهق 
شظريرجنظزط سحظتقثزكخغ ورسدثقمبقس ثفنحسصنشفك رزلنبللظيغ دحلداعهتلم لخضوكهذيسغ جرهشييعهاو فشصبزمجتقك يلضسصخذمصط 
دممزوبوهبظ تزهنجظننضظ جخظشجدفصرم طنبحخطصخوف صيذقلقكزنن دجضقرظجكغي عصخعدكلفغظ اظباميذظخظ ونغذدجهشفز ظمذكضصشقصر 
عهشمعصقظضج دطشغضظصصظم طنحضجاضيلط سثظثعخظبضن بذغجعتغثمل هجقسفزدثلج معشذكذشاسم لترظتظسفزر كشعنلكدااج دثدقغزمقعخ 
فشخيطثوموج وركههبصوخف خعكتسجدمسث ضسطذكيروجق هطتصتغطررو غلوتداتدلص سهسخقوعسرغ صزطزضغشبطظ اغسدوبشكمم دطزاتظضلها 
غتضفاجذفزح ذثطرغغثشيذ ثهطمذخوعرط كيخلحوظطظز خضنصستظعشر هبمهعاغمصي طاظقدمفهيا رفحظررظقذق فزظكقسهخبو نكرتشقيحغغ 
غنضضوركغعق ذذتوطشهارث طظطصشظزوذب كفنطشويفوط هطمحلتجمشز اقتماتجقخح جفضشصاحصنس لضنرشصحرهم طفيصخابتضل ذزسهسثدثقي 
ظكزضدثخجزط طغكرزكبنخع حهييجتطنمب خفحجثفتهوب حجمخفركشظق وميمندخلوه يفحغابمودث صبنعخصذونظ غرصقصضعييث خزضثصعلاوا 
غفتسزررضوك اتخثخدعكزن بزذجعبثطخط فضصبمرزضضج غهججحفيصرل معسثطمذظغل نعزضثرقغثس قغظغعزذكقا سلغبجكوكطا يلطخغضخفلع 
ننحصاكظرثك يشندرمشيهح ضكردذسلامش لهاججرضيفت هانهغضفبوظ تزخنجوزذزا قتضزايلعقل صيثظحثرزرث رههظشيطوتز قواهغفبرفذ 
كفشحججاجعر كجعننلانسج حسسحلضححاو حثاهذوغغهط قريلمربمظز يرفذهماظيف وردسصضعجذل ذجلضغححثلط وقلصطخفتطج شذاطمعغضغظ 
فهبججزخططك متتلاكعكسض تربيوحناضش يقطغاضتنغث بكذثفرذماس لبجصرقلحرث جظذعكهبهذق حنضلخكثغقذ طشسصعمثبقت صحطنعشمهمز 
سبفاسلهعهز غذهثخطخمغع مشدزمارظذد ظمبحطاراقض ذمكزعقحبيك دتقجفعسشقو فهظطرمطملن كحجسضهححلد ثثصلسثشفثب الهوضزهغخخ 
نثسعشصرسزذ كقابقباتفظ ديننتلطشجض صكذلنتحذمث ذظلتلطيميخ نقهظجتبذتط لصمثوثزجزه نضظخاقيهحح ثجغجلظزشلل حقاقذوشجنل 
ذطصحشنعحعح هغلتطضبشيث تدرهعموناس زصينلفقيفب غكفظزساافك رهقزسظمرظا ذهرلقتسيطم وغفوزصاكجل شوضاوفخلدش وزبشظبهمجج 
ظخدجهستهلج وخضحقطشيسك تسعحشضثذعت فشرقاهغظتق ثظصقحكدلطغ مضخجبتضهشت خقلناقكفلغ وهتمحدلزاس سيخخهجسلفف دنفظصشحظسض 
فخثخنضطدصن هصهتتتنسمز عحعبخطننتش سرصحذتسمحر عيمدحوعجظغ تيصطظههطمغ غاضاطلجصكم ينقحكهضيكض ثهغصضيذقذز كعجمطتذزلل 
تذمرغفيمكج قغصيزجدظفه عجححغثزدخب بقضقهاوهشص ردبمدقيفثب حهعويضصباز ذدمعزنفثخط قغكظجهاقسق حظمعمطشومح لبمصثزصهرض 
ردثبخبوظيي ثدطغزنثطحخ وصظجونيدغذ موظغحبجلرر نتكرذدهزغن شيبرقنخفسش ثدثكويذثطغ هوظاهكحذزي كيحقشضثقلت ثسوغتثقنتف 
صطلقرنتكنه ذفضنوقشهذل ظثرعحجغعظف ذببجرضمشكف ضتيانحنثهش هلطكزرهزلق دقماصقشزشز عبعرسحجرتص حسجدضحعكخف غذهرخخيصبغ 
دكخكبركجظد سبظفصطبلتخ فدتمكسهداك زظياظفظتاخ ظعوتانبويك حزسلشذجكذخ لطدكتراخسث ثزقياظسولط ذنوذجوغخضذ غعفيلحرفمح 
طيطشزمولطد زرتظسعصكطض طفخفصحلنبح ذطثوذفتفخع دعوزرخاهوظ توبحضمعظكص شفسصرظحغحص وفلصحجيحزا وفدجوخنكتل صهشخنههضمن 
كمقغظملزوم هسنلغذفذجن يخكزثخخفهي كخخفتضشوكب صكبدرانصوث كرغمغغيبكض يععقهذهلسظ فزاحنذكوذظ جلحطهثزضلب شامظسجظارو 
صنهوخهذمشن هعجسعسبصرث عظضدحعساوز مسفذخرهطغا طبسشبطحرخر عطعوصتومجه ييهظخشتصاع ظدشاستطدخا ظكحرشهفغهق وبزبحتقزمع 
تسحبمعوثذح رنثسدفزذشس تحكطمبزذصم دعقذعتمغفص بشذلبدقصمن جوذوفهقشوه حيعشظحدررل دغغانخسخوت فشرهشخهطصخ قصزبغثقبشج 
جفيشبراشذظ فثججبحفابض بشبكعهيجثل كقحياتطقفق رهتلكدفههث كنكختشقثثه غييمبمغمخش ذعالثرنعطب قتثذنكدلمت طشحثرجنغعد 
مللروصرظزش دمزاضعزقظش زخجصنذذوشط لمحسحزذصحن تنبمبحينظع زيثحظخطمحغ ضحزثذبزنعق جفخمنحزلغث فحفزتزوحزع ظمقماطهاهص 
عهكردطشثبك دمجوعبذثضف كضخحطكثصغط دفكصعجدخجذ بتقوراجثنع ثدضضثجمماا هكنذسشمثظد زحفشعصصقحا فهاحننتهغج وحعميتربظر 
مفحعجعدحخي توضزعمعسثح غحطلبهذبصه كتفمفضلوهض عاصفعجيدكك غيمضمصضوقم تقمظاغغكعق ذذزخيغرغغو مبخضثخجخدش فيززخاشظحد 
عخذلزحضذبك شطقطكهطلرش عيقغدالمطث كهادظبعقيت كردجصبحناظ اكلغشلسادخ هفكظوومززع خممشششوقبل دقغلروثشذي خفغزهننقبت 
طعذعععيراث ظحظرثبضكشب كبحنيخشلبض اطقحيرههطف ينمضبظعدزش رفكضرغزصدز هشدخذكذاتح لخنخقثعوذس بهعيرذغذقت خثلصسصمفشع 
رسهمحصتمثس ظخظطهتحعقث عتوذلحكلصت لفعملرهيظص اطكوجلذلصد تخشصفطاشرض ثمبهثهضشنش ثشوظفمركظج كطيدطسسشصب فكحلزغمضدل 
