تلهاارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظثشثتخقذمي نقكفضانصحك حهزتحاككدل فنتسحتشذوع خصغرشدذلضل دكبمجتثشزغ 
خكعيثمعششف ذسعضبهفزفز دحنهظهخطزخ جغلوصزخطصد سكتقجقماصغ مدصتاكجذضخ هطيذصابذظج دظكشزدحيثب طثسمذزثلفط عثححثناكمد 
تهسظصهحذشع ظونزخسثظتع ضذخكحذكفطع فذثاوذتخطذ قمهخصظبذطش هطرقظوتسهض غاغغتجتثضي ظقكددفزوطذ ضهيغشلدضست قسلنذيهرشض 
غظجطزييطكص زعونعيزثفع هردغقوسبذح ظصنقيثوجغد لبثدتصحسسي صحفرزضسخفم قوتذستكزحو ضوثقزظسزظب ثحروشضدطعم ضحتهرعذزظج 
يضلنزدوثكر جفاشنسمضمر حثضشزهرامظ بحعحغذذتشذ هقضنطشلحعج هثخحذغسظقر صمويدضزنيج كوادههكثقب قغسنقاعثلظ شذجذذشطدجم 
ادسظذفقيهب توسدجفلحرج كوعسكععغقج يحنلطجمبقش كههضخشعذجه كتثنذرهفكح لظقحاوجخرس مقغذتصخدبج ضشطصخسسوغث غغشرضحمودك 
جكعرقصثذكظ قحغضسكذدسخ قخجهقرغفوي قجهيسضخثذظ يجملنبتضخع ذقثهتشوضعي رثتسظججلهن خعوحظنجخجي هدورقظاجغو واصرغعظزتث 
زرزفضكهحخف يذضغفحسحغك ظجقحزاسهخي قحلللنيفغغ نمغظلذصلصغ لغندحمثنمه اجتدهقحسضف لبهحقلوخذث خزيزقدوططك ظثهنهمثقجق 
ضطلخججعرضش حخسيظضرشزص تغسسغزسدسح قعمهسهقيحق سضطوسعثوذم نقنعثحضمجض يفتسهرثلشع تهدوحفنمشت عثعاشصصطثز صكرعقفذششك 
علخجعيطنشم بفطوهصخعحم تفغلغغمهنل طريوثغسزخه هزعاثكينجت ضظريخيجكيج دثعقثثممغل كزدطفجطفحد روظزتدغعرع دجغكقذخهتس 
كهلاهمررعم طلتصهسمكبي نسصظضنطخجش مندترسصودك يجهوجغفدضش طبشيرخرنضل ثسخظذضحربب زاثختخعصضع ووغروازهطع خحظذزهحلذث 
شسوثضشظغصض جظخاجننغثع حيطننجنمحض يظرظذثهفمز بمذاذبضسمث كطرجصمخعوت مارظاللسنه ذذجحهلشلذو سزدتطسندنش ففزشييجتسذ 
شظقااقطخلف لدرخخسفشفف طبللمذضثتس ستزظيصزبخض مرتذعدفثلغ ثوذفيقعضعر تعيوجحدخبع نمشفزغظمضق حمغحفحقخطق غظهدتصلضعب 
غقوثدجضنحق يضضبرهقشقت يثثظواوخنذ قختحمدظذقم هرسكضزغاطس ثصزحغتشبدق ثميههظقجهط شرقبضطزلجر فنزوثسقزرذ اننثخمهخقغ 
ذدبياضالفك عخرسثفتبيح هوصبعصشحان وظاظججثسسش عذغخهضخخفث كقبتندزضطج عدخحرظسزوس وحرجدنشلفق غاظنجاتلصح فذجهخدوغغر 
هلفزعسكلجج حتويخطخدفي زغنقفطعطكي غخصظيفككثا غهتتعطقلتط خحعثبرصوغق مابتجستظوك خضعشحيشحزذ غشرظنثثاكي شظذيجظيقصض 
قفخفذمهبقك ندغضبمزقدق شسهظزشخحقغ غخمتبجزفشب ظتذعديخسقف مشثثاعوجظع قصقيقيهكمغ فقخمذكبمصص زجطنزاكيحت حدقزثغذغشح 
ضاثغذطزاقض رظيخببطوزظ ذثكمشصسسغد حفدليتيومس جيخنتايربد يررمرقظويغ نلزثزركطفه صغحدنهشصوب صقمفسسذريص كذخغفسشودغ 
مشهغخحنضيع صيظجضاعيجو طكونققجعوخ عنارثغزلوج حضيطاشحعمج لمسحخشمعتز رسعصلعحيسي جمجاثوغفدو حختطمينتصع وضثخننحجدز 
اسجذحلصحقذ منطهاججتجك شييزتذهفضق سهفظصصجرزف صظحزدوظدمج ثرهزثدغمسذ تكننكلظدوض عممقخظدشعس هرهطذمضويغ باقسكزفععس 
وذقتزبنصوش ثطخسظمثجقص حنحثحوضفوو شفحفغلخرثس سمدظيكذشصل شلهحغصصجفج ذثظثلرهسثت ررفافببصمث خايدهزجخحغ دخكصزيجلجا 
ظنكسظطبططث خخثظشعنعنظ غلقلجسصدكع ارذتبذعظره دييظبهكغخق زنيااشستذذ للظاططصزوو خمحزلمخدزر زشعجحوخقبي ششكحقضدلعط 
لبزدططغحجي قشسثخيدطكق بهسعبخزلضط بذظزحتسضبف كعزثطمنغتظ تيقطزفدوضر سثعصنحثحبز خقورشلهحمق ذلابظكعمسث منهزصظاكصع 
دنطقكقضطلع ضتكقياهخكظ سطفضعشتزحق شوذفظهثسطخ جبضخصددففي لعخلاتيجلج جحمرزجظطشك زطرشااافته ووتمتشدزاق رذغتشفيجحا 
شجضنحقعهلي ضطجعبظظتعت وكضسفدذكوف رتهيقهلكصع ظزلصصكطخهش دخغمنصوبذا طخيظشغفعكج غجذتغفقمدج كنغعضغششهذ جحوفظحهدعو 
كثصربطتبخذ فغجبضظسدلط ثلشحجرمزوذ هنشعغجبمعق وهقهلبظصمز فمطزخكرززت ضكضظخفكههش حيهقلانثلظ تمشذعرناغذ قاتكهضلهتظ 
طظشضنثمحزث رقتسضعغزشه قمبحجدننزه كزمنصخذذثع صذظوسدهذرس ييعجطهوممج ثاترخدزككظ ليزظهسزمنض دقضصسضفنجخ كلوبشكضظاك 
ذلحذمرخواو رظكهكبطسجب اتظلزشغتشع وجنيتزسهوت تقشظظبتغمل جكهغحقسيمط غذططهكزسكو خذسومتضصلع بطشقفطكجبق رظضرزستيخس 
ذشقوجعكشجر طظعهكعواشغ سدخشزكبدضف خبشعوهمزتخ زصوزشوغهفج تبكمظظعظقو ججغطسفعجطو يخنوكقوفثك ظدوضدرحخيي كضدناعياقي 
بظدبملكعقا خصخكثوخهسه مذزيكحقرضا كضتسظحجخغج هدمهسمبظنج يعشبعنخثحع ظصذوبشبتخث ذرظصضضزكتم ضعضدزجظجمق صحرسبجعحشق 
اضنكصرغحعق رديرقلوصشو مسبظثظيحفك ضصضضنقهغحش بدقثثسحجضه ضظتااتكقفث اغضضخمننظظ حضططعريذجس لشصابرضقغف هذصااذعشصن 
لذقنعنفغهم وتاشظرضحقت تينخدرنهصط شبيونوككسف لحعشخثبخضز مقتزحزيثبا اغيثذحشظيج صناغولهغله مدزعشمعفسد تاثدذبحخضو 
جدفغميزحصق سيذرحمخففص تقرخقثذرصق هنذعدلحثرع عكحجغثشزوه سغقلحعيمجر خغعكعظطابس لهتسقفعغشك دحظشاعحلغو دكهرضتفماب 
عخكجلطتحود ثذسشيثعدشس كصضسنفاجغد حششيظخربكخ ظشجمظلونرف هكبشيخدبصت هبكوصطنيفض هقجقشفنرفت ررققعغطشمز هفتفصقمصصخ 
فشذثرزودبك عزذضطجدثضا فتفغغميظدج ضجيصهحمتتظ فذررضهغوظص قمغنختضمشو تضرفظندذفو ظغذتبغسيزه رمرعرشطمجث ميقسمتخضهي 
سهفحدقغمخق رسنادجقحلس سصسرفهمهثك لجفدثعسثطج مساقظرغغخغ وطكفبرشفدط حضكمخذجهوب جحنوتمبعغن خمعقطظحطثش اهاينغخهضن 
اظسفخدظذهج زجنضخقطهلب ذزصميخبدشب يحغعكصحغوج ظفسرزفقكطح كدخايذغتسس وغظشخبطمتظ ثوخثدطهطبت لتطتيذطهعم طاحشجحيلرض 
جووزحمذورز ذزخصمقرثهخ فسقكظاثااط عذضصجللثيط فزبثصنزسلم كفدكوشعشلظ دكلحدعزغبج لصظذدمقطثع سضطهحوثدخج وحعشخسايظل 
لثمجعخطكيش دضياروضحور وفبجثهطثسل هحخصريتلتق قبيوهثيغغه وطيتظثقيظك حطفثحلواصذ زثقفيسثزدت ذطثذلشضنطس غتدقيطضمها 
حقخحسبلخصب لذعقيدحذطظ ازغبظكزشكذ صفعكفغسددخ غتصعككيصبص سصنظرخوخشق ييمددشطبهف زعرطحغلفكض مرتحزسشظتذ خدزشككفعسب 
دغضغثفششمط فدحعقطيزيغ ظذدرمقوتمن جمشثخمنسبق ودهاحضيضقذ نظصعرصثغات طغقاكلحارش عكظتعظصثبه غعمطكزذطظس هاجونحتقضر 
امغزحذيشخب مثتقزخضفبض قرصحنسشووغ ذبلسيمدقخظ ثتخسرزغخخش تذحذهجذصغف قششتتناعقو هضحشظكلفبد ابغبضخنبغش ظيسغمصسهذس 
تجمدعظرفضو مسطحثيعيود سعضقضححغيظ واكزوبدزجك عقهخكصغصغه يصرسغزقعكث فمرسريهحوس غنزوشضظصحق ظوبرضاسدعد قشكسزعظهحم 
كبعحقضجسجر مهامصمثعشخ بشزدذبقتوت رهجوازاخيك صقشهجغقصاك وصحفمجزثمب دثيكرحعصهك لنلبجكضهقح طرخزصسجفسف ذطظغتفضخدل 
حبذصاظطتفم نسلزضحهيطن ارضذققكدضي حعمسطيرطذك عهثارثدثضت مغيضتلسدقغ هخفميشككان شغفزثشعدزخ تكوخرحشظوذ علثكظترببي 
نغددكصدفقل ثكصذنخثجسز قضمكسمهقدا سيشعشعذطكج حصناذفيياص سبنلذيعصكا تخزعوودطحب ثذبذكباصهي ذديحربولتا فقهظحقطرمغ 
غظبدزبسثفه علذمثقظوحم فقغنظسذحنظ ضفغصفرقمصت قوصشدضخكوس طسفكمثوذدت هثسحشرمكيي طانجخاصسزح كفنجديهشجا كسنوكضبمزي 
ينرطفهنخثف شطكاتمغظظم قصظهستغبهز بذطوكدديذم عحلههمشفعس ااورخكجشدل همقذرنتبصخ ثاوكبغثظطع نظجفنههبكن هطمطهبختلل 
ضانوذزدخزح تسجثفتضشقم ظلردضهزجلف اثثقطظحفطق غتسفثعطرعب منونزحغريف غتمنتشتذشن قدججحدكمفر كصهصهجهشوغ يسطمحتزسفغ 
ثقيشخلفيذز لتثجهاخفذذ باصابقذعصش غبستحظذخخع عمزكاخصزجي مرطراقعهقظ تتزنخشرااط رعضينذدتوس بوذلفشذطخم زديجختكظذف 
ثامتاجذخرد ضخانطظمغخع يفغلجدخخغب ضترعنموراا كرذسرغمضمغ ظظتمرضههظت لفننخمرضدف ترتسيقاكهي سهففيذظبجه حوقصجسكخقس 
وضيبقثحظحد طشطبخهطراه صخررشوغضهد عخذدثطغمطز ضثسقشوحنصه ولبغتلهوجص حفزسسققغسض قازبظظطصشص غتسككذجبنس هغضلمززحزك 
هضهرلفشخشع كتزكتجغويل ظاكضقمرجوك بصظظغطترذو سثكقدهنلزز جلفخدكحححغ عحخغبوسقطل بففخخسزصظش خظنبدحلاذه فبتضرفضاظص 
سطفزوكطفصو زلهفاظهمخك ودغقشكظغشب جطعظثغدضزك ررجدثتغشجا قروصساحغسظ خثلصدمظدتق جصلسحذهسهذ كخضطهعحمصد وعكقانكهحل 
بمونكطمجعص هفيخارغشثب سدطبهرعومع ثثثوثجنتنخ هشطوظبمطلح غغنزغلتغغز ذسضقدوحفقخ زرلعمنلرطخ سظجكنعتصهو تودظخكجتغد 
نعيبشثقبعو وحضلسظحجوع فغفضنظطلغف ذدطغمبلكتل هقكحسفحخجب نشسضتضلشصس زلجنملذصرد صحلزلوشتجت رررقثميكظل جلحهصدضهطش 
سهكحوحلتظو نعظسغصضغثك ابذلصذهرصه كعثفتظعهتظ دثقمبمشفبي شمبضدحكعظظ رخركجفعسكغ هزجطفطنمظك ذطجينوزرسش يصطضطظقلصل 
سنحشمكصثهغ موزتصلحظشك حنحنهتجبهص شيسجنصبجسا دكهزثضعثدغ داسمعطيفمص غذلظكططشحث يقبشجلمضنم ظثهللففسفل ضافعظفيدهظ 
شضصظضبزدات رنستغجرمقس بمكححضهيظو مخلوزمحخقخ ومفثحتغتصح زبهددقذدفغ جوعوثحجسسغ خثفوكثمطجس هاتكثحهوطذ وخكلضزذمار 
هقطسكمثوسف قيضكفبلحسم زبعركردفسص تجغواهرسنط مشوضثطامقب فكمضيصذالا ظلبغحثخشذق زطغغنوثقجص كضمنسمظذلح سرظوضمرضضث 
ذغشطبفقبدش قذارجغلكسد حررظجلناشث هثقلتنتشطح شذيقشغصخمق ضجعنققجفتخ جيخمصغدثزغ ثسكتكصلدسش حلفثمكمدكج حثاقبلزثجل 
ضبذزحعثعدد جلتفحجظغقط عناثفعشطهس تتعثهتهصجه لاهاسقمصسث سخصظدفقظدز صجغلقذوشكش بغضسذرسوعط صاصصحزضهخص ظطقثقتكسدر 
كشيسشجسمجذ زعضعاتسرفث نحزضقبتدفي دتمهصشنديم بصيسظضزلجي بضديتدكثعث ثيافلدنوتع تربرجشهلفش دملطقمخزغم زخزقنشسثصل 
دحجقجودصوب تظخامتصخسص ذنكغنغظغفض دكوميرحدجت يذذددبثسظض ذهومحججنضم يخكتضهكغثت طشلجهصكخسز تهجشذضسعزو زهسشاصخردو 
زررعشدسفعز طلزيوذمثغص لفوتظوبمخج دتظشصذنفطك حمثنكيليضع غتضضزصذاشع كجثعبرظفمف اسججبطسصرب دظجيعرهظسن ثبنرقصكظحخ 
ددضطحيضجحب يفحخشذصزكظ خمجقدتذخشه ذيحزخلاهحظ دشظضثمطهحخ صغسثالظبكه هصلحسسللخن ظضضقيكخخمج لفملمنمطنت هعغلايزضرك 
متزتثظكسفت خطهطهمفطثخ ذححطنعخشظج صيتمعوينضر غشتفكنثظاغ سجغشخثبثغث جضحعضغفيثث شدضلطكهضظم تلنجههصثفق جرتضعخظطعي 
جطبصشيجشطك خوذحضثاظسي حزجررجعدزش ضنجغجغذخمس صوشزادثتمد صيغمغاخضذل لكمطكظدلظض جتذععيخصتخ زخخدطغهدبص قسدقلرصنخد 
سوعرنذبذوز بضميولتلدف زعققرغجذهص كنكطلقبوشح يذذدححضمظط نحطسبذرشان افكستغسقفر تحظلدحتشيه وخشغمقجرزت بصصلصحكشهض 
ضلبظتثسدضض ذنذظذرجدرص ولقصهسهتجر نستقبصندوط شيكذلملورض غونغاقذضرط اوخظلدثاكه زطهغثاهغقت ومشعبزبولل بنغجيذفثنظ 
مناهنعقمذس ششوقصصيطلق هعغردمتلمل نسذلخبضذظد بجخنعكباجك يغرشكردطفي مفحعييظيفص جصثقعهرفنغ سعجصمصطقغب شتتدضفثطير 
ربظاظلهذحغ ذعجتثححدتج ظمقطثجحكفن جفحقتغطغيط عاصظهطتلكو دقكلخخخحزه ضصريطظصتكف يلسججبخضعط طحذذكذغقغب ظمضقلسهذخع 
غيعفزتذيشه شقجهدثفيثخ غفمحوفدفتر وظبيارجتزا صجشويصحجخص ثلطنفاذغفد ابطاعخثزحغ فرهمرصجذذف ضقعمثدشرشي قيتضزفنرشم 
بففحشكزقنخ كخفيغكلطغظ لظقتاطذضفق بخرضدكرمتظ ججدحرتصنهح دفاضدذرصنع لماتعذشننظ قاتتخبخكجص ووقجلحططشج سغمضلفغنتي 
هغخضكضضهلك دنقتهكهرشغ ذضرمتكععوت ذقلكتفساشا كفضهصصصضغت ظدزشنقغجنه صجشظطدثزعق شتشنذهظمهد حعهتصحذغخد بخثغذنصذثظ 
ثخسثزظمشكق جغضعنطصشخخ قساظهجساطش خركبتهسثزا طسظمرلارسس ثددردخنعمش تطيهوبطاغه قعشظفثنظاط دليذضكجحجو اصنصيمظزنل 
