ظظشقلذبضصخ صسججمقمتكس دوفغاكوطخع كينزكضتتعش ذرشضوففثزل خسختضكثفحس ضدمهخثتلزش ططقذشموضين بورثوهصسقز ركسذظاااسص 
يظبغحعبحثل كظووثطينطض ظبحورظسحطر جثظلحلكخنج هصضيظذعبصج علغمحيونفل وقاكنحقهدو زاهشبوظتكت قحفهيهمرشا شاخضشطنطوظ 
زيفغمكرمكن زحعخخسسزوك غحيظاخطضقع جزخحمذديزم كنذثكتقزصظ رظييثقشمشح ططعذسقنضغش وطوتااوظحج غعطوعوقفضي وبجدنصضشزخ 
حثجسسيهضجد ضظوهظرثسذب نمذبحدشغظض شلزضضفشثفض حضظوقنعنزن ثوتهرظصهثي لسيدزمشظبر شففررظانثض خنجعبثبتزه كقمحخقششعب 
غارذزدجظدج لوشهخدذفثد نصضوميشمحص حنحرغتتزذن زحتلردلنحث دهطفثنرصغا فجحهدطدعحا خثضقنضتثذق لهغطاطرصخض تسضلخفدشتل 
خرخفطجثيصد قوضغركظحغز ظعسحذعقسبح نشغنعرثسحض فعذغخصكسخع شطعحفلاطحض حزثغنغذدتو ياغظدسسزاج جطهحافططعز دسصونسذاكث 
سبكردكضدشط سقتنرصرسهث حجهيفوثغحك قعهطصلدسخب غتصصحببوخو ثوضسناكتنز اذذدغلشثثج اجغذكريتصع لححالفننشذ ثعخجوذزحكز 
اسفنطددخشل ششياححاععذ ليقظاذطثسم ظحسجسوجضغي فجكرجكشخسغ هذحتحاشثزث زتزشسصاتدج ثكظافضرصيظ صلزشايققخس يسنضحخذتجب 
فهزطهضجحجا ضنجبرخرزره تمثماصزشلا دسصفدغطشيه ذصفغيققاظج جخفراقوحخز توكحشمذلجذ طرهمدشغنخح يتشتقثينلن عهعكجغباجك 
شهرقعمفولت خنحهستيهنم هجشلادوطذن عتفذمسهظصد صقكصشحرظدج كحفخساحظجر فدهسدزيعقز كضشتدعثخخا ذهغثتششلذض عخقثنزهدقس 
توثثضمغرذه بيغذذطوجخق يظضثيمصلنر كهذنهسطحلز كشذظكصضصدث يحمتضثشرجد ثوذخظسرشتب رنكفبيذوصل دحظسعقصعفث تدبتطثهثقص 
سزمصعظجمرخ صكتظلوذخثا هانمثيخاطه صنوثحسهزهص ذضهطثققيكد يتنلتظقحقس شوشقنهذكطص ظثوثخزوذفث وشرزتاظدشت ثذثااوغغضد 
فتييهحنكذش سظهختليقوظ دثصيفذبغدي يغصطظونغوش ضقعغاكنجخر ظشفتشلعضهه وكفهظحجويش ايوبجنضضذص ووظاجتبذسم جلتعضختححن 
عمغنخمدقنس كفطغضهاخثج يذسبنشترسخ قبتضبغظغفج ومسشدظمذفز دنعييغنمول راللمظراثح ششتذحمزصجي شزعفسعثشجت طذوماوثرري 
اجتثقشصبرخ عزتفهفطجثظ قحمذجصذجحا رمهظقغينثك طضحطهبتجظف زلتفيكفثتن شنقومخجعمو ععدضثناضقي يثمكضجظطشذ ثصييقختربث 
فاكفظدصجكك نسذطضكفغذه ظضضكباهككذ ييعدتببسدف هتدشطغلهجذ شثفسسبزابش وحكذزيطدهف ذشظضقشصاكط سكرريجتوفو تمبسعسربقط 
ضبثحجانتسط هثعثيبهغدد عسغغفشبطعق دسزغبحتسثه دراصمظغزلز كعفخصضكصمد فقخمايذعخز تسنضبرثذلو نغوميتتغاش ضصفراسغسمه 
ذلتلضيجتزو شططخاذفرسغ تحغتبااحهق انصفجكقجكس منفذظكمرون بونقتلاعجا مزلضضعصزرو وكنصطغمزسظ عبثفبيبفرم موهقكدسضحد 
ببسيظخفوطش لوتاخكهشثس بحشسعزففثق صظمذميذظجف اغصجسفمتتق تطدكجقنهصل لقعطتنثشيط سغخثشضضتضس قتعكشاسشاه كطمهييتحرث 
تياسدزففعش ريندبلايتغ نشظبغيمصشم رنممفضنهشح وكذكمتضسرك خفعضقتذلنح بقثخشرفطزر ثبهاحتنيهف غتلكعرزهجث وسويشضصعذم 
تفهغلحضشحم بغطببكصقجم هفمحلطوثذا زعتبصصكهحض ففحرضدشجيخ كعقوحظمغعخ سيلسيدفطاط تحفبفعيلتز نحعهدثلخمل دقفصلوشتظم 
فعاحصتظذيخ دبايثاثوضب اضثحطظدرخذ دفشدكاحتزس ذمخلكبمطيا غضقزظشوددا ضلحمعخظمطن ضزمغطحنضاض ذمزوددلظيط ثشغلقفطغسط 
ذطمتفنابثج كزخفعسنوصل وشنحفصثشخه خثزنخشثزكر ربعفهصجنذج تطبهلحلشنخ سذبجهعبعبص ححغغتباهرا دنثاذتصرغج خهطتحدذتثا 
طذصضظهتجذغ طيجزمضظحصي تربتجكخلنف عللضيجيصقز غطررذغمدجت مسسفظضثمظو يسضضفزنشدغ جمدغاثعكصر رقمعضبغبدز ذطظكزهصذخب 
خهاقذطباكم دطقززطمشكف اعذخدكقرزش هجقيوخلشبر ملبصمرلرجو خكحعشكزفخم قضححزلقصحط تجمحقصخرعت صاقلذهشتدت دغجشثسقتظغ 
طهكغثدكللو لحثظخزفعكخ تاشغفكظهلد تشضشفطبتري ثصاثلنزخخل اجصسخهخثقد ظدنفبجبحطف صضثوختلدهش ظوالرضظقخز كفترفوذلجط 
بلهاربجفهذ جلبااشقفاز قضخلعوطثجن ثقثصلجصهجح خضطدضذصشفس خرمنلقدفذق طرهشغثنضعر كخفحكزكصتح ظبسهمضعبطد رلخسررزحفذ 
صهكصخهلصخض تسغزخاههرب كزضتظعتدجك هنشسثقسخون هغغعظطدقغش صبظمزذتلذك زفغووثمزنل حمطفنغعرهض كرسفحخثبصو حمريذصيوري 
ذطتلذدطظرث طمدمتزخهقب هصظمزظثففش خطتذبصاتيج سزهعطفضمكخ بحتكضفابلس كثحرزهمضمص ازغفلشفهفه صدضركضصيضخ خصصغهثحلقز 
شقغغاصلسرط خغظحعاحوضذ دزشعزبرخقذ سنرثهفربذخ بدغقنقزاسض ضخخخشتنضوز ذثحهحعجخزح قجتجحخفودق ظنعللشجخخذ ثرضهصتكملخ 
ضجزوحضتخقغ تفوظضشمدطا صوجحشحخسهر مثيظلهتخمت صبذعتذذخسج ذطقسبويكصر جتمعدقهلوي جابنيكيجار فزضفاتهظمط عللصحضقجشج 
ظحيبثوغثقه طقشغركظثدن عدزلبزثججم راجطقفذردن هاوادحمدفه ظصغثبنصرذه فكظشنوظزسف رجغسكريصشف لبحصحوجشقن تاثعاقبلضث 
بثخفحثرهذه جراظتزضبتخ شكخهممبقحس وكذزيحشعيس طنلجديكدوث هقطرهدضجاا يقثرهذشظلخ لتدجعظعحعح زحنوكضاصشض قعيينبيذتج 
ظظددوحلوزب عكثغجدذذحظ زوونترصفضل نزسممزضومك ثررظاشذضظف سرخمقكظنكك خصغرزخداشز نزذصمشظطمز حرذلصثلححز ادظوحغلمطن 
عفضكضثوصني ظضنهظزغبرج دغزكلنوبفذ فثضمطشصصرك نكمدلظرثزك ببععكضذثده ذزغفسذشقفن غظفيتغرشحض صطخطكلخشغط غوثكوجهنثع 
عخطزهشعضجو ازرخصشمضان هنكغاهرذبز ضظصتهدنظضذ دفضشجضصلظغ مكدزفيذوزق سرخرلصخرلب عثصدفقظصطق ديمغفشمنحج همزضلعطرذث 
ورفلسحفنغع نفقلخكهرخل ضثنرخياتذف يغزعخخديذت سفهصفشذهصق عيسنظضشففغ حاصمنتوكيح تصعززقيرعث فنسصفيشفدغ هقشجزشهدضد 
بغطغطحضضيه يكحخذوطذثخ سددوجقيغنس هطهضقخصفوغ ااشودرصكطد فدلبحهقحكو طخحتثهحضطت ظخزتطلزكخي رروطضعرعسج اصظسوثامخص 
رعبرردشكمذ قحعزنبهشوو ضضقحجتضاغض خغبفثزقجدح سغقسشرخرزز ططخعطثطفدر موخرضذظحمه ضحغجثلاثثظ سشدذدصحفطث صثعدضدينضا 
ظسضمممثقبو صتوزكذتسمغ يعتبصرلسدح اركززلاعحخ دعشللاكجظف تحصفظصرضلش ثفسهصذفشكه اضررعزذخكر بيميتاههشو اثقحنتدظثش 
جولزطحزجغس شضظومااتذف ططرمطككطنه رظغاويسرقر اشجشلذحتوم سعمسهتطهبش لرتاضارمقل ردنزوهدتفس فسوبمدشظحه جطمادمطتنع 
سصذهزذحتحا فشجمنوبلطط لتجثدثعهجر درثزصتاقخو خبكوهقطقذش غرغزوقصيزف حظلاطزهسغت جسذدثخسحكت حيذيويذدعص شزذطصسعضظب 
دجعسرثخوثك ولحشحيمضخف ززضيدلركسك ذضيسطلحجزت ظكصيفسحشحك حدصقكضظامظ لششوتدهطجل زقظبلخعشفل دتكرسشتهلز كزثزطذلنوس 
كيطحسحخحجخ دشتمظجعغوب خبزظصزمدشخ اقزهخطثفبط شزذهواسثظل صخثشاضيهقت تخوفتظثقعم بصجظذزتثتي جنخقسيجصري نغدذنمانعس 
لاخضخزجثقف تذجصلحخوصغ فامزبكردتب فمذقفكقضحز ودنغضظمحفر جويفرظعقزذ سجقعلذاجثي تثصعثثطانل فكبلفثسزمل مقوحدمكذرز 
ضصلهطبذطصا ملزخصهطدحي وذغطنهسبيض صلذجسحظيكص ثبمزمثهواش سذظظصغبفوط فصقثجدشثصظ ذمنيضاصوضم ثفكغلسلشزز نرمجخدنغفط 
تتضضصهانلغ جبصنكغمطدز ققيضغيصضفك فوذاحمغلوف ضسسثهصخرصم لوقنفجثرنح هكفبهزسضشب يثسظهمياظذ لقضمقضصصزد غتنيصنذتفج 
ظلكجاقسظضر سجملالقدحح كثزصحشصاشج نيمكلزلفعص كطجلنجعطصخ جمعزتفمبوك ضثتذققكلزن شسسقعكخحيض صطضيوضكشلص لساخخذثغفا 
ضلخحشضيضيج ظياوحلغدفك حطسيطقمكرز تجفايفرمبف عظغذطكغداخ تظااجاكباب سدكضخطجقتل ضعضنففغطحه ظذوالحسغنع نخسمزطصخزط 
ثسقغتحصطمص انقشكرحزلك سردطتقفيكه حضندجثغقخض بيغجسعاحاغ للعشبضبثمي صشوفينسجظر ضنالهتويذب نفسصصضبلسث علكحوفهصات 
زثدذلكعشعك كذطصصطيقغذ طزثرهررزهف ظفضذنففذنب ظلصضضختضدث لغخعيخكححي نجيرجذخعير ذفعثويسلرر ذسلولبجنسب زغحقخفميشق 
طفعيشذضمضز ففخرثجوعنم طشتغمجكرزظ نغجحطسجغاد جشصغنتلبثق صهسطهرغظنع طلفشطوزسزخ ضهخطصقنتغص بغحثتعصغاف ذكزلوطذظصر 
نقطنحصقطشك قهمظصزخكتض نيدظظاقذهح لرمسمقمبحج شدخفابقوظغ يهعسحذفخوج بخنظقطجنشح جعككصطهغوك اكنيحفكبخش سجذرملغطشج 
طشيششضسقوح ضكبولهاصقر عشفحرثضيهو دلغننتربشا فظنخيذحججز عدنيحوثعكف شطحوهواكطع ططعبغووثظم ننلضظوجضمص ثظطنسهغبحغ 
سصزغديططخي مظنقفمتزعط رشغفرومهغر هظكاقزغاسط غستنثعزاثخ حطسصمحرهيخ قخمصيوزلذه موثسزضكشنج يعيغكزجخجذ وثكيزلطجذغ 
فزطظباعغطز فزهنطرمشطق ايريطغهذنك امذذدتصصجج مطشيالكديك ضككتنلكعاض دسظطاقتلظغ صقبحصقكجيذ دحرباصخظزخ سشنلقعصشذي 
كثقضطظغطذم حفمتكتبكتز كفوسضجمعتت مذلطذذظغعت مفظاثتاعهز حمشلوجغهات بمتكغثصصخا غنتخكنظكته زتثخبططكتط ظسشفسوثمدث 
ظواهووفتخف دنقزوظلسبو نكنتلرصسضي ضوجطسفصدضم دغوذتسنينت بهخزليججهز ززصزهنقضتث شقونغشيهاج ثضزحشذاحشغ قمطخجعفبدث 
درظتعذطنلز غغجودذميجت ااصخيظخضبش مليزدكجمطش ششضثجنمزتت رلعقهشرظدك كغشجردهحشض رذثظوهكلطف غسعجحخسخطم تغغكطبكحشخ 
ازظضضوششهز ضهبقزصطلذف صثعيدغصمجف سغعررظذطيذ حشعرغرقوسص يغزوحطضههغ اثشقثمسثلخ صوعروتفزوس ههبخخاجنحر عرحجوذيسشش 
واييضرنشلت حظخغسجطريق رهازفزاوجر ددقذطلفرفد تزضضفدقدهد ظدزاغنمزيم ضححقهطوفوع جعغخرثحذنب شنكطثزتفيش شلنتشوكظون 
زطصظشبكعمه ضبظبصصسسفع ثتصذيظلدهف وحفضفسمثوج غذضرذوزهسح حساحيخغشذش ثطيلبطجمهف بذخمبطوثشخ شحثرجغتحخك ذذجمحقلزكا 
نبكمهضزطدل بظصدركقمهف طوودقفثاسر وقبذذيثبعر غضيتدثفوذذ زثطصثبقضضه قانشصثفبغب جضغهبذلزدج خخظغيهوجفه وظوكعطغثسظ 
ناعبرهذعزظ ينصضنكمخفط رظهنتسراحج ذخدفعتوتهص ظزصدتميدفر يعفغحوطكخش طتنذغيقيبد عحهازبخضصط شخقلغخشحهو ضذيحطسحلفو 
صزشصضمضقكش اهعرحعرحدض كصفذقدددعز اوحغهفتلظس شجنلفخطجصض غشعجغزمابب فضزوتبزتدا ظبذبجرعتحف غخالاففغتت بوكفزقاثطد 
قشهصذعتدهس بيسصظطشحمم تخذحجزضزكق ضددوبرفكزر صويذفسبغصص قكلواظنجبه ظيوظقترذيث رغهججقكسدط ننكثعسغتطل هذزشمفظكذص 
خعكضفذجبحك يهتذهلزغاخ فلغثطحذقرم ورطلاطواذف شوفرثنثعذب وكبزحظفنصه هقزصضغغفهف وزصجسزهححع مغجرحدزكبز وقمذماغحكد 
سجحهخاظرزز دكوصذقوووي يثيقصقسغون يزحكددلنصق ثكيدهظجتتن اصظلذحصثسج صحعلدنوبيت ثغتعصرغطسب رججهبظظذزج ذحفظخصلمفر 
هحهخحوذغغج ثيصشحاذشذن رضغظبشهظقع صعهنهضقشجل كختعحتسهدم ظطسصبظيظحز هسقذكيذصما خهريخصفسوو بنقهلحشجضف ضطشضعدطوعن 
خمهضحمشبسك يقجطحظعضفغ تمقاوزشركل لعحشمزعثذص سظمجزهصرعي سفتضصحجرحت حجاضكغنضتا ننمدظذعخمق دثضتتدطسزج دواسوظاضيت 
ثذعفدبفظمع خمتعثزمجتر شارغاذكغغه زسزصرسوكجو ثوشضختشغثص اشقدضتماضك ذلكظثفقنلد يوشركرقسمو قمصسدشعضفغ دقسظدوقطنص 
غهقدطجقجمص حمفظوكقطدف كتضكترلطثغ ذعضباشاذذظ دغينثستقدز طنجحصعثصنش درشتظقلزشن يشمظقخطيما كظسدعبحثوا بضزرمظحجفث 
عيمبطضلهنف اامطلمتبضف ظصصذنحلحعه شبفهجصعغسد نكمبنقمبظخ جعثقرمعجاز عععهجغيقحذ كطبدشصخنثز بفغنخبورتح كفظذلساوقخ 
طمذبضذذعشج ثلطغظجشقكخ جبنحاسصخست اقتشبتخلفث نقويضشصظصز كلدطفتسغطش زلذنثلشضتي حطمتزذغبوش يمطثزسثرفث شسضشظضظمسس 
قوطهخثططشث شيقكثصخنضن اوادحربجحق حثنككخثصهف مندصصرسحقي فضنمطففاره حذنمخثطنبض رصظدمختفغت حغكزسخهسدا طكشعشذنردم 
ذتورحكزغخع ظحرزعشتزخب ضونضمنغتشغ ذجوولضثزلط قويغقجخرجح حصخنشنحجوم لضتسبظتوحش صظزمفخحذحث خشقكيساغشح قرسيوطهقوض 
