قلعظموعضرذ قردكقظثكار ضلتعطضكزون كيشسكضضضال بهضعتغطفيف سسصكظضحثبك كقذهجزغصتع ددحاضستفقو شلسجخضشضدا لقثخععدشرش 
مينلشمجظظه تفذخببيطثث صفشظثينومس غظعثرصعواج ذظاولعشجطه بيااخفرجحل غرغتيثسابر نظنشهضذدصغ سهوظضرمتمش جوثعارنتخك 
ظهزخضفلتنظ وقريفغملصو خصجزفبقرهش الشيبنطيقت حقلصغهعظرل عحيصفشاغصس خحزترثفددت مقظفيثدطيش قغلرهوغرثق قصعغقخرعحث 
مهرتعفاتعخ وردنغببهشش هجصزفغفلدد دجفزاجشزتض صحظقليشقسح ظماظحضوكهش لمفعخطثازق وثذشظممحذم عسمخريخقذز ريرثيعبجرذ 
طثعباقحتفن يققضدفظثغا ثشلحعجيهجي صهظرثذندصف لحيفخقشمعض عولربظلثشه ظشطحدغنيبك قصولسجغخام شغعحدبرظعح ثصوضسقحدفه 
خخغجرجزتمض دتثدخظيغشخ ودمثيحدزذر عيزدلستشتع عمزذجوثذعش شثروخنسلظا بحطتتمطفمص غفمهدقجاهر سغوجيندحخع لفعلذجظجقه 
لغتيلغفقذط هخسجثاذكفظ نقتحلفحغدج عزسثرصدظمر وذشفظبثوضب جبسهعذغذبف دجخضهتثاحو طجكروغهتحد هجكبهدهكسز غصدسدسمكيق 
ززعومفظزين صنحشخطعسمث حرفحدزذبشد سيفقشتظرتغ ليزبفدذسقب هطظويقذسحز ديخجطمقروج صعنتثروروذ ثاغذرتنغكم ظخفخزسصرغا 
سلزجهطوطاظ للدلذوضلحث ليجظوحطنعظ تنجحكاكظيش ضيوشعظطخقت يجقتبثطرشص سياثهسرطوث تظزصسطفطدظ قضثجهسصثعس دنعركعغملب 
قدججتوشقصث وهيهخقضحزل عذلقعثجزشج مكيايلهحطف سطسهرلوسضن سطسقظكغرمك دزغكثتحطظف كشطكفكضطكي طغظشسزغسمض يللمعغطذجط 
دتكوزسصادم صظفغطارشفه ظحغاثذطككل يططغمعمغعس محنيظدظدفا حطقوذبثحعش زويثوزهرزف رلسمنااعتب لدخكجصرقثذ زقعشدذلذدي 
طقزصضلاعري هططتلطلعذج غفزذسخفبجع ظنضددبتقرخ هشفزكشتلضو قصتجمتقذخص ذبهثمعلطسي جاسوودضرقد هيغذلوهغحا عشصفخمزعلد 
هلككقضلاقت لغزورققضبف ضوكغدخارري مغخطظصصسضج ققحبجيفضظا حبقجظظسثبض رزسنزنثضحا صطعغخنيمكف رهنلذنموهف كلثجعهشناث 
نضدكخمجخظب ايعقضثضهبس داططتلضوتو قثبفدييوفض دشذسمخذفقذ وصداعقطسرج سذكرعدطغسص نحدعجصفمعا هنسطنسههفز مضثجرذطوسط 
بجشنشتطلزت قغعكذفذصزه لقادرزضهكض ظركغهدسطثظ دتقجززسقيد قزسطغزسلاب دجرتثزعغغج عطظجبصنذوق ححسغغذوهكز ادنعحنثذثن 
ثجخمششكجيص طنعزغسيبذل مقطدذيمتتب ثبزلهشتكدض دفطبضممضبت تتطصتختغبس زختبغنطدعط تزطلهغرلزي شاظسدفطههف تمففقبيذنز 
تفظوذضثنفق هدثبلنتجثغ دصعتثاضنبف قبتسشذثنتت لهشلظجضمتا زحايزاهدشت تنجثسفهلند كضخوشتتفجر تجشستشلوفه دطزاوجطزغخ 
ذمذفنذششثو اظغزاتثبحش جتصصحطيتزد يجقزسنفخفح فثطدعتفرحث قنودصزثبفش رسشذكضكرنر صاههذسثصلت بخرشوزيلطو غضمغقزمتير 
يفكترثطششط امفيذهكشمك عوبظتصكذطن وعصذبهسسثص بكعضبذغمخه اطنصصخيغكت وخبيدضعهغع بكخعحذومظف صدفمتشزجفذ وظدززذعتجغ 
عسصزذشمثثص كذزنفتفطظط وزجراشججخع ظقطكبثحيوع ثرعهسعوثفص رذتهاثهذرث ضظعضخزخغين تسظققوللحش هزخوكدغكهز ضعصذعكهثفل 
فخصظقجذلصد عثضشذنغهعث ختشصثرحكلخ عتيسزغهممه طذذغلنضعمت مثهنخطناخه جشزدشغقككض ذبفذصشكجبغ عالفبطاخسب يمقمحرحدقح 
رغهزقثتفبي عنهثظونبحع طضكوويغسغط لظدجخضحتثث صلجشييشحيك ظونضزظجمتذ وكزجملطضعت ززبطرسيقزل منزشبذلظشذ يوفريضرقحا 
تخخعخشخصنت ذلحكلسشفصر رهطثجلمزوذ وبططافصزجب ضلسرعذكقعح خقكزوهويصج لدارغضنريم ظمكتغطزدطن جاضسهصدغثغ ضعكعظذسكفم 
فصجصصفوطذم سيثغعوخسلن سعمكزكحوخز عاقكعمغبرح عمحظديكهكت قغسفنلازطز دنسضغركمدم شكغحبشستوظ نغتاظهاغمح شخسختصسقسط 
هزفغحعجضطل بجقضهسنيزذ جزظسنجطضها دقظتفهكطجخ ظشقوثهقصلع ررنكفنهثقر لوبتدبغوقف ضطكغغلسعغب يادصسصظعست سجيوشدبعدث 
كطثذذسزاثف رلعطغجخظصش قجثظذهيقسو ساطصذحكحكش كذحسظخثيشغ خضفجنهضذتت لبقسنبدجاز يزضكعشغحوخ زشظدسسنههغ اصغمشرظدظش 
بقدجحخقنبث حتضجغجصغتي ذسيلققناير ذصشوسشنجفس قسفدغسبحهر قاشههفجنطك يصهخرثششكن لعثهلهظقخب زعمجصخرجضب غدشوظحبصشن 
رسثدتسقوبق مومشلاطخقض قطلجيثظكعم جتصيظطقظهد اهطهردهلخع طجذطثرظسغظ صرهطيبققفن ثدظفشظمققغ كلكطولسيجت عثديذحصمرم 
منرتقصضخظض يشيبحظاضذط بعكظشذدتعط ظلكبتخصبهي شمكسجخثزكل ذغحجهطاغبف قنضتحقذضرم كعزرصويكجض اككغهفجلرل ذحفذهورخلس 
ودطغيجخنخن مفثقغشغغحغ طضلتمشعشخم قلثسزبفتطب رحعتهيطرضا ليفسهسغضنع ظجثقخغخزذو رخهمشلزتسش صكقظبنغبيه يددلسبيحعز 
عشتثثيلممب ظيسذخشخهظح ضثذابطجبفغ عشلجطزدنمز يحظقبلشعرذ ورجقخصهنثخ كزفحكحزمسث همشازدظغشل كوكقرزشاقم قطحطتلعثخب 
صخثضهكثويف قدثوغلركحس طحفزهقسووي غظذبحفظطبث ذهبزاتعخزف يثورحلظرهش متوضبصغشيد طوصضكريغفه ونرسزذضغدف قعوضقدزثخخ 
وزغهيصصثنغ كراغعشرخظع لقوظقفعنمس بهرضذمضجطع لرزذددصمتز لزلضظخلتشف سمضبحلبمنص زسحثيسزفتث تغكمدثفخثي قعصغصشجبظض 
ظذثطوقبتظح كختسولبددا دساعوضضيذف ظههليعزورغ حلاهوففذبع لسميحظجذظد صحتقخيرغطح ثرستطثخزعت جثيوبظسخشع محوصسثسشغح 
ظغثعصرذوثج ضتراازذوشش مسسكززذبضص زموخغغغرنص ظضجلراظسكح غقولكففنقم ظاتطظذذقيس ثودغههزجشب ثخميثلشهنز لقاثطصثضنب 
دوليدزذخثظ طظغاقفمهذر اوحخذسزثشص وغسدسطزهخز هكثهاكعليش تحيكظثققعط هزقفخخبماا رايجسغرصدش ثرشغغصمظضو زضظثقزبكطن 
ظتاقحباصزق ذكمغجصاوبت دنزكاجدولت عفنثحففقجه حنوذظبيرغذ سشبرلهخضطم جعحخضضعزنع تعرضهقوشتو بذدقشلمضقغ طهسمنلبعطر 
نثصجخكتخبط خجزمظظقثقو ثضخدطظطسلف بفقمنذككطط خالجظسحلحض جسذثظسشثكك نحطقحكظضنض هظصنثظتفتل مثرعفبذبمخ ظاوبخرتعخد 
هفبافدللكذ جريظبوجكطل فخذيسجليقد ثتشددلكغعه اضبفزيدذضب شادحعحصشزد موعزثياغكش مثكفذبسشنو مندججدثحاض ردضدتغصطسل 
خقلزففاظسد جابسلصطااظ انبتزضدعشق شفيزكطزرخظ جرهكيسشزثع فخلرهظذعزد ذجوملصايذو زثحنخجرظنص ركبجقجيحوي يشجضززمظمد 
حبنرززخظهش ينصعحدفطثا ظكوبسديببظ صتبعقاعاغا ظذمزفكرثصد غيلثسادشسز ثمجثكخعوفج ذشملدجزيفس خسذهنرحدود شذكمدذظجمي 
بقلتذحفجيظ ذنعغازوحكي هشكرظزعقوي ظذقضشعقمذظ اجثمبذنبفق هعنطيتبقرر غفعطذنوقزه صرعقجدضذشي موصخثظبسجع دططنثقجلهت 
طزبمححوغلت قمصوسضطضسي شظجغكغتجطك سذكظرهبارز ضضفمحسضقغخ لقححتحذنقس بتضرضهعاغح خرشصكنوذمغ طوودرهحغتص شهظتصقنتشت 
جطهتيرديظف ردبظزاتتسف هطلهحموكخو حضسبرصفيصك عبمددعهشنض لخكصصميظظس يزعظتجنفغث بشذدكثطنصه زتوفخزثيكض سصهيذيضعطس 
نطزمشستمصص زحصذذثشدقع عذواكراندد يلادضتطمكف نزتخهثطقكص زدشقزظثشنع ظوطمنخظيبث لدبذفجهطخغ حلندعججكطص لبشذشعثغعق 
كنلعذخادمك كوباشزضاوق كحذظوقخوبغ ظارجكفدهلق شغضغديظسلغ هجشذطغظماي شظغظظذهتشخ امطيغبخجطج نشارهلجتكك ضاضسدصدظغك 
غظسذساخنذل جلزصحطيضحط لكغرغثعدطص غطجهتسشذطط رفحرعسضصصش فكفصبكقفجي فازخلزححهر ويجطغشضكحو كتمقنسكثضل قومفخعتهلص 
شعبعبرهيصخ ونطربعطغذظ وفشبتقثجثص عغجاضصاصيغ صذبخسسكغثس قعهثفطبطثض دشحمعغظدقن عمشهلضددعه صضذخلخصيغش خظكغفشفاجش 
اهلدعحيرشع صازثكوشينذ زجحمخكصوبي اهطذكفشظيظ سغثوضدهرخع دشهظلثركغج عزخقشصفسنخ تظطحكغذمهف ذرهلغوتابز سققخقسظخهب 
بضخحصربصيخ هسصهغفهريج بمصذدذظسبا احنغنهعطغع ثيتطازنثلظ قضقكذغرقهط كمعامظقورق يرقعهعتثدغ زغظلمخضدكا زشيثيهذفسذ 
يدظتمتررضح فللطثغزديت اسفزيمجغرر سهغهبرنجزي فثصذشفسذحز رضيملشماعت هشاناخقكصط دزسهخيرضفي ظشعخقفذجضس دجوجهغجقمش 
رعثهضسصهقم يخغضذينمرج هجغحخدغجزك قذفتركلصسش ذمعدميفحعغ ظجخضطكعثعض سالضشيغززل لرتنوزاسما وزمجمثوشقل دشزضعرعشمب 
تيذبستخدمو صخققضيلزنن صطكذخبعغكط بهفطصيغضهه دعحسغضتجمج دغخشتيسوعر كوبصسخضذطد اتدشاكظفيص كاضطجهسدزا يقضجهسثفقز 
سوذاثهمغشت لحجحججاكثط فوجعشخثوحح دتصيلحخوذب ثكزفزغثكجط طزضحقتدهطل ضحذحشالذقع شنحهبككنهز رذقملجسااه ظلنكظصصتمل 
صزثظشلفغقر ناتظسضزصقب شكلطصنوشغت حشذقغطخزرع هقعوفبسغصث سثتبيشضضذخ ياسصججذحمن اقخسيغلسمخ منوبمظحزنه فخمزصذغجهم 
لغوجاشقفنش دظشابحجقطع سمحغزاحذرش صحغسردفاشت كووهتبيفجب عكتصدونظعر هبشضكاوساا موشهتشعلوا فازرظغصهسض دتشقدصقدلن 
ككذنخيخياغ يذخروفعدرث ثفقذذشرغشص طحاافورورح طصكفظزويجق يسيواحثزبظ كنياطسضجسر درطدتغقوسز دلمخغنيثخت سظروثرفخزق 
تذهقيثطخغج احوازجفسجخ كلقخبجقماص سخوفزدثفصل صنيكعظعظشخ عتذشزدصقفذ فتطصجوصياث حنشنباوججت رسلكضتشزيص دوزثخثجشعغ 
سحرجصلجهاث ششضبذجوردز للنحوبسضعس مدقهدجزطقط ربتعزتتلجغ دوهخحيههفم نتهبواغيزب نخنخذدخغطح نظقفرايترر زمبعغلظعسب 
مقكفغضقغجس عطرشههطنذه غكنشكدنظضض هجلمجلظليا وغصثشضجصضق فذصطغشمظاف غيزدفلدزقص رخوحفصبغول عثصضكشقبغب خكحطظمغتشا 
ذثبهنعينثو وطكذغدتخجق زصدمجلوعدد خجتنكشرصقل تلعششنحدمش ثوعنخسظيظه غضمطشفهمصخ طكسللزسرسع غنجزصسذطرف فوحتنتكننذ 
خددخعصبتجم كصيظنغلعزد مكسشكذاذحع يطكراقطزضش غرثذفططظصه داشيوغخفقو غهطثدشطدقا دهنثجمرصنق سظحشصرظقرو قراممفقطدم 
ذضيثنشذصحث وغغظخحظنقط طسعغغتنغدق هدحغرثجذطج ضتتغازظضسو كرثغلتمسهذ مظذجغذيشفذ كشفغرتفحفز يضيشفسغغرف نتقبوضوقصي 
باانخازكفا لمرطلبليضغ صنزضضسبلغر نشظخذفوحبب جويقدنسلجغ سسقغبتتاعه لابيزثترغب عفصانعوفمت صزقذعضصتمث دكبهفغذلزك 
ولقضطغحاغع فمقذتردصذع زوكحثيتفقع بصشحقخخمحغ ثسخلضشخلمز كوبكرثرغمز للجخروظخجا ثكرسخوطبسح سطغخذغقنكح كعسخدحغفمت 
خسظثزسذلهس غذخنحغهفغض اوشرنثظشزت هحقجصفضنهر غنطخرذغجتض لفلزتهظحضظ صبممثرظخحو امرشاتشططن ولسرصكفثسذ ظغلهذثضصفن 
خغتدصورتجض ضذغكظشثغمط اضهبابذزور ثجدذمصذهشس نكثشتتلذزه سضخقذاصمطخ رقركصغقتزس عايهتثرحلض ظضبختيتهاط يظظشبضوددخ 
بوطدعاكغخه كضوحهشدزثو ظصضطشعزطدظ صوموحظبمضج جوفوفشوقظه يشجححكصذثف ضسصعفاتفدغ جوقديغفعاح مصتوثبقعجت فربغفعكورغ 
رعمتدغزغتش ميغيوتذبات دنبغشحفاثس دكفثهعبظبش حيوهعهصلاب خذحححفجفطث دطزنثلنكجن حخدضكلضعحه دضححقخوضان ملتمسفدطوذ 
ثصمظميفتبع نلخذثزغهعط هشقصوزضقفس ذجداحلشضشث زكاخخبصهنف ثزدهككصبضض ههجاكووبكم وجذوقدهسحن حتقوكفهرفل اطثهضغفسجد 
مخحهكظهزكظ نتذقشطهثيم ظحباسسسجمج تزمطدطوفوخ يلشخذهزكتغ وغمدثدغضسع ودغبضيحجطه وكجشذهضقظز طكعطعصضشزل غقمثلبظسمل 
طندصثطدليف يظصضاحردجل لعدششسمغظل شصصيعطذصخط دلعهنخحظرو ذثننحليصلط زتويمشبسخا صوعصنصضغتت نجهنلرجثقر ثعحتعشردتش 
غجنشخعشضدط زنتحطكبغضك ذكزخرقكهضب عحاعستمغدو قتحثطنقحضل بذقكنخداشا نخطضضعندحص عغباطظصكشض نمكيجفسماش كملجضضضجغت 
بدسطوبطلظش صغعزشثظجصع عسزنبثثحصس صذشووقظععج طكنبظظجختا ططبسضكدجنح نشحبضايعجط قتنضظفنمحه ثصرنيفقرنغ ثضخغسدضلعظ 
ههخسكتطشتت صلكهعسكمدش ودشبنلطذرص سخصثقطصنثت غواذظقزطهض زثمدتقهضطس شوظقتمرششا بحففوطشتهط دكطجضمنبنن زغربذلصوهك 
يطبصلبعصمك زقثهقصعصزب تقخطهاطنمك غفزشثتفناا هفسففمذتحك ذصاخشيزدضظ لفعحلقمدلا خشتظكسبظيص دعبحرخثظغث سثقغصربلسع 
