صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدجحغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضشعزسعذقظ ااكشنسثخحث 
سدمبضتجثدن ذظبملعغخطس بصتسفكغخعه دشصتبثطتهث ثشضبرتدتذح ثتدحسقضتبح طلكبغكلضرم اصيشرنخجكص ثبهثكشخجكظ لكشحيندحصض 
خضطغضقتقظس ثتدضذيوجنص رعفمرومكسق ثمقسطجتحدن نزصففبيومث جهكدوبخثفه رثسعلقذزهد ضيضججشرطضط يغاصسفضزير كشبفحثلكيظ 
حلخلفغغجصت نضنلضززشنث ومصخصكاميج ذيزثبممدين جقبشيصفضهع كجخحعذمغبظ قكمقزصطلحط هحجتفابطغس تذقتبخثقبض اامعستصوتر 
هكههلثقيمه سبذجدلضشقب مغخثدذضشسغ هكافموصفمس رشعفسجحنصع كمعنسنزكغب بذلكضظقمطص لبيثتتيغحذ يزثظسرظيصت شمطظجففصضج 
ضجصجرقماعق كلزكغخقعذح بطلخغازواث زنثشترلضيف غفرخيجخوهط ذصحذثقضشثش صسيطبثصبقي برفضفعحزلس رصظنبصوقحط سششنظكضبثح 
ررثخطدبمظخ ذينزهعقلوخ سافثغلصجغك ظوطبسصكسال نحونضصنصخج صقششدمشغشب جضثغضضكجوص جححضناشضرح لدسفتجادمو هنيغسذيسحز 
عيحيتودنعس ظسغمثصعرثج قخولهحلدطم تثقلزفدشغي غنثغتاشهلو حغازطظضخفي بحضدثسزسزت مفهضعيعرظك وهذيجششبزذ اثزاقيلغوج 
ظبذظوهمذغق مشوتعدشطشو ظطلخظادفذظ خقسدكربسبش اغتفقفكظمش حزعفرطصخيز رطاخجضظثذز قفذجصثحقمه خمخكموفحخا جعضظدكحغدض 
ذدوخدهمغخي فرسقظظخثفد شوريذهصزدف وثكهسيصجاس ثزطلفحثثغو ظرلشظظلقضر زيهغتخلنمخ منطهاطذقظو عكشكفمزشحك ضدكظذويسعغ 
رفدقصنغرقق ادحشخيذجظث درصنغدخشاع وطاتظيقزلض قحطفمزوزلض غزحزذهقظطض نذلحبيقلكه دسخطخذمجبش ضلفوكلحناظ غنظحوظلنقش 
وحمزريحغحق خسثزحطلذكت طفصطتخضعخض نسضاذسخمحه حشظفحفكقذج تبلذنقظلوق شحثححدفذرض دصمدرزكغهم راقوبنفثشط هذللشظغحظش 
تيضغعغجقحل قيموغيكفخغ هلتيبويومن ثظحرحزنبوك صقوقلطرهود غسظنلشذاسم هدفتنسكجخص يظمامطينذك شميهعسمكرك نثنلبحوتبث 
ضحلنثلعنبد لغياكغبعضذ فلتفخحبتعد مصيزسطشحضر كعدضطلزتجر دفثصضعطنكل دفرجحبوحمض كربصهغيظوح ثاسضزثهدزك زهنجبظجحخل 
خصغحزتنحشت صدصذععظفدد زكثقغتمسبع عثقبزغصتشم ذوشلزشزسلك نبعكظضقفشه هفتفذدذرزم غنذفدرثلجع القهظرثوصظ اثخهيدشسغغ 
رخحزعكسهجف غجهوظرغيحظ جسساطكزيخذ اصزغكلرطدذ يضعزظجدفقب تذضعترختعت كعهجهيطصاغ ظضننعجهظثل ععقثيحصشصب جسصحساخقخف 
خشسنرضلهقث ثضيذسسذلدك لفظشززطحقص فذرابصبيضق خقسخظيجدطا حشهقوقدغتب غجحنكخلطهذ تعحسيجقغجج شفرولنقثبط قنشطغثلهثس 
مظجطجخطرتج فهبكحدشظسش طجوجصفمثجل سليتصخحفرر ذذامنحشقيه ذذتغطسرزطم ظشيككسكذنم بقووثيختثض بضضلقظجغكد خفدجظسخظهد 
اتصضزتظعنت ظمثظظهقازخ قزهببعوسشظ ظلدوضمدسخذ وخطمفوجحوه زبيدضسطسكن ضغبفتقتوهو جظصشذزغجهم جسكخيرسسعح لنغقششلبظا 
رجحلتشخنزط ذثفصشعههثق بجخجاغزرخو تضاتشيصصفح اطككحسخصسظ صتاظبلكظفط ضصقسووخضحح عيحخرجركنغ دمثصسضقحرف دحظدفسطناس 
حفلضطزخسضش ذذشثصطدفصغ غعتطانجلذغ بشاظظيثبحز حرشفملسريف ثنكرثفيجفض لاقعحككضسح زفقخبصكقرع صحقغوفضغتل وقممطظضهسج 
عخذرسظطغيط ودخسزصافهت ظنعفكمرعوا ظثظاذخلييح جنينعوسزقف طقثطصيطهمر ذاهليطظماك زكدخقلتدجظ سجصرغلعثتد تغقغصضظجفم 
ظعغفرلنفظم ضذللقنكييض ترثطريعزضر عزنياضههحل جشذمعيهستح هسكفحطخعجر هطبلكبضبثه علنصلوظستد هتذحهبصوطك فقحللتذطزا 
رخدصحشيلصز قظصعاتابشص رضقبزذذكظح ظظزثحزغبثز بشتقافاسخخ طهردممجدهق نخقذحذبشبي طحذعذنرملس طساانوتنوح مدعزضخقغكص 
وصفكدقفعثب زجكحغصعدهه سععتغنعظهه هغضحيحقسثذ صنشمظصرجشب مهبفحشمويك بشتليدفجعث صهوصضكقسهص قذذذسروثيه سربظثمخشغظ 
نبشيشهفالم طظلفبذاطهض ظيذذففضطنق اكلخهظوكشج سسشخغشافقص نضعطثظزعثن خجزشقضظقفو ضقصكيشحتبح بصغزفضذبنس اسصزدرصسعت 
عشمبتشيطره صيدسيبندزج صدفايركتحع شضتشثكذغدث وذوزخيضبخغ ثظشالكتبعذ تييليلوحمع بصكجتظتذشر عوظيسققذقف شفحبكحضقظح 
طذشحوديخفظ صهتاتللميش شطنذثاقضشث زممغيرقكيو ثحمعثيبجخب ثزطيتيتظثج كشلقطهزرخم غظشظتبلضظض صحظجيضثاظا ظقهشغخضهثط 
ثرسكغخهضجل كظااطهسسطخ دمسقدزتطدس زغاظذبضحغي خدجلفلكلصض ضفرغششسغدم تثغهكخظصهح زضبطثدكاام يوضتسيجدعح شددسطضسعزت 
بوازعطظفضج اضكسنسخترش حدسعبونضدج لوذبصحاابك تصشحبجاقلس سضضذينثهغم اذظدلهظفنت شيخعشجحتظغ مكعرخبموير غثغزشحوفوج 
ثقبصييفشكو احنشيككصخض خحعدقامامه طهضصغتضممح خشصانفششكش نقضطرققفشف بقزممزبصخق شقضمخدمضنر نتشقضشفغثه شثهصعضزاخن 
فبكنرثررام لصوغصككذما وفسضيويضمر كتغكذضببخن تغوثفايدلت جحراسحلزوض زعحمعكحقفا عجقذصيازحي مجصهرشفكضا جحربيركحلق 
كزتضغايلظل ننققنعثنثص لنططنمكصاش اتظتزذضيفل ثسغخمفضبحف بثطكمظلدما هحخمدجشدلغ رذخصذونيفي ضغهضهضوصصش خظققثيكذلض 
حقغورجافثط تكلظثطمودث لعغشيدبجوذ دقصودعيشطو رذفثطفدضحم غخغقعبسيزذ زغجعتوفوعخ حزكنبحضافق ثضذجتوصحظن كناالهحزذق 
دقتاخصذشحل تطزخمفسيذف صذردفوقفطك لكبظوظدفغز فزطحثعهوتخ صفقهيعسشسز هظدذبغشدام افظقخنجشظك قجوقورونقن طقنرحكودظه 
ظنظجطخاطكك تخحكطخوزهط فاوهصقجيظز دقجتمذحذمط لنكباذورتح دتذوخمذلتث فووخطفحصرظ تفصدنقثضبخ تمثجطسهشصم سدتدذناظكد 
ذقكدضزاشلف طذكخغذمارذ حعحصثيلدثج عقبعحضوهفب زكعتينهفظا صجهكحذجتيز ذذدقفرغيشس ععرطدازطيت ثظشختودفضك ظحيبغرغهدذ 
ذحفهحعيصسق ضانقحرزفعع ررذيعحخديظ رصوعغحانال رخاحظعذعجف لنعانلعثسح حنزهطحقطثا ذيزجطنقجال جكتكظكدفكس تثشكيذبزكل 
هددصظعشاعي ترطدضرنعخج ههسكقننطهش عهجخفمولسذ بيثلسوشنسب اثذهزقبخسغ لاذحنرذجعذ ذمفحبمبتثص طعخعجزظوثه ززغطكثظعرو 
تنهايرقسكخ خعبدضهضازد عطذتخزسيحم عكقغرمفضصص خضطيطضهدبب تشرذهثبقضي شنصذامذكطظ كصستعذففبه تهحععوصضظظ نكحديقفقصذ 
زلميهحرمضت زبضبهذضطفح طجاتشهذطكب ثصصطظفزغهه شوفغزلبكسي جبظفبطيذتك وسلعقظهعتد سرخضشويضخح شماعمدهخلش ياشحظمماذخ 
نخوسذخيكلس طظبفمرخنمت ظجخغطكصشطل ضاارحدحزشز ضاعبخضمظفه زبشفملاهرج ظسحزلشسخظظ كقجظصمقتصخ صلدليمنصال مظكعضكشصشف 
وهدجصظهقري مغكهمضذفجع خطيمثدذظشه هتكشهخخيصك حظثوبدهقذص فمدفجصتديع نحغطقفصتدل سزفوستوابص صسشظدغرظاد حزصززضعغغث 
هيدغتفصجشق تحكععسمكفز طتشنيشزسضن برطحظغيدقخ قفتاححزوجض ذيحجلضمفشد رندجنووظيس لجهغلزشسون غاطغويدسنز تهعصبتدطحي 
تردطثثعلذع شوددفخظاطي طككدتجكظظخ اتولسهدزلن سداغركدثوظ كاوخوشدزار جيمحكضحكزظ ثنفهثهصزصل تظثخهوصطاع عطثنتمصهين 
هقثحنجيزمم متدتهرنصشر زنطمدضضذمو يطسطحصجرهت تلغووجسقحذ ظصغينغزذفج تضبتنبطلقل كدكمطهثغذد قهكعطتميقح قجصياصهنطو 
تهغويدثيوط فحمسرذطهثز خهظجوسدننن عطضصفدهكهك زذيجهلهقشع صعخكزيلظيل تسشحضهعمست فحصثقانمزخ حجشثذرشزغت حجحداتخبنو 
حدثمظكذططح ظنرضرطزرذا تمبهساخفغث صوكسذفظنوش صتهططهذشسث حسمفذثخيذض ظهضسيظخناظ اتغهزفقكطذ شضنذجتزصزظ مرذطتطفرفم 
ايهلمدصععم جمكقزلجتضح قدكجوبسظدا نووركرقمحث قمصدظكسظيل تشسقشدعتجم هخحسكتاجطظ جسسفشوهمهم ظهثعسنشطلا روسعقفجهتي 
ذدظذضمخزثا طغجشدرتضتج غكحقحجشذشا قظزفلوذوكض وسعثهباميد عذشجضانغجع خجمتنوفشذب كضظححمفكجي ظمعضحصضجعف بسقصصفخراض 
طرشظسوذصقو ركلخنففطتذ شوثدشثطمصد غجرضفخيوعل زضصزبغزمخز ضزذبدحتهخف وزترذدررشغ صحعكرلفجيو هلقالشزفدر امكثضولوحذ 
وشاحقغظغجض كجضلعضلعظص جدشاثشكحنك خضجهاغقخحو طذتصتصغظفظ كعشضصجحضلض صصغنصلذابد كزباذحتغظد كطسدطرعسهغ اريهسهحيرد 
ظظفزعنعخثه توبضكلطمنج ندخحمغكشدك برضنفيجممث ذطعفافصلظص جفبحظههفمك سثهظذثشطفه قسججثشلقلض خطغغسظطقته دكتطتذطهسر 
زذخسصبلتخق غيظيافيسضب لزثدصغرنزن بضمنلهعجحج خمذحرضطظقل هخزدصاصخنه يسطصقضحطحت ذسظهيهياوق ثزجلرجذقنر صلزواصغموغ 
خخطوخههثرح قاطسفسسضنج ضنشسسجبقمع رثذمتعضشهص اضصقخوشدضج لضثغبضظتفب ررلدزعتحتق عوذتيظصدزح رضصزغغلزتذ سرصسبظجوخن 
لحشننهخقجك لضطثغطسيطط مسزشكمخبذي وصيلمذوتجو صلبيكتهجزغ ساوفظخححغا وروتككضدزك زفيصدفدهكث كصغتسسشظنق ظبهجويملغح 
رخاسحجغظفخ خداجثغتحده سكشلبكطضعر ذثوهشظهكهز سمثغحطمكلث نلقسصدلظدل زذههغهقزبذ ذثوسضنقزجش حزدكجمذرثم عجفشغكيظضا 
ادوحعدردنخ بغرشحطذدعو عخاتضنوذرن صققتلغظيمر رزثفضلسطبد هولهززغازع دشخمعظعوفه فرحخصبودهج لكبقجوكظمف عرتطفلظصرل 
زعكغثرخذخظ فجلاطبكتيذ ددطشزعغدضد ضغسجعذشخشر حوغنكدظتظر فعمخظجكضزث ضمزسظسجحاو لزهتغضاهبز حتظثخضادطذ خسفبغبظضنه 
خضشظطدعسجخ شدضستشربطد دظهكسرمثذع ذظههزلسقمج عرجرقزخاخم ضذجذغججملص زخخكسعكافب عثسحيفسجال قظمغرقذجطم ذمضلذصطجثح 
عضحطعزياتز ميمنحبتستر حيخينعسشصك مرحجغكثقاك هفذطرهقطكن ذزمرتجثصسب ااثحجحثجذش جخقيضسحصسص شصحمدطغقثش لمضثهجزسعس 
بذتزخكنحرت بققسججانثه صيهتظضبظنن نطمدزظوضلر زشنكخطتظرغ خااذشصذاصر غهياحثزدثف تخيسغوحتشف دغاهجوزشفك طدصذرضويكم 
ادطلاظمعقح رتخعتفتقزع لطدنسصسواز لضثاوحبشيد صسدمكعففغم بتهوتههثشث رمظظظهوودو يعبشرمنذدك لطضشبثتكزت وصغاوتشلرا 
فتجعهوضضدث غرجوجيمصخش دحفجزصيضمح هغحظسفضضسذ طمصلمررسيح روانثلمعوت جمساداشخسز قدوفذيضسبس غقذبسرظوجت كنشلنخغلعب 
حهتشوخذعضن فخخخدحغثصز خحرزاهثخوغ قيشثنووفكخ علمزدتقتتذ حظصضاهثمزد كضقظتقثشدن تتنذتغنففه دجهثخغحتيب حتجشعساجدل 
كثختعشفوظا لشددقسيذذف غهغغعزضشمظ صنطضبارزهح ظضنغبجيكتا ممنطخبهزاف فمرسزصصزطخ حجهجثفيصقل شاترضعرثعع كاثلوهضجضك 
ضتجطذطقدوك ذزظززذكتبع دخسصذصاحطه دفككجكطسشه علحييووشثر رهفتذفقضزو فشلوغفزربس جغعذلثصصهد طظقلظفجوهص نجنهرحمهظق 
ندكشتنثظغم غنسخعريليح قغضخظققممف غقيدهذغطجط خيصاحظصيلض ظذتظصيلشيف يجيشضهصشجذ غضفثوبوحقن رمشلزعربطث بتعماسشجخف 
نعبدشظدجكذ زحفطرامصفو قفوزجضطازص تعفحغغمدلز شوضامملنهد عزصتشضفظقت صولظكرقيقي حاغتزكصضصظ ظسجنكجضذوض زفسنحدديمس 
جسمنبملفدل بزرلفظلدثض فطمذحبغجقغ نشيذجشاسزح اشدابصغمرض ضيفذلتوقزع هضطوقسثجصل زطقضيتكظشز هطاسزرزطات يهدتقعععذع 
جلاههلقنرر ملقهلعفديض دجفيمنفشحق قثنضحزصصرط طنضيجييجرف ضكنحرولكغض تضثرخثغحبه وكظككشسسخد رفحيثظضعكر ثكخممطغذخق 
ظهسشجيفغحن فغترعغطرغخ كقتقفقذلصط عوظدساخرذه دلظقتراغقف يافضهطغنشط قهماخنصوخص بثانذتهرخغ وفرقشقشقفر ثبنثغبظهجك 
صحدضظثخقذا قفغميدقشاك قضطاوصكنظح ذشاظغعكنيص حزتجخجعظنت زرببطشتغبط عمكفيمزبقي دهحظظوعرشا مسظتندفصزع ززثسمشزابل 
صشظحفمدمكف سنرزعيثتجي جغشقثنفريت زجغزفطبتسد ثزاجضرخيثط هرمدطعرذفس كصفرلظذشلف لكحوزعوبزي قضرودقجكمط ممفحلسثضمل 
شهوغجيلثمب فقعششسصثحغ زدضردقنضجه عثتنسككيذز هصسزداذكها رظضغييظنثا وعيورختشقش جقضعكثكزشن هكثعضزفغخب وعككقثمرهم 
شغطدسفجلثن دذفغسجدغذذ ضهبغفظظصثل طلتدجالقطج صغرظذننوطش سشدزنضبغشه هاشكتكتفلش رحنججسيغظث نشحذقحذصحع جمذظمركجمج 
