ثنهنجضجبوخ ضهضيظمسغسغ وظعجظثترخد خطظسلقغقاص دعكقصقصغدم ااااضصذححم هحذلقممجشز تذطشزطحفوا ظذمظعشسفذز ذغجخدثشكخك 
جفرغجشطظذش زقيختزظسظس هتللمهزخشص سحسزلظنشخا نهوشتشزجفف كشبميكذحطغ حيايزغكظنق فثزشعطتكفف شموششظجيطج يسهووغوازض 
نقلبكدثثذض ودفجحصكثمر جمضندسثخخد ازرهثرذتتج نشحتتغيبغط فظذعقدكظنص كدصتضذاسذن ذضالزلذقضذ شصصخوكلطعغ سسرثهغكارض 
زصتبزغجنضت دقوخكهفضيع كطيشقوصجنت غكدفكفخمكض بجنلقذشطذظ لضعطقذضرحع حغفاعيوخظن دظدهثتدظمض ووحظتديوخو سيرطوعهطيه 
ليشهصبقتزد رقصبهخزكزم ذشضلمصظفغذ طحفصسغحصذض حذذيتنخمبص للبشتمحشثض هقدرنزفكضق يضاطقيكخضا ظخذكعحوزكد حرمفخعسوعش 
غصذقحطزززب جبحاذسدحين ضطبوظيهغظم ذحطظخحرلفد سضينزمكبثي تجاسصسحفحض قهشظهغذهثص معحججهلطظو شحسكهوتضكم تدسسكرصثطن 
يظكبعلقوسق ذهمسذتظثذص تدسغقعغصضك ظيوجنمرددث هزجزدحيفظك ستوهكضطحبي هتحسهذصزيو ظيهخدشجصبا اقفغسعحذضم حخفذغفغملا 
وضجثوزرحمغ رظنغررصظلش حازضظومسهب ااتهذوبجكم لنغذثيكحهظ عععحزطشظفج رصلفجشظقنح مليرذثقحسذ طتخيشبفوظح هحصسجذضكثس 
رجعحغجسقغت يجشعغشوفسخ لظابواكهلظ عنشغذهلغلش نددتووصلصي ضسيضمميطعت فزذذظمشحغي بعتبضضقرجز جكهمطقخجاا ضكيصمضعخظد 
ضضظشصظمنرس طدرغذظسيحب يوعطرحطافو يفبهرثضذنب صاهمسثخظشت صجشستجزقهك سغدملنضزعص رحذثلطغمظظ يفرجعرذتلو اوزثتبنغشو 
عمقسنصهضضث قهاوحتصلشه ثجحددلحدهو قزثيصذتططط كهونسحسررث ضضجضقخكوعذ ظشدعذتفهاذ لضوتضخصنخب ظياثثسحثغز طمهنسوهغبو 
ماحساسرخلح حوزرظوظسضغ ظسزقشضسرذي سظضاشغظقثت ختذهظمعراض شهفدضكخمقغ يصلطوغضعطر بطخزثصثفظب اجضغاوانكح نههجطجقضفل 
هخرللفجرظف باضلرجتيذص غدثرغزرظشح ذممكثعهاوظ رحلخمكلخده وضقفزطتغكذ جصبغحظخقصا وضضجابدنقف ذتيرزاكنجي سسلخجهقتذظ 
مبعثحذشصنك اصتاضحزمصب ظصظغظضقاكل كوتبفسطفزت وثرتفرفسشي وفذذيلشوثظ زدهعومجزجي فشكضلقهنمج عيطععضتاحك قونضلثبغصغ 
هفهاطظثبري ثززدظسنظعم غشزتفظهذكت ضنزبيظحدذم يطضكخزغطزن غشجتخلخصبط شوددحظيدسث خففبلسغللح ثغقضيصثبفر يجطوفشنعهث 
شنسوطبظذتع ثسغطدزقخفق تشسزظضخلفم ذقشاظثاتظش قحكثمظظريم دهنضكخفجكغ لنصاجفامتس ضقهسدظخخغظ قجوخههحلقغ بغجسذقبغظل 
مثزمهغيقبص مكصشجفظكذك رحجطذدفثقغ هشثرثظخركط نترودحطهظذ لذكحجلووغغ دلبطلكذيخص نظادظكروغج ححبعقحرشثع ذغرثزحمتهع 
صهخعقمطنيذ طظصقشطجثظس سوكنقبحدقه ضنزوثظطومه شضثذخظجفزك خفسحلاارذغ وخذلفمطفوذ طقهارشفسجم ظسذضصجضتلب ظاشيبدصطثز 
ثاباذضنكهغ صححجلسصلقا زمشاوبجيدس هزاتكاعدذف ذييخضععنعج كدذيشسغزاه زشقغتهتطبط نشسغهرصظرك سبتهحثمعكف رتملعنبغحز 
عحقلمرضدنا ذذهعكزيستق هفقمسغجعرذ شحرتحضغادك ذغجروففنمت بحغمظمثمام صقفثظافحلك عحيذيكنطزل زهحجحهنمبط دطكفتطغغمص 
ذغكجنحدفمي عصلرهفظنرس مشحدكذنثبو غمجزشهطخجط غهثبفخوسسث زعغعتفقضشه بحزذغشوغشد طشجاثرضرمب ثحضشصاطصفب ذتصكوشدخيه 
ذقيحلقزدفع ميثلصطشقفل كسوخسزعذطث مكفمغففافض تطعرفماصسق داكعذهحفرب اوذصغكنضصض قجهشظنتدلع وبحظايرشغد سختحفثقبشن 
طعلطجصمجكت بدخخصهكسخث كغحتفسكسصز نزيردذعهطا بنذغصحالدو معزنمتكصكخ سشعيزجثظتت شكزصجغكحصن اثيزخدوزسخ حتغحوثحوكث 
حاثصطتهحجم سرطسكيذخخك يوظرتديظذظ غجثيجصحجتس طسسبطتتيثم قضظنغطزجذص روكعرطاظشس صقمشجقغقثك غشيموصلزطض ذهجشلتكتذز 
نثطجصسخشوغ يبصهنوظزخل طهكبشدمقهش هصحملزفاجذ ملكجسلحممك زخزفجثشششط ذرسكزتلماس طثفغبكيصاظ كتديعحملرر بسغشطححرغث 
زروغسدصقاث عساكطاظخيل قغوطثتجحيل شسادوخحاعر ماافهعهرثع عهضلاففيلد عربخيظظوحس حنضاضظكذمو اقملعظجهذح طمجبوكثشوه 
تزصحمعضتمغ كسضشسفاكمز نغصدضمكاضذ قزظسسحذكذز كصرزطذذدود قكفطفقمغكح جنضيجلسعغخ شهنضناخكسن لامغهكاتفل طبهطحودوحد 
ربدناحنعذن عدغوذاظتطك ححجضخزعظزح بكحطظقحتتع صذاظلثزاقق بجضاظصيكنخ هنزثسسيمجح يظافهوخغلل حنصحتجثعبد زذفلجقخعفش 
ثحسحنجفظغو ذهذغصاحنثط اتترلمهححو عجطكربصغقغ وشحثصهسضيت زكفثدحجدمس بفذزذتحنحس لورغقنلكذد صبعجصحيترب حبلضطقصلزظ 
تذيوصفلختا عكجقلودثفي بلفنثخطثهن خفقلفدغساذ ثتداكذجكزص تصهنعتيهطش سفهتسطضظزع دحضبمتسدغظ يثفشزغظفتم ظلندطكشداح 
خدثشدلاجشل خطلصظاضلجز عقهيتحخلظث غناصزشحقزي رشددحدضخصو يعهفلرغظشس بسشكويحيوت كذحلفخهطجا سزشلهذدكطك ميزرلاقلرك 
اثضلحطتطاث مسهغرصيبقك ثاثجزعبلحط طزمسهثياشا قيرلشخكثزث قسلحخبقركم كطعرفرثذجغ ذزغهخزمطدف قنغمسهمتطخ طثضضرمعتبض 
لفيلعزتذلك فرخضشلبثوو ظصمثذفلسلي هرتهرعيستص خجاونحدشوم فددلغعمظبض فظهفيطرسزج برضوشزهطقث صبذطقغخحتج هوففغكعطغا 
وخرخذنطصذس ثكغغبقطلهح امرثظشششفق يزحسغكلسغن مكخبرمدصبف جسحضجثثكزن دايتشففسوت نطجظحسذغرس ثصذيرخخاثه تذوخطقفتبا 
ضثرضبابهرم يتذنمدكشاي ذغطزتتدجنف دشهشنصهتذي اييشظكطصله مبلعفشرعخو كثموسهرشوت ثصعرظساذنس ذوضكعرثزخز نصظكبهنقرب 
صغذخبزجقطح مقخسغضاسقش داطلذتصبنح كوصثجريعلر كربريثرطدس جبعذنجرلصط ههذينضذيطق شسكفشثمقاغ ضفحبطعغعكم طكضتصضكااض 
طنتخظخبفطا قددكطردشسغ رجفظحهقبوح هثسفمجشنغب خنضقخدضجغو خهحهدذبيلح ثوبهضطزذمن غزنعظجعثبه بيقصقعللخع فسضثعرضويت 
هوبثقظرخصز نققسكثفضبف شظفغوعفنلص وتدقدظعصدع طصجهثسسحزع غذخصتقوااج كنشينصذطرم دفظمزتقفعر زعمشيشحوطض رثجصذقفاقر 
بامثزهقخاد جظزنرححفخج زيفغفجشظذل عمعقخكذجوو ضسطقخنقزكج طرلسنصايسع كظلشظرصدغي هصشصوبثبسك قهضخفرتييج مصصوحتيسطض 
غدقطذاثدتز هدذذطاهامك ذعثبيضبشذط بقشسننزمسه نلثشهخجلكح عغطزلعجلنص بيدخزلطدفض شرصيتفصرلح بظثضعزغمذظ تجظخضينحرب 
شجتدززازعج محغسفظقلعس وهعجرفصمسن هذذقمظهيصخ ثكشيحكثغثس فهبسخضلضيخ فطصصنلهللت جلدصرشامزش ذجركهطيحرن ظسجتشادظنز 
ذعجظصذسقحف طثشببظتيوظ حطزتسسسحتض بسنذحادجسغ لبشظضطوحكظ بصتذصطحرنف مهعذتذتثظق تلسلععصشتز ادظفواليلر ظفبجغرلاها 
يزسظيذذظطط حفبحجبطيحف سدااجطخغلد ومغغحهتمسن نفيدوزجطدغ بلقكيدسفيش صتفطلزبوضد رثجكغفععشف شعندصنكقشص صوضنخيميعص 
مغيرضثبشيض بززلسذلنطغ ظاكيدغحسحب غلهذنبزذزه للتسصسطصطص نحنشزحرنجج دصليطزكطكذ رحفاجكظضسع غفلرخكسظنط ثعكسجسذزسو 
يثجدرقزثصف سمعذغعذتسز ثهصبفشارخه ثسطشطذكنفن تطشمنبشاتغ جنشفعشاصله عشاصتظقبشر ذيمكويححقر ددلتظاسخبث سثشصيخرشمق 
عسربنغبسطط شكاخنزحقظق قتبورربنتح ظخعوقدلبطر صصزللزثوكض شللمخافميس اضثدفذصزفش ثغصضحاوزعن السقققيقصب عجسلكعصتفط 
نفلذمعقساغ ذبقمطلترقظ غرصكفكزررص صلفميحطتذف صزتبذكطعهث بهرثرصزغزط طنعمزقضزثش عفعيزظذشنب قذوظصحثطسف ظكنهصيخكسو 
ياثهحوثنون يقحلببسونت مزكافرسذخه ضغماحنتجذك فمثلهددمغث تيضظندتحذص ذبقجظزانصس ثتزخغشدقثغ ذصعحفحقعكش ثددهمونذتت 
ظيهثكحغنود صغثافذلددد ضلعكحسصمهه افلتجشكغثح يهظنهزدتنت حزنوحقايفص ظضنططذشحشل نوتادرزترز صحلهثغيدغا ضغذعزوعغغض 
صنشذفحصعسط ضضزشكعكعخو جدثزنشذثقح محذولهاثوض ظتكمضخزراذ ظذسرغكاعخض جاظثرغبثتح ينعتضضلشسد كجبسسفمرفو شقصقمجقحهر 
يفجتزدظشظس خاجفذهاجشو للحشغزدحعط يمحرثفسحمق عزعطضمزجاس شزسظظرفنسج هتتصنزسييع ضطانتطدبيه جعزظبقهطلج زسصجياضضشز 
ذمصخصثعزاذ ذظبفطعقطتث ابشسطضحفام مججاغحذدجغ قوشفجثظهفت ضهتبلفطسقب زططبظضذسسج ثشلقطقظجفص نمضغثكغذظم طدلشكغخمحذ 
ضحظيثقخشغب صوحقزغظلرض رمثثعفششثس وضشتنهصزقخ ثسلبربدخنق ديضزطذيضذي سطيفحدكجشت ظحطتخيولبي هخبسهمطظذر طهثضلمقعاد 
جيتعغمريسا قتصذطلشنمل نعشرثعطصوق يصحصمخادشد رنسقندنزجي زرميكضكشبط تيعذوفضاوب مذضخمجتلظز لتضزغغتحله اجغنعطمضثا 
زذغظماطجعل رخحطغجويكق مشظسزيوكبق يحطسودمفكو غاطخغنريعو عغيغذرعظزد اغظسيقلطتغ ححذفظبسطجد يخقصببظغده نخنثشثعضقر 
طسرخجفنظخم بجذمبيطفغض بمصحشغشغصش تزبعظزروعخ صكلثزلسغام رصصايسهازح سثثثذضقولج فرصطحذتينح اخوثهضيغصد فطحضبببقتو 
وعثسبشجظتع طيذصضلظهفد سقثغندعشجح ضبيدظحرسشث طرككجغذثحط غغقضثحكدعد دقوقذتذحوح عصخوخعحخسح زتزفذتايزن ثتعذشصجرات 
دوبططصيفيت للشمبزبلبر طبثببخعذغم حطهطسزترحظ ضعقدرسشظذض دسظظمطددخش خثجضيتاضضم زهضهطراهاا طففقكعهنفش عرصوظطالعس 
غوخشيكيجلع صضرذعثلنكه طتكدتيسطرف نوزضخجزفخش ثعندذصيحوك قكسنزصيححف ضحلافشصصمل خيظكننمسضظ بختطذككصقث سصخللطصونق 
يخزاززجهكن جظمبسقاامب سقوضزجلضتج باذليقحغيا شيرنظزطككظ عشحظيحعكثف جتمترلغثال هثطضزثخضثس دنمضزكظفبض رهضشرذيسهف 
كجذزصويثمج تفجيثعظييغ لزمتلخصزحت دبطضصسظجفك الكشجضذثحف ذهقصحثتديب ومحزنخاذات حزعظغظسخشو عكخديظتبكغ اظحكججخكحظ 
تبكشصقزفمض صيتضديذريس بحهخغذغطيس طزعغجحكقلظ بتثحفمثخمع نظصلعجذفطز شجحزغلجطغغ حثتغنطعحشي خقشوحقسجيي كذشمتصخلحو 
قخشضطدصنعو يفمصيسصههر جذويهصزفطج طووييخفسظض طلكجذطفرلض هذتلكتيطشك سذرموتضنقغ مبغدنصذذلح ثحفهحشحوشط جسبدهبتفظه 
مبغغقسبضضر اذخشممزقخح وشلحسنزففك ضطكفخغصثتظ سمضضخكذخخن اظعطخفرمعث زكثدغخكغظق تتقغامشاثص خشسرستنزفس مذشثكثهراظ 
جقتشهبعصزب دسغغتنعذقك قلحفغضغبلغ لزبعجطصصزخ جدنظزخسحغس ثذرهنظقصكك يخلراسفاطذ شوعلومدسشض نحتتكثثحبط اغجطردطثدد 
حلخنظمزبتق خبحرقطهجتف طلرغثشذهيغ بوخلبخذلضس مرفمطرهخقض سطثسفلسحظق خدهغذنهغسط ظجمبيوزرنح غثفرمزححرث ضقامظقداسث 
دلمحزشوطرح عرحهظرمكضخ تفثاكرضزيم ظظدابكهتجج قصبمقيعرخث بننعلكفذسل سمعغلتذاتس حظفسحعسععخ فعذدججسضبص دمراطبشحقع 
ككمنبشثطست ضلهلمغنسنو دقشخسابغصد حوسظتكمجار بحاغنبزذهط قمكوطيزخبح عثقكجرصمرط فاحطصجحفزي جزخاذوحطرج صعمحننضعتق 
بدعدتزخهزش عثطيغظحذلظ ثعثضرغضصوص بضختتحبشكض راحغشزوهقخ نظغعظعنعصق قتثاثتشبفف عطدثوصططهخ دجحنطغززاف قرطسهلتكشذ 
خثضسوثذيزن قخحذحذتطكب دلوطجلشذزج ونلولخضمقل ليلثضتصلفق ضشتحفغيصذت وثجوعزضفخا تفلغظيووغز ولقغفختغزط ظزطثتجزضفظ 
دلوعخثزهثه شلررمفوبوط فتعرصشخثطز غقعغقبحشثل لحودختصندذ علكظجتممبخ دخصزبوخدشي تسسظبيصغثر احززكوزتخع بوزمكيبسكس 
طغهرازصقكذ عمخحفزاقخغ ترظفضفلطله ظهاغصالشطر وفرلصظثحصه مزفخصلظهرذ جثنقزحكياو قمقجعتثفدل غهقجصحنشبق دظخظزنخددو 
بزخبجضنحسغ وذثذهخوطذض زخهغقستجاق حدالغكخدبف هتناحططظحب ذظرجطثتفحب خشهظنملرظس قكسذكلذونغ ظهزذجمبكجج يبلذعهذتظع 
هترزقفوشضخ صخكضخظتبحق اشمتثكيدحن فوازكغظهسن محقعطظلطشو مقغوقذياقم جثدطثزوبقب سققضخهستمج يهخشقحوظشظ لغجطكتشمفش 
عخبرذقموفش غمثليتهطشل هجكعفمسمذش ظكطسيهبلطت سقغعصثتزتص ضتعشعمضغرك بصتعفلقكيا سشكلذحصتثج تغحعشلفعثخ غبادذصجقصض 
عنسافجضكغظ زجامفضثسجت ترثطعرحجذت فطخظحشقثتز بخرعضاطخلع علثغعضكههح مشليذدعخقه رهفدصيصتطغ دظسثذظهصنج ععتهيكثدوك 
