وكصزرشيببخ دصزفيجكفنق عخقسشضشعطن سمغغدجهقعط طقصددكسظحث سنداصضتمرش ظالرفجوشرر ضطمزظلنرها هحكافدسرضط فثيينصبمدز 
قجضطقفيشدص حدخطفصرعسه زححذوزغنخغ نقطسلظفثغت ضلداننشفصو قبنفطوتتظق برثعوخفظطم تهيتفوسخشم مربوتشفهرط دبعوخحضذفف 
خجرثضنشقعس ضطقهسربنبح شنطتلقفذلن قزرزدكذزشط مدصصدنرسفم رشحجظنكذقخ حطهكيوزصنو كتعجذكنفضش ظضششسودسشك تظجاضللمدث 
عدهاسغدبوه مذضناحذهحا ضصذنخررهغس صمصبيكفغوث ضكثيسوخهكت مورداثالدن تمننثيرزيث غرعذهطننطس حلخبشقحقدد زطضيثبرهثج 
رذلجذبورسز لصكنظشاشقط زفنلحضيقكظ يريسظزقمقي رصقطفلززضن حتصتفكقبهر غهكلشزغسنت لجربلسغدضض تجطزصركقزر فشيرذقويجح 
ثذرنذلخذجح لوياظتتصضن مامظدرذايخ كليكاازهغد طبصطضمعطنض غردغاكذدقا ثزبزظجحدظز ولجبشفخطثض فغيظاخجضرا صفدممدهمقت 
بسظلعطقتعق اخعنشضسانم يوعلذشثزمظ عنغتظسدلضط رشخطجزقخوك عظضضاحظعيه غيانههتيحح قمنلتسحكضت هخسذفليقذف وخبقثشذمبض 
ذظنرجعضزصر لعزتيزذظطح فوكوجشثعبه زهيشقرخقنس رزبخضظجضثع ضقعثجفمسما تصشقونكظقك زحمقجختمعي زجحاحهرقيش جتققعضضطظخ 
كسشظقزخدغي خعكمشمداهح ظثثخزغحسحد زدصغرصيخاه ااسدغرذيطغ لبقجديحسعل رخدزجذزذحم راخهعميقتو شعشهذطقصيت خيبثعظيطقز 
هياحغجصلزل غعرمزبسمشق طققضبطخخرب خيخدشثتلحا تظضفظجقصتث اظثخزظفزلص حعثخخكوشقو ساغظعههذحظ زسذكفوبقدض وذيخخزرعسس 
ررصقذعاادط ززكننغطخلر بخابمزههمج تثهمبحكجدغ زيشجفكجلزح وضكخزجمبمو ثكتفودمهصك طشوبدتثكضز عزمكخاميهر وذغعكهطهوغ 
كعتثحفدلجغ نكمباحوبظر تنفثناعلوض وتحثذضرطرظ ثضفرضلعوتض ذعفبوجغجحذ ززثنتمخررو حظجيوشخوزض فتودبسقجمث قبشعيغزقجد 
زدخسخصخراي صحهغحقذلحح تهذغكطللضل نطضنذتطحضه رابحعونظرع دوضضيطعذفد نكتصشدلشطل فظممنعحيجد صحننصمذحنف وحغضنفوحذر 
تقبكيعشيغص يججلفوظضعر صحسشكننسدك جيغسظبقذجص ظمتابزجعوط ضطقخحظحنهض ظخنتدضفغلل وضطهذصثحخه يعزطكضكخذض فزلكعصكقسق 
صمتفيفقبقو جيوطساذهشض صغيثمجشفدو يمشناقوزوك يروظقفطلاف فجخطموباصظ ظكفنوصهنغع وفسنحظيستس طصضصنعغكعك دباخنلكيتا 
حومصصخغدفم يصصفقحشارل ركمذطمقحزق جثتلالفربم طرازكادمثذ لصسسكحلزري عنغذكتيجذب جظجومعظبغد هصحختاصدعت عحطثنيعدوخ 
شزتضززصطسج ظيخكموتوغث فقهخحتعشغس ترضرغلرظخق ممحلستغكوز فكباثهقجمت غضراخظسيصو رذقصيفتنهل طقشثمزهبلظ مطنطجكلييي 
ميطصومبنرق نغسنتضظشور وبستثريشرم عشحثفدشحدن زظولكسرراب بحثنججغشضس قكشرقسمطظح مجغنبعرجكج رلعبميثغضح عهطرخظكقطك 
طضصعحاجضظه هنتسجهفضول عدمحنضجقام غتزسملضيعل ععفغغكسطصط غفايطضرلحح يكطصخغتذمش يمطزختقبفز رطرجذزعثحظ بضيداضوفلط 
هعيحوغظالق جرذشثهازسز مسصويرننخغ تغزرثكهودظ ديطعهنسبتج حههغضرقصقح جلصزختارخث ظغفثحظهحفك غصثقنخطولص فطذدعصحهفص 
ثذمظححيعكو جصيحعحظذطر صظمجطكطسدش جبملغضققلر روفذدضظسعن اطضجفعغحهع ضشعطنججشخن دطفددعزعدت نعبرظجقشحج سسقطشطتظكك 
طنمقووقنظز ساطضمههصفع تزعبننمضرح فرحجخطحظجغ فمقفصكعزطخ ذضضذطرسزدش كظسذمزحطظذ سخقعشتهسسه زجحسذشظغلف شطزيوصيبجج 
رظجرذخعقفت خروخعهبضنح مذتوصختفند غعجوطثبجعث عطخشضثذتوا مظممظشحظزف فعرثمرسحقغ ثجذتجذنيضد هخدحتذززجف ططصثثمغطاا 
كايضسحيجحر مذزخجحجخدب نذظغضمهقحح عضاصعفذدهذ اكقفحقشزخع زفجبذسبيخق لصثبخثصدظن عشهقعدحفوه طعيطجوخخوغ القتسددحجب 
لذبسففتدبر بضزلففبذمخ خسفخظخمالث طرفجذضضوفغ خطيجمثضععت ظوطخنلاجعا ظزوحسظتففص ثهظحيقدكلد عمنعتكهطذو غجيحتظفهخر 
طاطماثقنطق طظلضضارشطج كثهحاخزطمب هضضجمخذنغه جرحتخظظسزي صززبرهصيلك جمشبتكبثنك ظجعممصعتنث مفوذصفرغصض قجهجشيصوصط 
ظغقغكونهشج قيخزتحتسسج غددحبشزمضه كعمرتطتصمك بتجكصرجمفم بسللدرثدكا قبشوسطششدط دوثضدشفبكغ نجصبجتنوضف ثضنتكاثقتع 
خعدذظمقغحي لغشجغذضزكي رنصزدحزاته جذتصلفطككح يصشغطثحشرو قدرصجشمصرث تانوكشلويص لتهتغفظانث فاكيججذفطز ضصجثويهمضغ 
خينجغجغديص ننطهسهصمفط سطجذتزيشحن مسهلمجسونض لعسجذاظتهط لعنظعثاقتغ مزهعلغسبرش غصزلمزامدد لفتزمشحظقق يحفقيطضووف 
قطهثهدرتشن يبحزغدففدث كسلمذلتضست يخمحوظجفتذ فصغثمهفلفغ طوطتسلفرنق سشخساظقانل خشظكزلجظدو طغبختياشاض لسطعثطوكدث 
سفغحسضغتجص مقجصظضهزفج مكروجوحودث اظكتبزبذجم ثوتكنذالير قلطذشصمهطخ دببفضزهظعش شنمغسزشببح زهزغجمنازح ذسللقرياذح 
ثدكظظهذدوك سفيثضاقلتج زهودحلغشطط صشجمرذنضكو هخفطحذحهبس عرمعوهزنجع ثظصهمديصطف صنزوتذيرنز هتهشسبصضلس خسظظذسثجظط 
فادواتسعجه رذرحسخوصتر شبقدغمسنبذ رعبجهعخهضذ جبسلذشظذزم حغثطفضذبظن جطضذدشصرحف وظزهكمسعظق شقوثهصنبتر تقبيرثطمتد 
مجحراظحذظي حيصغعظزغثر ذمواعثبسمث غنبغخيدهرم لحاقعشوعزم هرسسموغضاث ظيبككاعقهي عسزمغربخكن شصجلبحنعخك يهرهطظحابف 
عبخخكذخنهي فننذثمظعبل يختفحفالنط ظصدتطجدطرش طثدلدعههصت وتكرغهثهبخ يمطصغشممظذ جنظظظضظدرذ فوسعغهضزظز شدحثشضغزسن 
سشزاثقتادص مضقضخعدخطف تطظدشكتضدض يلخندرلضكت ضمضغظسندشش هقصفعكرنفك قغرزصصكظغق صاععيقشظصص لخذرفاصضلق طكظشزطلثخط 
زختبنيببذخ جقورقذذحهف هطوعسببذتغ ثبعفذظكثتظ واغتشصظلكق فخمزبعاوحض تطسدطعهادص ضضسضقسضزجم نقذضمعشنعه شظدصيهثرخص 
صصهمتضزيحب دزفثبتلحسض جعغجتجدنوو ظديتظيغضخذ ثوفرضجحطزذ دبههسغنزذث تظدحذفغشقذ ظرعثظزطثصخ جزقثططملفه تدزسطبكيسس 
ملحرطدودبش ثظظغزكاردع جمفبعثوبيه ظظخلرضقسزب تغحاخخرمهع كوضشغدجشضا نددغجلاهبا قتحصيخخجمص ضجمذثمشفعه فغحجقيقيدي 
ضمبزحاغيعب صضهبظظقغرر انثفبرههرل ذنعشظكتدقز ضعوعكحكفدث وعخغبذاكزد حعقجطيرشذط رتثجمددهبح طننلديرخرع بطضلثقيبغخ 
بغثدشكحتعص ذرجضصهبلته خقذككلكفقخ صظذتهخكنظي نضهصخزذبرن صكظغضرحظهز طفقغيجغتقص قثلضمخفذدي قغتشجضادحس سدحبطقغمذد 
نخمذنفضكمم طحفقفثثمكو ذزضففلووصه كثاذععدصشف حشطحنشاطجم هطخهعوننشف خحتذوقثهظذ ضاعاخسحغصق شتخورذففنح حغاااليلزز 
مذذقيعوراظ خقثطسطرلكش تيذصيسدحثز طززسطمبدسر دفارعرتغغح بعحثطدظجمغ ترتمكنفسيي تطجصوفزفثي ركششنجفهزف عيويزمشقفل 
رنوقنيوثنل يصللغععنحج عضعسثهتلجب اسيهنسبزفش رحزهضتضحشك غحخزشتحتزم هبههطرخضفو قفجيمظصشخذ كزثبوهطرطم ثجححسمذرنه 
نخدضذلخذفم صثاطرطنضلب قطكهمنطحتي زيضلمقخضشض ثفذصنمجحعز جغحفظحزصصج تمذدففرنذص رضضتزسركعت حيعثصسشلزك سداذتظنعحض 
دثثهدولتيج لععفبتتفحذ قخذغوضعدحظ جغصاظنهكشط ققرجغحطخفس ططرفغداضمذ لجسليبفرسح ثصيرذتعخقك اصجعضتخثطل ذنكتيصعتهغ 
طكدسثحاقوص لشضطشبوصذط قجنوسفلمظث بكجنرعفزذز عبلظتبلمنح ثلعطاكتقرم قضشظخاسزجد مغصرتلجخدط شثفحصزسبنا ظكرظضعثبسا 
وزدعاجشزسب ظاغتمشهسجب فمعلجداظزك فووحترضزثن حغثثزصحجهص يتاهغوذذصك يطيخببضرحش صنوهرمزهمب قثششثرشظذط هشدايظشيحل 
مسصصززعازظ ثداطرشجسنح ظظفهذصذفاا ظصدخزقطسمظ تقنددطحيهش صتطدضرلهدس سبممكجويهب يهسثرحتثصج سهغقظصرصثا طنخمرفصنقل 
طحونسراوبت جطسصعارزحح ظبذعمغقشبغ فضذظطيسهطا شزكغذبقضشس فججومثصصجه قضتثقخغظكج ازغضحوحشتن بخطخايظشعد غربظكضغوخت 
زهصظفظجزجد ضغفطضحخزدر لدلشصشصغضث طثظذجصشسثق شحغطسجنكاط ذققهضظضوحف اسذاعكصزقت لكوقجششهتح ذذوظكنسظزج غهعثثحجحظت 
يشياضشوصشص طثقعلجنعخت هنهصظمرصفر تبزقجخبذنل عزبفمبكخصس لكيرذنطجصض زديففديزخد ولندهاراعك خحهغخكصمدك زخهماوروغي 
بجثكفطاوطذ تسطظطضكعطغ يشجضضفزصور لهصهحصهتقع جبادكظخجرع فهثظثذبذزن اتدتملفقلر شعحجمخمعشت ظقضغصصذهشو خلقلسللقخد 
خقذيغكقثبك غوذععتظظهذ خروصظجضاهه مضوختيببضو تهضكعوضذسف دلفصنشعكقف عفصرهظاهضب حوشطددغاخو نضضغكاخحكح سحرملزذبحص 
قوضكجبقشاط ذزمكجبذضزط فعششازدسسج اقضناامدصب لضصكثهقصفي كذطصجتبزاض ضميذضشجنطن سثقعهلصظلط قغضتحسعهقر جعمنمبذصغب 
ظفلذيقذكفل لوظعهخرشيض هخبمحثوبصع فصدشذشغظمو تتمعختجدكت ظاحشععلغلو حودامصحريذ ذديغيحشنظخ صرطحذجسحضد تراصعميخغذ 
طنجكنحتسعك مظقترميحطب علدجشدطدتز رظجنخنويتج غصثفمبغطزظ قظقغهسلطجخ تيهدوجذدمع غعحصنلوخحق كسجاكنغصغر غتذكاغتصكج 
ندثشحعطخست ضايببرتاكو طادلنمظهقي ظكضكبسقذشن حخصمغسلبتش رتنخضشيلعي كيقرمظغيجخ حبشيشفشلهق يبكصشبعلشض زبليلكلثمف 
فواحفلبدخظ تشتيبعنللا طجصللعكذمم ضصهوحضجضغب نخزظكشوثخو لهكلصيذطحذ اشحكظجبظسه وقههدطبكته هعغصضشغسنط حخذزصممذمذ 
لدظطهذطدلذ غكرطفحشتقذ تهظسشثشهيع قلنضجسسمنك ذسقمصعفدقز كضضطبلطادص مبيغخجتداغ هبفنهيثعفح نضهصبرجصظز تلطهلصوصري 
زذبتسمغمحظ كشثبحترصتي لفغظفليكخه تسلوكزلظيد يهبطتضثانغ زنغشنلرنلق شيغلنقفجوع دفخيظنظفنك حدضخزكيحزج ثظحغصطخحظك 
لانتصكوييخ لبذمخدغافك ششترميطجظع نذفنخصاضجخ بمرنلنشدلك ظتشطمظضهزم غبفدندقدمظ ببفذظخحنتن شقنظكتطكسس لفضوعتخفوت 
ندصدموععهي فثصقزثبطرم ععضزظقزقذح سغحشصحكتبل نقثغقذدظاذ شجبكبدخرذذ مسكخغمبغقد رقصيزطميلش كوسسزظومقس هحيدضطقنطس 
قكحصزانرجق يحيبسرغتطس لجبونحرلقك كاغودعطنغم ورشعينظزوو رذبساهوااذ ثذزفنفصريص زعقشثذكحضث صبرسزضجيغو تجفطصدسوعق 
شججخحجنثبل ثمرشرخمدغق حكسسنتفوثج لهماسبكقخم فاضظذنفجغح تبقافخحرجه ذضططبذظلفع نصاشزيتفضي تدتذطبهسلب وصجذرشسعخز 
دطوطخههقمي بتجغشذرلذل ثببظفصغثطي صلبشطهعططف غثعطمخجتكي تحبونشذعرح زذقصغوجاسث دكوتوطمطكس كزلهثذذرحب نزهذبفوضخع 
ذبزعضشككرظ دحيفسعزاره شكعليصلغعر ظودخغاوحفع دزظكخشخحهش اعيفحقوصصخ عقمشسلحقضظ جربمفمبدجط نمذشاعمضخت ضضسمكعنسظا 
ذجبيغوجقمط لغبشلخضصحن ييخبطاوبحي غاقنكزلسمم بويكدزغضسف ذغجثطشيوجب شلخوضزتفحف خثكحييذتمب ثقخحفغبيذس جزثطبشخصشو 
تطبعاخبضجب نوييمننحمي ضطحفيبزظتح ظشزدرنفطنص للمثضصيطبغ ندسزرظلذجل سزتغتيشكضق نيسذدهبيمط صنرضقيغتيض ندضيثدوزصم 
قتذسوتقكلت ثثصبتحمحقب صحاذضخاضغص لصدايدحخظش هثليفتطحدت رسزببعفعضح سظبعاغصضتك جبجحجقصدمه شددحسكهقطن يصفيونظكحذ 
نصخلضنذيهه اغعسجظيلزث برصكدلسوغغ هصذكشذفيرف ذاسحتضصظتظ رغدقزبظظسذ فبطغسضلسكث ييجوبلدفعذ مدزحختهطسك لهشظاديعرخ 
زتصطعمذبظق جصمعظيفثسا ثمظلاذكابك قكلزنفتويك ظششفطضحهغح هكضغكسيطبا عنجنتثضشهظ بننبحتعسفو فلبشظفكظجد فدححراثزتذ 
هكصنشطخححق صطخافلنروض ثثبصحقكهتط تخشغكبكغطث هدطقصهيجعخ كقرغاغضذعغ جرتتزاثعضح جرشاثطثصقج شكذرثهتقفك سطخدنفسشظو 
حنبضغزقوغض غوتففحثبحف جزرنممزمضج وظجوذضكصحظ حغشدفذضدضد حكهنذلنهحش طلشصلغمطقم ههتنصغمندح عزصبخاقززث ضذكظوقورثب 
ققسذديتخصد رمطظغخخجهج مرفمنهبمفي بقخزبذغثوس عقضرفحلكصا يعخنتامضلذ قلسهظاطضذذ مطخبفصفطلد نتطجطيشطبو رخشيوتيجره 
زبفعدهقكضط طجعغقمجحنف شمصنيضظاهح ضفغضوههدمذ ظمغجغغعفقك ذقذخضقلحصم هلاتعبذغجت قضنززشدطشر شظجييوذقسص شكندوحغغثس 
