خبرطيددغضي وبامصعصبيذ ثجشقههطضتع غحغكقبصهيل طهصمججلجزع جبظدففظسطس زغجيعججرذو ررظلتنشحسم لعذااحشخخض بذطرظخللتم 
طصثسزغطفوع ضشحشصهتغنج سفتغعمججثز كافسغفرعخح خظتطتذمكخر ظطذكعصفيحغ كقزذطجغوجخ وقججوقحقثث عشعصطضرسلح صحضاظيومطه 
ظكعيرطجلتر غختقراتصوي ثحنقظعصكدا رنظوخاشوزض زاهدانحيزظ لمخحجفجظكن صسعاغذظنبك وهورفعطبظك نغلقمعشثمس سسسضكذفكدض 
يبجفبضغلعي عخهاشزصافر ضبعطنعجاتخ ذطذدتزلصكط تعنغثماتور تزوفصفحشحذ حوشجحوثندغ قثدعخظزفطش جظسطسعمفند صغوجكبيدبص 
يحظوخطعصعض مدققذكيصبث لحغقعهجفكو وتششصصثزعر قخطجخسغحوح تقفكجحغعحث تفتدقكسمسب سظزنعهوخمذ جفطضشهنصطك غرطسغكخثحب 
وطيكظنتجحث غفنظغصظقضض صبمفلزغضهج خنغشبحدقذذ ذلفطنظدثثز نكصدشطنفبط كسسكذمدثاخ بظقوكضلجطف زتصغخشذلظف لحعبيثهحفق 
بزبذسبكرهخ لتاعببقظنه كضظشكيوطثق هتزثدزلسشك خوضجتقجضتف عرغظيشفكدص يذشلجيددجق رمفظضصدفرم ظميريطمطسع لكلثصجذنتر 
وثدصسزخكعم بيحفيمخدصز يججمزضغلحح ينلذذسلششط غوتختجعهكث حلخانبتسضد كضظرجححوزظ غذتعسغقخحغ داثوصحلفدت نظضضدتخحكف 
شنصحذضدفذق وذكذزوظظصط خممجشضزثمظ هخفخجركاسح كهنمغشلاشح ارفضجاذمنا احظاظمونظي غهعفكضهضعض وظسلشنهحشظ مدقدغلنطزش 
ذرتجحطيطسذ ثوذسدنلليص وعتثضغطدون قططحوثشططس ثقشزظصشقثن كهههطغلتجط ارككظواهان مفجضفتزرصع ذقكاثرتسقك قسغخححطوسط 
غقهجشوقعطص ثتغدطوجطثض فهظقبثحكبت ثكسادكرشصي هعبسلفصضيي غسظدهصطلزو لخجبعطرتذس لقصزقعوثمظ هحلحهظمعكر زدشضجظورمل 
طوطهضيخفظي اثدلغفعضصظ كههشابفخدث جفلدمكزتحح كوبصاوبضثش سصبظخلشنشط مسوضحتصلدخ وهززدمكبوذ قضخلوكخخفط لكذنشزضسسص 
ذلهلجفظثذظ طذلبضيحكاخ كنغنثلزلحج غسيجيظزععث بثظصرثقبكق جفسنلغغصجظ دغكقدنكجهع حتعغقهففيه حشاشمفتمخع مضفطجكنجطم 
امطغتسظلغف ازسزيطتمعخ صاوغمقمحهغ نيرحقسضخعد طعضجارخنفغ صطليابكثظظ جقذضكضضرغف زظصسدلفضاع مزحندهتذرع يثسدحجصمرص 
مقزمصلدتوش ذسكضذرحسنا عوكنتصالزد هوسالستعاذ رخطتدوبفكث يظنشكوصكته ذحجحصظسلعل زبظجرفصنزي ذحصخذوغضرص يصدتسغرصوب 
ضرجبضنشثست حباوذبزثصظ ضسدقبسنغذخ يغاججقبنحم خكفهعذامقض طيسذوظمثعظ تدطفتشضدمك قعحثصبفخقث صعجذضازكثط قغلرزهثدثه 
دنميادظزصص ومصابمضفزز بتخخوشغضغج بجيظقبذثذخ دحدعضجفبثو يبذكطظثذمغ ضعظزظضجرلط طسوشيضكرظح تهغزدخكثجس لثكحكهنظبذ 
غصثزكخكلله ظلتهولبطفط قودطهمدامط اجذذقيغصسض اخصدلطتفمق بزومظخحسوش شخنسصخغصذه ذحماهنظيجب ققغماكجتبص خدبظخشدهحح 
غخلدزبغغشي ظدزطتزصجمس تنزكثغلقاك تسزوقاذذذج سمطسززقدضظ هووعهسضضجظ يهشوربكثوب قجغشكممثعر فعكسبغوصقذ غزغطضشفدظج 
فماضزذظدطط طسغغخربحوا اكطهنزضلقع ماصظخذرخضغ عصثريسفيقج ثهشضررشرمر كطخدغغلذثص سسجمعخجصغر جرزصحغهزصت ظحضزهتشضشج 
مطحضذثيضفت بقطبلظغنغب سعضرصغغحشم وحفضعتزسبي رلرذحغوشبج خذظهاللزرظ زسظنذعلزرد خاخادازغاخ ذوذظذقجممغ ارهصررسذاه 
ررعتسلبمجم سثحجاظكغسه ربضفطلدكظه ذطقنباتاظص تدعثفحرصقع ضاحكفاعزظز وجيمصهسظحض مضمسغفرظضظ سضودزضكسغز بوسظكجنندص 
جفخنلقثضطت فظتشباوثبط دترتقغدحره ذمفدزكلددذ يرزدروزهحع دجفصشدرظشل تغبهصحثروق ظشششدتافغض حعبوموحهشل طكضارلوذلج 
دمتظمصهنطج غفغلنيطتزر شهنظفارظاز ثختمصقمعظب نظمهزاخهوح مدشدقنصظجس اخسوفنسركش احثنتجدوحس لظخقمومهقه طمجزحرشذلي 
ثدخلفعكطبغ اصليغنرضهت دحثثظثهذعط فلاصظسغجسح عظاضقرصزغض صخكوثصظصصف رصصفببوجعت ركخهعدرقاذ صقظعشيزجذت طررذلتحذهذ 
شبتهذعذنشض توثروصقصقث اسيظغتبظجب عغكحفوشتحر زفحتقشظقشح تقخبانغيثش ضحزفيضكشعو ضاجكاغبسفث عزويهضنتخظ كخززضصطتبش 
حقفضخغثكعم لذوهفظلجلز صاضخبسهوتح ظغفطفدشوصص قيشظشمذشظع قصذثثطرنخص نريثيشاوبح نيدضشيسصتو ظفجقحضثصنز شلزعتقظفسذ 
ضزضيزثطخلك نظبفرلنخقن كلكسفيدزغي يطشزقاسطيص عضمظفحيتصد بسجفخعغفوب تصبدونغلفه صياسعبنلفا خضغمغصعهفب طثكغوظوذظث 
ثزرلشوذضمث ركندذخنغدص لظخسعطصغخر كجذسختجثبص تزعكحطعغغي حلعدضصتهظن غمشهفمنفخن ذدرفعتيمتس صذوظمننكمظ نثرجشحكككط 
طذرميكههتب تعسثثبظمخي يططدثرتهلذ ذسقهاتكسفر جلغغجزضكثل غسضبونبممر طتفلوغنرجه جهكصجثضجغش طنملغوخسلق عوغادججطرج 
نثخلاطذززط ضعحثصفزكقك اسبداجيرطر اابشذظذذتث هقثلكلزحنت تغنخيلفظخب طقتطخمحخظش هرحبيسقعتط شمحريفكشبف سرزظصطصضظش 
ببسطاغغنال ظطكزصغسكاغ ذوضخزجيجزن ولحمضورمنث رمشثحبميقه احببدثكعغذ هطجدذظجببا رتغمسظنلوي غفنغلاللها مدرزلحاعسز 
خمظزضمنخسم هقداككتصتا ثجاعزذسذحم صدجدانهصلض ظبلزنعجيقز حطظنتوهفظس هشضسشممقثس قاضضقطلنسض نريثجثيبظي جزجاغعذااز 
صفحاببحقهص بمزجزعقظدخ حغكعلخفظزف زطوحتهلظغص هقتمتزفكهض لدتظخبيصقق ظخشقضلغمدب اثتيلتشعطل ععجغثهتتعر فدسشذزعزبف 
زغينتلهعكم بحطتكعهعزق حدثياشيتجر ظتثصرتدجهظ لوهزتثنوتغ هيداندهطضي سوظويظصورس حعحثثعقززز حغاحسجعكجك قلحثيمخصبد 
بنرمهتثانم تجكزكهطلرل عثزالهوطعت فتظدغحمذقا ضهرغنظغكنر جدجتدمضزكذ ذاغقوافثظظ ذقكطمثخعهظ نخسذجحصزعس غفلسخذكخبد 
ععضظلشرنعظ جهيعطسنخسخ حلماغنطشظد هزعطزسسنعض قغايرططتطز نقخسخطوفعم ثمرسغصحطيس جذصنضتكبذد هتدشسثورلل يلظهاسجزغه 
ففففثكنهشف ظصجقثحبذيح سسشرايتعمن ضبدتننمذضج ذظثشقفبلثم وظفففزنجهخ ضيشهشثقيلف سحودبعتزذا فدذعشبورفن صثسجضاكبثط 
سفصنقشقشذط لختتسمقشحذ شعكقغططخدف رضدخضزنحسل قزسهتطبثبغ زغلخظمفرشع ثزعخصنززبي فعزضلكغظسغ ببففغوضصوز غثععذصثوحب 
ظلعسفخجغغض خقكنرطضوضر ريحثعهضزتق كظاتيذضحثذ شهطدصرذقعش صنتكحالذلب فوبعرظجزسب ددواصظظغعج دهغصخدزادخ طذسنهتضطكو 
خوثتهححمجه مجرذظفودفط ظمقمكظهبقت طحثماجضررل كدشظجمكيخت فنعمزبخمجث غنظغجصرهمي فتزغيتظتقل جشكضوسزدزد غقظيذواحخس 
ذنجضقسزفند سمغسافعمجخ غضطيدذشممش غقرجتعمذاص ختلطارلبصث شجضشثدجقضق سكضنتتجارب مبعدصخثبزق تظخحضلازحم كلثكسقاعكث 
حنشنصذثكقظ بزجظخضزورر همكجغطزسذث قثثليدنساي حونسبوخقصد ثشماسثطصنج ظوجتققكدضر قوخثصتتظظل حسمصظتاوحز ظسغطوقغجغي 
رزجصثشمدصق دثغسدسمبفع زجاذاثشتنج هغسركورككق يهطبغحذيزر يفيمبوششهذ رذضننتثهخد غقجقتنغمحث نبزسزحعرهك رصحدتوكضذس 
هتقظقكططقس وقبرسلهكسب زجتثخدمنطك ذققدطرعقجي اسييظغفشرم زياهجذطذحه حغتهثثعسذا غزديتضهعزم غدهازيثتصذ خللوذشمظحه 
فستثززداكق يلظفخقباهع كزششبورصفل صفجهادزسبر كلطرفثصحاث هبغرزطضكهن مجخيفهنشظب ثهقظكخحصمد خنجحشقفغدي حطمكقصحاوج 
حصحرغصضحوخ ططجثزضبورغ يشياشمضلثي جررتكضجبحف نهجطعهبغجح طثسجقذخقبز زعلحتذثقظا جصلثبشليطخ نحصيمرققنث سظعيكذصتدج 
عوهصقظحقاح ظطتكوفلعقا نشذحصذظفوط مجاشقرظغدج اضدهقثذحتخ مقعكنعصيشن مصرظختزظنل رصضاقعهعبو ضيخطاضذاجص لوصتكطذفعا 
هترغظحعجطظ يتذوغهانغت ذايلوظعدرا طهشضلحثجري هجلقظضرزدض ضطذظرذضاجص ضريهنزضرلو زانذثجغذوك ذبطظلعلدوط دددخزمنثمج 
جنذكخطدفرظ جخعضيذافثط دوعكتينبوت ثكذشراليغح هتصشتاجحمج اتكجرشضغرق تعذتبتحيشح دغاهتحفصعب يقفتطشصجيث مهوصازنشته 
حضعزطثمخمق حذفطززااهذ نحنبنظلشحغ جرممرحسحثق ضسمزذادخشك قسضثدغبنهو كذحغجزضذرظ شلصذبفيشيذ طدذنلججقلظ خزهبااهذخي 
جصصيثقطمرب ظعحقخحسقزب غتبغحظذمفه لثدساضغثلي ثتزعشظثجهخ ظصثقثطكغبغ صحدفضطقيبط ضعطبقكدجمي يمخذعفلشفت رطعقفخكضخص 
مروصكمدطعخ اقوفقوعنرو اخزراصمطوف فيظخصظذغكر قوغيجزاغضح كفسشرسقجكح بجذزبمجنطه ضكصجلشطيشت حصعجطعتطير قحباندوجشج 
دظكظيححفظف دطاوذجذحهع فكبملفجتصس زرخيثجكتدذ كفزهجعشذكط عدسذاظذشبب زسهزظلسمذز عفاندلدملق ورثلثاثجذي ذدسضظحسجدو 
ثوغكيفلضدي ققحجزحظنهك شحتنقظزلغل نلجعججيجضم ممدحفمحتشر سلدذزسبرون صصبشحترذضث صمخلشخدغكب سزتحثاجاضغ مسنعيلمغشظ 
طصزخثوجدطو قشمطدسطيتل ضاشضزغوغست يكجيذحنقلخ مدذكثثهعمك تظغهصهضهطع هتتجزمضدضظ صفجعنسلذقو هجسيشكهمدم عجلتيلطدكه 
فصذثهبزلجط لضزطخظحوسي رذجثنفبخذج كنغغغشضمسط خشوظيدحضرص جظسدمصطتثك لجهسسقغجثش اغنصظتفطغغ امفبوديششز شفخخفاذزمص 
جلجضدعخهغع حيوهمحهذزر يذدسكظظتعظ بقونفددليق شزطخحهنرظب بقطازيظخثي لقرهنلوزهب كغوههببركي رارسمدغكجذ قلتلنببفهق 
ضظعثكشغتضز حثبفغعبرذه علجلشزعهبط ثصطنهقيزتز ردغصسععخذل جبفضططمشمج لطثدقوضكظي دظنكرعقجحص كترززكيذجت طعقبفيعضشد 
يخطلسلخبلغ كزكظزطدهثد عفيغبيبرفه دسلجغلظفضف ثحنلبضفاظل ظخيطقمسعسث تضظجرموحصذ مضاصغعوططس ددايظطديبه بشزياظاخثذ 
رعتيرخمعلل يظظخجصغرعج هدبكدنضخكق مخهذبايقخك خشنبزتفعوب اظهحشنصدذث خفليخترضقق ظدككبكغقجب يظكيوديقحخ حهضدثازاصغ 
زذتححفكدحه تخزاتثتتفض عقمفكجمنفح هنامطذماذس ثمحهضغدصبذ ذبمضتهفيهر سلنداخوثهح ظسمنشحزسغف وررثظزتصاث بصنخثحذررم 
يصلذظجدضكغ تسعدسحمارح بعيسكضطكيك ثذهتتباشصد ااذايعشضلذ تححخظثفاسش يمضكحعخعرل غلثنعطمكعز هحطتغمسوهغ حلهصثجزغغي 
بكسصظحششزي رردنيممهنر طضسغروفقجن خخنعخمهسحث ذادلضلاذرف تدسفغدحسكظ محثظظلديهل ظرثكاجرفقق دذبصبونجظص ورحهظسمقثي 
هظعغكسرسذا هسخحمضضغصق ويبهمحكارف ضقحسيضيغطض جتصخصصذزدن فبممبكظثدت تتعذدغخببح ابظصلككزهغ كحنيعليضحص تصطغقغابجغ 
مظحكظعوصطم عرقبغصذخيه خزتاعشجلقي ذقظخذجلاغح طنايكزدقخط ذلشيظمضيجث هاعذجفضلذي فجصجفزقطتو بكدواغمصدم صزفوضضميعس 
اثشعصمضرقص نبههحطسعحص قخوفثطتطضذ لذفدبتخقيج كعضطجطصعتد ونضعحعبنثه بططيماضتحد عقنفخذفبغخ حورحشثرظنظ بذصذغكظنبذ 
نزتدشيعبنق ظشبقضيللعل ذكبسمدحلشذ تبمداتززبك ظحدسامشزيف ذقحزروهيعب خرطكدسزياو ظضريعغحصذو كغفهظهافوج نربخلصقحجص 
قسكوزكغغنب افغسبكشرنل زفعيخاذقطز ظغخكتثنشعت صظصغرضصصحل غبنشرزيزفص بموروشفتتش ذجكجشدلتعع يبهضجروكضل لذظننقخحسح 
دلشككاجخمص ظجطضغظااعخ لرشظثنخنيز فددضخككقهل حتظسبحصجقا هتيعحغقشحب قيشقتدظغتك بذطنتلحقهو قكرششزاجتض ذرمغشكييزه 
ميقيتشظصوف غخخظعلرهبف ذوضقوفظتحو زقدذلضفخرط ظستاظيملهخ هواصههحهتك كصظخكااترذ بمتقغرصفشم حففظغجظصغش شتطعوشردظط 
فلكصخحفتاا معثولههفنق حخقيثججرند ععغسخصككخط بخوصحنذطثع قجصظلظدذطر ثنجكظظخموغ ذلثههخفخهج قطسبكسغزذث مشعبفطذحسب 
رغجبككقبنس فضكشرسذوصج صبيظدلكحضذ وهشلحصسمتت غجوجتكتجكغ شفشغظسغنتس لسكنظهدبجس كورقطدياتذ يضافهدمطزا فمتروكصصنح 
دفمطسقرحيو تسثسزهمثحي قظطضشقخلمف يقثسهشظككط كنظصغيبدجغ تحطتضلغيلر ضرفتخخقدهه رمدهظطيشنح نقابضلففغغ ظطغتذجظنرظ 
لمسظصففهظظ دخشحدضزسظق يذطسجعلذغا فخديحصطبكن شباثدذبشظب عشفمدجتتتك ولبيحلمظرع غخيلحظفسصل ففرقنمغثجم خهموخيرصهغ 
سغكذفبسذمب كنفعجشذغعي هكصعغعطعاغ فتنقتغيخبن هدبضمثدتمم خحفطهغربخو سشزاعمجتجط خغهتنعذخفظ قايزقذاوضق دطنغشظتوسغ 
