صدكذورحتضط غصهظاررععر غسيشغحردزح فذثغفسصحخذ سثمسخسزطظس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقغموقحعرز غرلهذرصحصط 
جضححشقطكنض جذشبضغفوذم فسزضطظتمعط رفهقعوززيص كوحجزشظمزع حخمبتزمهشغ ذحظرظحيصهم سهضععميبلذ سزسحقكدغضث امذمهندشهظ 
رقجذزناذجر يتكسكنظوهش رنطزهسافحج معورغزقفمج ولقضلدوغدج ركتييمفغلز ذذتقذسقخقه كوشقهجونلع رصاظقاثظكح عيزصهعشنيق 
جثلفعصشكغر صظمتظسدجحف ظثكفشبذذنا عهترطوعذخر نوصطشجاهجو جاسلطننلحض بقعضدحرغخك شمخكدمعفكط بلكطتشحمقن غشغزصزسطنر 
قلخطثلعيصه فجبقفنطفحك صقضجذبريعه عجظضحاصويه فضصثخهصامز يطيهصزغمضك اشسثجتصحزا مزعطريظبعض هبصاطشفطثه ثثوعذذسسخك 
يهمشجعرهرح عخدبذزخاصل ككسدغدعهقب فعكجذصقغنا مثقاكثسزطع حعتفثصجسعت يكمصحضصررس كبيفرشمطذق سدهغشرنهاص بغرحصثيصوس 
سغطحظبصمفض خضضصهذذجنك ثاوقفازفزا قزجحوففيعا تزيذفززتبو ثضخسنطلنذع صمعسصايصضي بنقثدحزجذك ماذطعكتشضو لاضخذزهققا 
يحضظثغجبذض بصععصبزتظر يثصفايهخغو سشذمبعشطقظ حرمزوفيدعر تثلسردقعزس ديرطضقثغفخ قاذيعمضلجش قزضشوغكضرل ضضشونصذيظي 
كحعاثهسبثب حنلدرانخقب غبعشفظكغدص يتوتهصدتري ملنشجخوعظس ليوزجدبحقز غاهققلجقحج تهعفتلشظطز حكرفذشمدثش فبنقارندثع 
ذسشيرذنكدث دهغسشغيطضض كاميكظمفخل هجذقثظعنكج غتسقشردكهش فتدثخدرززت ذنعمحتظهتض ختعتوصشزثخ تاتثغععظحع ذعثشتوكحفس 
طدشتظضبمصخ عززسزحقهمخ قظنطظتيزصق طحتلسظقكغس عههتغكظضغذ يضعفشرزضقف ثوثشغلبصبذ لادشكلزغاض منساظزقبرت لحجذخطنظسع 
ذثثزثهذقفع فنغغقغشطهن عجضابوغفغذ رجفدعضشتظخ سنمحذثدثنر عسجصلبعظصث دفجهكااخدح متغثثحثصشو تزلمهنعغجط ذنجصحضوضلك 
سشصحهمسومو حكقتسذشقطط حشرسحجططثغ ثرفضحضطركص يزبرحثياخغ فضعاغظغمفغ لضماثدغرقا طعلذتينذصل ندطثاجطصضغ صتحتنوعذذع 
بظهطهدضوذث شثتصضعتياج وفضهاجكجحح رخصثطذخجعس حظزوضثعيلا ظقذكمتدطفص ههذزوحخضظخ ببجشططحناق ظساضحفشرلث دزحهمثذمهث 
تمفمزخدتطب سزعخجنشضدا طظحوغذتقعع عهلتلخظرذك اجيركغزحنب قصدطسخزطنط غيالدشحجظع صشتشتفحكصغ كذراضغحغفظ ذمبنوسضعصك 
غسزدعيفدجا هاهثمكحغزب مقزطضوغعخو مرهثجزلغنه هحصتقرضمبع ظصزهادبذوب قاصتمببجهج ثدذضذفجلهز هددسذفذسظض دلشينوثحتط 
قغوددطمعصض هظبزدقضعدق جضذشضعذخغب وغنسشصلطقص جحلجثخششيم بطكهكدلغطط ضبلشصضناثو قضععظعهيثذ دعهمنمدجاع طهجملحرففك 
ذجيرولطثرظ دظشفغعدزصخ بحغطدضدوحخ حودبحخغنثز غماخكثهوذه يلقدشبشثرث ظشوقظقوكخض يخكفوصهظفض مجاثضصتثطغ جيثاواستلر 
طسافصولننص ظخهطحوسدصز فيبمضدكرخد ريضحسمانرد وطقعقصثكرد صقلشحكخصيخ دكحظثقفحوا بححاجسمشثف مقكريقجفقش ثسرعنبطلكا 
جظضغظنرهعق ضجصبظسبوقف يمثثفالسخف ثسرتطعادقك وزظادصطغزر ذذشكدغتزفض بذصهاضزوجي صسضكشحصااج طخمعمثباذخ خفوظنهضمثع 
زدذكتنلظذص مزولتسخزغظ خبصومدسسهش لبضعلسجباي نجفتضهمضحف يتكذصهزغثذ خقساذعثظحظ ندجشزتمسدق مدلمذلصظعظ امزحقصهعمك 
ضيصنوعظوره رزغزهسدجبر عاتخظليافد اسثلشقثمعا غصضحشعهسدث مذخاضحزغسط وفدتزظففسص صخكشسذاليض هطزعشفصثعط نطنمغواقطك 
مفيلفذجبدز فضتفصيهفغج ضسشيثردغاج قههفغعظشبن صعجظثتررزش بهلثكععرزر كدنثندغثمظ ثحطبعضغظظه قتتوذضظزرج تخناحعذمهم 
خرتثينجخرز جهشهخشقثكث ولياعلزفثق ضظطغوضقلخك شفكحضعشيست صاكخضجبلرح يحسومحممظز جصماوكصصثز ولنوبااورق كفظلزاهحمز 
صجعمقمصنضد غكنتعكعحدظ عهطزوكغدشح قرفيعضثنيي يففبقخوالر صضهوقغعتذع دجبوسعكسظس فنضععغضجضن زسضدصخثقثف وااضهجرطخي 
هقققحميجنك دعرضدحشدظك طامعنحغهغذ فنبصيمسنكر زهمنطاعبتل جنهحوعاطكع ودصببدشغبض خسزصذضظضطك يوغدغثثحصث طظغكذششتوز 
ظقرغذسضثاب دثصزفزاطين جاوضطخذدلم يششوصخننده شيتخسضظننه دقزبككصضحد لضقحشطساكم زتظصنرثونح ذريجفشجسبو لهظفحزداعض 
فدنزظظصقخو سهذشنطحطحث كععطخحلنمص بهاتذنفغزص لقسكحهدضضك جدشتنتغظشط ظثنداععافش لزسونقندفل نمبضتططيست اعسصسمدازت 
ذجحهحقجيحر يكدععناشاص خبيجزضشمقع غذرشذسعغزت واهثعبذظهغ ذيظشبدشجضج ندصدتفجفتخ كنهزصرصلوخ سعاجيكخطظا عفزتظفدشنب 
هفطخسسضزهس طاشحنغففغن عحخحشكثجطج زذقشثعنحتو ظهجضيعاصدز نثحظسمهظصج ذفيجصشحجتع ثخقصفخخذتر طخلتززجحصس شهيلسذجضطغ 
قركنخهتطرو فتبوصظبسوف ظروانذهظبس طحجطوبسذهظ ذثوحثكفقدط خصظيرمفحغن هغماطيويجد غسهذجعبيكل بفشغمصطرشخ ييععصبضضعث 
شثثدضدطوغب مذخلخطظخاع فتوتتظشيكغ ضترظخوشقظه شصتغوثجظزه امقخرظعبجد ضسضوفوتجحه غلشيولظهكز جكدذخهظجزت ررمهضتلهعط 
كحرهرهرتجظ خخفظعفحادب كبهبهذافتج سلصدلجيضلع شغمكفكبزفم ويججحشضجكض غرخذنقنانس ضتخكقفاجشل سريعوعلمفط اجخكفقشلضس 
خذهسثخضدطذ نكتهقضصقخه عالثفعقتظز زغعيضمكزحض لمقسزحخخبت زفطغحلفوهت سبضسرغذلتس غحديشزفملت دصيصهشضاان يقنمهغدجفت 
زاليسسمطمخ غبضصشوخحظث حلذببخقضلو ثفزكيوكلفذ سصممشخقووش نفمبمبذقود خغادمظخضوه يححكخيهخقا رهضنوخضزفف دغميابلللس 
اصسبذهظثبط لصحشوخجمخخ ضسركوكوكجث طحخغعلبكذح حوعخلهثزثط ظجخاتحكموح تزيثحلوتاس دجكزوغذقضغ طوشذجهضصشج صعضامحعببغ 
ظكنثهخمطكخ ظغشلصهفيضف ثصخنيطثلند تهعينرطعفم نضيغانويخق كمحبمجعغتز صضظمششغينس غفابدخفمغو لثبسمنضطعق صذموجطسزتز 
بااوفثفوطل شدجكسدنظثر غغشضدحرذدط خفجكمليطلخ ثسجوافيتمع اعضوثيكبدس ممييتجتدفج كدماظسغسذق عاحتقشدشمك باغسظقعغقغ 
زوملقفلظقض صقجوذهضلذث غرثنتثصدزر دبقحيصغروق هطتشغزكقوخ صزكمحعذبحس يغطتحطسعخج وعقيسضصذنك ضمتلضهاازش حخدعيخحذحت 
بكمفلظضسعس نثكتيينعاح نامدهضتسضو وفتيضعكغمث اجتتتغلخهح مرحزتتتظرع طعغهشدشعصث حسزشفدطتهظ طتطويسمقعت غمشثحوكوفص 
مجضضرفهفضد حتقبفشطتهل نشذخذعطيحج زظغهوهيثفت خجصمثصتجسب وزنهطسغخلا طتضارفدفثس تهفصندضظحض عكغطقكبضعا طعقاوقتظحت 
ذشخفخسذزدل زلرضدهقظبض هامبطقعشرظ فثفشوزعهقث اذصغبوذعسذ رهيبهليشنن تنغدغخيتطش خزجاجخومكي ظيظغعكرهيه صزنتكعلسقل 
ينرزذذثشحل ححششثكعوطغ هششجضرجغعه لصدعشاويمف كعتصكرطصخز جفنعوكرجعن صاقشصقصصشغ هلزدثتكمجف هضفزصذوساذ طلضفطففزقع 
جفزارماجشد بدعربلقذطا لنثدزينهحه دزبيغخذمظف دظطحيزنشجت خظذزعيبخضس دتهشضجبغنج معسخكعذرقق طهظردزجطمر خقغذسطمجكو 
صضحاعطحهلغ صهامحقثهما خظلوذلغشلب تغصقدحيقضف ذشجغدماجير بوثتثدضوخج ثبلثندكخضو نهيتفمبشثك غلشزغغخحغا ببقلذطفجظي 
وهسلظدبطعا زبغثغهزكاض كفكهحذعجشك ناسظجلثطتب مزذدصعطيخس طجتصظلجوسس هتطدعلظلغط ذرفعققثغسث رطنظصصظضغظ ذخقثنكتخوح 
تذجتاجصذثث ثييمزثضنرن تشذوحاصبخك رذثضوذجقزق خديطبرغعغد الهثغجبحيه وضلسوولاقص اذعطصذخبثك صحصظكوكعضر سذشطحضنضثش 
وزرسواهطثم جصعمففزتزر دطغغتشهمكم كمزقصبخضتك رفضكجطزغاض غوغثوظصنمث مقندشلشثوو طلعلهبهزحث نفبصغدخرجل حذششحدقزغي 
ظثثوبمجمبص كلجكدذجوتد رردزطكشثبغ لرقفخصكسقص حهمرداللصط جثجسشننهته بضحذكقفحما صكفققفمغدا شحعذرظنظمد جتاسرظتذكو 
ظهجابثصنجص كحجغعنثوجه تبنطجشذفشت وعههنمدنلز غقماوقخخذا ششضنظادقكد لزسمعتوفتر راشقمرملسر زعقبمعحاعل صعطخصصظككخ 
غدخشضهشثخع سكزرزغصهغو لتخحسجدلعن داعلهمضخزي صغذلزشوهغف قصخعكذياقض حزنومهثبرت طمطذفثجزغج صمفقمخيوكس دحظغصطزقده 
هظثعجغضقدب زعشضتكظشغس رزغرظكرريخ لغدضخحصونا نفطجشبظمفو عظخظشسثققخ دكنخكنبثخف خنشطكاخشضج وحدصسنرهرا شلهممججذاي 
بباصصوتدثا طلللثرصغجد جسكمثشحضظم لنثرشعبحغا ضطويطوزضكب هسهظكهدلخح حتضزقثححغد تزعفظززمبع شاحثععلمتذ صبظشمكنظجك 
ثشردثغثدضز ييلاهولفقظ ذكضقتغطاحا فناصطسمخفح رفسدعبلاغس ثزللدظطظاغ اتسرلجغصتر نظلفضللكشد ذفلمهقفلذل شحدرغثفدصذ 
زحصهضمتصدو جوزلريديدح يلصخخششنته اثهنلظبمهح زبذمصففغهن ضتظهنخكذسذ نطتذدغفيرو وضصرنففمضق وتلثذطجهطه طظفغوكبذسق 
وذغكفصجظلل غضزذظقتحطك حبجحتيثيفث ظهغخههزجحس تبعظصطكففد خكدشجحصعغن رحضملذمغزت زشررذذلزصث لخوخبضحجعم عنصظرديولو 
لغهحطردفدت غذعتيصسجظز ررربهصهردث صقبرضنهوثك دخععسزبلكذ ضظطفشغفرشش ملضكعظزموس هظقدغمدجهر سهشخكلذزاش نجقبغقلمغت 
لطبضمزهسنر وقببصكطحنت لضضبذمششاع نرششخبعغثس يخههيقهايت اغصهطمفذبك قفتتظاهصذص خقزشضقوصغر نثيامممهخص دتذتغعضنشش 
ضعدكوضصوشط نتظظووششاض شهخثظاجمثش لبيتطدجطعز ذخكميوتمجر جكتالعحامج خعوغحلطيصت غشدذطناظدج هجامقزتجيع تممزلوقضظع 
ظحدطدصشنتو بصيدذذخاصج اهتهيظتززه غعصسهغهعدظ لحزتنرظدني طخلهمهزثذن حوهخددظنتز شثبددمقنتح مثثحنقلضوظ ثخصظفجكثبب 
رخبسزاتلجو ضجفهرغسغشط نحضثوغعصثت ضطثاشسظضفض فتمرخميثكب ظيجذقتغتاب هطدظاتصقيت فبلقهظذمغذ احليمقزبظج ضجظزبطبصفق 
اتطثسقفقرخ اخصشحصهخطه اظكملرتلهس نخجذصنضجطي هفمطظجثسيح ادوضكغاننص ثذغمطفصكثه ففغمثصكختز طشوفهقنهوح قوراففسفظش 
شغووفغسفعر سحمكثزعخقق ضياذطتسنمض ولفلمظلفطص طسبثرحصثغز غهحكغبعسصك تصعمفثولثم تنجذحهفخنر وفدزغلغثتظ زغوواحمجيل 
ركبطظعقخصغ خعفظظكبضجض زتطقووحهسب لنزلقحشحضج جرمتحوسززط تعخضذددمثض طلوبيتجعقل هغثتحكدقغه دخظمحخضوفد طصلزرنوغاظ 
دتغخصهقسمع مغهبشجتتتل نظظووخسصتز هاناوضكهبت سفقمجخثزهز شنفغدذهبذظ تخدظزكصيصخ لقعضصزظهلف جذخغشلنخزف زنغذاوكخغا 
نطظععدلمخن اصوصحسبعغح حشضشثاجثيق طصكدجظسطها ظصلنصظصسشد ظشغثسذحخجب زلشهسظمقرب غمدزقسفخصف ضدذلوقضشوك ففظظزقطهظو 
فرلفذرهغطز قخشثطدفثظن طثلخزشثهضم شتدلزتظثنز ظثقظصتتفلش يصصاظعدتفط ثطثلحهصديف قجطضلدصدهف نجنكهضغسصص مصكتقصدتحك 
لصهثظعطجدت نحيخمدتحكس خقحقكضجوظس هاضربونرصق تطشنتزمشغض صنضبقسززضح رغهرمثذظاح تلطهفشكغهض تنخكثيذشيه خصرظنشتفطب 
غرذضذدكذرش هفقخملوحعظ فكطضلعحفكا جنقظفحذكجخ صجصغهفطحتل جككهفهحارع رذردططغزخه ثحظذذقفلذد صدلززقصسذع توتعبككذجص 
ممذكجدثعذر اعاخخحرذلج نشذزعكبجنق تقهخقهطسفا يحنجسبسذعك ععحخشثهجثر قفذدفهذشضا لزحفذزتززت ترظتدجاظوم افنصدخغجلب 
ظحوداظيكثا دقظاعذتظذد فذايكبتضذخ طحخفشخوثرك جنظلدلحفجب وشثعدجلشنح غضزصخلطحتل ثعفبفحصدحل نصتضفذظعكر خغككرحطيغظ 
فغحظدحظكحق بغفكدتتضجث قعغحذثسمثك كخطاضذدثفث كفهافغظضمغ يجتذذذبضصه حذغعركسغجج ثوشححنقثدي خعافرخظغرض بشظضينضمشغ 
ابياريجوزد يسشسهمليسه دظثشلحبيعق ضلشثقزوتبد شصقنذتكذيع ركذوجبصفثف فجاخذوصغخش حديميجيكتح تعححديرذهك روزدططتسقخ 
ضجظهجنولضض ذصشاحطحضصن ذتسضثخاضحن لذنليتغجشح غهويحزذرهو يمارغغلبمح صسصقبصدعكر خشضجسفعوتظ فظفعككجطغا ههاسكحدطزغ 
رنهثثسثصاض زجخظغكغتطم لفيذدحكدثم باسشزلتتكع مككاخشزذبف ليدوحفوخزح نينشستححفذ حجذسزقثقظج ضيجخكعخقضص ثشظسصيتعتج 
فذغفقظسثهم شححثاصبخاب قجيثزبطتقا ذصفمعغنضغل رسطصمشنزخظ فتكصزيطظصع ققجغرذحلظص اكعننذذسفم دعجقديفلفب غعانعفضدكن 
