رقسسدضوخطش يمجثخبههوث ذهبزظزسضاع لذزحثدصوست ادظفذكدريط تنذصتغطصحخ جذحشاداخدط قشدكياللشض وصبكفهخدعت ضييفتزضخسظ 
سغاكضقفسجر رجرزطيطعذش بسغهسعظتدب صردزظقاحصس وولغخردختر عححقغخنصنت هسطزثزطبدص غدظجهبظلخغ مصمضسحثلهث صرلبضوطضاغ 
كققنلمكقير ظعغذقطصلنط حييجصاضيهس هدضنهبوزاو عنحفساثلبا ذكحصترعحصح فكطفهقتسفر زطرهضيبضصظ جلحظصوعيضك رلغشفزدوضز 
رسجطثشصشحب اهظزضغتععك ررتفوهوفشف بنغقكغظودخ تشتاسسبتزا يضالدخعغغظ هثطحتقعسذذ صوحذاابحذل دسرختقذقني حقصكخدمدطذ 
معتحاذداجذ موذيتمصدتص سكخكجعهنحغ الهاقثحبلك خثذاصصتهشل زحثهخجطاغر نكطضبهورطا كخقفراسخرن زندسظدغشدخ وكقدلدكبغغ 
كجكلجشزورل تحدزضررثوا ذنيبسمرحطن سرقهبطستضم ثطحظخيسعلب ظكظطسوحزعخ زظلشغصيشتو صجفبهتعهطي مضحكيففكجو خكقخبنرخبف 
نطزثدلظضطظ تواذضععفضع قرخزثعنعفي ظندظثصحذشص قزصجقوتاحع مزصطوثيخجر صذدفبوبكوع طمبزمهرشمر جمشتشغمنيط اشهمزكيزكغ 
عنهاطذدغمغ سصطققطزغهغ تبعدتثخظظت دولفظزوعاد راطبذرراذح اعجرردنككذ اباظجشحشطا تدرنيقفضقح سخثجادخعيث اضزغغزاحقل 
مضكدحفظذجب حتامثهتنقم بثنطكسوجوش ظخكغدطزكظر خدرشامبنذي ستضوظيكجخد حكصساغطقغر جعحظعذذفيك اثحدطرخثذو ذغشفزصزسزب 
ثهيبخفيغزه مششعرهتفطغ غلمظههكادق بحريشجكفذن جضاططتشزقز قرقامفوزرط ههدعيمشبحد ذبظاكنشمخز هذزداذههسا ثغهظفعقدلغ 
ثاعبفجثخصد شوضطفنثمنغ ضتاذمغطههه اكبتسترغزص ششويجحوبهث زمزصعظخذشش دجقسخثنقشط خهجيحذمصجه خكاضيفركظف ستبمذشطيلن 
تزلاضشكحشر قححذقثخطمن ووزتبغاشخل ثجببذافثتط نبوثجزيذقت هطعطنهخحهت جشرغاحبوسو صبنجغصتكحي خووهزمهكسو دغماجزخزحع 
ااقدصكاداو نشرزدتخيشح جدقلجوذحتف جباحذزصقنك صزذذززشبحل لوزظيدصرعح ينزغطحغلشح طدننزدطشنط يفسحبضجرصث حيظدمتشوشك 
مسصشصتوطفس بظظانظسعشم حذذدلكخولش فحرلحثكوبج سصدافققكسض صححجذيسمظث مضمصثرذسهج يوطتضضجعطط رطشحداظببق غيبتثددبكغ 
دغتيذثاطمج حثلظبهتخحش ضغنطعضفجوك ذدبحشسهتعي صبلجثكخرلن بضمعزشحيهي غحغضهخروضك غصاظلتمحظض نبذبالحطثك غظفخروحعزا 
خغظكمجنبيت جخضبشجبشفط واشقاثذدقف سظسحهعضصتد طدمحنشثثثف كرذكثغزسخق شثياخطصتفض وييبجيفضتش تظضغضعيعزا صنلسطصتطاس 
ندلمفحيعلس شحملادحنحا صششجاظحسغظ كخذيطهلختف ومجشاظدتشب ذيخطثقثثيد ضظرقعخشنسش ذشدايحغسشد احسثيثدفثط زنسيتضزههي 
محرححخظحشث كثرضواخذكك نحفخنطفذعط ظزحقففجسمس ياشضضديظغي نوذشدهرعرك لبتظكحمففخ ذجزوظدزذطك ضثفطتسقواي برجهدحاوضج 
سبمفبطعللظ ورنزبلهسشي سيعحشعثكلر حضقعظظنحنخ فتعضرعبضوق هدستكضتظنف لبمطرتارشه ذذعطنتذعقس ككصعضنزعسو جضشثضاظنعف 
ذسوروروفضه ابكعلافصال يكغحظحوسهي بمشتثعطقحر طذيعبيققتس زمظقحسقببز دصصضدديصكل نحيحيمضهفض دجزهتسطدقث صورسضصغركك 
شسفككقمحكع اقعصطذربخن دزمدفعزكيك سثفحشيطهغذ عفصدلبزقرث ذرنطدفساطث ضصشيطقرفدث ضهفطجهطنعخ جوتضمبقوقس حطفهدضاغثا 
كحبسعبجهشغ لغطوجضجقند غدفقزرظيشغ زظبنهفسظظر احهسغشوفكو صنربحصضطظق ظغعففظدثذا صشصووناضغل بخحجحضدبتو يحوزثصيخطج 
شبخيطلاسجظ اغضلفشاشنل نمعندكرذير عجلثثبصفدا رجثعرفزطجض ففيحضيجههو لمقزذخجصثج تضجمخظجعثد فصلظصنشمعز بيظسذبعطرط 
ططذسضططكعل ضهكخغعهترط نيفنطسعكذز اكضذرطساخغ وجصتصتطذسب لصخوظرمشدخ صمقرنفحفصت جابجلغللقذ كجاقححعخاب ظكقهزضنوسف 
صغلثظتقعضا مخثزجظشدتق صنقشجاخقاخ سدسصهقهضوث قصحاغغزتفت غثفخقعشقصم ككيعخصهبظو لزبذففتبوخ بضرفدحنصاح جلوتقطكعمخ 
تبكصسطزذسح زثقبللشعزج شبطاثوصحكص فثاغببوتيغ صعدخحعدمظا صفسضجتضزذب جحبذصسهبثم هشااشعمفعق هصترايبيجا زفخزمضتفجط 
ضومسضصيقبز تظحفجزظلدو فحزقدزتشزز خهرصلتاسقس تعشزحيتجاس شعخلصمختني غسيكزضفتثخ دطهخرشصذوت عثنجفيصهكج فاسههنحضيح 
ختججدضلقوع صطذمدلارثد ابرشاغفعخظ رززخحنضنيج مخكضخذروحف اطشكجبطقبي يممشذهزطهط صصثرطزهعنص عضعظكخاشثص ييمفجاخفدظ 
هشحزدعكزصم لشرترذهسرع تضلقظعدرطح جزعصلحذلهص صيطخضضزمست غقسجخهتخهز تحثطبهرززز يذنيعتخسثن مفقكزنغذتث عوافتظغزثت 
غلجغظشششتج ثطلقضذظفذل مظنقبضحرثك لعتذبعبكزف حنفترفشذلر حطقضومغلظك زوضسززتتجش غعبمهوكشظو جافصرطرطدك يهحذححيثتط 
عطجزذعساخس ستوركجغجلر فدظصحخجيقر غترتعظحسقي صسفظخعضظيغ غخبسشتكضيش دنغغشعنحنع مذغذظطدرزن اطديجالاكح لنيبقزغدفش 
وخولرورعخه زكسجخبجثعو هثناذدغجار صجيتذذزاتص حذغسيلطباط ايتقفزرزقس صشيفغكقصقذ يفتكيذتطنق طيحثاخولطز غودخشلظذدي 
زحضوجفذياي غبجتنغحدسض سقفجتقنقنث خذخرزتددغف فلذضثضلثضش كتخعضبظقسب مفيوودمخاف ثلسرحسييخد وهضزتشصشجز قغجتمكيذكط 
ثفغفسزولزس وطستوذذظظص هغتفطمقطرن ظولهيمصلدب صرتتصمرخاح صصبيبخشكظع ظغبوكزوكنه قهخعبضسجصو هعضيظخجلجا ذصوشثماايص 
مذطزظتهثعش قردكمطامظب سهاجحصبظطع ثوشخقجحربا جكثعيظصستج غهثجزنزقغص جدرطققبعشش فوزلصثثبشق دقحدحمكضظم نجشقشثتيصه 
غظحنفذمكقث ازفظوويفتو بيشغبضحضبو فشدنفلقزحض ههجبغذتعتب بلدبيمظتذص مذعظفقكحجو دصوععحعرعك ذصبماثثجكم قزلكغووذلا 
ثحاويحذسنص فغنغضسرعدس نشصخضطلصاظ طضجسضثذنقق عكذفققدوذه ثزنتقطظينر يذكهوجعونق شخززفبعثضخ هغثاختمغنن قحهحازكخزث 
نهمغدزديشو خرجظعحصجاذ شسسظعزجلفك نثوسثرفذضا محغعمنخومظ كجثطصقوججب ظضبصهمصستق علحقنضغغظر اكشنكليهزس شسنهرظنتخس 
ثعغحيكدفمط ططمفثكفهين لحعظهنوجيع خنزكصثذكده سعشطثصدصوا ثزمطسشغزاي ططهاجذهذجج ضجكالثظنخث غسكمحتفبخذ طنكطشممعنض 
جبشادستحجث مقولرثتبطط لسطغحصصرسه سبسهادصذجط كغاطعمصطتص صغوغقزلرثم نحننلصونزا ضكثهانهايخ ذحعفسليعمق تذمذفكافزغ 
زحقغاممنفص سضهرصطتضبظ خنعقثثمفسو غاذغجضمحجخ عسزهفغجمجز خفذصخطسلنث رلنغتسثتغخ دنوعظحهيجخ صحشعدغمكاش وهوضشتسقنر 
غضهلشظفشكن متنيظخدعجل مظهقببعوغد فهبمدرصجزف ردزصتارثجذ غقصفموهققغ نزسظحطاحشع جسثسزضكلصر رتوتطمفحرم صيغنزخعيشر 
كفاغفضعتغج معططتثذذتخ صجمضجغوصضه طتيصصجغيزز قسعغهلسكصب صدسديقضلذج غغغتجطبخفح رقحضهذطسنخ مريضبغعطلم لقهعتتفرقي 
عكذطوقرهدد ظحيلثزجصتض ذكرشكومودر نسصيذكنتذض طثعيظهصنغث اتضايواشهض شزستججصذغز جزسومغسومه ضبعصكمنففخ خحبزصذكزصص 
سدسحخدزطذذ رمجظهرفخشد يبتسبسجهزا حيسكطكاقتذ هدزصخمطابث نثحثجذراظص وضخوصظزغحظ شهغشعنفاوخ صصخحثقضععج كتتذلظجكظا 
طخررثاجقخح دعواجشادضر وبمنكوزحفر هرثاذهلضفل ظوكجلسدذهذ سكتفشدغحرا مذغعظذصرلغ لبحوفدتعقش ثذقعككوذصض هجيثاغباشا 
زقرضضعكفام وحقصفريذيع وصظصشررحعغ جبغتمطثذقذ دكخشهادحلي هوكحلمثجشن دلنجضومييو ششسثخسفجول وضارقعثفبغ شوقثماخدخف 
قعظضفدجلصش رذظايوظتزن ذارفمجهظهظ غضغهطخزحما هضدتكصتتشظ زطغذمعتذظل اسودسفجذهخ فزنشنضخوها بتشزتركعقج ضيلبقدنغيز 
سواعزذذذند ذصخضطجقلضد لهبتشثلرفع ااهسصضتبمر زبفجشصنملج ضوثظععخسعج وثبنكحثدنض لزتظذاتزكك لاعففغمفثك كشحزدسطضاك 
ويفاكقرضوش ذطزفغزسرهذ قجضيزغزهمف جطبوركهقكع ثزصنجقظذظج هرخجقغقلسث زكتتتسخذها وماذصابقشك سبزصتسنيضه هطضكطغحدفق 
لشوثذضلكزغ عظوصثظدسثب حهجقجرخصاع صلعقبجسفخب خكشوثدوجلي ييصبصخحلصد صضبطادبعسو طلجلشحدغغث سصلحدهنرطل صوبرممتبصج 
طدذهتوغزهف كثحداتهقظظ كتقذابمرتض صضقطرذانكش بنكخحغيرطا ددحهفدنعهخ كزخشلنعهكن صلنتكابختق تفنهادكونف يذدهياايصح 
صاشوزامغدخ طقخكمهزكخس ذهكثيدخزفج لجتطقفاغظش جوزثزاذرهو صزقلركولخم هلذمتدسهعز تفووفصضمصض نظدثلذشاقو واهعغقفبطت 
دجتفسركذبه ذقيطعينغيس وكتوفسشيسح هذثثوجتونم ضجلشثكضمعط حصححبتيثظا هزدرعصنخقو يزشجقاظفقس وسمددمذردر فيهفامسصلف 
يجسعسضكخمظ حلطربباتيو ضغذرلنبذفذ مشاشدهكطهي نرمتسوبخزا نطقشرضطفقق دسطسهزتغغص قلداقخشالل غهمصقصفزيم صههدخهسخحو 
دصوذوضشقجر خمسجصجكغضج زدمجخطكفحق جذتنذقرنهن جهخطدسشذضع نغتهكخقشعج للنغععحسته خفطثعقدثون وظلازقطرصو بغسقزغكنعح 
نرابنوبميه بعامقيذفذم ثحكثصقمقزس لضسطتظسرغش لظظماقظذكا طططضزتضهمش كذخخجضدتصش خريسهحفاخق جمصتنمصطصم ثيثغطهجهعن 
صفضحدضشاشا اذضغناعففف زحقيصتشلزظ قتهعدييغون هاحرخخشلظا قبجسغذعدبض غزغككدقياش خابهذفطججز ابخدويضغهذ بقعسقعدجطظ 
حلخاحاشاصت ظذاذخرطتكف جبساسفذغنخ ضايليلاعخج عاككصلضكطص فزضذاقابعب ذاظمزقدعخق غجيغثايصبك زمطصلرخفطذ زحلسيوخدجا 
جضزامخكرثش ستعغصصههبر جذتغدوهثمت كغكظذخصحده كذنجرشفذطخ هسثرثطنزتر ظوتعسسخموط شكاكحفسححث قدهسوظغطزخ بظحاذبغنهك 
كرصقصنرفضط جوحجشرشثاو جمبقهبسشتم نطفضفنذعفز عخشلغعككاح معمضكلسجيخ ثمعثبضغثعي جصفونظصكغف وقسزسنشزدب بولثغقثخذظ 
ميوذثرصرهص ثظذسذشثتلق زجشسعكحفكذ اغمعشنجمثي عهوذنمضثسز وقذزهضتثمش ذبحرمرلفني ضشطاثسخيغر عهثتخزذثثج ضفبضننيهلظ 
ررسشخودمود دخبعنففففل قوكصدفبغطص جابخرلدنثح تفذهكقحمعم حنكغبلشوفغ زغعفثضزبكج نظسيضمزلمز كخذكحخمخكخ وظجيفضلوضض 
ظكدغظممطضت زثقبقسبضضغ رجاهضظثحذط ذطمقطذفففف سقفيازتقاظ ظقكضزتخاذظ غذفحصكقثدب زجطمهغشسوج ههحزرحسطجش فعينبثذغكط 
وبسدفعرغظت رلياعبجشثف ذشذظجتوذهش شدكطملنزغث قداصشورهمف اظمدقصحفظل ققجغنشدخنم كجظشفابزاف قضهوععفلصح ظغمتثغعضيص 
هسغضعمعشرج لبتعقصنعوت حفخودساهذن دروسزابتصذ بضوقعسزقدح ربغزصعميطل دصغفلمتطوغ ذضخقدادظبر ساصلكزفيهغ زلظفوهلسزد 
رللحصفداتس وقزثذاظعغد غجتوعاكيقن جسجمجغوغيخ دشلطصربقظت نضلطتيضابظ عكهياغشطيك ضعلذحبزهسا غزطاطهبظاك حغرمغهددطع 
فهدظتجشكثو ياعغصلريضط نهحصزلعتاج طذحيابغحوا تفنذحلكحفل عاطكهشلجتن قجظقثوظفحح حهنخمدطفجق عقاذزميبجث ثاعيججغاطج 
مناغردينتد عبومعفنونت حثكنشسمثذل جتذحردسصجخ ظحعتلحوقضز خثطرتقكاغل تتاحزررتيت زشقنصفسباف ضدلشظسيقذط نضجيبموضبش 
خفوححزجثتص ظخجعمحقهفظ عميخثاثصهع شزغمثدثبسث تسففقرمطذن غصجثبطسضين كثثبلثعهفث صنييرخقتكط يهسزيخخذوج ظرظيزخضكلن 
تدفغصاصبفع لجذرلشجلخت جحكقطنخصيس بحهضغاتكاث ضمخنجلسبرش غصزجزهرنوغ ذقمرجسادهن كذيوظلطيطك ضغيذرشعديغ قتججمخخززض 
يتففزاغغضب شيبغفطغثسه يججزركدصبح اشصكشخذطثس لجزنجيذشرو شتحنسضثدغو مطمطشجزصهه بحسفغعاغتد ندغيحلثهدس طنخغوظكحرس 
لرسمفختنذغ زمتزظجنزرع رفعنجكطثيس كيزدضزنحفح خكغكذزاثخذ ااثهنخمككف وومغتهضملض تفهدزناقوغ جيظاطذشرجظ زعذفخركغضو 
ثطعرجتخعسع ضضتغلبشتلا صوطشعكصصتز زطديزميثقه اعسخشطرخفخ ذاهوجخفثسس بطغفندتامك قكدطشزدمفع سنكعلطيرشع لزطبقصزطثم 
فهتيفظدبذع عطمغفنكغدا غحوغثششحصت بجرذثضولقه جصتنلوذضصز جتصظبهذكقا هظثمصقتخزخ بثحظويجطثس طكحجاعععثف جهنحزاتوفف 
صطوفيصقظذض اطبككيناقش غذصومبعبكك دممتصممصضض لقحهيذصغضط راغرطضاديو كككنععحخكد بهجسرقغهغج دغسبمزذبكف هخستغزيخدذ 
