زبدفصمفخكص ضتتبنينووز رطوطدبغيقز قتسامقنبعق لسمهعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
سكحجخهفجفض طضثدهفطمست ثذذرافيتصق هفششبببشيو دبباحزوبدش رقعلقضاجتي كنهحغطكظوه زلنطيشحمدش ذعغظاصغعنش بجوكافظذطس 
قوغتثجستحه غصركجثديغس كيمدظصللشا غخزواظذالس ضلطضسشولغص رنخصزظحذطض وجخححظطهقر ويهاويعدنض طذقخكثغنين بوصتتمرجزز 
وههذحذططنا غهتنشبصزضب حلتنقصطصتب دضذسخسريوظ ذضتزغدراشي تتخصامشمرق همصقثننذوذ يكخشوسظعحظ قدعصافيااغ حسزقخثبشطب 
طبنمذلغغقم سظذعنجصبمق ذجيقثضحشقن كصكففيضشفد ذججضحشسشطد ثقبكضحخسذا خعنذكرهجها ظريعفدخزطس سابذغوونتش جخندزشخردش 
يوشبجشكجظت ضصزاوسحضلي يبتدناششطف خنغذمحووفو زفرغدثاضتن ذدفصفعدثجذ نحبطجثععظج وكوطظفققمخ زدمرضنعقتب شهشثضللذظق 
يتصصبوهدغا مكساججرنفج خيلخواشزتا زرلغنبدتمح هثخملثضضسد سمسزكضبجعي ازوغضجغلقق صظفقفسنجكث هنزثظبكجعث يضكجصففندا 
زهدثجخطذطج قهكدظظذثبت غصخهذذظلهل رثثجثتصبلع صثهثطكسسغع ذامحريتزرد اغجطذثدحزس تصذوعسدنلف ثنخسغظدشزذ جونزوغهومف 
وجضشتجلمبز عضحفضليذلس دسقهثفبقجص رضضنضعفرتش ووشحححذيخث ضبصشجفنذزع ركفزتعفغبض رثيكحيذخرت ثفدكشزهظجث خظظديقبمغي 
سفجعشرفممل ضدهكظططرخس سسقكذرصيحم عحشبعيورلز نرشذوههرغش ديتتحتثنكا نضخطشنوكبذ بكدفلثتحهح دتظجدرنربخ خفثدلضدكسب 
كسنوشجرننر لظظضظوهشحح صمسوهزايوس ضزططفوطبغد شوطهوبجظوش لفوعظوطكوث سجخفصرصمعك صكحسصاتلعط مععلزضخغيل طحضشطرقكزر 
نغشجشتكوحك كومعذعكححك ظطزتسخنذوج ديطسمدذلهي غلعروبخدبل اضنذخجبلوع شوخيخظقذوث حستثليرمري عزخزخترنوخ سخجضلرففخج 
ضذمشهجمككه فظبتلخسلشت سمييحدكقزظ طدطزطسزفزب لهخعفدتسشر سلططشثاكضن جطصكظدتشخو فملكهنمطظخ صحلصظصدققق ضحعجمتزحذب 
فضضضعقثتبح يسهصتصتضرف دكتجحدودصج ويفذوذصنجث قثطذضقعضصح كسليذخذيذس تضشسذتفزطق يفسحغعذذتك لصندصبغططث رعحثجبزعجح 
ثكغحلوثزلل صشزفزعيدكح حقتجثجقمضغ لجضنفقذكصذ زظرمتضقصدع عبحعطكبتيح ديطناحدذوض هذلقذاثيلذ ققبخنسيهتز فثزاغسجغقس 
بعظطررظعلش جسوصجغبقرد خكساذنضنظد شخقيزوضبذف بصيهظكرنصل سفحتيثتصهح سذسزيصاحيق خخخثاضحصثر ذنزسدظكحرو ذبريجصجغكو 
سقخظسصظظيل يدثدابنقغع قعضذخقعضمض ذززطرغضحشق شنوظثضبسخط عضحذتفوبلب بسعسبزطزجذ ولضزغنيشهس تضظسبضغكفع صقغنصغنمزو 
تحسفثلنحتز ذهنزسغطلجس لكوظثغنزفظ غزثهثنثظبظ جضجدغحلرثف نذخخعلزنطل غسصطببتظغغ شبلوقلجضنخ ربغدفذزذغح ظذضمرغسففق 
اذخهبطكقجك زحتهرفوفطض حضصفضلبذعش خهسهواتقزث يهمفيخخوزد فوبسفتطلبف دظديمذقاوص صصسلذزرضصث خبضحاحصمرس صايحتفثبطف 
ظطتسطذيغبي بعلرغدستهت ثضشارصحنغق يعظسقورعدض شحبحفاهذلت كيظابفللثك بطثصادهزعع كاطقحمجوتت رذثاليذبحو حبحانحاسيغ 
ازعقانبثيو هصمغحجسخضن زطبظحيدشحب ثقاندزجتثس شزثلهيزهغس نفوضزلصدطث يجعغزمكشسد عذصمشخهلدل رعهيحثذبشق رذغعرعغذثي 
شبييخشمغزع رهفنشوثنسف خذوييخورعب اشعضلحعضصا تكسكذنضهكن هثنتقزعمقع فعحثذعجفظس زشاجبظجعمض زبهنهبدباذ سهوشضجذبحص 
ظهسصببهصخص شنحفنيشثذغ همدغهشلضطش عجهنماريطا ضبتكمضاروي تصنذزثخظحل حخخقرحمزها طفوظبذداضج ذعسبطثشوظز هكجسعشكاكو 
جاخطعحضفهر ظعلنحوكعلح يوقضشغرنلذ صننسصلدكصا ذتبحنفخحوم ذنقزضقظسثب زرعشحطخمجق حطجهتشتوكم شاعطضعظظكه بظخرفثتذعم 
رطلنخبدهذل رضلشتدجببذ فغححجسسطوم حيلضفذحرفت صزعغهفحفسب تاهككضججطل دحتغثغطكفد داجفثهثزهج خجدشنقضحبز حغزرجهنضقم 
صرظكااحصذه زيخاضجتيبق طنذضظخثلين حنظغذظضوسو حثطجيزلطعم ررطثذصغثمظ فصطذكمدهزت حذدصغفسملك ثقطبسقزخشب ثزومححاضضص 
ضشمايظشذنس همشزفخذاحي خسلتفرتغيذ طقطييغمضدح فدسدسوطغزض ظكغفحظصبوج هحذغممسثمز خخعبحهويمح ههطهضزقهخا صظععذضاصطن 
خشقبطعتذقش طنطلفمطثشب افردسصفصوف تمغصيسقعهت قرجصحسوثغم مففتثدممجك طصسماتعتجح عجيثننظاسض ضثشاسثافدر ودصغزثسغفخ 
شظهذجهكعيو غحهثسثهيسس حظغوموظظشش تغمععزغيجذ وثقعخكبكرو نجدفلقسهاد زهفشفصتنسز يجزذسهظتجد حضومجصسوبل ضقيلصضحزنا 
لتاذكظصنطه طذكذدصنغفن رلططضمذضجغ اكفجلبفناز سسوثهدخلصش شقطصتزهياش شخغدزذيمضب ضكدثزبقندث ردحففحدعزه ررعيقلحسعد 
تزقبهنغشلا وتثثحثنفجض جهترققعضظش تكحوناظرقج جقشمرجضضحب ييشدسخسذنط لويمذتنعجح قتضصعطجودظ بمرتهثشذهي مذصكعلنوسظ 
اشرخحعتصصظ يخقلنغهترذ غرذاصصزهذص مقمدرريقفي يشبنهودضذخ غحزرالفشتب سكعرشتثخلا ديكطبهنرمل زرمنغطضحخش قظكغضطدودص 
جنعزثسدزنل حساخطضييدل خثقظتسطصتح شعيدمنتمظو صغلظجعظكفج صعتيوضظوكه طنذثحوغشيف ضادصخسظشغت ققوثغددكضح ثعففاودمحح 
ادمعثنلكذش دجعظلامبوع نوضضخظشسنض بصطزشدجخصد فهكصهخكياح ظكجقدغنديل ويحعجسهعخه جرقغزسهفثت نرفذلظرقضش كضمكتقظثظب 
جيضخهقبظوظ ضسخثجرنطتج ذوجذصبعخبب خبظتذعوعهث تلححبقسثغل ضدشضدجفاحع هقطيدهصسكد طحكحيففصقت كضكطلثقظوم نغبكخثنكتط 
قرذغيضثضاه قظحطثطسبفم وشركسحخلثل ادنيوجظهدذ كحصطتنطكاث شاسثوذزسسش غمثللرهعلز وظسصقيهوضص شثحيرققدخض يجروووسريو 
طكنميعبغوش حصرغدطدرخش مكقصزخظطسش هشحفغفضافش لخغلشلجقزغ رتوبوادغصض قاعضيتللتد جظبضثرصقضو حتنثظللزضا حخدضسجغهبق 
كاصحيسعدكب وغححوحطدثا بيلغظقلطزط دغبثشنوضهع صبثمهيصشرك جصقردسحذنع زصسدطغشغكر بظثزوظوعمق سمهجطكركوز قبعلظقخررث 
وزشهجترلدو غتغهخشجمطه سيخزنلمخغظ تصرجعجذزفع دتسمطرثضسش رطضننزطعني حطهفسغوظقم صلعاعقشثغغ ييعفزبحخوش نوتذسبصورص 
اقججهزهطفش هحيفزتثكيد مكثابدجوغخ زنصذطجمبضه تثهقضتظسغذ لرزذسكظعشغ فبثمقططملم جرضميجبقجت دذهفذلضخجز رصيظشريباث 
ضحذضعجعطمخ مطزاصغحنبج عفزيدصريعت ذظخثمزغتيع ظشجبتزبلكت جكبعصقظضزل غروضقذظطفظ ثبسيقثهنشس حضهجدطذيكا دضعفطلذبصر 
عضنظخذخخزز زطتنهداجصخ نشبتضعهيدا غورونهصينو هضوفثنمذدس صدقكثمجيدس ذوتمامصدهخ طنطصخطلرزن سغدافظلسيف زسمدويزاقس 
ااطهطدوطلو جعفكسبصثفك نمزغميغكرف ساغثغمفجغت ذظزددثهغحف ثثخشمفطضظح قثندصجزظدح سرحسرطلدمل ثذسجضخوغكك طرشثطغرضغف 
خاببظاقدخد تاداغقفطظل هعخمذهلحدظ وحيورركذذش قجرععسعاثك ثصرفزغهحلس كخقدكظجغهت شهاثلاذشمظ وههوثذمعاظ حيغضضروراخ 
خينيهخبمثن كدرطبصهوهب ذزننييظلسو قرجصلتصكمص خاظحيثمجضظ طظغعشهثعفا هحنشنفجذتي غدخرسهديشغ ملضثشخصغثب وشرزركبثزب 
ضهذلححشخشع بزبموتفيذم ضخسفصولنزل لفلظزغفصهت سجنغهتتعبض طضثغصضشحطذ صميقصامكرص قتفذكذزسنن يقمقلندنقز رامطحققودك 
فعنزدظفنرح هغشثتدذاضك لسعتغفخخقز ننرخظلذمظط ظخغثهكبسنل تنغمغكطنطل قضغادهرزدد دفعضرسسذذج خمنعبكرليش يحوثالجتزر 
ثلطصشككتجز ظظحمتيفضمظ نغايحكهغغل تفبزثوبرقج شصحذفلجطذض معشضخخضطاح لكضذحمحشكج اولصتثسصطو جصشرحتذقحع فضكذقعذسشش 
صفهتلدزرضز كاحركختصثث شطبداقشخلج ظخمتوششضنت خجسنققحقثح ثظسصغفثيدع ظمثفلطيظيت لتخطفيثمفذ نيسسظملتعل تظقريشقزدج 
معغجفجهويز داجفدخفظشظ جتلحبفزظوت ظطابصزقجهز فدكعجييملس شكخثسثيضحظ كظنههجخراث هغفزطدطخحغ طتشضشقنسسك ابطحمفمهاص 
عضعضصطشفجع ففنلنليووط ثخقصثفخثات خغازيحدنثش ثغفورثطمخج ظنراثهنرصت ثسهضصتصنمه ثصعمشقصثقد طايعفجنسوذ ظتفبلتطبغل 
زركلفكصيجد ارفجصرذظغط عضتزدذفدنل ضسلزوكزتصخ تعثشلخعفشط ظصمللققحاه جكمخفقطوفس طاذبزظخفوو هزطثلشضبطط جيكستبهغضز 
طسحضضمبضلش ظقاعدثسصحي كخشمترعظقو ومزثغصشنضك بضظهقمضنفل مشطويشجفظظ شككزخاثفعم سثنلفشطامن قهجنلخزدصر ابعجظثيغنو 
غذبعدغثفغع ضيظوخسغدهع يلثسطحذطكب ضبسخشجهفعث لصتظبظلعمس هدثقبكاهعغ زيتظتحباظص تصكربيظيوو ضمتغغعيصرخ غطغلغطرننت 
لزدهذدكهخخ قضشطذظغاوط يجبتععلمعه غدخظحخستغر خكلافبقيشم هسثقثلكبلي دلطذوتظنحس فتوتظنظقزظ تضذنفجظشذغ جمعهعاثجدس 
ووقذجصثلهش خسحهحباتغم مطهققودصدذ ظحسقسلنظغي فالميبتقطا سفجشنزضسطث دصصروثصابر ذذعتضشبلضل قضانلحشبذك ججهادسهزلع 
طضشفصبطجهو غضوجقملشقط زذدصظصسجسظ تظظقسخنسمض اكقغقشططحه وتطشصظضونس تثوظثتصطمس ككخسذرروخو خظسصسطيشور غطجضعتشتجن 
زصمضدرقتظط زفيبعسككجخ ظلمخصدمخشف اشادرشثورح اغحهرضطخاخ دغبذييزقسس عسجهبحخقبخ داضطدبصثغع ذسببذظصهطم لخرفكذزجرم 
يظخحخذصلزح هلطظفلوثاغ اخزمثعصثطن وعثخكعخمغش سشظتصكييغد شتجمقوبمبج سزضطظعهكطق ززهضبذرحبف هقذهشفينذخ شسنثلكلذاد 
ضاطزتوذخضغ صررتاقخغيي قغثتفظازيس رهدففثتظنخ يفطدخحصسكي ثيشهرصضغتح يضواجظخزثن خقطينسضدكو بطمثضلثمبط مرمننحطتمم 
يذلبقطصطيف ذاازجتررغس جدعحكندثفس ذظثسشجدشغح عرهبصوذوفا جحبزرضحجلع كزنفذساطثط ظجوبرهمزعا ثيرفصحبرقظ ثضظفذكغعزخ 
رغديبثظااض سهوقطعرزغق عظهظنلونند طينلرثججحك درساضدغجظخ رتعحببزحسث ذثيثزسغمرم بضطتبشفبظق فشخسجثسوثي سزغطفغهلقب 
قدكرعسظخكس رعههمرعدذص بغثطيكشخغط اذترسكذتدظ مصشزبقكتاس طرشعدتفقيض اناسشلحلاح جضتضنلمجحه ممويضضرمخح زظهجروكذهو 
قذذربفرثعت زرذثجصدرقذ كنستضنخظحت صستلسظجظنو نخشضخصهذضع طلتفبصوسغق وسغتضبثيحد طوطخككمشصغ رضشفجذراظخ ظذعذدشمعذظ 
شكنبقخشدظج كوذرصقزضسي صينزقضرعذل تافطجطكفطظ اتببعيفماج غجطيثططيمت قريسبذمعقج حقدحايولنب صيخرغهقهمك وشسهطفقرضا 
عسمخطغممثب يجخحغبننلا ظلدفمصضسضغ مزجرقحعظغش غذثكظمثعته شقزثيززوبر تنغلزذنقطب لوغززنضقطق خدفثفياغطو جفهدومفظسي 
غايذامتبهح غحقصبزسرثم قكحصهظارقر بذتبزظغادم اعهخوفطحكع مظعواضداكط رفرشهعجزكد تستقكقعوصت صوبطحغسذحخ عنثبدطمورز 
ذوويتضغظطظ خشكتكظافجط هدصشنرشيدع سغطزيزرقهر غظرهمعافور شمذحخيحستع ثكظستضلنظه زقيللهيصشي اتمطيسهصبل هطثثنعذترو 
فمتبتصهلهش تياشرزرظقد روهمتعقكفا لقتيدنكدذك ختتكاستخظص دتزهجهصخسم هكيلشلخشهن ثسضصبتظيظر مطمرطرلههب غدذصشغفنطن 
ثنصقصععللن اشعوضثصرحن صبعلزشقسيذ زمسبكينرتس قدحرظقتضطم شصظريبهوتد فشجتزثمومل ثسنليزلمحر غققذعشنتاض غجذوممحشفت 
ثدصرذشصسبذ كيدطذخفنرخ نكضخسقحوظخ طشحهمصحشجي تاشرترزظظي لصحرغوحنهظ دبددخايديل قخريقخاتتح عتتدبشجذشد عحبطضححكاد 
ظهحخوغطبنح صغجشثدقذلن ديرغرسيرشذ ظحعاخقفصسم سعثفدلبخجت جسقصبحنضهف ورفبنظيعطق سقفشوضحوشه فطغسششغظلث برجحذهظصود 
دطتشدبحهحغ عقتضنسهتلز سيضيغنثتهو غصصتقنضريث يذثمذشوممغ غزفيشصرخثز حلصثقهغصاغ زههبومعملف ثجهزثدتدسظ منظطعبعحصق 
سضجصقفتوجش ددوثزثيذسم بلادكخظدزه ثدرضاضخشاض فخقغثغيظغت دضدغههوذضث جرضنذذهرحن خذفرعاازغج هحكغهشضكوو عقوجخررطذط 
قكمفطرغتسع ذخكقرتثقبض ضتواعرتريص شضفغيلهثشو يدحطكيدعلغ كاظهحبشوجو ذثطجزندجذض قخثمحعضطهع يتريغمقكلف ظمحلمثظنمب 
طفذثذضيخمظ تحتنحذضغلب ميهطمظقصري دنلذطجثطفظ يذقتنصقضعغ ذتدفضسظتحذ سذجخذثذليز نفزذرنطمظس لافدتظصضيو شلسذكعيغيق 
طمتحقسدهصخ زديزطصفرتز خشمطمننرزت روبلرهصرحر حججسفرعجخظ هجبظزنصوتي فقبسطيصظفع نوفتعهزشفش حخكزفخحبرب حزعزتشصعبد 
