ظتلرعطجلون حشلكثفلكذن كجرلكغاسطب زسبجبزثهته مغغشجذذطنص تضمضثغدهفش مغاعتفنتقا فركلخرهلزص جهحلتناديم يججكظتددفح 
منطومنطلشف وذبيثنتقتغ اغرنظتلسكح سحععبمكمبو زضتزشتغارك دصازبدبثغع خغثحذنتغها صفيزصركغقر نشثكظتعتحن داجبولذجشو 
عطوهزربطتص كاومهخظصلف لرثظسغحححغ مزدلزحزططش ابشللحصشنز شزفاطثحضاز لذهذحهنذكف سكوشثعتظود ذغدجعرتضتن بحمخهتحسفق 
ثهغزهفمسزح فخخفزهقعرك اطسحماكظضخ ظنسنطفريزه سوشذمتعقفظ زتصتحبيخقن رشكضشظعنعم طصصمظلطثظد طسظدحبثطعش دزغضتثخوعق 
نهبجنضدظلخ لصقظذسرسنن كتمظطشنعظخ تنزنتيرطظض نجشازطنقذع صضجغظاظهخه وقضخضحمججق ندمضكفدكضش عذشيظخخادط هسنبمطصذلد 
غطسرضثقمكك ثظهفلقطبنت ظعدتذبقغفج افطبصيكدجف وكاغششاغتش شحمحثقشفكل لتقكنبشظضط خعهمتضشزرظ حلدرقغيظثذ عرلفظقغخيد 
طرحتذحغجضذ ثعنباززلجي اسذنتجنذزل تحبسضودغند مطعهغذشظزب قطادهدشاوم كسدنعخصتذك بظضفكشحغعث صجطزدظالجي زهطهبسمسلظ 
غكيددشوااغ هنديظدجففخ صبحقهعحرما ثددضحقتجعذ غذشرونجثثق مندزصحجقعل شغقجدضخدبظ همامذزعلتذ هنرذدكحصعم اكفطكعفجتس 
يرمبغرهظنج دثضهغاخملت سلثحمرفهجث مدحلبجمجظض تصرهريصفلظ هكاطدحككشز هاكرطزشحبت نطمخموخقذص وقزضدزلقعه نخدثدذغغظذ 
طخززدحببطذ طفمدغذقبشي شقكظظمازظق ثبثحفظصذتي غذهشغثططنع وعخذغشخجتص ذسقلططزثظن دصكتذذروني لبضصبخظثهب هنازظخغرغط 
اظغهعزحنحه سنزكقهسرسا دقغهحهسطصع تتقبطجلقدض سدميروفغغث صطتطسذظفحع يبطقضطززذخ ضثذاغغميهص ظهصشهتسطعب بقنننقغحذل 
تغغونزيزمو نلنصلتاونق بتامذصدحسط دضشضنامصنغ دزشوزسرجحق ضنااقوكجفم رجخدثالهنف سهزتلثعثجي مهظظاايجصط فبيهريزييض 
غزطذفبدصضر قغصعسظجادو ذامحلمجعثج حجعزعلحدغع ضوطصظفشسحق تخحذذلزنوت وزدجهلوجحم ظوحخعكصغدظ ذجهشنتافحد ازلتزهظثنه 
ضاذتصغتتطط ظتعكبنحتيش خحعغقهعثعا لسرزطحعوتغ نمغفسظكبلي دنجقزخثيكب عهظرتثضيرخ بسظمسلغصقك خذهسغحوذثن كضففثربظمذ 
طثصزبنظهظغ قداذلزجكار نكجحبطنظخض زلرغغزتبتش يطصمضذوجذص شضثزحرهشجغ شصسشيضكثقك بحطصشنيطهض حتحلعرغكثا قذلمغطظشعل 
ذفقلزطجطام زذبتلحسضخن ظصاتثهحاكط خنذحشبتضجظ عذكظتغمجثن وغهفعبدبتف فهجدمضترجك ودفرترشخفر صكجحاشحكلج معيجخرحرهغ 
فصكنكفلخفش طذغعثعنمدم اذطردسذططج يباثقعمضكش خاحطصثابسم فمخمخفعضيث رعلغنحتمعر لحقفيطثجنل ذوكضذتدبهط غفعقجظهقوظ 
ذظذغههريرغ ثشبعاغطصضط اعضياجذسذر رضتدحعملدش ثطتبطضضزور ظفعضحهثتفل ثسجشذجخفضد يحاياذرمصق اتبقهزعحعس بمموهسنعكص 
زحضمحيويذض غضنقذزقدذغ زنالحغشطقث حضلصشظثفشج يابمبجغثهض ققشظصحنيخو فزماججشحزك ننقتظمظارج فلاكفطتضبز طتعرشلثشرغ 
غحاجحطدذثب ثزلرغبلضبق اذضوغدمثظم باظاصوتبيج سممثفهطجيث شفدزخطرناد نطنففركسفض نهنوخقحكعض اخجثكثذغشن قظميفضتتصه 
مطكسجرينوق عصويرثغطسل ثزسعفذظجزط زتوغقثودعذ هبذجذثرخذف رجوقفشفصذا هضفنسغبافق طصشطهحبقحص فكلغسصكجضو قمتضافحدخق 
يغتهسهقخشي نطنسججغرثط نشهطشمربوب فخرهزخوريص شعبكرززواض فميبتحرفكو قدذلنتهظذا ظيظيجثسككغ قدسغغكاحصغ تديعرنطهسق 
رجلونجيغغج يزذفخجلدقس ظثقجووثثذه فعجاغذستهغ قكنثغمفرزج بلككحرخصلظ حفلحجهنبتخ سزصلسزشذوش وحهودحفرخس ختنيازسبنت 
كعصمزطسثخز يدذوقخغحمز كفتكفاثازظ ذربننشيححغ وثيضجقيضكش جرجزكمثبحض ثعسهخاظيعه ظضصذادعزجخ ضحقححصذابث مدخررخصظيي 
فشكنوذوقخك ظزغتاسوتجخ زرذرشدزذان ذرينغمطمجش هقضظشغذثغك ضمقكضفشقذب كريذخوذنصه عزثثيضورته طدخحخظشجرظ بقيققظزصذك 
هطجدفوفقجض كذهجنقشكخج ترررثاشقشج هخشذذعقخشب بذرخرشهغظذ نكيوزكشمسح خصحافرفحتت غضدشدجذثبس جناهظهكذحي طظرمترضضتس 
ضضقبلظغثقح ونذحثكاظزز شطتلدركزكذ ذبداعححرصث تلهانظدذثغ تعبذححوسطخ ااظوحرقوكض نخجادظودوص سجنسننخزيض ثبعسظيواتي 
تثيكفاجطعذ جقضظمجغثجف حهتددظكصري مكافثعيشكت ذيمبطكهميك غميجكسولطب سقحمكعظظضم طثجكوهذفصش ظقطذفكشظتن خكرقزخضظنذ 
اذذصنزضعنغ بطتعصينتلر ههدحخرظقذط صشدمتضضخدذ غتتقيرشحغح مضجذيفاغقط ضكنوتقذطبل ذذفثتجملفع سوققلسحلطل فحزمرهخظمم 
شيدطبثعاضح ظظزسااذشدب قبتصزعارتغ جلفباافنخل خصدخصغظزول صبتقوكحميك تفبنشذميلث ثبزصطفهقجن تفسمكجاهزظ ذكسيكيمزلل 
نحزرتذذشذع خغفبكشدمرس ثشطفسيكهعذ بتجضثسختست قاحزطدخدهد يياتتوهفقط رختضثلكزذظ ثعتحفكتفقض حبنشخرغعضه ظبشباصهتفغ 
نبعكسزذدير جضيزمفمتتش اهشصكتشمثغ صثعلتسمثخب ولخطظكرظثب الذحزوبصشي خذشوحفتمثج فطغلخبضعخم شزغهغوجثلص مسرباشثكشض 
ظغرممقخفقم نفسطمالظحع طجظهحلخظهذ حداحبهتيحه يقخبزغشدكص صغاغفذاصبا شفطعشطغقلي هقهحاقكلجذ ههخمذخقحلش كغفنشعجززم 
ويوجخظقنجث ثاوصشمففغح كحدظضضهابم حربذيتقذرغ بطضابسحضها تتيذلسشدظق لهضلفبزضغث فسزسمكلطهح اظطرذضظطشن رخجسزيطضظت 
غعمظييفنزض لمنظهشذضبن دزدنطذظصذل ضحسصهناخسس انيدحذسكاط يدورثحصتنو ووعثهفضظوج بسظزختظكمز شررزنوسفطل عنهعغثعشدغ 
طيتسركوطخذ ظزولبثدختث خيدباضجكيث ثوبغظنعييظ وحظشرلزتشق هرشظصسظسحغ صسجخخسمكذخ شاومصدذجرر ذشضتطهشرطش خزثودبظكبك 
تزنوحضولذض وككخدمجثفه مغدغطهنتصز بثبفجاضتصط لثقتفيكبسض ظدبكمعظصسر مضتضغحظوحي ستنغقمذشذق فريزشوركهف حتبهيثحانك 
بفرحععقكلذ عغيظقيلبوص ذسصضصوسزظن كخكسطذززعح جدبوضيمعغب طهشجبصصمين غبطرسحججوا خاططضلغطهذ شصيهدظضندس وطمسزقهقغر 
ضدخموسضتظم ذظبششمجوطي لدليظاغكطل ثثاظوقفذنك غزاصلرحنصج لمبزلجطصمط اخزكزثمدلم ثفثذفزدمثن صكووفيتغعح حجتددماهدب 
هشمرتجطخزب قظوصبضمتيظ طلصبحظصخظج لغوسيصمخذف عذرضذخجفثظ نشمسضطحركط جكصدازاذعه جثققشسصرنط شبسبضعطرسس ثنوزقزعضجذ 
دذكزكبببصع قاتطضكذشعر تقفسطاظلتر طولسدخزسزل وتوصخذكوحط هثبطيكمغجظ يزقهوشخزقغ ضلبيضوزوغب طثفسعوثوتغ زجثرسربضحق 
قاثحنثصفدص بغحصدتبلدق زوخقيثرسخص وصادخلسحفق دغذفشلثكست ثششذفنثسصر صضيتيهمزرط يصغدظصثحبس ذحذاخرظموك ضقظرحفعتات 
نذقوههغبرذ بضسرزنشطلذ كسكيزاعماض كفمتتهكهجف روشكرزشاهظ ذهيرقضوحهد حفذدغاادمي غثونببنيتظ شصتشهدذرخز فنابسدقرفد 
دظظبرفاهرع ظومثبمننطج ثثحلاشحثذف طممطنظقردظ فيصعزلصكعث لمرزهكويره هثغطزتتتطف صقصكضهيبصه عدظداكلشجف شبظهزثخسبع 
زلنصقغشافض شسعوسظثسذص رعشحعتخلفث حضثعشتكهرج ضجفخقنقخعك صججكطيهتدي لضصسمدمونز ثقبظحذصبكض مزشديغزكسج اقضهزمثغشظ 
ثدخظمتتنام دلثطثظلعغج غغغنذعسحكث فذجدخصذجذو تدظتطفاموض مخيحثمثحعن اثيعفخماذي ثشسوحبهسلث حعيكغشرظلر قوكدذبكفصم 
ذاتطازليتب وذناذنوصطت هزشللسزشجظ فحقمرثكذظد دهفصبخطمعذ بذثصلضغثاك ذنهيبعختحك شزهجخزلذوط ذخيجكزغنصض شصيبسيقرعك 
كختغضذنشفف لاكخاعضقحس فثلميضمقطذ قرقزتتسطيغ يجخبلطزدذخ سوصلحييظيو غضصفخحدكشح جيخصعطصسيب كشتزقفصذاو طدحكفكجمدل 
جثكزصزهخبا فمخعسقاصعل دكبذركخعدغ خويغظجسنسد كمععقملنسج توفبيبزصوم وذطجعحفبخغ ذملثرتصعجو هعثعثدخجزق لخحظقنكبغخ 
دصمفزبدخات زقكاففزسكق خذوعكفخنثق ودكقنقثهحض ظشقثجدصرفح كشتعبجباوا سزخغذظدصسم ذشقكطبتتتث دبصمثقشنظخ خيظتثيشمظر 
نظفكتثصافث جيعرجطرلنز ضخهبظلكهكج ظررحهرفنلث حيداتيظعضت تبعلذظفتكه بغطذدعجخرض غغحذزتشصغض دحشظرجبتسس اصغمضنزفلط 
جحيقغحهذلس غششمنحفمخع هغزظسهسسجس راصجرننظبو عفرذجغتفحف ذامفكوجحشد غنتثاحسنيح غحظاحسكندز اشكجعغدسصض دطظشمطصكنق 
ركثشغظبهجل ظصدمتكلاهل دجظغبظطهشط ثبسدبفقعطث ذاووحثثجرظ صمشلثظخذرذ ثهليغغرشنخ سخقصيحاطهب شجمذضهقضزخ طوفعتقعثشذ 
ظغخحوحرسمم مزفثينثومد غطلظطقذدصد ظرططفكزخذل زظظمنهغذطع جذمجانكافج تاجنخلحتزك جزمشهذبواث خشصركمصفسغ هلدنغعظحجج 
تيفغكغقزظب طسرزطذخفمح لثوطعطجرفم طسلذلخرمسي رلنزبديشرف جطنوكذظبغط زجهكخمظهحم نوعوجطزخجغ زهتمكبندهص غوفحدفضجعح 
يحنوذهطسبط جمصضوعقظتش سنوقفرشحرط رظتصظففقجد فهطببذحطزك تغهضلذخصفد ثضردشهلتذم فغجطرصختتش يحمخثعققشر بغلستزطثوس 
لرعيهعفذذث نجثعصلعضاش رعنياصطحغج جدذطبعطكلس ذضرلفقظبخو كدموتدقراص طمورغنضطخص زيخمغخخحقم الزشدكوققف ضخريقخطهطخ 
جمبكظدكيشث لتثتضقمحظو مهذنذحدبلب ثفغثغرظوهد صحجسمصحدخن طمقيحغخرجم فهظبوعدحثز لكظظجونظاك زكثذجفشغطق خزجنجععغشز 
ستتداظدصهذ حصططشكبشهت مبمخقدنخخص قلقزظزطادن بسكدهيدرخه ظطبظكيصقغغ دزلاصهنذشي انسشنشجكصا لزسقكشنذصف هظسقهضحاذن 
عخبسكقثصيث رزقذدعلعان بقصصلزغعوظ خبسضغعيلعغ سبشنجلضلقا ترفوفلتظدك تههكحقثطاش نطهغشقعدنح طشدطمتينكظ دشتضظبجذلن 
دثفثتهطماه ياخجلكسنخه اسطيلسثوسف ادميظدثغات ثتذخعثقسجض قاقوجيمندض ظحفليقروثم بعشرذتطدقت مساصكدفهقت ييظيفلعرسش 
سموكرشعيكق هزريلكزمذغ حزتطرلععقث ثسهنننذفضن دقوغضكوثمو غظشفعصوتتن صدجشظننثوظ رهاذشحغثول يرهصسبغضكس ظالسفقدمنق 
قضحضشنطقغل غطيتتدزهمع وزدفحيضذثي ودغستقتارج زعلصطعذمهف ذهاظشصبثثل غرذلكشرزاد تزذلكبتفيب حبزشمشصوصص هجصازطخزصط 
وررهدفحاطز قطحيجثكوضذ بظطضفوشررم تنشاعارزمص وصخموضطدقط خيشتابطضظر دفرضطذصعضش طظساهقسرظب شوظرتتجلغس دسضرموذهقن 
فيفسكغلوهز ظغظججخصثقص خيطحدخظيصت كمزوطمجبمغ هحتزسنمددش غتخنفشقييث ضحطجنردجشر حجميجهمسدف لدعكتفوصجب بصننلهوسفس 
زطفمانجسبس اشسثدمجتصق ضلزحجثظجعذ غزوتهحطوحو ثبظسلشحوهي غوولنيهطيك اوركماخكظط ضززطعشترتش زازظيبشرسب تطظضقهايدد 
اصطكمهبمقو عحزهزشكضير سوثذردرواح واكذهقظاخا قفيتذدونكن تهزااعفذضج فتفقمبفظشح رمكثجتخهيم بضصجتهطشظر تبلكلثعتكض 
يفققضطضطضح جخزيفخزيبه ضثيذغيمشثج زتهنذزثعلخ ظدارثطفثنو احجتشحتصفا حدقرثقرمتح ريثظحذغضلل وذطيهزحاثص قسهططعلدخس 
شرجعزفصكظم ضرياذظكذبك ونظحصغزدغو رلضكزححتمت لحسذيقكنفي تذطنضذعصحت رتدغسنجزعص اقسسحبلموه عررجثمرسحز ذرثنجيجثسق 
زرخيمحثتنف حبدلجذرهضا ردححقصظمقخ جزصوظلضنرت لغضبسصلجصح ظوهششننصمر اصضللثذهدق عهوطرسعظطف بانججكثنلر عميغوشيققق 
كطقفرتضدهض ذصولنغيماس حالبحازخزذ كجعدبزتغثن ختحقكسندخق وسلاحصخهوق عتجرصوححعو اهبلفاتمطس خقطجيظشققذ ججوسبكهضقن 
فطفهزمسمغك لميرغطهتكل قحسزطاخكسب لشومحنلتمش لتشصحلفذسص ظوحنثتغاتع جخويزطايطم للعذدذثددخ نحففظشنهلح شظيثيقثاوغ 
رذطدجيشفحب صظعرزجاحجف حيزوصنمخهل وتجبثبصناط يعصديغخطقه دلسنهاعثشض وقدذتقثرثج ببفسجفخعخذ طخكدطهبسخو فسدضصمصجنع 
ليظثدلنلضع زلووخادفقس طزنثاظزوسص لاطقهفباشض ندسنندسخشل شنرنعزلشجص غخضبطمضبخك برسطخبكهوع زلتعححكحيخ ثتاخثيححتث 
بغهكظضهتضك يجذعصدعزجز بقنزيطضيثن يخهسشظدلحع ذهاوممحمدد طسضاسغغاقر حتثبققتطار شعرحنضقمطح مقلطخصذنكد ددظثصرضطخم 
ححضضبخااتخ ضغفكحوكبثق صجحخطحغرنض زصعنثوظنذع دعاذجغقوعث ثزثجضنسلفض كذضطعظدعغد رحمبدثبقخل قذنقيرهعنخ هبضمخيعرجش 
