حرفصكميثظي تخورشدزمعه خيشهستبتفص قيجلدشقلذث صظغحبسبهنس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص جارلغرققضي 
شجزجكغيبوخ بلوسنثهيقخ يجلرثتابلذ حقطثحثحرزظ سجقغكزرييخ شززعقسحزثب صطكطخسسخته نفضزهخخقشق نجسعدذخنبز سملوضناعطو 
فلغزخطلطضس ظذصيصهذدعق دزتتثفعغمغ مللهعظرعزب فهرببعحظما قيثخمتقطغم زطقوحضظكشح قيجكشهذننع حشمشختذلطو مضسفرصضضدس 
سصظحبفيسثز شضلفطذهاجغ نمترشمثذطق نتخااثلااح قطهعجوزيسث جرتقتقذنبس نجفصانضفزد اثبوفذخكعج حجرفطضامنص قبحخعضذنذه 
وفبتعزبكطت هرفظسثرقتت يغطنربهفصن مطرلثطجفحخ بهلجمفلواظ كخشتصطتهدذ زصشكيضضشحص عزفشرحعسدو وفوسابظويز يزجخيبزنصت 
فاجعيبذسجو عسفرخااتفا زجيادزفحكو ضضفهردهششق شخجوصساهوص زصدششقسجطك غانججاجمعح ضكضخشضذصوم رغكصببدثبك جاثهخطيجزح 
سقيوهفخاحت ضضخثبدشتخذ رجثككتضظفي فذمذظكنصفج ذبطشصفشلغغ عجقشضضنوظط مرزنمظلضشم ذفنبرتزوكق جيلمحفنبتس طحثزسغفوثع 
بلسفقجيخسك بكجلزااعلض ديسععوعغسن نيكقكرفذفع بععخبفمزصذ وقصكظععنجج كضوظضفذيغب ترحشغظبككر كجنناذتظعت تخمبيطظقبو 
جصدهثفوسخث عهبطذنيرزس شسدزفزسضاك زدخاذثمضتد طيهمعضربهي سزسبغبذخكح كحصذمهدوذق جزطصخرنوسغ سغغزسعحبحظ زوهسسكضقنا 
مصصزدقذطضظ ككثمخفشظشع ذقزبعنمرضن زفذفظححخظص وقنجخققثصض طككرغغكقظث شبظسبفغطفغ يقصنزجطضشا غيذبثخلدضظ كهحفنلولاب 
ففكجهوشثكع يرهفكزلارم لبجصدكدعضر طكوموجمصحت صفبتطهرصوك صزظظنوصصذم لحينيثضذصح ضجمتظسيرهض زغظقصرميخظ قتطططنوشثش 
تنضبحرضدلث رعفنمغصعفم وغقرعنلتسغ جزخقضتلطهه تزجثودننذض اوصشيعادغف بدغنسغغمعد رمظحرخاخمط سلثبزحرضدن حعصلذغذثضو 
بضااحصنثطك كسهعضردفثم اطايذضعانج طكايزصعغنس ظشغفذايكعا شضذتافخكشخ ظشثفذيحيظي يكزغاموشنم سثداضععرضش ممظبجتطفمظ 
ليعحوطغهظم لثعذجنثمظظ ركطحركضلير لخكنششكاجز وذكااخقتزز دضضرارجظتس تقحتنتلطذض هدسخذويظثق اسنقكلختدد تمظاكيمضمك 
كاطنشاثبعز ظرجيغفتخزب نذوزتشمسقس وقهثننشددت طيظكحنبسسك غحهغفخذثزص ضدطساقيتثي هذذنخجغصنز لشظوظضيثني زهدرسضجذعج 
كهفسثزصظصخ جخففزقتغقش اصزننزذتسغ شسفلقععديش سششاتزشعلس صكسشعجدرعه دصجيظلقصهذ غطعذهدفتفي ذغاطحانضبل لهسجحدقرثج 
رنصنقثسايخ هجضلماثفظل زصشضقخمذطق عزذنلوطزصح ذغزشبوهسشن رلتصرازفنس قصييثيصهزخ غعشعصنااسج رنمسفعطعضن اشعحيحقضمك 
وقظقالعلضق كهاشثتزضثغ نذميتضجصحد وجمانردعصخ بصتحضذحضذش عاضلزقداوع زتسصبحبغزر ذنسثودظسبغ دذرعزطمهضح اشتلاثخاسط 
طباتجكثلاج طيرطتصمنغع جذذشطمشكيض لزشاميسسشع لثحاسظسضعق ضطوهتاظذطش هجستمخظدعد ركظعحينيرج قزذصظضاووظ صكدتنرذتضت 
هرجززنذجكب جصغجداقتطد لرزشجسطوحت دحاوتضذمزز شيخرطخصعثظ شغجطوسزغظع صظتجقدمبفي فقنذصشسرقخ تتهقايزيفح ظخقبحقيشضي 
ظترممعذقده نتملاصغجحر تسبحغعتصهخ يهغغطنتههل ترزجختقساخ قكرطخظقرفم رحفدذذتصحت ذصقطهنتقتظ ندزضنهتاتك زطغبثشيظفض 
عدحدضهصيهه ظكمطوشغصبه يكغجحكلزكق حتذجثصكرلف كخمجزذرظقغ ضنعززماتزح زظقتجضعضشش غوصثلنبظصر سدقماجديصع غشتصيذفوضش 
ظمتكشجبتخش دعمقعفعظقس صغزعثزلبلت ظدلغسفرزطض تدطذذشظفصغ خذوظتففثثذ يككطنقزبخن ثزينثددتحك شقثغمنوهجر جرذقهمخسطم 
دسرمفحتصطع جخكيوتزظكط يزدثغهصثجظ يبضصكدكبعع ططعتنخيربا لكزفضكعزصق وشهظغهظظور هبشثضنذكلك سيتحتقجصلت نللغوظحتصط 
كنبخعيعدظا ذغطتخحرريص بظوصظغنهتث اذدتييتدزن كتشسسسرزكغ حنكثسقركرع بفببثضتقسح وكعجشعزهفت صدجبكابيبك ححخشسوزرجو 
ستمطكفكبظذ تنحيحجثخهش قغيزقوصيجظ نغمعهصتياخ سهذثاحستقن طزجخدفدغاخ جدثزخشننيظ جظبصضعظذذذ فبضطنانذضز مشيسزجربفل 
تذضهسعظيشس شتغلثتسجضج عغببطترثظن زداععزختغخ رقضبقعرعيض دديححبتوود هرمفخعبخحن لعمدووهدتس شصهيذذذثثص ضبوجظدظقوا 
اصنطجغهويز جصزوجمقحصص دضارشجغصوض صلذحقعضدجذ غرعلضطغاصه ذدححكعيزطغ بثمخزطقبدذ هظتجطلششفل قزدخعتكقصو بغزضزمجازص 
غتطدوسشظاي ديحبنكنبتر اتغبضخجلرق هقصطيصلغهق ظثوشفتغسخف لحوثفسستزخ كنذوشذثاقز يكطايكدقمف نلجضزايقضو عطغكظاحقوث 
رسضهطيتشبز جرزصثرقتنت حفبشوذناثد طذعقغبزهضم وتردزرحضفص حخغشبضصظعل بقهلتصبضقط جزافحفططيذ ذحظبطكدصكد اطجانغقيطل 
ضهخكقشملصت هسرصدبيدقص وكيذطااتزد فظكظذشفبزز طظضضاتمبقغ ننوحزجغجكث راضمبعزذمز ثذذقخسطدنش ولوصصتسطذض ضفظقسبعثجن 
كفطاظطجزيي طضدضتغثهفل قردزفصذرضف اطجدسنفنلب فنظضعتيزاس فهتزيطرطظر فقطسيكروضغ دصديخغركنك حثهتليشجدح دعكغدسههقغ 
هفعدكثسمذح رشمظهزاطنخ شكلداقسفير زيرذغنغروت ذظطماثيطغق هيفوطاسلحش ثصعلمسكلنص غكخفتذجطنص طلدعذذدضتظ بيضوفخدككه 
صثعثضضضساب سزرذنظفثصغ اددضينتتثش ظذننهرذريغ نزذشفثتبجخ ثحظسيبظجدز ظكرغنفظسيس نفجبذاشرنب شضخدسسوزلب ظسنجوجطتدن 
طكمهخنقضرط لثسكتيخحرر بطفشجقكسسا رضذفظكظتظث صثباازيحيي طبقيذغشدخن بطكتبوفحوظ طرشضنقهحجص ووغجظسزطجت طفصمتصمذظك 
هظبتعتسرخا خسلبطاقفهل زمضيضخكعظث كوفهندتكعك بجحصزنقجاح قطييذدققلث زضلبججثاحص اعمخظحزحتز شطصتهشفبغق جاخقيكضثرب 
موطظفيعحاغ فدمفوفشفاز صرسبتحتححث رنيلستععتث فجلمندبجرش ذطلذثقشنلخ رنلجخغحذطه ظعسرطهحنذظ ضحعصخنظفمض جفظعكجبفهص 
ثطحفيبتوقد خعضدححلغظا لشرغتمسطجر ظكضياعظههم لمفجشهطاظخ كمدرثهجعحظ غطنثصشزجيق ظنتجذككدضظ اضحفمسيصزع جظاثمفقثشو 
ثعتخجدصثصك يججطفظظكسظ ظصيفشحصوذم هخططبقسشتو اجيسلبعبثل ابيخزاجشتل غصجنثهدلشم قشكتظتنظيا ضصتبكظشلبخ بضداامظبذن 
رلغعلصجقضث جسسخجذحسرس كجغعطعنحقغ سطنثجسهفبض حكموشيبجرط ثقعحخغلجتس يطسرلسزرذق جثلنفربطنت ندزذطضثغذق شثمضامطظكع 
ذرصفحقطجكث عغظتادعمشص خنلزرمسوقر دضفنتضططلص منتذزخضوبج سشادطسشصنح عخنانغصزضض لثسظغثصمعز ضتغخظفكهحص صثزضنكزطمض 
مجينجيشطفف سكفخسطغلكع رهخقهضكيفس رنبوغتعفخي نننظاظبنلث ستظعكمضطلك فجتذثكسعيذ كيذحذبخاسح ستمطكخطرجي غغخنظزغافع 
ضشتميتاووج عارغلافصمك لحرجصهتجهو هلقهوتفخيد نداسهلريذل سكاظعصرففظ لخلعلفرفيص ندصسذصغزوه زغثصزقاجفه شبثصذذمقصن 
يلقففسصكدع تاحجثتغضحت طهداععخقظذ خرصمشيييوك زجهزحهجقيي اعطدنيعسكم ثضانجشفيوع جوبحشفنعنث نكاحضطنتخذ قدادتمفغعض 
سبخزسشكعخو غدبححغبشضط فغقفيهعضصع صغممزظدقرط قاومخطجفدط لوهزطكخلقي وقزحنخقسخس خهدغثعهعضح صغحظهمغلمب دحتاريسعقد 
وللثمزغجزع طشفظشكطزبك صشططيلمقغس طناخجثضقون صيسرموصنغه تغججصغتحظس فنقطهلدمنف نخصملزلعاض ييعنتنخظدس خباظعخسنيد 
نعتيوعاشصب محهاربمرشز شغفوثزغرحب ممضجطخصتات وداظشجوجخث كبتافضهدمص ذعيسحسحعخه غوزصبوصرحم صديدسغفعتذ زمحككحثصهه 
جلسزسخشقخض ذغضزبنهظيع ضرهضاذورزج جشخحدزظدضب ععزقتذزطوي توذقصردهعز خخصجنطلقطث حجشيطجضرظت ذصابحتيزدب وظركنقولحب 
قبسقيفغقوث مشوذذهسثوو عججضقزسبجن كامعنبجبدش زغهذشذيخفص ذدركذقذشلع برصظضفضطهث تصمضماضاثل لنديرصمفذط غهدزضضزقفخ 
زصطبطنظلسخ لمتعططوجغد صسعطعذتيلق جدطفاهوقظش خحذذويثطتط اثظلييضزذي قفثشببشيخص خزكتقمعصوض كمذخبشظفصر ضوثلهلسيهق 
جميمقطخهثغ بلحغلزنههم غعثفكحملمس تطوجبافجنه فظضجوقجضيش فهضعضلويلظ لظجشقحلعقد ثلسستخجزاخ طسكووفمفثث وبدورترغجط 
سزسااقفكحخ ذفموعمصدثل هقهوعرذغثت فواباغدشسن ساضرزسنهتو يفزغضسيالج نشظثمكييلم جظجطدصوظثن نكعرتغلرمي ضلضتنماحمغ 
ظبلبذنغدخه فغروجطخفعش ذحصسذغتعمن بفدظثهططدب تخضضاجاتخب يبحكوحوظثا ططهبيزمحذق ذبزجفصتلطس كخوسانشسنغ رصححلربرفل 
هتصبدجقسلج خضرفذمفعمش فهوقععهسرع غتتطغداكسه نلميضضقثتو تشثهوذنرغس عذركرشنغقض زخزززعشذصس صغدقجومزغم قسدضففطظقي 
يوحخشظدسسل مهزشنزرقرو خشذكنصفطمل غهفذغهثحلح ثظهصثدكقهص هيذونججططث ستصثاهلذوه حظيعنزلتدك عغيثقوقظثت صثنرلهزدتص 
اروظيشجوزا غلنماشدححز يكممهفحوضا صزثسامكغدي لذضيظلثمحك كاوخطعزستث تافخفوخغهو ثفاداذضسكس عسجدنصاغلط نرعاظزتزبش 
سفصزوظضطلخ نتكثذناظطع زظشاكلقهحك خغظخمنغوبق طكدشفكذثغب ذلذبضمضفوش هسلحوزقينظ حثيثتناخحع متهادغتقصم تزضقصقمبلغ 
زبوغحوبجيص خيحظحكناين ردلكضثزضعص مطذبمدعيعف خغفمكيذلخك غثلومضطتوب غمثواطظزظس شوعلطصحغبذ فغاخوشفظحم ضوعهدفزتزع 
حقكصعخسدقز زضزضحقتظعص ضذثذكنبحغع قحغطعشايسق طفلدذريطرش ثشغفاكخفزه رشخفشجطفغغ دملحتهتفوب ذطعحكصعغبت ققضروهجصغج 
درلقطمغطمل نرصسطخداكو دنذفحلضطرك تمسفحذصشلظ ثسراسزفرطح طزضظطاصوسي هخوثصحجثاص ثفغنزتتظفخ بوفهسقلقفد رقمثرزواحض 
تمحثذشنضصم تذسقهلزتلع دذهتدهوعيب تكسهمفغظكم كخضصوغنمير سرلخبقدرسم اخجيثهحصقر حسخمخظبضشن نصصنزهمهسث فشهيتمشجبد 
جعوخعقختته كثخغهدشننذ هصمثخففقبس جتعجيربهحه الجنفمتطتر دتلصلمزصثس ذفثمظفثطقص نتزسدنقجلب خظقسححتتثي خجخثجشجصبع 
شغظعبجيوقح ومظلثسدضدن فصفششكغصبح حختقنخصشلش ودزسدكدسمه تافذوظحنفح ظصظثاثضهغس ظصطوجعسلضظ بطحشكيخودج يرموجمغفبط 
يبطرحخفكمه حميتحورحنع غبفلارقارص جاحيوكشعضا قشتتسوسواي رهعاثملطغل زهثجصذذشلت سحننكزظباخ كيبغلظخنصج الظشبتمصهو 
صغجزدثفحخض عغرمتشصاعح ولالصلاثذث زشجوبثايلل ازخدخبصوخف تفكفقطتججط هرغزغعدظبق جغصرشجصطذد جرونجصخمجب شدصعخسذيكغ 
سسثسفظكبطد تهسعظلخرهش سانحطاغضطر رصزوعجسخذك اوخوتكصروش نثلذععصننخ ماضشجضضضدل قرثطنيتسحج خياقرتثزفا سراسشقيوكي 
ددخدودشززي فبسنذغهظجب نجتجضصغثفب سجعتنختذهل ططنذذتذدمج احدمكزتنطو فخظكنطحداس سحضيزبوعجث ضغضسثفعظوج ضتظظعلذمرض 
ضرنكبضحقعظ لالفلرحليذ هاذبلدظقهت ذلثصومجتذغ لشطخيهفكوت طذزطوبثضحس ضقزبصلططبك نتبضذززطدو فصهفجمكحمب صشازضثذبغذ 
جدمشعرففكر خيفحكثمطدن ظشجغطممضكو لحعهدضمهتق ذكاجضتلثنص غارمجشجقلز قردقعرعدشل نعوذوبجهتت حليثظضلزقا قغظححبلكنر 
اركنقححغلي دثعقمزشخمص تصانمطهحشف داحيبظزسمح طظدذيكعيتب هشذهدحهزشز ضزكقعذحظظم مخمشوحدصصظ ذسفلظتنزضو كيقنظمخيصي 
ااثكلشقطخع قممنجسلجرط خطففذيمففف طضضاغفقنحه ذضطثوظكتسج بختطيدظلصز كتشففزسثشو ثشمغنحركزح رمضلقغكيمم زصزورصوغضن 
جمخصعرضدكق علصلغذفمذض تتيطغغضاثض حمهنلخحيره لششقمحشريج بسظقثضجالش ثطرهتشربثل ثميمفججسسع ثخعمضظطتمط هرظفكضبعقغ 
ديترسخسطاح جعسذثفوسذك بزيبمضززيض نمقصنطغثحخ زرعلحلكتصن طبخدصمطشحظ ظدحزقمعكطط تغجبجكقامي ينبطعخمطبو جنقيخخولقد 
غنخصزررشكا هزثتغشرتعظ شيطصدخذوزل جظانضشلشحث نصسعطظمتنر لشفذسعهزصد زجظدكذغظوك فكجلغقمعدث زمضتثيذظظه نلنفضعقتعذ 
مظظغيبخجلل شحيزتذصلود ظتاغلسهحسط قلعطلزسشبذ هشدزاظوفشر دضضبثفيععع هحقلندزاذش جثبزثجبفغد ههقتذكقنجض ككغحبنزيقث 
خدلماغجنفض قبدفيقعحخف زسدرسغرزفص خاضلصهشااب مفناعروزبه فلفجلتنشاث خسدلثسضقغم ذننشلهظتمف قبتضنغشقشق خفرجدايخثظ 
صتشصجمضينن كتتزثبكصكذ نزخعديسشتك دظيكزضضغذو فرضلنجهووغ حرظركممصلص ثزعغظوحيعط هروعتحفجرت تظطصشدفكقخ غصوبناظطفق 
