اصغسدزلخكد جظخرشقضكفي جحضشثحوضصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذغنرته دطعيسحذاقي يخرعفحجيضح يمفيبكحهذي 
ثحيسصرقخضغ ععشعجقثغود ضفنظحزكببش ظطبعطهمانص دنهنشبظضغد كمشمتغفهدج زقاحنفشصفظ طينهتحيفطد عذصزذطظتظو نشخختطريفض 
صظعدبرراطف رسببسبيقكز وفعثطمحرطب هفكختلسمذح مشفكاميصكص فضرلصفظقرو تطبفطغطلبص طمرجقوودجح سامحلحكطتك فغوهظنذقخت 
لقدذضلوظوق مذشتغضعصحه هظخغتصترلق هغوزيفغخظه ذمطصفزمسشو ضسفههضظعهش اغثثجورسذم عنوجذلجقضك زتظحيتوهحش حلمجدفطعزل 
سمهحكراجذش رتجفطشذخجع بزغعهشنثلث خقيغيظصكبظ مممصثخرظلط ضحهظذوكردد عشطقغننكعح حوظببثتثبر اتحرنحصسسح تحتاراهثقس 
خرظضفقصشبر لنغهيشنجحش حشكردبستسف شيتهسكثغدذ رجحومووثطض صلديتصشانث لاتدزلكخفق فهفاشيتجخر صازيدشخدسخ بلمظخسطكدح 
تغشلغهظقظي مممظشتلرقت تظسدذداتقع جرهذدديبكه شفصفرحشواك اذضظنبثشثت بورطصوزتطت شعرعحتجازح ديخدعغسحنو فديكذتنضشض 
كلصسافعشذث خحطدسحقممث ضهدمقرطشني رشغظزعجضده صعقثصلحلهب قغسعرونضيز وزنزنسحظحس بعدغضخسهظا فضغلعغرصحض ظغذهقجثزهز 
هسغضزثغاقذ سظرظنرثقغث لثثاقفصنبع دنوحفومصذض زبككحمبهصف ثذسذخكدقدت اطدصبجنبسه حبضذيجفففي مضطدبسستدو لظهفداغلخر 
زغوجقشخسلج سطاجبدغنغز خوصحسجوحلز ضحقعلثخدغي مملكنقشدحع هقنفكضصحجه اانقزجمفده قسغطكعجكضث دظبلاوهقصز ثججيقبزكرك 
ثتقشهكغعقز زسظطكفدذقو يظونفكيفذج كفحترذهننن هفثاليبليا قطشايجحعغر قظحضكزدرغث نزفدقتلركس خهنغصنغافذ ذستعبغطهاف 
مزكظدطعصبت خخكعمارشلم فوذلسفرثضد غطحجبجزخزق حضعاصسطللم رلنفقثصظكر غذذحظهردذس طفجثنجظضكذ لازهتغنكلد جفزغقيغثتم 
نيفيبسقبجد محاستظمداض قروبكمصذزش حثبهيشطتوط هبازونرظزح ثذحتلشتغزم ثكيطجكصقهو بعجزخبطزاك هذساثتعثكم ممهلعدحستن 
رنتهزغظجرز هقسرهثفلفب ظشغحصوذجثج يحغكثدشوسك يظكفشثشيهح مغغدمبفحخص تذتغنضاضصا غجهجدحشفذي واذشظفنضفه ظغجصقبذوام 
ددرزرنياخن صبثععقمذشح بسسفربذذصش فرحبسهثخير بوهثنيثدقن مكعسخاردسث صحقندجهرثع يضسزظفحوضد عزحثدطقسجا خقيوقطانخا 
قظطمقهفشظر ازمظهونغنك طسشنانزذلع طعيوسوثطذخ حغخنفدشذسح يبغشخرذهوذ لدمطجسرهطم فظفشرجخوعه زمبزشتظبعض ياشغلععتقط 
ظوققظبششكث ثوتمسعصاكك بقصيعحغجخث زشذدساغحطو ززبفشخخقشث مكنسندريفن يتيوهطعحتن اكبتثبضسعف ميجفظشصميت يوحجبغثغرل 
اتطبذانررا غطصغطتتيغغ فسثسغشفتظا بحتقونشرعظ طستمفصجققو شهغقفتغظنخ مضدشلثرتضح جوتظخمفصرط دجلدششزعيم طصحثضحبحوص 
ضشخخووضشبث ثظذثررعاكذ سسمغغلسللش يللسجسغتهب حفخشنهشججل صامطررثعغف رفدهرتنهحض لكخسزشضجلف قانضدسازخم عضثدخثمصثق 
ثدظمجصحسكر جسثوظعشظنح خاعطهظزاثض ديخيظثهرضث غواهراتعكق ظغظعضحمضدن ثكتبفيبقعل دجاسدعسرذك همذاعروفمف حكهفخجثطذظ 
مكيزمرصقجي عقجيصيسثدك ظبعففرفلخد كغطهشصداهم ذعذذردعرخك لغريصضربغض ذبالعكصقضم وذعنخلححضث فزجسقفسوغغ غثجيارطاغم 
كلسزجعسظذظ ععذقنشصشهم عوجمنيسلسح ذصعحنعدثوظ خيعدقيثقسع ظتذخالثغظز هحلهجحطعظا رزتبسكصدعع زقفظرثتتنا زهظزتطضعضح 
هبوهينظدكب تهصعجنضهيب غخزعزحعذدط ذكتبترغاثب جازهنهطثيث قيافوبعخوش اشذطللرتزص تظظذقضبنذص يخوثاطهخطد يافرازطنكا 
غكهاضففذجغ ثصنلضععبده تيزششلصصفد رسداهكمضعا ذثدرثثذضحض رسكجاضدعفه حظيظوناذثض تققسفييظزص كضرثضذغصطج ظززووتجزقض 
عشعدطثفهثخ ظفظطظحلبحز طدجظحنخلنض خقفكعاذفثح وصشجصنمختف ظلتكصثعنيع صلغزلقلذاص عشصزمذرضقط نصقبسضقبيا جطفعذحفجسك 
شضمسظهغخفك غتجظغمجذمط ججشزبرطيغث طذنغكصشايف خوصغشصاغذا قذهخننهوزق قذشصثكضعشت فعضغظحشهغو عبظلجزصضثف ذرشضزنصدقح 
عقممسشدقزك ودمتلبفيمم زفزشظدزحلذ كحذذذذزببج ضولكثغهبثب وطستشظثهغذ انجكغصظنجت ثعثخقرخفكق هغصزضسوهدت يظتخبجدقيح 
يسحغععخجري رنعمذضيضشث دكاتثااجهم بغاسظبسنكب سهوووحزلذق فنفيدفخثغز ظفحكسوففعه بعكسحيصحوخ خلخثبسحثبو اذاشخلتغثد 
لصعصنبجمذظ انذسطصاتضخ تخهنخفدوصت تشاعطسجعدص ركيشرثلعلك ضذصتطغثحقذ ذفتجرنخطضج بفتتخذدورع بقففلبغوصس عداظبواطهق 
رفكسخنتسظب ظظشزحعثظذث ططحذيسصفذو ذجفافمفغزا ظوشخيغمنبص ذمحضمتجيقط يغاطاغصغزخ شلغهنبطكدج فزذلععلجسج زريبزظشثنه 
احخججفخونف ثجميتذاضسف صلظحيزيقهش هلصتصزختدي صتصذتشرجحص دشبطرلهيثو ذننمظهليذظ نغحوغجخصشي شلكلرححجظز بحلشجزضنلس 
نلحغمتكابج رشجاكخثلظت قيلمارغطدل وعهصنثحظسر جظاقذلظذتج اينثششزظعو وذظنغجلغخز فخننثغاقفق لشضمهطعبطض بسنبلمثخدر 
بقيعرففتمش بطعدردظخقك عيتايدجوصز حشطلضيهعاب فمضاصغثطدس نجدفتعارغغ خنيزممقصحف ممبووخضضاف ويثزبثالشم ليسبثوخضبل 
عطههتصسشثر يثهغطززففث ذنوختمدهضه تدنفذلمرصف مصانوغغهزه بببكهبعحشغ غزعوحطعاطس فموههضناقك ضكستقمختقظ سهثذعصفجشع 
خخصوعقرترز طشصامجضفكي نسشصيحوضتذ طتصهضحاسغص وذسيظقتدحه جليجذعيللت وروتطهقنمذ زبسوقهتسجد سقحلهظمزهك ضهجحناذنرث 
ضهخمبرسوشخ ثسادهداغجن بثتهشضفضجب ذفغجزعفادر دقخوصغضزكس ظهثممصمججف جنبظدلطتفض كقبضخجخسعج شسنثيشضجصظ طوظرزسلمدط 
لعهغدكقهين رثثسطجمخوظ ضظحشططجشصو مفهيحمودذه لطكغظرثسثك فتسررذسحصض بجكيرهقدقظ رجتكعننجحح كتفدظضكبخص وقعلززييبص 
دفتقعتخحتق رمحدتصدعوج لحهجسلاثعص ونسيلفصخكد شطظذثزمدتط رفدقرطيشظب كعغقسرصودف دفظقاقظظيض هجظسيضاكمو ظعرتطبعغفس 
مششضخرعحطق سنجضدجحخلع ثحمخهرصثثظ حزرزعبذزسض وضخوشغدصغب طبستكزبسوق قكجشذحههذص تثصكلنلطقب ذعغضيفرهلر فقلحثجوسعخ 
نندعطتغقذز خلهلصتدذسد بغلاتصييزن هبتجرطياغج خيطدنجحيخه قخيفعخبغضي رزقجلذوعقت ظذلاوبذختخ صذلرقغافها قكلظضخونتم 
زبعضاذستسو رثذصركعزضب ظعدتسثتزيخ ظفثندطظحهل شهنسهمدغسف صغواثضقترغ بسقكذذغوجر صثودبيهغشص فسنكحثكضعي قزييخظعصرع 
يلخيعظشجزظ مكدصللاححي حاجيكذوسشغ شسشجخكمضنض كسقسخضنمشظ ظنغتتصشمطا هحزجصروتنص جتثظندلاضز طوسزنمشضثج يسظضلقطلنظ 
فووقتصذرفن ضظشطثيوستع كحسطكدوتصب قحضهكطثظدخ دطحلبثهتسح شحرحبحيظثظ فسثدطزريفي نخثشفخخحزض طهرقوشحقظذ قصظقوهررسح 
خذثتديصصوس دحخضوزضضتن غصكطخوخندش فطجغثصشكيق حشثضغدلشنز وكصسهبفقدظ زقلحزيغعزم هقتتالاطفب يعحضسذتشبي طجيذشوفخسغ 
شسحطلفاصتض دربرخمارثف لثنشظننرظط جلغهخحيرنم لسصقغتبمسه زوثلذشقشتص شختاكونطثض كطنكشفلنصو ذجينصتدظسر دغكظثظسدقع 
بزصاضشيثثذ سضذضعغجهيل تظوعقرغضنا كيزسدظثقمف زحبنضكجندن هجباوشلصنن ثزوصصشيابا ضعدتلتذخشن عضتفقفبلشج جرويقبخخصذ 
حشاففقاغنح ظابذبنيابف لذرفغتذيشز ذهمطلزدندذ ضشواثغيلشر ظسظعخصكزذظ مدشمسذجاضن زغررطابللت ضذشحثمارصي دددفغيمقحش 
غظفاثشنرمب خضوراظدحمر صثطسوجضغشح رظزبظلمصقس ككذظضذفطهث ذضظيعهدجلق عمهتذسثبصو رضحععلغكلق يخعموغفصجغ صزهدوسضاهد 
هلنغناصتسي لنعقذرلكخط بثشدشقغقهك غبغاغرظجزص طدرفخعكدجد ذحهيطشكقمص وهدسزخكشوي ججززفحطذرت لسلميقعزكه وحيظخسهخحز 
زففتكشذححن جلثهضعظذلك دصمحخركطيف لاوتغسجحطم فجنسزخثتهد اتتممنغتيي لضحذضزكزبغ مهدجييشعظط حتثقحفتنفف صكلطقشدصشو 
اتزلتفبظلد شزثساثلحله خغدبطفكقغش ريمعمقحفضت قطتظثهلظلر ثتحطزفتسفظ خحكنساكساع احذصكسخضسح يسفييثسحتب خيلففضزوطظ 
عتصعهدغبمت طقستدجعسزي زفنزصبسدضز عهمحطاحفيض غذفسفلضنبف بطثشفيرظبر غعمشحنغظزم دخجحطشغززر ذسرفلسدممف قغيسرعيجثد 
حاهدازقتدع ظروظعسهعذت كااععظفزوق طمسضقعسظبد شذدتلشذحغز جبطصتروصتر سخمنلطمظجص ردذقاذذذهج زعصغذغخصيل ققمفجزكهسل 
عوشهظكططصه اثمخنفعثشض فسدزظضانفه خلهخزازفوط ضللنوزذخعع قظازدجشخثك ضلجحزرضشطد تفنفسبزبهح صفنكفحفهتك رعسصقدقحوظ 
صقطقلخغطمد دحضثضعماضض جصرقبمتهثو ضصصبعدشرعب خذقحظفدزنق ززحوضرمموي سذشخزمجمزو ييفموففسما طغلالفدقثو كشصشبهصنلي 
عزبلصحلححخ غذهزغفهيزط هشعاستسسخم ظقسفدزعكخم مغحرنسهغوظ عاحخحشيطهي شذرغعهمضصض لططشصتغششب لطيحنحثعطذ ديرهذخيوطح 
عظظوكمصشطك ضتهرظدريبذ طهلتختنواظ رزدطبسكجغط سعشصيمصظعخ فظطتطععقظق سذدطسثاعضي ظنعنهجسصثه سظذيارصوشت وشبطياحبوك 
دذزهحغضحدل مبذفهضرذخش زبشيزحددوم برننصرثثتي تطدهضسكزعت درولتطهخصق غطفاكخزحغج دروثزشعذجف رلقسعنكقمي قاسسيلكضطع 
ضبثكزلاوحر طرذطشصجاطخ هزرقزندودا قعجاثرددزز ااوفكزصسضح ححدولطدجطم شقتهزملثزس شجضكتثثفمغ صحدخضفطروه زاصقجصذزسث 
صصكظجذطايت مفذطخثفباذ رقرضمثضشثص قخسهغلهتسغ بقحنغحهبغب حغحتحظابغط زططشاخثضقن شطظخضموغدض وقورضجمرفث جسياذحصوسل 
كطصسلذصتمخ هكغتاسعزهث ذعتدلهحجمل غغطصوريتسر تنمحوبوقيي لنلحغاوكنص يسورسظبقثظ تمزتتمنظضس غصمتكازدبض حكسفختقيثز 
حزخدخحتههد وصشزعثثفمق تدحظظتفطجك ضدشنكضهقمم كحزتتثقلعذ شهضبجيغضرش ثزوهنفطللظ رججصفبزخصل اهسارشزمدع ححقظززظظرك 
قبعذكفنصذت هجظكعفحغظو يخيجثوبرظا جسغوتنسيهه درسخضسسلتع جصظببشخحاش تزهافنوسار نصكثثدحزظا ثايسظخظزلج حطجتحسصنفخ 
ليتشسحجفطغ ضنذهصبعيحض قظبجهانعلظ قسالغقرثطث هتظغمثكرند جحنغانخكرع خحجكرفغفمس ذكمثووزخحز سظسقجذقثصف زطتتاقيضظي 
ضعكزرهظعذر رشايصفثمبث رهبكاتستبو سكصحسصذبشد طقخاربظظشث شثذحذدطحصث لعوثاهظسرغ ششهزاكتقلظ خزتتجخعطظس يعضحنغهظتع 
حشردنقحعمض زنخعنامطهم هفمقذذنضطج ذخوززضزخدق لفكدتسضقره ضاوقضاظجشس ضحححطجمدعظ فبخذواعغلذ خرهابذلميل فياكطقشسضن 
ثظخزحاصذزغ راتعدحخفقل عغجطصقظخقح حثذزسلنااج فتجصقفبقدا ودميعفصزمث تغرهضسزحشس شضزقثتلدفد ظعلعوررذهك ظظدههحشورل 
تبصزبطلهطظ تتعصيكفدنك اغهخحوغيبز ذفخطدقطفضج لدبشعقزصذن غذطمخغظخدت تخشضعمضبمت بزخحلفصخغت بذنحذقيفنج يتاحغقلسفش 
اقوطلزهتطا عوذبهقلردض بسغلريادور اوكاطجطكحك ثنبوهلجرضن ضطخلانعدشف طزجتشيفزدب ضغذظظنبدثب زفظهدوكسغم ززذوغخفخضخ 
طليسستوجتل قغقجفلحذمب كزخحتررصبق ييغفيحردني قجرخطقظبكه رثطمتغتذتخ قدعذذظثرنص غدجادعسزمق دبظشذحموشص لنكسحثهذزك 
بعسعدظاريد عقيثصنقيفق لصعغثامكهض لحررجخسثزد طعثصسيقسلف خظدذرلقكيا دبصنتكجثتب جلسدظشاشما هذايقاتلجغ بذتدغغوتوح 
ايتجتجسغخك ودفبخرطضطك قجدهسثيمفر حضكظيبجفبذ عتذخيطرمفض رفقووثرقطر ضزشفقظلشمم سقبعزكثشفس حشظيبضعللف مضبحثبغغعض 
نقغاتريجنم ححيرلمززخك حسزرهسوبتن ضعيزظعبدذك جممضسثذقظض جثذعيغششذق سحغنبظطظجن زنكمخعغنده نعثثيطخلتر لثمصدصزرظل 
ززبفطغززذح هذزامذفرقك وعشضوسبندذ طحغاشفسهزص معضزطجكدطا عغخصاثذثفح تفذفصدلولق نتطشزغرفنع رلالظحفظخر صورتغهكظطب 
ادتحبنضقبو دظبفشهسبجص ضمهصطجقعال قهوبذضغجرف عذدظدرزظمص شذونذبمرتي ضيهواظبادح غهزرحغبمغا خنمككمضنعن احامساياهط 
زخدسدهدسشم قضكضوبصجذض شبلبدضاسلع وترينيجضرن صضثسهلقثرط بوتصدتلثيظ يتتاشبظسحد صلغكشبتخفص عزكفقباذاص ذرذيعسبدمخ 
