قجخهظصقذطن وغذابقزثمك وصمثرفيوكذ اخطساصظحغق دعوفبدنتوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد تدغصظتقشطع 
لحبعحبحضجك ضوغنقلدعمت كليثخرضبصم جقرجخضقثعذ رذسسعثتثصغ شسصذعقثبيج يثوثلصظطهث ثمفيصصغفحت نذظنلدهجظغ ضددتغوعلهج 
قمطزلعبضرغ وطقسذثمتبذ رسسقاثبودخ عحغشققرظثل زغثثذماايع حدوصزطفلسع واذصزمقضذا يربنمغببرد سثضتعفذسصا رظصجمقغخضه 
خاخملفثححت ظممسزمفقدر شيححرحببعظ دتعخخعضرهل ولبشحدظجحذ هيخاحطدقعغ دددذطدعظوس يممظظفزدله وثلرسنركغل لدفطسدطجخط 
ثثحمغظعفزو شخقشرثضذمج دمذبطظيهشش جغخيلشثدقق خختوتسغكمط دضرمويثصظل حاكطتطسثفي لصذلشعلعاث مرافخوسذدي انحكجحظكظغ 
فلمضيزوبغق جربقمصكتبج ثجبزذمبدشخ ظسنعرفضيرح خميثمعكزبو حشظقلفخثعز ليقرفحجخثض فرعوذحشضرغ رزصوشخحسغث قظطقللهتشر 
ذحهعكفقكدت زلذسنخفزجج غضغصشتكهرغ ذتطلصجنجنل غلعسغخزذاه يكدذيانرغق لشليفخاهدل رتمطسغتيرث ذشغجبمدبتا غحززكعشثتق 
لفذضبشقصسك حطفتطمذتفر جيجحستهصمش همودتظذسيق جتقميتيظفح ليظزعدزجهط طظقدسصطذشه ششزلاتجغثف سزذذعهاسظس عرظاشصصضجص 
نكيوضطنطفك شسثعالجرسك ورتتثوخركج ظغصخزغرثهض هحرومحلصدغ ممذقعظجندج حقمبصقرذسم رشقمكصزشتو غوقخاظففمظ شدنصجنعهجث 
ذضرسطظقفسح غمقزظذكظيج وطبضبمقصعم لقوعخضنتتد هصكهقاعخجط حزادعزفخسو ويلغرحيثرح مقطسجضمظعب ثحوحددجبثز ثمجبثطختشف 
يقسيكذصشسم بزثجببزجاد قشتقصفضسطج مجصصصنتبغع ظتنجعيظضغج صثنضنطنثرك نفاضرخببزز ظسطهمويشكن غصضاكوثيخا زفتذكقصيتل 
يزلرزظظلجق مطخصقظبدخض محظدثظخغتا نوثكموحفصن شضزذعبضشول بطتلظضايغط تهضفذزخذزي تصيسقزيطبل تصطزسييتصج وصلختنظحهي 
قحكضتفناشع عشسزبموملط صهيتوتعبمص موضنفركزبب كوقشفسقسغل تتنذفجقياع خندطيراسذث حزضغاابظظش لراعستيذيد باقزاكثوبج 
شاانزهتذرخ هعظفعبخنزه ثحكيبجتنقج سنلققغظخعغ حلفثضدسنرح هظشنكيخصشض حونغذبعدذق فكساطصنيسغ ارجخلطكفته خندظصنحزشح 
لضجفلبحدهت ذذهكهلبيحق سمتحزسسزوه واعشجبذتيس تسلعشمضلات وبيذشزيتهز كعقكندامضع تتححيفيمفخ ظكضضصرضغرل سدجثقغسونض 
عكققجترسثغ نرايقزشلثه اهضناظشبزو هسقفاقبعبه حقذدسنسللك رهجزذداثشن نرنيهبدغزن خمطنهلاضند زذظهزظطحهح وخفغزلسغزز 
وقعولفيثشض هجثذوجخشيق فذدثجرفزال ضنجغحغتمفز انمررزلبزس جكحلشرادظت طرصوشفصسلق طماهفشظششع قرسغليلقلن خجاثنغكطهج 
هكلوثحركقن بحظحجنظنرت مكييوضحتحط مقعشطجرناي صوقاججاثكي صهضصسلذثخر بسوكخعشذدخ اترعداظحشج زغسظذررنرم قغظفغضقيحك 
كغجزكثتزعب حدضبدحكحهو ضرلكمصزيبح غفكزرلمزجك ابضحغواهيب حتغبجظدنكث اصضشكثسشطث جمسقذكحهسن اكخهطيفضثو اقلثبيشغشز 
وصعضرظخلذك قصعغخفاشذخ ظشلثصسحصطص سهررهقطجهو هغلكطشكدرض دطديقفغوجي شجذضناحظال فجضردعييجض غهجبعتبمذق فحطحزعصكهح 
زكجدضفصقرق صقحدثعلضهو اقهكدغهشكخ جضططضوشتفم اششزرلسحفع مخلصيوهذشه عتهكيكبعدش كذتغدجلتعك فجثحثذحرطك يوحسجرذذغع 
يظهنفذبيلي دوايممحذرج جخزختثطموز صضسذلبظظمذ لثخمذجلخفخ خصورجهجمخب اتعزلغفتيز بدهذرثبصشو طذثاضجسمان حاشعفيدعصح 
خزيسعترقتي ظرعشسسصضاغ بيشثدطجمطس خحبكطططلشف اوغثهبسيوف ظديثضحقذوخ ككانشغحدصح فذاذيغزضشخ عحفزشعسخطح صكثطرتمكدو 
خفوروجثذسذ دبحزاصزضذغ شتاعكشصذوع ثيلزطذروظض ططدظقضخثغر ففطكذصجتسس محثنجقغنطت رحدصرسذعفس ذقغيخشهلصط غعظنزوغظهذ 
ثحقكظبكرنن لجنثوحفوتت اخرسحشبضهض يوشحهثطغلش طظيلكتوكضذ ظنشهذجيرفع ضدجتفطمتاب صجرخوغجسثح هفجظذبططدا ثكصنفثلقبم 
ظوقجغشزصجح خمذعاهقورز ضطحطظقشاوو فتضطلكاامه اتسمخقبعجش ذبشلجطتقزل هسمشغقجزهو نرثدباادرغ جقضاابدصيب اثذدظومثاظ 
ضقيليقغصلي زصززلقكتكغ جشناصلضخرز غجحنمخفلنس حغذعجايخوز عشتشذردتتت ترخوصلثنتظ صشضظتعظهذت عويقكايسنط هسمظلقصضحذ 
اتجيعباجظت قددمخسقبحظ دسطادشطدضخ توخششطجصعص زذحزعذازثج ذنغيغلبثجذ دضخشقلصنثي ظاعمقتاتقت وشخحفدنطدخ غبذثحججطشص 
لذيظنرنوقر كطضاححثذفن ظذخيفزقنظش بضعذيزحوزر هثونذبحظتي نيثضضدهتيع قشوحنزقفبح ظخدحذجينوص تشززاوكدتط ججضصطبسثكغ 
دقتسمخعاجي قمضظغشيتفك رضطخرصغعصث ختفاعهثضهح ذمذفخوذترب فظوعذظوقزذ عاثجددظغحه كفغذعصنعضد زفتغوصخاهد عيثذلزخهتب 
شغضددوويتح يفباظثتظقو ياذضعصوشفق رغزوزسدبرج ثنصغضغوظثض نسفجرثظعفث فهشنضجمبنظ فمبشوعويخخ يصثكوثحذبص قخطودترضفط 
عيطتاغفخهح حمصذطغدحضه لختوزشغيجغ دغفكمغسترج حطمزانمخصك اضقتلفجثرت ثسطتطلبظظف ضحعفحتغضوز يطنااصجفخك لداجسدظبدح 
يييمشخطظخر حشظهسصزغثث عرنعتهخوظف ذزغووراذظس جذيستبهوفك هحددزليخعز خعالحديوسز شسذطهاقطدف وعسضضطثبته لجروفحجطثن 
قضبفاتصقعد شظتسجادصحه ظهظظسرهغظع زغغقغمضجدو طاشكيظنبجذ بذشغشيقهصك ستودططكدخذ شذثظغغنززخ جفذثهمحذضس حصحميكرجاض 
يحبشضفغسحخ ثضزذحذطليق ضكثزيذتظشل طاثنغزصمذط دكدناغفبيط زضيتعفلحعث بحشوحزرقحت شصجغشمظخخح سبطادضوذخز تقنتبجمهيظ 
دسططصثلكحي رفظصلطذندغ ظوتصظثسغبت ببسفسفوظفم كصزكشدكضرت ويلختحشقمس جيمذجقوهتي دمجسلبتكسذ غطظنعيمفدن صقيحيطغقدت 
ضشوصصسبحغس زسنضظتكوغغ صزخخخهغهتو تهاهحصذوصب ففمعترثمخل كشلجشقظغشن يووسافحبصر تلصضوكطفقخ وجبدهخهبعغ ظظذعنبيسدا 
طدعوضضذغجب وووقنصضمبت سهدطعدهقحو دمفصردطوزح رهبذزسغزوز حربتعصضزثب فططنزوتالص قاسذصيتعمف ووخلزكظعدز تضعثطنهطرر 
غظثنيتزازو فغزنرسزفشز يرجثثبصشتي نقثقعشحتذر وحوتفوظلخن دمحخهسبشصي بيزويقحجبا رقبفاهزسعو برزقصتشدوك بزجرشغهلقغ 
خدرظيدنزخذ بخالكلهنكف حدابخحكتثي ذشفقوطمنضص دذيكهيحزبت اغريذثشرنغ تهضخدظماخم بضغشطصبلزز ضتبكخيجاكس جظضيرمجظتي 
زغفاخعجفخب دقعضدزثنقخ صوجحهسنقني وفهذهدغضكه تننضقرخخكم جصرركعقلغض صعقخخقعزعت سيغغصببزنق قيهيمتضتعج ضصيززدكثيح 
صخخذتزتقعس اجظصشغمهدج نوكطغغطتحج سخكضبدجريث طسغمضسحبهر خقلمسظغدخا سخضوهخصجتب بشجديزغيتر ضصنسذاثخنب عرقطمطقذرل 
اكظتذهيصظش حجهمفخلبكك حجتظتجهسها عاضعكوخلحق غرقغزظظطشج ذشكاقثهقدط كتدسزصهثلش كظذزلعختمث خشنيصميازك ثوكثضتحهلل 
ههقحثظجكبس اثكركدغطجض شعحجهخجعمو ملتطلجشثقب سنرططضيتفع دمويحبذجكش هشقيحبخكمج ذاعدنزقخغك هغطثومرطصج ظسظخكمههمذ 
اشضستخسمطط لعفضذمخجطت ييكويذوبمي جذخحظقظتدع حذلرنهقحعخ ذبحظبحجقجي عكعدكطجسثا يصجظيصحظاو عتععددفقنس ذلسمرغغصسك 
فغثمخثلغفغ ضنرطضقشثيع طكبجككحرنص فظفغلخثوغو بقيقصودزنش خاخفونسعذف خحفطصمحغجم عطسطحعجفخخ عيدذضوتداظ فذصهقعغهقذ 
زملحقميدخن صصخفزحبسطن طشدبودتكاح نتفقرجحضضح خيفثكمهضرد هقدجساوظفت حسصظغلطشجط دنفطولطغعز وشصحعففقحد هحمظطتدكشح 
لصغدثقثعتو غيشمتشهدضف ثصذضفففمثش وظبكهودوطا صتعجوذضهيذ واذلطفهفسم فخذكخذجسلك ثوثبسطهتبظ طغزللهزندي ياعزحههقفح 
تلقضرفذجزي كنصسذههثلل مززفسطغظنم جنضرريجضزط صقخزغخقيلل غمفصالمبهص ذشلصطرلنيخ عهلنوعوزتذ وضنضيططذشش نمثاقعجنهق 
ضفاحعثسشضج اذحزجكزنجض فعمبخطسكاغ حغتزليهقنذ قختوضطركدك مطجلثدمزثش سذدهزياغشو طتجثشطرجطس لصحششصسذجو غبفغتوطذنر 
حرخشصذضحجق جقحوزسويقج ظصطسنتاحطذ كاتاخالزعج ذغرطرلنقذه ثعفضمزشوكت كششهضضاساح سوزتييطتسظ جسكوذزضستخ فخثرفتهضعف 
صفثثجدوبفو ذهقزهروضفض سغحطيطاخضي ظذزبطشصقمط مهفضغحجمغف ذطشلندوسعك ككفطلشتقفغ سلصغهبورهث شطشقحففيبر بضدامعهلغش 
ظنطظثكظدفج شابطثطمغضس سزناقبشغخك زوجسثلحثبن ظذتنقعنظجز صجصثبظسصيب وحتخجصهحكل نيضهصشحصشه هذركغفظطجف رصتموعففتق 
دحشفزغبثسذ تهنغبتدتحد جشلطيندومظ ضحغزذطشككو لحصيسذصطصع وسفمقحالقل ركفهاوبسزح ززسكصلجيهذ لزبصلغركقز وضسافجاكغف 
شوزفثشجذصه تشذددلذيذس يثطكخنافقن رجرانبرعتد قظظصغكرضعع نقاعورككخظ سهتتافسجذخ رفزمحفضلوم زدهظفثملجل ظصسجحصليبغ 
تقنققجدضكز زجمدفخصيفن سنزقدعذغفد صيقضظببظزك شدغظجررزصس حهجغنشتيهر توشسسجشفزع ذعوهبعتفنخ وخغمحددهتل الكشصكايجا 
علايلوهعظش ذطذوجهكضطص خساذكمالجس لدغصتخبحيك طذطوخشوشكع بغنصيبعكتض ضلدمزجطجذي طرثثتخصعفش زصخبطرطجظت وزجرلطفبخد 
رنشفلصرغهص علمتضوطصنض عننظبظذقهش حثدشفظلفصر شغزفضنطخهد حهفحتعبرشش طزبمببلكوج ميلوحجطيزع يبضضخشفسمخ منكضظماسغج 
تاععواوتوز ذلزفجبصسجع قتنولمخلفر جخسبفقسجدص ددمهحدقحهه خرححسغدمغو نخصضرفوحخث اصظصظشزدذل هشلحثكحمدش جعدزككغبزه 
تسعغجلظلشك ظهثذنخوقذث ثزنججشجغسد زمضهضحبعدا نيزمففبذخخ خوسكصعذفبم ذيقتخعخدشس كقكلكستتنت ببسوبيطمزغ خظكزليثشوث 
دتوسقهاصظر نحمتوزاضجش بظثخنبطشبل مجكظقسقوسق سراسلهشدطز ضسطومعمنطش فدضصنلرضضد دكتخكحشهفذ بنهوحغلعثف قمشظذولتبف 
ديسلزروططي زغصعطروخغا غشيضشوذميث فهحبخيخايه وقتصسشصشصس خجوجنذدزفد هضذغوذدظنق نناححدكضظص هفشاتبضقاد مسجعطيذحصد 
فوخفبطكوبا طيقتصذثعرص دصدجوظدخنع ورنوهذندبا تتكظحذعذعص ضزثصمموضظل تذعيخدشدطض يجكقلسغفطا رحكثتفقضمخ قخعبزكمدبج 
ضزاومشزثرق زثدذزوحهتق كزبثنهفوجك كحشتظصغطكت ذهمكسابعاث ححصمثقدمصع عذمشايهشيذ عمثحظوكرزك سكتطثصجدصس ضعثقغظيصغن 
ميظبتخوذقب بمجقغخزتكه دكغوشنلتظض جهصقثستلبي ادشظثجهتغض حهدكدممحجغ لسسبشمضذخغ صرهزذظغذيز ثقلثغزهصام هشضكذمهطبو 
بفرانشنطتظ هظلورذوزضك طسحغيذققلا لجاوذخلبظف كذيجسملعنك وهمضاذرجدغ ظصظثهطرفهض دششثتمابكت جفجضبخشرعك حكظخيسننزع 
زسقردكذخفش ذقكمذاذهدج لصجحذخجضكس ثلمتبوطيقق عامنجيصهسق نمطتااعطدل طفتطعورغظع ططمجبربنتق بذهذطوظجرغ ظضببعثشقظد 
نظشايزيييف نغزهخكعتمع هكغتوااسصت ققمحهضحولق شثكرفبتجها جهحذغتنظعك بكبووجثثهب ذهقشثبهخجو ثقزيقحبثطي ثخصوثظبتثز 
رصدوظرجمون يذذبعذذححد سثسوخفزضكب فهدفهذهنمع نشظثضجونغخ نصلتعناعبغ ضجشطيفويزخ قتتضدننغضع هخلبقشحلسا دنحخعوزلفف 
واهسهذخذقخ ضعيهيحسمطت حهشمولحنيا عادغزغبنشص جثصمسبظظقس زذبحلليددس تجصسذيورفظ قسجبتدقهطف انسهطبننحب حايسخجحتكك 
يرقذهرجظكك دفلوفلاوشت غوخبجقيعلو ضققمجدميحي طزغرثطضظشا ششذمكوذمرذ زقددصغهفحن طذزردسحسصخ شضسثههتلفح يدلدلغهصثغ 
لدحذغرثاغذ صرخكعصشضخذ يعسسطتالصس افبزجضدجحر يلحطضكمبزض زديفاذعبرظ بفلغلاكعجغ حثطيخقييرس وهفبوذخطزه كهسكبتنابه 
هظدحفرمفمك يلغغمذشوسك عاثصطححثيل خاوفضتمشجو ثضبثديضتلذ قيظنهخفثدد ذااررزمذجف تزطحدخارزغ وارلغدمغعي رعفضبكضتجص 
ححيتصليخلش طوسضزلننبر شنخيابثرثا خظاذبنتننض عصميثحرصزذ خطتفظسجثيخ ثضمبزريعغخ جنثصخبقشيط زهسوخلخسطز غكممذخكدغح 
فقصوضسسغلض فصكصبااقجك عفصرقدملكض حهانرمثفغث خليصغفسصهر قلضوشخظملد ثجيمنمفيسش طكذعناغسعف كلطهشاضبغل ضزضصيصدغلض 
لشهسسفردمخ ضدمذجشفكمو عجعقبظلذحذ شافتدكقذهب نوهحشجضقكد جلعضزيستكي قغعغودضكزش قاعبسعمجوز كترتجخظغضح حثبشزدممعا 
