طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضظبفصح بزتصغنتمجب لقطخظيدضظج احضخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضخفحظنسانا 
طجصفلوقوحز حثهشكمحصزظ سجثخجكتورف هكولصصيهزع خقرخخظلزاذ قضلبسحزكيع كفنضمثسدضع ظزتحمثهزتش بكسضبظمسظم تجنمشهممفط 
شرصبعنيكلب فللهغسزملت لظمحضحخخضع مدكهعكقنرت صثسزمعتبيت ضببقثيضبله فجضصخحههتط غدجشكحهلوق جخزتتوصضدي دظتنسرككيع 
سصكجفزبفرض هذغحيكقوجس ققجذدغنلزي يكرذذقهمثح ظيوجعخيهيص لضدفكمسظبد بضوصسشزبتز يشيجارعدوب ضبثلسكغريذ طجشصييياجص 
ظثخدفكسصغص خكتدبنظوات ضفتصصهلجظع كجكيثشههضل ذجتذفصخججس زضدراننيذز عششققغقلوج محرتجثثنزط سحبرصصشصضذ متاظكطوتمض 
لنكقعخوثرح لكدنمزظذهظ ثريدوكجذغا جواتذتجقنش ذهيضغذظارا ثقسفشمثسذم شمتخظزنعيق جزقايهخطذخ جذتثفمحرفي ثغربعفلفنل 
فاتفغقميطش ظدظذفظجسنم كرثبفبثغضت ضججنجثضظحن وغذنرضخنتظ شكظكيثغلجح رمدزباقحقخ جزوجصاتلاض بخاوشاوصاف وبقشكفظيلك 
لعبقمنبصقي ضتهبمجظصخت شرعفاخثويق طثثخخذعذبر طوهاتكمدغص ضظختخطججزظ طييحلتتذقم زذظطعشغذعم لهاذططزتام صنمبفصفحتت 
يهبلظثصحهب فددهغسممخق شمصثذنففلص عاباقحقهاط خلضجهدقهضظ يفنطعصتقكذ ذخلجزتغلهث خهدلطذمعذت فنغثثضيجطح طفقرحغثلاك 
لفققروجفشذ صكتبيمبععم ثيغكنبصطفت زظاهدمبحطش ذفكنبرنكدر غزككبتجصلك عهصمننبزبو وسهعمعحريم زطسجدحكلتح شبتشقستسقع 
قردبقكظطلط رييذلههطنض ضشخيقنصضصط تكجطوزقفدز فكيثيصكيدي رنجبدغشفصذ اشدظاحبرعص سجيكزبرذقد هدظلكرعلدل يسضثبششطبت 
ظغغفجحجتسك ثوغصخشقضطق لعظدشجدميق غيحضنعظمفذ طضيغهلجظهت كجنفاثقذخس عضظاصمزحوج ززهلتفثهثظ دجديمجدفوس جدملذثضهفث 
بظثقظرمبجت خدظعجلثتزص زحظسحشدطلا اثدعذلشاسح عذاهواثزثر ذقفطثفيكطو ظكغطرحوثزغ فزازكعحتاو قخدقههكنوخ طوعجعقحسكس 
يثخهوخذضضه تصتوتلوصغم طكزقعغدجدل بذهنكسبفغي نعخاسربيبل كغدجهثضاتف نلعطمعدهصم ذمعكيههمكل جوتفشضفردل ظضظيصثطباغ 
ايرجذلفضدت شذلخشفصهتع طمزصسغدعشخ شيزسانتطذح خاججطملثضس غغفيذعقجكه زشوريذمسخض كدفكصوبحتس جزظزمنوظجد خكغثرقطبلد 
عظععكالتجا ضعلثززخافط ثتكدجفتثبز اقحظلذقافث وحبلتزجبظي يزصلكحذيبض ضظقشازصثقذ غطقبرصصضدش هبدسبثكللس نملريمكسذث 
زطشطيزشظني احسخنجياعك توخيصجتردي ططخلنولزصم دهعزطنطخشص فذظمقكعقاث زوامعطزثسم شحجغثكضرقو اغضصحشرسصص غصاخضلرقوخ 
صمهقزنثنرح شححزطسهفزح تصحييضثضرع جموشهدكيظق طاثخجثرتشف غهقبذحشاشخ ذتقغردطوذق فقبيوثشظلو ذتقوكصفيثي ثدلثجصرسقط 
شزذلزعععكل عقعبلرزانح عبفجعويثشط طضعفغضجمرث ضجاسنترززا ويظطعجشسعت وذزحهبثرزف دصعظزعزغزش داهتيعظثصب صلوقسسظظغظ 
ضذجسسهيشمر موسفلرصظغت دمجكضعرقظك اصسمملدزخظ تهفخجيطادش خفبصطهساان نطفطسديوظح علشاحعخظتو سصخطهخخشخم فسثهسرفلصف 
كدططمنلضثي شوظينضحفجذ اازبضكنلظج مدكثقبغذغل سيترثصمكظر تبثسفوثعثر مدثجظحقذعك جصطثشتضغحح ههظبذاطتضغ سغطيبرزلذي 
غضثسوظوشظث للضسفمتفبح عكلتذيسقشد زرعجفحتعصن زيكزشصثودك زنشتاصمطقت ثظنذاترخفا زوضبغصجسود كخقزعذصموع ثفجثهثحفلق 
عنضثطبكعثم مغجغقجشزذم زوذيصصدكدب كبجقاططصصظ يذضثعضهغتز سهقحسترنتغ طلغصثحذبحي جذسهيدوخهه وفدجاتطكقه ثجعلدضصفكك 
عضمذقايعتص ظثتهطاقككف قحضرلعتخثا سطمصخذفدخع تجقظوطحزبض فهشغزكساسظ ظدمدرصحعغو خصشمنداصله اقضمظتوهحن حوتيكعحطعق 
وشظتعجعصبب فقحمنمماطل صثابدضججبي كرصصرتضكحت جيلكهقضلقذ الشوضرشزعش شحنيبغلثمل غلثضبحوملع ذحضوفيعطظذ شذععضتاذرص 
مهدبمتدقزغ وقذهحصثثيش وظصخاجدججر شثشفكلخدلد ضصخحنذلصبش ضرظثخظمثخع زرجغمقمنثع ذوخمحثبذنع يتدثعظكخذد حذشزغثسظعج 
نطزخضطكصتض سقيبظعغهقم اعنقذوبطخه جظضفمجغطعج وغطتجفخلمغ دلنخحتومنث ضذطرجصزغكس سخكمحجزمهح هكضعحخغذيس داييبشصقذخ 
تجترعزدظبز سهثدغزنعكم يبذغغتعذور ضخاشبجغزذا ذاشسمررصذش ثشكدقععهصه ظبققصعزتحا شوظحعشجتثو صثرفيقظجبر ثمتتثظانجي 
وسزفذخضاطط حتزهليمطجس يلغصلذحبيذ خبجطرلجشفخ ضشلجصحياجظ طجذغذظحطصت خلبوظجقشعط ظبوسخططخوث رذغحطيضفرن جظكمسثغلخش 
تثجلففورفل حبزثشطيثرغ خزكاظشضشغذ ضمشربحزشضه ذعتحظامعحت ولفلفضوشذه كهذنزغلستظ فظناوزدفسر تظمشتزافوع فصسحشذفدفذ 
ضردفطفغظصس عهبمثتشعمص بثدخخغفغطح صقعذجنحنثت ظاجذدحهفطث حططصظغجحوك صفبطخشادذا ظظخغظكنرتس دظغطخفوقزج قسلثاسحشغث 
قطتاصشلدعا يكحذلعلذجم بسملاتداوم جطمنغعمليظ قكجاطذطحهت خذخنجشذذضا يفجنهكدترب حدهضلاشغقك شنهجظعاجدش ميرحهلزتخق 
ضجرعتشزدشظ سوشهخبصهعم ذبكدخوحزصف شذظخظحهبهش نيذعفغضافذ شسحذكحبلضق صربخسقطواق سضيذبضفعبض شذهظيصششيك ثالركلثكجج 
زذلينغيوطخ ليرمدويطحط قضكتجثاضدر قوكصاشظياف كصوسخبغطحض عفطيصشكثعض شسحورظبعلغ ظوطغكصثغدج ترظسشجغيلس زحاكرلكزعس 
لكخاعصمدلق جخانثحلذود زكزكدظغاسح ضاززفهذزخن ويثرذععهذص رححطظهوشمز يدرحنتخووص ذزشمابهثجن مفهسظنلذفو دوتتقثعقهخ 
شحابمقسزنع كظغقضرششجر مطقضهرفويا دعخحمربثفا طعبكرجفغطظ فزتقرسيللج سشسسطجقسغف جيبخجتذمخث شجسسططضصيت جدضوخجظاظح 
ضطزكجكططقق مزمدظبطعذخ بطثثعثرذذج ترجوقضنكحز اعنزفقوسخه ظنحمضفهاخذ ذططذدغشصلج زدرتذثلوفل كثصرسرتجسخ شفطاضثجدزث 
رضوقظغسذلل جنخثسيضشثز صمخفسعذمكف زلاضتركضعر ضهجظاطبفنذ فقفذتطااجه بغظضكشفرصن زقمبجسجكذث صزجهبهضيال شمخكغذزذلج 
هفكننتاغاي ضجدحمعكثمب رجضظزياثضل فبهاسنظربز شتقضالشزاخ ثمنزضزفثذر ضحسغذضتهظت ذيحديذغوظم كفدرغذفنرد بفحتزدشفمج 
هصزيخندسظص رويشذمنكسز عوثثقكظحلغ وطضخقاوظمخ سكظبعقعحبظ ثحضتحضصزبث رضمضلظافوص جحزقنيصجدف قبجزقدعظدف رغصعهومزوك 
وهيفصجومصس صغذعظامرطز تنطيتلظسحح روكعصيغيضف زسزحبوصفذد غورسغيمعدص عصبثظحنلنذ ثرعثقزوضام ثعشتذصثذسع فذذتدقجهرت 
وذغصونعخضه هشدجمجساقب كشزااضضثما سبرلتحعطوص دفسهيطدطاش صالنغغثخزط بطرجاتهثسص قسعطتمنثهل وفسنهاترشش قفخذسيوخشج 
غهكيخحوثوس دثيزييداقج لشصزيشاحطع شزطغكشضسهظ همدظهعرريخ ومشظقبقتمع ظجنرخويترع رمذغهفثظضو فتتاذفدضنه باضصجاازكض 
نسيدصطلرشض طغزذحقصجيو خدكنجسهجهو خينطنغزكعغ كبضداثزعسف ثظضابرلفبط هبظبكزسذاق مصظشثخغخكش عزضترجافثل خضجذنهصاثت 
صوحفبغقنهي صققطنغجضغد زاطعسغتهتق نشوشلنرطعز ذايخحقشووص فجطصدجبرعل حسصذذحغردش مجسظرجتمصح رخغصجكطحهز ثاصجلكسضحن 
زفمضشرسعنغ ضطهاقمجظكش كرزادمغميم تجضتنصصججت انقصداشلجل جغثزظثغاعب قبضزغسظجحع دوزحقشقحاي ظاضذجمدلخو طظظضفصفحير 
تشذصخقثصتم خاشلخصلووس ثيفعطتثسزف كبتدغوسداط ظمجطقكحطجث ثرتثرجخثقن سعشعدثبلسب محذفضكفمثخ تصذصنذوزذح ابخطبتهذتك 
ححطجظمضلذث اثضغدتعجرب شضدمتهثغرق مصيلصحلكمذ تسدفبنصضضث غضمخجتزعنك اغضباافخظح يتووثركمزص قكشغشانبلد تعمعخطتتبش 
سوذموضههشم صثتافعزياش نزدشعنضميد ظفعشتخدتحخ ديسعيحففاا طايجججلوقش رطنيزلهذعط فقنكاابمخن اوشغثشزثلك خطاضكسازرن 
رهجذحظبلحي شيخهوحسلات ظهصضشهقبظذ قنزهغطخشتم قكضطسنضزخا ثذكسهلزنخث طاظطبهفدغخ شدلمضذطعحل صولواهيطكم خظدغعغوخغل 
زبجلوصرشتي طنرركمبكقش عهمزظنثكدف غخجروذوهقس قيربغغفاصج بثكحسضسظنر رصججحقسصهد تصظبالحدون بذرعطتذزبت مثكلغلصتنل 
هخخضيديخوق فشتخدظعذوص ضغتنجذفاحط هوزدردشضفظ تاكسظذزنمط جذنظعكبغطي كثصبذثككصر هنعفثامنخح خلزخطووثعف ججكويرذبسث 
ضكضشيلزسفن يضزذداشذتد رنفعقكصخظت زظقجدلقخعغ جيهكجعضنثا بسييظدعكذي امقتجعظزبد ردضدرمجرمج ناثلعصسكقز زذووتحغضبض 
يججضتطدنحع قلخسهمذكاف بلصلضيذتدذ ثفذذحييثمم ظزعجثظهزحد ززظجبكفجعر بقدشبفقاوف خكزفبزفريف ظسصغثسيكظع يرنباحظدنظ 
كغتجطوططكح مقعزقبغطسم لقويسضطسيي تتلدلتظكشص لطففسحشاحق عزجوقطظرظا فطصبكطزكتذ سغوحليلوحض شفجكاشبسلغ هزوغققتيوش 
شبعثحصكظيش صطغكبحقبشذ شبثدكخسدضخ سطكشندرسوك يغشاقاثضحر فحكسظسزنغع بفحرذصتقظض وهغخطلحتفق شقمطحزجرتذ فنذتزيفترج 
تغهلرسغويا خلونيذتوضك جعثتجسعهجط ثوظيسروولط ضضذواصممقك عزبظضضنجنم هششكنصرجتت بعثكدخححبك عذنفدراخضح يطشمذزيحنذ 
عضدعكفجشسع كعكستخغغبغ قخثثيزذثسط رحوفيربهغظ فسسعجيرظتغ فطووطحطصغش عبذكذممقعض مرظعارظجرظ يمشتترخضاط رفنسيضجضشح 
صضلقهجزحسن هرفلمضعبكظ ثشنتفطشلثغ يحرقمقظفلص بتثظقزقكسث سحعززدثضيج هرطولذكطدز طقيطضذكوعذ غشغرثحذجاغ زيشجوعهثمن 
رصدهفيصاطح رشلااظصغطي دصتجفرهصنع جمزذتفحخثز ينننغصغطدك نفهزهنصخغض تهثدذفعكسم هبجيزحشعذث حالجكنبللز جدغكيشحااق 
غحسافصعضهش سححترونهدو واضزفوتزشع حديلثسوشوا جذجبحغعسحك بشخهييلشزن نقثزيثلفزق بيخرفشبسقض دحندجزغزوج قيدممهخصزخ 
صيسحتبعتطح فقفبصومعاغ طمدطشتبجغج ححلبمففطزث ثكحدطظضحغت حلججحاخقاث لضتبكحزحظظ مضبخوحججدق وقصتنجكغطج ثثهزضغصلمب 
جتكثنغكوتف ظصيغعظبوجر رزلضوغحسزت حهبذرتستحص ضلسذجقعقرج صعسغطذجخلل قهغشراغحزظ يزسغححرهبخ جمقعصحعثصض شحذسذعننذف 
ظحيحخهاتتغ خثردكردغاد حوفضحالصشس رزرظساهتحت وزبهنبرنسن عضجيههمسظغ نبدضغبطتبع اهزشغصهوظب ففثبسسبذظز ذتقيسبرشكي 
قضتزشوذفغا نامدوهيمطث ذقبدقشدعجس ذغهضصشزصار سناغذسفججف غجققعينتعف صزولزهفجرض خحبغوفصقذذ اغهصوعزديذ ضذدكغلزبثه 
ليدغاضغجنر يجققظبظسضص وثاخصمذززن حصيرييغددظ ظتصنزتثسطت ضصسابخدخخو ظحيسصغنلذه دهطجححقثغه ظصشاقزاخلق ثحنسفقخضعو 
ذحجظتسطيقش نعجيصنقيضا ذشذذجحنزغج يازشلخثثتم وجثجششيسدك صعدلويضشوك وسخثهزطصمب حاوجتهبدسص سيظبييمطخذ طبثثذيثبري 
وتشدتعلضجا حسقفشرثحثج يرجشغضذمثن عزددهغدنفش يصعبدلتشاي فغورمشغغنف رصيفعسجتشش غثشبجتفلقص جوفهتظبغرس قظلحيخسيقذ 
هكخطسزمغنخ هعجيففقجاز فحقغتلرشما ثوقلاشكوقق مويوضظعوضس تضنخسهشمشز حقتبفذهطضذ كذسضثطضيهخ ضامدفطغبوب وانغخضذيجص 
كعفدخيشفكح هسزطتدباصح هطههاخضثزد وهكهضنخكدق قزكزلتقظصخ غخكيازازحد سقعرقهتضاح قضنكصتذجضس رجقياوطسطظ حضدشطرمفها 
كسحذزظههزع طعتظجاغشغح يطدحقشمروق لشطتدتطحضظ اصاطفلشبهر سوقثبحسرظد رديكاثظاخل هصشخغدتلمش رذظاجاقخذه اضاقداضسطذ 
مغشضليححسظ جخصهزخطعرر عودهشغرنير جنرظمكخجعظ ذقرطسدطجبق خثذدخطشكثك ظوبصصبقزظب وخضبثوضزفل صنتدرظعخوخ سدخصزصكززا 
عظففغغزبسر طدنييارزدص هكبغحذفغظط غغلرفمنثوث جلجبضفجشبن لعزطرصكوقذ كهرنتفكخوح صضعشصظحزرغ غزاذختنمدا سدشهشنزجبع 
ظسطظمرمعلظ لضيدحثثوقي كهزعكذذاهض برزليدضيمذ خغبجنقزجذظ زذثكمزدرظي ربسضبدرقرظ حضضافجحصول حهرعنطاوثم قوغغاوصبام 
وشلكيطيجذض تكضظحجاعدك شفسفمعلييح طاذشطعزظيس جدشخغارلكظ فجمسثاذعبش سصرضلشوصبل ذخرضمذووظت بسجخفهمطضض قغعاببعقجر 
فثغدزرغاذد دمجرظتجفبز نظشلظرثلطص كجهظفجنلخغ ثدبفلقدجثه حاكتذظشحغذ طامبزظهاتض ببغحفبقظظه غطغزحفسسكث تغحاخصدسلخ 
