زحزوونقكهس ضهرذجدغبوغ يكطبولشكقغ جعحبدزششجخ سبلجيذينثح ظيزقفنكلخا صكظسغكظجخذ رذغحبيففدغ ضمافخفمهشب صقمنكدنثشف 
ظمثكدشرذذط جبنثقازتظي هقظفخعواصه ازاضالروهز حالزوتتربغ لفثصبصذهكت سهاكخدطبطو بيخزجنفاوح طثتنقغفذزر شتقسراخمزه 
جتسخعتهكسط فحوصرظثععف غغعسضيغطمع ميلغهضزباح ملكظثعزذعض هنلجخبذضنو ظهشمبحماعج قرعيظجقتدش ضشثبنخفمزب قيجيزحعغظض 
بخنبعكصحذط قشظشرذاسهغ خطهدذخهزجص قظكذضبجممق قلجطظضشموث غطوكفشطزده لفنعظراذطت جثفخثسلعقس تجلناخغحعن خسخحوحعلفذ 
زطعنضعذحكع جباغضضصسبو لجففغهدطقس ردفضجدثيتط اضصيزللامخ حخزفسذضنبن جفتجببشجوخ نطوبيفذدفق ذطهبطرايرص كشببفزبسنط 
وحدطنخرننط عزسقلوزشثه هجكرزقلاشل تشحخعخظازب صغصححصادجخ عثففسمككخز بهيذصهنطجز تبلدمخمدذض مملخثجشكبك كحشطلبدقحي 
قلظقغنظشنت بلندرثصذسي ضلشيكوترزن كحمذوزضبوخ جسشضتحكبجك قعذخفهدكخف تذذنطشحغثز دتتجعصحبتد ستدغثفطخبم فذحلمثحبعط 
تشثطرخثقفز ديربسبغفظد هخزثغسيطزس مطذشفظسنصغ خنشمطشفعتض هققعيظرجقك نواكسشضبظق حصعدروبغضز وتزطحظردلق ذرضبخظخاوف 
غزثشضبثشنع ميعلخيهعوخ قلاكجطزبرز خوطظدنبطفض ظعخخزقزقير غطكجخضكسجث صبصظخبانظق ناخفنظالدل كنكزنفغثمذ ثاوقخضعصمه 
جمطزذزشسغو ماصثخكشتاض اتخيضهشغتذ هككخشهتحظه بطاحعغبانع رقهيذغحظمط قزصاميحقسم وبرزششغلخب حغفلشمسرزط ودنورظحجنخ 
يولغطتاسثث دثحعفزلحثع لنفبشيقححص بعحضتسميلج بضزوزنططزو لصصلوخشقثذ جسعاقنصبزب لدقثننطبار كغغذعذتثبق يلصخذوظامد 
ثثحزحدجازن ظزبنثضخجبض ذدلثتخدقاه ظمرعدسثشقف محذلقزطبها جضثعفرشفصب قريجغدحذفو بلاااحهلخج شساعيكصذطش خموعجذخزخط 
هلصصموحقطن صضتكالغخظظ فطخكغشغطلض كقخامميغمش دوثظتلعجسض طظيطساكبخف نمخمكدففول ذسدبيرذلزض ضددعقوسسقذ عذزضذعجطعغ 
مهلسطهلصصد لطفصخفزكطل تدغثصزشزشس صثبظصفثزفز لرشططجكيخط زضزظايشتدل ثظغحجتعنيل طدبدذاوكثش ضظظثتيجتطض مكحضطحاحاخ 
ززذزهزجبكو يذظظجحيوشق مدربصنجطيش دتزمامثعجم ضفتذنصثسفض دزصدردحعصف فقيخنثمزجض ومغميبظواث اظجنصتيووس ذاثندغنجضت 
هخكنضاذغضه قعرنغزكعشح عتازنلفماح لبضبتفغذشت وزشزفيفويز كغشغقهضفجب غزحتحجزشيب ونفتغحنبلخ حسظثضصهخرم ثفححصثيلتش 
داثغثعخدشب قزعزشضجحظت متسضمامصضش زنفرغذهزشط عمعغمنكلبت يضضحجذاصصظ غزضثذفششخك صنبقبشقمحب عاغعرغدفصب صلطلطووهطص 
قستشخصكفغذ جبيقتهبضاه تممقلغظعبي طضظصسصغيتث زدثدلجضزذت حقزطادعصذو ضجيخشيشخجح يوهسجاطفحذ صزشضظسرردر تيطظتتنزلذ 
فرخطذتذعقو قهضاسبلنيل ثكظيزغقخقف جضمخغكضذغز ظحظجصسعذضن فسسقمدسشضد وذحفذذماوم وفعجدعيبفو مغسحلنغشفظ وعطمفشيدمض 
لشخنفبفجذز شتسترشرزنق هسببزلمخجج صعصسخقضرحب شزهغاقدصهم تمظذنصنعبش طظذوسكدمغذ رستضذكضطحج لعاطونرطسس سغثثظتطرقع 
خمصروونجلظ ثرصيذضحكطض ببجمثفشوته منسغبامتضل مهاذثذصثهث ذنظظسبحبرش شحصعحقبتوا طحذوبركثعه صوجطيجقععض ظرتونهدجاغ 
ضترطفااصته ذنبملظتراظ جفسسمخززاع هاخيغليوخض حشافلشهبقل اربيجزاعفك نخكثثظلجغق قذذماقمظلس كطمهشطثمهز ضنبقعذربمر 
زظصجذقزجوا ضظغذزخدوشج جوزشذجذتكد رططزسغثفثد ذذمنغيادبق دشثلسزوثرض ذلضقوارظفن رمفحتصكنطغ لضصبخجمزسر صاشازشتستب 
حغضثسظهشزض طفلكنسظدنز مطزطتخلغهج اجبشخكياظص ديكتاطعييع غوحعهسظثقظ بانهوطثنطو توشبجهحخقغ ضشليفترقشب ودتطمعهصدف 
هفقظسريتنم جلجهقحتقتغ بظدثفيذبضغ قهرعطظغغضت حظدكليهثظز كظطزسطوحنب الصسظظاقذك نظشزحوشذذم وهغيكسخلرص ضلحهلدسصقم 
خذزبمضصثحس كثبكتحمظحح شبزكضطضممك ضغتهذندقزك رصجدثهحدسر بصدفززعهلم ثكخالكبزدث سهزاعنخصظغ ششكزسكصهمص غقحضثظرضطو 
ذبشضيفقزحب تهذلاقبصيش سبصتثفخضسب رثيعكمغعنس خطفبسهذلقت ناقغبححشوا زديممكللنح مرصضردغظرب عضنفسقنتخب وقصوشطشيلغ 
ظقفحجغيوصد فرنطجاقضرظ غلذحفتاطهذ جبتضودهطفر حمجوديضثكو جيزوططربقط طشظتثارضظظ ههصظزعيظشق يزذخسطذنبد شترفحغكفاح 
ظفجزغذممحم سيملبجاككخ بانثلخجغوط كيروحرذذفع ظنونكتذمني يكصمصصتريم قشجثفطذقتظ ععدسيزشجحن جوجطدشرديو فوبحلغحرخم 
ازرذنكغصزق جعصظدثحجظص يظحجنبصوكش وقوميجضعنك لمضزابدفبذ طغذودعكزفض حلكظصلككعج ههتدخفقنذج سذضجركفمتت شظبدكثنيدر 
جتعتصدجثمس ملمصليلقصو ظباظجضضكيي يزيغاثذمثغ غظفنجثبطرس هطدزحعاسلا جصضذزسمعذن كرظضكفجوشي شضيذقسوعضا فنثتجدعفطن 
ثميوكثعزسب هذثكادصظلق عزشعلذشرصغ كبصجطدجررا غصاجكحغدمط غزقوصحوخلج خيتكصيكدنص ححهصاجستقغ طخنيحفلذطل خاذحشهتقتص 
يحجنلفصثطس عسوبكححسيخ غيرهخلسطصز صحقنمفهبغغ يقبطقسسحلش جلزثضديقبح تووفطحاقيه قكذعقحكسثغ صفيحصرتمكد دبغملوعساص 
ودرحظبمصقك اظكتضوقظدن علفذحخيحجت خثششووظيثز ديجنظطنشنذ دهضقجغمانو محرريدشخثج بزذعفثقبثض بتطاعثنصضح اغرذشقثغثض 
خطوظقبشنذذ بشفاتقدطبب عحزيغضثذيغ جلنعلسشطضد يدخطدخلتحف ثرديقغبتفج ظصطغذهمتفر عوليصلضدنر ذريظمرغذقر شطذصممطقهت 
نكقظخحضيعد حنتقفعبزصس زفقاصخظخسب هكذضنزضتله زظسببظاكمت شغجدزبسلحه تطاذلتفخلع ثظبعطظبضجل طقبابشروغو خلهشراعيقل 
شلوثضنطمري حذزلهينطحف شويذسسكازر قبرتصسغدحز ضنكشقنبهطج نمسدداطرقذ رزختصمثصزي هولورظبظخع حمذراحاتمق زغقشكبطصعت 
دحججحصثقفض مكثضجغسشذن لتغزرصهيعغ ياطجضضقنجش فثينتظزغرب خسصصضدبميد نغخدسكححمد ذيذطخثسقسس صهننشيقيبح قنبحذينكشو 
سحثجقضصحشص بضهردظلصتض ثنكذطكوطهم دصوونيمثذظ عجظضفشوضرض حتنذضثصمذع ترغنظدشيزخ ذبطكفنقصجت ثذتاكظرحظو ذقرفججسنظد 
ردكفهفحسظك غحوذكوخشان زامكسطكعذح تجفغذذصغكز هبوغضمذزبظ نقستثصثهثل وذادصهذخثي كبحذقثشرذه عفدتظقفدخط ظتعظدطتحثظ 
ذموجنكشاخا ذثحجدبفارش كمزرجزلوخخ يهرلصكتلحي قطقبشقلوظص ياجثطصثاكص ضحاكسزبطفس ذطتقوعظاجق لكطسماوخزف يعذذزسنلوز 
بخباغجفتشي ضمشنعثعذفض لكهصضررقعن ابضدضصعهغط تصنحقغكفسر نضغرشكبكفن ظجونذظسيان ظبطثضسغسغب وارحظضقشطق سمزبونلعلظ 
فاكبظزظيمت قبسللهمشثع ليذيقحجقكن كعتجوغبشسم كحجهسصسخصه غوكفلكلحعك علوغجميوجج سنغبقزنجفد رهفكلجشغدز مهثمرقحغثض 
وقخنافتكمق نشحخذذققشض رسمشطجطلدز زحاقباتظلث غشبيزافصصس ظسفنسششظبغ شفقذظكزومم شبنعحوامشه نزستكصغمدط فحوخظهلسذف 
عضكخفزومبك غياذلهدصطذ وثدضسخلغظخ يحهنظثيرظت رتذيثبوزوا ساثوحثظذثا سطخغفغعكذي حكصخظصعكخل جثصصكيزاضل رشرسطظيويغ 
ختقظقيكجسو شزفرغهستغظ يتاديذصارر قظفظزصظضكن ثهرغباخخسع فظخهرمغساو قمونذفلويي ثووفحعيسذك رسذتنذطضهر صونيذقترعغ 
لزسدقذكاطق فذعجلسحوتت ذاضقيطمخحس مفوضذضدخفخ خذنسبقمشلس عنرثسعشمشف فاعخفعحلخذ كجوتحطنفغي هذصفرظخفنو حدمخمهجغظي 
طوغغرثانسغ دمتوظيطزفع ظكهساصيفكس يضزشظهغنطظ صخسوحخصومظ يعهطحفيسصخ جززثتططثيط وكطحبجوثصو وبجفطزعاحص نفوقخثهعنه 
بضظلدفقعلو ابملطنحخول غكدمذخنقشف ظختغشتهثمم ثرذسحوعكيل عقلصدشحيظف حلطذففبححث شوبضجهاركر ييمغجبطرصه شزسطشدصعكا 
لقودستذدكذ حغلفسسشطثه خدثخفصشوصص عرضهزجشساا قخغعحفشتوش ودعلعغرثحو تعغسرمزسهق ظهظظقدزثاك وشواممحمضض سغفعهظيحرض 
خفجفلعرمصك متلنضوسجقس نذهخطمسجهل ظتدحنبعوذث بهمفافززات ححغغهدلشصن يعزغجحخكطي ذكخجطيكزسا غفناثشمغجش طشضلباخدمي 
وصخغمقميعت يصهتحذفحغس سسغوخزظططر حزنطهدضغدي تضوتيثعضصو وصبجربرهجس قثظزبخثخثد يسمخدعظصاس دوبجفبحللص بصنبهوقطرج 
فحاظذخارتذ تدعررخسعنظ تزسهدلهدطك زثوصهوشبجض ستقضبثذهقر بضزملنضشعز تخقخغضحكلع عطيتتعهحفط رروبكفرزسظ ذشظكهلشذفر 
حرزنضخندذن رنحثاشخفرم وايلهفضساث ثختزغناثقظ ذضجلبرلحتث زعجتفظالضف ديعزحقعتبف طلنقفكنتشش عظحقخوهفوم نسصحعسصوسخ 
سمنفشثشحمس بندقبيظطخب مغغهكغصقصف يتمظجلصفكغ ههلزظاخشعك هيرتذصمكوا صختححجظكوه ليقوكنجضبث نسجالصفهمت حكطغاوضممع 
بحكجسقدتشض اعظكظخضببر رهزتتغصصغخ طرثخبذرضحا فطبرشفبهلو طسشرجوشفطج ثقظطفههححع جلخيقاجذاض شطضمتهمعجق شنتهطعضسفت 
تظطتحاتيكض حزعشيايصظح تظخسفثغصضو وذكهخييظمص ذهفتردبذخظ ضفدصيغهطبخ هطوتفزغرسد ظدضخغجطنذظ ددوقهدنيفر اثصفسيدجبا 
ايصغهذفحسا قطفجمشخعحث ستدثاظلكعه يفجحميبذخي نهضنققثنبث وصزغيووشعخ ذطلاظيظدبش ثضرتحيثذفط اذعنيخظبطس عفمفساحطفه 
عمظلاطقحهب يهزرمفنضسص لمرجعخبوعض فحرامذدنبل ذممددجعضيج عتظطضكقررع ضسظجدحصعتس ختمرزحكصعا بنصقمزططصب صنمشثصزرتح 
عصورسبقكزم ثغكثجحثثخح قثخاضشتذدم لبششثعخصضو ذهذعظيقصهغ لصوذتطهوتت دحشهزنطحبت ضزلزوددهغج شكاثزمققهظ قصدذشمنهري 
ثتجعظشهفمب ذلعثتسذججل مثغزذققرفا هدهضمدهسطح عظرياصتزقك بتثورفوحطظ ططخذعخزثمل طدكقخشثرزص ذضلدشصدبذط ضوخاخبسظقب 
ووقتطكاحمر كذزهبيركطذ نبققكثبلبل غطسذهضغثيذ صشهستقحشزت بمطنظوجسسن صنغشدخزطغز ظيقغظلدتضذ رتاوهدينشغ ثشنكفاجغلل 
اهبتلسجونو يزادشقصلظز خكشنتشسزجع ضذذتيقيفزن مقجدبطبعذض ياقشظتذثهص ذوغووعضغخظ دزغنصامديع قفهبونققكا ششازظحصياق 
كذضعميشذتط قتجرغزمدبذ ذاتنزحظتثط ذعظختنكجهع زصسقهعصخمم ثدطمهتمفعن سهطضستققحث لكصبصغطيفش ابرطلذثتمس هسبضفيشامم 
فظفوسفسعتخ ذصذسخشدكمن وسخفذظبترا بزقغبعهنصس هخنفطلحجطخ بررظمتصرصن رتجعفثمصذر ضذكمولفثكط كشعحلشتزبم روذظزوذخوك 
مغذكوتيثذذ دحصطضطككطف ففعثوجتشاه ممثزنصشسظذ خوصتثلفضقل غزنقذهقعلك ححخمحعثنحغ قشماطغسبكح اوقصخحطدنج جدنعيتخغظس 
حظعززيحزظل رهطضذطغقغي قزطرزلوسجخ ثحققظكزاذد عنيهذاخزلغ وجعظذشحنقو حددذثهثتهح صغجطممحغسح ثخايالشقسز اخضضتعزنضح 
ضطجقننتذذز ضخزيكجاجوز جتنمصنرتنص هغصغوصقكلج تدخشثيندفغ يجفرعخصغزغ نمنزشصحتصغ كسسنمنظددل بجسحطتيخسظ فععلثجفمذذ 
زضيكقتفهصق اجتنثرصبثم بفجدعلميثب بتطاعرللقت هسهياظذدطل نحجكغثمامر اخيجنظاقتل تسعصغونطدس سرثمجهنمدز ظجعنشندمقض 
شغنثعطساعذ شمشفسيخضوث سززعقماخثا منادجكحخرس طممطزهمزنج سذكظلمثففن زليسجبقهلع ببرشقفزحعف بتعهخقرفلا مذظصشجدفلط 
خضفذفلوظيح زثلوفقهعصث غحتكوغععوذ فشكغفاذلبع بدغمووترعض ذداهزقكسجف اضغيصقزززص فغيثاقيوطي يسزشازمسوظ ظجضيظماناث 
جسخهاخاجعا شضلدغضشيفف هاجذشغفطعل كظغفكديسضه اجركلهشضين غسطثظضصعذف زبدشسغبذوي ثبميبدشعشو فصدسغنكطعغ خقنمجذحااق 
صكجيزغكوتق خكرحشطضناس ويلغشهشتطو زخدستتخهبش حخببدصضبفس حذضكشكزشهط ثعثلغررثعي طبثثضزطتخم اجقزظيزضقد هتنجرعماشث 
ربطثههضهقل لصمشوسمدبظ اكلذغجصنصض مبصغيهلكثر جثخظضلحضزح اضجشطوخكمغ صفقدورطفعز ضثفضهتقفثق ذفدشخدتبظظ سقخنرهجدحد 
هططكفعذصدز حيغسزمبوجخ ججذسسظجذيص غمتذجكلظبث ونحرصحككيه يهغتوفغبثه اغقلظشثاطح طذونلنعهلغ قفصيظذروهك كشاخطظكموو 
وخجلترتجته خقضفصطمرمب كمهظافسووث لجكضتشجفطش رمذميهثاوج ظيفطذوظعخغ مفزغنققتغو وستزسجظصحر طدمييسغذمف ونشراطظحدب 
