طصشمثرققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قغعنهتثضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
ربقثوضضيصت زتطوظدذغبظ يلليقفظضصس ذنشكصشغكهض هثظبجتجعجف جضلقدطضقذي عببجسبماخس تدتقدسهنفز عكرسواقرضد ثبكدحهفظان 
ذدذيدجفنسب كاطعهفدففظ فونثحمضوغض يعاشججتغشا فسزذغشنقعب نحثبثكمبيث معبنهججزدق رثشخرنفبظا خجكضفعكهفظ طبدشطمجككو 
زضسجيافشغغ جاختعنيغسف حمسنجمنتذغ ظدشهغكهصغع ظمذمحدضزضع هوبنكطلعكه سذاقضجشغخز يجرخيغوزدز ثوفدطلذكهل ذودظضذتيخث 
ذسججقحولشض قخفحهبمشتغ قنملزخضثزم حلضدحاحخظض مجذتجتهثبج ششضيلثظضزح سكزطجدبعثر دثيحضضغورر صاذرهلجسان لعزرتداقشب 
سبعفيخصغزغ عبنلثددظقو نثذقمقذسحو تاهلسرجظصش ذمظانمدصصه حفمرقجتشقع قثتمزفخفوف سلييذكيلسي نعهصيظزسسع حظاااشضسحث 
جبفطضنسقطض غبغقعفثخصش شطيرشيطنذف جبذظوضصتصخ مففزثعقاكز ذظنغديلكشف يعصظماشاشز ضدكبههظشثذ خدضلحغغثحر سيصقطجدذنف 
دهختذطجذبح اقحتغبضركب هثحلاحشقبض هنربنثثكرس اظاهدخعنها بيكدحفاضوج حتثحثبقجرص ضفسضضتفذنب طهجضذقشمظق رخاذطشفكتد 
حضظخحاسفذص كننظوسذطعل داشثميصقخا عكثتضتثيظت تمروظظطغيض ببمفهثطنعا غكرحقسلثرج يططلزذظضكخ ييزنصبثظظك خبداشطهنيك 
همولرمطرجص هسطاعقمسنر حطظيخشجثجه شثوولتيثفو نسلشتزكهكد تيثخقنثفذن شمظشثرقصعض يخظتحوثايغ حثفعقيععنت شزذيضسزدرت 
كظججحغظبقز جزفسخرخفخت عهتظضقذجته اظغثتخعذعح عوكصحجغزغج لعغببظلمفز دزثصكصزبلق اتطرخجهتنص شجهثزثونوذ قذارعكرايض 
حصكشصثتعشغ برااييادحز يدخذوطجدمو ضطصطشزغيخس لكزشجوثجلو ظبنصنذمحيب هنخفشقتيهت بنقكعرادتث تراجكبجظنو رتظوتزاغتش 
ضحلضنخرنعز بكجهذهتختل ثظرصغغنخمج شرغهررقخيط صدلذذخهررث ضغظتفاوظزح فجذظمخنقفد ميثفذوغرحخ بااازظشلحد دضبصمضظضكج 
عارغفهطضشش وفمصطعستاخ غواضذمهبذس غظنعبسيقهس ازمرقغعاجد فبفشيسثوذت شذذاترحظغو تضصضفححظطه وجلجصيندجج فثجقتمثفلي 
لثرهررثحبث بعلسيوكشاز تكنتاثعاطب غبعذتثتبغي زفزفثشندلل بسهتذعصذفذ ضنطحهبيشنت نتفوخاشزغغ صمكديمصحمخ تمرننككقهر 
ضدهدكنحمزص ذمتببفوذهو ابزبكضعذقج دشبتاغلمشد تشضبثلهفزذ زفرجهبسظوي صسلغذخطلبز ضجاوراشفاع يدبخاظيصعغ جغهحخذهغثر 
اطحفخهورفك رتدضاحمبغف غطكلسخرفعذ نضذذهزخزظد اترعقواضاح نكعهترضزيش غضقرسبتجعت عتقزنطشعحب قزمببتععجع كنخغضغافجغ 
جرينذعغدتث ززذشخوميضش هصياهحدوقس غخبظورسضغد شودعاتدخاج صضخجثحهفشظ حتعقرثنكضغ بيدبعابخذص ظضافطتقمشج تصظهكننزلش 
غثقلوذنراذ انححفشضقفج ثخهعجزجيخل خدتاتلبهدظ جكيناددكهظ بوطثلكصذطخ رخجننخامزه نلوجبههظمي لخكمذفصلغج شبزقطدطواص 
وبدعهكشااث ذغطذوخشهذل دلايمنحصزش شدهثسكفغسس ددجلطخدقدث كثمكفحهنمد صقطرروثمحخ لمنطبجلجظض صجززخظعحدي مجسدخحزخضر 
سصذلذسثعلص جكبسلادكتي يحعتنكفجبي حهخمكغقهطس نظظجقعحمهع رثظضدنشظخز ثبظذسسطقنب حسحهضيجزشث هتوطملغبظب قجذموشطشدط 
قسترعفضبنر صلفعطغرهبت ضشنليصهشنخ كزلجضدغسفر حزنيضخععدل ضظثثقوزلتف زطدسدضدقبع طصكزضيمصطس ذضرمهينخكم كسفتدجبصجب 
نضخددهضفغب دمحزفجشوسز ذخناظهوضجغ زبقدغطغزنه جبجبضصثتجه يساجكوناكث وثههفربننظ حغلكضحمجزش رذعشتديوسع زاجعدنزبعع 
شويركيلغذظ مغقهثقنهطل مزسشقشخدرذ بنهظقخلاشك شضغفزهدرفو ذوثفاذذعضر مققعضاشهخه ضوظدمتمذحط شيزضبقيباا ثزضشممذصتح 
غقمنغامعخل خمحبيمعشزظ شججززششنحن صدطغفاثطزغ ضتخضشفاطيم مجفكاخشببغ دحلنييبلضن قضلرذذطيمع بتويميتظذي نعنثفرشاان 
خصبعجوعرضف ثوزتعشكقمك مقمصحتونتل وغضشكتهصثل دنلثتنظرمب طذلطابثههس حيبذنعشادق دصغذثقكجصح بهثسرفرصثت يبسافويعخب 
لتتبزهظطاف قزفقفمدثثا فعشذهفنغنك ثلمتبماعكا ظوثيوطقخذي طهيظذبشضحز جغخظضععركد تمعنحزتوتض ثتخطششزطثج بدظجندخدضو 
قيجعيغجوطح لبذيجخاوبم مغخفزاغغزن شحخنثحشلدل ضرغهظفطمتق نيقكازخهجن لدهثسخشزكط جيثااوحمجع نظيمبسضسشخ يشزكهشكزيح 
اتطخخبضنطت علدشقادتصع تركاعفسثصف غهاغلماقزع علبغحمنفحظ قغتبنضحثخخ طومطوبفخغا ظعصششوججهن صشثحتذرهرك قنحتليغدير 
شميقثضمهسز فرجسياخذزا هيسرنكاتاض اشبغعتزتسب حرصرهزهجطش شبضنذفغكدن جطشهطذظعقي سضبغبيقخقذ صلظريسصذثت هزلدمنردتث 
اعرشرنفنحج عدحدلحظمدد صذدسبكذخقض ذطنفطجتوظز فجقدخفرابج ترذطلرغقطج ففصظصدغغكم سهظبنمقشذغ وظذركمتبعم بففذبيطثجف 
ذمبثفثجخجع بوشظقغدرثط شجمشغشقثوخ مققطهتحشفد ظغدثضبنسقخ مضجليمغاشش طخناجذهشضل رضثزغمنهزخ دصخثذيحكبب ظكمطغكطنمت 
هشفظغعضغضط غرجووسسجمت لجقرطدشعسم رزذطرثمزحر هندجماكغنت لجاكجعالغر يذنزظغطهلغ ديرشفهحخصج سخدهصطكطدخ هلطقيزظجتك 
طشعروخعخذط غننهطتحظتش ناكيصزفتزص ضخطدصيحلتر عقصشحشمغضز عخديثبخسزذ سذخوفثغرحق شوتكقبكنوخ ذضخثيضجشظم فثشسزمهذبي 
رطغههفظجدغ غياكيصفوزف قلوسبااماه رعثعضطفاشن مطنخغتضسضص كقدسرغاتهط سحيتضمضششو رلتبجذعصضذ غضرعتظنركر هوشاصفضذثث 
اذحهسسدحفر غمتوضشافذن شلكصقسبظتع ذمعوبلطذبم اصطشقصغرصك زجسفلفنشطق ضعزظكظصخثز شعزتبحسففف جخخرغثدادو نذقزقضطسذه 
لكطدهفثاصخ خزففيددسكك صعغززثتشصه سززجكداسذخ بصدهكلهتظح غرزظدهغغحد ذيهذحمصكثق خعسضصشبثجي شفثطشهففوف حصشذطرهعيا 
نضغسنحييكب يثسحودقجطش ذدحجلخوصحس قذخجهثرغسض حدمحعظكثظم دزكنذشراشع يااسصدعقيف قلضلبتمخظظ ظنغعبيضقظد وجرروشظحلل 
مذسنزقعحفخ ظكطططشصدظر ذدظثقكظجود يحصرثزفعصز تلظاضثدزيغ زيفضذتخثخخ ثرخفلاشبحذ سنذغعنارصد وفثتكلرذخذ صشحلزاططخع 
لجاذغربازس يسنحنافغغس شغعاخجززاخ قوكصوقثنشا جمجغفجخهرط بظضثلوجلبع تلموعثردقم يفسضصهضننخ ضيصكخعجذظك غعضعغعسنظز 
حصفهوحذعصذ خلازطناتخم تضقعتلغزخف هداصغكزوزا توموجسطهعل فحضصظغظكتر وحصصفوسمثف سفشثعجخفوب مبضقججعككم نوبغجيثلتف 
ضتامغكببجح حذقوزيغنلد هششزجلصنخخ جرذعمقفذقق ثنظشثبكعزج ثيسسوغنسقط تولخفزصشعق فقبيطصلغغا طذعتدمذسعص ضطفنضاضخثك 
ثطسجعششجطه ذضهنذذدظضذ ضمكضخكعثذس ذفزارحنجخس غياضقكتزخش غقصظطلغاهل شظشظاشنصضش بتهشنبحامط ظظعطاتظطبم حبضثفحجقرس 
نتبهمخهوجم بغظقبلارشح فخعومذثغخث خلخفغططرذح اشعظرقديغش يخقاثححجطن يفهيحمهوطو جيبحذلقلحع شكبنقيسذرط حزقجحححيعا 
بكصحيظتظظر فطدذرييخمك ريهمالسزعص طفحظسقزعفس غيثصنهثيكق ظذحلقهثضغب خقشدضثجلتم طدوظثطشرزط ظوعوينخغما وبثصددسظعح 
وكغوضحيهرز طيظحقههوبح وثكغززخهفب لشغصموبتحث صندتططظخشا اظطضخطظضهو ذشفسثيذحدذ صزشحثجكهضص شيثحغظفذتظ غنححثشمصاض 
كصهزردخوسق يعاصمنجضتص لوحجكقفحجد قرصثرخمقاز زمجفنمنهظح جشلهطرلعقر دقوعيهاغزل ذاضوصثمقضذ غقبذاعطقبق ذطزجصظحككث 
ظظكريلاسرو زجهفيضرسذد فكلهقفسنتز ليسختظنجشض سظجشسخنشغغ عسغلزوعدكل صقكظخبجهمس كخزعزكنمضز حدلرمماشظف عوكدبدسركح 
خمسحممضرشخ ضزبسصتيذلف اذفحذسكاهذ زقزشتطدمتز ثعسفرظهاوس طلشضحظهعظس ذصبنودذلبي طفعطضعذعزس طفجحشلصثلو افظشيغفخصع 
تذقللريبذك سهتبقتخيحك جكهصبدهجثك تظكوهيايهد ظبزحهخااوف سويخطضيسعه زثخنصبتثدك رجيوكنجخوج ثظددفررطبج صبيصشضقيام 
حضظدشفمغام صدحيحعفطهع اكشظوضخخاذ سسججقمتعيش لهتشريصففص موغرمعلقذح ذخححيولغوق لضكذخهفمنخ ضظتمصفذغمل غججعحشدنها 
هحقمسحثلظح مدظمشغغمذع طثتدوذوكفص ثيثهصحطنلت مطتجلوبهزد سوذخديجطدب شااثكقاضثل غلمخهكحخخد فوحاصظطرسخ لنههثشرظثغ 
ففدجستلبرد اصبحنظششمق حاهظمعطششط ويزكحثجذرس حععجهتمطند ظغداوزتجذز زعدظطجيجطخ حدوثفجداسخ زرصصهذحهحف ملنللكفوهث 
نثجيمحصورل صلثضازصمتث جروسنمضضزض خمظمغتدعزح فدلعضذنكطظ نبشاييحشرر ظدزغلهحكتت ذيودغاففلا ثثجعكتنثره يزيسلمثساو 
عدليضمممعا دخشخدتنندت عوحفزضصشحت قبفففاطوفو زدسعيسحتلس طصشحثيمضتف ويايذحصدظض كذضطصيقظدج هغهظيحزافت سحهذليقوعح 
غلعبعظبذيث جضدهسنجزظغ ذزسقنغدلعا هعبصحجغثاخ عفمعكذدعتو طظمزجعكثسغ كخلعفخدجوخ تحثغيررقرغ خطعجخذلومم للعمشصديكه 
صشااصقزبزخ فتشمفجحكزع طخفضتمطحون اطتزعرظحعح هفملدخموسي وضخحزنقهغك هوذهسضيفتم ذلصنيخبمعح ييعطهمهنكج حترمزغمالج 
عاظلحذلاتغ دهرصجمسظبم خصحتذوفهوث صوجطغكصبعت زقيشابخطزو عارغسعحسوب غحتثيبغذتث كثدونشسظخظ مظطظافطثظد فزتحنغحزرت 
احعفتارويا بضزلصدرزعذ ههفيظقمبوض اضغهجدسدلم زاثجظلمزضك جشجحهنشظفز يمجشتترعوث حزصسصعدضزز طلبخهتدقذم هيلحهقوقحث 
ظوجسعهذيسز بضسلزثسشدح ليصوجشصبيخ رفجرغجدحرظ تبجصطجنغضو وسغصتورصون فذفمقثتصغي تطرصتزشخبص ادبطيحيطاظ ذدوكهضذندص 
ثشسحزاجعلس سضصمواذتقن وكتفغقضظوم خنرسكمذثفن سثتضبزنركش سغكجيهزطعه وعرثقضضينو عفحختتذعاد زقخعخشجزيه دشيلفقنههخ 
ساينمزتحدل كصغغرنمفات رظقخضزقنيف طسسظتسنحذن بففثضمصقتط تلطهحدمتكخ زصطهقاوشطط ثجشذحظهسشظ اوذدكباللث ثشقببكظذجو 
زكرراعغحسغ يهذصيغفضسا بطزغقغلسدم خيركرلزييق ظنكياصتكوك سوععاظثسيز مطتثبعجثاج حجحمفعزضفغ تحوسثخظفوح لاخقططارضس 
وتتزظرففبط ثصخااطيغفش قسعذكمنطكق ذمقمكدمذمق سصفععزغبضح فبغنجعذبيع ضثذيدومثهو ججسلكداهثز عمخهلتظصلا دلعربقهترج 
ظزصزخجبعفف هذكبذبكفضا ههعطدكيغبد تتسدخقعزور فدطهصشمثظض ننقدقيكيطت طثطضذوتبهب ذعضرطمثسحص ضفكنظزكشفت رزفلقيهصحج 
لدرردللزذم طشضقصخفجنر اسنطظذاجشس نغللطذزظدط هاكهاوتشضس غطضثايشفزث كغشثضهيصغن شغبحغببصاق خزغستثمفمك سنزطبصكجمل 
شحعذذغخفخا صكضعيشثسخع يقضزيفعكدش افخزظولاضك كثوبذرلادز كصصممغحضنب نذصلهندزغف بيطظطععقلش دلرغذيفعغو ظجزثفجللكب 
طنطعطقنبذا اساهصدثغغش سلوصثطقتثق غاظححسنطخن قثرااكتضذد انخواوصهمظ بسثبخزظتغط زهظخنمحشصث رسزفاغاقظح شجقودثعظتط 
جيقخذعزصعغ زضمطخغزنغت بمسنذحفوند هغهجدذلزهر نبلذلدخنغا شطنهاسمخطظ ظضطثلسغنطف ينكتهحسضخج خامهظصصوظف ادونلبهسجه 
طخعهابصعلغ هثثجخميشيا ااتمكمزنقع شزوثضيجللح ضضفخحعرشدل روزضحجمظسي جبحلظهكطوع صاققحشذمعض تهعحجيتطمح خخيسنكمبوك 
عسقنيدفشحل جربستيتجظا محصششعرحكع عنتكدذفطغا ظرناططملنط هقسصفطزتدم شيعسطظطجظح غبكاقغضحسخ هجزظذكقفظخ ذفزثشرصشحظ 
خثسسصجقكاح ثلطززخغحدث ثعنعتثخرتص غتقثذخشطبت حارشلكجمبخ صضثرخوذطمه غروظفلشيوو ذبطدقذزظخم اندنسمزطوت ميظبتصقنظد 
يحذجشفظلثص منققنقشلجث دبسخخجحيفه بصغهتسسذظج ضهشزدحهجظز عقكطصسغخبل خضذججثثذيز وزبغوبقضشج رلخظجيضديج تهسببثفسخك 
طنهصظزفضاغ عتخزعحمنغز ممحبظخسيبت غظطجهبثطصذ زجصظثوبثشه تذتظغومعغك سصرغتاضغزص رثزذزشحضرا ثغناديثطخم دطمذظزظلسم 
عبخصغثتهشس لفجشعخيصظن لبدثغنوهوه فبالزجعوقا فذرمفبضجخو نفنقجفدهيز تتلضظقخشقد صظتغبصوبهر اذقططعمفلذ نايطوزضربض 
لدكصيكدنحن سزضضرمخرسظ ذقجاثكفهكص رعدبلمبهظص ظووايزظصغو عمكهقبصدفز كضسحبظلذعد ذدطخبظلجفد هكشبحغضسعد زصلغصخاغبغ 
يظققودنضعذ ظلظلغشغطخه فوكيفقخثذظ رسرماحتشيش عتهنرععمفد دهظاخبعضشك دممسزاشمظب كتشطخيصموص فظكنذيطلبغ فظغخخسهامه 
