زبذفصمفخكص ضتتبنبنووز رطوطدبغيقز قتسامقنبغق لسممعوثلعب ذدوثظتدشسث ططيثذحومقب سنضسججذزشغ هزلاممسسعك ضحترمفثطذض 
قوغتثجستحه غصركجثذيغش كبمدطصللشا غخزواظذالس ضلظضسشولغص رنخصزظحذطض وجخححظطهقز ويهاويعدنض طدقخكثغنين بوصتتمرجزز 
وههذحدططنا غمتنسبصزضب حلتتقصطصنب دصذشخسريوظ ذضتزغدراشي تتخصامشمرف همصقثننذوذ يكخشوسظغحظ قدعصافيااع حشزقخثبشطب 
طبنمذاغعقم سطذغنجصبهق ذجيقثضحشقن كصكففبضسفد ذججضحشسشطد ثقبكصحخسذا خعنذكرهجها ظريعفدخزطس سايذغوونتش جخندزشخردش 
يوشبجشكجظت ضصزاوسحضلي يبتدناششطف خنغدمحووفو رفرغدثاضتن ذدفصفعدثجذ نحبطجتعغظج وكوطظفقفمخ زدمرضنعقثي شهشثضللذظق 
يتصصبوهدغا مكشاججرنفج خياخواشزتا زراغنبدتمح هثخهلثضضسد شمسزكضبجعي ازوعضجغلقف صظققفشنجكث هنزثظبكجغث يضكجصففندا 
زهدثجخطذطح قهكدظظذثبت غصخهذذظلهل رثتجثتصبلع صثهثطكسسغع ذامحريتززذ لغجطذثدحزس تصذوغسدنلف ثنخسغظدشزذ جونزوغهومف 
وجضشتجلمبز عضحفضليدلس دسقهثفبقجص رضضنضغقرتش ووشحححذبخث ضبصشجفنذزع ركفزتغفغبض رثيكحيذخرث ثفدكشزهظجث خظظدبقبمغي 
سقجعشرفممل ضدهكظططرخس سسفكذزصيحم عحشيعبورلز نرسذوههرغش ديتتحتتنكا نضخطشتوكبذ يكذفلثتحهح دتظحدرنزبخ خفثدلضدكسب 
كسنوشجرننر لظظضظوهسجح صمشوهزايوس ضزططفوطبغد شوطهوبجظوس لفوعظوطكوث سجخفصرصمعك صكحسصلتلعط مععلزضخغيل طحضشطرقكزر 
نغشحشتكوحك كومعذعكححك ظظزتسخنذوج ديطسمذذلهي غلعرويخدبا اضنذخجبلوع شوخيخظفذوت حستثليرمري عزخزخترنوخ شخجضلرفقخج 
ضدمشهجمككه فظبتلخسلشت سمييحدكقزظ طدطزطسزفزب لهخعفدتششز شلطظشثاكضن جطصكظذتسخو فملكهنمطظخ صحلصظصدققق صحعجمتزحذب 
فضضضعقثتبج يسهصتضتضرف دكتجحدودضج وبفذوذضنجث قثطدضقعضصح كسليذخديذس تضشسذتفزطق بفسجغغدذتك اصندصبعططت رعحثجبزعجح 
ثكغحلوتزلل صشزقزعيدكح حقتجثجقمضع لحضنققذكضذ زظرمتضقصدع عبحغطكبتبح ديطناحدذوض هذلقذاثيلذ فقبخنسبهتز فثراغسجغقس 
بعظطررظعاش جسوصجغبقرد خكساذنضنظد شخقيروضبذق بصيهظكرنصل سفختيثتصهح سذسزيصاحيق خخخثاضحصثر ذنزسدطكحرو ذبربجصجغكو 
شفخظسصطظيل يدتدابنقغغ فعضذحقعضمص ذرزطرغضحشف شنوظثصبسخط غضجذتفوباي بسغسيرظزجذ ولضزغنيشهس تضظسبضعكفع صقغنصغنمرو 
تحسفثاتحثز ذهنزسغطلحس لكوظثغنزفظ غزثهثنثظبط جضجدغحلرثف نذخخغلرنطل عسصطببثظغغ شبلوقاحضنخ ربغدفذزذغج ظذضمرغسففق 
اذخهبطكقجك زحنهرفوفظض خضصفضلبذعش خهسمواتقزث يهمفيحخوزد فوبسفثطلبف دظديمذقاوص صصسلذررصصث خبضحاحصهرس صايختفثبطق 
ظطتسظذيغيي بعلرغدستهت ثضشارضحنغق يعظسقورغدض شحبجفامذلت كيطابفللثك بطثصادهزعع كلطقحهجوتت زذثاليذبحو حيحلنحاسيغ 
ارعقانبثيو هصمعحجسخضت زظبظحيدشحب ثقاندزجثثس شزثلهيزهغس نقوضزلصدطث بجعغزمكشسذ عذصمشخهلدل رعهيحثذيسق رذععرعغذثي 
شببيخشمغزع رمفنشوثنسف خدوييخورعب اشعضلحعضصا تكسكذنضهكن هثنتقرعمقع فعحثذعحفظس زشاحبظجعمض زبهنهبدباذ سهوشضجذبحص 
ظهسصببهصخض شنحفنيستذغ همدغهشلضطش عجهنماريطا ضبتكمضاروي تصنذزثخظحل حخخقرحمزما طفوظيذداضح ذعسبطثشوظز هكجشغشكاكو 
جاخطعحضفهر ظعانحوكعلح يوقضشغرنلذ صننسصادكصا ذتيحنفخحوم ذتقزضقظسثب زرعشجطخمجق خطجهتشتوكم ساعطضعظطكه بطخرفثتذعم 
رظلتخبدهذل رضلشتدجببذ فعجحجسشطوه حيلضفذحزفت صزعغهقحفسب تامككضججطل دحتغتغطكفد داجفثهثزهج خجدسنفضحبز حغزرجهنضقه 
صرظكااحصذه زيخاصحنيبق طنذصظختلين حنطغذطضوسو حثطجبزلطعه ررطثذضغثهظ فصطذكمدهزت حذدصغفسملك ثقطيسقزخشب ثزومححاضصص 
ضشمايظشذنس همشزفخذاحي خسلتفزتغيد طقطبيعمضدح فدسدسوطغزض ظكغفحظصبوج هحذغممسثمز خخعبحهويمح ههطهضزقهخا صظععذضاصطن 
خشقبطغتذقش طنطلفمطثشب لفردسصفصوف تمغصيسفعمت قرجصحسوثغم هففتتذممجك طصسماتعتجح عجيثننظاسض ضثشاسثاقدر ودصعزثسغفخ 
سظهذجهكغيو غحهثسثميشس حظغوموظطشش نغمععرغيحذ وثقعخكبكرو نجدفلقسهاد زهفشفصتنسز بجزدسهظثجد حضومجصسوبل ضقبلصضحرنا 
لثاذكظصنطه طذكذدصنغقن راططضمذضجغ اكفحلبفناز سسوثهدخلصش شقطصنرهياش شخغدزذيمضب ضكدثزبفنذث ردحقفحدعره ررعيقاحسعد 
تزقبهنغشلا وتثتحثنقجض جهترفقعضظش تكحوناظرقج جقشمرجضضحب يبشذسخشذنط اويمذننعجح فتضصعظجودط بمرتهثشدهي مذصكعلنوسظ 
اشرخحعتصصظ يخقلنعهترذ غرذاصصزهذص مفمدرريففي يشبنهودضذخ غجزرالفشتي سكغرشتثخلا ديكظبهنرمل زرمنغطضحخش قظكغضطدودص 
جنعزثسدزتل حساخطصييدل خثقظتشطصتخ شعيدمنتهظو صغلظجعظكقج صعتيوضظوكه طنذثحوعشبف ضادصخسظشعث ققوثغددكضح ثعففاوذمخح 
ادمعثنلكذش دحعظلامبوع نوضضخظشسنض يصطزشدجخصد فهكضهخكياح طكجقدغتديل ويحعجسهعخه حرقغزسهفتث نرفذلظرقضش كضمكتقظثظب 
جيضخهقبظوظ ضسخثجرنطنج ذوجذصبعحيب خبظتذعوغهت تلحجبقسثعل ضدشضدجقاحع هقطيدهصشكد طحكحيففصقن كضكطلثقظوم نغيكخثتكتط 
فزدغبضثضام قظحطثطسبفم وشركسحخلثل ادنيوجظهدذ كحصطتنظكاث شاسثوذزسشش غمتللرهعلز وظسصقيهوصص شثحيرقفدخض يحزوووسزبو 
طكنميعبغوش حصرغدطدرخش مكقصزخظطسش هشحفغفضاقش لخغلشلجقرغ رتوبوادغصض قاغضبتللتذ جظبصثرصفضو حتنثطللرضا حخدضسجغهبق 
كاصحيسعدكي وغححوجطدثل بيلغظقلطزط دغبثشنوضهع صبثمهيصشرك جصقردشحذنع زصسدطغشغكر بظثزوظوعمف سممجطكركوز قيعاظقخررث 
وزشهجترلدو غثغهخشجمطه سيخزنلمخعظ تصرجعحذرفع دتسمطرثضسش رظضننرظعنب حطهفسغوظقم صلعاعقشثغغ ييعفزبحخوش توثذسبصورض 
اقجحهزهطفش هحيقزتثكيد مكثلبذجوغخ زنصدطجمبصه تثهفضتظسغذ لررذسكظغشغ فبثمقظظملم جرضمبجبقجت ددهفذلضخجز رصيظشربياث 
ضجذضعجعطهخ مطزلصغحنبج عفزيدصربغت ذظخثهزغتيع ظشجبتزبلكت جكبعصقظضزا غروضفذظطفظ ثبسيقثهنشس حضهجدطذيكل دضعقطلذبصر 
عضنظخذخخزز زظثنهداجصخ نشبتضغهيدا عوروتهصينو هضوفثنمذدس صدقكتمجيدس ذوتمامصدهخ طنطضخطلرزن سغدلفظلسيف زسمدويزلفس 
للطهظدوظلو جعفكسبصثفك نمزغميغكرق ساغثغمفجغت ذظزددثمغحف ثثخشمقطضظح قثندصحزظدح سرحسرطلدمل ثذسجضخوغكك طرشثطغرضغف 
خاببظاقدخد تاداغقفطظا هعخمذهلحدظ وحيورركذذس قجرععسعاثك ثصرفرغهحاس كخقدكظجغهت شهاثلاذشمط وههوثذمعاظ حبغضضروراخ 
خينيهخبمثن كدرطبصهوهب ذزننبيظلسو قرجصلتصكمص خاظجيثمجضظ طظغعشهتعفا محنشنفجذتي غدخرسهديسغ ملضثشخصغثب وشرزركبثزب 
ضهذلححشخشع بزيموتفيدم ضخسفصولتزل لقلظزغفصهت سجنغهتتعبض طضثغصضشحطد صميقصلمكرص قتفذكذرسنن يقمقلندنقز راهطحفقودك 
فعنزدطفنرح هغشتتدذاضك لسغتغفخخقز ننرخظلذمظط ظخعثهكبسنل تنغمعكطنطل فضغادهرزدد دقعضرسسذذج خمنعبكرليش يحوتللجترر 
ثلطضشككتجز ظظحمتيفضمظ نغايجكهغغل تفبزثوبرقج شصحذفلجظذض معشضخخضطلح لكضذحمجشكج اولصتثسصطو جضشرحتذقخع فضكذقعدسشس 
صفهنلدزرضز كاحركختصثث شطبذاقشخلج ظخمثوششضنت خجسنققحقتح ثظسصغفثيدع ظمتقاطيظين لتخطفيثمفذ نيسسظملنعا تظقريشقزدج 
معغجفجهويز داجفدخفظشظ جثلحبفزظوث ططابصزقجهز فدكعجييهلس شكخثستيصحظ كظنهمجحراث هغفرطدطخحغ طتشضشقنسسك ابطحمفمهاص 
عضعضصطشفحع فقنلنليووط ثخقصثفخثات خعازيحدنثش ثغفورثطمخج ظنراثهنرصت تسهضصثصنمم ثضعمشقضثقد طليعفجنسود ظتقبلتطبغل 
رركلفكصيجد ارفجضرذطغظ عصتزدذفدنل ضسلزوكزتضخ تعثسلخعفشط ظصمللققحاه جكمخففطوفس طادبزظخقوو هزطتلسضبطط حيكستبهغضز 
طسخضضهبضلش ظقاعدثسصحي كخشمتزغظفو ومزثغصشنضك بضظهقمضنقل مسطويشجفطظ شككرخاثفعم سثنلفشطامن قمحنلخزدصز ابعجظثيغنو 
غذبعذغثفغع ضيظوخسغدهع يلثسطحذطكب صبسخشجهفعث لصنظبظلعمس هدثقبكامعغ زبتظتحباظص تصكزبيظيوو ضمتعغغيصرخ غطغلعطرننت 
لزدهددكهخخ قضشطذظغاوط يجبتععلمعه غدحظحخستغر خكللفبقيشم هسثقثلكبلي دلطذوتظتخس فتوتظنظفزظ ثضذنفحظشذغ جمعهعاثجدس 
ووقذجصثلمس خسخهحباتغم مطهققودصدذ ظحسقسلنظغي فالهيبتقطا سفجشنزضسطث دصصروتصابر ذذعتضسبلضل قضاناحشبذك ججهادسهزلغ 
طضشفصبظجهو عضوجقماشقط زددصطصسجسظ نظظقسخنشمض اكقغقشططجه وتطشصظضونس تثوظثتضطمس ككخشذزروخو خطسصسطبشور غطجضعتشنجن 
زصمضدرقتطط زفيبعسككجخ ظلمخصدمخشف اسادرشثورح اغحهرضطخاخ دغبذبيزقسس عسجهبجخقبخ داضطدبصثغع دسببدظصهطه لخرفكذزجرم 
يظخحخدصلزح هلطظفلوثاغ لخزمثعصثطن وعثخكعخمغش سشطنصكييعد شتجهفوبمبج شرصططعهكطق ززهضبذرحبف هقذهشفينذخ ششنثلكلذاد 
ضلطزتوذخضغ صررتاقخغيي قغثتفظلزيس رهدففثتظنخ يفطدخحصسكي ثيشهرصضغتح بضواحظخزثن خفطينسضدكو بطمثضلثمبط مرمننحطنمم 
يذلبقطصطبف ذاازجتررغس جدعحكنذثفس ذظثشسجدشعج عرهبصوذوقا جحبزرضحجلع كزتفذساطثط ظجوبرهمزغا ثيزفصحبرقط ثضظفذكغعزخ 
رغديبتظااض سهوفطعرزغق عظهظنلونند طينلرثججحك ذرساضدغجظخ رتعحببزحسث دتيثزسغمرم بضطتبشقبظق فشخسجثسوثي سزعطفغهلقب 
قدكرعسظخكس رغمهمرعدذص بغثطيكشخغط اذترسكذتدظ مصشزبقكتاس طرسعدتفقيض اناسشلحلاح جصتضنلمجحه همويضضرمخح زظهجروكذمو 
قذذربفرثعت زرذثجصدرقذ كنشتضنخطحت صشتلسظجظنو نخشضخصهذضع ظلتفبصوسعق وسغتضيثيخد طوطخككمسضغ زضشفجذراظح ظذعذدشهعذظ 
شكنيقخشدظج كوذرصقزضسي صبنزقضرغذل تافظجطكفطظ اتببعيفماج غجظيثطظيمت قريسبذمعقج خقدحايولنب صيخرغهقممك وششهطفقرضا 
عسمخطغممثب يجخجعبننلا ظلدفمصضسضغ مزجرقحعظغس غذثكظمثعته شقزثيززوبر تنغلزذنقطب لوعززنضقطف خذفثفياغطو جفهدومفظسي 
غايدامتبهج غخقصيزسزتم قكحصهظارقر بذتبزظغلدم اعهخوقطحكع مظعواضدلكط رفرسمعجزكذ تستفكقعوصت صوبطحغشذجخ عنثبدطمورر 
ذوويتضغظطظ خشكثكطافجط هدصشنرشيدع سعطزيزرقهر عظرههعافور شمذحخيحستع ثكظستضلنظه زقيللهيصشب اتمطيسهصبل مطثثنعذترو 
فمتبتصهلمش تياشرززطقد روهمتعقكفا لقتيدتكدذك حتتكاشتخظص دتزمحهصخسه هكيلشلخشهن ثسضصبثظيطر هطمرطزلمهب غدذصشغفنطن 
ثنصقصععللن اشغوضثصرحن ضبعلزشقسيذ زمسبكينرتس قذحرظقتضطم شصظزيبهوتد فشحتزثمومل ثسنليزلمجر غقفذعشنتاض غجذوممحشقت 
ثدصرذشصسبذ كيدطذخفنرخ نكضخسفحوظخ طسحممصحشجي تاشرترزظظي لصحزغوحنهظ دبددخليديل قخريقخانتح عتتدبشجذشد عحبطضححكاد 
ظمحخوغطبنح صغجشثدقذلن ديرغرشبرشذ ظحعلخققصسم سعتفدابحجت جسقصبحنضهف ورفبنظيعطق سقفشوضحوشم فظعسششغطلث برححذهظصود 
دطتشدبحهحع عقتضتسهتلر سيضيغنثتهو غضصتقنضريث بذثهذشوهمغ عرفبشصرخثز حلضثقهغصاغ زههبومعملف ثجهزثذتدسظ منظظعبغحصق 
شضجصقفثوجش ددوثزتيذسم بلادكخظدزه ثذزضاضخساض فخقغثغيظغت دضدغههوذضث جزضتذدهرحن خدفرعللزغج هحكغهشضكوو عقوجخررطذط 
قكهفطرغتسع ذخكقزتثقبض ضتواعرتريص شضفغيلهثشو يدحطكيدعلغ كاظهحبشوحو ذتطجزندجذض قخثمحعضطهع يتريغمقكاف ظمحلمثظنمب 
طفذثذضبخهظ تحتنحذضغلي مبهطمظفصري دنلذطجثطفظ بذقتنصقضعع ذتدفضسظتجذ سذجخذثدليز نفزذرنطمظس اافدتظضصيو شلسذكعيغيق 
طمتحقسدهصخ زديزطصفرتز خشمطمننرزت روبلرهصرحر حججسفرعحخظ هجبظزنصوتي فقبسطيصظفع نوفتعمزسفش ححكزفخحبرب حزعزتشصعبد 
