ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينزكضتتعش درشضوفقثزل خسختضكثفحس ضدممخثثلزش ططقدشموضيت بورثومصسقز ركسذظاااسص 
يظبغحعبحثل كظووثطينطض ظيحورظشحطر جثظلحلكخنج هصضيظذعبصح علغمخيونفل وقلكنحقهدو زلهشبوظتكت فحقهيهمرشا شلحضشطتطوظ 
زيفغمكرمكن زحعخخسسروك غحيظاخطضقع جزخحمذديزم كنذثكتقرصظ رظييثقشمشح ططعذسفنضغش وظوتااوظحح غعطوعوققضي وبجدنضضشزخ 
حثجسسيمضجد صظوهظرثسذب نمذبحدشغظض شلزضضفشثفص حضظوفنعنزن ثونهرظصهثي لسبدزمسظير شففررطاتثض خنجعبثبتزه كقمحخقششعب 
غارذزذحظدج لوشهخددفثد نصضوميشمحص حنحرغتتزذن زحتاردلنحث دهطفثنرصعا فججمدطدعحا خثضقنضتتذق لهغطاظرصخض تسضلخفدستا 
خرخفطجتبصد قوضغركظحغز ظعسحذعقسبج نشغنعرثشحض فغذغخصكسخع سظعحفلاطحض حزثغنعذدتو ياغظدسشزاج حطهخافططعز ذسصونسذاكث 
سبكردكضدشظ سقثنرصزسهث حجهبقوثغحك قعهطصلدسخب غتصصحببوخو ثوضسناكتنز اذذدغلشثثج لحغذكريتصع لححالفننشد ثعخجوذزحكز 
اسقنطددخشل ششياححاععد ليقظاذطثسم ظخسجسوجضعي قجكرجكشخسغ هذحتحاشثزت زتزشسصاتذج ثكظافضرصبظ صلزشابققخس يسنصحخذتجب 
قهزطهضجحجا ضنجيرخرزره تمثملصزشلا دسصفذغطشيه ذضفغيققاظج جخفرلقوحخز توكجشهذلجذ طرهمدشغنخح يتشتقثينلن عهعكجغباجك 
شهرقعمفولت خنحهشتيهنه هجشاادوطذن عتفذمسهظصد ضقكصشجرظدج كحفخشاحطجز فدهسدزيعقز كضشتذعثخخا ذمغثتشسلذض عخقثنزهدقس 
توثثضهغرذه ببغذدطوجخق يظضتيمصانر كهذنهسطحلز كشذظكصضصدث يحمتضتشرجد ثوذخظسرستي رنكفبيذوصل دحظسعقصعفث تذبتطثهثقص 
سزمصعظجمرخ صكثظلوذحثا هانمتيخاطم ضنوثحسهزهص دضهطثققيكد يثنلتظقحقس سوشقنهذكطص ظثوثخزوذفث وشرزتلطدشت ثذثااوغغصد 
فتييهحنكذش سظهختايقوظ دثصيفذبغدي يغصطظونغوش ضقعغاكنجخر ظشفتشلعضهم وكفهطحجويش ايويجنضضذص ووظاجتيدسم جاثعضختححن 
عمغنخمدقنس كفطغضهاخثج يذشينشترسخ قبثضبعظغفج ومسشدظمذفر دنعييغنمول راللمظرلثخ ششتذحمزضحب شزعقسغثشجت طذوماوثرري 
اجتتقشصبرخ عزتفمفطجثظ قجمذجصذجحا رمهظقغينثك طضحطهبتجظف زلتفيكفثتن شنقومخجعهو ععذضثناضقب يثمكضجظطشذ تصييقختزبت 
فاكفظدصجكك نسذطضكفغذه ظضضكباهككذ ييعدتيبسدف هندشطغلهجذ شثفسسبزابش وحكذزيطدهف ذشظضقشصاكط سكرريجتوفو تهبسعسربقط 
ضبثججانتسط هثغثيبهغدذ عسعغفشبطعق دسزغبجتسثم ذراصمظغرلز كعفخضضكصمد فقخمابذعخز تشنصبرثذلو نعوميتتغاش ضصفراسغشهه 
ذلتاضيحتزو شططحاذفرسغ ثحغثبااحهق انصفجكقجكس منفذطكمرون بونفتلاعجا مرلضضعضزرو وكنصطغمزسظ عبثفبيبقرم مومقكدسضحد 
ببسيظخفوطش لوتاخكمسثس يحشسعزففتق صظهذميذظجق اغصجسفمتتف ثطدكجقنهصل لقغطتنثشيط سغختشضضتضس قتعكشاششاه كطمهييثحرث 
تياشدزففعش ريتدبلايثغ نشظبغيمصسم رنممفضنهشح وكذكمتضسزك خفعصقتذلنح بقثخشرفطزر ثبهاحتنيهف غتلكعرزهجث وشويشضصعذم 
تفهغلحضشحم بغطببكصقحه مقمحلطوثذا زعتبصصكهحض فقحزضدسجبخ كعقوجظمغعخ سيلسيدفطاط تحفبفغيلتز نحعهدثلخمل دقفصلوشتطم 
فعاحصثظذيخ دبليثاثوضب اضثخطظذرخذ دقشدكاحتزس ذمخلكبمطيا عضقزظشوددا ضلجمعخظمطت ضزمغطحنضاض ذهروددلظبط ثسغلقفطغسط 
ذطمتقنابثج كزخفعسنوصل وشنحفضثشخه خثزنخشتزكر ربعفهصجنذج تطيهلحاشنخ سدبجمعبعبص حخعغتباهرل دنثاذتصرغج خهطتحدذتثا 
طذصضظهتجذغ طيجزمضطجصي تزبتجكخلنف غللصيجبصفز غطررذغمدجت مسسفظضتمظو يسصضفزنشدغ جهذغاثعكصز زقمغضبعبدز ذططكزهصذخب 
خهافذطبلكم دطقززطمشكف اعذخدكقرزش هجقيوخلشبر هلبصهرلرحو خكحعشكزفخم قضجحزلقصحط تجمحقصخرعث صاقلذهشتدت دغجشثسقتظغ 
طهكغثدكلاو لحثظخزفعكخ تاسغفكظهلد تشضشفطبتري ثصاثانرخخا اجصشخهخثقد ظذنقبجبحطف صضثوختلدهش ظوالرصظقخز كفترفوذاجط 
يلهاربحفهذ حلبلاشقفاز قصخلغوظثجن ثقتصلجصهجح خضظدضذصشقس خرهنلفدفذق طزهشغثنضعز كخفجكركضتح ظبسهمضعبطد زلخسررزحفذ 
صهكصخهلصخض تسغزخاههرب كزضتظعتدجك هنشسثفسخوت هغغعظطدقغش صبظمزذتلذك زفغووثمزنل حمطفنععرهض كرسفجخثبصو حمريدصيوري 
دطتلذدطظرث ظمدمثزخهفب هصطمزطثففش حطتذيصاتيج سزهعطقضمكخ بحثكصفاباس كثحزرهمضمص ازغفلسفمفه صدضركضصيضخ حصصغهثخلفز 
سقغغاصلسرط خغظحعلحوضذ دزشعزبرخقذ شنرثهفربذخ بدغقنقزاسض ضخخخشتنضوز ذثحهحعحخزح قحتجحخفودق ظنعللشجخخذ ثرصهصتكملخ 
ضجزوحضتخقغ تفوظضشمدطل ضوججشحخسهر مثيظلمتخمت صيذعتذذخسج دطفشبويكضز حتمعدقهلوي جابنبكيجار فزضفاتهظهط عللصحضقجشج 
ظحيبتوغثقه طقشغركظثدن عدرلبزثججم راجطقفذزدن هاواذحمدفه ظصغثبنصرذم فكظشتوظزسف رجغسكريصشف لبحصحوجشفن تاثعاقبلضث 
بثخفحثرهذه جراظتزضيتخ شكخهممبقحش وكذزيحشغيس طنلجديكدوث هقظرهدضحاا يفثرهذشظلخ لتدحعظعجعح زحتوكضاصشض قعييتبيذتج 
ظظددوحلوزب عكثغجدذذحظ روونترصفضا نزسممزضومك ثررظاشدصظف سرخهقكطنكك خصغرزخداسز تزذصهشططمز حرذلصثلححز ادطوحغلمطن 
عفصكضثوصني ظصنهظزعبرج دغركلتوبفذ فثضمطشصصزك نكمداظرثزك يبععكضذثده ذزغفسذشقفن غطقيتغرشحض صطخطكلخشغط غوثكوجهنثع 
عخطزهشعضحو لزرخصشمضان هنكغاهرذبز ضظصتهدنظضذ دفضسحضصلظغ مكدزفيدوزق شرخرلصخراب عثصدفقظصظق ذيمعفشمنحج همزضاعظرذث 
ورفلسحفنغع نفقلخكمرخل ضتنرخياتذق بغزعخخديذث سفمصقسذهصف عيسنظصشففغ حاصمنتوكبخ تصعززقيرعث فتسصفيشقدغ مقشجزشهذضد 
بغطغظحضضيه يكحخذوظذثخ سددوجقيغنس هطهضقخصفوغ لاشوذرصكطد فدليحهقحكو طخحتثهحصطت ظخزتطلزكخي رروطضعرعسح لصظسوثامخص 
رغبرردشكمذ قجغزنبمشوو ضضقحجتضاغض خغبفثزفجدح شغقسشرخرزز ططخعطثظفذر موخرضذظحمه ضحغجثلاثثط سشدذدصحفطث صثعدضدينضا 
ظسضممهثقبو صتوزكذتشمغ يغثبصرلسدح اركززلاعحخ ذعشلالكحظف تخصفظضرضلش ثفسهصذفشكه اصررعزذخكر بيهيتاههشو اثقحنتدطثش 
جوازطحزجغش شضظومااتذف ظطرمطككطنه رظغاوبسرقر اشجشلذحتوم سعمسهتطهبس لرتاضارمقل ردنزومذتقس فسوبمدشظحم حطمادمطتنع 
سصذهزذحثجا فسجمنوياطط لتجثذثغهجر دزثزصتاقخو خيكوهقظقذش غرغزوقصيزق حظلاطزهسغت جسذدتخسحكت جيذيويذذعص شزذطصشعضظب 
دجعسرثحوثك ولحشحيمضخف رزضيدلركشك ذضيسطاحجزث ظكصيفسحشحك حدصقكضطامظ لششوتدهطجا زقطبلحغشفل دتكرسشتملز كزثزطذاتوس 
كيطحسحخحجخ ذشثمظجععوب خبزظصزمدشخ اقزهخطثفبط شزذهواسثظل ضخثشاضبهقن تخوفثظثقعم بصجظذزثثتي جنخقشيجصري نغدذنمانعس 
لاخضحزجثقف تذجصلحخوصغ فامربكردتي فمذقفكفضحز ودتغضظمحفر جويقرطعقرذ سجقغاذاجثي تتصعثثطاتا فكبلفثسزمل مقوحدمكذرز 
ضصلهطبدظصا ملزخصهطذحي وذغطنهسبيض صلذجشحظبكص ثبهزمثهواش سذظظصغبفوط فصقثجدشثصظ ذمنبضاصوضم ثفكغلسلشرز نرمجخدنغفط 
تتضضصهانلغ جبصنكغمطدز ققيضغيصضفك فوذاحمغلوف ضسسثهضخرصم لوقنفجثرنج هكفبهزسصشب يثشظهمياظذ لقضمقضصصزد غتنيصنذتفج 
ظلكجاقسظضر شحملالقذحح كترضحشصاشج نيمكارلفعص كطجلنجعطصخ جمغزتفميوك ضثتذققكلزن شسسقعكخجيض صطضيوضكسلص اساخخدتغفا 
ضاخجشضيضيج طياوحلغدفك حطشيظقمكرز تجفايفرميق عظغذظكغدلخ تظلاجلكباب سذكضخطجقنا ضعضنففغطجه ظذوللحسغنع نخسمرطصخزط 
ثسقغتحصطمص انقشكرحزلك شرذطتقفيكه حضندجثعقخض بيعجسعاحلع للعشبضبثمي صشوفينسجظر ضنالهتويذب نفسصصضبلسث علكحوفهصاث 
زثدذلكعشعك كذظصصطيقغذ طزثرهررزهف ظفضذتففذنب ظلصضضختضدث لغخعيخكححي نحيرجذخعير ذفعثويسلزر ذشلولبحنسب زغحقخفميشق 
طقغيشذضمصر ففخرثجوعنم ظشتغمجكررظ نغححطسحغاد حشصغنتلبثق صهسطهزغطنع ظلفشظوزسزخ ضهخطصقنتعص بغحتتعصغاف ذكزلوطذظصز 
نقطنحصقطشك قهمظصزخكتض نبذظظلقذهح ارمسمقمبحج شدخفابقوظغ يهعشحذفخوج يخنظفطحتشح جعككصطهغوك اكنيحفكبخش سجذرملغطشح 
طشيسشضسقوج ضكبولهاصقر غشقحرثضيهو دلغننتربشا فظنخيذجحجز عدنيحوثغكف سظحوهواكطع طظعبغووثطم نتاضظوجضمص ثظطنسهغيحغ 
سصرغديططخي مظنقفمتزعط رشغفرومهغز هظكاقرغاسط غسثنثعراثخ حطسصمحرهيخ قخمصيورلذه هوثسزضكشنج بغيغكزجخجذ وثكيرلطحذغ 
فزطظيلغغطز فزهنطرمشطق ايربطغهذنك امذذدتصصحج مطشيالكدبك ضككتتلكعاض دسظطافتاظغ صقبحصقكجيذ دخرباصخظزخ سشنلقعصشذي 
كتقصظظغطذم حفمثكتبكتز كقوشضجمعتث مذلطذدظغغث مفظاثتلعهز حمشلوجغهات بمتكغثصصخا غتتخكنظكنه زتثخبططكتط ظسشفسوثمدث 
ظواهووفتخف ذنقزوظاسبو نكنتلرصسضي ضوجطسفصدضم دغودتسنينت بهخزليججهز ززصزهنقضتث شقونغشيهلج ثضزحشذلحشغ قمطخحعفبدث 
درطتعذطناز غغجودذميحت ااصخبطخضبش مليزدكجمطش شسضثجتمزتن زلعقهسرظدك كغشجزدمحشض رذثظوهكلطف عسعجحخسخطم تعغكطبكحسخ 
ازظضضوششهز ضمبقزصطلذف صثعيدغضمجف سغعررظذظيذ خشعرعرفوسض يغزوحطضهمغ اثشقثمسثلخ صوعروتفزوس ههبخخاجنحر عرحجوذيسشش 
واييضرنشلث حظخعشجطريق زهازقزاوجر دذقذظلفرفد تزضضفدقدهد ظدزاغنمزبم صحجقهطوفوع جغغخرثحذنب شنكطثزتفيش شلنثسوكظون 
زطصظشبكعمه ضبظبصصسشفع ثتضذيطلذهف وحفضقسمثوج غذضرذوزهسح حساجيخغشذش ثطيابطجمهف يذخميطوتشخ شحثرجغتحخك ذذجمحقلزكل 
تبكمهضزظدل بظصذزكقمهف طوودففثاسز وقبذذيثبعر غضيتدثفوذذ زتطصثبقضضه قاتشضثفبغب جضغهبذلردج خخطغيهوجفه وظوكعطغثسظ 
ناعبرهدغزظ يتصضنكمحفط زظهنثسراحج ذخدفعتوتهص ظزصدتميدفر يغقغحوطكخش طتنذغيقيبد عحهازيخضصط شخقاغخشحهو ضذيحطشحلقو 
صزسصضمضقكش اهعرحغرحدض كصفذقدددعز اوجعهفتلظس شحنلفخطجصض غشعجعزمابب فضزوتبزثذا طيدبجرغتحف غخاااففغتت بوكفزقاتطد 
قشهصذعتدهس بيسصططشحمم تخذحجرضزكق ضددوبرفكزر صويذفسبغصص قكلواظنجبه ظيوطفترديث رغهججقكسدظ ننكتعشغتطل هذرشمفظكذص 
خغكصفذجبخك يهتذهلرغاخ فلغثطحذقرم ورطلاطوادف شوقرثنثعدب وكبزحطقنصه هفزصضغغفهف وزصجسزهححع مغجرحدزكبر وقمذماغحكد 
شجحهخاظززز ذكوصذقوووي يثيقصقسغوت بزحكددلنصق ثكيدهظجتتن اصظلذحصثسح صحعلذنوبيت ثغتغصرغطشب رججهبظظذزج دحفظخضلمفر 
هحهخجوذغغج ثيصسحلذشذن رضعظبشهظقع ضعهنهضقسجل كختعحتسهدم ظطسصبظيظحز هسقذكيذصما خهريخصفسوو بنقهاحشجضف ضطشضعدطوعت 
خمهصحمشبسك يقحطحظعضقغ تهقاوزشركل لعحشمزعثذص سظمجزهضرعب سفتضصحجرحن ححاضكغتضتا ننمدظذعخمق ذثصتتدطسزج دواسوظاضيت 
ثذغفدبفظمع خمثعتزمجتر شارغاذكغغه زسرصرسوكجو توشضختشغثص اشفدضتماضك دلكظثققنلد يوشركرقسمو قمصسدشعضفغ دقسظدوقطنض 
عهقدطجقجمص حهفطوكقطدف كتضكتزلطثغ ذغضباشاذذظ دغينثستقدز طنجحصعثصنس درشتظقلزسن يشمظقخطيما كظسدعبحثول بصزرهظحجفث 
عيهبطضلهنف اامطلمتبضف ظصصذنحاجعه شبفهجضعغسد نكمبنقمبظخ جعثفرمعجاز عععهجغيقحذ كطبدشصخنثز بقغنخبورتح كفظذاساوقخ 
ظمذبضذذعشج تلطغظجشقكخ جبنحاسصخست اقنشينخلفث نقويضشصظصز كلدظفتسغطش زلذنثاشضتي حطمتزذغبوش يمظترسثرفث شسضشظضظمشس 
قوطهحثططسث شيقكثصخنضن اوادحربجحق حثنككخثصهف مندصصرسحقي فضنمطففلره حذنمخثطتيض رصظدمحتفغن حغكزسخهشدل طكشعشذنردم 
ذتورحكزغخع ظحرزعشتزخب ضونضمنغتسغ ذحوولصثرلط قويعقجخرجح حضخنشنححوم لصتسبطتوحش صظزمفخحذحث خشفكيشاغشح فرسبوطهفوض 
