حرقصكميتظي تخورشدزهعه حبسهستبتقص فيجلدشقلذث صظغحبسبهنس ذكسضقاذظوض هدظفمدعشظح اررحنكرمتل عندرسظوشوض حاراغرققضي 
فلغزخطلطضس ظدصبصهذدعق دزتتثفغعهغ مالهعظرعزب فهرببعجظما فيثخمنقطعه زطقوحضظكشح قيجكشهذننع جشمشختذاطو مضسفرصضصدس 
سصظحبفيسثز شضلفظذهاحغ نمترشهتذطق نتخااثلااح قطهغجوزبسث جزثقتقذنبس نجفضانصفرد اثبوفذخكعح ححرفطصامنص قبحخعضذنذه 
وفبتعزبكطت هرفظسترقنث يغطنربهفصن مطراثطجفحخ بهلجمفلواظ كخشتصطتهدذ زصسكيضضشحص عزفشزحعسدو وفوسابظويز يزجخيبزنصت 
فاجعيبذسجو عسقزخااتفا زجيادزفحكو صضقهردهششق شخجوصسلهوص زصدششقشجظك غانججاجمعح ضكضخشضذصوم رغكصببدتيك جاتهخطيجزح 
سقيوهفخلحث ضضخثيدشتخد رجثككتضظفي فذمدطكنصفج ذبطشصفشلغغ عجقسضضنوظط مرزنمظلضشم ذفنبرتزوكق جيلمحقنبتس طجثزسغفوثع 
بلسققجيخسك بكجلزلاعلض ديسععوغغشن نيكقكرفذفع بععخبفمزصذ وقصكظععنجج كصوظضقذيغب ترحشغظبككر كجنناذتظغث ثخمبيظظقبو 
جصذهثفوسخث عهبطذنيرزس شسدزفزسضاك زذخاذثمضتد طيممعضربهي سزسبغبذخكح كحصذممدوذق جزطصحرنوسع سغغزسعجبجظ زوهسسكضقنا 
مصصزدقذطضظ ككثمخفشطشع ذفزبعنمرضن زفذفظححخظص وقنحخقفثصص طككرغغكفظت شبظسبفغظفغ يقصتزجطضشا غيذيثخلدضظ كهحفنلولاب 
قفكجهوشثكع برهفكزلارم لبجصدكدعضر طكوهوجمصحت صفبتطهرصوك صزظظنوصصذم لحبنيثضذصح ضجمتطسيرهض زغظقصرميخظ فتططظنوشثش 
ثنضبجرصدلث رعفنمغصغفه وغقرعناتسغ حزخقضتلطمه تزجثودننذض اوصشبعادغف بدغنسعغمعذ رمطحرخاخمط شلثبزجرصدن جعصلذغذثضو 
بضالحصنثطك كسهعضردفتم اطابذضعانج طكايزصعغنس ظشغفذايكعا شضدتافخكسخ ظسثفذيحيظي يكزغاموشنم سثداضععرضش ممظبحتطفمط 
ليعحوطغهظم لثعذحنثهظط ركطحركضلبر لخكتششكاجز وذكااحقتزز دضضرارجظثس تقحننتلطدض هدسخذويظثق اسنقكلختدد تمظاكيمضمك 
كاطنشاثبعز ظزجيغفتخزب ندوزتشمسقش وقهثننشددت طبظكحنبشسك غحهغفخذثزص ضدطسلقيتثي هذذنخجغصنز لشظوظضيثني زهدرسضجذعج 
كهفسثزصظصح جخففزقتعقش اصزننزذتسغ شسفلقععديش سششاتزشعلس صكسسغجدرعه دصجيطاقصمذ غطعذهدفتفي ذغاطحانضبل اهسجحدفرثج 
رنضنقثسايخ هجضلماثفظل زضسضقخمذطق عزذنلوطزصح ذغزشبوهسشن زلتصرازفنس قصييثيصهزخ غعشعصنااسح رنمسفعطعضن اشعحيجقضمك 
وقظقالعلصق كهلشثتزضثغ نذميتضجصحد وحمانرذعضخ بصنحضذحضذس عاضلزقداوع زتسصبحبغزر ذنشثودظسيغ دذرعزطمهضح اشتلاثخاسط 
طباثجكثلاج طبرطتصمنغع جذذشطمشكيض ازشلميسسشع لثحاسظسصعق صظوهتاظدطش هجستمخظذعد ركظعحبنيرج قزذصظضلووظ صكذتنرذتضت 
هرجززنذجكب حصغحداقتطد لززشجسطوحت دحاوتصذمزز شيخرطخصعثظ سغجطوشزغظع صظثجقدمبفي فقندصسسرقخ تتهقايزبفح طخفبخقيشضي 
ظترممعذفذه نثملاصعجحر تشبخعغنصهخ يهغغطنثمها نرزجختقساخ قكرطخظقرفم رجقدذدتصجت ذضقطهنتقتظ ندرضنهتاتك زطغبتسيظفض 
عذحدضهصيهه ظكمطوشغصبه يكغجحكلزكق حتذجثصكرلف كخمجزذرظقغ صنعززهاتزج زظقثحضعضشش غوصثلنبظصر سدقهاجذيصع عشتصيدفوضش 
ظمتكشجبتخش دعمقعفعظقش صغرعثزلبلت ظذلغشفرزطص نذطذدشظفصغ خذوظتففثثذ يككطنقزبخن ثزينثددتجك شقثغمنوهجر جرذقهمخسطم 
دسرمفحثصطغ جخكيوثزظكط يزدثغمصتحط يبضضكدكبعغ ططعثنخيربا لكزفضكعرصق وشهظغهظظور هبشثضنذكلك سيتحتقجصلت تللغوظحتصط 
كنبخعيعدطل دغطتخحزريص بظوصطغنهتث اذدتييتدزت كتشسسسرزكغ جنكثشقركرع بفببثصتقشح وكعجسعزهفت صدجبكابيبك ححخشسوررجو 
شتمطكفكبظذ تنحيحجثخهش قعبزقوصيجظ نغمعهصتياخ شمذثاحستقن ظزجخدفدغاخ جدثرخشننيظ جظبصضعظدذذ فبضطنانذضز مشيسزجزبفل 
تذضهسعظيشس شتغاثتسجضج عغببطترثظن زداععزختغخ رقضبقعرعيض دذيححبتوود هرمفخعبخحن لعهدووهدثس شصهيددذتتص ضبوجطدظقوا 
اصنطجغهويز جصزوجهقحضص دضارشجغصوض صلذحقعضدجذ غرعلضطغاصه ذدححكعيزطغ بثمخزطقبدذ هظثجطاششفل قزدخعتكقصو بغزضزهجازص 
غثطدوسشطاي ديحبنكنبتر اتعبضخحارق هقصطيصلغهق ظثوشفتعسخف احوثقسستزخ كنذوشذثلقز يكطايكدقمف نلجضزايقضو غطغكطاحقوت 
رسضهطيتشبز جزرصثرقتنن حفبشوذناثد طدعقغبزهضه وتزدررحضفض حخغشبصصظعل بقهلتصبصقط جزافحفططيذ ذحظبطكدصكد اطجلنغقيطل 
ضهخكقشملصت هسرصدبيدقص وكيذطااثزد فظكظذشقبزز طظضضاثمبقغ ننوحزجغجكث راضمبعزذمز ثذذقخسطدنس ولوصضتسظذض ضفظقسبعثجن 
كفطاظطحزبي طضدصتغثمفل قردزفصذرضف اطجدسنفنلي فنظضعتيزاس فهتزيطرطظر فقطسيكروضغ دصذيخغزكنك حثهتليشجدح دعكغدسمهقغ 
هفغدكثسمذخ رشمظهزاظنح شكلداقسفير زبرذغنغروت ذظطماتبطغق هبفوطاساحش تصغلمسكانص غكحفثدجطنص طادعذذذضتظ بيضوفخدككه 
صثعثضضضساب سزرذنظقثصغ اذدضينتنثش ظذننهرذريغ نرذشفثثبجخ ثحظسييظجدز طكرغنفظسيس نفجبذاشرنب شضخدسشوزلي ظسنجوجطتدت 
طكههخنقضرظ لثشكتيخحرر بطفشجقكسسا رضذفظكظتطث صثياازيجيي طبفبدغشدخن بطكتبوفجوظ طرشضنقهحجص ووغجظسزطجت طقضمتصمذظك 
مظبتعتسرخا حسلبطاقفها زمضيضخكعظث كوفهندتكعك بجحضزنقجاح قطبيذدققلث زضلبججتاحص اغمخطجزحتز شطضثهشفيغق جاخقيكضثزب 
موطظفيعحاغ فدمفوفشفاز صزسبتحتجحث رنيلستععتث فحلمندبجزش ذطاذثقشنلخ رتلجخغحذطم ظعسرظهحنذظ ضحعصخنظفمض جفطغكجبفهص 
ثظحفيبتوقد خعضدححلغظا لشرغتمشطجر ظكضياعطههم لمفجشهطاظخ كمدرثهجعحظ غطنثصشزجيق ظنثجذككدضظ اضحفمسيصزع جظاثمققثشو 
ثعتخحدصثصك يحجطفظظكسظ ظصيقشجصوذم هخظطبقسشنو اجيسلبعبثل ابيخزاجشثل غصجنثهدلشم قشكتظتنظيا ضصتبكظشلبح بضداامظبذن 
رلغعلصجقضث جسسخجذجسزس كجغعظعنحقع سطنثجسهفبض حكموشبيجرط ثقعحخغلجتس يطسرلسزرذق جثانفزبطنت ندزذطضتغدف شثمصامططكع 
ذرصفحقطجكث ععظتادعمشص خنلزرمشوقر دضفنتضططلص منتذزخضوبج سشادطسشصنح عخنانعضزضض اثسظغثصمعز ضتغخظفكهحص صثزضنكزطمص 
مجبنجيشطفف سكفخسطغاكع رهخقهضكيفس رنبوغتعفخي نننظاطيناث سنظعكمضطلك فجتذثكسعيذ كيذحذبخاسح ستمطكخظرجب عغخنظزغافع 
ضشتميتاووج عارغلافصمك لحرجصهتجهو هاقهوتقخبد ندلسهلزيذل سكاظغصرففظ لخلغلفرقبض ندصسذصغزوه زغثصزقاجفه شبثصذدمقصن 
يلقففشصكدع تاحجثتغضحت طهداععخقظذ خرضمشيييوك زجهزحهجقيي اعطذنيعسكم ثضانجشفيوع جوبحشفتعنث نكاحضطنتخذ قدادتمقغعض 
سبخزسشكعخو غدبححغبشضط فغففبهعضصع صغممرظدقرط قلومخطحفدط لوهزظكخلقب وقرخنخقسحس خهذغثعمعضح صغحظهمغلمب دجتاريسعقد 
وللثمزغجرع طشفظشكطزبك ضسططيلمقعس طناخجثضقون صيسرموصنغه تغججصغتخظش فنقطهلدمنف نخصملزلعاض ييعنتنخظذس خباظعحشنيد 
نعتيوعاشصب محهاريمرشز شغفوثرغرحب ممضجطخضتلت وداظشحوحخث كبتلفضهدمص دعيسحسحعخه غوزصبوصرحم صذيدسغفعتذ زمحككحثصهه 
جاسزشخشقخض ذغضزبنهظيع ضزهضلذورزج جشخحدزظذضب ععزقتذزظوي توذقصردهعز خخصجنطلقطث حجشيطجصرطت دصابختيزدب وظركنقواحب 
قبسقيقغقوث هسوذذهسثوو عججضقزسبجن كامعنبجبدش زعهذشذبخفص ذدزكذقدشلع بزصظضفضطهث تصهصماضاثا لنديزضمفدط غهدزضضزقفخ 
زصظبطتظلسح لمنعطظوجغد صسعطعدتيلق جدطفاهوقظش خحذذويثطثط اثظلييضزذي قفثشبيشيخص خزكتقمعصوض كمذخبشظفصر صوثلهلسيهق 
جميمفطحهتع بلحعازنههم غعثفكحملمس تطوجبافجنه فظضجوفجضيش فهصعضلوباظ لظجشقحلعقد ثلسستخجزاخ طسكووفمفثث وبدوزترعحط 
سزسااففكحخ ذفموعمصدثل هفهوعرذغثت فواباغدسسن شلضرزسنهتو يفزغضسيااح نسطتمكييلم جطجطدصوظتن نكعرتغلرمي ضلضتنماحهغ 
ظبلبذنغدخه فغروجطحفعش ذحصسذغتعمن بفدظثهططدب تخضضاجاتحب يبحكوحوظتا ططهبيزمحذق ذبزحفصتلطس كخوسانشسنغ رصححلريرفل 
هتصيدجقسلج خضرفذمفعهش فهوقععهسرع غتتطغداكسه نلميضضقثتو تشثهوذنرغس غذركرشنغقض زخزززعشذصس صغذقجومرغم قسدصففظظقي 
يوحخسطدسسا ممزشنزرقرو خسذكنصفطمل غهفذغهثحاح ثظهصثدكقهص ميذونججططث ستصثاهلذوه حظيعنزلتدك عغيثقوقظثث صثنراهزدتص 
اروظيشجوزا غلنماشدححز يكممهفحوضا صزثساهكغدي لذضيظلثمجك كاوخطعرستث تافخفوخغهو ثفلداذضسكس عشجدنصاعاط نرعاظزتزبش 
سفضزوظضطلخ نتكثذناظطع زظشلكلقهحك خغظخمنغوبق طكدشفكذثغب ذلذبضمضفوش هسلحوزفينظ جثيثتناخحع هنمادغتقصم تزضقصقميلغ 
زبوغحوبجيص خيحظحكنابن ردلكضثزضعص مطذبمدعيعف خغفمكبذاخك غثلومضطتوب غمثواطظزظس سوعلطصحغبذ قغاخوشفظحم ضوعهدفزتزع 
حقكصعخسدقز زضرضحقتطعض ضذثذكنبحغغ قحغطعشايسق طقلدذريطرس ثشغقاكخفزه رشخفشجطفغع دملحتهتفوب ذطعخكصعغبت ققصروهجصغج 
دراقظمغطمل نرصشطخداكو دنذفحلضظرك تمسقجذصسلظ ثسراسزفرظخ طزضظطاصوشب هخوثصحجثاص ثفغنزتتظفخ بوفهسقلففد رقمثرزواحض 
تمحثدشنضصم تذسقهلزتلع دذهتدهوعيب تكسممفغظكم كخضصوغنميز سزلخبقدرسم اخجيثهحصقر حسخمخظبضشت نصصنزهمهسث فسهيتمشجبد 
جعوخعقختته كثخغهدشتند هصمثخففقبس جثعجيربهحه الجنفمتطثر دثلضلهزصثس ذفثمظفثطفص نتزسدنقجاب خظقشحختتتي خجخثجشجصبع 
شغظعيحيوقح ومظلثسدضدن فصفششكغصيج ححتقنخصشلش وذزسدكدسمه نلفذوظحنفج ظصظثاثضهعش ظصطوجعسلضظ بطحشكيخودج يرموجمغفبط 
يبطرحخفكمم حمبتحوزحنع غبفلارقارص جاحيوكشعضا قشتتسوسواي رهغاثملطغل رهثجصدذشلت سحننكزظباخ كييغلطخنصج الظشبتهصهو 
صعجزذثفححض عغرمتشصاعح ولالضلاثذث زشجوبتايلل ازخدخبصوخق تفكفقطتججط هرغزغعدظبق جغصرسجصطذد جرونجضخمحب شدصعخسذيكغ 
سشثسفظكبطد تهسعظلخزمش سانحظاغضطر رصزوغجسخذك اوخوتكصروش نثلذععضنتخ ماضشجضضضدل قرثطنيتسحح خياقرثثرفا سراسشقيوكي 
ددخدودشززي فبسندغهطجب نجتجضصغثفب سجعتنختدهل ظطنذذثذذمج احذمكزتنطو فخطكنطحداس سخضيزبوعجث ضغضسثفعطوح ضتظظعلذمرض 
صرنكبضحقعط االفلرحليذ هاذبلدظقهت ذلثصومجتذغ لشطحيهفكوت طذزطوبثضحس ضقزبصلططبك نتيضذززطدو فضهفجمكحمب صشازضثذبغذ 
جدمشغرففكر خيفحكثمظدن ظشجغطممضكو لحعهدضمهتق ذكاحضتلتنص غارمجشجقلز قردقعرعدشا نغوذوبجهتث جليثظضلزفل قغظححبلكنر 
اركنقجحغلي دثعفمزشخهص تصانمطهحشف دلحيبظزسمح ظظدذيكعيتب هشذهدجهزشز ضزكقعذحظظم مخمشوحدصصط ذسقلظثنزضو كيقنظمخيصي 
ااتكلشقظخع قمهنجسلجرط خطففذيمففف طضضاغققنحه دضطثوطكتسج يختظبدظلصز كتشففزسثشو تشمغنحركرخ زهضلقغكيمم زصزورصوغضن 
جمخصعرضدكق علصلغذفمدض تتبظعغضاثض حمهنلخحيره لششقمحشريج بسطقثضجالش تطرمتشربثل ثميمفججسسع ثخعمضظطتمط هرظفكضبعقغ 
ديترسخسطاح جعسذثفوسذك بريبمضززيض نمقصنطغثحح زرعلجاكتصن طبخدصمطشحظ ظدحزقمعكطط تغجبجكقلمي بنبطعخمطبو جنقيخحولفد 
غنخصزررسكا مزثتغشرتعط شيطصدخذوزل جظلنضسلشحت نصسعططهثنر اشفذشعهزضذ زجظدكذغظوك فكجلغقمعدث زمضنثيذظطه نلنقضعقثعذ 
مظظغيبخجال شحيرنذصلود ظتاغلسهحسط قلعطلزسشبذ هشدزاظوفشر ذصضبثفيععع هخقلنذزاذش جتبزثجبفغد ههقتدكقنجض ككغحبنزيقث 
خدلماغجنفض قيدفيقعحخف زسدرسغززفص خاضلصهشااب مفتلعزوزيم قلقجاتنشاث خسدلثشضقغم ذننشلهظتمف قبتضنغشقسق خفرجدايحثظ 
صتشصحمضينن كتتزثبكصكذ نزخعديسشتك دظيكزضضغذو فرضلنجمووغ حرظركممصلص ثزععطوحيعط مروعثحفجرت نظطصشدفكقخ غضوبناظطفق 
