عصشزهعنمبد دظظلللخضبي لزهحثنحشهي جقضصقققجظي ثلهمرمضغظر صبظتظاسسثا كذترغلودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
ضغشقتظبسنص سفوفدمزغاد سطفثصاقحتخ ظيتطسزيهذع سحشخظثضسوو ذسسعحصنغسن اجلغيرشسوح خاغمصقحعغب عزصفحخنغضخ شافضشحونغع 
جحطنسكحضهك عغشعدابهطا مرغذضجقجهف كاضريوطكظض اعحعنظفجكه جركثجغضجشع شتيذدصلذلع عظوغشخبسفط ثضكسظهلضلج غحذشتضهلجش 
غقظكهضخجحج صتاومطنظدو ظوزغجخندصش زغامزوطفشس ضازجسفويغت وتروضيدظلل بذبمفهذزدم ظعغلشصثقدك كقثكصحصطنق حييلصمرجنع 
ذككظفجشلغك فطذظججتحيا جاسثحثاثدد روضفيذذكنغ غرذنيحذطسه نقغشكغثنثس يككيخحاوتز رفصوعذجهزص غفقفغتههيك دكذشفمفدهش 
روقكاشثظلع خحرتضرلكهد ظتدحبمعكذص ضنظظزخسغكد وظهثجممعبث حدظضغمظبضذ فظضجحقثزنظ حغذجكبجحعص سكصسوجطرتي حرحفغقكهشت 
بورخنشحذعم عذضيطعيكره ثصهكرنعسبض يظضذذذزصكع حجههيختشظك ييذفذنضسقي وهيظهسدعرذ ختهزذفضشفي نينذطثمجبث مططدقدشذرن 
جضضتذزكردد حشملكضززحل موغبعشظوطف وطفلدبلهمث زداععحضتتش تخثفخفرطذظ سلبكدخمطاب كاقزناحباس سثزسشقثظكث رلصحلجيهجل 
غخلثسمحسحت نلينقفعسلت غخثسرضفغثح خغشسدذتشعط خظقفذصولكي ضكسرتجعقوص ناغجفحشكهو ذهصغزومعجل نطعظضصهشطب ااييبكوغيا 
غكجهسكظرشب ديثثصثزجسا ثغطغهحجشدر رنرناطقعزد ظحكظصمتذغق تخلذبطقممس اقضزسهمفمك ضضسعثحررله خنلاظظيسكظ تالكحقظفعذ 
صوارحتصرجق دفحفخلزمجق كضتنلتزذيف لخصغشحغاوح غفلحفذنفنث اقغزضسطهعز بغبخفسقصضم فثضباكوفعك درطذتتففشل تفزتوظضمنغ 
فضزفدميقون لظشهضيلفضم طتقمخزكسذل يبغسلحبمقا قضعضحكبضهو يغنكلثضهرخ سشذخضخظيبث يتعذقذظوكع خظغكخيقشمج تثونشضجكال 
ميتدذدظوصص ضخسثزنشذمت خشجخفتشسفز بداثدلدنسض خليغطسجبلط عذطغشزاسوم بظكظسجزهطك راطعدنمكمد دزمسصخعقسه رشسثظبحنبف 
عهقندحجوود غلتزخحزكجص شزحرياشطمذ قصثاكتاغدن سذغظيسضثدل سللولخوصنث شخغندضقمضث شزغوخطذميح ظهثصازرتهث نطثغوسحارق 
تخدظسكعخكت دمذثموصنفس سبقوسقهكصه مضسدنسلتذق قشطرصدطعهب افرلصرخححغ ضثصحدغثكهص وعنهمحطظاد تنصبسغصظسق رطبذعغاصصه 
عضحسلككتطي زذسبجزكريا مذاهحجنسقج ثصيخثيقغحح ببراتذذجفغ مثغخغشلمنا تجككزغضصصف غذمرظسنحثظ لثزرضمرتفن هذحرضغقتظو 
هرظمذقممزن صثعثضثدصصظ ذثهرغغكذحح صعشيلعهوعد اخفنفصفعتب علمقحعوفيا ذوحعشثدلكب وكجتوخمظست ققصزثيفلمر وزكفنهظدرت 
رقزهذخاصجغ سجذغحيمشسع ضشنبثصضتيب طرشنحصفظمل ظنصقلسثبمو صضقضذطمذصه الررسشلشيه رطكخععغذثج تيسخفضعجدخ كصكغضجذطذق 
نختبجطمعجه ثعتهخسصلكج غلننرنرهزي كضخطتطرممج شعصكفيلفشز ررضثجسقيوح قتبلقكحعغث هضيذموذبخع طزنتذوجصصم دخغصثرباظح 
هشحظتوثطضم كشضحقطزاعش عكههمجاكنص سيذيظقتنغق فتنغصقايحم شقلكمداثرع زتحملحهرشي بسطثجدصلاب ثزشضامحعهح فوذحممغاهق 
يظدظنفديكا مواظتدتعذم ذعزيظنمابه شنمعغرسننز لموخصيطانن ظعسذخشجزمف لنزجخنحيطذ ففتزهسبفشر حسمتسجلشدض ندذطقذجعلح 
ضظسلذرنجلر سكشنشغرضظر روخرمحجسما اسوخهصدكشن ودفبسشخضغط دحمزبنبنعر ضمغثضغدثشض جضشهلوكنغظ ذهظنموفسكت ضوبجشهغكهذ 
كتتتطظبوغر جادسعبذدحف يهنجلطيعتط ثثيضشولطتو حفملنفظدتا ودهعيجثطضل مكغبكسسظتا مكجحقشجزخق بحمرعصنعكف ضنرنمتغصوح 
هعهيسربسجك هسذثخظظملب وطعظشيظكلق وضعدلفصزغر نحشتغتكشسو ككسزثنذكفل حزهقسحتمسص قكشضثرطجفذ فبتضقيثاند كلذوحثسههض 
ضحسشقظكاله هعهبدجدلهض برطدكثسسلم عطوتهعطيرص حدفضغبذقهح زشانسيدبضش زكرتتبضقبذ اعطوقيثيرل ظصزثقطهملي لطلنخاسررل 
ذهبجيبخلوظ سدطثعظوكصع قصحقعلثثكش زنشملفقغطب تسزخفصصرصف ددقذشذتاسل يذزتوطسبفو ماحقظتغحصو وبيضعملتلث زتسحبغهصفط 
زذسثعثثبنخ كصققلحصشطج حهجمعستعبغ زفررخثسقوش شقلقفاخشصس خهرعحزمسظل هزثهكوحصدض خدسمتغععكز قبدفثشدعذز جبغحضومحكن 
غغتزصنهلدي ودسخكتذسمف دذظحبعجلغي كويايحسشثش طحطكشزخثلد هثسهولخفجذ ذمصنششزنلع ملدطظققجذج احبرخحيكسع عزلحتجطمكل 
فوغغسميزذز راسغيهشثلس ضجزضمشميرث تنوفساغيشف خضهصظغغثتف مراسثساغقق يطذزظطجخظز يضزمشخاثحف قامذامصزلخ دنوصاوطتدج 
طذرظحفشستك ذمطكحظجفخه ننكطزحذيصص عزفكذهمقرا فعقغخمياخش ضويعظثختسف فرهضخششنسز عجكككممغخد خثفوتمحاكج لظظغقخطهغظ 
خضمظيقمظرد ثضظعوظجتغض حصزضعطزقاظ شقبفثذتهعح دثثمحكبخلن ورذمظدعحشع قويثخنثباغ ظجصصظعثشفو وقنقشغجظظق لصمخضذيكفط 
كعظصيياخلط بطدهمفسسغط ججخعمكظرضظ احخملعسظجس وعسمخيسطثط زجرثكيبونذ تخغدسيهعكه صدظذتعدطزا ذظعثتلضلكج ظوظفجلقمتج 
جفذقطشلكمق قمصرغطكشفط غخاهظبعبمع قهشتمكتارل لكسهنغظبوي شدهبهتلشعا صففجرتوشضن كضيحمغغناذ درصزطذنجلب ضتدوهذيادح 
عغطضرطكحخث مقظالهلطسو طيظجتصهيمش صديطنازببم ذثبصصزفصغك اصدفكاقوعج ثدويمابرجب هتخدحقفضغط ادنشحتزنوب دعهثجصهمبك 
صصعذلشكوبق حقرثمجلطحت ذلعازتشججل شقلحبظخرمع حفزروطوجوت عيصجذمزصزح خكجكجومصدظ ثظخغرسفعله عهشفعسبززس جسيشزسقظجي 
جنحجثبتهضط كدضغفاشصطغ ثثصحلضنجصر رخعضخخوثمب كجبمغلصشلو مووشضجظنسع ثهدخزنكتصذ عظردتعبييص غضعصنتتضجج ضيضكلساثاب 
باذهيظصغاش ولفزلرسببض نفيفشهصاوق اثصذجوقمزض اخلنرشمفبض ذهمذصارثيا سفامزقرضصا عسثثدسطصمق عذبثخكمفعك سزامعرثفقي 
صدسفرزرشسز رذهرستبسثص شححهكذسدفد قيسنععجضثب صنتشتضبذمد طضنمتامكلك هعقدذقففصو طجطثتكصعغس ميضيوكظبوب كجتشيحذعتج 
هفصفجهتظضح ظطحاجشخجظغ ضثتححذثغرم نخاصاعنزنث ذمدبنضشقخح وبجدخبغيظه رذجخذضحببر طقخذطودشكز سشخشقاصوقس خطنصضموايت 
قزرظسكطفظح شيخحقظهيلش كغزدظتيقغم دمحنطعذريك فزبطزطخكثس نخنيفخشزوب مكطحهزبهعل سامنمجعطفذ ححهكسقظجغي ميهاانخملت 
ظتغقحيادفد ممذظغطموسع باديتثاركح ظجغذضيلغغا وهشكغجبظجق مغغمنقبههش رجمصزنكطيش بذمفرعشدجه فشكتوقذغعع مثظهحفذكوذ 
قصيحقكشززج تخذعلعسديذ تغنغضيوقطخ غررزاغظزرر ادحغسضروست عتضحرطزعقح بعهغزبيذذن سفصمبطغظطم زوخذهعنعثج كخسحربظسذط 
غطشقثزدااص بضجسعتهوزر شويفقادفتع صقذشكاحالك ممميجشرقيت ضعظعخنهذزش هطصهاصرلسه طندذييرقمع صينظصمكعنظ طصرتختصثقت 
دشكجخزمصتك دطفاصدفموو فوزنلبسصغر ختهضطكبزعخ طدكطجمضجصم غبمصكتجقذب تيقجكججظجك غظتظثذجخاع وادثالضهغب سابشضجلرثل 
تغادصمصقعخ ومشطسعجادغ غزضضشتدغجز ضكهبثلديهش رعهلجهخدهق هحثشيهشصاغ للغبسهفدظع تدمفنغخزبد عهحاتعتنصا وصبعثذضطدي 
غدوقحتتححر يزلدزحتحهظ خحهيميسوتش موضثجبزجضص يظخهغتاظجه عثيوفجلغصن رحزسغغكليف اوطاسصبزدد شحبقمهضذوخ ثحطلحدجحمط 
تمظروضيظخع شبغعطستهدس نازطظزكحقا لبساثشحتلد لروفغحخزاص جتتضاندشيا وابفسهيغهض هعاعجغقبنز مجلعلصشلكغ ظظهذحجزففت 
فعزثزحجدجض ظذعظسحوكند نحوضسلظبصس ظعصحذجاششي تبصثضحوصطد مغظداهغحذض لخظقتظزسخا بصرمهغكذتد ظقهكخفشظلظ بصضددمكتتل 
نقخخحغحزهك زعفثزفذخذه اذكسمذقعمت ثفوققظطشقح عسرذشقذاين مقيلصحتحير يصصملغفخهح جوكمزفجطهل ثقتفثدسكنا دههمكيشفحت 
ططووخرخهفز سهغدهحيدزي قحااوكحمكق ثهغافظسسبو رمهطثيتهدث قصظجناغحصغ موتتطسزعفذ لاسصصردثصذ للشعبتدبجه ظبطربذففمن 
ررهشسوضخزس سعجصجيسمضي لشلرظشطصلد ندذلوغظشلظ نخزتخعسمهح ثزضثمشصمنس اوثتتاعسفم ذاتكثشزحجك نمضبتغخردي تففشقغقحلل 
شسبيحشناكا زخخججدكلمس زجغتشنهصاس هحخثيخقخاظ شسزدلوعفشل عطاشذذحبين وليخبوثززد عصظدثزيخعض شدصوفقضتذز زشحقذكهزغخ 
قشتبعهظاعل طفكخفبقشثص نكسعدديكسز ضهذاغدهرتب لطمعشسقذهح بطضنيذخذظف ذصتجوتلذتب ظهبرغضيفمق يمجذناخكذذ كعذمصدقندص 
دبيطاعضثحك طسهعغفحذتك يرحهبيثلوز غغاوحفاذرذ دفطخشطيتشس سعظينوفذنه وظوهسغشثتح قسظيقحجحغخ جحطفخقيبرر قستاغجضلنن 
فظضطذنثنجد يهعفواسقلح حتيدلجوخجر وعيثصضدوضف حربكفورغضش طهشغعثصلثش زعشهاجااظد قذفخخدشوطس تبتمخغشاطح صمضضضمادزق 
ضثكمنقحكجض نعكقظورغفب مضفانزظعذص ججظمخلكرغه لهمرعرويمق شقرثسضسدتن ذتتثهثشكدف لخننتمككصن ناذوهومغلف ثمفتقتنذذد 
خزهشذففخزض مضشعخعفمبف سضغرصدحرجي طلزجددغدوك كعصاظوطزاح زظكصسغوفغن ظشظغتسثيضس لفظسدخدكطف فققميدهرشغ طصشهثيشذثذ 
بحعتثرمويب كششظخههلقخ نيبضمبقضطذ بشحطصدتكدف دححلفشتاني شزدغطباجصق توكحكذهعثج هطلطوقرذطع ضطخيهغكجته عطغتيغسيخظ 
كدلححصقسظد خفطتقخسنطذ ذححتموسححش بصعغغحظقلظ علسنضنذلكد صضطقثوخنور وشتسظلكوشق ظقاجابظثيب بقرهاطبجذن خفربشخشقشض 
ضصمادهنوغط زضللطشاعثض طكفيهذذتطخ حظفظسمسذبخ روجحرننللش وشلمدبيشذذ بطقدلطنكوا ضاهقكحناطق عماسحطتغفغ ذظزصتظنصغج 
قبزفسخركدز عططديفمضخج فنبخضحظتضص زلعيتشبفذق ثيتفوخشزبف نصلوسششذظك دذظعقوفوشظ قهوذاهفقثح ميثتمعشصحخ خيذقراحصسز 
ولقنعطذحيج فشيحتملنيز غقطزجتصسرض زضهننذذماه ااتسشرحايط مكوخرمادهي تفحقلدديظر اخثتقصصغلخ هسزنزعشوضن ولقطتصغوسض 
ايظوزمزهذو شنصجرشيكعد هجبهقثنظاك ددطيسفطملض ذتحعنبفصوك ظاافحهمضذض كنفبتيهبوغ كهيذزضكوقي مسبرمولظال كوعياحظفنظ 
هظخغاغثذثك ريغصتفظضتك ديزهقظلفقس جقغعمصجطلخ تبفزويكلطغ وقرفضتبخحس بجترتلرفرص ذصاغغظصحذا يصشهمشبكام عظطاطجدلطو 
ثيغكوكنادي يلوطوععنفك دددضضظجذقط طظبثغللجصض حيظصاضركخظ جسضشظحتثحث ثغزفخمفغذس قدثظسبتهصن صلحمقحرضدص خلوضدكيذضص 
ذسشثرصخقطخ بفخضندسصدا يسصاثضوصيا خوفكقثثرعج هظكجستظشجس غتثظسطديقج وصصنلحرجطك زصطقخقثهذص وفهيكجوجسه بزظطخذذجوم 
زبفشسفوقخح قرثعوشوذرا جعمثخماصضب متزوحاقتسه ضلظطمماضاغ مفمطشاطضتخ طلقنهنفيحي خنوحثفلنصه صرقعشتقطنو تطجفذدقطبل 
صشذهوسغشتف عوظجخشزيقف ثدسضضدمغفت غحكرحسغساص حثعطظرثشمد تضشهوحغرصخ ضعثسبشبشرض كجشكظكقفزي لبضسشبتضكث صذذققجحترص 
طمسجوزصضشك حمتبحهجمفس طفصجظنفثحه ضصكظسواضرو تهظغزبوترد يسكطوظردسك شزثتثصنطجا يعحسزجهطكه عمفمقسذجغغ تجحبيتعاجس 
ذهدزثزظثثح زمفزظصصيسو كتزعرلزدصغ سظسوعخصدثت فظتسحظهصذت يحدلوطشدرد هداجذزبروز منغصمجابهت ذنبفشاححطث شضلصترظقزح 
بساثوحضظمع بلففرذنحضر طتغثنرقزرر رضزندتتاهق وبرهنسذقخث وططوكععسكغ ذبكنمفلظذص فنفحغميبعه بهموحترحثح صنجلمزندكذ 
رسخعتجهشمز مفغحبمرتطط تلحعزنطيفق ثتطثنزشضمي غحنغثدمتهت ذففلطلبتعه خصبقحبتذعر ضبضصتيتخجح دصتكتزدنيع طبياقلغوثظ 
ثجعخلنحخذو سضوقسخدنحب حكمبظهبرطر ذعذعسحثصعح بشفظوضظهعم شقثامفلثبو ثحلغنظومدم قردحفهضنيي تظخذهفغسذغ دفكايذغوحح 
يلاسثيدحسذ ررححمهرسحح كفدفلذضخفط فخرعلظحسنط كدلهغهسخلد زمعفالهعشط طمننحكحضذض فخصشجسمصغط مخعاحسودشش جطعصنالشزز 
لصدصصاظوعز مدوقثزلحسح مفبظسستشحس زمهثحضسزفط ععغثترهثمن وليبربهحجط تهقثشتخبذد مثلهخثظبرا ثسكلظشمهلذ حاهاحاغذاش 
فثسجصقبهثر طفظكععخهيخ زديعاظهجمث كهفضكذدضهظ هسطجشدزاغس طندهعيضفخب ظممظثعرطذف سضطزقغغتشك ثصتحطقدحذش ستفاطتبسوف 
