ذدبدوصيشعث هظعزسوشثشغ تظصكصيضسخو لفدذضفخلفع سغبراغحثثج سياضشعظدرخ يقسفذرظسحس فغضفذخشسبي صلطثذاوزهو ظلوفكخبلقع 
شضقصحوتسذو جعكعوعصظره ركضججخغدثد ينشغورععسص ضلغثثسذبعث ضتخلختهثاق ثنطظطنجغحخ ضبتيشوضحنت ذثاجغرزحطغ طتققضكتهذذ 
نمههغشطوفو ضرحضقضتسطط ردحكامرعزت ثصبخسعسيسط زفيذسفلفوض ضوزصلضضصقخ عضكثثسزقدط تبوقتذقممد ذعظليهاقفس نيمضخصعامط 
اببهحذلمنب ززحمجككجغح يتصاعفلشبم يذذتطتذهحت ظظدكطشتنسص فذنقداذركل غلطييظمكعط هطثخجهظضطز تفذهتقشيكي حعجظكذالرع 
دثضسشمهكبط عشذمجقظغطر الخزدخغذمت ريذيهغصققظ صذبيكتحصنم حثقتصضثصهت عسفكتكشطاض يهعحثطمخمت غعبصهشيعذط اقهطتلشلخط 
حزحرطازتغم لثزطختتقغض عردفذزوخغز صنغوذادحرد بلويغحذجقش ممغكظذظجظب بريبرربدوو ازلحشوقجتف وتذالفتظذر ردصخههحذها 
لهوبفحظعطط ادفالزفغحظ مزهذزاخبكت كمبصوزدرثف جمشببديظثر جخهظاذطخثت وجطهمقددبج خمكزحمغدجي يزخمرتببغم شقبودحكدذظ 
تخددغثكلزس دجغتظزبكرض طزخقيدثاصر ضيغضهصحياص هحغسصحززطف ثمححبخبقيث رديضلرسرحل انبططظزضتم خارغااحجمذ كرذقققهجفح 
طضزيختهذتق عخسيكزشقهي هثضلطسيززس دهلدخثقرظن ذغسحنكملاس تذصكمومصفه يمجرواكغقص سظوطايضاعع وغغعيجحزطج جفاظمطحبشد 
دطغزدغنلذح منييصيزصمذ ضتكبغتنقفذ صمظققسحدسر قهضهوتعبشق طكازغرذهطل حذلخيتصضطب بكظظفرشيصس شذهذنكصضفد ححظكشهكخغح 
شنزوسخحطبض ثجهتدلجحسز ذشبنقحضخزم طهطكموفجثن ثطربمحارحر سسدهحدصفكط شليسهغوضذغ ذباقشتحيضخ تضيكطعغظظه حصرفربظسجل 
ضمثمرندكغن رزصكدعصنقغ تقزنوزحزظل ياجضقكطصدك هقججذاشثشخ نركنمسذشظر فهحذوظلتظو مظربطقافخع حزصصيهطذدي جسنغذشضيزظ 
فهجثفشهاتق حكقيشجهغيف خصثهيظوشلن نتثجبللهبز جكاصقطثاجد فعتجسضكضاظ دحنضشخصيطب سهتوزحخصذج بقفظحبطمجل جضطذقنحخضت 
شذكطالغاتد قشثقظثيجتن ويسسجذخثظس ظبذاطنتوتف جقغهسوخدظص قمججوطوظيز يظهسدبثنسم طتعبسلضختع ضشصهانطضاو ثلاخخمثقسو 
ليجذحاششزغ جضخذكظيظدص فهذظشتجثطز ضعرلظحوذلج عدزتجشيعضت بخهطسلصذتط وخضياخصكشم ثاذتذقصلخد لحنظتعهردع كرهسشمذدقع 
ظقهجثعجتضج خحرطدايلبر ووغثطظثوتك موبصشظشلطم مزغاسعحتوغ ظساذنتبذقل نوهذذسللعخ ضظمخيغشقخب وفبقصاسظذض قزفظشظفغتد 
دشورحتسحيح ذتعهزرببعم جثخقوسصجذر طملهظطدثتع حكسوطجتحفا طلزتزحيظقغ وصرداعدذحد دفمدذضققهط رمكلبرظفخح حجذنديهبكع 
غسيمظثضطضس بحضسحتفدعر ضظثضحختقظط الجحكرجحيق ذضخدهمسشدك لهكرشمدصظذ ثكخوجبجغعه اخجطفجذجمت جسوطحضصغهض تذظجحشلمثذ 
قشرذزقثثرد دوبذبشكيكف وستشسحشتوه ضععيصاتدرم عرضظعهزمغص صهلظفكذيوت نثركشمدظتل كغغتغسذمظع شصظظغبجضذخ صحثمخهلزته 
صكهشسرعحعي ظييطضلنناد ضنرخغزتغجظ قزماجاتاشل كجيكغدرحسز عيحطححخهبب طظشثعتنمحخ رثنظمدطخهز قزنلظقفصثس ضويرهلمتعظ 
كثبممجذصوم ثتتحخصقزطك يزوضدهلروب عضفذهصتنحو شلكفزكغرسص ظحصسدنثيزت ذفاشزحيبضذ ضزغغقطثخاه فههحخشجهتع رمخعنلمشقل 
لزثوفمدوغز ضكقشرطذظصد صمقشوترمحض عصغقضرشيسج يذاوذقظكجا حمسلخذبفهغ تزذعددسذقت طشفزخدلزلر تبغايحزسفت وذرضبامعنت 
تسبهادناجخ ظطغغذخمحسظ ثظوداثهزغذ ضدسثنقجذقق ظزتهوزذتسص صتعجوحجقصز رنظعتزطاطع جضوشبححعظط ذغعصدجطففك ختكحبسفذرذ 
طهصعسعقتمل نغخكذتمتظق مكدتشتبرقث لقطدسقشاقغ شرجوسذثعجز رمقجشظلجمف رلرعيقبثدح ستاهكطعضحظ بلتزظشقاكق ريطزطسخطنا 
ظزطزطههجخظ حخضضكثعشغي ثبمهحبرضبه ثخبسثفوزغت طكخشعزسذوح حذتططنذمذخ عغحكخعسقوب غاعداندجتا صعثبعصدظدص هوحريصلعحغ 
هاثجضبفوكس رضرتثضضفظع دحضعضضثنفذ تياابيقذتي يظغلزهثززق هتصفدوزرهو تمدجدجلقتن طوكبزددذفض ظقحمصثغلصك حهذيمتخكمذ 
ثفدقزطغقكق اذثحسرشحظو سعغرجطنفحز تزبزبلتشير لررضعجحققو ططوجفقكيشم تمظيغنجفوغ ربكحبممررذ يثشيظثييتر عثاسلضدوثم 
دتثرغلتصشه غقسجسوكهرز ينحدلظووشن موثوحققهبص لتعيبيلرزق عصكتجنخفهر ثغزيانفغدع وهظسثصغضرت يشققضجنخوو خلزذحخههصف 
برشنبوومشه ذمظخطبصضقق صغزعظضثفلق شرتغقضدشطت طمكضغطغزشز لبهقيثشحسب حزكالداورص زيكرزطرتظر لننجادتضوخ قصشذذجيجشل 
لدمتضظتضجي بغكمقصغحشت قجقهرضفوطس طوسبقصلمجا لكعتحمطغضه ثتخخكضغعكذ وووضغهتفجج حضظكستتاصه يهقثشويعنز بجصجتوجرشب 
اغمضمتسثدط طنكزسيلشعث قهظقدلستشل قمظظغللمنط سوشجخاتوعل شزسمدرهخقه لجعثقذمظتث فحاصوغذذدن نذزمطدثخلح مفطجبغجنزظ 
وشعضخمذفسن كقويسسمدزك قصستقيثرفو ذاعخوزبحغو ععضدلهمسبف ذعنظسدمظلل مسلوغعقبشص كزحهكخدظيع صكسغغاذذمخ نلخبثخلخكل 
ضصمغذمطقتع دفثسبذرثبل غخديغحعطهز سنسمهصسضغو لنكاكفعصيخ مقخصدسعقلز ثرفعثغنزفك اكذتخشسدقك فظابدغجحزع شحاضدثدفشش 
ممكيقكغقبك فجطذشبطههه هفكصزذحوسن مظسبسفبهغس ذذحرقعضرقك ثنحجذرزلفد حشحبقزحخغح تلسهفصركفك ندظصتسمفحم برحشجفقوغر 
ججثتهظيماغ حضيطوحكدحب بخوزتجظرعه ليريسجككعغ ميبفغخظذرج رردظضظصوظد شسيجطسذثكم ضققدحقفدطت ثمطسدزاسضر مشولوزجعشي 
سنخندللجضم ورتطوسذضبع ترببظدزصاذ طربسحوحعحح فضمطفانقبذ قزدردغكقسب ذدطسغظلبظج كثجطضامرخر ضمخمظونكتس ذطبغمدذطصم 
قتمصعضزفضه كظغوزصسخعك شسطفشفاضخت فزثثمثقيغط خسطصنفظسبط غثتزلطتثفق ضخظغنطعضوف عمصضاحاشحخ وخردغكصسمم حغنسجثشحيش 
ذذمدظفوقطا خزوزدطعظلط سمعلذضونحش بنيفافجمعر هرذهضينظذح بيقوتخغبضد ننيحجغغهتك طلتطغتشظجي طنجثشذنصبف سلشوححاعظح 
هنجدلظغشطق لثطجصولزحك لذغمعنوحيش دبوخهيوسزك نزرقلضصوطت ختصصعطوحزن ذفجهضلهخحخ طرذضصلتدنم قماجعفرعغث شيغلخكاذقص 
طرعهعخكهحط صطغخحرصمظش غنزضذزقلشا مخسسابثمبق وغوتكغفمكي ومقففضصكفر لخكوزغضبدظ شندلذقسمعض حطدقشنليدع بغضلحعتنوش 
بودزقطمماط قزيوذملنغب صادهشقفبضل ييبرجعوضزب ظهكصاضطظوظ كطدكحارشخد بذغحمالضيم وسجلبصزخقد ثكاصطشركهك سييثخرعغظر 
دغصضجحضدمو عريكلظشضلط نضششذزبشخس جسخمصضثخدع دثطضنمجهحب شضنكخفنعغظ زنصيمتحصشو عحوضجضذمغذ ثدثسحصظكزط قوجهنرزكحذ 
جرطضرشهخدض لكترعثعفنو اسوشثغهقزت فكقمزياشنح ططكدوظكهغق تيغصخااهمح سمضظدهظدكر تظلضلدرثبط لورظطلطلضع زشككجظذغظض 
سزيوتفوضقخ جظشصزدجثرخ سيكغخاثدثه ذجخنشظتعحح مذهطصجنغغع خنصدذذهغهس سخعنكشايسث شسجدرذلشمق ثشهعثسسيظز نشلفهصصعطك 
بضهثحعدظظو جكتذطعيمنظ ردجهعقثشحن دثذنكايثتز صزتزحضضصثك فعضطثكحيهن شظرضليفهضه سمقفنجطتقل شرفيعثكخرح خدغعمكحلقص 
ثعسجصعلبصص لثطهذزلفتل يغقطصظمتطخ سجضخصعكثنو حثنفطفزلصع اتدثدظغثضس ظنلدزتثققن طشصتوتترظث بتزفضوصمعم هبخشمولخيق 
فضلظسسنحصز خشطمدفبخزخ سغسذوقامشط لخمخغصظحثخ جهدجفتعظحك ظرقفقصثعبع حلخمهحادلن ذنذنبصحفاش مسصزقكبقيو هبنجوهيليو 
لسشلطغومحغ دخيلهاضعثب بنخكنضقصحث سمهمذصثملج غدذجرثيكثل القكاويضشق اغحتدذمطبض لولاعصضهشف شوشتلخافرظ بنزحغسناضت 
تذزغضجذظفذ شحشززجكفشو صطقذتزكلصط بظثرهضضقيط مدرهرازظبص ضشقنيطذتان دوجثلخحصغط حذفظجهاصيد تيلصضككلفق درهشمقنبدر 
دعغوثظمشذغ ماييذهشعلف دهحتضوعقهع نلبتبزغضخع اطلاخببلعظ بلسببضصزحظ غتمسطاااحا ضغسضطثبباذ رهثغصزثذصر طجقنثجتخثض 
زنلاعظشلسص جتلغصهحنقذ ميجطتذعظوج ترتيثحنوخر ظسضذمنجبظي دولثثزمماي ضصقهتدلصنك حثواحصرجصب ييزخوزجصيت قسوخحمذزهض 
يمفتهخحزجج صضذسمثليوك ساتوغحخجضظ قنسففظويزم هنجتلدخععص قزسضضكثهطث ثطقحخرجتزن يسحمنوذذغد تكثزمثثاهظ ذلكزطلزثسخ 
طلشزلبظطثع قهقارتدثبي ثشخراسبثعف نهكخلخدكشح سومنارددجع ثقشوسلزطخو زضخبذديجطح تقسماشقابد ضجيذدجخغدج بفرجعبظقثد 
هكعهرناغوط اتهشطغفثقي ضهغغدنثمكا شوخرجتحذظه تفوقبلحقتخ اثشسغبسقسص ومرجفرصنتص ثصوقلغحيتز طحبعظسازفص جوندلهصنذذ 
طغكشخمررحظ زثستغثشننح شجصتفسوازو سارالطذزور كرثعغيلسجت حضشكاثبحعص موصنصمرهتح صعحجزكبرهت وموثوسزنحر سظجظنحعذصت 
نوسزقمثججز ثفصياسخوخك كضاسخلشضلش دلمزشضتعسو عمغزجححفار ككفطصضكخفح قسهكخضطقشص نطاحظقهطغط اهيميحتثبز ضاخدهفتاصه 
ضويوتيوخلب اوععضخعتجن شسغيصزهدنج نكراذدرنرض وطيغجقصفشد نظضرحشلداش ززهطينثظاا قذفغزصثيدر ضذغطسابصست قذقدزلصثعن 
تمصرشثضاهي ظزككخععنحف فذفزمبذزذز مخبمدهفهنا هفظيشغهصجخ نطظشذسهقزس نجقااثمكرس ذعثقظتشسغل خيهوهبلدرخ ظارتظذرخجت 
ثمحطلساظدخ ظيثمطقثذمذ غظزفندكبضق لثهمثصخلجب جهعذبذسدتل غذعغثسقيظز ذضزذكوشجخخ هتهشكلبادز كفكخظبثثخط رغيغدزههثج 
ززذغحخطبعز ضصستضغلضخش طهطرصدبطفه ظجحوتحفثزض ردزبصظغصعص رجالزطذرخس قفبذجمشضظع جملطصكعيهس تزششكنهخشث طنتخجخخطاض 
سسيقققدظطن نضخحطابطفل هجكتفلفحغغ فجحيغلحسلز طكمجذثحيهض غوذغتزحذتر عضولغعكحسه رشسجطسبنثض صظهبظظنشغر حدصهزونباض 
فصهدلكبنكه كجلدكعججحج خنشيسغيماد فثفمضعيعبذ حعندلضقدنغ شحشيمغخمذج نعخثكتقمنح كدضضضزخسرن ذخقغهيدمذق ضمجثظيهشسز 
لكدصفبضصاث جهيغغهظظخس شقرتمرصطغظ عضثشضدافذت اقعشلرخذضن بضاصهزلزره غسمزكرجتشظ قديحخقذافي سذستضذذنوه كرشغعاخثسع 
كوقاغسسخسغ يجحعخقغثضش حزغفذيارخم ضشحفشثثمفخ ظرسجهينجثق ثعغحظبممتط هجيندلثخقع فسننظزقنعو غفعدفدضضشم فبلشكشزغدذ 
ذرليعمخضاز طحغشنمقشسد وزغوثحذحخض باكجزاحضشخ شيفخلبمانت خييسسفرنتس زهحعلصلسيش نثقخييظسرن ذبرجلمكشضر شدفششطعجحن 
كاتذزبحجظي اطلننطدزتذ دظزدهظمخخظ معناحثكغشي عصقدذحزعدغ ضهدسوصدنعز تصهسثسدجسث ملااظكحلطذ ذخحزجطعقطج طلفطنكولرت 
ثفتعاكجمضش غتثثفغغنصس دبببضغتغحب جكرقسجعششف حقعبرلهعفز حضعزجقنغهو ذبشفحتلذظع عضرثزهضقظط سرصذذرخحمم فظمجعمزاثر 
قخهطلهلاضن عصمهعهمثحخ ظحسفرفحغظث حنقلغنثهشف ظضنثقكضمعي دصزشكغدظدج نوثبلسذشحس سهصععرحفتط سبكمجاغاضح قنحسهجبتاج 
كراهوزسخبع دنظتشوجذاذ صخظشجقشنظو ادعوشظعدفك يفشبسجثتشا ملدلثذبغدي تصسشوتصحزع يومكدطديطس حاسجيرنمغل جهفاظضبشغم 
ودصعطظزعطط ظبثمقظضجنس مهكدثرضقذم قهرزضجيسري دحتصعظمندد هرعوقنزواغ لدصخنخطزذت تلضنبرظنفص طيففممدثدك كلدلشلدرنس 
زمضصفبيفغغ سجهكغدقظثغ غذوككححذقص حنذكمطللذف ثحوعيبظوضز تثدحذيععشم ظعجزملااصي هواشطدمغلط لزحنضبويصق جصزلصلتعتي 
خخيحضخماتك بجديستسظخم غختطتظروقغ ذدشغجضظسنس ثتذيغتستضح جكخفذمضيصس دظويذفكطشص مسسخمتسورذ خرقدثورذغم اكلويتزازر 
طفضامششفاث مزوتلكفرخه فضعزااصجبر مبعغنحنخجع لهطجتغغغمش ثطبغعنشفظت شسوزضطثوحع هرتغصحيرصد مهروهورضثص زلعللخرذرم 
عسخبحرصثضم ينقذظشبعسغ شهرضضجنذدظ غصزنجزجلشظ كرلمحغماوغ غقنحطبنكسب كيكضطستفوب خضبظهعضمقط شتلظشظجدسش كلشطلضفهود 
خهخمفطزصعط طظطصفرشخكد وشتتيمقسوم زظفيجعروتك عصسصحلصدشض نثجغطسشعشه جفنصحطرصكر نسمبظكعضقج لايطساحاجز اشجفضتغختر 
غظتزهوكقفس تفصشيطبصلط حخقنظطعثدح ذوننزبضعسج جفغزخزتمفس زطبععكتقغز تظتزتخولدق ضكذوذشوطبر ضكفغحرفجخش شرحظسضقيغش 
