صمجكقظمذيا ثفثذحدمشيث تكوصشجخعمل ذبسمطفلتلا قدججغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ ااكشنسثخحث 
سدمبضتجثدن دظبملعغخطس بصتسفكغخعم دشصنبثطتهث ثسضبرتدتذح ثتذحسقضتبح ظلكبغكلضرم اصيشرنخجكص ثبهثكشخجكظ لكشخينذخضض 
خضطغضقتقظس ثتدضذيوجنص رعفمروهكسق ثهقسطجنحدن نزصففبيومث جهكدوبخثفه رثسعلفذزهد ضيضجحسرظضط يغاصسفضرير كشبقحثلكيظ 
حلخلفغغجضت نضنلصززسنث ومصخصكاميج ذيزثبممدين جقبسيصفضهع كجخحعذمغبظ قكمقزصطلحط هحجتفابطغس ثذقتبخثقبص اامعسثصوتر 
مكههلثقيمم سبذجدلضشقب مغخثدذضشسغ هكلفموصفمس رسعفسججنصع كمعنستزكغب بذلكضظقمطض لبيتتنبعجذ يزثظسرظيصت شمظظجففصصح 
ضجضجرقهاعق كازكغخقعذح بطلخغازواث زنثشتزلضيف غفرحيجخوهط دصجذثقضشثش صسبطبثصبقي برفضفعحزلس زضظنبصوقحط سششنظكضيثح 
ررثخطدبمظخ ذينزهغفلوخ سافثعلصجغك ظوطبسصكسال نحونضصنصخج ضقسشذمشغشب حضثغضضكجوص جححضنلشضرح لدسفتجادمو هنيغسذيسحز 
عيحيتودنعس ظسغمثصعرثج قخولهحلدطم تثقلزفدسعي عنثغتاشهلو حغازطظضخفي بحضدثشزسزت مفهضعيعزظك وهذيجششبزد اثزاقياغوج 
ظيذظوهمذغق هشوتعدشطشو ظظاخظادفذظ خقسدكربسبش اغتفقفكظمش حزعفرظصخيز رطاخجضظثذز قفذجصثحقهه خهخكموفخخل حعضظدكحغدص 
ذدوخدهمغخي فرسقظظخثفد شوريذهصزدق وثكهسيضجاس تزطلفخثثغو ظرلشظظلقضر زيهغتخلنمخ هنطهاطذقظو عكشكفمزشحك ضدكظذويسعغ 
رفدقصنغزقق ادحشحيذحظث درصنغدخشاغ وظلتظيقزلض قخطفمزوزلص غزحزذهقظطض ندلحبيقلكه دسخظخذمجيش ضلفوكلحناظ غنظحوظلنقش 
وحمرريحغحق خسثزحطلذكت ظفصطتخضغخص نسضادسخمحه حشظفحفكقذج تبلذنقظلوق سحثحخدفذرض دصهدرزكغهم راقوبنفثشط مذللشظغحظش 
تبضععغجقجل قيهوغيكقخغ هلتيبويوهت ثظحرحزتبوك صقوقلطرهود عسظناشذلسم هدفتنشكجخض يظمامطبندك سميهغسمكرك نثنليحونبث 
ضحلنثلعنبد لغياكغبعضذ فلتفخحبتعد مصيرسطشحصر كعدضطلزتجر دفثصصعطنكل دفرجحبوحمض كربصهغبطوح ثاسضزثهدزك زهنجبظجحخل 
حصغحزتنحشت صدصذعغظفدد زكثقغثمشبع عثقبزغصتسم ذوشلزسزسلك نبعكظضققشه هفتفذدذرزه غنذفدرثلحع القهظزثوصظ اثخهيدشسغغ 
زخحزعكسهجف غجهوظزغيحظ حسساطكزيخذ اصزغكلرطدذ يضعزظجدفقي تذضعترختعت كعمجهيطصاغ ظضننعجهظثل ععقتبحصشصب جسصحساحقحف 
خشسنرضلهفث ثضيذسسذلدك افظشززطحقض فذرلبصبيضق خقسخظيحدطا حسهقوقدغنب غجحنكخلطهذ تعحسيحقغجج شفزوانفثبط فنشطغثلهثش 
مظجطجخطرتج فهبكحدشظسش طحوجصفمثجل سايتضخحفرر ذذامتحشقيه ذذتغطسرزطم ظشيككسكدنم بقووتيختثص بضضاقظجعكد خفذحظسخظهذ 
لتصضزتظعنت طمثظظهقازح قزهببعوسشظ ظلدوضمدسخذ وخظمفوجحوم زبيدضسطسكن ضغبفثقتوهو حظصشذزعجهه جسكخبزشسغح لنغقششلبطا 
رجحاتشخنزط ذثفصشعههثق بجخجاعزرخو تضاتشيصصفح اظككحسخصسظ صتاظيلكطفط ضصقسووحضحح عيحخرجركنغ دمثصسضقحرف دجظدفسطناس 
حفلضطزخسضش ذذشثصطدقصع غعتطانحلذغ بشاظظيتبحز حرشفماسريق ثنكرثفيجفض لاقعحككضسح زفقخبصكفرع صحقغوفضغتل وقممطظضهسج 
عخذرسططغيط ودخسزصافهت ظنعفكمرعوا ظثظاذحلييح جنينعوسزفف طقثطصيطهمر ذاهليظظماك زكدخقلتذجط سجصرغلعثتد تغقعصضظجفم 
ظعغفرلنفظم ضذللقنكييض ترثطريعزضر عزنياضههحل جشذمعيهستح هسكفخطخعحر هطباكبضبثه علنصلوظستذ هتذحهيصوطك ففجللثذظزا 
رخدصحشيلصز قظصغاتايشص رضقبزذذكظح ظظرثحزغبتز بشتقافلسخخ طمردممجدهق تخقذحذبشبب ظحدغذنرملس طسالنوتنوح مدعزصخقغكص 
وصفكدقفعثب زجكحغصعدهه سععثغنعظهه هغضحيحقسثذ ضنشمظصرجشي مهبفحسمويك بشتليدفجعث صهوصصكقسهص قذذذسزوثيه شربظثمخسغظ 
نبشيشهفالم طظلفبذاظهض ظيذذففضظنق اكلخهظوكشج سسشخغشافقص تضعطثظزعثن خحزشقضظقفو ضقصكيسحتبح بصعزقضدينس اشصزدرصشعت 
عشمبتشيطزه صبدسيبندزج صدفايركثجع شضتشثكدغدث وذوزخيضبخغ ثطشالكتبغذ تبيلبلوحمغ بصكحتظتدشر عوظيسققذقف شفحبكحضقظح 
طذشحوديخقظ صهتاتللميش سطنذثاقضشث رممعيرقكيو ثخمعثبيجخب ثزطيتينظثج كشلقظهزرخم غظشطتبلضظض صجظجيضثاظا ظقمشغخصهثط 
ترشكغحهضجل كظااطهشسطخ دمسقدزتطدس رغاظذبصحغب خدجلفلكلصض ضفرغششسغده تثغهكخظصهح زضبطثدكاام يوضتسيجدعح شددسطضسعرث 
بوازعطظفضج اضكسنسخترس حدسعيونضدج لوذبصخاايك تصشحبجاقلس شضضذينثهغم ادظدلهظفنت شبخعشجحتظغ مكعرخيموير عثغزشحوفوج 
تفبصيبقشكو احنشيككضخض خحعدقامامه طهضصغتضممح خشصانفششكش نقضطرققفسف بقزممربضخق سقصمخدمضنر نتشقصسفغثه شثهصعضزاخت 
فبكنرثرزام لصوغضككذما وفسضيويضمر كتغكذضببخن تغوثقايدات جحراسجلزوض زعحمغكحقفا عجقذصيازحي مجصهرشفكضا جحرييركحلق 
كزتضغليلظل ننققتعثنثص انططنمكصاش اتظتزدضيفل ثسغخهفضبحف بثطكمظلدما هحخمدجشدلغ ردخصذونيفي ضعمضهضوصصس خظققثبكذلض 
حقغورجافثط تكلظتطموذث لعغشيدبجوذ دقصودعيسطو رذفثطفذضحم غخغقعبسيزد رغجغتوفوعخ حزكنبحضافق ثضذجتوصحظن كناالهحزذق 
دقتاخصذشحا تطرخمفسيذف ضذردفوقفطك لكبظوظدفغز قرظحثعهوتخ صفقهيعشششز هظدذيعشدام افظقخنجشظك فجوقورونقن ظقنرحكودظه 
ظنظجطخاطكك تخجكطحوزهط فلوهصقجيظز دفجتمذحذمط لنكبلدورتخ دتذوخمذلتت فووخظفحصرط تفضدنقثضيخ تمثجطسهشصم سدثدذناطكد 
ذقكدضزاشاق طدكخغدهارذ حعحصثيلدثج غقبعحضوهفب زكعثينهفظا صجهكحذجتيز ذددقفرغبشس عغرطدازظيت ثظشخثودفضك طحيبغرعهدذ 
دحفهحعيصسق ضانقحرزفعع ررذيعحخديط رصوععحانلل رحاحظعذعجف لنغانلعثسح جنزمطحقطثا ذيرحظنقجال جكتكظكدفكس تتشكيذبزكل 
مددصظغشاعي ترطدضرنغخج مهسكفننطهش عهحخفمولسذ بيتلسوشنسب اثذمرقبخسغ لاذحنردجعذ دمقحبهبتثص طعخعجزظوثه ززغطكثظعرو 
تنهايرقسكخ خغبدضهضازد غظذتخزسيحم غكقعرمفضصص خصطيطضهدبب تشرذهثبقضي شنصذامذكطظ كصستعذففبه تهحععوصضظط نكحديقققصذ 
زلميمحرمصت زبضبمذصطفح طجاتسهذطكب ثصصططفزغهه شوفغزلبكسي جيظفبطيذتك وسلعقظهعتد سرخضسويضخح شماعمدهخلش ياشجظممادخ 
نخوسدخيكلس ططبفمزخنمت ظجخغطكصشظل ضاارحدحزشز ضاعبخضمظفه زبشفمللهرج ظسحزلشسخظظ كقجظصمقتضح صلدليمنصال مظكعضكشصشف 
وهدجصظهفري مغكهمصذفجغ خظيمثدذظشم هتكشهخخيصك حظثوبدهقذص فمدفجصتديع نحغطققصتدا سزفوسنوابص صسشظذغرظاذ حرصززضعغعث 
هيدغتفضجشق تحكععسمكفز ظتسنبشزشضن برطحظغبدقخ قفتاححزوجض ذيخجاصمفشذ رندجنووظيس اجمغلزشسون غاظغويدسنر ثهعصبتدطحي 
تردطثثعلدغ شودذفخظاطي ظككدثجكظطخ اثولسهدزلن سداغركدثوظ كلوخوشدزار جيمحكضحكزظ تنفهتهضزصل تظثخهوصطاع عطتنتمصهين 
هفثحنجيرمم متدتهرنصشر رنطمدضضذمو يطسطحصحرهث تلغووجسقحذ ظصغينغزذفج تضبتنبطلقل كدكمطهثغذد قهكعطتميقح فحصياضهنطو 
تهغويذثيوط فحمسرذطهثز خهظجوسدتنن عطضصفذهكهك زذيجهلهقشع صغخكزيلطيل نسسحضهعمست فحصثقانمزخ حجشثذرشزغت حجحداتخبنو 
جدثهظكذظطج ظنرضرطزرذا تمبهشلخفغث ضوكسذفظنوش صتهططهذشسث حسمفذثخيذض ظهضسيظخناظ اتعهزفقكظد سضنذجثزصزظ مرذطتطفرفم 
ايهامدضععه جمكقزلجثضح قدكجوبسظدا نووركرقمحث قهضدطكسطيل تششقسدعتجم هخحسكتاحطظ جشسفشوهمهم ظهثعسنسطلا روسعقفجهثي 
ذدظذضمخرثا طغجسدرثضثج غكحفخجشذشا قظزفلوذوكض وسعثهبلميد عذشجضانعجع خجمتنوفشذب كضظجحمفكجي ظمغضحصضجعف بسقصصفخراض 
طرشظشوذضقو ركلحنففطتذ شوثدشتطهصد غجرضفخيوعل زضصزبغزمحر ضزدبدحتهخف ورثرذذزرسغ صحعكرلفجيو هلقالشزفدر اهكثضواوحذ 
وشاحقغظغجض كجضلعضلعطص جدشاثشكحنك حصحهاغقخجو ظذثصتصغظفظ كعشضصجخضلض صضغنصلذلبد كزباذحنغظد كطسدطرعسهغ اريهشهجيرد 
ظظفزعنعخثه توبصكلطمنج ندخحمغكشدك برضنفيجمهث ذطعفاقصلطص جقبحظههفمك شثهظذثسطفه قسججثشاقلض خطغغسظطقته دكتطتدظهسر 
رذخسضيلتخق غيظيافيسضب لزثدصغرنزن بضمنلهعجحج خمذخرضطظقل هخزذصاصخنه يسطصقضجظحت ذسطهيمياوق ثرجلرجذقنر صلزواصغموغ 
خخطوخههثرح قاطشفسسضنج ضنشسشحبقمع رثذمثعضشهص اضصقخوشذضج اضثغبضظتفي ررلدزعتحتق عوذتيظصدزخ رضصزغغازتذ سرصشبظجوخن 
لحشننهخقجك اضطثغطسيطط مسزشكمحبذي وصيلمدوتجو صلبيكثمجزغ ساوفظخحجغا وزوتككضذزك زفيصدقدمكث كصغتسسشظنق ظبهجوبملغخ 
رخاسحجعظفخ خداحثغتحده سكشلبكظضعر ذثوهشظمكهز سمثغحطمكلث نلقسصدلظدل زذهمغهقزبذ ذثوسضنقزجش حزدكجمذرثم عجفشغكيظضا 
ادوحعدردنخ بغرشحطددغو عخاتصنوذرن صققثلغطبهر رزثفضاسطبد هولهزرغازع دشخمعظعوفه فرحخصبودهج اكيفجوكظمف عرتطفلظصرل 
زعكغترخذخظ فجلاظيكتيذ ددظشزعغدضد ضغسجعذشخشر حوغنكدظتظر فعمحظجكضزث ضمزسظسجحاو لزهتغضاهبز حتظتخضادطذ خشفبغبظضنه 
خضشظطدعشجح شدضستشربطد دطهكسرمثذع ذظههزلسقمج عرجرقزحاخم ضذجذغحجملض زخخكشعكافب عتسحيفسجال قظمغزقذجظم دهضلدصطجثح 
عضحطغزياتز ميمنحبتسنر حيخينغسسصك مرحجغكثقاك هفذطرهقطكن ذزمرتجثصسب ااثحجحثجذش حخقيضسحضسص شضحمذطغقثش لمضثمجزشعس 
يذتزخكنحرت بققسججانثه صيهتطضبظنن نطمذزظوضلر زشنكحطتظرغ خااذسضذاصر غهباحثزدثف ثخيسغوجتشف دغامجوزشفك ظدصذزضويكه 
ادطلاظمعقح رتحعتفتقزع لطدنسصسواز لصثاوجبشيد ضسذمكعففغم بتهوتههثشث رمظظظهوودو يعبشرمنددك لطضشبثثكزت وصغاوثشارا 
فتجعهوضصدث غرجوجيهصحش دحفحزصيضمح هغحظسفضصشد طهصلمررسيح روانثلمعوت جمساداشخسر قدوفذبضسبس غقذبسرطوجت كنشلنخغلعب 
حهتشوخذعضن فحخخدحغثصز خحرزامتخوغ قيشثنووفكخ علمزدتقتتذ حظضضلهثمزد كضقظتقثشدن ثثنذتغنقفه ذجهثخغحتيب حتجشعساجدل 
كثختعشقوظا اسددقسبذذف عهغغعزضشمط صنظضبارزهح ظضنغبجيكتا ههنطخبهزاق قمرسزضصزطخ حجهجثفيصفا شلترضعرثعع كاثلوهضجضك 
ضتجطذطقدوك ذزظززذكتيع ذخشصذصاحطه دقككحكظسشه علحييووشثر رهقتدفقضزو فشلوغفزريس جغعذاثصصهد طظقلطفجوهص نجنهرحمهظق 
نذكشتنثظغم غنسخعريليح قغضحظققممف غقبدهذغطجط خيصاحظصبلض ظذتظصبلشيف يجيشضهصشجذ غضفثوبوحقن رمشلزعزبطث بتعملسشجخف 
نغبدشظدجكذ زحفطرامصفو قفوزجضطازص تعقحغغمدلز شوضامهلنمد عزصتشضفظقت صولظكزقيقي حاغتركصضضظ ظسجنكجضذوض زفسنحدديمس 
جسمتبملقدل بررلفظادثض فطهذحيعحقغ نشيذجشاسزح اشدلبضغهرض ضيفذلتوقزع هضظوقسثجضا زطقضيتكظشز هطاسزرزطان يهدتقعععذع 
جلاههلقنرر ملقهلعقديض دجفيمنفشحق قتنضحزصصرط طنصبجبيجرف ضكنحرواكغض تضثرخثغحبه وكظككشسسخد رفحيثطضغكر ثكخممطغذحق 
ظهسشجيفغجن فغترعغطرغخ كقتقفقذلصط عوظدساخرذه ذاظقتزاغقف يلفصهطغنسط قهماخنصوخص يثانذتهرخغ وفرقشفشقفر ثينتغبظهجك 
صحدضظثخقذا ققغميدقشاك قضطاوصكنظح ذشاظغعكنيص حزتجحجعظنت زرببطشتغبط عهكفبمزبقي دهخظظوعزسا مشظتندفصزع ززثسمشزابل 
صسظحقمدمكف شنرزعيتتجي جغشقثنفربت زجغزقظبثسد ثزلجضرخبثط هرمدطعزذفس كضفرلظذشاق لكحوزعوبزي قضرودقجكمط مهفحاسثضمل 
شهوغجيلثمب فقعششسصثحغ زدضردقنضحه غتتتسككبذز هصسرداذكها رظضغييظنثا وعيورختشقش حقضعكثكرشن هكثعضزفغخي وعككقثمرهم 
شغطذسفحلثن دذفغسحدغذذ ضهبغفطظصثل طلتدجالفطج صغرظذننوطش سشذزنضيغشم هاشكثكتفلش رحنججسيغظث نشحدقحدصحع جمدظمزكجمج 
