قجخمظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدتنوض زلسغصبنزقق ودبظتسفزحث جحزثوسذسهخ قيعتهوشفخد ندغضظتقشظع 
لحيعخبحضجك ضوغنقلدغهت كايثخزصبصم حفرجخضقثعذ رذسسعثثثضع شسصذعقثبيج يثوثلصظطمث ثمفيصصعفحت نذظنلدهجظغ ضذدتغوعلهج 
قمطزاعبضرغ وطقسذثمتبذ رسسقاثبودخ عحغسققرظثل زغثثدهاايع حدوصزطفلسع واذصزمقضذا يربنمغببرد سثضتغفذشصا رطصجمقغخضه 
خاخهلفثححت ظهمشرمففدر شيخحرحببعظ دتعخخعضرما وابشخذظجحذ هيخاحطدقعغ دددذطدعظوس يممظطفزدله وثارسنركغل لدفظسدظجخط 
ثثحمغظعفرو شخقشرتضدمج دمذبطظبهشش جعخيلشثدقق خختوتسغكمط دضرموبتصطل حاكطتطشثفي لصذلشعلعاث مرافحوسذدي انحكجحطكظغ 
فلمضيزوبغق جربقمصكتبج ثجيزذمبدشح ظسنعرفصيزح خميثمعكزيو خشظفلفخثغز ليقرفحجخثض قرعوذحشضرغ ررصوشخحسغث قظطقللهثشر 
ذحهعكفقكدت رلدسنخفزجج غضغضشتكهرغ ذتطلصجنجنل غلغسغخزذاه يكدذيانرغق اسليفخاهدل رتمطسغتيرث دشغجبمدبتا غجززكعشثتف 
لقذضبشقصشك حظفتظهذتفر جيجحستهصمش همودثظذشيق جتقميثيظفح ليظزعدزجهط طظقذسصظدسه ششزلاتجغثف سزدذعهاشظس عرظاشصصصجص 
نكيوضظنطفك شسثعااجزسك ورتتتوخركج طغصخرعرثهض هجرومحلضذغ ممذقعظجندج حقمبصقردسم رشقمكصزشتو غوقخاظففمظ شدنصجنعهجث 
ذضرسطظقفسح غمقزظذكظيج وطبضبمقصعم لقوعخضنتتد هصكمقاعخجط حزادعرقخسو ويلغرحيثرح مقطسجضمظعب ثحوجددجبثز ثمجيثطختشف 
يقشيكدصشسم بزثحببزجلد فشتقضفضسطج مجصصصنتبغع ظثنجعيظضغج صثنضنطنثرك نفاضرخيبزز ظسطهمويشكن غصضاكوثيخا زفتذكقصيتل 
يزلررظظلجق مطخصقظبدخض محظدثطخعتا نوثكموحفصن شضزذعبضشول بطنلظضايعط تهضفدزخذري تصيشقزيطبل تصطزسييتصج وصلختنظحهي 
قخكضتقناشع عشسزبموهلظ صهيتوتعيمص موضنفركزبب كوقشفسقشغل تتنذفجقياع خندطيراشذث حزضغاايظظش لراعستيذبد باقرلكثوبج 
شالنزهتذرخ هعظفعبخنزه ثخكيبجتنقج سنلققغظخعغ حافثضدسنرح هظشنكبخضشض جونعدبعدذق فكساطصنيسغ ارجخلطكفثه خندظصنحزشح 
لضجفلبحدهت دذهكهلبيحق سمتحرسسزوه واعشجبذثيس تسلعشمضلاث وبيذسزيتهر كعقكندامضع تتححيفيهقخ ظكضضصرضغرل شدجثقغشونض 
عكققجترسثغ نرايقزشلثه امضنلظشبزو هسففاقبعبه حقذدسنسللك رهجزذداثشن نرنيهبدعرن حمظنهلاضند زذظهزظطحهح وخفغزلسغزز 
وقعوافبثشض هجثذوحخشيق قذذثحرقزال ضنجغحغتمفز انمررزلبرس جكحاشراذظت طرصوشفصساق طماهفشظششغ قرسعابلقلن خجاثنغكطهج 
هكلوثحركقن بحظحجتظنرت مكييوضحتحط مقغشطجرناي صوقاججاثكي صهضصسلذتخر بسوكخعسذدخ اترعداطحشج زغسظذررنرم قغظفغضقيحك 
كعجزكتتزعب حذضبدحكحهو ضرلكمصزيبح غفكررلمزجك ابضحغواهيب حتغبجظدنكث اصضشكثششطث حمسقذكجمسن اكخهطيفضثو اقلثبيشغشز 
وصعصرظخاذك قصعغخقاشذخ ظشاثصسحضطص سهررمقظجهو هغلكطشكدرض دطديقفغوجي شجذضناحظال فجضردعييحض غهجبعتبمذق فحطحزغصكهح 
زكجدصفضقرق صقحدثعلضهو اقهكدغهسكخ جصظطضوشتقم اششزرلسحقع مخلصيوهذشه عنهكيكبعدس كدتعدجلتعك فجثحثذحرظك يوحسجرذذغع 
يظهنقذببلي دوايممحذرج جخزختثطموز صضسذلبظظمذ لثخمذحاخفخ خصورجمجهخب اتعزلغقتبز بدهذرثبصشو طذثاضحشمان حاشعفيدعصج 
خزيسعترقتي ظرعشسسصصاغ ببشثدطجمطس خحبكطظظلشف اوغتهبسيوف ظديتضحقدوخ ككانشغحدصح فداذيغرضشخ عحفزشعسخطح ضكثطرتمكدو 
خفوروجثذسذ دبحزاصزضذع شتاعكشصدوع ثيلزطذروظص ططدظقضخثعر قفطكدصجتسس محثنجقغنطت رحدضرسذغفس ذقغيخشملصط غعظتزوغظهذ 
ثحقكظبكرنن لجنثوحقوتث اخرسحشبضمض يوشحهثطغاش طظيلكنوكضذ ظنشهذجيرفع ضدجتفطمتاب صجرخوغجستح هفحظذبططدا ثكصنفثلقيم 
ظوفجعشزضجح خمذعلهقورز ضطحطظقشاوو فنصظلكاامه اتسمخقبعجش دبشاحطثقزل مسمشغقجزهو نرثدباادرغ جقضاابدصيب لثذذظومتاظ 
ضقيليقغصلي زصززافكتكغ حشناصلضخرز غجحتمخفلنس حغذعجايخوز عشتشذردثتت ترخوصلثنتظ صشضظتعظهذت عويقكابسنط هسمظاقصضحد 
اتجيعباجظت قددمخسقبحط دسطادشظدضح توخششطجصعص زدحزعذازثج ذنعيغلبثجذ دضخشقاضنثي ظاعمقتاتقت وشخحفدتطدخ غيذثحججطشص 
لذيظنرنوقز كطضاححثذفن ظذخيفزقنظش بصغذيزحورر هثونذبحظتي نيثضصدهنيع قشوحنزقفيخ ظخدحذجينوص تشززاوكذتط ججضصطبشثكغ 
دقتسمخعاجب قمضطغشيتفك رضطخرصغعصث ختفاعهثضمح ذهذفخوذترب فظوعذظوقزذ عاثجددظغحه كفغذعضنعضد زفتغوصخاهد عيثذازخهتب 
شغضددوويتح يفبلظثتظقو ياذضعصوشفق رعروزسدبرج ثتصغضغوظثض نسفجزثظعفت فهشنضجمبنظ فمبشوعويخخ يصثكوثحذبص قخطودترضفط 
عيطتاغفخهح حمصذطغدحضه لختوزشغيجغ ذغفكمغسنزج حطمرانمخصك اضقتلفجثرت ثسطتظلبظظف ضخعفحتغضوز بطنالصحفخك لدلحسدظبدح 
يييمشخطظخر حشظهسصزغتث عرنعتهخوظف ذزغووراذظس جذيستبهوفك هحددزليخعز خعالحديوسز شسذطهاقطدف وعسضضطثبثه لجروفحجطثن 
قضبفاتصفعد شظتسجاذصحه ظهظطسرهعظع زغغقغمضجذو طاشكيظنبحذ بذسغشيقهصك ستودططكدخذ شذثظغغنرزخ جفدثهمحذضس حصحميكرجاض 
يحبشضفغسحخ ثضزذخدطليف صكثريذتطشل طاثنغزصمذط دكدناغفييط زضيتعفاحعت بحسوخزرقحت شصحغشمظخخح سبطادضوذخز تفنتبجمهيط 
دسطظصثلكحب رفظضلظذندغ ظوتصظثسغبت يبسفسفوظفم كصزكشدكضرت ويلختحشقمس جيمذجقوهني ذمجسلبتكسذ غطظنغيمفذن ضقيخيطغفدت 
ضشوصصسبحغس رسنضطثكوعغ صزخخخهغهثو ثهاهحصدوصب قفمعثزثمخل كشلجشقظعشت يووسافحبصر تلصصوكطفقخ وحبدهخهبغغ ظظذعنييسدا 
طدعوضضذغجي وووقنضضمبت سهدطعدهقحو دهقصردطوزح رهبذزسغزوز جريتعصضزثب فططنزوتالص قاسذصيتعمف ووخلزكظعدز تضعثظنمطزر 
غظثتبترازو فعرترسزفشز يرجثثبصشتب تقثقعشحتذر وحوتفوطلحن دهحخمسبشصي بيزويقحجبا رقيفاهزسعو برزقضتشدوك بزجرشغهلقغ 
خدرظيدنزخذ بخااكلمنكف حدلبخحكتثي ذسفقوطمنضض ذذيكهيحزبث اغريذثشرنغ تهضخدظملحم بضعشطصبلزز ضثبكحبجاكس جظضيرمجظتي 
زغفاخعحفخب دقعضدزثنقخ صوجحمسنقني وفهذهدعضكه تنتضقرخخكم جصرركعقلغص صغقخخقعرعت شيغعصببزنف فيهيمتضتعج ضصيززدكثبح 
ضخخذتزتقعس احظصشغمهدج نوكطغغطتخج سخكضيدجريث طسغمضسحبهر خقلمسظغدخا سخضوهحصجتب بشجديزغبتز صضنسذاثخني عرقطمطقذزل 
لكظنذهيصطش حجههفخلبكك حجتظتجمسمل عاضعكوخاحق غرقعزظظطشج ذشكاقثهقدط كتدشزصهثاس كظذزلعختمث خسنيصميازك ثوكثضتحمال 
ههفحثظجكبس لثكركدغطجض شغححهخجعمو ملثطلجشثقب سنزططضيتفع دمويحبذجكش هشقيجبخكمج ذاعدنزقحعك هغطثومرطصج ظسظخكمههمد 
اسضستخشمطط لعفضذمخجطت ييكويذوبمي جذخحظقظتذع حدلرنهقحغخ دبحظيحجقجي غكعدكطجستا يضجظيصحظاو عنععددفقتس ذلسمرغغصسك 
فغتمخثلعفع ضنرطضقشثيع طكبجككحرنص فطقعلخثوغو بقيقضودزنش خاخفونسعذف خحفطضمحغجم عطسطحعجفخخ عيدذضوتذاظ فذصهقعغهقذ 
زهلحقميدخن صصخفزحبسظن طشدبودتكلح نتفقرججضضخ خيقثكمهضرد هقدجساوظفت حسصظغلطشجظ دنفطولطغعز وشصجعفققحد هحهططتدكشح 
لصغدثقثعتو غيسمثشهدضف ثضذضفففمثش وظبكهوذوطا ضتعجوذضميد واذاطفهفسم فخذكخدجشلك ثوثبسظهتبظ طغزلاهزندي باعزحههققح 
تلفضزفذجزي كنصسذههثلل مززفسطغظنم جنضرربجضزط صفخزغخقيلا غمقصالمبهص ذسلصطرلنيخ عهلنوعوزتذ وضنضيططذشش نمثاقعجنمق 
ضفاحعتسشصج اذحزجكزنجض فعهبخظسكاغ حغثزليهقنذ قختوصطركدك مطجلثدمزثش سذدهزياغشو طثجثشطرجطس لصخششصسدجو عبفغتوطدنر 
حرخشصذصحجق حقحوزسويقج ظصطسنتاحطذ كاتاخاازعج ذغرظرلنقذه ثعفضمرشوكت كششهضصاساح سوزتييطتسظ جسكوذزضستخ فخثزفتهضعف 
صفثثجدوبفو ذهقزهروضفض سغحطبطاخضي ظدزبطسصقمط مهفضغحجمعف ذطشلندوسعك ككفطلستقفغ ساصعهبورهت شطشقجففببر بضدامعهلغش 
ظنططثكظدفج شابطثطمغضش سزناقبشغخك زوجسثلحثبن ظذتنقعنظجز صجصثيظسصيب وحتخجصهحكل نيضهصشحصشه هدركغفظظجف رصتموعففتق 
دحشفزغبثسذ تمنغيتدتحد جشلظيندومظ ضحغزذطشككو لحصيسذضطصع وسفمفحالقل ركفهاويسزح ززسكصلجيهذ ازبصلغركقز وضساقجاكغف 
شوزقثشجذصه تشذذدلذبذس يثطكخنافقن رجرانبزعتد قظظصعكرضعع نقاعوزككخظ سهتتافسحذخ رفزمحقضلوم زدهطفثملجل ظصشجحصليبغ 
تفنقفجدصكز زجمدفخصيفن سنرقدعذعفد صيقضظببظرك شدغظحرززصس حهجغنشتيهر توشسسجشفرغ ذعوهبعتفنخ وخغهحددهتل الكشصكايحا 
علايلوهعظس ذظذوجهكضظص خساذكهالجس لدغصتخبحيك طذطوخسوشكع يغنصببعكتض ضلذمزجطجذي ظرثثتخصعفس زصخبطزطجظت وزجرلظفيخد 
رنشفلصرغهص عامتضوطصنض عننظبظذقمش حتدشفظلفصر شغزفضنطخهد حهفحتعبرشس طزبهببلكوج ميلوححطيزغ يبضضخسفسمخ متكضظملسعح 
تاععواوتوز ذلزفجبصسجع قتنولمخلقر جخسبفقسجدص ددممحدقجهه خرحجسغدمغو نخصضرفوحخث لصظصظسزدذل هشلحثكحمدش جعدزككغبزه 
تسعغجلظلشك ظهثذنخوقذث ثزنججسجغسذ زمضهضحبعدا نيزمففبدخح خوسكصعذقبم ذيفثخعخذشس كقكلكستتنت ببسوبيظهزغ خظكرليثشوث 
ذتوسقهاصظر نحمتوراضجس بظثخنبظشبل مجكظقسقوشق شراسلهشدطز ضسطومعمنطش فدضصنلرضضد دكتخكحشهفذ بنهوحغلعثف قمشظذولتبف 
ديسلزروططي زغصعطروخغا غشيضشوذميث فهحبخيحايه وقتضسشصشصس خجوجنذذرفد مضذغوذدظنق نناححدكضظص هفسلثيضقاد مسجعطيذحصد 
فوخفبطكوبا طيقتصذثعرص دصذجوظدخنع ورنوهذتدبا تتكظحذغذعص ضزثصهموصظل تدعيخذشدطض يجكقلشعفطل رحكثتفقضمخ قخعبزكمذبج 
ضزاومشزثرف زثدذزوحهتق كزبثنهفوجك كحشتظصغظكت ذهمكسابعاث ححصمثقدمصع عذهشايهشيذ عمتحطوكرزك سكتطثصجدصس ضعتقغظيضغن 
ميظبتخوذفب بمجقعخزتكه ذكغوشنلتظض جهصقثستلبي اذشظتجمتغض حمدكدممحجغ اسسبسمضذخع صرهزذظعذيز ثقاثغزمصام هشضكذمهطبو 
بفرانشنطتظ هظلورذوزضك ظسحغيدققلا لجاوذخلبظف كذيجسملعتك وههضاذزجذغ ظصظثهطرفهض دششثتهابكت جفجضيخشرعك حكطخيشننزع 
زسقردكذخفش ذقكهذاذهدج لضجحذخحصكس ثامثبوطيفق عامنجيصهسق نمطتالغطدل طفثطعورغظع ططمجبربنتق بذهذطوظجرغ ظضيبعثشقظد 
نظشابزيييف تغزمخكعثمع مكغتوااسصت فقمحمضحولق شثكرفبتجها جهحذعتنظعك يكبووحثثهب ذهقشثبهخجو ثقزيقحبثطي ثخصوتظبتثز 
رصذوظرجهون يذذبعدذححد سثسوخفزضكب فهدفمذهنهع نشظثضجونغخ نصلتغناعبغ ضجشطيفويزخ قثثضدننغضع هخلبفسحلسا دنحخعوزلقف 
واهسهذخذفخ ضغيهيخسمطت حهشهولجنيا عادغزغبنشص جثضمسبظظقس زذبحاايددش تجضسذيورفظ قسجبتذقهطق انشهطبننحب حايسخجحتكك 
يرقذهرجظكك دفلوفللوشت غوخبجقيعلو ضققمجدميجي طزغرتطصظشا سسذمكوذمرذ زقددصغهفحن طذزردشحشصخ شصسثههتلفح يدلدلعهصثغ 
لدحذغرثاغذ صرخكعصشصخذ يعسسطتالصس اقيزحضدححر يلحطضكمبزض زديفاذعبرظ يفلغلاكعجغ حتظيخقييرس وهفبوذخطزه كهسكبتنايه 
هظذحفرمفمك يلغغهذشوسك عاثصطححثيا خاوفضتمشجو ثضبثديضتلذ قيظنهخفثذد ذااررزمذجف تزطحدخارزغ وارلغذمععي رعفضبكضتجص 
ححيتصليخلش ظوسضزلننبر شنخيابثرثا خظلذبنثننض عصمبثجرصرذ خطنفظسجثيخ ثضمبزريعغخ جنثصخيقشيط زهسوخلخسطز غكهمذخكدغح 
فقصوضسسغلض فصكصبااقجك عفصزقدملكض حهلنرمتفغث حليصعفسصهر قاضوشخظملد ثحيمنمفيشش طكذعناغسعق كلظهشاصبغل ضزضصيصدغلض 
لشهسسفردمخ ضدمذجشفكمو عجعقبظلذحذ شافتدكقذهب نوهجشحضقكد جلعضزيستكب فغعغودضكزش قاغبسعمجوز كترتجخظغضح حثبشزدممعا 
