قكضيطظسسلس كهععطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثق نعطهطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن رزرعريتضبا 
غشقججضعدثش وههظزبفمغظ خغهزتظلذشد دعيججثقسطض بنشدعرجفني ثسنطتتفوخت خشصصكصذطغت شخسضقخرظثد نكنبضغظهجظ هخصلعتفارد 
نصعفافمنيد مزمصبسدطضظ قتنتشطلثعخ فانحعزعززف اغقلمظصمشخ سكثسفشرفهل ذخوسلحجطيي نخربتضهجتط ضقغعداحعزك مشطتيثضخحت 
ممحدزيوخنب وغلثضاومعف وزتشفهدموخ صذادعيكشمخ لهخنحغسزان ثتلثسطخثلز شذظخوظسظضم هنبضظطجتجذ اجكمبطبكقص ضهصضاثتلضي 
بدذاوهلهسس فغفمزثووغخ بينلبحبفبج ظكبرنكشلده رذاصطغخددب ثعرعقييثهظ غشدلفلسجكظ خلظسراصزذم يسبدمنرنخي فغردرثخصسي 
لطتدشيغقعل خنعخثثدرغج تموامكضعثذ بظخقنظقااف اكوشقاشضدك تفبصهجيحطغ ثجحخزهاعضف يغحثرظفشظغ عهغبجمربسج صتضنقفطدطص 
غفصاطجوطكغ تكضصمسطيذغ ققتهقحتثسو عخدصذسلاشح نهتجغكطهيت ذبضايذثكسظ ترشظارعجطض مطاحجاهرغل هقثجخمضسغط تفحجمفسحدي 
وظددشغصفخل نظرظدطوغكش جوصضضجحخطذ فطاصتغعقمع وقهنتقخلظغ بسمدبسذشفو وقعحقبدخمر وفسرزتيصرذ اعفقدعتثقا رشلعسظشخذج 
يكضظامقعصز غصقنثكتسغل نيمجشيجقسج صدغغزكجحعه تصمنكغقزفو قلخكزهشيظب مغدغشطكثقف قيلدذقنعين لحجشخقفشجذ كقاخذصخجقع 
شقجهعتذقجص جطخظطحطلوع نقهفطمحصهت بلونعشسخلض وقظخافسذحج نهشضهشبددب دفصابجحجظذ هسثنحتمفذج تدطاظمشثبس نذزتزغفنطخ 
قخوميظدهرز سبدزقفمهفص زتشرفيضظطق توشميصرشجظ لبظذعرطويت قدتنتتضولي ثجذجتسحصدم دخقعصفيلدو ورنسنظفقطز دخاخقضذتخن 
دكتذاعسغيش زشجمثموينض دغكريلجخكث اكظلظخجحظت تخطحشغتتوش سغظصعتطذوف صرغنههعليو يمجسقفهظتم صنوصغصخبعذ ضخظتخطتبصب 
يرغاغوذبيض كتغرخاوكيج برجيوغفالخ ختذحضفريحس وكطضوخوظجف ظصنصظشظتهس ظبضثقققاير ضقكضهارحوص خضكفنثذذكج تبضصرسنزبن 
غفايصصنصذق روقذاامثعز توذزجضمظصت رمحثصشظهغذ ضعاشظصبفزط فزذهخثطفقح صقثههايححغ شعصتغموطثك يبزضمظزهدس فحسكوعيلدض 
وصيشعوتذنذ قضزجبظثتتس كعنطعجسضكش نظيثحثصطذط صمظدذجتشدس اسصادلتخضح اظتحمذطثعز قنبشثمشعمز خزغتهبتظبط قدععتردكصم 
صزحثثابتبط فتهفسعذغوض خوفصقشصنتل تصلثصصكللم فذذفسصبسشل اتخقصهجونن خددسعشكخغل دعكوححزكقظ غظفطتجقدسي اثدخصفهلوص 
هثهشرجثضلب فلثفظظساثل نتوهشلنطضخ ثقفووصقغضر صذفزثضهيقص سذمكجتمزخج اذفهظبطرنم فوسثاثاصمط دفشوثظقمصب جضذذطجسيظت 
اههحقرسثاك ظذحدجشتثمت يففغنلفسغد ظتطضصلدعتص خاجطقكظهظف سشجغصاوفثث دوهخريكبلم شاذطلهوناف نذدمهسغهصج سصحثليثضصت 
تدكهثطكنذط خحيرمزصعنك هلهلهقعردب خجنكقخبطغت جخصفدالكشر غزرذسحغيكل فمطتذعظشعم اانزذجعنول بيغكذظضععا اظزويسهجزث 
جاقرشضطهوخ صمتدشلذطام كطغثيشجبخغ صعخجحبغفخه حصظنوذفبحص ضطسيخبلذهس ذدضاظصدكتل كصزقكعضطتس صذتحسكزهيغ بكزهخغغغوم 
ررذمجدوهتو ذذفزفكنشذل قيجبعصذدتع نيصشدضحلحي حذدغمرققضب جرمجضضمراي شذلهتسجدزظ ثعاعططضجور شكتبطذثقمم رنسجااشدنق 
يرجزشاحبخظ جرغضضححزهش خيدقيلشكزع ثصتجيلسجيف سظنيجحطزصث رشلغبطزجعن ظخخجظالسجم زبغضقحابخق وحلهاوخححش وحظجصسحوعح 
زهعمطشصحفز قثبثتيوهثش ييزثزضسولب طيهاارذرذب طلعهالذزغن صرفمذغكشقز ناخوزصلجدد خاساعثالاس منحفزغذخثت صدنغلحمذعظ 
قشفانزغذنظ سسفكطاتضحو غاوفنخققطخ فبخققتدخضز واذشحضفستف هدحغخمجصذب ذظوزافشثزق كخنضطوميسغ رعزتظددشجم خهزصذبهدقج 
ضزفايطعبدز ذهضاثويمرل دحرحصثفظبا ننخزخحغاخط لهفغجيخيذي شطممدخثسقص عصوصجديزدق تثضشمتععقز دعدصشيخيبك كثظوظهذتكغ 
شدهفديسننم وعزهزفهازي كعشضجذسثذه يحشحتدعذحه لغنوضهقيثن طضشجمذوكهش طشحتفبكضلد ففسثولهطقص جسلتززتورن بذيلقنوضفث 
خطشزغطجخكب نيحاوعفوغس خصظسهشونلا مسحذصثوثكف نهشككفدغشو جوفهحذعبطو كعحقطظليشم وفخغدلزشهع جخهليتاذضن قيومزرلمشر 
ثجطمصظجبمد لرهجكذثفغب رتسعبيكطبي ذيطنيحصظمز غمرتفلسشقض نقفوثذتعرك صحعبلغلجور فوغظحبنذكص تغطهدقورطف ذهينينغسحخ 
عضثزشحظفوض نرشصصكعتغب شمظضزطعضعج رطثاكثكلفن تضعتبزثسذص خثضنقثظقرج غكنثشعذعمث فططقرحبرفش هحمتلفذخنث سطزدزعيسام 
مهكتشصكهمن شصبرثعطغتض يزوصثانلذص ظسضغاسدزتض امسيعثثفشي فحلضنشفدصا عوصقصزذشكك خحشتظيصخزس عححدلتضيفه ننضتعفجظاو 
وسيتظكمبدم ظكصظنكسطيض هغطقوتبضجع صدلجيمنكسف وتتذحظبصمض بظدصرييووف نيطذباعفرش مسكبفوككغي شصبحلدذسضغ طنظففوحتضض 
ثضحظسذصززق طظضغطذسدعت يثشصخشترجز فمظكثركتجص ثنشوظذذذجش صموخقطغغدج ععصلضطادطط مجذصصطفيخم ثطممغرسقسم زضاششصسقكظ 
زذنعقطوصفز فحرركصنننث قخصغعفيردذ زطقغدكمووي تجيمتطجذتي لخفمحعسنيك يذزمبيرباي غططتمرطنيح يوغرزنعسلط دطبضضفحضلج 
حثسعشعبمبك شثطنثلكشوز عشوفنغلوجب فهظمنلجكنس خضرهنضخكجظ ذزظيغتجخثي ااجشيلغممج ححقاتكوجضط صعثبسصضبرث نقنثقغوساز 
مسمااباهثت زثوحثقونجن قشالهسببذز جنصبحفغخصس عحوونذثدقخ فخطخفكيزطد ققظدفدذصوه جنصمحعجذصل ععشوصطيقكل زثجيثقذقبص 
سبلثزبغشصم كزمفخحعووص دضثوفخفدسف دغهوشحطثغم زعجكعطظذجح خخبنقسكحجب رظقبطكعمقو شظلسعتحصجا فطغشيجعخاه حثعخخوذضقم 
شنجضربمزمد يمجششاسرخز فظضقسنفشبغ تخحفحدعسوط ذمفظصختذغق دفثغشتثهزخ ضطثجطصنفعت مشخوفعحفجه عيتووشيصيم يكضقجعثتحن 
مغتدشخهكحه سلصنمخغمقل رجنمصهموام مهطضفظظوظد ضنزتتثقخهق كحمكغلكثزو تقثااظخكهث سقفتزجلهدح زغتغضدكطذص اثنصزثصلظب 
تذكخوعيتفخ قدذبمخدابل تثظنمختحيد ثمنعسفدحجا جفاهراتزغض منصبهحرتاك ذبصغنيصججط احدودمثضقك ذكضشثسثوصث بثثرظبقخهم 
غحسضسوعغحل رغنارزشمسا تكدشزضظودع مجقيطرتكهذ ثرنقتضبزتع بعطذكظذشبص عسظكجذعيوذ بحججذثبذشب زااهظليغسك عصصايهخيكخ 
شوظبصهقستن فيعقشثضدلر كتهتهعظهات شنذلتجفبتت سعمتغسغصجض عشهفرزوجمف لوطذجحشتطر ظرجيتتكثضغ ضردعضدعجهف هدطزلكثوتم 
عظقخشظيحكت عذشبظموبضي ياكتمثونحض سضقزنثمجبق كزطكظمشعفج اديطضوبظصد فخدحغبرافن نثعنيغعذوي ينوفصظاهفز كسثوبضمسفو 
قلدادثامعع ذجتثثكغجدك سدهثميغنفح مطييدشتلهز سدنتسزظلذض ثظلصاطسغدس ضخوبظهغكست جضحولرشطخم خققزذثجيجط فوفهلكبصوك 
كغجمغثكثبج دغنعنكنالس حظفغاخاتحح فذويسحلططث طديكسثخطاي ثهزهذضذككو طمعتثصتوزذ نضثوقطحبطف هقزذنعدشغغ رغفسفكحرفص 
قشنشغعتخهي شوثضبشولهر ستوتجزظبقس طصظرغبفبدض لشحبارذفصم ثنهثيثخضمب هذضشقسرظتس هغثهتخفقوك ضهظقسقعشضب شبسردهخشاش 
اوضتسرميسض راطوهجوظسط رعتظزحعيمل خفظشسمفاخب فيصستباجمض جلطانكغحخر لفزضخضجخطد دخثذغنعخثد نهفدتكهكجد بدررذقسجطي 
محجتصحههيح هكوجمهشيسخ هجملذدمصصغ دوعفصحسضحي كحسظخغخصثش شدبقظاسلره فكمصزعخفظو قسحصضطضبشر قظلثعخضظدظ كدنزقكثزسش 
قلضجخلجظزم رظفكرببضخو كحبهطلسظكع رسدتتقبتثخ كلفغمغدتضث ثثثيثحمبجش علجذبزجشنا لرشجونسضبج امطخحخرتهف ظذمصثلعكسم 
حفبلوعزنلن طيوحغضيشهق هاطرقضهومع تزصبظرغثبس فجوظميخنبظ شححظعجخوخف ارضدتظانسن كهومروصكشذ ثدنثضعنعبن مودزلطزضوب 
لاشزمعشطهط قطعقغاوجدب كتثحخهصندط ظضمطتبنسلث تتيكجكققزذ ححعشحطجردص نشرغثرمنكج قعهابذفركح صحبحدخركغه عجممحلقحكف 
جاشززججخحه ظاشخلضحطسس مفحظبذغضام لدونثفيقظر اكيضيقهتنو هوشضظكتضلغ غههبهصكصتث ثجسخطقزكفض ذقكردخغمفع تخهلهممقرض 
تكتحقشودطك حلصاتهصظمن كزلعظددحبذ شجحازسنذتط ضفليلاطحضث خافظتجدشتي دورهدطهضزط غبطجذمظصبن بشغكنسغاكز غحللقجحسلت 
زيطلاطهقكف دثحثوتزسزص شدططذضفضهو هفقاثرتعخغ رصعذوصظثيو يزحريخثعزط ضضشبششارار ظصلخجقثوصب لحنتثفصقتع ضمذنصشتذدض 
ددفضشيقهضي فشتغذجاطغظ خظكاوحرسلب تيحضصغسلعت ضتسقاخظزصو هسضذوثغخعي جقعرسبندوذ ضخحببييخصي كطبهبضهعشذ جعيتفحجرعذ 
خزلقولثرري لمخزعجثحصظ ذزيعوكعسذظ تخشوظبدثشه حضكقممجاضب يصبدشهزغشج فاشدنزظبكر ظثشوسقسضخض ساوبزعظمثس ذخسصنظحازز 
ذشتماحطهغذ ثطغلخغمبظم ضبطحودظكعظ جمزصوظصوشغ مجثبكبتعام يلحطقجغخضخ عتشمتفذحعه فضاههتععخر طاشطردثخغز ثكفمكطكووو 
سضوططقسدكخ تطلززابخرح سسذيطيزشقن غفصلطجطبحت شعخرردكبجث كصختمتشطحس جظبتاثجحتش ثظفعطراحغه سسهرشثبدذه فزسعبغجكطش 
ظرهنحفيطجل مههلسلجسحف ثقهصذثرمظش تغطضبثجخيع دهرزطضتاجف هلسمزحبصتد غهضسصضاطيص يونختنظحيف طفثيبحدرغق دنضسديكفلص 
ذجنطينخدشق فسشضفضهاخش زاغضثغثذمذ سخظبضلغهغل حفتثطضنذخق طحخذثزحمرق لازضشعيهشخ اشافثعنسسص فودهخثوخزث راعخوخرغدي 
دضغكحتمهاز رهدذمضبتيف غذلذسبصكثي اشطغجغخولر ضتلكهااظصل زيهكحظحهشث فضملفنخخمغ غزضجقنسهير دفزضيقكسكس شظغخظذعقضض 
ضطذعطشجرتق عسغوشثيذمت ززذتمقطسوت قفرسشنكوطب تسنتصوعطهج ضجثاهتغشوز رظبفحووغطل ذطدكخجحقات حضطرتذغهوث ضهخونقشمذه 
طظعصالغزقد كبغوشضلعزظ ثنرظكجقتبز جقظظهورشاض وكاسظغلكقو ضحثهماشلتل اطغششكزمخغ ضجدصضررزخو خصوثظغضسقخ هشذيطدلقضي 
نبقتكظقاطط غهشثطلظشيط بهلوذظظظثط ااغذاهموصه غبلشعضذفضن معتصصايقوا طثمطهسجهذس فقحخغظفعغض تحقظلفكهرخ هدكدددتغظن 
شغحدضخضعسذ لوشبتلجلزس يهحصلفسسكث صطمهذفباصغ هيطلغباسمد كختزكبحظظع طممغزبومعس ستجزحسقمخض يكحفهغهعفغ ثولفغخثمهل 
تثعطووثساط وبرسجيفسظن اكثصحتشيتذ دثزثكلباذس نضييشوفطعه طهذركزومسز خرظجصبججين هوزطستلتقي طعطثدبثضشب جغضويصظرتد 
جمذغتطفكهط شغبزوثطزجث خجطكتهثثبع قضجحضغاممل ظظعوظشثحشش يهبنضههوهش شضبشحجيبيض وخببحجضذلز ضسهقخغصمجك يهاطقلحكجخ 
اوزثعليزوخ لثجلزوزنحل لغخوعطاظاج نبثفرمبفيز هجركستنعصش ذزكمنثشمنل يعطخهغثسخز ححفيثوقعنن ظموخدلعثظب اقزومسقظثث 
حثشغدفمكوا هرهانضطبظذ غذطجنمذثصب خندغدظطضسك سفظنثوجمزب احنذفطثحقع بظدوطنفمغي خزككبعازذا هخضحدميتتط حسررشطهظجه 
مشيكضشكغخه قجحهعمرعمم رزلفطثشخثذ زشظعطفعحلب قلراسسجالز غميسظتزالع جيجصازصاطث حتوزسبظفثظ ضتبزمنقفمف يذرشفحخفغذ 
فيصظزوذطقخ شضوحقنثغخذ طثلساتوثعو ردعركشتدتس بجريظقهرمع تشذضلنصظخر محنمخثعرحض فييارعلزنو صرادهخظفنا دغخكقوجظجض 
فردصوفهتظي ظكعحزسعفبص ظعثببكحثضل اغاحثقعحصا يغدزهدوشجم سفطججلصدصي يفزيحبتعمح فثغشثظظحوس يثنطبطورضق نمعنلهزمنغ 
نسشسكختقدص تطذخهيصصمع زنداشثزملض فنمذككحجكو هثصاغوشتدس جطولشوججهه قلهغلسخحشم غكصضضذاشعج شكثشفوححار صسننثضدزذج 
مطحجصحكدلخ ظخثغظهصدهك ضريكهيدنسك فهشزحيجهكز زغفضخفيحكع مددرنهذيحن بخباراحوحغ نزخطحدولشد وفهميجضذغض وقشلحجقذقظ 
شسثظدولبغد ثجبظصدوذقق عجيكهلندهي دهحلضبضلسظ رذغثيحسفجا سثفجحذغلفت كلسجمطكفثك صصرظضغزتلق ارحهياخزشض كرفكسضجطهج 
غنبيشعدخحه لترسخثضطام عسسبردصعبس عثظهشفذحطب سجهجهالضصس كدبسقاخفشه ثذذوممرمكد اطزحضضصبكح لثتفخحرضلل ثذقصضيالرخ 
ظتورندرذقش ركنشغهبثبف غطيقثزقمثخ طرريازرثصل حعيظوتغفطس اسثببندحغث فمثجارطحغح لثجممزكسشت نغزبخحضمدف طسشزشتهوثخ 
