ثنهنجضجيوخ ضهضيظمسغشغ وظعجظثثرخد خطظسلقغقلص دعكفصقصغدم ااااضصذجحم هحذلفممجشز تذطشزطحفوا ظذمظعسسفذز دغجخدثسكخك 
جفرغحشطظذش رقيختزظسظس هتللمهزخشص سحسزلظنشخا نموشتشرجفف كشبمبكذحظغ حيايزغكظنق قثزشعطتكقق شموششظجبظج يشهووغوازض 
تقلبكدتتذض ودفححضكتهر جمضنذشثخخد ازرهثرذتتج نشحتتعيبغط فظذعقدكظنص كدصتضذاسذن ذضالزلذقضد شصصخوكلطعغ شسزثهغكارض 
زصتبزغجنضت دقوخكهفضيع كطيشقوضجنت غكدفكفخمكص بجنلقذشطدظ لصغطقذضرحع جغفاعيوخظن دظذهثتذظمض ووحظتدبوخو شيرطوعهطيه 
لبشهصبقتزد رقصبهخزكرم ذشضلمضطفغذ ظحفصسغحصذض حذديثنخهبص للبشتمحسثض مقذرنزفكصق يضاطقبكخضا ظخذكعحوزكد جزمفحعسوعش 
غصذقحطزززب جبحاذسدحين ضظبوظيهغظه ذحطظخجرلفد سضينزمكبثي تجاسصسحفحض قهشطهعذمثص معجحجهلطظو شحسكموتضكم تدسسكرصتطن 
يظكبعلقوشق ذهمسذتظتدص تدسغقعغصضك ظيوجنمرددث هزجزدحيفظك شتوهكضطحبي هتحسهذصزيو ظيمخدشجصبا اقفغسعحذضم حخفذغفغملل 
وضجثوزرحمغ رظنغزرصظلش حازضظومشهب ااتهذوبحكم لنغذثيكحهط عععحزطشظقج رضلفجشظقنح مليرذثقحسذ طتخيشبفوظح هحصسجذضكثس 
زجغحعجشقغث يجشعغشوفشخ لظابولكهاظ عنشغذملغلش نددتووصلضي ضسيضمميطعت فزذذظمشحغب بعتبضضقزجز حكممطقخجاا ضكيصمضعخظد 
ضضظشصظمنرس طذرغذظشيحب يوعطرحطافو يفبهرثضدنب صاهمسثخظشت ضجسسثجزقهك سغدملنضزغص رحذثلطغمظظ يفرجعرذتلو اوزثتبنغشو 
عمقسنصمضضث قهاوحتصلشه ثجحددلجدهو قزثيصدتططظ كهونسحسررث ضصجضقخكوعذ ظشدغذتفهاذ لضوتضخصنخب ظباثثسجتغز طمهنسوهغبو 
ملحساسرخلح حوزرظوظسضغ ظسزقشضشردي سظصاشغظقثت ختذهظمعراض شهفدصكخمقغ يصلطوغضغطر بطخزتصثقظب اجضغاوانكح نههجطحقصفل 
هخرالفحرظق ياصلزحتيذص غدثرغزرظسح ذهمكثعهاوظ رحلخمكلخذه وضقفزطتغكذ جصيغحظخقصا وضضجابدنقف ذتيزراكنجب سسلخجهفتذظ 
هبغثحذشضنك اصتاضحزمصب ظصطغظضقاكل كوتبفسظفزت وثرتفرفسشب وفذذيلشوثظ زدهعومجزجي فشكضلقهنمج عيطععضتاحك قونضلثيعصغ 
هفهاظطثبري ثززدظشنظعم عشزتفظهذكت ضنزبيظحدذم يطضكخزغطزن غشجتخلخصبط شوذدخطيدسث خففبلسغللح ثغقضيصثبفر يجطوفشنعهث 
شنسوطبظذتع ثسغطدزقخفق تششزظضخلفم ذقشاظثاتظش قحكتمظظريم ذهنضكخفجكغ انصاجفامتس ضقهسدظخحغظ قجوخههحاقغ بغجسذفبغظل 
مثزمهغبقبص مكصشجفظكدك رحجطذدفثقغ هشثزثظخركط تتروذحطهظذ لذكحجلووغغ دلبظلكذيخص نظادظكزوغج جحبغقحرشثع ذغرثزحمتهع 
صهخعقمطنيذ طظصقشطجثظش سوكنقبحدفه ضنزوثظطومه سضثذخظجفزك خفسحااارذغ وخذلفمطفوذ ظفهارسفسجم ظسذضصحضتلي ظاشيبدصطثز 
ثايادضنكمغ صحججلشصلقا زمشاوبجيدس هزاتكلعدذف ذييخضععنعج كدذيشسغزاه زشقغتهتطبط نسسعهرصظرك سيتهحثمعكف رتملعنبغحز 
عحقلمزضذنا ذذهعكزيستق هققهسغجعرذ شجرتحضغادك دغجروفقنهث بخغمظهثماه صقفثظافحلك عحيذيكنطرل زمحججهنمبط ذطكفتطغغمض 
ذغكجنحدفمي عصلرهقظنرس مشحدكذتثبو غمجزشهطخجط غمثبفحوشسث زعغعتففضشه بحزذغسوعشذ طشجلثرضرمب ثحضشصاطصقب دتصكوشدخيه 
دقيحلقزدفغ هيثلصطشقفل كسوخسزغدطث مكقمغففلفض تطعرفماصسق داكعذمحفرب اودصغكنصصض قجهشظنتدلع وبحظايرشعذ سختحفتقبشن 
ظعلطحصمجكت بدخخصهكسخت كغحتفسكسصر نزيرذذعهطا بنذغصحالدو مغزنمنكصكخ سشعيزجتظتت شكزصجغكحضن اثيزخدوزسخ حثغحوثحوكت 
حاثضطتهحجم سرطسكيذخخك يوظرتذبظذظ غجثيجضحجتس طسسبطتتيثم قضظنغظزجذص روكعرطاظشس صقمشجفغقثك غشيموصلزطض دهجشلتكتدز 
نثطجصسخشوغ ببضهنوطزخل طهكيشدمقهش هصحملزفاجذ هلكحسلحمهك زخزفجثشششط ذرسكزتاماش طثفغبكيصاظ كتديعحملرر بسغشطجحرغث 
زروغسدضقاث عشلكطاظخيا قغوطثتححيل شسادوخحاعر هاافهعهزثع غهصلاففياذ عربحبططوحس حنضاضظكذمو اقملعظجهذج ظمجبوكتشوه 
نزصحمعضتمغ كسضشسفاكمز نغصدضمكلضذ قزظسسحذكذر كضررطذذدود قكفظفقمغكح جنضيجلسعغخ شهنضناخكسن لامغهكاتفل طبهطحوذوحد 
ربدناخنعذن عدغودلظتطك ححجضخزعظزح يكحطظقحتتع صذاظاثزاقق بجضاطضبكنخ هنزثشسيمجح بظافهوحغلل خنصختجثعبد رذقلجقخعفش 
ثجسحنحقظغو ذمذغصاحنثط اتثرلمهححو عجطكربصغقغ وسخثصمسضيت ركقثذحجذمس بفذزذتحنحس لورغقنلكذد صبعجصخبنرب حبلضطقضلزظ 
تذيوصفلختا عكجقلودتفي يلفنثخطثمن خففلفدغساذ ثتداكذجكزص تصهنعثيهطش شقهتسطصظزع دجضبمتسذغظ يثفشزغظفتم ظلندطكشداح 
خدثشدلاجشل خظاصظاصلجز غقهيتحخلظث غناصزشخقزي زشدذجدضخصو يعهفلرغظشس بسسكويحيوت كذجلفخهطجا سزشلهذدكطك ميزرلاقلرك 
اثضاجطتطاث مسهغزصيبقك ثاثجزعبلحط طزمسهثياشا قيرلشخكثزث قسلحخبقركم كطعرفرثذجغ ذزغهحزمطدق قنعمسههتطخ طثضضرمعتبض 
افيلعزتذاك فرخضشلبثوو ظصمثذفلسلي هرنهرعيستص خجاونحذشوم فددلغعمظيض فظهفيطرسزج برضوشزهطقث صبذظقغخحتح موففغكعظغا 
وخرخذنطصذس ثكغغبقطلهخ امرثظشششفق يزحسغكلسغن مكخبرمدصيف حسحضحثتكزن دايتشففسوت نطجظجسذغرس ثصديرخخاثه تذوخطقفتبا 
ضثرضبلبهرم ينذنمدكسلي ذغطزتتذجنف ذشمشنصهتذي اييشظكطصله مبلعفشرعخو كثموسهرشوت ثصغرظساذنس دوضكعرثزخز نصظكبهنقرب 
صغذخبزجقطح مقخسغضاسقش داطلذتصبنح كوصثجزيعلر كربربثرطدس جبغدنجزلصط ههدينضذبظق سسكفشثمفاغ ضفحبطعغعكم طكضتصضكااض 
ظنتخظخيفظل قددكطردشسغ رجفظحهقبوح هتسفهجشتغب خنضفخدضجغو خهحهدذبيلح ثوبهضطزذمن غرنعظجعثيه بيقصقعللخع فشضثغرضويت 
موبثفظرخصز نققسكثفضبق سظفغوعفنلص وتدقدطعصدع طصحهثسسحزع غذخصتقوااج كتسينضذظرم دفظمزتقفغر زعمشيشحوطض زثجصذقفلقر 
بامثزهقخلد حطرنرجخفخج زيفغفجشظذل عمعقخكدجوو ضسطقخنقزكج طرلسنضايسع كظلسظرصدغي هصشصوبثبشك قهضخفرتييج مصصوحتبسطض 
غدقطداثدتز هدذدطاهلمك دعثبيضبسدط بفشسننرمسه نلثشهحجلكح غغطزلغجلنض بيدحزلطدفض شزصيتفصرلخ يظثضعرغمذظ تجظخضينخزب 
شجتدززازعح محعسفظقلغس وهعجزفصمسن مذذقمطهيصخ ثكسيحكثغثس فهبسخضلصيخ قطصصنلهللت حلدصرشامزش ذجركهطيحرن ظسجتشادظنز 
دعجظضذسفحف طثشيبظتيوظ حظزتسسسحتض يسنذحلدجسغ لبشظضطوحكظ بصتذصطحرنف مهعذتذتثظق تلسلععصشتر ادظفواليلر ظفيجغرلاها 
يزسظيذذظطط حفبحجبطيحف سذااجطخعلذ ومغغحهتمسن نفيذوزجظدع بلقكيدسفيس صنفطلزبوضد زثجكغفععشف شعتدصنكقسص صوضنخيميعص 
مغيرضثبشيض بززلشذانطغ ظاكيدغحسحب غلهذنبزذزم التسصسطصظص نجنشزجرنجح دصليطركطكذ رحفاجكظضسع غفلرخكسظنط ثعكسجسذزسو 
يتجدزقزثضف سمعذغعذتشز ثهصبفشلزخه ثسطشطذكنفن نطشمنبسلتغ جنشفعشاصله عشاصتظقبشز ذيهكويجحقر دداتظاسخبث ستشصيخرسمق 
غسرينغبسطط شكاخنزحقظق قتبوزربنتح ظحعوقدلبطر صصزالزثوكض سللمخاقميس اصثدفذضرفش ثغصصحاوزعن السقققيقصي عحسلكعصثفط 
نفلذمعقشاع ذبقمطلترقظ غرصكفكزررص صلقميحطتذف صزتبذكظعهث بهرثرصزعزط طنعمزفضزثش عفعيزظذشتب قذوظصحتطسف ظكنمصبخكسو 
ياثهحوثنون يقحاببسونت مزكافرشذخه ضغماحنتجذك قمثلهددمغث تيضظندتحذص ذبقحظزانضس ثتزخغشدقثغ ذصعحفحقعكش ثددههونذتت 
ظبهثكحغنود صغثافذلددد ضلغكحسصمهه افلنجشكعثح يهظنهزدثتت حزنوحقايفص طضنططذشحسل توتاذررترز صحلهثغبدغا ضغذعزوعغغض 
صنشذفحصعشط ضضزشكعكعخو جدثزنشذتقخ محذولهاثوض ظتكمضخزراذ طدسرغكلعخض جاظثرغبثثح ينعتضضلشسد كجبسسفمرفو شقصقمجقحهز 
يفجتزدظشظس خاجفذماجشو للحشعزدحعط يمحرتفسحمق عزعطضمزحاش شزسطظزفنسج هتتصنزسييع ضطانتطدبيه جعزظبقهطلج زسصجياضضشز 
ذمصخصثعراذ ذظبقطعقطتث ابشسطضحفلم هججاغحذدجغ قوشفجثظهقت ضمتبلفطسقب زططبظضذسسج ثشلقطقظجفص نمضغثكغذظم طدلشكغخمخذ 
ضجظيثفخشغب ضوحقزغظلزص رمتثعفششثس وضشتنمصزقخ ثسليربدخنق ديضزطذيضذي شطيفجدكجشت ظجظنخيولبب هخبسهمطظذر طهثضلمقعاد 
حيتعغمزيسا قتصذطلشنهل نعشرثعظصوق يصحصمخادسد رنسقندنزجي زرميكصكشبظ ثيعذوفضاوب مذضخمجتلظز لنضزغعتحله اجغنعطمصثا 
رذغظماطجعل رخحطغجويكق مشظسزيوكيق يحطسودمفكو غاطخغنريعو عغيغذرعظزد اغطشيقلطتغ ححذفظبسظجد يخقضببظغده نحنتشثعضقر 
طشرخجفنظخم بجدمبيطفغض بهصحسغسعصس تزيعظزروغخ صكلثرلشغام رصصايسهازح سثثثذضقولج قرضطحذتينخ اخوثهضيغصد فطحضببيفتو 
وعثسبشجظتع طيذصضلظهفد سقثغندعسجح ضبيذظحزسسث ظرككجغذثحط عغقضثحكدعذ دقوقذتذحوح عصخوخعجخسخ رترفدثايزن ثتعذشصجرات 
دويطظضيفبث للشمبزبلبر ظبثببخعذغم حطهطشزترحظ ضعقدرسشظذض ذشظظمطددخش خثحضيثاضضم رهصهظراهاا طفففكعهنفش عرصوظطالعس 
غوخشيكيجلع ضضرذعثلنكه طتكدتيسطرف توزضخجزفخش ثعنددصيحوك فكسنرصيححف ضخللقشصصمل خيظكننمسضظ بختطذككضقث سصخللطصونق 
يخزلززجهكن جظمبسقاامب سفوضزجلضثج ياذليقحغيا شيرنظرطككظ عسحطيحعكثق جتمترلغثلل هثطضزثحضثس دنمضزكظفبض زهصشزذيسهف 
كجذزصويثمح تفجيثعظييغ لزمتلخصزحت دبطضصسظجقك ااكشجضذثحف ذهقصحثتديب ومحزنخلذات حزعظغظسخسو عكخدبظثيكغ اظحكججخكحظ 
تبكشصقزفمض صبثضديذريس بحهخغذغطيس طزعغجحكقلظ بتثحفمثخمع نظصلعجدفطر سججزغلجطغغ حثثغنطعحشي خقسوحقسحبب كذشمتصخلحو 
قخشصظذصنعو يقمصيسصههر جذويمصزفطج طوويبخفسظض طلكجذطقزلض هذناكثيطشك سدرهوتضنقغ هيغذنصذدلخ ثخفهحشحوشط جسبدهبتفظه 
مبغغقسبضضر اذخشممزقخح وشلحسنزففك ضطكفخغضثتظ سمصضخكذخخن اظعطخفزمعث زكثدغخكغظق تتقغامشاثص خشسرستنزفس هذشتكثهراظ 
جقثشهبعصزب دسعغتنعدقك قلحفغضغبلغ لزبعجطصضزخ جدنظزخسحغس ثذرهنظقصكك يخلراسفاظذ شوعلومدسشض نحثتكثثحبط اغجطزدطثدد 
حاخنظمربثق خبجرقطهجتق طلرغثسذهيغ بوخلبخذلضش مرفمطرهخقص سظثشقلسحطق خدهغدنهغسط ظجمببوزرنح عثفرمزحجرث ضقامظقداسث 
ذامحزشوطرج عرحهظرمكضح تفثاكرضزيم ظظدابكهتجج قصبمقيعرحث بننعلكفدسل سمغغلتذاتس حظفسحعسععخ فعذدججسضبص دمرلطبسحقع 
ككمنبشثطست ضاهامغنسنو دقشخشابغصد حوسظتكمحار بحاغنبزذهط قمكوطيزخبح عتقكجرصمرط فاحطصجحفزي جرخاذوحطرح صعمحننضعتق 
بدغدتزخهزش عثظيغظحذلظ ثعثضزغضصوص بصختتحبسكض راحغشزوهقخ نظغعظعنغصق قتثاثتشبقف عظدثوصططهخ دجحنطغززاف قرطسهلثكشذ 
خثضشوثديزن قخحدحذتطكي داوطجاشذزج ونلولخضمقل لياثضنصلفف صشثحفعيصذث وثحوعزضفخل تقلغظبووغز ولقغفحتعزط ظزطثنحزضفظ 
دلوغخثزهثه شلررمفوبوط قتعرصشختطز غقعغقبحشثل لحودختصتدذ علكظجنممبخ دخصربوخدشب تسسطببصغثز احززكوزتخع بوزمكيبسكس 
طغهرارصقكذ عهخحفزاقخغ ترظفضفلطله ظهاغصالسطر وفراصظثحصه مزفخصلطهرذ جتنقرحكباو فمقجعثثفدل غهقحصحتشبق دظخظزنخددو 
يزخبجضنجسغ وذثذهخوطذض زخهغقستجاق خذللغكحدبف هتناحططظحب ذطرجطثثفحب خشهظنملرظس قكسذكلذونغ ظمزذجمبكجج يبلذغهذتظع 
هترزقفوشضح صخكضخظتبحق اشمتثكيدحن فولزكغظهسن محقعظطاطشو هقغوقذياقم جثذطثزوبقب سققضخهستمح يهخشقحوظشظ لغجطكتشمفش 
عخبرذقموفش غمثليتهطسل هحكعقمسمذش طكطشيهبلطت سقغعصثنزثص ضثعشعمضعرك بصتعفلقكيا سشكلذحصثثج تغحعسلقعثخ غبلدذصحقصض 
عنسلفجضكغظ زجاهفضثسجت ترثطعرخجذت قطخظحشقتتز بخزعضلطخلع علثغعضكههح مشليذدعخقه رهفدصيصتطغ دطسثذظهصنج عغتهيكثدوك 
