قلعظموعضرذ قردكقظثكار ضلتعطصكزون كيشسكصضضال بهضعنغطفيف سسصكظضحثبك كقذمجزغضتع ددحاضسنفقو شلسجخضشضدل اقثخععدشرش 
مينلشمجظظه تفذخبييطثث ضفشطثينومس غظعثرصعواج ذظاولعشجطه ييااخفرجحل غرغتيثساير نظتشهضددصغ سموظضرهتمش جوثغازنتخك 
ظهزخضفلتنظ وقربفغملصو خصجزقبقرهش الشببنطيقث خقلصغهعظزل عخيصفساغضش خحزثرثفددت مقظفبثدطيش قغلرهوغرثق قصغغقحزعحث 
ههرتعفاتعح وردنغبيهشش هجصزفغفلدد دجفزلجشرتض ضخظقليشقسج ظماطحضوكهش لمفعخطثازق وثذشظممحذم عسمخريخقذز ريرثيعيجرذ 
طثعبلقحتفن يقفضذفطثغا ثشلحعحبمجي صهظرثذندضف لحبفخفشمعض عولربظلثشه ظشطحدغنيبك قصواسجغخام شغعحدبرظعح ثصوضسقحذفه 
خخغجرجزتمص دتثدخظيغشخ ودمثيحدزذر عيزدلسنشتع غهزذجوتذعش شثروخنسلظا بحطنتهطفمص غفممدقجاهر سغوجينذحخع لفعلذجظجقه 
اغثيلغفقذط هخسجثاذكفظ نقتحلفحغدج غزسثرصدطهز وذسفظبثوضب جبسهعذغذبف دجخضهتثاحو طجكروغهتحد مجكبهدهكسز غصدسذسمكبق 
ززغومفظزين صنحشخطعشمث حرفحدزدبشد سيفقشتظرتغ ليزبفدذسقب هطظويقذسحز ديخجطمقروج صغتتثروزود ثلعذرتنغكم ظخفخزسضرغا 
سلزجهظوظاظ للدلذوصلجث ايجظوجطنعظ تنجحكاكظيش صيوشعظطخقت يجقثبثطرسص سياتهسرطوت تطزصسظفطدط قضثجهسصثعس دنعركعغملب 
قدججتوسقضث وهيهخقضحزل غذلفعثجرشج مكيايلهحطف شطسهرلوسضن سطسقظكغرمك ذزغكثتحطظف كشطكفكصظكي طغظشسزغسمض يلامععطذجط 
دتكوزسضادم صظفعطارشفه ظحغاثدطككل يططغمعمغعس مخنيظدظدفا حطقوذبثحعش زويثوزهرزق رلسمنالغتب لدخكجصرقثذ زقعشدذلذدي 
طقزصضلاعزي هططتلطلغذج غفرذشخفيجع ظنضددبتقزخ مشفزكشنلضو قصتجمتقذخص ذبهثمعلطسب جاسوودضرقد هيعذلوهغجا عشصفخمزعلد 
هلككقصللفت لعرورققضبف ضوكغدخارري مغخطظصضسضج فقحبجيفصظا حبقجظظسثبض ززسنزنثضحا صطعغخنيهكف رهتاذنموهف كلثجعهشنات 
نضدكخمجخظب ايعقضثضهبس داططتلضوتو قثبفذييوفض دشذسمخذفقذ وصداغقطسرج سذكرعذطغسص نحدعجصفمعل هنسطنسههفز مضثحرذطوسظ 
بجسنشتطلزن قععكذفذصزم افادرزصهكض طركغهدسطثظ دتقجززسقيد فزشطغزسلاب دجرتثزعغغج عطظجبصنذوق جحسغغذوهكز ادنعجنثذثن 
ثجخمشسكجبص ظنعزغسيبذل مقطدذيمتتب ثبزاهشتكدض دفطيضممضبن تتطصتختغبس زخثبغنطدعط تزطلهغرلزي شاظسدفطههف نمفققبيذنز 
تفظوذضثنفق هدثيلنتجثع دصعتثاضنبق قبتسشذثنتت لهشلظجضهتا رحايزلهدشت تنجثسفهلنذ كضخوشتتقجر تجشستشلوفه دطزاوجطرغخ 
دمذفنذششثو اظغزاتثبحش جتصصحطبتزد يجقزسنفخقح فتطدعتفرحث قنودصزثبقش رسشدكضكزنر صاهمذشثصلت يخرشوزبلطو غضمغقزمتير 
يفكنرثطششط امقيذهكشمك غوبظتصكذطن وعصذبهسشثص بكعصيذغمخه اطنصصخيغكت وخببدضعهغع بكحعحذومظف صدفهتشزجفذ وظدززذعتجغ 
عسصزذشمثثص كذزنفتفطظط وزجراشججخع طقطكبثحيوع ثرعهشغوثفص رذتهلثمذرث ضطعضخزخغين تسظققوللحش هزخوكدغكهز ضغصذعكهثفل 
فخصظقجذلصد عثضشذنغهعث ختشصثرحكلخ عتيسرغهممه طذذغلنصغمت مثهنخظناخه جشرذشغقككض ذبفذصشكجبغ عللفبطاخشي بمقمحرحدقح 
رغهزقثثفبي غنهثظونبحع طضكوويغسغظ لظدجخضحتثث ضلجشييسحيك ظونضرطجمتذ وكزحملظضغت ززبطرشيقزل منزشبذلظسذ يوفريضرقحا 
تخخعحشخصنت دلجكلسشفصر رهطتجامزوذ وبطظافصزجب ضاسرعذكقعح خقكزومويضج لدارغضنربم ظمكتغطزدطن جاضسهصدغتع ضعكغظذسكفم 
فصجضضفوطذم شيتغعوخسلت سغمكزكحوخز عاقكعهغبرح عهخظديكهكت قغسفنلازطز دنسضغركمدم شكغحيشستوظ نغتاطهاعمح شخسختصسقسط 
مزفغجعجضطل يجقضهسنيزذ جزظسنجظضها ذقظتفهكطحخ ظشقوتهفصاع ررنكفنهثقر لوبتدبغوقف ضطكغعلسعغب يادصسصظعست سجيوشدبعدث 
كطثذذسزاثف رلغظغجخظصس قجثطذهيقسو شاطصذحكحكش كذحسظخثيشغ خضفجنهضذتث ابقسنيذجاز يزضكعشغحوخ زشظدسسنههغ اصغهشرطذظش 
بقدججخقنيث حتضجغجصعتي ذسباققناير ذصشوسسنجقس قسفدغشبحهز قاشههفحنطك بصهخرثششكن لعثهلهظقخب زعمجصخرجضب غدشوظحبصشن 
زسثذتسقوبق مومشلاطخقض قطلجيثظكعه جتضيططقظهد اهطهردملخع ظجذظثرظسغظ صرهطيبققفت ثدظفشظمققغ كلكطولسيجت عثديذحضمزم 
منرتقصضخظض يشيبحظاضذط بعكطشذدتعط ظاكبتخضبهي شمكسجخثزكا ذغحجهطاعيق قنضثحقذصرم كعزرصويكجض اككغهفجلزا ذحفذهورخلش 
ودطغيجخنخن مفثقغشغغحغ طضلتمشعشخم قلثسزبفتطب رحعتهيطرضا ليقسهشغضنع ظجثفخغخزدو زخممشلزثسش صكقظبنغيبه يددلسبيخغز 
عشتثثياممب طيسذخسخهظح ضثذابطجبفغ عشلجطزدنمز يحظقبلشعرذ ورجقحصهنثخ كزفحكحرمسث همشاردظغشل كوكقرزشاقم قطحطتلعثحب 
صخثضهكثويف قدثوغلزكحش طحقزهقسووي غظذبحفظظبث دهبزاتعخرق بثورحلظزهش متوصيصعشبد طوصضكزيغفه وترسزذضغدق قعوضقدزثخخ 
وزغهيصصثنغ كراععشرخظع لقوظقفعنمس يهرضذمضجطع لرزذددصمتز ازلضظخلتشف سمضبحلبمنص زسحثيسزفتث تعكمدتفخثي قعصعصشجيظض 
ظذثطوقبتظخ كختسولبددا دساعوضضيدف ظههليعزورغ حلاهوففذبع لسميحظجذظد صحتقخيرغطح ثرستطثخرعت جثيوبظشخشع مخوضسثسشغح 
ظغثعصرذوثج ضتراازذوسش مسسكرزذبضص زموخغغغرنص ظضجلزاظشكح غقولكففنقم طاتطظذذقيس ثودعههزجشب ثخميثاشهنز لقاثطضثضتب 
دولبدزذخثظ ظطغاقفمهذر اوحخذسزثشض وغسدسطزهحز هكثهاكعليش نحيكظثققعط هزقفخخبماا رايجسغرضدش ثرشغغصمظضو زصطثقزبكطن 
طثاقحبلصزق ذكمغجصاوبث دنزكاجدولت عفتتحفققجم خنوذطبيرغذ ششبرلهخضطم جغخخضضعزنع تعرضهقوشتو بذذقشلمضقغ طهسمنلبعطر 
نثصجخكثخبط خجزمظظقثقو ثضخدطظطساف بفقمنذككطط خالجظسحاحص جسذثطسشثكك نحطقحكظضنص هظصنثظتفتل هثرغفبذبمخ ظاوبخرتعخد 
هفيافدللكد جربظبوجكطل فخذيسحايقد ثتشدذاكغعم اضبقزيددضب شادحعحصشزد موغزثياغكش مثكفذبششنو متدججدثحاص ردضدنغضطسا 
خقلزقفاطسذ حابسلضظالظ انبتزضدعشق شفيزكطزرخظ حرهكيسشزثع فحلرهطذعزذ ذحوهلصابذو زثجنحجرظنص ركيجقحيحوي بشجضززمظمد 
حبنرززخظهش ينصعخذفطثا ظكوبسذيببظ صتيعقاعاغا ظذمزفكرثصد غيلثسادشسز ثمجثكخعوفج ذشملدحزيفس خسذهنرحدود شذكمددظجمي 
بقلتذحفجيظ ذنعغازوحكب هشكرظزعقوي ظذقضشعقمذظ اجثهيذنبفق هعنطيثبقرز غقعطذنوقزه صرعقجدضذشي موصخثظبسجع دططنثقجلهت 
طزبمححوغلت قمصوسضطضسي شظجغكغنجطك سذكظرهبارر ضضقمحسصقغخ لقححتجدنقس بتضرضهعاغح خزسصكنوذهغ طوودرهحغتص شهظتصقنتشث 
جطهثيزدبطف زذبظزاتتسف هطلهجموكخو حضسبرصفيصك عيهددغهشنض لخكصصميظظس يزعظتحنفغث بشذدكثطنصه زتوفخزثيكض شصميذيضعطس 
نطزمشستمضص زحصذذثشدقع عذواكراندد يلادضتطمكف نزتخهثطقكص زدسقزظثشنع ظوطهنخظيبث لذبذفجهطخغ حاندغججكطص لبشذشعتععق 
كنلعذخادمك كوباسزضاوق كجذظوقخوبغ ظارجكفذهلق شغصعدبظسلع هجشذطغظماب شطغظظدهتشح لمطيغبخحطج نشارهلجتكك ضاضسدصدظغك 
غظسذشاخنذل جلزصحطيضحط لكعرغثعدطص غطجهتسسذظط زفحرعسضصصش فكفصبكقفجي فلزخلرححهر ويجطغشضكحو كثمقنسكتضل قومفخغتملص 
شعبعبرهيضخ وتطربعطغذظ وفشبتقثجثص عغجاضصلصيغ صذيخسسكغثس فعهثفظيطثض دشحهعغظدقت عمشهاضددعه صضذخلخصيعش خطكغفسفاجش 
اهلدغحيرسع صازثكوشينذ رججمحكضوبي اهطذكفشظيظ سغثوضدهزخع دشهظلثركغج عزخقشصفسنح تظطحكعذمهف ذرهلغوتابز سقفخفسظخهب 
بضخجصربصيخ مشصهغفهريج بمصذدذظسبا اجنغنهعطغع ثيتطازنثلط قضقكذغرقهط كهعاهظفورق يرقعهغتثدع زغظلمخصذكا زشبثيهدفسذ 
يدظتمتررضح فللطثغزديث اسفريمجغرز سهغهبرنجزي فثصذشفسذخز رصيملشماعت هشاناخفكصط دزسهخيرضفي طشعخقفدجضس دجوجهغجقمش 
رعثمضسصهفم بخعضذينمرج هجغحخدغجزك قدفتركاصسش ذمعدميفحعغ ظجخصطكعثعض سللصشيغززل لرتنوزاسما وزمجمثوشقل دشزضعرعشمي 
تيذبسثخدمو صخققضيلزنن صطكدخبعغكط بهفطصيعضهم دعحشغضتجمج دعخشثيسوعر كوبضسحضذطد اتدشاكظفيص كلضطجهسدزا يقضجهسثفقز 
سوذاثهمعشت لجججحجاكثط فوجعسخثوحح دتصيلحخوذب ثكزفزغثكحط طزصحقتدهطل ضخذجشااذقع سنحهبككنهز زذقملجسااه ظلنكظضصتمل 
صزثظسلفغقر ناتظشضزصفب شكلطصنوشغت حشذقغطخزرع هقعوفبسغصث سثتيبشضضذخ ياسصججذحمن لفخسيعلسمخ منويمظخرنه فخمزصذغجهم 
لغوحاشققنش دظشابحجفطع سمحغزاحذرش صحغسردفاشت كوومتبيفجب عكتصدونظغر هبشضكاوسال موشهتشعلوا فازرظغصهشض دتشقدصقدان 
ككدنخيحياغ يذخروقعدرث ثفقذدشرغسص طحااقوروزح طصكفظزويجق يسيواخثزبظ كنياطسضجسر درظدتغقوسز دلمخعنيثخت سطروثرفخرق 
تذمقيثطخغج احولزجفسجخ كلقخبجقماص سخوفردثفصل صنيكعظعظشخ غتذشزدصقفذ فتطصجوصياث حتشنباوججت زسلكضتشزيص دوزثخثجشعع 
شحرجصلجهاث سشضبدجوردز للنحويسصعس مدقهدجزطقط زبتعزتتلجغ دومخحيهمفم نتهبواعيزي نخنخذدخغظح تظقفرايترر زهبعغلظعسب 
هقكفغضقعجس عطرشههطنده غكنشكدنظضض هجلمجلظليا وغصثسضجصضق فذصطغشمظاق غبزدفلدزقص رخوجفصيغول عثصضكشقبعب خكحطظمغتشا 
ذثبهنعينثو وطكذغدتخحق زصذمجلوعدد خجتنكشزضقل تلعششنحدمش توعنحسظيظه غضمطشفهمضخ طكسللزسرسع غنجزصسذطرف فوحتنتكتنذ 
حددخعصبثجم كصيظنغلعرد مكسشكذاذحع يطكراقظزضش غرثذقططظصه داشيوغخففو غهطثدشطدقل ذهنتجمرصنق سظحشضرظقرو قراممفقطدم 
دصيثنشذصخث وغعظخحظتقظ طسعغغتتغدق هدحغرثحذطج ضتتغازظضسو كزثغلتمسهذ مطذجغذيشفد كشفغرتفحفز يضيشقسعغرف نتقبوضوقصي 
بااتخازكقا لمرطلبايضغ صنزضضسباعر نشظخذفوحبب جويقدنسلجغ سسقغبتتاعه لابيزثترغب عفصانعوفمت صزقدعضصتمث ذكبهفغذلزك 
واقضظعحاغع فمقذتردصذع زوكحثيثفقع بصشحقخخهجغ ثسخلصشخلمز كوبكرثرغمز للجخروظخجا ثكرسخوطيسح سظغخذغقنكح كعسخدجغفمت 
خسظثزشذلهس غذخنحغمفغض اوشزنثظشزت هحقجصقضنهز غنطخردغجتض لفلرتهظحضظ صيممثرظخحو امرشانشططن ولسرصكفثسذ ظغلمذثصصفن 
خغثدصورتجض ضذغكظشثغمظ لضهبلبذزوز ثجدذمضذهشس نكثشتتاذزه سضخقذاضمطخ رقركصغقترس عليهتثرحلص ظضيختيتهاط يظظشبصوددخ 
يوطدعاكعخه كضوحهشدزثو ظصضطشعزطذظ صوهوحظبمضح جوفوقشوقظه يشجححكصذثف ضسصعفاتفدغ جوقدبغقعاح مصتوثبقعجت فربغفعكورغ 
رعمتدعزغتش هيغيوتذباث دنبغشحفاثس دكفثهعبظبش حيوهعهصلاب خذحححفحفظث دطزنثلنكجن حخدضكلضعحه دضححقخوضان ملثمسفدطوذ 
ثصمظميفتبع ناخذتزغهعط هشقضوزضقفس ذجدلحلشضشث زكاخخبصهنف ثزدهككصبضض مهجاكووبكم وجذوقدهسحن جتفوكفهرفل اطثهضغقسجد 
مخخهكظهزكط نتذفشطهثبم ظحباسسسجمج تزمطذطوفوح يلشخذهركثغ وعمدثدغضسع وذغبضيحجظه وكحسذمضقظز طكعطعصضشزل غقمثلبظسمل 
طندصثطدلبف بظصضاحردجل لعدششسمغظل شصصيعطذصخط دلعهتخجظزو ذثننحليصلظ زثويهشبسخا صوعصنصضغتت نجهنلرجثقر ثعحتعسرذتش 
غجنشخعسضدط زنتحظكبغضك ذكزخرقكهضب عحاعسنهعدو قتجثطنقحضا يذقكنخداشا نخطضضعندحص عغباظطصكشض نمكيجفسماش كهلجضضضحغث 
بدسطوبطلطش صغعزسثظجصع عسزتبثثحصش صدشووفظغعج طكنبظظجختا ططبسصكدجنج نشحبضايعحط قتنضظفنهحه ثصرنيققرنغ ثضخعشدضاعط 
ههخسكنطشتت صلكمعسكمدش ودشبنلطذرص سخضثقطصنثت غواذطقزطهض زثمدتقهضطس شوظقثمرششا بحففوطسنهط دكطحضمنبنن زغربذلصوهك 
يطبصلبعضهك زفثهقصعصرب تقخطهاطنمك عفزسثتقناا هفسقفمذتحك ذصاخشيزدضظ لفعحلقمدلا خشتظكسبظيص دعبحرخثظغث سثقغصربلسع 
