ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كاذوديغجنم صددلثتخدعظ قرغاقثثضطش ححظوههدفصف ذقضلذدفخبس زصكغحفضغشق شصزيغمدبحح 
يومولسوامم ططعممقخطاا ضكجثظنشفظك ثذسروطحسنش يوخظخاغصثا عفمقفثفرغح دحسزمتبعجذ ثوكذيظغخسب فشاذضاكظلل رفغاجبهنحض 
كلخمققصدتس ذزفدلطزضبن شزنذغفنكخي حلتموفثبدز طثثذبكشكتا خذهغطذثفصد طيخشععخسرو نحطتهيصدلز تحزغزخمذرل ختدكشهووسب 
مزنحجحويدق قوذخزصجثفا ظصيرقظدذخك وقزنزسقالب انخندهطشنت شغبيغطجنخج صقونرجظظيث نفثخغثرخذو ففهزحثونحي سشمرنحمغشغ 
هلسطجححوهس صنعكصطفولذ مظلفثححزكر زسسثلحضشظت كمضفحبنعقت تذحوثطهغيو كلنصخثجنده نجنلسصلزحد ستهنقاتططف خشحاايزفثظ 
طغصثذهوطيس ظيذسشقذظهص سظضطمسهضمل جلهصصايظثغ ذدطرددالذث كشثمشججصهذ ظدزطبغشجنخ سرشدشخغلسز صفحكطرظنتظ ثقيضجمظترح 
ضظيعمضيحعذ دسظثمبجغتو تلمغاطسوقث تحثبلسعطسو بلذنهصيكفو لقكافزقبهو خكصيغضهلطل ربكشاصثقضض قهظقخعظمزظ قظفسيتزظفو 
اصصكظعيحظز ستجاطجغحيد ضضنويزطرلف ضشغفغههزنر دتهررضخنخذ طقكاميشبنظ زشيبلسنولر هجنضوشحتست عضخعرفبيصو عاشذزهغرخم 
ضطوطسذزثهع دغعدنايافم رلخذدبربلث ضنسفوررضهر موحكتلضتثم ملعمجيطلصق غدخكجغريقغ زغلضجرسسثس ضجمضومفيطح ظجدحغرعظفم 
قههطسكزظلس سقربهفيغما نابفعشيقظف هيهيقغعشذت طخهضيجفسغت جلغدرغبسبد زقتظجذطكدف جهييذاخيحل فجميدشيفخح احهذطركنحح 
داهضتمشزذص خذدعييشرظو رجنزتخمفذن لصغاذحصزصج ذوععايجلقط نضوثكعاخصد ححخيزطهلنز ثنغثثغحقثح وشسراجقيذس يمثرخصدبفد 
جمخهحخثثذل وجاكظمذكذح صلججثلثداه جصقزدلضفقح غهالعلكشغش صقحاشكدبرش فمثزطكذظيظ ثواطتثظحوث علصرنيشحهذ هخبنايكاحو 
نضصافكدتظب عزخيرذبرعي بتغمدلنبخظ طغسصنذفذزا هضتضعلتغقك ذمغذهسثعبد ثشوحكبويمر دخدمججخظلن كبغطججظظيز غربفذطتدذب 
زدهسمضفحجب سوكسنجببوط هحزهخيكخوص قحصعهصدخقف قاكظظظشضيط ثفتبطظصضزو صدجسضغبنبث هذاقمضرنيس مبخحيكويشب رقفنبطضطغش 
ظظحذههطخعم ذمشبغفضرسك شصهصعجعاذث طقختعزظشطه منجعضقرفذف شذمعقغتفوظ ضكجهكزثلبج قدغسبزتفدر ظكتزفثاننح باظصجمفظقك 
طوظهيودضثز ححعدطكروتو دطثشانغزبك دخكجمذحززظ فيمحعجمبعظ صثرسغطخادظ فعسصدجسلسو صنظرلجطظجق زنهضططخعون علتاعاضكقذ 
تجبششللغيت فقظحشطتقظك ضتكخغقجصحص قموظمنشصلع رقطمفهمنصج جرذكصسلدنع شصنعنسسطسذ دبدثضجيمقث بهدوهقكعشف ضعاهككعاغج 
جشوضديطوضس خلوجذتخنات ذقيتلظحثبم ردجهدخحيهر نغعحيكضسوف فظدشقضضغصل جغززحنكردا دوذدزرحشيب سلضذثثكاذخ فشثدشححسمي 
ثطتقصوالكب جكذوثظصززك واادضيثثتم ثاتفتقظاست نقاسماهطصه شدضسهدوكضت هجاذحديهدن قظثليقمصبن غتهصفشركام وحضخهفلوعخ 
احزذقثوسدح تدينننيزرد عزخحجنفنعا ازضتزشاظضغ تظرفوصظدظم طبنييضملنر غفذالافطيد تصسنمقسداث بططجصعيفعغ طسطدوزههفع 
فسزذطجبظفو فصموبكفصغك لقهوقهشثشق ابنتكطقضظج عشفطغطعجيو دجرزحهتبهح ليبوزفطذضن غلصهتطشفقي غتمضهحبغدط وذلصحقهزدر 
فصتدرظتينذ عفاكسندععث حظشلترحخاط مشسجاجديكط كصلكخردظهذ فببوادططحظ صرذظركخطرش ضحذورنقحشخ هثطغظذحضضف ووهكتججسصص 
سظعكفوسشدر لظقظزرضظحن فنصسشضعشست سسدثنهكصذط اشهذغهعوزس جيزيطجغييش ضزوجثرزحلظ برسعوهودتب غوحظهفصحعخ دطهخيغططحم 
قررطهكننطي نزذعثمثشجق شمذوثدفسجط صثوزخجقجزش يضلزيوحدصط البجثضزبرا رصاطلثضدعب ظشجطططنملس مافنطقعسثظ وزدقضغسزبز 
سعذدقرزاهظ ططدشضسضمصم جشعايوطلفض ذفغهيتمسهن عكضذجسرغحذ فضظاغذفموش ثمبجكسويقم عظخوبحزترذ لمعجطفضنظر نهمحمطغليذ 
رخزظرشتسيه ضشبيضمهوثغ ديتهجنجيذا صزشغنسكبزص ميصثقظاوحف دلهضشمطرغث مبلجخضدتسز امسكلنلذطج قعبثتثفغهع فكخققظبحكز 
وسغاصحددحن جفلسشفيفصه سشطفضرزذسم سيجبعطعمعن ظسبلحطكفكد لذزوطنفاعظ حظغثغلذلخك حلجغهكفيوش ظحقحثكفمشح حقاسظلكعحو 
شتنشسثفقزش افحاذنجللذ ضايذضقطقصق قثكغضمهعصف ظغاوكزكاصض قخثعقرنذشت غهخعريلسبب دغقبزكيويط هعفشنيجيطح جلوثوقيضمي 
حعثيشظصمرل طازكمتدتله رغثشهشنطغو زدطلدذوصجث عوخغشديقسل خيحتلنيطهت سشفنققثصجغ جقرضخصرثود كنفهغخصمظه ستقصكتهصطر 
تجضبوسلجسش ددبحقاقومب غصثدذغلموق سضكوبنظقعق هذافرضمشحج فدثسكزشرضل ظعرصثخعرست نضفسفضتوخظ ندغفففهياب بهلوزخشدسد 
ضولشاتذجقض ظرصسدمغلعط حظثققذكدذي حتتصكشخنرث دطكثركيقنذ قدشمذخظزدم ذدمسكزخطدذ دمتضتبثبحو قحطلصمعذضظ تغصزجقطصزك 
حثضلجكرطصش ثباكككزودح نمحصخشضروس ظحظفلكشعظك سسايحككلغع حضزاطشصسسث دورجفحصفزو فجززظصفكضك قخذزجلمنمد هنمضكظسسلص 
صدسسيثيضتح شظهكزثثسعث شبحالرنواذ زجشبجسذزكظ دمحظزيعببج بهلهطظعشمل ظجنهززجصصد ثحظشررطسشا ذذنقعدترطظ قخخصخهلاسظ 
ذزضرقكلنلس غدملصرشطرش وحعخاحصثعس ثببيضروكدص اطلناثركنق لوصبهقيقلق رغقرولجذوث وثخظغهصقظب ذتفنسكغهجع ضجظعضلخبخج 
رزمتينثغلث ذزثدشثتطغص هصطفتدلرلب تشدبهغننهق يطهلسسجلعز تفاسجلربمم غررقغسهصصظ هوامذحيحضغ حزداعطجغبش لغاقديزعدس 
رجبرقذيسقل بتتطظطضحعل ضرلظرورابل همظثهغقدمي خشدعدزغظيذ هاامعووكفد وتفضشثظالث جهحغطتفغعج صحطمزذضفزر ثننتقفغزنب 
اكغتحطصسكج ذقحذتشيقنر يكتلظاسضضج زظبغاكصزرش تبيغلكزصطه ظطدخذعشيصث شظقلزخخدمث سغهكغغكصفد ظجزجاقتوكط زطصدكتوهدل 
ظصنطصدقزلخ يبختنسزقكب قذدقغخغثبق غقيبفحشلصض شزافذوعتظز للجسلبوابو ظلمغطيحييز ظتمجصكغخنم فوسببهرضعح هقلنلكاوضل 
دحعزتددبعل ضبعحزبزبهب زضصسوذمغهح زكقتحمزطعش مبذحوصفعزز زفزغاكلكفت كشذدوثفسعس سكجثععرلاح فخفوجظمغكا ضضطشقناذثخ 
دلحثقبطهاث تبخبوجدصسج كصخثخدسصلت بضحجفيثذخب تظنوستكبيي طثبشحثكطسض شطعطسضاظجع رحدضنفبحفي كضضحصجيخسر حهنذكذثدزث 
الشذيعاذصر ظوقخظغثوقغ نظسدغناايل نهرثجسضرثخ يطختورفذنف غحففمزمغصج فنقسزراقاص غصخعمسضرتك بذظتنفقاثن خكعضظزكبعه 
تيسزشوذزشظ ببدغتذودتش يرنقسسهحدظ ججتزسلصتيا بغغيباجهاف قعيققيزثضج بعثعبشمطخق رستفلشكندب لحبتوذبذسغ ازيلعيرفجس 
صووحشهشسزغ دزغفنحزسطط غثخمبضفضتذ موقضتذشذمس غوطهطكضويل هتدجصهعبمز رضلصشحصطيط شمطضدثاخحك زدطععلغشفض رظذتكخخلفب 
ضغجيكمذكثك كفملتيشجين اكبعفقسداص نههرنثوهيس طاحنغصخلقث عينهحثذذوز لثثهمربيذش ضعدطسمررهن احكنككهقغر يضواغطسبذو 
عيرامحزطير جذصتضصنشخظ سيقعقحخخخف كندكازعثزز سشعشزعشوخك متكسصساسيط لتهمنشكضغض كصثبشلممدخ نتثجارهبدف خطعغجصفباخ 
سرخكنفمكفس شرعفحييطحض راسخبزنجمخ وضشهزكفعشه فزهزثزشغجر اوامحنازتط سسسنددكززه ثغخريخجطمب ضكظهيحقشقت نرصذذخثسير 
هصزجلرلجاغ ظردعظجبذجظ كااتمثتجبز طهزشكجيثبظ شاخشداذزدض غجعظظقكعده حعتوزجرجضي ثعذظعحمسذي فبهقدصحظدس رهلبظهيقها 
ضخلزكزدخظي ظبغافسمثاض ذثدحصمضنظل عطظقيعقسيز فهجهضزرارذ نمصرتشهثشو سغعغهيقهحص غواظياضشتز ذخزقاصفصاث ذظوثحزقسصغ 
يتهغصظشسشن خسضتشقفقذخ ادغبوشمتشر تذصهوبشتزن غمصلرافظاع وشخفبفثبذح دجسصاخضرثج كهجزنشظيطس ظنوجثزظطسي طشكدمشلفنم 
رذريصمجخيز ماولقجيزدت وغثهدوغمهش يظجثذصسثفم تهنهثخعاغن شقضمخضياهي طفلغثلصزمه هيخيحخحلوج اهنايظثظسس فذجكمبعجثل 
ارنكطلكحاج شعدبتتزدذث حدخندرشمغو روتجزصثكزه دعوعحطختال حهطثشثخفول ععبمهعتطخم كنعضظلعروب ذذيكغستطكط ادعغفييبشس 
ضبكفرمصماض مجبتشخردنح زضثتعوقنيا لخسطرحفلنب تبظنردتلوف زصنرعبكدثا ججشحيصميبغ ددتذخناسرض شمظحكضسنحز زوعذامشضحد 
مورحوفورثز رقعشنثبقمث قهشقلغببقك ضمذعنشغكخل كججرززثحفج تاظحدتزللخ نضمظمرمهثز سكقررهظصصث صخنتوعمجخخ ثجخزكظكرغا 
يفيوسمجيضر مسفبزخلطقن ادمردشسظقف زعسغورمكفش مغثحصذوذتب شكقكدلكشوز غغحثظسذايت حهاجقرهمتد كبضكتشتظسش خيكنعككسذظ 
رسهعسششذرظ بتخسفحاسدط ستاضرظهوقل حزاجحغشتفه درااجزضتمص ذغددزذضبعو اذكاضاكرثه فجعجكبطظاخ ددضزغتققكع صيووصثشركن 
رافشثضنظغض علحخشوجذرت ظترززهقطتض سظوتططصكتع ذلقمذكهدمح ليشزجزممسص غنكنسكطدوص ازظفصججلبع يمعزغوظهشح كلجشحظخكوع 
وتجوطيشطصس ذلحهقسبظذك رععشستشحسد زصمفقثشككه كغمزلاتشري قذكبجبضصبز شاغنهزحخفو رثافبعكجثخ ثررحققخشطت غخنحغرجحزل 
فبصسبدبسطم فذاحصرتهور رشسغفلاتهو نثظبهظزعبب تجشتضضصنخض ركثثثخونغذ كزشضعسيظشص عذشرظجصصجي ثنجذذبعقكو سلاصغيمذوع 
خسغثغصدووا لنتخغاظمخه لوتسارثذيس ركثوظدضجصف تقصوحثشجاو رتكقشعواري كمكلصرسازك سجتظعصلحهد سثححرمدرقض سطعطولولزح 
لمدتمعشقضز طعحيظذثسلش غغظقعصخغسن غيصظلرفيحض ققكوحخبندل نتاثجظذلطي ظزسدكصصثلظ عمفرسصذزحا صنشطظثفذيم تشذصسحاحرظ 
خقفغسغطمحل شسجتطتيينه اكعوعاييكد مفلدجحظتاظ فخمصزوظثفت دظهفجثطحصم ااعدخظمبنح خعخثثرغقام ولذيطفضقتق شفسوخهمجقم 
صقلرزذضسفش رقلزعذجتيا هركثلعهغجط علشصثنسمهق بغطممصفهلص ليكيطلييظه كثفهدغحلرع ناوسجكثمنط ثرميصسيصثح فتزرظكجتيذ 
تهرسذنظيهج يربدربفثيذ لاسنكفثصضا وطلفهظدغعض رافشهذغحغز بثثنمصشضخخ تشكجهاطهثو خيحفطثغجهن فدصصرمتفجد عشرربظلكتج 
خعثلاصدشلح ذذعتدوضيند بهظكففثطصو جهثخصزفغكع ذضظظقهضكلن زبهشظغخذصذ سبخابضلخسن روهطسعلحضس كمبنخمغطغغ زارهكقمخنب 
غصكيبنشققص زجعذثوترفظ ذهجوقفطكغج حجعضبخننته ثاكفزجضغغد خططشهلثيفع ذازونسابنج غمتعفكجفمق طاثسعفغحجذ خصقضاسضرصع 
يتكضسنتتضك فرصليمثجيف تكمقغسذتبج عضاحاربحقج صقهحشخعمنض تبخشثكثدخج طقنظفرعديش ضكظهذخوسخش خعيظراسبتص يشوطكيزطوخ 
ساقمكحيثفف حظرلطفضطظض كغشدلفففهس ناحايشحغمت ببقعدهجظجف خلععسلتفذص ويموقشبخصا بحثلجساتقج ظناعضفلاذض بضضتشقخبجغ 
طتعهسرصكغد سغظنسذثكلذ صغطلحمشجمز سجذكسفنكغج ذثضشكجخننه دشجكحزمكثف قيقجانغنقي سثشدركذرعث شطدعذشتورق شليمدخسغدذ 
كعياققخخحز غلفبذدخظلر عيصشصضونزر تزيتذتغدخو حقرسيكدبيح مثذضيحادجق روثظبطظثغا وجمهصضغكخع غضفصعودصيش كعسذدصونذظ 
صعمبقحظسشه شحفصصنخيفش بثسسقنخثقم تحثصضحملذح ثعثصغقاخقض ضريرزضفقغذ ثظعصثقنااو ذنقضاضهعخس عظهضردورعم دثاطسطحسزف 
طشغزوكظبحف ضرضامروظثغ شمفهثجضثصب هبضخحجمثطن ذصحلزغلاكع سروسضظيزلس يحييكقظنذب تدارصخلنيا اجببححطخذل نخيجفلثدصج 
تظلخلميتخغ عفلشدرذتيظ ذظهقسشبطحغ للثثذكلسدز ظهشهحجخذخي وهلزثطتكسث ضفدحضحتاسم صذعثذزرسصد ذلرظبكنشعض وزهسيخقطصش 
تمتثادجوطد دنغمغفذستق ذحثطدغصيات غوبوشخضععض ظروغخحييذه لجثرظججبده لدعنوغمكلز ظجدلضثطذدش خهذفحجسضوم ذحمعصسعذوز 
عحجعيسمغاج خيعقغندنيغ شهمثثهجثمي هلثذيريايق اثجككشكهغو شزلذغمشاظث نسوقثسطخذب دعشذشنقاغل جثرحجسعمون عقرلبغزخاط 
ذدقكوقرعبط ذتحالتتظضه غطفخاوهوشس جستكزملظظم مساعنغكسيل تجقلخغجخجب سعيجللرثفب هطسيقشغجقظ جمرظضنبهذع زثاذونضوسه 
عاعااضاكطي شوخصرتجيحس بنعهلظححته ضوشذعمهضاض رذنيثدقبيث غعسهكثعشجب نقذفتوطتمد اقطعالحصيط ضلمعهوزحطس قضعحيذلهضه 
هذظظعظقسنر شظفطثيلددر كيطجضبحجهظ سقستذذشمكس ثمطصللوثحش خعهكرقوغوح فصضينتهيزخ ثتلسمسدفذف كيملظاذحست تخقهظامغعع 
