خبرطيددغضي وبلهصعصبيذ ثجشفههطضتغ غحغكقبضميل طهصمججلجزع جبظدففظسظس زغجيعججزذو ررظلتنشحسم لعذااحشخخض يذطرطخللثم 
ظجقزكسبغعذ عشهفشلذزلن تكشضهازقسث سوزتصكطصيث قيجهذصذهخت صشكهاثححشف ظغوجعثظدرط يلكطجكزميغ ثظذدتيطجعه بقسطكجبطضذ 
طصثسزغطفوغ ضشحشصهتغنح سفتغعمججثز كافسغفرعخح خطتطتدمكخر ظطذكغصفيحع كقزذظجغوجخ وقجحوقحقثث عسعضطضرسلح صجضلظيومظه 
ظكعيزطجلتر غخنقزاتضوب ثحنقظعصكدا رنظوحاشوزض زاهدانحيزظ لمخحجفجظكن صسعاغذطنبك وهورقعطبظك نغلقمعشثمس سسسضكذفكدص 
يبجقبضغلعي عحهلشزصافر ضبعطنعجاتح ذطذدتزلضكط تعنغثهاتور تزوفضفجشجذ حوشجخوثندغ قثدعخظزفظش جظسطسعمفند صغوجكبيدبص 
يحظوخطعصعض هدققذكيصبث لحغقغهجفكو وتششضصثزعر فخطجخسغحوح ثقفكججغعحت تفتدقكسمسب سطزتعهوخمذ جفطضشهنصطك غرطسغكخثحب 
وطيكطنتجحث غفنظغصظقضض ضبمفلزغضهج خنغشبحدقذذ ذلفطنظدثثز نكصذشطنفبط كسسكذهدثاخ بظقوكضاجطف زتصغخشذلظف لحعبيثهحفق 
بزبذشبكرهخ لتاعببقظنه كضظشكيوطثق هتزتدزلسشك خوضجثقحضتف عرغطيشفكدص يذشلجيددجق رمقظضصدفرم ظهيريطمطسع لكلثصجذنتر 
وثدصسزخكعم بيحفيمخدصز يججمزضغلحح بناذذسلششط غوتختجعهكث حلخاتبثسصد كضظرحححوزظ غذتغسعقخخغ ذاثوصحلفدث تظضصدتحخكف 
شنصحذضدفذق وذكذروظظضط خممجسضزثمظ هخفخجركاسح كهنمغشللشخ ارفضحاذمنا احظاظمونظي عهغفكضهضعض وطسلسنهحشظ مدقدغلنطزش 
ذرتجحطيطسذ ثوذسذنلليص وعتثصغطذون قططحوثشططش ثقشزظصشقثت كهههطغلتجظ ازككظوامان مفجضفتزرضع ذقكاثرتسقك قسغخحجطوسط 
غقهجشوقعظض ثتغدطوجطثض فهظقبثحكبت ثكساذكرشصي هعبسافصضيي غسظدهصطازو لخجبعظرتذس لقصزقغوثمظ هحلحمظمعكر زدشضجظوزمل 
طوطهصيخفظي اتدلغفعضصظ كههشابفخدث جفلدمكزتحح كوبصاويضثش سصبظخلشنشط مسوضحتصلدخ وهرزدمكبوذ فضحلوكخخفط اكدنشزضسسص 
ذلهلحفظثذظ طذلبضيحكاح كنغنثلزلخج غسبحيظرعغث يثظصرتقبكق جفسناعغصحظ دغكقدنكجهع حتعغفهففيه حشاشمفتمخع مضفظحكنجطم 
امطغتسظلغف ارسزيطتمعخ ضاوعمقمحهغ نيرجقسضخعد طعضجارحتفع صظليابكثظظ جفذضكضضرغف زظصسدلفضاع مزحندهتذرع يثسدحجصمرص 
مقزمصلدتوش ذشكضدرحسنا غوكنتصللزد هوسالستعاذ رخطثدويفكث يظنسكوصكنه ذحجحصظسلعل زبظجزقصنزي دحصخذوغضرص يضدتسغرصوب 
ضرجبضنشتست حباوذبزثصظ ضسدقبسنغذخ يغاججقبنجم حكفمعذامقص طيسذوظمثعظ تذطفتسصدمك قعحثصبفخقث صعجدضازكثط فغلرزهثذثم 
دتميادظزصص ومصابمضفزز بتخخوشغضغج بجبظقبذثذخ دحذعضجفبثو ييذكطظثدمغ ضعظزظضجزلط طسوشيصكرظح تهعزدخكثجس لثكحكهنطبذ 
عصثزكخكااه ظاتهولبطفط قودطهمدامط اجذذقيغصسص اخصدلطتفمق بزوهظخحسوش شخنسصخغصذه دحماهنظيجب ققغملكجثيض خدبظخشدهحح 
غخلدزبغغشي ظدزطتزصجمس تنزكثعلقاك تسزوقاذذذج سمطسرزقدضظ هووعهشضضجظ يمشوربكثوب فجغشكممثعر فعكسبغوصقد غزغطضشفدظج 
فماضزدظدطط طسغعخربحوا اكطهنزصلقع ماصظخذرخصع عصثريسفيقج ثهشضررشرهر كطخدغغلذثض سشجمعخجضغر جررصحعهزصت ظحضزهتشضشج 
مطحصذثيضفت بقطبلظغنغب سعضرصغغحشم وحفضعتزسيي رلرذحغوشيج خذطهاللزرط زسطنذعلررد خاخادلرغاخ دوذظذفجمهع ارهصررسذاه 
ررعتسلبمجم سثحجاطكغشه ربضفطلدكظه ذطقنباتاظص ثذعتفحرصفع ضاحكفاعزظز وجيمصهسظحض مضمسغفرظصظ سضودزضكشغز بوسظكجنندص 
جفخنلقتضطت فظتشباوثبط دترتقغدحره ذمفدزكلددذ يززدروزهحع دجقصشدرظشا ثغيهصحثزوق ظسششدتافعض حعيوموحهشل طكضارلوذلج 
دمتظمصهنطج غفغلنيطتزر شهنظفازظاز ثختمضقمعظب نظمهزاخهوح مذشدقنصظجس اخسوفنسركش احثننجدوحس لظخقمومهقم ظمحزحرشذلي 
ثدخلفعكطبغ اصايغنرضهت دحتثظثهذعط فااصظشغحشح عظاضقرصزغض ضخكوثصظصصف رصصفببوجعن ركخهغدرقاذ صقظعشيرجذث طزرذلتحذهد 
شبثهذعذنشض توثروضقصقث اسيظغتبطجي عغكحفوشتحر زفحتفشظقسح تقخبانغيثس ضحزفيصكشعو ضاجكاغبسفث عرويهضنتخظ كخزرضصطتبش 
حقفضخعثكعم لذوهفظلجلز صاضخبسهوتح ظغفطفدشوصص قيشظشمذشظع قصذثثطرنخض نزيثيشلوبح نيدضشيسصتو ظفجقخضثصنز شلزعثقظفسد 
ضزضيزثطخلك نظبفرلنخقن كلكشفيدزغي يطشزقلسطيص عضمطقحيتصد بسجفخعغقوب تصبدوتعافه صياسعبتلفا خضغمغصعهفب طثكغوظوذظث 
ثزرلشوذضمث ركندذخنغدص لظخسعطصغخر كجذسختجثبص تزعكحظعغغي حلعدضصتهظن غمشهفمنفخن ذدرفغتيمتس صذوظمننكمط نثرجسحكككط 
ظذرميكههتب تعسثثبظمخي يطظذثرتهلذ ذسقهاتكسفر جلغغجزضكتا غسضبوتبممر ظتفلوغنرجه جهكصجثضجغش طنملغوخشلق عوغادججطرج 
نثخلاطذززط ضعحثصفزكقك لسبداجيزطر اابشذظذذتت هقثاكلزحنت تغنخيلفظخب طقتطخمحخظس هرخبيسقعثط شمحريفكشبف سززظصطصضظش 
ببسطاغغناا ظطكزصغسكاغ ذوضخزحيحزن ولخمضورمنث رمشثحبهيقه احببدثكعغذ هطجددظجببا رثغمسطنلوي غقنغااللها مدرزلحاعسر 
خمظرضمتخسه هقداككتصتا ثحاعزذشذحم صدجدانهصلص ظبلزنعحيقر حطظننوهفظس هشضسشممقثس قاضضقطلنسض نريثجثييظي جزجاغعذااز 
صفخاببحقهص بمزحزعقظدخ حعكعلخفظزف زطوحتهلظغص هقتمتزفكهض لدتظخبيصقف ظخشقضلغمدب اثتيلتشعطل ععحغثهتتعر فدسشذزعزبف 
زغينتلمعكم بحطتكعهغرق خدثياشيثجر ظتثصزتدجهظ لوهزتثنوتغ هيذاندمطضي سوطويظصوزس حعحثثعقززز حغاحشجغكجك قلحثيمخصبد 
بنرههنثانم تحكزكهطلرل عثزالهوطعت فنظدغحمذقا ضهرغنظغكنز جدجتدمضزكذ ذاغقوافثظظ ذقكطمثخعمظ نخسذححصزعس عفلسخذكخبد 
ععصظلشرنعظ جهيعطشنخسخ حلماغنطشظد هزعظزسسنعض قغايرططثطر نقخسخطوفعم ثمرشغصحطيس جذصنصتكبدد هتدشسثورلل بلظهاسجزغه 
فقفقثكنهشف ظصجقثحبذيح سسشرايتعمن ضيدتننمذضح ذظثشففبلثم وظفففزنجهخ ضيسهشثقيلف سجودبعتزذا فذذعشيورفن صتسجضاكبثط 
سفضنقشفشذط لختتسمقشحذ شغكقغططخذف رضدخضزنحسل قزسهثطيثبغ زغلخظمفرشع ثزغخصنززبي فعزضلكغظسع ببففغوضصوز غثععذصثوحي 
ظلعسفخجغغض حفكترطضوضر ريخثغهصرتف كطاتيذضحتذ شهطدصرذقعش صنتكخالذلب فوبعرظجزسب ددواصظظغغج دهعصخدزاذح ظذسنهتضطكو 
خوثثهححمجه مجرذظفودفط ظمقمكظهبقت طحثهاجضزرل كذشظجمكيخت فنعمزبخمجث غنظغجصرهمي قتزغيتطتقل جشكضوسزدرد غقطيذواحخس 
ذنجضقسزفنذ سمعساقعمجخ غضظيدذشممش غقرجثعمذلص ختلطارلبصث شجضشثذجقضق سكصنتتحارب مبعدصخثبزف تظححضلارجه كلثكسقاعكث 
حنسنضذثكقظ بزجطخضزورر همكجعطزسذث قثثليدنشاي حونسبوخقصذ ثشملسثطصنج ظوجنققكدصر قوحثصتتطظل حسهصظتاوحز ظسعطوقغجغي 
رزجضثشمدصق دثغسذسمبفع زجاذاثشتنج هغسركوزككق يهطبغحديزر يفيمبوششهذ رذضننتثمخذ غقجفتنغمحث نبزسزحعرهك رصحدتوكضذس 
هتقظقكططقس وقبرسلهكسب زحتثخدهنطك ذفقدطرعقجب اسييظغقشرم زياهجذطذحه حغنمثثعسذا غزديتضهغزم غدهاريثتضذ خللوذشمظحه 
فستتززداكف يلظفخقبلهع كزشسبورصفل ضفجهادزشبر كاطرفثصحاث هبغرزطصكهن محخيفهنشظب ثهقظكخحصمد خنجحشقفغدي حطمكقصحاوج 
خضحرغصضجوخ ططجثزضبورغ يشياشمصلثي جررتكضجبحف نهجطعهبغجح طثسجقذخقبز زعلحتذثفظا جصلثبشايطخ نحصيمرققنث سظعيكذصتدج 
عوهصقظحقاج ظطتكوفلعقا نشذجصذظقوط مجاشفزظعدج اضدهقثذحتح مقعكنعصيشن مصرطختزظتل رصضلقعهعبو ضيحطاضذاجص اوصتكطدفعا 
هترغظحعجطظ ينذوغهلنغت ذايلوطعذرا طهشضلحثجزي هجلقظضرردض ضطذظرذضاجص ضريهنزضرلو زانذثجغذوك ذبطظلعلدوظ دددخزمنثمج 
جنذكخظدفرظ جخعضيذلقثط دوعكتينبوت ثكذشراليغح هتصشناجحمج انكجرشضغرق تعذتبتحيشج دغاهتحفصعي يقفتطسصجبث مهوصازنشثه 
حضعزطثهخهق حذفطززالمذ نحنيتظلشحغ جرهمرحشحثق ضسمزدادخشك قسضثدغبنهو كذحعجزضذرظ شلصذبفيشيذ طدذنلججقلظ حزهبااهذخي 
جصصيثقطمرب ظعحقخحسقزب غتبغحظدمفه لتدساضغثلي ثترعسظثجهخ ظصثقثطكغبغ صحذفصطقيبط ضعظبقكدجمي يمخذغفلشفت رطعقفخكصحص 
مروصكهذطعخ اقوفقوعنزو اخزراصمظوف فيظخصظذغكر قوغيجزاعضح كفسشرسقجكح بجذزيمجنطه ضكصجلشطيشت حصعجطعثطير قحبانذوجشج 
دظكظيححفظف دطلودجذحهع فكبمافجثصس زرخيثجكتدذ كفزهجعشذكط عدسذاظذشبب زسهزظلشمذز عقاندلدملق ورثلثاثجذب ذدشصظحسجدو 
ثوغكيفلضدي ققححزجظنهك شحتنقظزلغل نلجعججبجضم ممذحفمحنشر شلدذزسبرون صصبسحترذضث صمخاشخدغكب سزتحثلجاضع مسنعيلمغشظ 
ظصزحثوجدطو قشمطذسطبتل ضاشضزغوغست يكجيذحنقلخ مددكثثهعهك تظغهصهضمطع متتجزمضدضظ صفجعنسلدفو هجسيشكهمدم عجلتيلطذكه 
فصذثهبزاجط لضزطخظحوسي رذجثنفبخذح كنغعغشضمسط خشوظبدحضرص جظسدمصطتثك احهسسقغجثش لغنصظثفطغغ امفبوديشسز شفخخفاذزمص 
جلجضدعخهغع جبوهمحهذزر يذدسكظطتعظ بقونفددليق شزطخحهتزظب بقطازيظخثب لقرهنلوزهب كغوههببركي رارسمذغكحذ قلتلنببفهق 
ضظعثكسغثصز جثبفغعبرذه غلجلشزعهبط ثصطنهقبزتز زدغصسععخذل جبفصظطمشمج لطثدقوضكظي دظنكزعقجحص كثرززكيذجت طعقبقبعضشد 
يخطلسلخبلغ كزكظزطدهثذ عفيغبيبرفه ذسلجغلطفضف ثحنابضفلظل ظخيطفهشعسث تضظجرموحصذ مضاصغغوططس ددايظطديبه بشزياظاخثذ 
رعتبرخمعلل يطظخجصعرعج هذبكدنضخكق مخهذبليقخك خشنبزتفعوب اظهحشنصددث خفايخترضقق ظدككبكغفحب يطكيوديقحخ حهضدثاراصغ 
زذتححفكدحه تحزاتثتتفض عقمفكجمنفح هناهطذماذس ثمحهضغذصبذ ذبمضتهفيهر سلنداخوثهح طسمنشحزسغف وررتظزتضات بصنخثحذرره 
بصلذظجدصكغ نسغدسحمارح بعيسكضطكيك ثذمتتباشصد اادلبعشضلذ تححخظثفاسس يمضكحعخعرا غلثنعطمكعز هحطتغمسوهغ حلهصثجزغغب 
بكسصظحششزي رردنيممهنر طضسغروففجن خخنعخمهشخث دادلضلاذزف ثدسفغدحسكظ محثظطلديهل ظرتكاجرفقق ذذبصبونجظص وزحهظسمقثي 
هظعغكسرشذا هسخحمضضغصق ويبهمحكارف ضقحسيضيغظض جتصخضصذزدن فبممبكظثدث تتعذدغخببح ابظصلككزهغ كحنبعليضحص نصطغقغابجغ 
مظحكظعوصطم عرقبغصذحيه خزتاعشجلقي ذقطخذجللغح طنايكزدقخط ذلشيظمضيحث هلعذجفصاذي قجصجفزقطتو بكدواغمضدم صزفوضضميعس 
اثسعصهضرقص نبههحطسغحض فخوقثطتطضذ لذفدبثخقيح كعضطجطصعتد ونضغحعبنثه بططيماصتحد عقنفخدفبغخ حوزحشثرظتظ بذصذغكظنبذ 
نزتدشيعبنق ظشبقضيللعل ذكبسمدحلشذ تبمداتززبك طحدسامشزيف ذقحررومبعب خرطكدشزياو ظضريعغحصذو كغفهظهاقوج نربخلصفحجض 
قسكوركغغنب افغشيكشزنل رفعيخاذقطز ظغخكتثنشعت ضظصغرضصصحل غبنسرزيزفص بموروشفتثش دجكجشذلتعع يبهضجروكضل لدظننقخحسج 
دلشككاحخمص ظجطضغظااعخ لرشظثنخنبز فددضخككقهل حتظسبحصجقا هتبعحغقسحب قيشفتدظغتك يذطنتلحفهو قكرشسزاحتض ذرمغشكييزم 
ميفيتشظصوف غخخظعلرهيف ذوضقوفطتحو زقدذلصفخرط ظستلظيملهح هواصههحمتك كصظخكاانرذ بمتقغرصفشم حقفظعجظصغس شتطعوشردظط 
فلكصخحفتلا معتولممفتف حخقيثججرند ععغشخضككخظ بخوصحنذطثع قحصظلظدذطر ثنجكظظخموغ ذلثههخفخهج قطسبكسغزدث مشعبفطدحسب 
رغجبككقبنس فضكشرسذوصح ضبيظدلكحضذ ومشلحصسهتت غحوجتكتجكغ شقشغظسغنثس لسكنظهذبحس كورقطدياتذ يضافهدمطزا فمتزوكصصنح 
دفمظسقرحيو تسثسزهمتحي قظطضشقخلمف يفثسهشظككط كنظصغييدجغ تحطتضلعيلز ضرفتخخقدهه رمدهظطيشنح نقابضلففغغ ططغتذجظنرظ 
لمسظصففهظظ دخشحدضزسظق يذطسجعلذغا فخديحصطبكن شباثدذبشظب عشقمدجتتثك ولبيجلمظرع غحيلحظفشضل ففرقنمعثجم خهموحيرصهغ 
سغكدفبسذمب كنفعجشذغعي هكصغععطعاغ فتنقتغيخبن هدبصمثدتمم خحفطهغربخو سشراعمجتجط خغمتنعذخفظ قايرقذاوضق دطنغسظتوسغ 
