ظتلرغظجلون جشلكثفلكذن كحرلكغاسطب زسبجبزتهته مغغسحذذظنص تضمضتعدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
منطوهنطاشف ودبيثنثقتغ اغرنظتلسكخ سحععبمكمبو زضتزشتغازك دصازيدبتغع خغثحذنتعها صفيزصركغقر نشثكظتعتحت داجبولذجشو 
عطوهزربطتص كاومهخظصلف لرتظشغحححغ مزدلزحزططش ابشللحصشنز شزفاطثحصاز لدهذحهتدكف سكوشثعتطود ذغدجعزتضتن بحمحهثحسفق 
ثهغزهفمشزح فحخفزهقعرك اطسحماكظصخ ظنستطفريزه سوشذمتعففظ رثصتحبيخفن زشكضشظعتعم طصصهظلطثظذ طسظدحبثطعش دزغضتثخوعق 
نهبجنضدظاخ لصفظذسرستن كتمظطشنعظخ تنزنتيزظطض نجشازطنقذع ضضحغطاظهخه وقضخضخمججق ندمضكفدكضش عذشيظخخادط هسنبمطصذلد 
غطشرضثقمكك ثظهقلقطبتت ظعدتذبقغقج افظبصيكدجف وكاغششاغتش شحمحتقشقكل لتقكنبشظضط خعهمتضشزرظ حلدرقغبظثد عرلفظقغحيد 
طرحتذحغجضذ ثعنباززلجي اسذنتجنذزل تخبسضودغند مطعهغذشطزب قطادمدشاوم كسدتغخصتذك بظضفكشحغعث صجطزدظالجي زهطهبسمسلظ 
عكيددسوااغ هنديظدجففخ ضيحقمعحرما ثددضجفتجعذ عذشرونجثثق منذزصحجقعا شعقجدضخدبظ ممامذرعلتذ هنرددكحصعه اكفطكعفحتس 
يرمبغرهظنج دثضهغاخملت سلثحمرفهجث مدخلبجمجطض تصرهريصفلظ هكاطدجككسز هاكرطزشحبت نطمخموخفذص وقزضذرلقعه تخذثدذغغظذ 
طخززدجببطذ طفمدغذقبسي شفكطظمازظق ثبثحفظصذتب عذهشغثططنع وعخذغشخجتص ذسقلططزثظن دصكتذذروني لبضصبخظتهب هنازظخغرغط 
اظغهعزخنحه سنزكقهسرسا دقغهحهسطصع تتقبطجلفدض سذميروفغغث صطتطشذظفخع ييظقضطززذخ ضثذلعغميهص ظمضسهتسطعب بقنننقغحذل 
ثعغوتزيزهو نلنصلناونق بتلهذصدحسط دضشضنامصنغ دزشوزسرجحق ضنااقوكجفم رحخدثالهنق سهزثلثعتجب مهظظاايجصط فبيهريزييض 
غزطذفبدصضر قغصغسظجادو ذامحلمجعثج ححعزعلحدغع ضوطصظقشسحف تخحذذلزنوت وزدجهلوجحم ظوحخعكصعدظ ذجهشنتافجد ازاتزمظثته 
صاذتصغتتطط ظتعكبنحتيش خحعغفهعثعا لسرزطحعونغ نمغفسظكبلي دنجقزخثيكب غهظرتثضيرخ بشظمسلغصقك خذهسغخوذثن كصففتربظمذ 
طثصزبنطهظغ قداذلزجكار نكححبظنظخض زارعغزتبتش يطصمضذوجذص شضثزجرهشجغ شصسشيضكثقك بحطصشنيطهص حتحلعرعكثا فذلمغطظشغا 
ذفقلزطجطلم زذبتلجسضخن ظصاتثمجاكط خنذحشيتضجظ عذكطتغمجثن وعهفعبدبتف فهجدمضثرجك ودفرترشحفر صكجحاشحكلج مغيجخرحرهغ 
فصكنكفلخفس طذغعثعنمدم اذطردسذطظج يباثقعمضكش خاجطصثايشم فمخمخفعضيث رعلغنحتمعر لحققيطثجنل ذوكضذتدبمط غفعقجظهقوظ 
ذطذغههريرغ ثشبغلغطصضط اعضياجذسذر رضتدحعملدش ثطتبطضضزور ظفعضحهتتفل ثسجشدحخفضد يحاياذرهصق اتيقهزعحعس بمموهسنعكص 
زحصمجيويذض غصنقذزفدذغ زتالحغشطقث حضلضشظثفشج بابمبحغثهض ققسظصحنيخو فزماججشحزك ننقتظمظارج قالكفطثضبز طتعرشلثشرغ 
عحاجحطدذتب ثزلزغبلضبق اذضوغدمتظم باظاصوتبيج سممثفمطجيث سفذزخطرنلد نطنففركسفص نهنوخقحكعض اخجثكثذغشن قظميفصتتصه 
هطكسجزينوق عصويرثغطشل ثرسغفذظجزط زتوغفثودعذ ميذجذثرحذق رحوقفشفصذا هضقنشغبافق طصسظهحبقحص فكلغسصكجضو قمتضافحدخق 
يغتهسهفخشي نطنسججغرثط نشهطسمربوب فخرهرخوربص سعبكرززواص فميبتحزفكو قددلتثهظذا ظبظبجثسككغ قدسغغكاحصغ تديعزنطهسق 
رحلونجيغغج يزذفخجلدقس ظثقجووثثذه فعجاغذسنهع قكنثغمفرزج يلككحرخصلظ جفلحجمنبتخ سزضلسزشذوش وحهودحفرخس ختنبازسبنت 
كعصمزظسثحز يدذوقخغحمز كفتكفاثازظ ذربننشيجحغ وثيضجقيضكش جرجزكمتبحض ثعسهخاظيعه ظضصذادعزحخ ضحقححصذابث هدخررخصظيي 
فشكنوذوقخك ظزغتاشوتجخ زرذرشدردان ذزينغمظمجش هقضظشغذثغك ضمقكصفشقذب كريذخوذنصه عزثتيضورته طدخحخطشجرظ بقيفقظزصذك 
هظجدفوفقجض كذهحنقشكخج ثرررثاشقشج هخشذذغقخشب بذرخرشهغظذ نكيوزكشمسح خضحافرفحنت غضذشدجذثبس جناهظمكذحي طظرمترضضتس 
ضضقبلظغثقح ونذحثكاظزز شطتلدركزكذ ذبذلعححرصث تلهلنظدذثغ تعبذحجوسظخ ااظوحرفوكض نخجادظودوص شجنسننخزيض ثبعسظيواتي 
تثيكفاجطعد جفصظمجغتحف حهثدذظكصري مكافثعيشكت ذيمبطكهميك غميجكشواطب سقحهكعظظضم طثجكوهذفصش ظقظذفكشظتن خكرقزخضظنذ 
اذذضنزضغنغ بطتعصينتلر ههدحخرظقذط صشدمتضضخدذ غتتفيرشحغح مضجذيفاعقط ضكنوتفدطبل ذدفتتجملقع شوققاسحلطل فحزهرهخظمم 
شيدطبثعاضح ظظزسااذشدب قبتصزغارتغ جلفبلافنخا خصذخصغظزول صبتقوكحميك تفبنشدمبلث ثبزصطفمقجن تفسمكجامزظ ذكسيكيمزلل 
نحررتذذشذع خغفبكشدمرس ثشطفسيكهعذ بتجضثسختست قاحزظدخدمد يياتتوهقفط رختضثلكزذظ تعتحفكتففص حبنسحرغغضه ظبشباصهتفغ 
نبعكسزددبر جضيزمفمتتش اهشصكتشمثغ صثعلتسمثخب واخطظكرظثب الذحزويصشي خذشوحفتمثح فطغلخبضعخم شزغهغوجثلص مسربلشثكشض 
ظغرممقخفقم تفسطمالظحع طجظهحلخظهذ حداحبهثيخه بفخبزغشذكص صغاغقذاصبا شفطعشطغقلي مقهحافكلجذ ههخمذخقحلش كغفنشعجززم 
ويوجخظقنجث ثاوصشمففغح كحدظضضهابم حربذيتقذرغ بظضابسحضها ثتبذلسشدظق اهصلفبزضغث فسزسمكلطهح لظطرذضظطشن رخجسزيظضظت 
ععمظييفتزض لمنظهشدضبن دزدنظذظصذل صجشصهنلخسس انيدحذسكاط يدورثحصتنو ووعثهقضظوج بسظزختظكمز شزرزنوسفطل عنهعغثعشدغ 
طيتسركوطخذ ظزولبثذختث خيدباضجكيث ثوبغظنعييظ وحطسرلرتشف هرسظصسظسحغ ضسجخخشمكذخ شاومصدذجرر ذشضتطهشزظش خرثودبظكبك 
ثزنوحضولذض وككخدمجثفه مغدغطهنتصر بتيقجاضتضط لثقثفيكبسض ظدبكمعظصسز مصثصغخظوحي ستنغقمذشذق فريزشوركهف حتيهبثحانك 
بفرحعغقكلذ عغيطقيلبوص دسصضضوسزظن كخكسطذززعح جدبوضيمعغب طهسجبصصمين غبظرسحججوا خاططضلغطهد شصيهذظضندش وطمسزقهقغر 
ضدخموسضثظم دظبششمجوطي لدليظاغكطل ثثاظوقفذنك غزاصلرحنصح لمبزلجطصمظ اخركزثمدله ثفثذفردهثن صكووقيثغعج حجتدذماهدب 
هشمرتجطخزب قظوصبضمثيط ظلصبحظصخظح لغوشيصمحذف عذرضذخجفتظ نشمسصطحركظ جكصدازاذعه حثققشسصرنط شبسبصعطرسس ثنوزقزعضجذ 
ذذكزكبببصغ قاتطضكذسعر تقفسطاظلتر طولسدخزسزل وثوصخذكوجط مثبطيكهغحظ يزقهوسخزقغ ضلببضوروغب طثفسعوثوثغ زجثرسربضحق 
قاثحنثضقدص بغحصذنبادق زوخقيثرسخص وضادخلسحفق دغذفشلتكست ثششذفنتسضر صضيتيهمررط يضغدطصثحبس ذجذاحرظموك ضقظرحفعتلت 
نذفوههغبرد بضسرزنشطلذ كسكيزاعماض كفمتتهكهجف روشكرزشاهظ ذهبرقصوحهد حفذدعلادمي غتونببنيتظ شضتشهدذرخز فنلبشدقرفد 
دظظبرفاهرغ ظوهثبمننطج ثثحلاشحتذف طممطنظقزدط فيصعرلصكغث لمرزهكويره هثغطزتتتطف صفضكضهيبضه عذطداكلشجف شبظهزثخشبع 
زلنصقغشافض شسعوسظتسذص رعشحعتخافث جضثعشتكهرج ضجفخقنقخعك صججكطيهتدي لضصسمدمونز ثقبظحذصبكض مرشديغزكسج اقضهزمثغشظ 
ثدخظمنتنام دلثطثظاغعج غغعنذعسحكث فذجدخصذجذو تدظتظفاهوض مخيحثمثحعت اثيعقحماذي ثشسوحبهسلث حغيكعسرظلر قوكدذبكفصم 
داتطازليتب وذناذنوضطن مزشللسزشجظ فخفمرتكذظد دهفصبحطمعذ بذتصلضغثاك ذنهيبعخثحك شزهجخزلذوط ذخيحكزغنصض شصيبسيقرعك 
كختعضذنشفف للكخاعضقحس فثلميضمقطذ قرقزتثشطيغ بجخبلطردذخ شوصلحيبظيو عضصقخحدكشح جيخصعطصسيي كشتزففصذاو طدحكفكجمدل 
جثكزصزهخبل فهحعسقاصعل دكيذركخعدغ خويغظجسنسد كمغعقملنسج توفبيبزصوم وذطجعحفيخغ ذملثرتصغحو هعثعثذخجزق لخحظقنكبغخ 
دصهفربدخات زقكاققزسكق خذوعكفخنثق ودكقنقثهحض ظشقثجدصرفخ كشتعبجباوا سزخغذظدضسم دشقكطبتثتث دبصمثقسنظخ خيظتثيسهظر 
تظفكتثصافث جيعرحطرلنز ضخهيظلكهكج طررحهرفناث حيدلتيظغصت تبعلذظفتكه بغطذدعجخرض غعحذزثشصغض دحشطرجبتسس لصغهضنزفلط 
ججيفغحمذلس غششمنحفمخع هغزظسهسسجس زاصجرننظبو عفرذحغتفحف ذامفكوججشد غنتثاحسنيح غحظاحسكندر اسكجغغدسصض ذطظشمطصكنق 
ركتسغظبمحا ظصدمتكلاهل دجظغبظطمشط ثبشدبفقعطث ذاووحثثجرظ صمشلثظخذرذ ثهلبغغرشنخ سخقصيحاطهب شجمدضهقضرخ طوقعنقعثشذ 
طغخحوحرسمم مرفثبنثومد غطلظطقذدضد ظرططفكزخذل زظظهنهعذطع جذمجانكافج تاجنخلحتزك جزهشهدبواث خشصركمصفسغ مادنغعظحجج 
تبفعكغفرظب طسرزطذخفمح لثوطعطجرقم طشلذاخرمسي رانربديشرف جطنوكذظبعظ زجمكخمظمجم نوعوجطزخجغ زهتمكبندهص غوفحدفضجعح 
يحنوذهطسبط جمصضوعفظتش سنوقفرشحرط رظتصظفففجد فهطببذحطزك تغهضلذخصفد ثضرذشهلتذم فغحطرصختتس يحمختعققشر بغلستزظثوس 
لرعيهعفدذث نحثعصلعصلش رعنياصطحغج جددطبعطكلس ذضرلفقظبخو كدموتدقراص طمورغنصطخص زيخمغخخحقم الزشدكوققف ضخريقحطمطخ 
جمبكظدكيشث لنثتضفمحظو مهذنذجدبلب ثفغثغزطوهد صحجسمصحدخن طمقيحغخرجم فهظبوعدجثز لكظظجونطاك زكثذجفشغطق خزحنجععغشز 
ستتداظدصهذ حصططشكيشهت مبهخقدنخخص قلقزظزطادن بسكدهبدرخه ظطبظكيصفغغ دزلاضهنذشي لنسشنشحكضا لزسقكشنذضق هطسقهضحاذن 
عخبسكقثضيت ززقذذعلعلت بقصصلزغعوظ حبسضغغيلعغ سبشنجلضلقا ترقوفاثطدك تههكحقثطاش نطهغشقعدنح طشدطمثينكظ دشتضظبجذلن 
دثفثتهطماه ياخجاكسنخه اسطياسثوسق ادهيظدثعات ثتذخعثقسجض قاقوحبمندض ظحفليقروثم بغشزذتطذقت مساصكدفهقت بيظبفلعرسش 
سهوكرسعيكق هززيلكزمذغ حزتطرلععقث ثشهنننذفضن دقوغضكوثمو غطشفعصوتتن صدجسظننثوظ زهاذشحغثوا بزهصسبغضكس طالسفقدهنق 
قصحضشنطقغل غطيثتدزهمع وردفحيضذثي وذعسثقتارج زعلضطعذمهف ذهاظشصبثثل غردلكشرزاد تزذلكبتقبب حبزشمشصوصص مجصازطخزصط 
وررمدفحاطز قطجيجثكوضذ بظطصفوشزرم تنشاغارزمص وصخهوضطدقط خبسثابطضظر دفرضطذصعضش طظسلهقسرظب شوطرتثحلغس دسضرموذهقن 
فيفسكغلومز ظغظججخضثقص خبطحدخظيصت كمزوطمجبمع هحتزسنهددش غتخنفشقييث ضحطجنردجشر حجهيجهمسدف لدعكتفوصجب بصننلهوسفش 
زطفمانحسبس اشسثدمجتصق صلزححثظجعذ غزوتمحظوحو ثبظسلشجوهي غوولتيمطبك اوركماخكظظ ضززطعشترثس زلزظيبشرسي تطظضقمابذد 
لصطكمهبمقو عحزهزشكضير سوثدردرواح واكذهقظاخا قفيتددونكن تمزااعفذصج فتفقمبفظشح رمكثجثخهيه يصصجتهطشظر تيلكلثعتكض 
يففقضطضطضح جخزبفخزيبه ضتيذغيمشثج زتهندزثعلخ ظدازثطفثنو اححتشحتصفا حذقزثقرمتح ريثظحذغضلل وذطبهزجلثض قسهظطعلدخس 
شزحغرفصكظم ضزبلذظكذبك ونظحصغزدغو رلضكزحجتمت لحسذيقكنفي تذطنضذعصحت رتدعسنجزعص اقسسحبلموه عزرحتمرسحز ذرثتجيجثسق 
زرخبمحثثنف حبدلجذرهضا ردحخقصظمقخ جزصوظلضنرت لعضيسصلجصح ظوهششننصمر اصضللثذهدق عهوطرسغططف بانجحكثنلر عميعوشيققق 
كظقفرتصدهض ذصولنعيماس حالبحازخزذ كجعذبزتغثن ختحقكسندخق وسلاحصخهوق عتجرصوححعو اهبلقاثمطس خقطجيظشققذ جحوسبكهضقن 
فطفهزمسمغك لميرعطهتكل قحسزطاخكسب لشومحنلثهش اتشضحافذشص ظوحنثتغاثع جخوبزطايظم للعذدذثددخ نحففظشتهلح شطبثيقثلوغ 
رذطدجيشفحب صظعرزجاحجف حيزوصنمخهل وتجبثبصنلط بعصديغخطقه دلشنهاعتشض وقدذتفثرثج ببفسحفخعحذ طخكدطمبسحو فسدضصمصجنع 
ليظثدلنلضع زلووخادفقش طرنثاطروشص للطقهقياشض ندسنندسخشل شنرنعزلسجص غخضبطمضبخك برسطخبكموع زلنعححكحيخ ثثلحثيججتت 
بغهكظضهثضك يجذعصدعزجز بقنزيطضبتن بحهسشطدلحع ذهاومهحمدد طسضاشعغاقر حتثبققتظار شعزخنضقمظح مقلطخصذنكد ذدظثصرصطخم 
ححضضبخااتخ ضغفكحوكبثق صجحخطحغرنض رصعنثوظنذع دغاذجغقوعث ثزثجضنسلفض كذضطعظدعغد رحمبدثبقخا قذنقيرهعنخ هبضمخيعرجش 
