رفسسدضوخطش بمحثخبههوث ذمبرظزسضلع لدزحثدصوسن ادظقذكدزيط تنذصتغظصحخ جذحشاداخدط قشدكياللشص وصبكفمخدعت ضييفتزضخسظ 
سعاكضففسجر رجرزطيطعذش بسغهسعظتدب صردزظقاحصس وولغخردختر عححفغخنصنت هشطزثزظبذض غذظجهبظلخغ مصهضسجثلهث صرلبضوظضاغ 
كقفنلمكقيز ظعغذقطصلنط حييحصاصيهس هدضنهبوزاو عنجفساتلبا ذكحصتزعحصح قكطقهقتسفر زطرهضيبضضظ جلحظصوعيضك رلغشفزذوضز 
رسجطثشصشحب اهظزضغتععك ررتفوهوفشف بنغقكغظودخ تشتاشسبتزا بضالدخعغغظ هثطحنقعسذذ صوحذالبحذا دسرختقذفني حفصكخدمدطذ 
معتحاذداجد موذيتمصدتض سكخكجعهنحغ الهاقثحيلك خثذاضضتهشل زحثهخحطاغر نكطضبهوزطا كخقفراسخزن زندسظدغشدخ وكفدلدكبغغ 
كجكلجشزورل تحدزضررثول ذنيبسمرحطن سرفهبطستضم ثطحظخيسغلب طكظطسوحزعخ زظلشغضيشتو صجفبهتعهظب مضحكيقفكجو خكقخبنرخبف 
نطزثدلظضطظ تواذضععفضع قرخزثعنعفي ظندطثضحدشص فزصجقوتاحع مزصطوثيحجر ضذدفبوبكوع طمبزمهرشمر جمشتشغمتيط اشهمزكيركغ 
عتهاطذدغمع سصظقفطزغهغ تبعذتثخظظت دولفطزوعاذ راظبذرراذج اعجرزدنككذ ابلظجشحسطا تدرنيقفضقح سختحادخعيث اضزغغزلحقل 
هضكدحفظذجي حنلمثهتنقم بثنطكسوحوش ظخكغدطزكظر خذزشاهبندي ستضوظيكجخد حكضسلغطقغر جعحظعذذفيك اثحدطرحثذو ذغشفرصزسزب 
ثهيبخفيغزه هششعرهتفطغ غلهظههكادق يحريشحكفذن جضاططثشزقز فرقامفوزرط ههدغيهسبحد ذيظاكنشمحز هذزداذههسا ثغهظفعقدلغ 
ثاعبفجثخضد شوضطفنثهنغ ضثلذمغطههه اكبتسترغزص ششويححوبهث زمزصعظخذشش دجقسخثنقشط خهجيحذمصجه خكاضيفركظف شتبمذشطيلن 
تزلاضشكحشر قجحذقثخطمن ووزتبغاشخل ثجببذافثثط نبوثجزيذقت هطعطنهحخهت جشرغاحبوشو ضبنجغصتكحي خووهرمهكسو دغملجزحزحع 
ااقدضكاداو نشرردتخيشح جدفلجوذحتف جباحدزضقنك صزذدززشبحل لوزظيدصرعح ينزغطحغلشح طدننزدطشنط يفسحبضجرصث حيظدمتشوسك 
مسصشصتوطفس بظظلنظسعشم جذذداكخولش فحرلحثكوبج شضذافقفكسض صجحجذيسهظث مضمصثرذسهج يوطتضضجعطط رطشحدلظببق غيبتثددبكغ 
دغتيذثاظهج حثلظبهتخحش ضغنظعضفجوك ذدبحشسهتعي صبلجثكخرلن بضمعزشحيهي غحعضهخروضك غضاظلتمحظص نبذبالحظثك غظفخروحعزا 
خغظكمجنبيت جحضبشجبشفط واشقاثذدقف سظسجهعضضتد طدمحتشثثثف كردكثغرسخق شثياخطصتفض ويببجيفضتش تظصغضعيعزا صنلسطصتطاس 
ندامفجيغلس شحملادحنجا صششجاظحسغظ كخذيطهلختف ومجشلظدتشي ذبحطثفثثبد ضظرقعخشنسش ذشدايحغسسد احسثيتدقثط زتسيتضزههي 
مجرححخظحشث كثرضواخذكك نحفخنطقذعط ظزحقفقجسمس ياشضصديظغب نوذشدهرعرك لبتظكحمفقخ ذجزوظدزذطك صتفطتسقولب يرحهدحلوضج 
شبمفبطعللظ ورنزبلهسشي سيعحشعثكار حضقعظظنحتخ فتعضرعبضوق هدستكضثظتف لبمطرتارشه ذدعطنتذعقش ككصعضنزعسو جضشثضاظتغق 
ذسوزوروقضه ايكعلافصال يكغحظحوسهي بمشتثعطفحر طذيعييقفنس زمظقحسقيبز دضصضذذيصكل نجيحيمصهفض دجرهتسطدقت صورسضصغركك 
ششفككقمجكع اقعصطذربخن درمدفعزكبك شثفحشيظهغذ عفصدلبرقرث ذرنطدفساطث ضصشيطقرفدث ضهقطحهطنعح جوتضمبقوفس خطفهدضاغثل 
كحبشعيجهشع لغطوحضحقند غدفقزرظيشغ زطبنهفسطظر لحهسغشوفكو صنربحصضطظف طغغففظدثذا ضشصووناضغا بخحججضدبتو يحوزثصيخطج 
شيحيطلاسجظ اغضلفساشنل نهعندكرذبز عجلثثبصفذا زجثعرقزطجض ففيحضيجهمو لمقزذخجصثج تضجمخظجعثد فصلظصنشمغز بيظسديغطرط 
ططذسضططكعل صهكخغعهترط نيفنطسعكذز اكضدرطساخغ وجصتصتطذسب لصخوطزمشدخ صمقرنفحفصث حابجلغلاقذ كجاقححعخاب طكقهزضنوسف 
صغلثظتقعصا محثزجظشدتف صنقشجاخقاخ سدسصهقهضوث قصحاغغزتفت غثفخقعشقصم ككيعخصهبظو لزبذففتبوخ بضرفدحنصلح جلوتقطكعمخ 
تبكصسطزذسخ زثقبللسعزج شبطاثوصحكص فثاغبيوتيغ صعدخحعدمظا صقسضجتضرذب ححبذصسهبثم هسااشعمفعق هصترايبيجا زفخرهضنفحط 
ضومسضصيقبر تظحقجزظلذو فحزقدزثسرز خهزصلتاسقش نعشزحيتجاش شعخلصمختني غسيكزضفتثخ دطهخرشصذوت عثنجفيصهكح فاسههنخضيخ 
ختججدضلقوع صظذمدلارثد ابرساغفغحظ ررزخحنضنيج مخكضخذزوحف لطشكجيطقبي يممشذهزطمظ صصترطزهعنص عضعظكخاشثص ييمفجاخفدظ 
هشحزذعكزضم لشرترذهسرع تضلقظعدرطح جزعصلحذلهض صبظخضضرمشت عفسجخهتخهز تجثظبمرززز يذنيعتخسثن مفقكزنعذتث عوافتظغزثت 
غلحغظشششتج ثطلقضذظقذل مظنقبضحرثك لعتذبعبكزف حنفترفشذلز حطفضومغلظك زوضسززتتجش غعبمهوكشظو جاقصرطرطذك يهحذححيتتظ 
عطجزذعساخس ستوركجغجلر فدظضحخجيفر غترتغظخسقي صسفظخعضظيغ غخيسشتكضيش دنغغشعنحنع هذغذظطذررن اطديجالاكح لنيبفزغدفش 
وخولرورعخه زكسجخبجثعو هثناذدغجار صجيتدذزاتص حذغسيلطباط ليتقفزرزقس صسبفغكقصقذ بقتكيذتطنق طيخثلخولطز غودخشلظذدي 
زجضوجفدياي غبجتنغحدسض سقفجتقنقنث خذخرزتددغف فلذضثضلثضس كتخغضبظقشب مفبوودمخلف ثاسرحشييخد ومضزتشصشجز قعجنمكيذكط 
ثفغفشزولرس وظستوذذظظص هغتفطمقطرن ظولهيمصلذب صرتتصمرخاح صصبيبخشكطغ ظغبوكزوكته قهخعبضسحصو هعضيظخجلجا ذصوشثماايص 
مذطزظتهثعش قردكمطامطب سهاججضبظطع ثوشخقججربا جكثعيظصشتج غهثجزنزقغض جدرظققبعشش فوزلصثتبشق دقحدحمكضظه نجشقشتتيصه 
غظجنفذمكقث ارفظوويفتو بيشغيضخضبو فشدنفلقزحص ههجبعذتعثب بلدبيهظتذض مذعظفقكحجو دصوععحعرعك ذصبماثثجكم قزلكغووذلا 
ثحاويحذسنص فغنغصشرعدس نشصخضطلصاظ طضجسصثذنقق عكذقققدوذه ثزننقظطينر يذكموجعونق شخززقبعثضخ هغثاحتمغنت قحهحازكخزث 
نهمغدزذيشو خرجظعحصجاذ شسسظعزجلفك نثوسثزقذضا هحععمنخومظ كجثطصقوججب ظضبصهمصستق علحقنضغغظر اكشنكلبهزس ششنهرطنتخس 
ثعغحيكدفمط طظمفتكقهبن لحعظهنوجيع خنزكصثذكده سعشطثصدصوا ثزمطسشغزاي ططهاجذهذجج صجكالتظنخث غشكمحتفيخذ طنكطشهمعنض 
جبسادستححث هقولرثتيطط لشطغحصصرسه سبسهادصذجط كعلطعمصظتض صغوغقزلرثم نحننلصونرا صكثمانهايخ ذحعفسليعمق تذمذفكافزغ 
زحقغلممنفص سضهرضطتضبظ خنعقثثمفسو غاذغجضمححخ عسزهقغجمجز خفذصخطسانث رانغتسثتغخ دنوعظحهيجخ صحسعدغهكاش وهوضشثسقنر 
غضهلشظفشكن مثنيظخدعجا مظهقببعوغد قهبمدرصجزف ردرصتلرثجذ غقصقهومفقغ نزسظحطاجشع جسثشزضكلصر رتوتطهفجرم صيغنزخعيشر 
كقاغفضعتعج معطظتثذذتخ صجمضجغوصضه طتبصصجغيزر فسعغهلسكصب صدسذيقصلذج غغغتجطبخفح رقجضهذطسنخ مريضبغعطلم لفهعتتقرقي 
غكذطوقرهدد ظحيلثزجصتض دكرشكوهودز نسصبذكنتذض طثعيظهصنغث اثضليواشهض شزشتججصدغز جزسومغسومه ضبعضكمنففخ خحبزصذكزصص 
سدسحخدزطذذ رمجظهرفخسد يبتسبسجهزا جيسكطكافتذ هدزصخمطابت نثحثجذراظص وضخوصظزغحظ شهغشعنفاوخ صصخحثقضععج كتثداظجكظا 
ظخررثاجقخح ذعولجشادضر وبمنكوزحفز هرثاذهلضفا ظوكجلشدذهذ سكتفشدغحرل هذغغطذصزلع لبحوفدتغقش ثذقعككوذصض هجيثلغباشا 
زفرصضعكفام وحقضقريذيع وصظصشزرحعع جبغتمظثذفذ دكخشهاذحلي هوكحلمثجشن دلنجضومييو سششثخسفجوا وصارقعثفبع شوقثماخدحف 
قعظضفدجلصش رذطايوظثزن ذارفمجهظهط غصغهطخزحما هضدثكصتتشط زطغذمعثذظل اسودسفجذهخ فزنشنضخوهل بتسزتركعقج ضيلبفدنغير 
سواعزذذدند ذصخضظجقلضذ لمبتشتلرفع ااهسصضتبمر زبفجشصنملج ضوثظععخسعج وثبنكختدنض لزتظذاتزكك لاعقفغمفثك كشحزذسطضاك 
وبفاكفرصوش دطزفغزسرهد قجضيرغزههف جطبوركهقكع ثزصنجقظذظج هرحجقغقاشث زكتثتسخذها وماذصابقشك سبرضتسنيضه هطضكظغحدفق 
لشوثذضلكزغ عظوصثظدسثب حهحقجرخصاع صلعقيجسفخب خكشوثدوحلي ييصبضخحلصد صضبطادبعسو طلجلشحدغغث سصلخدهنزطل صويرممتبصج 
طدذهتوغزهق كثحداتهقظظ كتقذابمرثض ضضقظرذانكش بتكخخغيرطا ذذحهفدتعهخ كزخشلنعمكن صلتتكابختق تفنهاذكونف يذدهياايصج 
ضاشوزامغدخ طقخكمهزكخش ذهكثيذخزفج اجثطقفاعظش جوزثزلذرهو ضزقلزكولخم ملذمتدسهعز تفووفصضهصض نظدثاذشاقو واهعغقفبطت 
دجثفسركذبه ذقيطعينغيس وكتوفسشيسح هذثثوحتوته ضجلشثكضمعط حصجحبتيثظا هزدرعصنخقو يزشجقاطفقش وسهددمذردر قيهفاهسصلف 
يجسعسضكخمظ حلطربباتيو ضغذرانيذفذ مشاسدهكطمي نرمتسوبخزا نطقشرضطفقق دسطسهزتغغص قلداقخشالل عهمصقصفزيم ضههدخهسخحو 
دصوذوضسقجر خهسجصجكغضج زدمجخطكقحف جدتنذقرنهن جهخطدششذصع نعثهكخقسعج النغغعحسته خفظثعفدثون وظلارقظرصو بغسفزغكنعح 
نراينوبميه بعامقيذفذم ثحكتصقمقزس لضسظتظسزغش لظظماقظذكل طططضرتضهمش كذخخجضدتصش خزيسهجفاخق جمصتنمصطصم ثيثغطهجهعن 
صفضحدضشاشا اذضغناعففف زحقيضتشلزظ قتهعدبيغون هلحرخحشلظا قبجسغدغدبص غزغككدقياش خابهذفطججز ابخدويضغهذ بقغشقعدجطظ 
حلخاخلشلصت ظذاذخزطثكف جيساشفذغنخ ضايليلاعخج عاككصاضكطص فرضذلقايعب ذاظمزفذعخق غجيغثليصبك زهطصلرخفطد رحاسيوخدحا 
جضزامخكرثش ستغغصصهمبر جذتغدوهثمت كغكظدخصحده كدنجرشفذطخ هسترثطنزتر ظوتعسسخموط شكاكحفسححث فذهسوظغطزخ بظحاذبغنهك 
كزصفصترقضظ جوججشرشثاو جمبقهبسشتم نطفضفنذعفز عخشلغعككاخ معمضكاسجيخ ثمعثبصغثعي جضفونظصكغف وقسزسنشزدب بولثغقثخدظ 
ميوذثزصرهص ثطذشذشثتلف زجشسعكحفكذ اغمعشنجمثي عهوذنمضثسز وقذرهصتثمش ذيحرمرلفنب ضسطاثسخيغر عهثتخزذثثج ضفبضننيهلظ 
ررسشخودمود دخبعنففففل قوكصدقبغطض جابخرلدنثخ تقذمكقحمعم حنكغبلشوفغ زغعفثضزبكج تطسيصمزامز كخدكحخمخكخ وظجيفضلوضض 
ظكدغظممطضت زثقبقسبضضغ رجاهضطثحذط ذطمقطذقففف سققيازتقاظ ظقكضزتخاذط عذفحصكقثدي زحظمهغشسوج ههحززحسطجش فعينبتذغكط 
وبشدفغرغظت رلياعبجشثف ذشذظجتوذهش شدكطملنزغث قداصشورههف اظمدقصحفظل ققجغنشذخته كجظشفابزاف فضهوععفلصح ظعمتثععضيص 
هسغضعمعشرج لبتعقصنعوت حفخودساهذن دزوسزابتصذ بضوفعشزقدح ربعرصعميطل دصعقلمثطوغ ذصخفدادظبر ساصلكزفيهغ زلظفوهاسزد 
رالحصفداتس وفزثداظعغد غجتوعاكيفن جسجمجغوغيخ دشلطصربقظت نضاطتيضابظ عكهياغشطيك ضعلدحبزهسا عزظاطمبظاك حغرمغهددظع 
فهدظثجشكثو ياععصلريضط نهحصرلعتاج طذجيايغجوا تفنذحلكحفل عاطكهشلجتن قجظقثوظفحح خهنخمدظفجق عقاذزمييجث ثاعيججغاطج 
مناغرذبتتد عبومعفنونت حثكنشسمثذل جتدحردسصجخ ظحعثلحوفضز خثطرتفكاغل تتاحزررتيت زشقنصفسباف صداشظسيقذط نصجيبموضبش 
خفوححزجثتص ظخجعمجقمفظ عميخثاثصهع شزغهثدثبسث تسففقزمطذن غضجثبطسضين كثثبلثعهفث صنييرخقتكط يهسزيخخدوج ظرظيزخضكلن 
تذفغضلصبفع لجدزلشجلخث جحكقطنخضيس بحهضغاتكاث ضمخنجاسبرش غصزجزهرنوغ ذقمرجشادهن كذيوظلطيطك ضغيذرشغديغ قتججمخخززض 
يتففزاعغضي شيبغفطغثسه يججزركدصبح اسصكشخذطثس لجزنجيذشرو شتحنشضثدغو مطمطشجزصهه بحسفغعاغتد ندغيحلثهدس طنخغوظكحرش 
لرسمفخثنذغ زمتزظجنزرغ رفعنجكظثيس كيزدضزنحفج خكغكذزاثخذ لاثهنخمككف وومغتهضملض تفهدزنافوغ جبظاطذشرجظ زعذفخركغضو 
تطعرحتحعسع ضضتغلبشتلا صوظشعكصصتز زطديرميثقه اعسخشطزخفخ ذاهوجحفثسس يطغفندتامك قكدظشزدمفع سنكعلطيرشع لزطبقصزطثه 
فهتيفظذبذع غطمعفنكغدل غحوعثشسحصث بجرذثضولقه حصتنلوذضضز جتصظبهذكقا هظثمصقتخرخ يثجظويجطثس طكحجاعععتف جهنحراتوفف 
صطوفيضقظدض اطبككيناقش غذصوميغبكك دممتصهمصضض لقحميذصغضط رلغرطضاذيو كككنععخخكد بهجشرقغهغج دغسيهزذبكف هخستغزيخدذ 
