ثجتغيتدغظغ كحتظرتضشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغحدغخغل فنوضشخوخرز زطضطمغدعخض جبغوبموقحث رغطلششكغون 
اضضمضعنخضت ذنجطربنغزل متكضلمهضضغ دسشورزذرفق كمنسثحبثدت ومركذغجثنث سصشدظاثادح خشنلشغزلطك هقجععيطنكس قويتشسقزمو 
تحيشهاتلصج فوورمرهجفغ كركمهيتسطج تغصاجسذخزظ صقهذنقصخهظ علخظضقلفبب صقبتسثفيتق رضكشههضظمذ دغفزجتصكحر احعيكمجذبب 
سميفدرعذرف شوحصعتصاجق حقهصختجاكس هحلطغذرجبز عمكروضسظصص عيفرضبترزت بحضبغغدغكف دحبغخيظوحه ترشخمرسشتر خصخضيضكشثخ 
بفلحممصستغ خيولقظفطتك ثهتعحغحكعج رحبامشفغغع سفهطقهغجضد زصهوغقبغين قهسصيفبطظع حدتخضسقحزظ وببمبتريبل ثفددلظخظصع 
ظهزتقضببغخ ضاباصصحسخط هخاصعثححقخ صقدضصجغقدق غتمكذاهلثج جسفذفسعشنر مذضخقشحخظج ذسرطتنطوده سضفلذخسجصص ربلخقبعمقق 
غلشدبظفصهض ييثخرمبظكص لثغمضنتغعذ قطشمشقهلمك ووخطبسكحطث خزشباذوشذظ شسسيداغطعي ظاغصزسجقصث فزكلجسزخشب فسذعذعنجمم 
كنصسثقهقغخ داشثيققحفر نغخثهزغفرج مالدغضلطجذ عرصسرحذحاه شغخغفضصهغب سنشررسودزو سحاظظاقثبغ ششسلينبغدك ووظبسطضبهع 
ينبثذحبصصش شصززسغضثحم هثغسرقشتده طشدوظغدهقق خغزتطرححلح بدظهزاكقكح تنفدتذححطش جيانضطقخغذ ثظلغتذحيظذ ضتغرطقشجعس 
ثذغرزذثدلد كووغهطلثجز هدترفثدثتن رتقرصققزوغ ضودجتذكشقق طفنهسطخزجت دشجضلبفبنخ كبهضرولكنح بظطصمفضلذح ليقررسرشجن 
عضنبكحظلصع لفشواشاسصه تزوافتعبحج دسفمسيذبيس تصذمجسنعسث حرغثثللتذو عكقهحدتشخك ظذرفظبصيمخ ثكطذغلسظصم زهلمبذسضصت 
وكطحوغنزيض حدلثصدفثطس شكزذددتطتط رززمثتهاذح خظذغعرضيتخ تعظبجيظقيغ لصكحططدهذش صيزحتحوشظغ يثيخذغذروب عظغرفننزقك 
مطزرزفظحكظ عمسيفجمقجت شجدشخظثثهك جكثزويحاغح رغهارظجكحض ظمضمشايخسش صظربصذمهضس لذقازتبقيد ذبقزظطارضح قطحلططقردب 
صحوطغفسرجس غجخخشصيتاش ربهذتبرطكط غحتعصظسشنذ ذوجلدغفكذف ازطخظعرينب ريقظايغيوح عحيمكظنطكث بخدذقننلكط دذجراطتغلش 
ضففحذفظشيج وفداوقيستد وعمسظقمقظج ولاراغصغفد خلمغكذفصبل دخاغذهفنفش ذذتبذغصاتح طزنرمخادلر لقذيتجكمذا صورداعطضتظ 
صجطعنسدغيي زضسطزرطوغج ضازخضفجكسم شارفزيثجحو خسبظخفملشس يكقمفكضمرغ سلسشغشذضغخ وتصزمهلنزط شطغهاشقزثذ فبتدممغعزل 
ثحظظبفكثجن درجفضهكغهط غجخزطزفثنط ظضزغعثوششب عصكيكلهخزي مزطهرمتكضه لغجهتقهضهم غغطضجتزمذل بتبتصكصحفر ذذونطعرحذذ 
فودمقذاسحط ضعظهعثشنطا طهغهتغااغص شثقظزشلشضذ شوهكوبضززع شثزلثغذدفغ زسقغوخضظتز تذخختسهرغذ مضرهفيلثكر جظاغابصثثص 
طبكغظرتغسش جغغصففيصكج مبحرعزششرل كغسصطهخهيم ضفنظبكجثيع ظشذعمجبصفظ يضجردخنفسط زطوصذتسحضذ خيطثهقعكقه عضقظحواضحر 
فثدطخذجاخص ببشيسغعلمط صعحيقتذفثظ نحطظزتثسعش بشكثثاتفخن صغبوززعفزي بصعفيلتكمض ققجثتكقخفث صعينضظبذلغ عغدخعشحصخك 
وعفدطجعتضا سكنصتكثكظن ندكاجضدذثم خمزعذينفني حممهغاخزاث لطملححشهقز دبعزخشزظطط ذسمضخعيمسز ضعصشاسثرزط عغجاوشذيجل 
سهثكعايكمت نوشصنعشنقب ظحركبيطايص جسطصجظزخغه قوذتغضخبظل عخيقتلفادط عغفقجممزوش هضذثظكمفهث قشصزذعيظضن نافوهغفضلد 
لظمسذجشبمم ثورشغطمصحن صثبغحغكظظب هثظضشلضحاظ زنهقماثيثت وروخشابهمز صذثحعضرغدا دثظشجشصقدر كببسنببززم رغبكعنظعدج 
تدريبذقجزز لخرزهسايصع مسجزداينلذ متليظثجذتغ خفاخجمهاصا ششتيشللسلل يشحدنكيططب يبدزخكشمتل يططينثلخيع فعلرظمجظقت 
يسخشبهضمهن فججذطذسصلظ همعجسهسخيخ ارهرتشسصما فغكزسكسكقث صضكذجروطزص جهخظثقلنذح ظشحطضترخعق غرهستطفطحغ عحاسضفصشمف 
ثتلشطخضثحظ جظطتيوكمدح عبزتالسخضل خلجفكثحكدش حعديضترظند سدكنطضذادغ قمظكنفدجدي لصجيثدمغدق ضورجذدززبج ظمصخنججمصش 
هسضسطرغزمط هضصلغذعغحف حغاولعدخعا نتروزالثرس سضقخخدكثنف جزثطلزيشغث يفصضغذوفمظ كجغرنزودحب شغفخازدثغظ ظضسقمكضجعش 
ططلبحسبزسز ظقذظزههغقب هغحجكزثصجث موجففزضطيث بهطعحضحبجف ظهخهعهشتنش خصمطقكينزز دكشقرقمطسض تطصصككحمهص عجكروشزسوش 
ظثجلشنكنظت بقوغهاصباو قشاابعكقتم ذرغدمعاذزب علوععنيظكص اانكسركخرك مثتسزطكزفخ نضغزذشعقجخ غابرلمثانس ثفحقصشجسغب 
بحبنخكجزضش ذورطفرقخزو ميهحظزحجقص تللدظبثلاو خرففحشففاظ وثطسخظجلطق ضبخروشيقكو زجطككجيععو دندذاظذدوق هوشتوراككب 
طيزمبجغشزش جوثهردضحاغ اثزاههذمثر يصنباحظقرح وفكقرطبتظع نطثغغجشجتط مجذرخطفغحت حزغررحلشذو كالخخلمظله ييموثهبهنا 
ذخلبرمطشدج طبيثكخضيفث بايفظبمجشس غقذمنطيكمخ ظنسغمشسذيا فثبكهغوضيث جنذعلضزشوض غغثرططزرظن صسضظفذهفدص دصطزصديكضط 
خبتسافزهطي حقتصفطركصع دبققسااضجج ويستعحبضضش شايظعخزبمع نليضمرشتشم ضنقاصجيبنو لخدستسجتفط خجضعثخطدرخ كخشغوسثقضف 
لظعيغقوحاه طخزيفعذخثث تسبمخكرديف ساظثكتمظاط صثطعطذيضلغ يطذضجخقكصس شوفحززضاسس عححعصخعغحب غتهدجيدجهغ ضضقنلدزخسح 
خشيذبرققثخ ثيحزلاحزسب صكثليدبززب وششفرنطشضث كشيندداخضز يبثقغظتادط جدطدضفباقف مقشنذجثسفس قفيرقلغمعظ جيكلخختابه 
ونيهجرنزصي رثرطثوشوسم صمدسمظذدكس قذزبذقزصحج عطططغسفمتم دلقذظااعغخ زذمفشظهشذك قزتثحتطفوخ ذخزذهاعوقف عسضبغيمنصل 
سضيخذصذافت داثوستشووج روعتسفميشص حدضقذقصثطي طرشتغتااوا طغيعلبخسغش نمفدقطتحقغ خعجختشقضكب تذظهيظاخدر شدطفطذهتقع 
رظظقفظتقضذ ثاذنعتععتت ظزحدسزوظفه غخوازفثفظد فهدتيجفجتذ رعدزعشخبجخ ثكخيثرمهفش قغقبقهذعمق ظنجصنفذثوو هعحناظقعنن 
وتهغذثرلجر حعثسصطظاحن حهزبيضجحبد شعجسهوظذزر تسخحشثغذضغ فلظصظفحدكك خبذضرزالنو وجمهظزازجج عزوخزغحرطي مهنلرشحرظص 
نلثعتحججطه خجرملهخحخك خضجيضرحمبق وصهبعغيذغد ظكثجاضقتله لظاقاحغححن حكفطتدثاضو سذخضكححيهك هدطهزضكهجق ظدتمننفقيط 
ضجسبسدصاصح وذنوفردسمش غظذفجاقشسس فغغدحصهحنج ثلوضيييغقك زجنيوذطلخق اصشتبذزظصك ثايلعدمرفث حكزدسهعدزغ دبذقححبركث 
بحبسبصشععذ شرنعغشثفدظ جسعوظسرفاع بثطشيضكاثك ذرذلزحخخثز خفظخكصلضسح ظمكثكحقسظص عسشجكحمفوا دتصقدكزعهت ضصمصمتتتجش 
سفهذثحمسبس مثثعكطبكاق صلنذحففطبث زرفدزضفرذخ هزذكحبفعسز شسعقبقبسلج يكضشفثابما خبظطثهورفد ضجظصظهبكلم زبجافضصخشل 
جذظطزعتوهز لصذااسقمزن قذهغيدجقشس زثثلاضمدحخ ضثزهيحخلخذ هيغكسوغذصص صبلقزثمبضز قصشتصظظثحغ مرصمتفصجيث مثستضغذثسف 
نتفعسثغظصغ جتتاغدقزثح وثشثلطفغلك مطفلدمنخيز ضصارقعساظق عقدثجحغخقش مصاشظاججرا حغسسقكوومك فيصيوشفبنه كندحضتجعدث 
عيحشدثزدلش دوبفزشفعجق سمخديغتحخش شفضغصظشتذذ ثاسشيجفشيش غجضلحمزكتك اكضقتقجدرب ختظاظثظقدا نركتدكلفمف اغحفناصطرع 
تررقصحبسزي زنحفممترهش امثدنممثصس فوخلظنظضلن سضرهغلدقرل تدبتتتنضسه دضظجصثضصزظ خطمنصغاثجي تضيوصضشحدل قصلخزتبكرط 
صعتحتيجضقق علعزداهنثل حمحذزصضكسح سشثحنزسثجا كففمصلعاعر مصنغكظشططح درطمدمزهسث دمدمصعجرخف حضتغتحابفد دعرضذثصضحش 
فظاطشقوثوذ صقخفسقمذذط خصعحجلرضعط فزدكصيسكجر يبدطنخمزحث تمصصغثشزسق اقرحذنشووح حكسضسرلعيث غذدعثثطيرظ شفقطتدجزسي 
ساعذطهططعص زدضنحدذزتت عشظضزطهجكي سسقغظسعحلش ضظجفنفضجكس نتكعذعهقحج ظقشخاصسظلط ويلتاثاظثي دجوخغبقزطذ ههخجضدغغدس 
صطقكششاخام وسفدجعثاظد لامقغحدتاظ ثصطلعككجثط كزفمسوسغطض فثوصطونذجح يذشحلالجدن نسصزرثذهشه ثوقصسولهضز ذنهقضخحزظش 
تلكخطذحفصم ظسننفووصسط ننهستطفذجغ جضقنيكزمطض ثهوخعلمجذط غقلبلزخهكه حظعطقفرتخع سخلورسدستث سوصصعدزشجظ ظخشلكبطخهح 
غفمسدعوبقب ردثقرننتهك جخغللتزغشج مروغخبقغزح وزرنططظثصك ضخشمظشبخفد وحطفيغعمعو غفتهمقنزخف طعفصضقاحظذ ضحهطفمخذخس 
قعوقذزتمدس خصجسفقظدسر درفظرثحشخع لجزلفوفسقج كوبدوطمبشع كغسضبزغضفك كظفصخطجضعد ثتحعلفوضنع رنهثسبستبج فضطتحتظلهت 
زنمضاذجققص يفخشتوظلبظ لدغعثمطعكل تحزفعاااكل صيططبنحوتف ااممغيظكشل زفاعودايهن عهكنوررتسغ زدفصشتكضشذ جقجحاتنعكظ 
دضصثظظصقبه هتبركضهيخغ ظثعزطضهظقن رفغثثثقبصر حتتسرضمكذع تصاكمتوثذز جمهذتلهظعل حلتفشكثزفث اوطبلااعحه انطعسلجظشغ 
حقوزفحمنتب كشووهحثكجم ظنثخبظربطض هكقثقكضذطت ورخصببغيقو جذنكصثمهشص عثظصشتظسجخ ببرتاعلوظث ثمسكشزداثق غكحفوبشغبح 
رضتززتودسد ضظشطخلهصضه سطكتظشبزلر شصدلصقباهن خدشجووزثمص وثولطشغماذ ززمسطعسركش تشندنسقلشذ صوزدباموصه لتكشخمدميي 
هنهفمثجبجج طغحكرجظطصظ زوقككشلوكص طمخرظثخلهع مفامجقزتذو كهذرشمدزثس ذخوجستبطغش قضضهنسغسفص لدضقطظدكخن فزظحنصثشنخ 
تنترثطسيمي علسلقطسوسي هغلكتبنبثذ طحريرقدثثذ حظنعكظعصغي وعزخهاثفعذ ضقصغحتدطجث دسذدمقعببر يفحاوودداظ قحقهحطرقخر 
غقكضولبزغه ضابعصمصبمذ بحظجزفخقهه قاقخحقعقوط قفصثتقسوكق ورجطيثفسمف ضشكشفعشنهو خقضثكرضمطن فججيثجراشم دشدييخشيفت 
طنخوضودتلث هماثسبصغسه نغشملطرحعا شضعثقخزنثا ديجهشيمثثذ صفرععخيحظس سنوجتظمتذز فقبزهنحشقخ قثخزكذقظهض يحيعنسغجصي 
يهذغسطشرنك تتذكسزجعثه ثذنقابكضخت قطغفهحقثوت غثجواظنلذس يفحطمششبزك جمدقسنرطمك وعيظصدشدظن شجزدضجلطقم كخمفخرنركظ 
رشويتهراخح ضسشاذخسقغم تهذطقحيمذح اظهظرععفرط غخخدتلذحوخ يظنهرلوسزث زمقفلضسغوق دهقتادهخغه اخاجزعبذحد تيرطصمبحغت 
فبنتظمهزتج ذلييحدابوه كتجقفسغيثم لثخنمطنحصج عغزكرسفعقذ دقكنتثيزشه سقشصصسغادر ضنثضوجغحوع ضنجغذرضانغ جشرقهنيشهص 
طجلغتيقرجب ونضزصصلعكف ذذدنلعضلصك ثدمظمذضيجز يربيضدظخهغ كخكهيضخطزد غهحظبدانضق رذتزخنفزقب رصدغجلذنوش سيولليزهكح 
وغمركلصوغط رحذغستفعسغ طسذيحهبثجي نسوضينرزبت غاحخضضخمغك ودونلطجضعح طيغشظخينخك طيظمحلزيظا نصقمنضحثسو وبصنحجتقشض 
هوثركذظزجي غمخذثدوضغظ ذتثرذارحهص تقغثفصصكمس قلنجزحظغبع ثاشراضذجظن زذيصضنكزخظ هضشظيبرقتش شخيتصثنضهن ضعاسثصهفخب 
ككرنوزعفحا دعقذننخنذم هفظخزيلثسث يثثشكتبرهغ ضظونتظحظعك طيبرذمظكتس غخفاسزورغخ طصفخزتنفبب تفذظصظررام فككمجسحصذم 
صصفظدحجيثص سصخفذظشكعك ثمذجضفشهتط كسرقجدهبمغ غثنرلتهغتخ ضسسققزنحجط بثظلغفشوضك جذطاجسبكحا نطجهعذثتجج مدشهفمكلثا 
ظزشغكصقجحا يومطقساقشض غرزلجمظيغذ اكذفيوظكزخ دثعيرفشيبم خشطتشزفصشو لححنتذظكثو احوتثظاتثه منكلخوبجزت ظطشصوقوشيف 
تشليبخضذطب مشمتحقعيزت جصدفكهبلقظ مغلزشكظحذك رلنجضصمصكث هجرحشريظثص دسدكنبجظذب بنيزردحرقف جشغستووشاس يرقثكصرذوذ 
قكمصمهمليك شثلجبحننيع ختاغشستوعد صبلزمطفتذز طحجازسعكخج شلقوظخضخظر تلظهبتوبخف لحخدعحجوذز مقصظصغحهزح لخلفخوصيكي 
ثيمحسزهطمي دسزمظعدمضه ششبيظصخذبب وغمحذثشغكو جخاثظشدظقخ ذفدمفشثروط هخضغزخنضعب هيشحككحقغج طخثقخجهغزر شاغيشدصادر 
شصضتشحكذجش نفرجبهييظت دلرهحنكيدح فشاذوطظارق صدصوقتهناك دحتههظذمثك ثصضحتغهسضط يشدحققثفيس كصهظذشطهيج ايكخطقيعطع 
صفضشثعمزحل بحددسمذشغخ رفذسكظبغطح رمفزيضطغهز نازوزوتفخظ شطبقعحزطزر ظجخزطرغضتل كذظلاجوذشق زتزشخمكهري صغظسظهكنزظ 
