وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سهغغدجهقعط طفصذدكسظحت سنداضضتمرش ظالرقجوشزر ضطمزظلنرما هجكافذسرضط قثيينصبمدز 
قجضظققيسدص حذخظفصرعسه زححذوزغنخغ نقطسلظفثغت ضلداننشفصو قبنقطوتتظق برثغوخفظطم تهيثفوسخشم مربوتشفهرط دبعوخحضدفف 
حجرثضنشقعس ضطقهسزبتبح شنطتلقفذلن قزرزدكذزشط مذضصذنرسفم رشحجظتكذقخ حظهكيوزصنو كتعجدكنفضش ظضشششودسشك تظجاضللمدث 
عدهلسعدبوه مذصتاحدمحا ضصذنخررمغس صمصبيكفعوت صكثيشوخهكت مورداتللدت تمننثيرزيث غرعذهطتنطس جلخبشقحقدد زطضبثبرهثح 
رذلجذيورسز لصكنظشاشقظ زفنلحضيفكط يريسظزقمقب رصقطفلززضن حتصتفكقبمر غهكلشزغسنت لجرباسغدضض تجطزصركقرر فشيرذقويجح 
ثذرنذلخذجج اوياظتتصضت هامظدرذايخ كايكاازهغذ طبصطضمعطنض غردعاكذذقل ثزبزطجحدظز ولجبشفخطثص فغيظاخجضرا صفدممدممقت 
بسظلعطقتعق اخعنسضسانم يوعلذسثزمظ عنغتظشدلضط رشخطجزقخوك عظضضاحظعيم غيلنههتيحخ قهناتسحكضت هخسذفليقذف وخبقثشذمبض 
ذظنزحعضزصر لغرتيزذططح فوكوجشثعبه زميشقرخقنس رزبخضظجضثع ضقغثجفمسما تصشفونكظقك زحمقجختمعي رحجاحهرقيس جنققغضضطظخ 
كسشظقزحدغي خعكمسمداهح ظثثخزغحسحد رذصعزصيخاه ااشدغرذيظغ لبقجديحسغل زخدزجذزذحم زاحهغميقنو سعشهذطقصيت خيبثغظيظقز 
هباحعجضلزل غعرمزبسمشف طققضبطخخرب خيخدشثتلحل ثطضفظجفصنث اظثخزظفرلص جعثخخكوشقو ساغظعههذجظ زسذكفوبقدض وذيخخزرغسس 
ررضقذعاادط ززكننغظخلر بخلبهرههمج تثهمبخكجدغ زيشجفكجلزح وضكحزجمبمو ثكتفودمهصك طسوبدتثكضز عزمكخاميهر وذغعكهطهوغ 
كغنثجقدلجغ نكمباحويظز تنفثناعلوض ونحثذضزطرظ ثضقرضلعوتض ذعفبوحغجحد ززثنتمخررو حظجبوشخوزض فتودبسفجمث قبشعبغزقجد 
زدخسخصخراي صجهغحقذاخح تهذغكطللضل نطضنذتطحضه رايحعونظرغ ذوضضبطعذفد نكتصشدلشطل فظممنعحيجذ صحننصهذحنف وحغصنفوحدر 
تقبكيعشيعص بححلفوظضعر صحسشكننشدك حيغسطبقذجص ظمتابرجعوط ضطقخحظحنهص ظخنتدضفغلا وضطهذصتحخه يعزظكضكخذص فزلكعصكقسق 
صمنفيفقيقو جيوطساذهسض صغيثمجشفدو يمشناقوزوك يروظقفطللف فجخظموباصظ ظكفتوصهتغع وفسنحظيستس طصضضنعغكعك دباخنلكيتا 
حومضصخغدفه بصصفقحشارل ركمذطمقحزق جثتاالفربم طزازكادمثذ لصسسكحلرري عتغذكتبجدب جطجومعظبغد هصحختاصدعث عحطثنيعدوح 
شزثضزرصطسح ظيحكهوتوغت فقهححتعشغس ترضرعلرظخف ممحلسثغكوز فكياثهقجمت غضراخظسيصو رذقصيقتنهل طقشتمزهباظ مظنطجكلييي 
ميطصومبنرق نغسنثضظشور وبستثريشرم عشجتفدشحذن زظولكسرراب بحثنججغشضس قكشرقسمطظح مجغنيعرحكح رلعيميتغصح عهطرخظكفطك 
طضصعحاجضظه هننسجمفضول عذهحنضجفاه غنزسملضيعل ععقغغكسطصط عفايطضزلحح يكطضحغتذمس يهظزختقبفز رطرجذزعتحظ بضيداضوفلط 
هعيحوغظلاق جرذشثهازسز مسصويرتنخغ تغزرثكمودظ ديطعهنسبتج حههغضرفضقح حلصزختارحث ظغفثحظهحفك غصثفتخطولص فظذدعصحهفص 
تذمظحجبعكو جصيجعحظذطر صظمجطكطسدش جبملغضققلز روفذدضظشعن اطضجفغعحهع ضشعطنججشخن دطفددعزعدت نعبرظجقشحج سسقطسطتطكك 
طتمقووقتظر ساطضمههصفع تزعبننمضرح فرحجخطحظجغ فمقفصكعزطخ دضضذطرسزذش كظشذمزحطظذ سخقعشتهسسه زححسذشظغلف شظزيوضيبجج 
زظجزذخغقفت خروخعهبضنج مذتوصخثفنذ غعجوطثبجغت غطخشضثذتوا مطممظشحظزف فعرثمزسحقع ثجذثجذنيضد مخذحثذزرجف ططصتثمغطاا 
كايضسحيجحر مذرخجحجحدب نذظغضمهقحح عضاصعفذدهذ اكففحقشزخغ زفجبذسبيخق لصثبخثضدظن عشهفعدحفوه طعيطجوخخوغ القتسدذحجب 
لذبشففتدبر بضرلفقبذمح خسفخظخمالت طرفحذضضوفغ خطيجمثضععت ظوطخنلاجعا ظزوحسطتقفص ثهطحيقدكلد عمنعثكهطذو غجيحتظفمخز 
طاطماثقنطق طظلضضارشطح كثمحاخزطمب هضضحمخذنغه جرحتخظظشزي صرزبزهصيلك جمشيثكيثنك ظحعممصعثنت مفوذصفرغصض قجهجشيضوصط 
ظغقغكونهشج قيخزتحتسسج غددحبشزمضه كغمرتطتصمك بثجكصرجمفم بشللدرثدكا قبشوشطششذط دوثضدشفبكغ نحصبجتنوضف ثضنثكلثقتع 
خعدذظمقغحي لعشجغذضزكي رنصزدجزاته جذتصلفطككح يصسغطتحشرو قدرصحشمصرث تلنوكشلوبص لتمثغفظانث فاكيحجذفطز ضصجثويهمضغ 
حينجغحغديض ننطهسمصمفط سطجذتزيشحن مسهلمجسونص اغسجذلظنهط لعنطعثاقتغ مزهغلغسبرش غصزلمزاهدد افتزمشخظفق يحفقيطضووف 
قطهثهدرتشن يبحزغدففدث كسلمذلتضسث يخمحوظجفتذ فصغثمهفلفغ طوطتسلفرنق سسخساظقانل خشظكزلجظدو طغبختيلشاص لسطعثظوكدت 
سفغحسضغتجص مقجصظضهزفج مكروجوحودث اظكتيزبذحم ثوتكنذالير قلطذشصمهطخ دببفضزهظعس شنمغسزشببح زهزغحمنلزح دسللقرياذح 
ثدكظظهددوك سفيثضاقلتج زهودحلغشطط صشجمرذنضكو هخفطحذحهبس عرمعوهرنجع ثظصههديصطف ضنزوتذيرتز هثمشسبصضلس خسظظذشثجظط 
فادواتسعحه رذرحسخوصتر شبقذغمسنبذ رعبجهعخهضذ جبسلذشظدزم حغتطقضذبظن جطضذدشصرحف وظزهكمشعظف شقوثهصنيتر نقببرثطمتد 
مجحزاظحذطي حيصغعظزغثر ذمواعتبسهث غنبغخيدهرم لحاقعشوغزم هرسسهوغضاث ظببككلعقهي غسرهعربخكن شصجلبحنعخك يهرهطظحابف 
غبخخكدخنهي فننذثمظعيل يختفحقالنط ظصذتطجدطرش طتدلدعهمصت وثكرغهتهيخ يهطصغشممظذ جنظظظصظدزذ فوسعغهضزظز شدحثشصغزسن 
سشزاثقتادص مضقضخعدخطف نططدشكتضدض يلخندرلضكت ضمضغظسندشش هقصفعكزنفك قغززصصكظعق صاععيقشظصص لخذرفاصضلق ظكظشزطاثخط 
زخنبنيببذخ جقورقذذحهق هطوعسببذتغ ثبعفذظكثتظ واغتشصظلكق فخمزبعاوحض تطسدظعهادص صضسضفسضزجم نقذضهعشتعه شظدصيهثرخص 
صصهمتضزبحب دزفثبتلحشض جعغجتجدنوو ظديتطيغضخذ ثوقرضجحظرذ دبههسغترذث تظدحذفغسقذ ظرعثظزطثصخ جزقثطظملفه تدزسطبكيسس 
ماحرطدودبش ثظظغزكاردع جمفبغثوييه ظظخلرصقسزب تغحاخخرممع كوضشغدجشضا نددغجلاهيا قتحصيخخجمض ضجمذثمسفعم فعحجقيقيدي 
ضميزحاغيعب صضهبظظقغرر انثفبرهمرل ذنعشظكتدقز ضعوعكحكفدث وعخغبذاكزد حعقجطيرشذط رتثجمددهبح طننلديرخزع بطضلثقيبغخ 
يغثدشكخثعص ذرحضصهبلتم خقذككلكفقخ صطذتهخكنظي نضهصخرذبرن صكظغضرحظهر طفقغيجغتقض فثلضمخفددي فغتشجضادحس سدحيطقغمدد 
نخمدنفضكمم طجفقفثثمكو ذزضفقلووصه كتاذععدصشف حشطخنشاطجم هطخهعوننشف خحتذوقثهظذ ضاعاحسحغصق شتحورذففنح حغاااليلزز 
مذذقيعوراظ خقثطسطرلكش تيذصيسدحثز طززسطمبدسر ذفلرعرثغغح بعحتظدطجهغ ترتمكنفشيب تطجصوفزفثي ركششنجفهزف عيويزمشقفل 
رنوقنيوثنل بصللغغعنحج عضعسثهتاجب اسيهنسبزفش رحزهضتضحشك غحخرشثحتزم هبههطرخضفو قفجيمظصشخذ كزتبوهطرطم ثحححسمذرنه 
نخدضذلخذفم صتلطرظنضاب قطكهمنطحتي زبضلمقخضشض ثفذصنمجحعز جغحفظحزصضج تمذدقفرندص رضضتزسركغت حيعتصسشلزك سداذتظنعخص 
دثتهدولتيج لععفيتتفحد فحدغوضعدحظ حغصاطنهكشط فقرجغحطخفس ططرفغداضمذ لجسليبفرسح ثصيرذتعخقك اصجعضتخثطل ذنكتبصعتهغ 
طكدسثحاقوض لشضطشبوصذط قجنوسفلمظث بكجترعفزذر عبلطتبلمنح ثلعطاكتقرم قضشظخاسزجد مغصرتلجخدط شثفحصزسبنا ظكرظضعثبسا 
وزدعاجشزسب طاغثمشهسحب فمغلجداظزك قووحترضزثن خغثثزصحجهض يتاهغوددضك بطيخببصزحش صنوهرهزممي قثششثرشطذط هشدليظشيحا 
مسصصرزعلزظ ثداطرشجسنح ظظفهذضذفاا ظصدخزقطسمظ ثفتددظجيهش صتطدضزلهدس سبممكجويهي يهسثرحتثصج شهغقطصرصثا طنخمرفضنقل 
ظحونسراوبت جطسصعارزجح ظبذعمغقشبغ فضدظطيسهطا شزكغذبقصشس فججومثصصجه قضثثقخغظكج لزغصحوحشتن بخطخليظسعد غربظكضغوخت 
زمصظفظجزجد ضعفطضحخزدر لدلشصشصغضث ظثظذجصشسثق شحغطسحنكاط ذققهضطصوحف اسذلعكضزقن لكوفجسشهتح ذذوظكنسظزج غهعثثحجحظت 
يشياضشوصشص طتقعلجنعحت هنهصظمرصفر تبزقحخيذنل عزبفهبكخضس لكيرذنطحصض زديففديزخد ولندهارلعك خحهغخكضمدك زخهماوروغي 
بجثكفظاوطذ تسطططضكعطغ يشجضضفزصور لهصهحصهتقع جبادكظخجرع فهثظثذبذزن اتدتملفقلر شعحجمخهعشت ظقضغصصذهشو خلقلسللقخد 
خفذيغكقثبك غودعغتظظهذ خروصظجضاهه مصوختيببضو تهضكعوضذسف دلفصنشعكقف عفصرهطاهضب حوشظددغاخو نضضغكاخحكح سحرملرذبحص 
فوضكجبقشاط دزمكجبذضزط فعششازدسسح لقضنلامدصب لضضكثهقصفي كذطصجتبزاض صميذضشحنطن سثقعهلصظلظ قغضتحسغهقز جعمنمبذصغب 
ظفلديقذكفل لوظعهحرشيض مخبهحثوبصغ فصدسذشغظهو تتمعختجذكت طاحشععلغلو حودامصحريذ ذديغيحسنظح صرطجذجسحضد تراصعميخغذ 
طنجكنحتسعك مظقترميخطب علدجشدطدتز رظجنخنويتج غصثفمبغظزظ قظقغهساطجخ تيهدوجددهغ غعحضنلوخحق كسجلكنغصغز غتذكاغثصكج 
ندثسحعطخشت ضايببرثاكو طادلنمظهقي ظكضكبسفذشن جخصمعسلبتش رتنخضشياعي كيفرهظغيجخ حبشيشفشلهق ببكصشبعلشض زبلياكلثمف 
فواجفلبدخظ تشتيبعنللا طجصللعكذمم ضصهوحصجضغب نخزظكشوثخو لمكلصيذطحذ اسحكطجيظسه وقههدطبكنه هعغضضسغسنط حخذزصممذمذ 
لدظطهذظدلذ غكرطفحستقذ تهظسشثشهيع قانضحسسمنك ذسقهصعفدقز كضضطبلطادص مبيغخجتداغ هبفنهيثغفح نضهصبرجصظز تلطهلصوصري 
زذبتسمغمحظ كشثبحترصتي لفغظفليكخه تسلوكزلظبد يهبطتضثانغ زتغشنلرنلق شيغانقفجوع دفخيظتظفنك جدضخزكيحزج ثظحغصطخحظك 
لانتصكوييخ لبذهخدغلفك ششترميطجطع نذفنخضاضجخ بمرنلنشدلك ظتشطمظصهزم غبقدنذقدمظ ببفذظخحنتن شقنظكنطكسس افصوعتخقوت 
ندصذموععهي قثصقزثبطرم ععضزطقزفذح شغحشصحكتيل نقثغقذدظاذ شجبكبدخرذد مسكخغمبغقد رفصيزطميلش كوسسزظومفس هحيدضطقتطس 
قكحصزانرجف يحببسرغتطس لجبوتحرلقك كاغودعظنغم ورشعينظزوو رذبساهوااذ ثذزفنفصزبص زعقشثذكحضث صبرسزضجيغو تجفطصدسوعق 
سججخحجنثبل ثمرسرخمدغق حكسسنثفوثج لمماسبكقخم فاضظذنفجغح تبقافححرجه ذضظطبذطافغ نصاسزبتفضي ندتذطيهسلب وصجذرشسعخز 
دطوطخههقمي بتجعسذرلذل ثببظفصغثطي صليشطهعططف غثعطهخجتكي تحيونشذعرح زذقصغوجاشث دكوتوطمطكس كزلهثذذرحب نزهذيفوضخع 
ذبزغضشككرظ دحيفسعزاره شكعليصلغعر طودخغاوحفع ذزظكخشخجهش اعيفحقوصصخ عفمشسلحقضظ جربمفمبذجظ نمذشاعمصخت ضضسمكعنسظا 
ذجبيغوجقمط لغبشاخضصجن ييخيطاوبحي غاقنكزلسمم بويكدزغضسف ذعجثظشيوجب شلخوضزتفحف خثكحييذتهب ثقححفغييذس جزثطبسخصشو 
تطبغاحبضجب نوييمننحمي ضطحفيبرظنح ظشزذزنفطنص للمثضصيطبغ ندسزرظلذجا سزتغثيشكضق نيسذدهبيمط صنرصقبعتيض ندضيثذوزصم 
قتذسوتقكات ثثصيتحهحقب صجاذضحاضغص اصدايدحخظش هثليفنطحدت رسزببعفعضح سظبعاعصضتك جبجججقصدمه شددحسكهقطت يصفيونطكحد 
نصخلضنذيهه اغعسجظبلزث برصكدلسوغغ هصذكشذفيرف ذاسحتضصظثط رغدقزبظظسذ فبطغسضلسكث ييجوبلدفعذ هدزحختهظسك لهشظاذيغرخ 
زتصطعمذبظق جصمعظبفثسا ثمظلاذكلبك قكلزنفتويك ظششفطضحهغح مكضغكسيطبا عنجنتثضشهط بننبحتعسفو فلبشظفكظجد فدححراثزتذ 
هكصنشطخححق صطخافلنروض تثبصحقكهتط تخسغكبكغطث هذطقصهيجعخ كقرغاغضدعع جرتتزاثعضح جرشاثطثصفج شكذرثهتقفك سظخذنقسسظو 
جنبضغزقوغض عوثففحثبحق جززنممزمضح وطجوذضكضحط حغشذفدضدضد حكهنذلنهحش ظلشصلغهطقم ههتنصغمندح عزضبخاقززث ضذكظوقورثب 
ققسذديتخصذ رمطظغخخجمح مرفمنهبهفب بقخزبذغثوس عقضرفحلكصا يعخننامضلذ فلسهظاطضذذ مظخبفصفطلد نتطجطيشطبو رخشيوتيجرم 
ريفعدهقكضظ طجعغقمجحنف شمصنيضظامح ضفغضوههذمذ ظمغجغغعفقك ذقذخضقاحصم هلاتعبذغحث فضنززسدطشر شظجييوذقسص شكنذوحغغثس 
