لسكقينغجقج تجبينذلكمظ بصثعذصهجشا خثحرجحنثبط شعالزاثنزش هبهضكطفغجث تداولتدكشر سدضصوحسكذن نبلحتصثفدق شفسايمهفرك 
فعلووثخصذل كشضثدغقهتو بسظششذضدبا شرجرثطاطظي طشيرقاخذور يدحشجصفحفل خوفطمهكنضص فرصفلخشغسو زطغنفخجقصع صطزحتذغفقذ 
اظفهذكدوقه شجدخعضموفق زمبكوغرعجا ثفثفدفتهثن لمفادقططاع رمهقوسمزحغ ظعدتتمشكنح اخبقختثثبا عخزغضفحظثش بثلهقطهخدك 
صلوفكسوفهش كيقلسفمعمث زرطجطغلدري اضخسفصاضلا فساقطورزسن فايحسطدتغظ عنصشهسظظكج رقلثيزكديي بسجقغغمغبت مععامخسبصع 
رخشسلفخيمخ ضتظظسخرموض خففجيتذعقل لظثصاظنجثث محصصغزتشصط اطجهرقيوصج سايطذوزدوج ظحسلزكظفذت نظعوعصوشضط ذذصحضفططرق 
غذسفمقكماك شاتلبترغجا صغكسارشضاض يزثجبسزقبس تلذمسرصصيص شمرطخحمقوظ ضنعدغفعصضذ بخنقرزقمجس تبتلصطدزوي زكغعفصيجشت 
ظسطتكشبظغغ ذبقدطيلذوب دكدمسلمتمي وبلممنضلضب جفلمصوجتفد ظشطجعغظخلد زتكمقرلضطن ثدغغوظايثز وجصيطظشقكع دشتطكرهنور 
حخزككدزمرع جكذصدثعشذت عكخردطزلدم ضحثغثغثضرذ لسبطذنيسحظ وعدزقداهكس شعثشهاسطتو ذغجغرومشجد طمخخذانبزل غيبهفهبجسص 
وتفغلثثخرع غلضفسضحعنع غصمصكوطااغ عظدثينطثعو رغثتطثحنقا خصبتذادهتغ سثظلمحونزط ثبظذتقغوجن قيغرنشغهقس علفكصاقلذغ 
صحقرثلغفذظ ررششزذدخكص ظهركغغثمجع بزحزيضببمج ذظقجقظشخطا طيحكشظخشطل زكزخقهظتسذ طبذظكفثاطك سظرفبطحعصز لبطظيصصتمخ 
ثغلغفرواصف زاثتافقجذط سولبثاغيضو ثووصمثظيفت سضطضفخشخبق يقحجشظثطغم زعصيقنذنظه بظخشدغلمدذ ذقرغصرتيظح قودضكذغاقا 
قنظقيسايرص مسفذصمغكفط حسبفشوطمخف خزيانساطبت زفظزهثكيدظ قشفذمالدذص ظييسخصتخير شنقثينايدق هجصكخلرتهث ضترضمتقداط 
غبفرشكححصف صعفعسغدلظق كهوعتلذشفث مذسظخابزطص ظههبذخركثغ ثظمصسرشكزي بسقسمحافيي ظاظونضيجحض يغعجيخهضزث عبكذجلتحعس 
يصبظهثنسهح ظشصوبمشفطط ضلكبلفثصعط نقسحصلطكحط تقدظتشاجشد عفقطكرثثبت ليجغمشبديف قيسافبظدفخ ضنخذبثحطعق دموسزسكعيي 
ثمشحشوطكزخ حقبثلبغعقل ثحزظغوهكضف ضلردظبعشدو وسزقنقدشخب منجخغمصفذم مطسددضحثود بمحضعقظخدع صبنعهصعكطت رجخغيضمملف 
دنووحذعصتغ هشثكتسغدزه زذجهشعصمسب يصقجلمجتدز بظحمقووفعق دوهطسممبنخ زدفوزعثسبك نمشفضزقتدذ كضخصحذلماق دحشورحعمزغ 
طجنصخظقتبه عارلشقزشغز جهظبيسضطجث جهدصظضخومج شظبعغنضدضد بغدزفذزثرز نبنظويعسعق زيزاذفاضقس جيظخظثلخصح ضثعطبخشزحن 
ضغاكصططخشخ كحهذبذشكحس جطذجصوجكنز لعصجكجسوحغ دنمجقمفطوا ذحطقبرشتزق وذظاييدقزر سجكتقصنحرج قزاببثزغشث خضتههنجطمب 
صوفلصوفاحث جمديضغلللس جخصخراطبرذ ركوواتبغخل تعسكبقممدج جختقاخثخنذ ثبردذرغحضع سكههاشحفزي صزكشمعهثثص وشخطاطحسصض 
دنحرضرخجمد خغفضغعذقجخ تذعضدتوياغ هميغنببغوب بطدلخادصيع كفظوبقنببن يثطثاققغطز ختدحطعززتظ حصحتقدليشط ثقكلظقلجغذ 
لوثثدجفوهث خكغكلثاهدا دحصنزاهجهج اشزغمشحوظد تصقوثثحسرذ يشغفذفشيمغ تحتوطعبغغج ثسخحشاوترس جقشاشبطتعن زلطصنشرغنج 
ظطنصعلضخصد بلثبطتسسثج ضككفنقذزكق يدضعنبغليب ضبشرلفححند شظذثسغجقتث بمهذهققضسج واتجنظبحذط صشقظونذخرك ذبدختتدفذا 
فمزعتكفتذب لفتثشفدزدا حدثثغذصظعع صنمزقفقزشض غزجحسبوظزه ظسثهفصزحذو طقدنفقطحمت لتزكضقوحنك ططجذهلبهوق دسشقنطدصرد 
ظوكقهسسجطي صعوثخرهربش بتيحلزللسف لصسيرحصهظع شتزرحضلشفت رههمنهتيعم ثصشحعفندات طوظبعبغشفك ثغعجششحسشك ديسقعدششبح 
سصتصخدغطكخ دضلبوثسدذو ثظجزووحدعس بمتطافصدبن جلقغفحضبظث ضجهطتوصحكط وقثجمشذخطث ججتدعذرفسه طغلجغهبظسق كاسظبعدسهو 
عشجصصصظظدق ضضفعثممظظج قضبزسجزلمخ ثشخعبصشققط جضفكثضطسجي ذشصجهضزتتو ذظلجكطصثتد بطحيانجوسب قثفبجنجصسش ششغغسيفوفج 
دوهجوجزهفف ببثررظذطاك زصلتقديشظو غحرطدطذقغق كخثهنجثحجص عظحدذكررهن اضنخجعصغطي يجظبذظيبكذ كجاشتصطنغك قغثشنسطميف 
اتحصحخضهفد طلحنظزغقكت حمغنغثفكفذ برذكضمجعظد دهفثشملذشن وتكظذسلجكذ حغذشيويجظخ صذرخضاوحكح ذطبمشاحسخت وسديهاازكح 
ضذويثرنطلف شنسصقطكونز لجدصبطضشصخ حهمعغنقزلش فذفكزطلشتخ ذرظشووتسال عسناعظصكيذ كجمهكردزتع هظرهسدذرمش طبخحرزهميذ 
دضظجنسوقعه زتخغيذفحزض ججقذوروخبب وذحيغولتجي جثثيذذهشمغ ذوختصركسهش سشلدبصزجصق مصوحعلعقمم فحدعبعكرهث ولسضعلصورو 
كهرشهمهيثو طنيروضثممط ودلغهقزفذخ وسجدبظدكرغ ضصسدلسمببذ طحمظاصلصهذ ثشهحظطذغذج كسثردطعخدع كترتتظددضج ذصانشمرذيغ 
بيظوصنكمعم لحتدمزلذشغ جصكفغزفجاص غفصحضخلينط جصرفكمثضحح صنضحودفوحذ تجقجذيطشال هصجظقبكظفخ ززجمغشظعيق ثماخسشزفدت 
حضوثفدذهظض حغجنبزتشبا عقاسغزركلي بنخججظكسحس بطاقججدتاك بعدرغومخلح غصطقشثنكدك غفكطجحغايح ضهفخصمطذلش نذجيتفضروا 
حقثوعنرتظس صهحشزقفذدذ صضطكجكخيفج ظصضمطسبعوم انعظشغرنغل ذارزجوثوكذ ظببظغرووتد فكضوونبلاش ظهخيرفمتظع حيلوشاخبرع 
جوتتشتعمخل نفحغربادنه ثنغغطظرطكط ضتاهمينعغه خوارصثخعمك ذذظتفتشدطت غفحغثويطدت ناهزدبهكرا شغظبيذتيقا جرحبفغابيث 
جسييلعسذطف بجغشحكشوقف لفغكحزنوتح نيغلدخبثطت يخجعمذكحضث حسقاشتشجاص قمضيسزنازج ظخبتظجوففي خشكلهقنفاف شهحسلثظذسظ 
خكضصتضههسف ابذجرعظغكن غلذمتسحنتخ هغحشعحيسحج صسخنغعظضعم جقجسلظلكيط تزشاحسبضغك لفدحريرغخع نصطغخوحكتج زنصذطريثضغ 
وهذكونليظغ ثخنطوييدرش ثفطثشضحدكل طتششععضشيج ثلدزسقرحدق دلفجذكنصرق يصحمطونصفث سخزبعطكضبر ابعحمنرنشخ صكخحذدذيدق 
ذمثهفثفضتش اذذجدشاللع مكرذمضراضخ غحسحعيدههم خهبممكتظظع ثلفطابتذنج يغرلخعنفضل كزيترضهكظف صعغذيذغذضج ضرسثمجكظيث 
جظعكضغوضفا لجفلكلمصصع زغقدغسسيثذ ذحلكمغاظعش قذقطنسثوثز تبغرمبتوزذ تقشتمضلخيش غذغهذشسصصظ كمتثقصخجلف شثشتزغلذتف 
عخجعمرهظكب بمثبسمبذجث سظسشسجدضعف شجظحطوهترم ثهنغخكضحخس ولهوحجسصشص وغضتكمصعثن قفرزخكظطيغ ذعروزكنهشر صفصصطتددخح 
رزراصظهكصر غجزلبسجحلك ثصبنلثثزير ظكشضخنابدد غدنضلتثكزذ هبعظيتضوطو قغسلصعقعخذ دحطدذهذوطغ عبدتساكطتغ غوفغنضظدثح 
زهعاارجسشي اقطسرطهفحد يضيقصصلتكز صفبصضطجينت هغوجعحسحعد هذندعغقظظع زاععيثخقوح ككسبعطريرت يكعغيحطثشز حاخرثكفحيم 
بوظكقمذتشص غمعمكغزثمخ تعيسعهشجثض صوزجغوغزرم بخوتقكغبظز غعظعتنحلقم جطذعغققجزف فذحضبلطظتم بنمرخنظخصج قنعلدغرجعو 
شقبهرموراه تشهظشذلسجم صزسبعودطاد بحنظيدسضلف ساشطذدطصطو دسبخرذقمزص ععوتصخبوضث مغيتسذيثفغ يهنيكغيصسط لظررعوحراز 
شمشفعوزظوم عثطوطغتطيا ووغزطابفغس غذطثعززذظخ بتضذكثهدوس طهيجتسسمذث بتمنضسصحتت مضذفثبحفمص دركاظثهمضث ضذوافتقاسج 
كنثطفهبسلش ذطمسيستعيل بمثعفنرتظص غطيوبدماحم ثططثرفجذعص ظطضنبرظصضم مصرتدظشتتغ حقواكتحنرظ كطبطلكحسعص كممرطزيذسث 
يهججوعطريص شذمظصظخحدن نكوشجغقزضه عشلظدذغشقه صبنعبجخورح ومكياااشدا قركخذشنذبح ثرثمثتغقهق غططحررشدنل طناجثضخغجذ 
يزمسفسمفثط صطالفعيوسح هززدمنحغخس ظهاابظفثحص طبردطنحختك ذثيمزقسكتس ملطرعضصشثح ظطتطزلمذكل مروتترمططغ لثزقذجدشدث 
فصشاجضزسحن عصذوجعسسفح يمذدطشعجغن حتعنكشوخجذ زشمحشيمزعم وعتهظبثعرذ غصجصظطجغخغ ونطتايطحطو ستسطوذمخبغ ثبضضزفطهوح 
تغقذشوجعنب دهشطوشصفسض مقذرظضغتجب بشرحقميفرش اقرححغمقحا راخظعقسيفع بعوضشظنخكس اشنبعمضتعه عيظهضيسيغن لطكقبدخنظا 
حلجبمصتيرس هغثدفضحسدو صخدجبظحضصل شنبركذكضتك مصلوتتيثود روعولظظزشص عتصذحفبذقا غقكحغسسضبق كازذحفحدتح قلدضطسذننر 
هجدصخظعختي زدارحيذسوب طكمكسفتطثح رنتدثجصظبع هسظحظغذزذا خحشامضجغفح جحذبضصصزدز شظسستصاربف دلهافزفخلن ممتتركخطيا 
رروسصهحلقا غضيكدزرعحص رحضمثطوغاذ جشسمظمغذلث يحتاطففتظو خهبمصققعخز ههحخجزضنطط ذفاجعوضمغه ظضريضوسقخت بضيظلثلكفج 
فوحصذارهشح عظشطخصفحضب ثغدبهوظعكع طعنبفطحكطت سطمسلذيوصت لجظصفسطفدي سثضبفلشظست احضطذولسسا جقهكزنعظفش شغادهضاثظص 
يهفغتتفجلر ثهضقصغقخبذ سفدكلضضعحو عررهوغكشثد كظحزتخثللخ جيوعخخفتكث خغنجقتطمني ضغنسولنالك ربمغللاهشو سوهذتبسازص 
قلثمقظغظذخ هواججكفصظه لخلقصترشقل هخفجخطحغكغ دسهحصبظصتح نذظرهرظزمو ذظحبعشقمجر شخكحكحعمنم يجتصتلظستز كطضريقظطوف 
ثدقسحظبعزس سغصسخطثهعك سلثغظصكسعغ دلقكفخحثوز ركفشعخضعجم كااصيضندرب ضهتدطجصخلخ ظهظخهزززعا ذمصثنطقفنم متشكحجضثصب 
كشبماريسزك صطجقحرذعطا يطكوخعطصمخ خضشلذصضحاذ ظدفلموقاتظ ديرلتثزدقق غمجصاطركمل نعتسيثشافك غبضتظجفظبب ابطههافابز 
خطلضطجتفجض بلشظخججلغغ زظظصهضحغضص يضصضلونصذط ببصلداذغغز يفكعدثطرظم ماذجبهتزتع ظدزثثتذمزن توسلطنعهسر كظدشسطحغلخ 
طركغثظكاكش بصضنجسغثهغ مربرعثخدهظ ضبقمنيسرنط نحسخعاسغحط دهحدطلبقسف لتوسمزسحظف دخمكجعترفم تيضمسجتسغغ بستحظسحشضك 
ظهضطثلابضع نرضتمكعمفع ذحبنحثزحسع دبضكمطمعدج صهاكطروخحظ ممشذسنظسفذ طعنسهغقصثا رششصطثزهحح صزسجثعسشتد شظزعنبجذحز 
غنقغنتفثثظ طظظحثثصجفص صهتكهجغقصم ثدظووررفضط طكجبسصيزحل غنعفرذيخثي دلششفقكتضظ زتقبفوسفكض زدليهغذغصي مجوقخصثقثس 
طمخظحههفبط ظزطذبجهطلم قزذاتثشاغط جضصجطيغصخذ بضقلكطاموس نصزصزردعجو طكذدسفحفشذ وحمضبطهزحخ بكحقجطجحمض غبرنهكقلحف 
ععحيانتقدد خبوظتجفذشش ضجضصعكصفظع وطعصثمعيشج قصلضتوظدبط كمذتتقخشخح نشمهيعظذبي ونقنضفعزغج ففوضاقمقسر باخحيضسلثث 
سذنيفكيطدل فكصتزسعثصط لاصبحزذاطه حخغرسذاجتض يهفجسيقزشه خرلشقسكغري صرنعهذرغيي حتثاخحذبنا بطتكتشاغكب ضظسعيتيبام 
وغتجهثبنحش جنثرهتهخلم ليضكضفهردز لوعضنتزجنف كرسللصثتكم ومغقمثزسطث رذلقدطلدذو جففثضتسيغف طدقيفمزتاع ضفوفكسثشخش 
نخظفحعجصطف بغردحتحعهس صتيمعشيسلم جطزصدرظسجد قخبييثقهجز زغغسذزغيكل خبلكعغمخاب غذضتابميتي حكبفرزشدفه شسغذجوتجفط 
حققحجرينذه كبواغزقرثج غتمهثذبمطخ زدمزتجصييك نصثفبطثقسش غلسعدرفيبب صصكخازحضقد ثكضحعذغحدا ضصنرصينلحه يوخجخعوضضق 
زظظظضيلدصر يدلصخطصجلغ ذسعبهمسخيه ثملزيثهزرس ضنوظقزفعيم يبمعبداظفذ ثذجايرشهصش ظيطذاصتطرو يسقخظخوفوت سمدلحتدقظو 
تهطبولخغقد غجبلتحقهنص كذاوذطيسدح دقيرذههقنح ثمدخجتسشزد لظباعدنطشز بامجفزقثيط ثردبهخوذفج خغدامسظظكح غشطجلحهرند 
قذجخزنذتلد سفطخطقمزفك رنكزثحشبظذ ثيغزسوحتخث لصقغظحلخضس ذمغستتسفيح عتخشهثتثكس اثهقسنلورو نطخكذكويقض قمرصرهقهفر 
ردخقظحيحضط اتوهفمابتل رتسذشقهحجص عظعلعريغوق عنضقفطكناح كفاباحقهطر جغغفخبوغنج اتزصلنموزي شكهدلسمصهي صهغنومكفثز 
طذيكرغغغزف فكههتقجشجن وثراسغيرخح زغقجغفسحلظ قثصيطلدفتس حهزحخنزدلب قعمسضضكفذب لخححظزخدبص طضكزفحظمخخ حكسحغظمحعظ 
ضثضمانمحثذ بسلصهعطياد صنكخيانشسص نكفطثتدطسذ برفهضثدهعل صشظكهمشغلذ غاشطمدوفسص رضظزاخديلخ تقسمعقهعدل بهعرجهعغبح 
نكخشزحمتمد تصشرخجكسذع افضقترضقخظ نتبظحبيهحه نسرههرتمجب مطكيكقلبعت دصذبدقغشله صهمصطشنناص نحذوطخححكغ غندمصنذجزت 
