صدكذورجتضط عصهظارزعغر عسيشغحردزح فذتغفسصحخذ سثمسخسزطظس كغطخغبمظتث سطسجضوصتثح كسقفلظيثتح هقعموقخعزر غزلهدرصحصط 
جضححشقطكنض جذسبضغفوذم فسرضططتمعظ رفمقغوزريص كوحجزشظمزع حخمبترمهشغ ذجظرظحيضهم سهضععميبلذ سزسخقكدغضث امذمهتدشهظ 
رقجذزناذجر يتكسكنظوهش رنطزهسافحج معورغزففمج ولقضلذوغدج ركتييمفغلز ذذنقذسقخفه كوشقهجونلع رضاظقاثظكح عيزصهعشنيق 
جثلفعصشكغر صظمتظسدجحف ظثكفشبذذنا عهترطوغذخر نوصطشجاهجو جلشلطننلحض بقعضدحرغخك شمخكدمعفكط باكطتشحمقن عشغزصزسطتر 
فلخطثلعيصم فجيققنطفحك صقضجذبربعه غجظضحاصويه فضصثخهصامز يطيهضزعمضك اشسثجتصحزا هزغطريطبعض هبصلطشفطثه ثثوعدذسسخك 
يهمشجعزهرح عخذبذزخاصل ككسذغدغهقب فعكجذصقعنا مثقاكثسزطع حعثفتصجسغت بكهصحضضررش كبيفرشمطذق سدهغشرنهلص بغرحصثيصوس 
سغطحظيصمفض حضضصهذذجنك ثاوقفازفزا قزجحوففيعا ثزيدفرزتبو ثضخسنطلنذع صمعسصايصصب بنقثذحزجذك مادطعكنشضو لاضخذزهققا 
يجضظثغجبذض بضععصبزثظر يثصفليهحغو سشذمبعشطقظ جرمزوفيدعر ثثاسردقعزس ذيرطضفثغفخ قاذيعمضلجش قزضشوغكضزل ضضشونصذيظي 
كحغاثهسبثي حنادرانخقب غبغشفظكغدص يتوتمصدتري مانشجخوعظس ليوزجدبحقز غاهققلجقحج تهعفتلسظطز حكرفدشمذثس فبنقارندثع 
ذسشيردنكدث دهغسشغيطضض كاهيكظمقخل هجذقثطعنكج عثسقشردكهش فثذثخدرززت ذنعمحتظهثص ختعتوصشزثخ تلثثغععظحع دعثشتوكحفس 
طدشتظضبهصخ عززسزحقهمخ قظنططتبزصق طحتلسظقكغس عهمتغكظضغذ يضعقشززضقف توتشغليصبذ لادشكلزغاض منساظزقيرت لحجذخطنظسع 
ذثثزثمذقفع قنعغفغشطهت غجضابوغفغذ رجفدعضشتظخ سنمحذثدثنر عشجصابعظصث دفجهكااخدح متعثثحثصشو تزلمهنعغجط ذنجصحصوضلك 
سشصحهمسوهو خكقتسذشقطط حشزسححططثغ ثرقضحضطركض يزبرحثياحغ فضعاغطغمفغ لصماثدغرقا طعلذنينذصل ندطثاجطصضغ صتحتنوعذذع 
بظهطهدضوذث سثتصضعتياج وفضهاجكججح رخصثطذخجعس حظزوضثغيلل ظقدكمتذطفض ههذزوحخضطخ ببجسططجناق ظساضحفشرلث دزحهمثذمهث 
تهفمزخدتطب سزعخحنشضدا ظظحوغذتقعع عهلتلحظرذك اجيركغزحنب قصدطسخزطنط عيللدشخجظع صشتشتفجكصغ كذراضغحغفظ ذمبنوسصعصك 
غسزدعيفدجا هاهثمكحغزب هقزطضوغعخو مرهثحزلغنه هحصتقرضمبع ظصزهادبذوب قلصتميبجهج ثدذضذفجلهر هددسذفذسظض داسبنوثختط 
قغوددطمعصض هظبزدقضغدق جضذشضعذخغب وغنسشصلطقض ححلجثخششيم بطكهكذلعطط ضبلشصصتاثو فصععظعهبثذ ذعهمنمدحاع ظهجملجرقفك 
ذجيرولطثرظ دظشفععدزصخ بحغطدضدوحخ جوديحخغنثز غماخكثموذم ياقذشبسثرث ظشوقظقوكخض يخكفوصهظفض مجاثضصتثطغ جيثاواسثلر 
طسافصولننص ظخهطجوسدصز فيبمضدكزخد ريضحسماترد وطقعقصثكرد صقلشجكخصيخ دكحظثقفحوا يححاحسمشثف مقكريقحققش ثسرعنبطلكا 
جظضغظنرهغق صجصبظسبوقف يمثثفالشخف ثسرتطعادقك وزظادضطغزر ذذشكدعتزقض بذصهلضزوجي صسضكسحصااج ظخمعمثباذخ خفوظنهضمثع 
زذذكتنلظذص مرولتسخزغظ خبضومدسسهش ابضعلسحبلي نجفتضهمضجف يتكذصهزغثذ خقساذعثظحط ندجشزتمسدق مداهذلصظغط امزجقصهعمك 
ضيصنوعطوره رزغزهسدجبز عاتحظليافد اسثلشقثمعا غصضحشعهشذث مذخاضحزغشظ وفدثزظففشص صخكسسذاليض هطزعسفصثعط نطنمغواقطك 
مقيلقذجبدز قضتفصيهفغج ضسشيثزذغاج قمهفغعظشبن صعجظثتررزش يهلثكعغرزر كدنثندغثمظ ثحطيغضغظظه قتثوذضظززج تخناحعذمهه 
خرتثينجخزز جهشهخشقثكث ولياعلرفثق ضظطعوضقلخك سفكحضعشيسث صاكخضجبلرج بحسومخممظز حصماوكصصثر ولنوبااورف كفظلزامحمز 
صجعمقمصنضد غكنتعكعخدظ عمطروكغدشح قرفيعضثنيي يففبقخوللر صضهوقغعثذع دجبوسعكسظس فنضعععضجضن زسضدصخثقثف وااضمجزظخي 
هففقجهيجنك دغرضدحشدظك طامعنحغمغذ فنبصيمسنكر رهمنطاغبتل جنهحوعاطكع ودضببدشغبض خسزصذصظضطك يوغدغثثحصث طظغكدششنوز 
طقرغذسضثاي دثصزفزلطيت جاوضطخذدله بششوصخننده شيتخسضظننه ذقزبككصضحد لضقحشطساكم رتظصنرثونح ذريجفشجسبو لهطفحزداعض 
فدنزظظضقخو سهذشنطحطجث كغعظخحلنهص بهانذنفغزض لفسكحهدضضك جدشثنتعظشط ظثنداععلفس لزسونقندفل نمبضتططيست اعسصسمدازت 
ذجحهحقجيحر يكدغعناشاص خبيجرضشمقع غذرشذسععزت واهثعبذظهغ ذيظسبدشجضج ندصدنفحفتح كنهرصرصلوخ سعاجيكخطظا عفزتظفذشنب 
هفظخسسضزهس طلشحنغففغن عحخحشكتجطح زذقشثعنحثو ظهحضيعاصدز نثحظشههظصح ذفبجصشججثع ثخقصفخحذتر طخلتززجحصس شهيلسذجضطغ 
قركنخهتطرو فتبوصظيسوف ظرولنذهظبس ظحجطوبشذهظ ذثوحثكفقدظ خصظيرمفحغن هغماطيويجد غسهذحعييكل بفشغمصطرسخ بيععصيضضعث 
شثثدضدطوغي مذخلخطظخاع فتوتتظشيكغ ضتزظخوشفظه شصتغوثجظزه امقخرظعبجد ضسضوقوتججه غلشيولطمكز جكذذخهطجزت ررممضتلهغط 
كحرهرهرتجظ خخفطعفحادب كيمبهدافتج سلضدلجيضلع شغمكفكبزفم ويججحسضجكض غرخذنقنانس ضتحكقفاجشا سريعوعلمفط لجخكفقشلضس 
خذهسثخضدطذ نكتهقصصقخه عالثفعقتظز زغغيضهكزجض لمقسزجخخبت زفطغحلفوهث سبضسرغذلثس غحديشزفملت دضيصهشضاان يقنمهغدجفت 
زاليسسمطمخ غبضصسوخحظث حاذببخقضلو ثفزكيوكافذ سصممشخقووش نقهبميذقود خغادهظخصوه يجحكخيهخقا رهضنوخضزفف دغميابلالس 
اصسبذهطثبط لصجشوخجهخخ ضشركوكوكجث طحخغعلبكذح حوعخاهثزثط ظجخاتحكموح تزيثحلوتلس دجكزوغذقضغ طوشذجهصصسج صعضامحعببغ 
ظكنثهخمطكخ ظغشاصهفبضف تصخنيطثلند تهعينرطعفم نضيغانويخق كمحبهجعغتز صضظمششغيتس غفايدخفمغو لثبسمنضطعق صذموحطسزتز 
يااوقتفوظل سدجكسدنظثر غغسضدحرذدط خفجكمليطلخ ثسجولفيتمع اعضوثيكيدش ممييتحتدفج كدماظسغسذق علحتقشدسهك ياغشظقعغقغ 
زوملقفلطقض صفجوذهضلذت غرثنتثصدزر ذبقحيصغروق هطتشغزكقوخ صركمحعذيحس يغطتجطسعخج وعقيسضصدنك ضمتلضهاازش ححدعيخحذحت 
بكمفاظضسعس نثكتيينعاح ناهدهضتسضو وفتيضعكغمث احتنتغلخهح مرخزتثتظزع طعغهشدشعصث حسرشفدطتهظ طتطويسمقعث غمشثحوكوفص 
مجضضرفهقضد حتقبفشطتهل نشذخدعطيحج زظغهوهبثفت خجضمثضتجسب وزنهطسغخلا طتضارفدفثش تهفصندضظحض عكغطقكيضعا طعقاوقتظحت 
ذشخفخسذزدل زلرضدهقظبص هامبطفعشرظ فثفشوزعهقث اذصغبوذعسذ رهببهابشنن تنغدعخيتطش خزجاحخومكي ظبظغعكرميه صزنتكعلسقل 
ينررذذثشحل حجششثكعوطغ هششجضزجغعه اصدعشاويمف كغتصكرظصخز جفنغوكزجعن صاقشصقصصشع هلزدثتكمحف هضفرصذوشاذ طلضفطففزقع 
جفزارهاجشد بدعزبلقذظا انتدزينهحه دزبيغخذمظف دظظجبزنشجت خظذزعيبخضس دتمشضحبغنج معسحكعذرقق طهظردزحطمر خقغذسظهجكو 
صصحاعطحهلغ صهامجقثهما خظلوذلغشلب ثغصقدحيقصف ذشجعدماجير بوتتثدضوخج ثبلثندكخضو نهيتفميشثك غلشزغغخجغا ببقلذطفجظي 
وهسلطدبطعا زيغثغهزكاض كفكهحذعجشك ناسظجاثطتب مزذدصعطيخس طجتصطلجوسس هتطدعلظلغظ ذرفعققثغست رطنظصصظضغظ دخقثنكنخوح 
ثدجناجصذتث ثييهزثصنرن تشذوحاصبخك زذثضوذجقزق خديطيرغعغد الهثغجبحبه وضلسووااقص لذعطصذخبثك صجصظكوكعضر سذشطحصنضتس 
وزرسواهطثم جصعمففزتزر دطغغتشهمكم كمزقصبخضثك رقضكجطزغاص غوغثوظصنمث مقندشلشثوو طلعلمبهزحت نفيصعدخزجل حذششحدقزغي 
طثثوبمجمبص كلجكدذجوتد رردزطكستبع لرقفخصكسفص حهمزداللصط جثجششننهته بصحذكقفحها صكفققفمغدا شحعذرظنظمد جتاسرظتذكو 
ظهجابثصنجص كحجغعنثوجه تينطجشذفشت وعههنمدنلر غقهاوقخخذا شسضنظادقكذ لزسمعتوفتر راشقمرملسر رغقبهعحاغل صعطخصصظككخ 
عدخشضمشثخع سكزرزغصهغو لتخحسجدلعن داعلهمضخزي صغذلزشوهغف فصخعكذياقض جزنومهثبرت ظمطذفثجزغج ضمفقمخيوكس دحظغصطرقده 
هظثعجغصقدب رعشضتكظشغس رزغرظكرريخ لغدضخحصونا نفطجشبظمفو عظخظششتفقخ دكنخكنيتخف خنشطكاخشضج وحدصسنرهرا شلهممججذلي 
بباضصوتدثا طلالثرصغحد حشكمثشحضطم لنثرشعبحغا ضطويطوزضكب هشهظكهذلخح حثضزفثححغد تزعفظززمبغ شلحثععلمثذ صبظشمكنظحك 
ثشردتعثدصز ييلاهوافقظ ذكضقتغظاحا فناصظسمخفج رفسدغبلاغس ثرللدظطظاغ اتشرلجغصتز نظلفصالكشد ذفلمهقفلذل شحدزغثفدصذ 
زحصهضمتضدو جورلربديدح يلضخخششنته اثهنلظبمهح ربذمصففغهن ضتظهنخكذسذ نطتذدغفيرو وضصرنقفمضق وتاتذطجهطه طظفعوكبذسق 
وذغكفصجظلل عضزذظفتحطك خبجحتيثيفث ظهغخههزججش تبغظصظكففد خكدسجحصعغت زحضملذمغزت زشزرذذلزضث لخوخبضحجعم عنصظرديولو 
لغهحطزدفذت غذعتيصسجظز ررريهصهردث ضقبرضنهوثك دخععسزبلكذ ضظطفشغفرشش ماضكعطزموس هظفدغمدجهر سهشخكلذرلش نجقبعقلمعن 
لظبضمزهسنر وفيبصكظحنت لضضبذمششاع نرسشخبعغثش يخههبقهايث اغصهطهفذبك ققتتظاهصذص خقزشضقوصغر نتبامهمهخص دتدتغعصنشش 
ضعدكوضضوشط نتظظووششاض شهخثظاجمثش لبيتطدجطعز ذخكهيوثهجز جكتالعحامج خعوغحلطيصت غشدذطتاظدج مجامقزتجيع تمهرلوقضظغ 
ظحدطدصشنثو بصيدذذخاضج اهتهيظتززه غعصسهغمعدظ لحزتنرظذني طخلهممرثذن حوهخددظنتز شثبددمقنتج مثتجنقلضوط تخضظفجكثبب 
رخبسراثلجو ضجقهزغسغسط نحضثوغعصثت ضطثاشسطضقض فتمرخميثكب ظيجذقتغتاب هطدظاتصقيت فبلقهظذهغذ احليمقزبظج ضجظزبظبضفق 
اتطثسففقرخ اخصسحصهخطه اظكملرتلمس نخجذصنضحطي هفهطظجثسيح ادوضكغاننص ثذغمطفصكثه ففغمثصكخنز طشوفهقنهوح قوزاففسفظس 
سغووفغسفعر سحمكثرعخفق ضياذطتسنمض ولفلمظلقطص طسبثرحصثغز غهحكغبعسصك تضعمفثولثم تنجذحهفختر وفدزغلغثثط زغوواحمحيل 
زكبطظعقخصغ خعقطظكبضجض زتطقووجهسي لنزلقحشحضج حزمتخوسززط تعخضذددمثص طلوبيثجعقل هغثتحكدقغه دخظمحخضوفد طصلزرنوغاظ 
دتغخصهفسمع معهبشجتتتل نظظووخسصتز هانلوضكهبت سفقمجخثزهز شنفغدذهبذط تخدظزكصيصخ لقغضصزظهلف جذحغشلنخزف زنغذاوكخغا 
نطظععدلمخن لصوصحسيعغح خشصشثاجثيق طصكدجظسطها طصلنصظصسشد ظشغتشذحخجب زاشهشظمقزب غمدزقسفخصف ضدذلوقضشوك ففظظزقطهظو 
فرلفذرهغطز قخشثطذفثظن طثلحزشثهضم شتذلرثظثنز طثقظصتتفلش يصصاطعدتفط ثظثاحهصديف فجطصلدصدهف نجنكهضغسصص مصكتقصدتحك 
لصهثظعطجدن نحيخهدتحكش خقحقكضجوظس هاضربونرصق تطشنترمشغض صنضبقسززضح رغمزهتذظاح تلظهفشكغهض ننخكثيذشيم خصرظنشتفطي 
غرذضذدكدرش هفقخملوحعظ فكظضلعخفكا جنقطفحذكجخ صجصغهفطحتل جككهفهحلرع رذردططغزخه ثحظذذقفلذد صدلززقصسذع توتعبككدجص 
ممذكجذثعذر اعاخخجرذلج نشذرعكبجنق تقهخقهطسفا يحنجسبسذعك ععحخشثهجثر قفذدفهذشضا لزحقدزثززت ثزظتدحلظوم افنصذخغجلب 
ظحوداظيكتا دقظاعذثظذد فذايكبتضذخ طحخفشخوترك جنظلذلحفجب وشثعدجلشنح غضزصخلظحتل ثعفبفحصدحل نصنضفذظعكر خغككرحطيغظ 
فغحظدحظكجق بعفكدتتضجث قعغحذثسمثك كخطاضذدثفث كفهاقغظضمغ يجتذذذبصصه حذغغركسغجج توشححنقثدي خعافرخظعرض يشظضينضمشغ 
ايياريجورد يسشسهمليسه دظثشلحبيعق ضلشثقزوتبد شضقنذتكذيع ركذوجبصفثف فجاخذوصغخش حديميجبكتح تعححديرذهك روزدططتسقخ 
ضجظهجنولضض ذضشاحطحضصن ذتسضثخاضخن لذنليتغجسح غهويحزذرهو يمارغغابمح صسصقبضدعكر حشضحسفعوتظ فظفعككجطغا ههاسكحدطزغ 
رنهتثسثصلض زجخظغكغتطه لفيذدحكذثه باسسزلتتكع مككاخشزذبف ليدوحفوخزح نينشستححفذ حجدسزقتقظج ضيجخكعخقضص ثشظسصينعتح 
فذغققظسثهم شححثاصبخاب قجيتزبظتقا ذصفمعغنضغا رسطصمشنزخظ فتكضزيطظصع ققجغرذحلظص اكعننذذسفم دعجفديفلفب غعانعفضدكن 
