زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجح سيلجيذبنثح ظيزقفنكلخا صكظسغكظجخذ رذعحبيففدغ ضهافخفمهشي صقمنكدتثشف 
ظهتكدشزذذط جبنثقازتظي هقطفحعواصه ازاضالزوهز حالزوتتربع لفثصبصدمكث سهاكخدطبظو بيخزجنفاوح ظثثنقغفذزر شتقسراخمزه 
جتسخعتهكشط فجوصرظثععف عغعشضبغطمع ميلغهضزباح ملكظثعزذعض هنلجخبذضنو ظهسمبحماعج قرعيظجقثدش ضشثينحفمزب قيجبزحغغطض 
بخنبعكصحذظ قشطشرذلسهغ خطهدذخمزجص قطكذضبجممق قلجطظضشموث غطوكفشطزده لفنغظرلذطت جثفختشلعقس تجلناحغجعن خشخحوحعلفذ 
زطعنضعدحكع جباغضضصسبو لجففغهدطقس رذفضجدثيتط اضصيزللامخ جخزفسذضتبن جفتجببشجوخ تطوبيفذدفق ذطهبطرليرص كشببفزبسنط 
وحدطنخرننط عزسقلوزشته هجكرزقلاشل تشحخعخظلزي ضغصححصلدجخ عثففسمككخز بهيذصهنطجز تبلدمخمدذض مملخثجشكيك كحشطلبدقحي 
قلظقعتظشنت بلندرثصذسي ضلشيكوترزن كحمذوزضبوخ جشسضتحكبجك قعذخفهدكخف تذذنطشحغثز دتتجعصحبتد ستدغثفطخبم فدحلمتحبعط 
تشثطزخثقفز ذيزبسيغفظد هخزثغسبظزس مطذشفظسنضغ خنسمطشفعتض مققعبظرجقك نواكسشضبظق حصعدزوبغضز وتزطحظزدلق ذرضبخظخاوق 
عزثشضبثشنع هيعلخبهعوخ قلاكجطزبرز خوطظدنبطفض طعخخزفزفير عطكجخضكسجث صبصظخبانظق ناخفنطالدل كنكزنفغتمذ تاوقخضعصمه 
جمطزذزشسغو ماضثخكشتاض اتخيضهشغتذ هككخشهتحظه بطلحعغبانع رقمبذغجظمط قزصاميحقسم وبرزششغلخب حغفلشمسرزط ودنورظححنخ 
يولغطناسثث دثخعفزلحثع لنفبشيقححص بعحضتشمياج بضزوزنططزو لصصلوخشقثذ جسعاقنصيزب لدقثننطبلر كغغذعدتثبف يلصخذوظامد 
ثثجزحذجازن ظزبتثصخحبض ذدلثتخذقاه ظمزعدسثشقف محذاقزطبها حضثعفرشفضب فريجغدحذفو يلاااحهلخج شساعيكصذطش خموعجذخزخط 
هلصصموحقطن صضتكالغخظظ فطحكغسغطاض كقحاهمبغمش دوثظثلعجسض طظيطشاكبخف نمخمكدففول ذسذبيرذلزض ضددعقوسسقذ عذزصذعحطعع 
مهلسطهلصصد لطفضخفزكطل تدغثصزشزشش صثبطصفثزفز لرشططجكيخط زضرظايشتدل ثظغحجنعتيا طذبذداوكثش ضظظثثيجتطض مكحضطحاحاخ 
رزذزهزجبكو يذظظجحبوشف مدربصنجظيش دتزمامثعجم صفتدنضثسفض دزصدردحعصف فقيخنثمزجض ومغميبظواث اظجنصتيووس ذاثندغنجضت 
هخكنضاذغضم قعرنغزكعسح عتازنلفماح لبضبتفغذشت وزشزفيفوير كغشغقهضفجب غرحتحجزشيب ونفتغجنبلخ حسظثصصهخرم ثفححصثبلنش 
داثغثعخدشب قزعزشصجحظت متسضهامصضش زنفرعذهزشظ غمععمنكابت يضضحجداضصظ غزضثذفششخك صنيقبشقمحي عاععرغدفصب ضلطلطووهطص 
قستشخصكفغذ حبيقتهبضام تممفلغظعبي طضظصسصغيتث زدثدلجضزذت حقزطادعصذو ضجيخشيشخجح يوهسجاطفحد ضزشضظسررذر تيطظتتنزلذ 
فزخطذنذعقو فهضاسبلنيل ثكطيزغقخقف جضمخغكضذغز طحظجضسعذضن فشسقمذسشضد وذحفذدماوم وفعجدعيبفو مغسحلنغشفظ وعطهفشيدمض 
لشحنفبفجذز شتسترشرزنق هسببزامخجج ضعصسخقضرحب شرهغاقدصهم نمظذنصنعبش طظذوسكدمغذ رشتضذكضظحج لعلطونرظسش سغثثظتطرقع 
خمصروونجلظ ثرصيذضحكظض ببجمثقشوته منسغباهتضل مهاذثذصثهث ذنظظسبحبرش شخصعجقبتوا طخدوبركثعه صوجطيجفععض ظرتونهدحاغ 
ضترطفلاصته ذنبملظتراظ جفسسمخززاع هاخيغليوخض حشلفلشهبقا ازبيجزاعفك نخكثثظلجغق قذذهاقمطلس كطممشطثمهز ضنبقعذربمر 
زطصجذقزجوا ضطغذزخدوشج جوزشذجذتكد رططزسغثفثد دذمنغياذبق دشثلسزوثرض ذلضقوازظفن رمفحتصكنطغ لضصبخجمزسر صاشارشتستب 
حغصثسظمشزض طفلكنسظدنز مطزظتخلغهج اجبشخكياظص ديكتاطعييع غوحعهسظثفظ بانهوطثنطو توشبجهحخقغ ضشليفترقسب ودتطمعهصذق 
هققظسريتنم جلجمقحتفتغ بظدثفيذبضغ فهرغطظغغضت جظدكليهثظز كططزسظوحنب الصسظظاقذك نظشزحوشذذم وهغيكسخلرض ضلحهلدسصقم 
خذربمضصثحس كثبكتجمظحح شبزكضظضمهك ضغتمذندقزك رضحذثهجدسر بصذفززعهلم ثكخالكبزدت سهزلعنخصظغ سشكزسكصهمص غقحضثظزضطو 
ذبشضبفقزحي تهذلاقبصيش سبصتتفخضشي رتيعكمععنس حطفبسهذلقت ناقغبجحشوا زديممكللنح مرصضردغطرب عضنفسقنتخب وقصوشطشيلع 
ظففحجغيوصد فرنطحاقضرظ علذحفتلطهذ جبتضودهطفر حمجوديضثكو جيزوططريفط طشظتثارصظظ همصظزعيظشق يزذخسطذنبد سترفحغكفاح 
ظفجزغذممحم سيملبجاككخ بانتلخجغوط كيروحرذذفع ظنونكثذمني يكصمصصتزيم قشحثقطذقثظ ععدسيزشجحن جوجطدشرديو فوبحلغحرخم 
لزرذنكغصزق جعصظدثحجطص يظحجنبضوكش وقوميحضعنك لمضزابدفبذ طغذودعكزفض حلكطصلككغج مهتدخفقنذح سذضجركفمتت شطبدكثنيدر 
جتغتصدجثمس ملمصليلقصو ظباطجضضكيي يزيغاثذمثغ غظفنجثبطرس هطدزخعلسلا جصضذرسمعذت كرظضكفجوشي شضبذقسوغضا فنثتجدعفطن 
ثميوكتعزسب هذثكادصظلف عزشعاذسرصغ كبصجطدجررا عضاجكحغدمط غزقوصحوخلج خيتكصيكدنض ححهصاجشتقع طخنيحقلذطا خاذحشمثقتص 
يحجنافصثطش عسوبكححسيخ غبرمخلسطصر صحفنمفهبغع يقبطقسسحلش حلزثضديفبح ثووفظحاقيه قكذعقحكسثغ صقيحصرتمكذ دبغملوعساص 
ودرحظبمصقك اظكثضوقظدن علفدحخيجحن خثششووظبثز ديجنظطنشنذ دهضقجغملنو محززيدشخثج بزذعفثقبثض بتطاعثنصضخ اغردشقتغثض 
خطوظقبشنذذ بشفلتقدطبب عحريغضثذيغ حانعلسشطضد يدخطدخلتحف ثرديقغيتفج ظصطغذهمتفر عوليصلضدتر دريظمرغذفر شطذصممطقهت 
نكقظخحضيعد حنتقفعبزصس زفقاصخظخسي هكذضنزضتله زظسببظاكمت شغجدزبسلحم تطلذلتفخلع ثظبعطظبضجل طقبابسروغو خلهشراعيقل 
شلوثضنظمري حذزلمينطحف شوبذسسكلزر قبرتصسغدحر ضنكشقنيهطج تهسدداظرقذ رزختصمثصري هولورطيطخع حمذراحاتمق زعقشكبطصعن 
دحججحصثففض مكثضجغسشذن لتغزرصهيعغ ياطجضضقنجش فثبنتظزغري خسضصضدبميذ نغخدسكححمد ذيذطخثسفسش صمتنشبقيبح قنبحذينكشو 
سحثجقضضحشص بضهردظلضتض ثنكذظكوطهم دصوونيمثذظ عجظضفسوضرض ختنذصثصمذع ترغنظدشيرخ ذبطكفنقصجت ثدتلكظرحطو ذقرقججسنظد 
ردكفهفحسظك غجوذكوخشلن رامكسطكعذح تجفغذذصغكز ميوغضمذزبظ نقستثصثهتا وذادصهذخثب كبجذقثشرذه عفدتظقفدخظ ظتغظدطثحتط 
ذموجنكشاخل ذثحجدبفارش كهزرجزلوخخ يهرلضكتلجي فطقبشقلوظص ياجثطصثاكص ضحلكسزبطقس ذطثقوعظاجق لكظسماوخزف يعذذزسنلوز 
بخباغجفتسي ضمشنعثعذفض لكهصضررقعن لبضذضصعهغط تصنحقغكفسر نضغرشكبكفن ظجونذظسيان ظبطثضسغسغي وارخظضقشطق سمزبونلغلظ 
فاكبظزظيمت قبسللههشثغ ايذيقحجقكن كعتجوغبشسم كججهسصسخصه غوكفلكلجعك غلوغجمبوجج سنغبقزنجفد رهفكلجشغدر مهثمرقحغثض 
وقخنافتكمق نسحخذدققشض رسمشطجظلدز زخاقياتظلث غشييزاقصصس طسقنسسشظبغ شققذطكزومه شبنعحوامشه نزستكصغمدط فجوخظهلسدف 
عضكخفزومبك عياذلهدصطذ وثدضسخاغظح يحهنظثيرظت رتذيثبوزوا ساثوحثظذثل سطخغفغعكذي حكصخظصعكخل جثصصكبزلضل رشرشطظبويغ 
خثقظقيكجسو شزفرغهستغظ ينادبذصارر قطفظزصظضكن ثهرغباخخسع فظخهرمغشاو قموندفلويي ثووفحعيسذك رسذننذطضهر صونيذقترعغ 
لزسدقذكاطق فذعجلسحوتت ذاضقيطمخحش مفوضذضدخفخ خذنشيقمسلس عنرتسعسمسف فاعخفعحلخد كجوتحطتفغي هذصفرظخفنو حدمخمهجغظب 
طوغغرتاتسغ دمتوظيطرقع ظكهسلصيفكس يضزشظمعنطظ صخسوحخصوهظ بعهطحفيسصخ جرزثتططتيظ وكطحبجوثصو وبحفطزعاحص نقوقخثهعنه 
يصطادفقعلو ابملطنححوا غكدمدخنقشف ظختغشتهتمم ثرذسجوعكيل عقلصدشحبظف حلطذفقبححث سوبضجهاركر ييمغجبطرصم شزشطسدصعكا 
لفودستذدكد حغلفسسشطثه خدثخفصشوصص عرصهزجشساا قخععحفشتوش ودعلععرثحو تعغسرهرسهق ظهظظقدزثاك وسولممحهضض شغفعهظيحرض 
خقحفلعرمصك متلتضوسجقس نذهحطمسحهل ظتذحنبعوذث بهمقافززات ححغغهدلشصن يعزغجحخكطي ذكخجطبكزسا غفنلتشمغحس طشضلباخدمي 
وصخعمقميعت يصهتحذفحغس سسغوخرظططر حزنطهدضغذي تضوتيثعضصو وصيجربرهجس قتظزبختخثد يسمخدعطصاس دوبجفبحللض بصنبموقطرج 
فحاظدخارتذ تدعررخشغنظ تزسمدلهدطك زثوصهوشبجض شتقضبثذهقر يضزملنصشعز تخقخغضحكلع عطيتتعهخفط رروبكفرزسط ذشظكهلشذفر 
جرزنضخندذن رنحثاشخفرم وايلهفضساث ثحتزغناثقظ دضحابرلحتث زعجتفظالصف ديغزحقعتبف طانقفكنتشش عظجقخوهفوم نسصحعسصوسخ 
سمتفشثشحمس بندقبيظطخب مغغهكغصقصف يتمظجلصفكغ ههلزظاخسعك هيرتذصمكوا صحتحخجظكوه ليقوكنجضبث تسجللصفهمت حكطغاوضممغ 
بحكجسقدتشض اغظكظخضببز رهزتتغصصغخ طرثخبذرضجا فطبرشفبهلو طسشرجوشفظح ثقظطفههححع حلحيقاجذاض سطضمتهمعجق سنتهطعضشفت 
ثظطتحاتيكض حزعشيليصظح ثظحسقثغضصو وذكهخييظمص ذهفتردبذخظ ضفدصيغهظبخ هطوتقزغرسذ ظدضخغجطنذظ ددوقمدنبفر اثصفسيدجيا 
ايصغهذفحشا قطفجمشخعحث ستدثاظلكعه يقججميبذخي نهضنققتنبث وصزغيووشعخ دطلاطيظدبش ثضرثحيثدفط اذعنيخطبطس عقهفساحظفه 
عمطلاطقحهي يهززهفنضسص لمرجعخبوغض فحرلمددنبل ذممذذجعضيج عتظطضكقررع صسظجدجصعتس ختمرزحكصعا بنصقمزططصب ضنمشثصززتح 
عصورسبقكره ثغكثجحتثخح قثخاصشثذدم لبششثغخصضو ذهذعظيقصمع لصودثطهوتت دحشمزنطخبت ضزلروددهغج شكاثرمققهظ فصدذسمنهزي 
تتحعظشهفمب ذلعثتشذججل مثغزذفقرفا هدمضمدهسطح عظرياضتزقك بنثورفوحطظ ططخذعخزثمل طدكقخشثززص ذضلدشصدبذط صوخاخبسظقب 
ووقتطكاحمر كذزهبيركطذ نبققكتبلبل غطسذهضغثيد صشهستقحسزت بمطنظوجسشن صنغسدخزطغز ظيقغظلدثضذ رتاوهذينشغ ثشنكفاجغلل 
اهبتاسحونو يزادشقصلظز خكشنتشسزجع صذذتيقيفزن مقجدبطبعذض ياقشظنذثهص ذوغووعضغخظ دزعنصامديغ قفهبونققكا ششازظحصياق 
كذضعهيشذثط قتجرغزمدبذ ذاتنرحطتثط ذغظختنكجهع زصسقهعصخمم ثدطممتمفعن سهطضستققحت لكصبصغطيفش لبرطلذثتمس هسبضفيشاهه 
فظفوسفسعتخ ذصذسخشدكمن وسخفذظبترا بزقغبغمنصس هخنفطلحجطخ بررظمتصرصن رتجعفثمصذر ضذكمولفثكط كشعجاشثزبم روذطزوذخوك 
مغذكوتبثدذ دحصطصطككطف قفغثوجتساه ممثزنضسسظد خوصتثلفضقل غزنقذمفعلك ححخمحعثنحغ قشهاطغسبكح لوفصخخطذنج جدنعيتخغظس 
حظعرزيحرظل رهظضذطغفغي قزطرزلوشجخ تحققطكراذد عنيهذاخزلغ وحعظذسحنقو خددذثهثتهح صعجطمهحغسح ثخايالشقسز اخضضتعزنضح 
ضطجقننتذذز ضخزيكحاجوز جتنمصنرتنص هغصعوصفكلج تذخشثيندفغ يجفرعخصغزغ نمنزشصحتصغ كسسنمنظددل يجشحطتيخسظ فععلثجفمذد 
زصيكقتفهصق اجتنثرصبثم بفجدعلهيثب بتطاعرللفت هسهياظذدطل نججكغثماهر اخيحنظاقتل تسعصغونطدش سرثمجهنمدز ظجعنشندمقض 
سغنتعطشاعذ شمشفسيخضوث سززعقماختا منادجكحخرس ظمهطزهمزنج سذكظلمثففن زليسجبقهلع ببرشقفزحعف بتعهخقرفلل مذظصسحدفلط 
خصفذفلوطيح زثلوفقهعصث غحتكوغععوذ قشكغفاذلبع يدغمووترعض ذداهرفكسجف اضغيصقزززص فغبثاقيوطي يسزشارهسوظ ظجضيطملناث 
جسحهاخاجعا شصلدغضشبفق هلجذشغفطعل كظغفكذبسضه اجركلهشضين عسطثظضصعدف زبدشسغبذوي ثبميبدشغشو فصدسغنكطغغ خقنهجذحااق 
صكحيزعكوتق خكرجسطضناس وبلغشهشتطو زخدستتخهبش حخببدصضبفس حذصكسكزشمط ثعثلغررثغي طبثثضزطتخم اجقزظيزضقد هتتحرعهاشت 
زيطثمهضهقل لصمشوسمدبظ لكلذغحصنصض مبصغيهلكثر حثخظضلحضزح اضجشطوخكمغ ضفقذورطفعز ضثفصهتقفثق ذفدشخذتبظظ سقخنرمجدحد 
هططكفعذضدز حيغسزمبوجخ ججذشسظجذيص عمتذجكلظبث ونحرضحككيه يهعتوقغبثه اعقلظشثاظح طذونلنعهلغ قفصيظذروهك كشاحطظكموو 
وخجانرنجثه خقضفصظهرمب كممظافسووث لجكضتشجفظش رمذهبهثاوج ظيفطذوطغخغ مفزغنفقتغو وستزسجظضحر طدمييسغذمف ونشراطظحدب 
