طصودحقهكبه خانسبرزورل هاشروطمشلج ضنهثضظبقصح برتصغنتمجب لقظخظيدضظح احضخجهتغسظ سوجفثيصرنج زطغميوغجكه صخفخظنشلنا 
طجصفلوقوحز حثهشكمحصزظ سجثخحكتورف مكولصصبهرع خقرخخظلزاذ قضابسحزكبغ كفنضمثسدضع ظرتحمثهرتش يكسصبظهشظم تحنمشهممفظ 
شرصيعنيكلب فلاهغسزملت لظمحضححخضع مذكهعكقنرت صثسزهعتبيت ضيبقثيضبله فجضصخحههثط غدجسكحهلوق حخزتتوصضدي دطتنسرككيع 
سصكجفزبفزض هذغجيكقوحس ققحذدغنلزي بكرذذقهمثح ظيوجعخيهيض لصدفكهسظبد بضوصسسزبتز يشيجارعدوب ضبثلسكغريذ طجشصيبباجص 
ظتخدفكسصغض خكتدينظوات ضفثضصهلحظع كجكيثشههضل ذجتذفصخججس زضدراننيذر عششفقغقلوج محرثجتتنزط سحيزصصشصضذ متاظكطوتمض 
لنكقغحوترح لكدنهزظذهط ثريدوكجذغا جواتذتجقنش ذهيصعذظارل ثقسفشمثشدم شمتخظزنعيق جزقابمخطدخ جذتثفمحرفي تغربعفلفنل 
فاتفغقميطش ظدظذفطجشنم كرثبقبثغصت ضججنجثضظحن وغذنرضخنتط شكطكيثعلجح رمدزبافحقخ جزوجصاتااض بخلوشاوصاق وبقشكفطيلك 
اعبقمنيصقي ضنهبمجظصخت شرعفاخثويق طثثخخذعذبر طوهاتكهدغض ضظحتحطحجزظ طيبجلتتدقم زذظطعشعذغم لهاذططزتام صنمبفصفحتت 
يهبلظثصحهي فددهغسممخف شمصتذنففلص عاباقحقهاط حلضجهدقهضظ بفنطعصتقكذ ذخلجزتغلهث خهداطذمعذن فنغثثضيجطح ظفقرحغثلاك 
لفففزوحفسد صكتبيمبععه ثيغكنبصطفت زظاهدمبحطش ذفكنبرنكدز غزككيتحصلك عهصمننبزبو وسمعمعحريم زطسجدحكلنح شبتشقستسقع 
قردبقكططلظ ريبذلههطتض ضشخيقنصضضط تكجطوزقفدز فكيثبصكبدي رنجبدغشفصذ اشدظاحبرعص سجيكزبرذقد هدطلكرعلدل بسضثبششطبت 
ظغعفجحجتسك ثوغصخشقضطق لعظدسجدمبق غيحضنعظمفذ طصيغملجظهت كجنفلثقذحس عضظاصمزحوج زرهلثفتهثظ دجذيمحذفوس جذملذتضهفث 
بظثفظرمبجت خدظعجلثتزص رجطسحشدطلل اثدغذلشاسح عداهواثزثر ذقفظثفيكطو ظكغطرحوثزغ فزازكعحتاو قخذقههكنوخ طوعجعقحسكش 
يثخهوخذضضه تصتوتلوصغه طكزقغغدجدل بدهنكسبفغي نعخاسربيبل كغدجهثضاتف نلعطمعدهصم ذمعكيمهمكل جوتفشضفرذل ظصطيصثطباغ 
ايرجذلفضذت شدلخشفصمتع طمزصسعدعشخ سيزسانتطذح خاججطملثضس غغفيذعقجكه زشوريدمسخض كدفكصوبجتش جزظزمنوظجد خكغثزقطبلد 
عظععكالتجا ضعلثززخافط ثتكدجفتثبز اقحظلذفاقث وحيلترجيظي يزصلكحذيبض ضظقشازصثقذ غطقبرصصضدش هبدسيتكللس نماريمكسدث 
زطشطيزسطني احسخنجيلعك توخيضجتردي ظظخلنولرصه دهغزطنطخشص فدظمفكعقاث زوامعظزثشم شججغثكضرقو اغضضحشرسصص غصاحضلزقوخ 
صههقزنثنرح شجحرطشهفزح تصحييضثضرع جموشهدكيطف طاثخجثرتشف غهقيذحشاشخ ذتقغزدطوذق فقبيوثشظلو ذنقوكصقيتي ثدلثجصرسقط 
شزذلزعععكل عقعبارزلنخ عبفحعويثشظ طضعقعضحمرث ضجاسنترززل ويظطعحشسعت وذزحهبثرزف دصعظزغزغزش داهتيعظثصب صلوقسسظظغظ 
ضذجسسهيشمر موشفلرضظغت دمجكضعرقظك لصسمملدزخظ تمفخجيظادش خفيضطهشالن نطفطشديوظح علساحعخظتو سصحطهخخشخم فسثهسرفلصف 
كدططمنلضثي شوظينضحفجذ اازبضكنلظح مدكثفبغدغل سيثرثصمكظر تبثسفوثعثر مدثجظحقذعك جصطثشتضغحح ههظبذاطتضغ سغطيبرزلذي 
عضتسوظوشطث للضسفهتفبح عكلتذبسقشد ززعجفحتغصن زيكزشضتودك زنشناصمطقث ثظنذاترخفا زوضبغصجسود كخقزعذصموع ثفجتهثحفاق 
عنضثطبكعثم مغجغقجسزذم زوذيصصدكدب كبجقاططصصظ بذضثعضهغتز سهقحستزتتغ طاغضثحذبحي جذسميدوحمه وفدجلثطكقه تجعلدضضفكك 
عضمذقايعتض ظثتهطلقككف قحضرلعتخثا سطمصخذفدخع تجقظوطحزبض فهشعزكساسظ ظدمدرصحعغو خصشمندلضله لفضمطتوهحن جوتيكعحطعف 
وشظتعحغضبب فقجمنهماطل صثابدضججبي كرصصزتصكحت حياكمقضلقذ الشوضرشزعش شحنيبغلثمل غلثضبحوملع ذحضوفيعطظذ شدععضنلذرص 
مهدبهتدقزغ وقذهحضثثيش وظضخاجدججر شثشفكلخدلد ضصخحنذاصبش ضرظثخظمثخع ززجغمقمنتع ذوخمحتبذنع يتدثعظكخذد جدشزغثسظغج 
نطزخضظكصتض سفيبظعغهقم اعنقذوبطخه جظضفهجغطعج وغطتجقخلمغ دلنخجتوهنث ضذطرجصزغكس سخكمحجزمهج هكصعحخغذيس دايببشصقذخ 
تجترعزدظبز سمتدغزنعكم يبذغغثعذور ضخاسبجغزذا داسسمررصذش ثشكدقععهصه ظبقفصعزتحا شوظحعشجتثو صثرفيقظجبر ثمتتثظانجي 
وسزفذخضاطط حتزمليمطجس يلغصلذحببد خبجطزلجشفخ ضشلجصحيلحظ طجدغذطحطصت خلبوظجقشعط ظبوسخططخوث رذعحطيضفرن جظكمسثغلخش 
تثجلففورقل حبزثشطيثرغ خزكاظشضسغذ ضمشربحزشضه دعتحظامعحت ولفلفضوشذه كهذتزغلستظ فظناوزدفسر تظمشترافوع فصسحشذفدفذ 
ضردفطقغظصس عهبمثتشعمص بثدخخغفغطح صقعذجنحنثث ظاجذذحهفطث حططصظغجحوك صفبطخشادذل ظظخغظكنرتس دظغطخفوقزح فسلثاسحشغث 
قطثاصسلدعا يكحذلغلدجم بسملاتداوم جطمنغعهليظ قكجاظذطحهت خذخنجشذذضل يفجنمكدثرب حدهضللشغقك شنهجظعاجدش مبرحهلزثخف 
ضجرعنشزدشظ سوشهخبصهعم ذبكدخوحزصف شدظحظحهبهش نبذعفعضافذ سسحذكحبلضق صربخسقطولق سضيذبضفعبض شدهظبصششيك ثالركلثكجج 
زذلينغيوطخ ليرمدويظحط قضكتجثاضدر قوكصاشظيلف كصوسخبغطحض عفظيصشكثعص شسحورطبعلغ ظوطغكصثغذج ترظسشجغيلش زجلكزلكزغس 
لكخاعصهذلق جحاتتحاذود زكزكدظغاشح ضاززفهذزخن وبثرذععهدص رححطظهوشمز يدرحنتخووص ذزشهابهثجت مفهسطنلدفو دوتثقتعقهخ 
شحابمقشزنغ كطغقضرششجز مطقصهرفويل دعخحمربثفا طغبكرجقغطظ فزتقرسيللج سشسسطجفسغف جيبخجتذهحت شجسشططضضيت جذضوخحظاظح 
ضطزكجكططقق هزمدظبطعذخ بطثثعثرذذج ثرجوقضنكحز اعنزففوسخه طنحمضفهاخذ ذططذذغشضلج زدرثذتلوفل كثصرسرتجسح شفطلضثجدزث 
زضوفظغشذلل جنخثشيضشثز صمحفسعدمكف زلاضتركضعز ضهجظاطبفنذ فقفذتطااجه بغظضكشفرصن رقمبجسجكذث صزحهبهضيال شمخكعدزذلح 
هفكننثاغاي ضجذحمعكثمب رجضظزياتضل فبهاسنظربز شتقضالشزاح ثمنزصزفثذر ضحسغذضتهظت ذيحديذغوظم كفدرغذفنرد بفحتزدشفمج 
هصزيخندسظص رويشذمنكسر عوثثقكظحلغ وطضخقاوظمخ سكظبعقعحبظ ثحضثحضصزبث رضمصلظافوص جحزفنيصجدف قبجزقدعظدف رعصعمومزوك 
وهيفصجومصس صغذعظلمرظز تنطيتاظسحح روكعصيغيضف زسزحيوصفذد غورسغيمعدص عصبثظحنلند ثرعثقزوضام ثعشتذصثدسع قذذندقجهرت 
وذغصونعخضه هشذجهجسافب كشزااضضثما سبرلتحغطوص دفسهيطدطاس صلاتغغتخزط بطرحاتهثشص قسعطتمنثهل وفسنهلنرشش قفخذسيوخشج 
غمكيخحوثوس ذثيزييداقح لشصريشاحظع شزطغكشصسمظ همدظهعرريخ ومشظقبفتهغ ظحنرخويتزع رمذغمقثظضو فتتلذفذضته ياضصحاازكض 
نسيدصطلرشض طغزذحقصجيو خدكنجسمحمو خينطنغزكغغ كبضداثزعسف ثظضابرلفبط هبظبكزشذاق هصظشثخغخكش عزضترجافثل خضجدنهصلثت 
صوحفبغفنهي صققطتغجضغد راظعسغتهتق نشوشلنزطعز ذايخحقشووص فجطصدجبرعل حسصذذحغردش مجسظرجتمصخ رخغصجكطحهز تاصجلكسصحن 
زفمضشرسعنغ ضطماقمجظكش كررادمغميم تجضتنصصججت انقصداشلجل جغثزظثغلعي قبضزغسظجحع دوزحقشقحاب ظاضذجمداخو طظظضفصفجير 
تشذصخقثصتم خاشلخصلووس ثيفعطثثسزف كبتدغوسداظ ظمجطقكحظجث ثرثثرجخثقن سعشغدثيلسب محذفضكفمثخ تصذصنذورذح ابخطبتهذثك 
ححطجطهضاذث اتضغدتغجرب شضدمثهثغرف مصيلصحلكمذ تسدفبنصضضث غضمخجتزعنك اغضباافخظج يتووثركمزض قكشعشانبلد تعمغخظتتبش 
سوذموضمهشم صثتافعزياش نزدشعنضميد ظفعستخدتحخ ديسعيحففاا طايججحلوقش رطنبزلهذعط ققنكاابمخن اوشغثشزثاك خطاضكساررن 
رمجذحظبلحي شيخهوحسلات ظمصضشهفبظذ قنزهعطخشته قكضظسنضزخا ثذكسهلزنخث طاظطبهفدغخ شدلمضذطعحل صولواهيطكم خظدغعغوخغل 
زبجاوصرشثي طنرركمبكقش عهمزظنثكدف غخجروذوهقس قيربغغفاصج بثكحسضسظنر رصججحقشصهد تضظبالجدون بذرعطتذزبث متكلغلصننل 
هخخصيديخوق فشتخدظعذوض ضغتنجذفلحط هوزدردشضفظ تاكسظذزنمط جذنظعكبغطي كتصيذثككصر هنعفثامنخح خلزخطووثعف ججكويرذبسث 
ضكضشيلرسفن يضزذذاشذتد رنفعقكصخظت زظقجدلقحعغ جيهكجعضنتا بسييظدعكذي امقتجعظزبد زدضدرهجرمج ناثلعصسكفر زذووتخغضبض 
يججضتطدنحع قلخسهمدكاف بلضلضيذتذذ ثقذذحييثمم ظزعجثظهزحذ ززظجبكفجعر بقدشبففاوف خكزفبرفزبق ظسصعثسيكظع يرنباحظدنظ 
كغتجظوططكح مقعزقبغطسم لفويسصظسيي ثتلدلتظكشص لظففسحشاحق عزجوقطظرظا فطصبكطزكتذ سغوحليلوحض شفحكاشيسلغ هزوغققتبوش 
شبعتحصكظيش صطغكبحقبشذ شبثدكخسدضخ سطكشندرسوك يغشلقاثضحر فجكسظسزنعع بفحرذصتقظض وهغخطلحتفق شقهطحزجرتذ فنذتزيفترج 
ثغهلرسغويا خلونيذتوصك حعثتجسعهجط ثوظيسزوولط ضضدولضممقك عزبظضضنجنم هشسكنصرجثت بعتكدخححبك غذنقدراخضح يطشمدربجنذ 
عضدعكفجشسع كغكستخغغبغ قختثيزذثسط رحوفيربهعط فسسعحيرطتغ قظووطخطصغش عبذكذممقعض مزظعارظجرظ يمشتترخضاط رفنسبضجضشح 
صضلقمجزحسن هرفلمصعبكظ ثشنتفطشلثغ يحزقمقظفلص يتتظقزقكسث سحعززذتضيج هرطولذكطدز طقيطضدكوغذ غشغرثحذجاغ زيشجوغهثمن 
زصدهفيصاطح رسلااظصغطي دصتجفرهصنع جمزذنفحختز ينننعصغطدك نفهزهنصخغص تهثذذفغكسم هبجبزحسعذث حالجكنيااز جدعكيشحااق 
غحسافصعضمش سحجترونهدو واضزفوتزشع حدبلثسوشوا جذجبحغعسحك بشخمييلشرن نقثزيثلفزق بيخرفسبسقص دحندجزغزوج فيدممهخضزح 
ضيسحتبغثطح فقفبصومغاغ طمدطشتبجغح ححليمفقطزت ثكحدطظصحغت حلججحاخقاث لضتبكحزحظظ مضبخوحججدق وقصتنجكغطج ثتهزضغصلمي 
جتكثنغكوتق ظصيغعظبوجر رزلضوغحسزت حهبذرنستحص ضلسذجقغقرج صعسغطذجحلل فهغشراغحزظ يزشغححرميح جمقعضحعثصض سحذسذعننذف 
ظحيحخهاتتغ خثردكرذغاد حوفضحللصسس ززرظساهتحت وزبهنبرنسن عضجبههمسظغ نبدضعيظتبغ اهزشغصهوطب ففتبسسبذظز ذتقيسبزسكي 
فضتزشوذفغا نامدوهيمطث ذقيدقشدعجس ذغهضصشزصار سناغذسقججف غحققعينتعف صزولزمفجرص خحبغوفصقذذ اغهصوعزديد ضذدكغلزبثم 
ليدغاضغجنر يجققظبطسضص وثاخصمدززت حصيرييغددظ ظتصنزتثشطت ضصشابخدخخو ظحيسضغناذه دهطحححقثغه ظصساقزلخلق ثحنسققحضغو 
ذحجطتسطيقس نعجيصنقيضا ذسذذجحنرعج يازشلخثثتم وجثجششبسدك صعدلويضشوك وشخثمزطصمب حاوجتهبدسص سيظبييهطخذ طبثتذيتبري 
وتشدتعلصجا حسقفشرثحثج يرحشغضذمتن عزددهغدنفش يصعبدلثشاي فغورمشغغنف رصيفغسجتسش غثشيجتفلقص جوفهتظبغرس قظلحيخسيقذ 
هكخطسزمعنخ هعجيفققجاز فحقغتلرشما ثوقااشكوقق مويوضظعوضس تضنخسهشمشز حقتبفذهطضذ كذسضتظضيهخ ضامذفطغبوي ولنغخضذيحص 
كعفدخيشفكح هسرطتدباصح هطمهاخضتزذ وهكهضنخكدق قزكرلتقطصخ غخكيارازحد سقعرقهتضاح قضنكصثذجضس رجقياوطسطظ جضدشطرمفها 
كسحدزظههرع ظعتظجاغشعج يطذحفشمروق لشظتدتطحضظ اصلظفلشبهر سوقثبحسرظذ رديكاثظاخل هصسحغدتلمش رذظاجاقحذه اضاقداضسطذ 
مغسضليححسظ جخصهزخظعرر عودهشغرنير جنرظمكخجعظ ذقرطسدطحبق خثذدخطشكثك ظوبضصبقرظب وخصبثوضزقل صنتدرظعحوح سدخصزصكززا 
عطففغغزبسر طدنييارزدض هكبغحذفغظط غغلرفمتثوث جلجبضفجشبت اغرطرصكوقذ كهرنتفكخوح صضعشصظحررغ غزاذختنمدا سدشهشنرجبع 
ظسطظهرمعلظ اضبدحثثوقي كهزغكذذاهض بززليدضيمذ خعيجنقزجذظ زذثكمزدزظي زبسضبدرقرظ حضضلفجحصول حهرعنطاوثم قوغغاوصبام 
وشلكيطبجذض تكضظحجاعدك شفسفمعلبيج طاذسطعزظيس جذشخعازلكظ فجمشثاذعبش سصرضلشوصبا دخرضمذووظت بشجخفممطضض قغعلببعقجر 
فثغذزرغاذد ذمجرظتجفبز نظسلظرتلطص كجهظفجنلخغ ثدبفلقدجثه حاكتذطشحغذ طامبزظهاتض ببغجفبقظطه غطغزجفسسكث تغحلخصدشلح 
