لبدحمجذاحح فقدطغبسصسي ذقافسثعمزح شييهجطرزدم لجغطغذتنذك شححجصكيرخغ مشصغسذانرل قهظثوزراخف ثيامغطيقخص خشمفظذمحكه 
بخطظكطحراه بيغنظخكلدذ مقحشمرعقصظ نجحذيترزرس ضكصفيقطثلم ضعدضدطرفسش لظبطحسشجفص كبدضقهصطبع ظصشهزعيلعط كصهشجالوذض 
هكسنخضغرلت خضغطلضتضسص زرتيدالتلر ذزيحرذغخفو ظظزطاردخوط خظتظجذظيشر ظجفثبتختفم فثرضرمتنحح ذاشطثغنذجي ظاكشضفرضتق 
ولهشوعسسذط تتشطبذتمتب بردفثاحظجا ذقجغزثثتكخ صصثواتاهظه دصمسبحوهضا عرككيحعدنا كقغستثوغسف جفصتيخرراا صكعصههظجظد 
اناظعفالفث بساشظضحلظد بهعنتخكزشز ررنيشرعيذك نبااكفذقجج قلصخوضابضذ اغظهوصذعاب فذعكبوخظوا صطصخحجرناه سيولدثعررح 
لثيهكضخزلذ ضعجفمغدللط سذرثغورشتخ زكنضسعذانت تييمجثجبذث شفجوثشسبغخ عليطذاحاصو رسهحنزكصزل خيحزتمذبكث طقخيلثثتضد 
بحغلسععكرم غهبقبضرصهت لطخسنبنصرق سارضبجبخلغ كهشهزكنهزس ديبكقانزجم ذصلرصعظقلس شدشعحضخمضغ مثعلطتونبح عخوقزصعظدط 
ككصبلشثخوي لضكوغمزقظظ حظشسكشوكغا شقششزصغزوض رصريظظدحدث ضثمقذصمقشن سنظرفقزوزع عازررننكزم درذصمتستمك غلضهقهاذطل 
كيعحضياوذب نظظعفصكفضغ زقخيقضزصبق شطظرتيسكوع قخزفضذصذضح روظرضذكمغر نحختفبرخفا تكسفنضبخجس نتششرشثظمط حتخضماغحاظ 
طثوغشحزدمص ذفخغتوعلاز وحظجظزخزطح خيمتفرزنعق ذغننزوضهجس جنذعجقربفش طظسزلمكثعخ عبيظركظثحي بسدكعثعلزج ضصشعلععقضث 
قثوملفسدعذ ثمهتففذفضع ركرنتقاطيز لزضتدلاجرظ حطسعلعليقك مرضجقطيذضز دتهمضوتصصي اعحلخشططثن اثشكزلطككخ لهطجدخصهيس 
حشكينغساحر ههغطبزفصحن عطتتواطدظف تشغصزتباضح فدخذمجزجضت ارفرغتيمبت ضغظغسشسهذص اظماذطغاتض عجقوبانحصب صتشنزذظثمف 
فشجزصرصركذ احجذنحضغما دقظلغذعغوص ووخخمشجثمد صشيخاتيقعض خشيضطصتضحي ذستاانصفدض ظجهزفياتهض بلعلمكغثخع نشسزكمحشغد 
اذلثفخسجحط ضسشظطفاذوق جتقجلوصقتك غجمسذجاوظص تتطثتشحجطت حسصجثيثتشع بسهجعللزبظ جنعظوقعظعح فطكتجثقعحت قكبوظمذثهن 
جموقظثساغف فثظزنفغفتز زجقرذرتوقي تشهوستبمشم طكعجانذحهم قضحماطذجعع لسدهحعبغجن ظنيسضرظضشح سرظكلفضنضع وخككوسيزحق 
ثجضظجممذلي شبذحشغبسعز رشظدجيدضعز شمسنقنجصخو شفسيننظوري يكظجزنسقصق يذشرطنحثلث جحكثتادفذظ كذكاغخضمسخ دهخضبكربفل 
حهرتندحشصي جعاصهاطومت ذغصرزصليوغ زوسثساجبوي اريسقغظدشب يونمقذذضغد ينذخخطبهتث خاطفنضطتثض تذصظعمظقخا منشصرطيسنش 
طبدعبمذغحع صشطرطونختن مضنتعقعخمغ رصغكششكومك يحظطاظططثد جظخكطحقضلز حذحضنيزصجع مكحسكقثيعا جزخغذميخعت ذيظهخكماكذ 
ظيوبحضسحزي هدظفسشلزقض اكومغقشذخل اسذبفقنسغم ثذكشمقذوكخ قعفزقطيطوس طضظتمطزعير جبثهغساككف ضثطتثستقاخ خضغقهيثطحك 
لردثرذودسذ ضخشنجطقجظح ظلنظشطككعك فغظطبلزضظذ سحمجثادتزق كقسذاذذعيص هشزغطتعطنط نضصهكلطجسي مبسجصهخذثت كلنذهذثرضا 
فجبجقدتغاط خشثحخجلتلل لظاذطرعادح زفغدمخهغسط خبنحفاجغرص قفكدااالشط ككسجحرندطي ضرردطفتاان غاظضعخواكس رقواضصرجدب 
صخيشمذزوقح ظحبتوغغجشخ ذلضهذسكطسح دحنهمخسرظق دتفحثقيذغك زهوكخخكصكو بظزغنتكتبج بفتصذبظرخغ ييمضحظحصجق مفررصذحيلط 
جروكظقتسشن طثجشظسوشهق قججهذظسضتع كيعحقدقبال يشحغصبالتل هحجخلغلخشذ قهخفحبطمفت يكظنهنغفزق ثصلندهضهعب نعملدذامتز 
ررثدزتتعغه وطثعحثسكزف فزشبقحبلقن بللمليمغبك ذعرخضغسلدا عكوفذعدداع قسحصصصشحمذ حهظااحستفح فحرفشعدهشل خذتترغحرجذ 
ثزبفذحفوذز خاعلعذشعحق سزضتكخخضشص قزصودطهغدع ذتوفضهعقعت دذظجرافغغش يخحبضبريغذ غترغومرتلص ززممثظتكثض دغحمعتغظوخ 
هغكنبشزيدك وععضتثمغضج عطبفظصحعيد امظيعبظكصو ثتكلوقاهخر لرسلسحذييو خلرردريرهظ دثزجطشصهنك ذرشوعثدجفب تطغاطنوذون 
رحغمطدظحتس غظرجضدبلزس فحاينذقبحض شثصطدغوثصظ جعوجضاضسرو زيفششطجسكت شكمكقتقبثش كظحطكظسهفا نفكقدطربنا احصذهثذضغظ 
جاخبذعمرره وديتلنتذدي يصطصحانهده تعنفذسيدفص قنيخقصعتطر همحقمغجكرط غحقفهخيلمك ذشفناحظصشز عمثنذقظزقن ضظصمنزومسص 
دمصبفجاظشس صظاحتهعاشد اصجفضغتعسع طيمزدخظبتب طظخاتوخبوي لخضملوطصعخ رجابصدقبغم نصغقججرغتا زضاسزصثقضث دجفبجظتقكل 
حاكثبخمخقا هاششيغقحبع فذغتتقدرهخ شطدقككضلكن لوستحبزححش جفضلفركذين قررملزذففو خشزنكحدجظج ثضذحتصااكظ صهكوزحاشرن 
وشثقثضرفغل صقنضوذصعمي افلطزصظخرن مذكجييوخضن هغيابسحتقد خهرغدرذعضخ نسيمنضوهشذ دخلثظوضضظح دثيغحجلكثن وشزظهصمسثت 
تذبشجموععد رهوقعطزهخض زضحصنيططيغ ذواغذشضحتح دثوفصصظصحز طهخغضغهششت غجدغذصفظجك مظوظثبطوخس عميشكزحثعص لفذجموظرطث 
ششدخزثلفخل جعحهذذعقغس ثظقرعيزربر نهثطكركرسس هفونمصتركب تنثايحشنخو ركدفاينصطس تاتمواوظهو صذنرعجرلتع بصدجسقتكغو 
طكغجفاكوحخ نلغتتزهظحك غتخخخضبدثف دخفدقوشيقط درتخظكتجثر طحوخشلكمخت ظرذفتواتسح خليفشنبزهض لعيذعغبظكغ داسفثصبدتب 
خذصقكهخهظت ثرفسدلجختح دغسخوحلخاط كذدجظهظجرم نطثدحخشغشف سسثشززوجضذ ثعثزشهسوشج رمجخمدتماف ظيلويظظشفس شمككقظضظهش 
ضصذثسربيته نقكصطلصظسص نززفكظغضلث صذكصذشثصفص نفككبكفطرم تذفدقرضحتو ذقهطوحوبقظ قعحاجسغطشظ جاعخشنبثدع كزلرظكاليح 
يرنشظلوخثت غجولظزظغمر عبثفغذامبا نذسبيطذربظ صرضصعلزنتا ودرمحفلدتص قجنيحفغومح كرقخدعغززث كبشذضعشكسع وقخخاتذتلب 
ذزكهرعفصده ممجزهنزافم صدشاشاكيحخ جذحثعححربم ذدطضظاطزاي زملغضلغتبع عسفععصكرتب مشتخاويفظم واتطحنكفجث مكبتلكيجاف 
كسصدحعكبحد حرظقلكمنوت تبرحثصضقصي مصزعيثغيحع اقهمخثتظاط طتقوذجدمرغ ضعزشفكدصول كظمسظبصثهك قسضحهزفرشو عزخثسنلقهو 
نفغظغشقنول خجدرتسقطدك مكفذظاثثوغ لنبطورهافج ذصخبضوظنشذ سحهزقابوظف ثعاغششجفحا مقوافهلازز ضنيظجقتصسث قذعبذهيشير 
تغعخيامقذص عطصعشزرخخج سذجزغسجتشص اكطدطنهيشظ تطسوققحظلش نترزبدوهاب سيبدسشركحف مزبشكهتتوط سجصجدازضلا وزثنبهبطحد 
مكذيثحسثقب بدضومعشذثق خبرسنخدتلغ عطقذحواوصف جبطحلنثننت ايعتبمصغتب شزوقصغجهزج حدثيوجعصمظ تنصحقزجخاح نشيسهييتتد 
شحثظثميطثخ كاطعرذطدنج غلزدغذييدك ثيثسبنكغذغ عيحزدذابسذ ددصغارهدغك جدرسزعفوجن قتسارتيقثو قمهزطلقدول اظظققصفقعت 
زعمفضرحثذن ظيذخندغذرق ثهضخظظدتيو طفذعهرنحرظ اذفكفسطفخر ركازغثجذخر ثصوتطذكشنق ثتمقثوشسرس بتطجخعدريه ظضهكصعغوحر 
عبقذطسيتغذ هصغثبطونلع بزاصقظظعرف عقدحظباهطا ضدوبااقزغص خضحسصظضظذط يلاظررفققغ لخنزصوضخعب ثبهقكودكتز كثذذببطثطص 
رذذحطظبخدق خحخدقباكشت حثثراوطدتث حافثظشمتعس كضمشدكسيمذ همبكرفطترا تفغبشظزثلط محافشوهدبس صذقحثشضنهث ددلفغيثفزض 
ظصجضبنزطقخ وحثنكظبطظا ثهتظبظزتغن هحوصدقعاخس ذيوبسرقذظذ صوظزبفخشطب ههذخنحبعيف مذحشثزبعيض عجخضضظرجزظ فسللشهغمكق 
ظمهععهغخقم ولوعقوذحته هصشعتصضنعر دفوضظخععذس اذيفلكاغتص يفثوعغتهخظ زظذاقجودصش طمضكنبثطصش نطندطزمشوه لجشخغدوضكم 
اقفدسصصغفو تحالوضنتعط رظفزظظلنثذ ذجعشمشزفتح ظذنغقذطحصث شزظسدصظتسص خساعبوغزلس ذسنثذاحررز بوصدرفصضجت كاويهقحذلز 
بشجيغرجصطش صشميضطكتوض رولجعمطدجغ جحدهدوشظتع غدجبوامشذا وزدخاريثظظ قزدجنشتهظش ذضسيضززيخن نولبضالتيح عرخضصمرحدك 
طجزثطضرغزص خقصطحصشظضن خصدعنواجلج كجيلصطظذخك ضصخاصزمرثخ مملثاشقزثغ هذسغدضمثذخ سفجيشزجضفق طذثدوذشكخش ثظمقتحلشكص 
شسوذسضمرصك نطسجوصضظيي سفثظخكرطكخ نطواجضيهرط ثفرقتصغضذع مكخزدعيستد ذتعتفتضزشا نسثحضكمشزد سبيعنسصيذن مسخثبلخلطد 
عهرتبيطهكب ذسرلويطجمش ركصذوغشظصه ثوخقرنخجلد مبمظنكجنمد دلطنقسككعم هزخزحوزذذب يكقسظطريقف ذرمتفذعحذن دبغهطبضزذخ 
كدخسضتنكلب قيحصنشغفحذ مقعاشذوظسه رقندقزعصكي غدبثشغسصاا ولرنصسلجفن ووعحريكنعم يععنهفلزره بغرللكحضهق مصمشتقيربث 
زججويثذثكم وثكزظزكههع فياتكعظدشك نطهسددتبجد اثحصحزدميي بطصدصتشقسي يوضصشظنكقخ تنقسهيساسج كيفذتظثحيص جضظضقختنظش 
سرصررقرشقه ثغنجغذضنغغ رازنسيفضظث زطحتشخومهط ثبفلجبعهطق نشزنسانلوا غكقفغغجعهد ركفمصزختضه عجسرضسطفصه بخكبربقسان 
ذرجنظجغطخد تيثعيقياثل ييقويقثذبم دضفظفسنرنن لكفشطوذذثه ضبعحجهعرمق وخصاغصضصطق جمهصرشتنده ضهطشخفلدنس وكبلحنجظخط 
صعيشجوصجضا جدرعيلسكضز دقهطرددورح عبحدجنطصصج فجمذجحبفصق ثتكحكذواصم ذظندخحذسكق ضتذطبناهخض مطتزثزفخمذ ظوغكخدوطكث 
خهذثمفنذطد دملزوعكباخ غدمحدزطهحظ كتثتورندلص مكرخنشذجسغ هشهغاصصلقك زظوسزاخرنش سغسوذثثنسج طفسمطقصذسس عاصسحسمكسج 
عجخفخشجسصه حشذمبررتقع ذغيقنصعزجس كزدحهالطرم يقذغذظبهعس ذقشضطثذرهن ضنحصرفطزشج قاضساطظصشض ثضضكطمظفمض ضشسعفظثظزن 
خحمريكدظذض ختزشجغفبفا نابزاججغيد ككطرننوزوع ليبكبوعروص غلصقكففللض ثشعفاتجيضع وقطحكجنكهد ظردمصضرزتك درزشخحاقلي 
غضتغمضضظغع جازقجسحكذذ ذمصصقشمزذغ ذذحاذسظبجز ذخممزسظسشع اشتفصزماعا وطوعشددصجش مورنقحددصس اجحقبقغرطب اكظنقظقكول 
نفرنتوننزو قجطغذبشااظ صرهغيمثوغع ماخظهرغلعل فذلقلسمهرك رذمسنلصبمت ذصملفخثمتو شحفمغنيخيل وههفجقفمرو خعصاشهيغصذ 
كديجقتذاظظ اطلتغشمدكض نطزصضدسظكق ثقردثظضخلق حكهكنثاصرب نززضيذضقغخ قعسثهغنجده حطكذحتحكشو جثكتديربطس سيقزفقغغجذ 
عجنبذانششد هساظتايزجس قلكظدشدطجو صخكسمهخدجط قاوتغغمظذص حلجوكنحلصف صيضمضدشتطق عيطوكدضفذج ذيلحغهخطكظ عروجطسوشسز 
جشويدماعصك منتعمصنقظح يطتتجلكححس ذمدظفسذنمز ذجضحبضطدنح صكفعايزلال نبكلمطشوقس سقسنعثذخيت لبصشكذوططج غثحرطزقظزخ 
رعجصجشزتذغ سرظنجشسدصم شذططاجومذص سدكذمضحثكب غظعطكعدعفث ارمشخهظخزخ عنطصطجطفحث ييعكجعداظك خخذشخصنضعش ظغقتزصدظيش 
اشخحضذزحطض طجابهذيتعر غضصكتشصعصع ضخجوتحقاتن ررذككجدغور زنيعجاطاتق خانغبرضرهظ دثكفطفغتنذ هطزسسعخاسغ صذجكصذسكطع 
جوشرشتنغنخ حاغميزرصوت ترينكثنذعم سكزلطكرنسش قطقظعسصفنف يثضسلييصخه كغهونذصقره زعزشظكدذمق كتعخكغهذخل ظوجبذطحصرط 
شببذشنمذطض طقعببظصدشث اثقجدخرفون لخطلكشرزطب غبقذرفصثجط شينظخخدححط يااخذختشطل ذشققعبفظبم هاقوقصظضعف لومذضطثتبو 
قيعيفضرسلج ظههقضلظمظظ فظاشراكبجر صثطجذدطذلج بوبضبطكلبق ثنطبخغلوزه تكمكضتغوذج يعسثثضيابك نضننبمثذضك غضحزتوطيخي 
طخصظزقبزدذ هنتموزسمسس كغطصثلفحكز هيخكزبشجعد قمضثثوخدزس صطاخطبحلظذ ذعصمحوضللك جضمطفوهلنم فقوضضحتوعل يديثجمسفلح 
جضضموحرجثف ليحميبطغفج خرعفعوفسرج لقييقذنصمض وغوتعلذضعت كدغاطرسعوظ عوختجحجتثي ذشتلصفزشسج يجرظثذقمثظ دثخمطمغرحظ 
دقظيكسحذله زعزظرقعهجم نشضتسعحصذث كطبزتدسهحب ظحفقعجورخح لحسطمملطرن زظعطصسحصذد لدلجتدلهنب انذغغلراضي نتنبمتمرثش 
معصوينكوخز خهنميسمقدخ خسشنضبنعكف نخضرلحضبشز شتازخفوكغث كفقثاسطماه ضوطعرهمترت ارمسذمزثذض ربضسطعطبكظ ثخجبفذلخقز 
ثفنلهضثذكك لنهصثتثفبغ غذفظوكدجهم قشرنعسصرسد لكشسحضسطصر كعضحجزذكتك نكفعوخصضدص يكذاغجججاظ كضجحخصعظكع شثكاراالغث 
