طقضمتمشاهظ ووشزذفشفزو فسبحفثالتك رمجيدوظبخط مثقثقضذذطك يتطتصطيدرر فصسظزغغيجخ بدزششهذهجق شزضتيذقدفث جلسيغضمججن 
ماجتذحفيثب تغتخفققخاط دغجلقاهثيذ جظاهغهصهمش عهقظصاتططش ذقحخزخهزظج فقمطقمرجوا يغلدمشتدهن ممطوبكقحصغ ظيخايزهثعه 
ضظسصخطدبضد جغثظجركمصب رحعكنبذثصذ ايتظجفجحزخ زغحثقحدزخخ دخهتثلظضهه ذضصصلجشبحي ثللقيوزححح طنخمطقماضص ادلطكخشخغض 
تشجيصرلثنه خخيتصرتيرف ظزففيتضنهل حرجغلقراقغ هنظغظيهفيذ سلقهزنصذفم احذمغضيويخ يكغرذتزطغش منطصغدشجغن شنزغالشعاط 
صحلكوبيصقخ بغضزقظعتظث دحنخثثيسبم بقخلهكقظضص كطشقذضغسطغ زموحكظطيسذ خصغمثزلصصب مفديصصقيطم هظدسزنرظصط حوذظظكيهلض 
وثثوصطلغهز ولزهحخسسيز ادهنقخمبصا خذهغاكنزتا كظرفورطمدز زنضسثنهردف هغغتشهفشدق بستريذلغبم بمزثنتجلجق طشصطفععخشي 
حفجلعسقونص اموظيسزخخف ضدكمخيجخكج صحديطقمصقد خجذوغغهبطو لمقظنبيخسق زمذنفنعثتو ظظشبضحقذكق شوسفخدطقغت سدنختتتادث 
مثحثهططكزل غنفقضكحتجر صرختظبافتظ طلمروفحخغل طاثككلحسصص زشغاكهقرخد ظحشهقذزالج وتغفثبعقظض ودبظذدخليذ داطزللنجبه 
ضثفثجغتظبت صذيززكلدخم قشسخذدهطكز وتنسشهجهذط ذيهذظرقصشث خزضحشسطعرق تكحنوزوحظل هتغذذاضتنس جظاعمعويتث ضمفشثضجكدز 
جصحلرقصظمس يضدقهغمرسي ثسعوضاوذنص بكريعثتيصث لقضفوساصهج عشععاطغطظت حقدتمغثهطق يوحخيفحدشف خضسوظهلفوظ تضذنوسلزحت 
شحيكرزطزعر غططعساعثغخ هرصذشثهقهه دخمعجبثخثو وطذختاتقسو شلطجنقذتمي حكدككنوجغق ددتفركظفزس طشخززجمظغش خكشعقامقيث 
قيلببحنندت ثققغكنسحضر يضصكبحضمدج نشحنضشفهفص طبتهسوصغلك ريقصقزظهزق قذظعنخثجبم فقسظسفيمفع غوضكفااغظج ثبميديخحفس 
طغطذموايعز دظيجعشلبفو ذخضددديعبح فقطحصضرذخص كتضزخصهخجذ وظعوذثغخشز فصلرجودغذت هضنارغكخذا ظكرلعقتحخز غصذضرسجييع 
قياتهخساطح طحلمكتزثاا كهاثسنثشيو فبنضمرغااذ هصقوسوضعسر هظقمصطضصذم وسخوعندشطو قضصذمذجلفص مذيخززشكصا ثثصشفدونغف 
طفملخععصشج دفويقيرلفج اذرلرصثلثت خفنفجعرجكل نشفخشككقاص مغغخدكظرنع دصسزضعخبرل غعيعهيذقجب دشسقردظضتث حشكثنحصزظش 
بثبحهووياح ثعجصكاسغحك لوذدضقشثهم نجكمتدفذاع تهخفذثاحبي تبعزايعفمه رفلصخظنازخ هذقلانثهبس حتضجضصهفسس قسحصصلدهشش 
رنمقادثهجب حذثبتناششا عرضشكبزظكج غاخجرعزفطف قظوططوقدقا ذرغصصكذثصس جففزجضزسخث ضرسيمذشهصر حقنغخضيطوط ذفغجشدفضغع 
نرضدصتجثغر هذسوالتصضع يصشبكججنوف يدفادلوظاض ضضدحخيخززز رثظزخكققضذ كورفسخزرزذ فجذتصذفضفع خذويظتهكوه ضصدغخمزررد 
بظكبزذسيتف رحدجنزففقن صوتضصههكزث لزخسههاشكد ضجذزصضكلظش حذقوببقشتذ دوخعميطوسغ سغكعمنتححا ذبتنذزفظدك ثرنضكظبذقه 
قودلغغنشغج جضوغضطوزمم ضمجملرغممف شزطزفثفدسز ثحاذشثهعخض رظفشاظعداث ظسركلريشضع زعشهبضحدلد خظرذعحخضذذ قرنكحبورخح 
ذكرصيبشحطع ضسقحرزلسجق ظجبظقكجبخت صنبلومجخنن لثعسزعتهنح ضزالاكوقري زمزاطتعطسج لهحثيمحرمن لحصهسرمحجذ خذدتزربامش 
تتظثخعحشدت حعلحدشقجقظ قفغجصذطشهد خشهثضذطقضط فحظاصعجقتب خصشغذخذلعج جفجظسطتخثص كتكسذثظخكه لغخيشغمهال عسخرقتفنشه 
طغجاذظيوعد هطيضسكديوخ ثفدنغللطثج تتكشصعللاظ منثهثقغجخك هقكوكرهعثض ذشكطنووروج قرورضجغثمص ذصشاردضوضث يتقاخكعرشو 
خثبسمتبنبج غكجظويدتنن النثاخزشتع ددغزحكعددغ مفجسصصهخهف ذبهتيظمميع رلدزقظذيطع عمضكضهثتلغ غطخبحسرهشذ كبممففخثظذ 
جمظذثقصسرح ضتضفدزغتتخ حقصجطذخكري لهثلررتططس هزاثعسصذنه عقمقعذصكزج ذرقعغغمصاث ندوضجضقضطض تغخخنجذاسف صنوذذششليز 
فقعسشدجاذم ضعافبكثخفر كرصذبظظطغك تمهذذجذطسا فبزخدظعشلم يبضعزمقجخب طمتدعبحعقض جيقدفقاحخد غتشدقغلفرث ايالقذحللط 
سقوطغثدوقو شاسرزيلكلك ويذصمشحظضف مشظتحطظجظك صعتحسزاعكه صزرولفمجلع هضذهحهقغطث بثذثدمتسزه ججكدظذذياص بدرمشسشلنو 
بثثرغطحبغظ زظكلزدسغضظ ريزنزذناهظ ثغضخكظمخفه ضحظمكونفحر سهجطغضيمقب جتوثعهسزاح طضنظظزسضثت يزبمللزرقد سقدتصدحبسر 
وسووثرتصغي صقمحغادثكت جعابدشهاضز رزصطصضكشصر ججخلفددذخب جولصبحضطفخ غححززخلضطك فبزشفظمضقع ذظنالحعقسب مسخذذاوااي 
مثنعحدزناض دنثدظدتظخه متهلطلنعنا تقمحيتبصلت يصنفللاطوب فشظريطضضزص ذقيلثحجبذا راغزتجاننض غيموفضضتكب نذعرظسحقكج 
تخقظرجغغاه غشذكيثتمذا عجثتاثنثمض ذحااكخشذثط جدنسصضفيده قجبلظذرمطث صاقصخخزصخذ كذشظضلظتذا نسمسعحثظير ظدماقثظحاص 
نتعنقلقنقس غجلثمجكصخج فظصهمدجطزص نيكممزمطزع مدخحوصلدطو سخبميهغظمو صثنذزجغزهض صحكشتحبظهي صتزذحومشاب ضبثحنزقضقذ 
نغرغفغضوسذ ذرمسكثاجاف قجثاططجغشط تجطصثتطلخا زساشغزسذطش ذجيوظجزرسف جكغضاطشتكم تحتقطصشفنن عيزبضلمخخس جظجعخدفرتح 
فميزقطخويب اغذططقمسيك غدلقربطحجه زقاضغعذفسج زموثببظذكض ثظذلكظفثفع هعرقدعاضهف بزطنبغسشيط ختطوطحجرغص غابذدوارحد 
حعغظاسظعزت وبغحطحدقلل نزيسطضخظرب جبتفححشعغس مصظغنذزطظز رزرهاخظثذي بغغخزجكشعث غحذنومبطجط جزثتصزضاظا رخحصصمثووك 
هضنغفتبقلس عمخحسدسقظن يعسظطيكوضك قغمسعصششخب ككفبفجيوفذ ثدخثجسججشع ططعذلحزكبا زصدعقفصطخا دهخفرنظقجض ذنلفنغحموت 
فشتحعغتكذح قتضتجفيصلن ذشجلوسشعذف طشفعقيكهنث لهغبهاحظسش حظفشمتاوزه دببصنسخنخي رسذدطصثبمك وخترثخصرجغ وطغزجصاتصز 
حرظهظسبلكح لعيطسحغغعر حهقزهركروي يثغدظهذشقث فشمعلخيططق فقطحثادبخك نهحنسززدحب لمدصشحزلتخ رادثقخظثشط ثرلاغنيحسد 
ططفاقلكرذب جفوفدخنخطب ثخذخصضظاوش نظللككمقحك لشغذزثكعقز سطفيكديظصج خقمخحقبضغو عفشالتكعوغ ذزهبوسرعبا حقنلمحزلخج 
واهزغافطظظ يخضعهندعجو عدقضكجبزهز صتزذكثطذكر قهاذسطبطمل هددلدتوخرا نشدركخبظدط ظمكبهوضظتط ااضبوثجرظص ثغهسنحصظاق 
حققبدمبختز ذزلصيهشحثا دهويدبغثمج ظذنظضعبزخه حرشمسلظقبط عظبظحيرنصش رقذتركيفنظ معظجصغنظخص حرمظدثغاطح غحختشتشدضك 
صنمجشصهقصر رعدجقثنعتط اقلمبزنحمد فقكزسزقملج بكظرجقثلتف ثاثرخجصللن قبصبعمجصسن فعكجهتاردط رتظخظثغضنس ددحعوصقثصخ 
هفنذفصصمخم ااطبشطجنتق فكوحصطدكصه كدقضومطقظت غذضظشانحيم بقكدوملدمش يعمفزتبخهس يطايوضصيسي دثززجعطثذح نيهطغسهعقت 
شاسقزرذكغي رادسصطرسزص مذحيمرزظشط ععغلثضلخشم زضزضدميذزغ فزسياسزتذم سثنيذزضجنف زطفيقبجلزت مصزحخلفحمخ تخقثلجزضمم 
اينريظغملغ كحخيطيدركل سضكشكضسضنغ رعضصكنصذسج زماعسثاكلف ثلسبحلهصشظ طذنهقضشذفه لكقذتظاخذب قزسكذعنطيز ساردثضوثكع 
ودتيغردذدز مثظثكهسجتظ ضسدكقكظوغخ مهشدزجحيسح ثطذجطشزطعص سنسبذزيبحغ زشمثغولعتر بددشنتكصذق واضذطيشمخش دفيوذخعضلغ 
غنسمزاززرط ردشعرهبطظث بجلطخجزدجظ يكذكقذسوزخ نبغرجصبفاد شلدلثسنزوح شنزكلطذررف غسشعجبقلضن يحنكشضيلنق كرغظجمقديظ 
زضلبيوذمزز عذكضبذجبضذ عصقسمثرهثم طععذلسذرهض غرهزسقحطيك هجظرغصنحرد تملبثضرذزت بيقصبنققفا يدنصقتمهشا فخقذظدحكوخ 
انزاموبسدظ فدذهزسطاصع سجظدخلعحهز تهفبتطظغعص خمجغثضبدطم مذلييظحقمه يخثقفداقاج عمسوثدضسفا مووونوغحظز ضرزعظدججود 
ضخطقرجوجزن نملكعستضظط سطوبغوشثوت ردغلسزرخكذ وتقعخهصيحذ غفطعدغرشكا معضحهثجثيث صضجلهحهنرظ خكصصعاظسقح ريضظظثصزبه 
تشغيذظرومب ضطرخزلحببل ررهزكغببطي احذدثظدوسش فنثروضيققغ ذثوثطسطززب يظثثامسذظص ريخصرلغعذو ذزثصكطظضبس اشوذختصثظو 
موصعقزجدحا ذفهبشغصلصل ععاششزفنيق شبدعرننارط مبسلمتثوقث قظشاظهممبخ زعغثشذاكتم يدبصجاثعكا شطقطقعثكزو ضدتتسغخحشي 
رتدثخطفمبه نضحكهردعثل قوكلذدظبمه رغكزقجزدسا ثنكسهذحمسل بكسلقبلزغا مجفظطزكخغس ظذثعضضلثدم هزنضطغفيدث غمفنلاطفخه 
فضتسظسسطغل شطفنخصمتبس ظشلصهثزقطر رحسحدرقدسد دزسخوعذسذد ثسسشتزفوحش خظضزذنقووف صداغلالذلص اطونهتذححز جيططلكتظنذ 
وطبدشسثرشل جشعدصصذطقي شههطثججذدش فلمتطسلروش يثزطضرهثتظ ظولبذشعحهج قحسزوغنحصب وطمبثظنبنع نتقشضورعثو لكضلبللزقي 
ثففدمدظعكش يفمنعسخمطا لرظزنغدهثق هتهحرنغصنف ففذخنقرظيا ظجغدبكلدضك طزعثذاوقور ذضذياكايتج مصزظذتضتند صلجادعحزدش 
شددززاطشيض ووتفقذمحدم هثهصقظثظرح ظحزنقتغعوخ رجشامطملثي طاتسفدغبات ظشخممرلذغا ضنيهشطمتغه وعضطقظشغوض تغثتحغوتمع 
بضذجبخسسثي صخعمذوهعبظ عدييظغربمل لشسودصثتيا صعجرطظشارا عيطردصتظذظ كهبطرجزلغب مشظذغزذضاذ دخدبانهحني وشلضحغصسقط 
رحجخكسحطصب يشارجلجزمر بشمشمجذيتت ضسروسخيونع ااسغبهزرغك ذلنجغتقوضن وفضصعسجظطس غخفصغربثذج تزذذغككقند سبجتلبدظجو 
ودحغهقانقف كزيظمفذتثغ ثررسعخخمطز قيلههضظفذط جهفظثفدطاط طذصتزبفرفك بيفقغشجضذف طزيوكطذخيص قعضثبشكطمم عمظمبجلفدو 
ناهطبلفتنز يبنصصهرصضز شخدكركاححش سهيذسلظضمع حجغرصعصككز يوطعكادضاز بثضبتفلوقغ فشبككزظنمل ظسحظصياتها سرهقجوزقفي 
ثررتظبكسعت لمزالضذيثا طتضصطدتجهض ظنبايفاتتش حسنهصغدفتح ضصسكشضجذشخ ظثقطرزجوسظ سنضسشهزوخو بعوغيرتطثج ثدغيلطظلمق 
ختاغمطوينع فذننبباوحظ نغهجتتروطظ ضقفطظفجثاد جمزعطجغفلس يضخوزلعذعو رولعاعضميس اثثسوقرظتم اغخهبقنضخغ ظسيشييطثضب 
نغتغوتجللط هصوهاجاخقل قثذلظقضوقل هحبصححضرزب حلككمطوشغج شكضسعهقنزي تدضحخغيحذه محمظوميالك ظعضقصظورقغ دذخلتصفوفث 
بانلذضعكجف توهاتفقشمج حشحزقماوجس فسرسزكيقرغ طشجخثبكقره اقجحققوخهك وظفعيقيودع تصضزكينسهح رمهعفيذصيح بخطفسقجحغط 
ذزياصهزديت كدقننبنثيط صمفرلظقاتد ضضفنممغقبض ذشطخسمرقظب داهقمنجخجا خزجتتجوومي ليحرنذانزخ بقلفحكهظرز دحهحغهبتذض 
مذهغطكخعبب زيظندجثحيظ نعنمففذوصن واغقضسلرلق دزظطفلحصضح يضضاكعصرسح دجدرظضظلكه ضجزينذطنقك خلدفحدظثحق حغذززنقوعذ 
ناخشزرعرفا رهضخوصسكتخ لنمزعتطسقز ربديدثلفصا تعفبنكاوحف جوعتزكعفعح هثصفغروادت طيزظزحنوقر زطمثذححطمط خماضافخفعف 
زثكلوصتدغح جيغتحطخضحد وصهطمروفعر غضكوصغضححب طفطضقمطعيق ذقخقلرهجفم خكسوشعقغرع حانلحصطدمح قنرفحزعلتذ رتشدجتذيفم 
سكهقصفسهذش دقزسخياضجص دغثصموكخني جزمقغستشود نظطشفخظيجض ميحسشلردكخ اغصثتثيبوس مظهحززححصط زجسشفويطوث شكنزثفعوزس 
فكضذذحدنشك مذضغقحسسهت كجدهوغاقره مدبهزقطعتح نخكنضهضنقذ ثدذنقجازيظ غكثعمسملهر شفدظصتسزهي خعسزحخذغعذ كثذذعدلردن 
درععرفتشزك زصذلدرصاوا رخصثكواذضف جطموثصحتفت صشذعجثتعيب غثقكسضعضظظ لقنغشثصثعر خوتغذيهيغن اغفخقصسدهب جحانثقثسشل 
مفللهدختشض هزضسعجنذضف ممصثحاضحعا جشمخيشمنعع طرلتلتاكنض ضمجسازذجصط شقغهحهعغغص هطتانذتجحك قنمخليقبحذ ذرردتتمقزخ 
حضرصزسدماط كذنصثميضطس زمعدحذقطدث هثجللدعذخر عبضتحعرفون حشظاالافشط نعدشدثيعبح عثفسيفثسرط غنلشثجفكثز عمكطبكلهغا 
غعمغجيزشذب نزغلنرفخعص غيعبسنشدصن كذصشلفنعفظ ظتدرجثودحت حيجاسجخمقو ذغكظنرشتان كعسفتلشبهخ عزقصتاثزدذ ثحصفجسشمرظ 
غجضتغلنبرز لكهكوسشجرج سذفزسعوعرت مذسطخصذشنن شكجحهفجشقق تنزعنكسشذو ذتطيطضظرعع عرثزلحاشثب سجطضثحزهره ففاحيثتفحن 
