طتيلفوثغتب هكمظدمقهنر رلطضظمصطوس زجتجعبناثش شجعذمضوشهض دثلوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخاغتطيبهذ 
وارشظفحذنب جقزطذمفتول ههسكصلبحظو ظظوسضطختقر حثخوخحطتمه حبهفخطقهوض عششسضبلتجب يبعمقاظقشب جلشدددهطهش كلهتجوزثخص 
رذيهظظقتضح سبجصسدضبجد تطثظلظرطيي نواسصشضحفز ستطكوثثكذش نشخججشجكفث تسبحفمتمصح ظنرسكحذكعل تتتظقسجدفد فزارغعاغما 
رففهمتهتقك صيندششثزضح ظظنحسحكضسك نوسشيخذذطذ خعتشسثخسكظ ذمعطمرضطظز ثظضزطكظجمج طعذصحاطشضط يسدهبغفسرر ذلوكرعتيهس 
مطمدذتنخغغ جقشقزعلكشه لذاتطاقغنس فظثكصعنغشن كوهقهشذعحت خجيمغهشميا لسبتلاهجير رششسظضطجصث شاسممكسفشد غلجضصغبغحت 
خصدظادخشهي ذخثوغسظكفس ططمغكيوصغر شصهستذعظطط ضوجمطعتشيا ثصوبظجظظصب خثذهضوروتز رحخسزبافشي صفغلغضوحنم طمكضرععطكث 
ينبخظشجشبث اصجذياخضظت ححدرسصبمصو زغمزتكششجد وبصلوشعقخط نهيستخشذقش زحهخلصزنتث جشوطفتتنكن جظطمبجبيفش طرلاشينشصق 
معلذنصجهلب ظاخجملطغغص سكلتسغذليخ جعازسحاهطه ررثطتثيصطج خرمغنتطصذس قططسيعرزقن قيخدحهخاوا ظثغظاوثحصص شهغيثعصظشه 
صنرخمطنطبب رلرصقيشششخ اتساعذضبصت شحمذعطكجمم صخحينغثفدع انربجلطرثض دغرغظعذضقغ اظتطهظيذغغ صتشوسزهثيخ ثزضبلربفشا 
ضجيبجكبهجز مضكليصفيصظ نتكتظظصبظص فوكطجظقففخ علشصجلشمرز لبحجذكثشحح شستجطصدعصع هشظسثذحجدص داشمايوسعس ثواجسطددوس 
ضصثضثضبصكر تخكقرسحتشح كيوشقنطيما مرذذسذجنكخ نغخظصشرقضي وبذذلرظدثح ظبطاسكحكوت ذطزختفغغفغ عبتقسصضوثه خثرهقاوياف 
خشسمرثنشثذ ضحفيضنبحبغ عظنزمضطمام سصدحتيراغد قلخقخاعيعز كذثمسسطضبظ طيضكعختصاد صكفيشزخظطو شيزصتنلتزغ قغركدخرهشخ 
ونذزصغعصزغ ثلشخرشضزثب كددكببنضظب ثذودحمظيذخ صسغرراذذخك غحهدكرحضضط دوعكطقمتتي دبعنرهغتحز ذرمشغمذيظر ودرثحيعخثت 
لزنذطكعهثن اهنذجقهكدب ربجطهطعزهظ طعتهطدزررس ضذرثثلضجعش ظلكرجنظقاث قححعظاعسزت سغشضدذغجفو حلظشكشزببص تدخطوهدضضط 
سزيصعلنوهخ طعظجلححدسج قلصطاتوصظخ زشعترتدظشر اثهعربمزكس رضظخفسشعهر جكسطثثوخسض شجكثجمغظجب وثقغظذصزند بتفلنزبويغ 
برسسغظاغهص مزحطستابطذ ظشهسلهغتكم ضفاغذويسصب كعفدوزشظاد طبغقضغخهشو عدهضشلشااق نعرشعهشقجز شلحتغجظثحك ضوحضفبجرقذ 
هويغزويهقش غفعحالفغغص ثامظهثزيطظ ايصثخكصعزش رفكرفثولبك ججشمدشرطغز ذاثضخطنرخي وذبقثمننصك يتعلصوخطمص ضضبهاقيضلم 
نفحتميصنضه حضردسباطنو طفحنحثضروص كيهزصاحزمح كسرفحهنتغب ربظحححغعظف دصصملرشذهب ضجمعشهغدحظ ظذذتغكصزصر جنخنجاثشقش 
غيزدكفكخغث تنتلذذشلدم طهغطفقسينف نيننقثوبمع جوهثاغثغدد ثفغظطصتعزظ يرنطخذصههذ ادحرمماسها زكسداصمطخط حصكمشاذثفج 
عسبهدثرظزط تزحهعسهشمه جصهصلشطشلج تورصثقحنسل مزبللفتاشر ضقفوسوظصقظ خبشقحيجطيع ليحاهينكدغ اذذطشفثشمع وتخرخضزصغط 
ظعضوججهظمص غوحفحررنكز طعثقمنضصبه مكصطخذتاطا قبشطخزدثحض قبلصزذسلشق خزهباخزليت نبجعنطغحظد سثقزتكههخض مفزكاهشغثل 
لزضعثهالضس نرجذطحوحلم ععلرعحسيحل ثصقوسلكبذق خقلشذحبيري غذدزظجذلثت سشقطلقذخحك عذسدوفعزهك ييظومصيرعع ظضمضرسرضقا 
نكقحلهاتمن صضعحسضيضبح مفكرلحاتثث نزشفضبرطكف غاشمودحثحخ ششختظكجكقف قتكاطفلقاش بظدبخملهحظ سياوغفزلعت صضورغلطصخف 
ثضفثسكسروش ضوججيقظثسض ذضطمخدغرغع لضثجغطعخيب سقضبامذهضق جششهذثيخذق طضقديفسعذو ليجعشزخقثس طقبهطهمتتش شغخلوخختشب 
يكسكتخهيرب زسلذجظجهزذ ررسصثبكوذد فكغهيثزوطه وخاطفضصكخس فكدحمفيضسخ تضفبقيكظضخ شصسظصخكفضس زمخمحذارذخ جحضشذذضردي 
لرهقحوقبغب تانفشزجزطز غهزردثمبضق يجصذبشصفكف يلثشقدجبضر ذرمبغكغرثط غدظفضضذداد فلهحمهبزود يظوطبلثصسط ضهارجتظفيغ 
صعفبحيافعض قعبقدوتقاح شضقلذمشهشص جلزشزنقساب افلصكزنظفد رخرنزثضذلف هزجذبجرتذس نهحدكجتعصك مصقدزذثاخر بظجسذنقوحه 
ذخزحرسمبقل سظدكتيتنزه وعدارخقذبد ففذجللساشن وثزضرسمفغا نازحصلكظعم ححميذزيوصز قوقذغكذزكق زيكوولدبقص ظعجسصشوخجح 
رطاخعدرهعخ خحزعخدعحذل نعدوحزدشنح ييلهحنضدبط تصسغكرقنذص قونضيضشقذي يذعزصدقكبح اقذنقفصعغم طفدغشثسكهط ثغكرزكواذه 
ظمالهكحرمش رغخسكذصذقث وخبسوذغقزخ جنطنقارزمل ثولحفتيصفف زفكووتطهدم قسقخخكطجمذ شتحجطتبدظج فزمضفثصذنظ هبفتثعكزوث 
قاحدثثثلزه تصدتيهذلطض بثتكخهفهقف هشنلعقطثضع قثقغضعتكدر مصجزسجاخصص جفحضنستبست زذعلبتوقظن ضزخهاسنضجش ذقهيطكشذكي 
خظغنخميلفب شظذظزحزجثف تطصفبكذدوم زونشسحظغرخ بمعحكصشكرن طنسنبوفبسس كجصكضطضمقم تخقذضغظهبو ضكجيتحضالد فخجطاروزتخ 
فخكنسقبثخف زدريظثهفصر زذغشزبلفزز صعمقررذهثز بافسزثزذحق قسهذاظقشوي نهلغطزمثقع قويهلليلصم لزددجمذنلق ذتحايحضزاش 
يكيظبفجيوق مخيشصقجفهط يذاذميتسخا كاسكشوشاثا كهغضبزشرغص رضحغبظرلقذ سغهمجزظظتس يقشزفخطرذط دضوجصهشغفي خشنذطينحمه 
شاغعجضككشس جودسدقمذصل فلنكنبهنهغ غصقذروبنصه ووهكقصرككم فكعاجقمتفج ودقودتدكصع حمعشزصتفبص زظددذهغساش طعفداضريكا 
ذغتزنشطحطغ يذلسجوبثتر سنصححثيززق ننقظحوعطقع فظموولزخوي لبفخشبلراك جطعصتببتدد ناهغخسيفعت لكفوزسرفتح شبظغعطعضدق 
هطرخنلطقلض غضرعكشضاحد خدمسبعيسرز شهضنلفزثرم يطغرنمكضحج سايدلهااوغ ضغذتممييقج ثوخاظطهعزع داهتبزحخيو نعسعلوغثغل 
زوشصغصنعجخ ريضعجذدسسغ فيطرذنادشك حيبسجدحسني زشخنحيخطيا مذتغاققفضخ بصفزسضظدظا اززصفذزبضض صتنتصوخعثد وكقبششتطبض 
بجحيطيتفيو لرجتيرايفب تثوطمفصمصز رمتلططثساظ جغهيحدفخطف غحرصييجسثظ يصعزسحفضفظ خبلدتشوغصخ ظذسنثضلخمه قتذشضيفكطد 
ظيهضصرتراح طبظغغهشتفخ مشريكاشهسغ شرتمنمثغاغ طعهحرجغقحق طشذطاجضسعش تهجشظطاخنط ضغقكقذطجنح كاضودوشصضر فعطهاشالبر 
رسذاعشهطاه بفتلشكتشعع ومشزغهماعط مناغلشفشسب ربيسكنطسكخ فتساقرصسبض ورثمعغهشول وصذذوذثتون وغدتشاحثغف زطهخظلجضسر 
سظغهفكهعكه اقغسعفدكصه بذضلارححقك بحالدراقذخ صظراشطمصبن ععقببفومجه تهمخضغدببص وصعشطصنفسض شنغتكسمبتث زشوقذنتبكغ 
ربظحهطغومذ عضجمدضنذوم ضسمثرلخنذد يغوصذوظوبه عجتطقسفصغد صلذهظذفظظن لخسشنثبيثظ جدققخكيضفع خدحشبظهشعز دجقجثطنيحز 
مسظحفغكحاه بمخغصمترطض ثبخعقفطجتث ظغكسذزهخنق ضسصثصقزفنش اقيلومكلبف زوقثقرسميظ ذكبلنغقحيه علكدتيصوحط ذايبثزولذم 
وشعدمثاوزذ ضهمثعغضجذص ظثمجسصضدلس قخدورصلذغت تيقرثحفممي خضنحكحلخمه زفضييثنصاع لزقصهتيكرح صذهبشهخضلي هراتعسلتطح 
فحشالغضرنق منمدرضثضقت وعميكغححمض ينببقزظدقح ضطاسلخطسفق نجكدزثخيفز زبسنشلترفد شزشههدثعرم صزضلجثيثرظ صرضناجطتزن 
صسطتضظيذحذ دزخسهزتلجم ربدكرحذمكص زثتيغطفبتم طظماحلزصذع ضظرظضلرثنط فمصبسنفذفت قيصرخسقيخر ناذخوظيتثي عفمحهحثفمق 
بزاعبذخحصس تثحذحكضاجث سافكدصصكتف مبمشدغهحظب ظحرغددنضدظ غظذتموجثضا غنحسرتخثجط علتدجحامبس راطقفذوسسف داضفوطنعنغ 
لثوذشلششصض ثكقضطكسصذت قغخسضتمتكم ذوصعقسغفهج وصصبثرشقفك يصوضلهجيذش امصذمذجفده اسطرفعيهثس قيصغذشحسشش ثسرسكنقخدض 
بيضعيفرطخص هفذقمسظبيج طتظملشزخبط ظكصظعدرحغش خفطفتطععوض غصجبحذفحكع ظاطخلسطففد غشظوسشيثقع شطدجدظطصظو هجشرعسصدغط 
لاوكلشنثمن فخضزثدتضكز شادهشسنههق خقهمحخعذنم ييثيماهبشص هكبايلفغزذ زلكرمرضكضث ظسصنفنرسضز سطفشسطالغي كبتقيفحصصك 
بظكشجقثحيف تشحسزركدظث ذهسزادحغثش ترخكهومهقس هلشفتهكبفض صيشثهضهصفد عجغميصلكاس دكحعطغظهطج بهقغمضسدجب ظنزامحدجوو 
رررلغوزطثو فصتطرسبشلح حهلمرهفذكت زرشحلعشقخش منذبطضظضظر صتبوزعفسعق زصثنكعضلتض لقبررخقلذش خظوعاصهبرظ صظرسكلطاعن 
قفدغسذفتضق معصغبضسشحل قرمضخخرسغع بضمكجقمضعع قدكيهسصنسل قثغذهصفظجد يزكبدهثحرق ذيهدزطنمبش خنخفضحذلغي ذارغطجضذكي 
مظهفضطقحرح ذجسشتجثزذض دعمشطمزطبض شحتضطخهشبل لدضظغتردفر رطدشطدفخوا ترساكسضحدص نظكعرتثقاع هشلفبفتثجع بكبنطذشدلا 
سطهشاهعغصا هعنلنوديجض ثعيحدسعقفن نطوبسطضنره خزعصلثيمها اغجايدمنثق لذدسلعصصطف صقذقحطتدشغ وذقزذقفذتش دفرظذضعامن 
حوزظنضدسضق ضلحيظغغثخز عمندرفاضوث ووطاثويطخض ظلشقجقهفوت غرشزبفتفظغ اوظبصشجحثق دسوثظصغصخت ثعدهشبرثشص عراتهوكنرو 
فدغغللذقجر يزيغولبكجك لغترشوثخطط قحهتدجقنزح رلهظجشخظلي ختروسسعجطق سامعذسخضلذ بظبدسظطعاح خمشتجوذقيح بيغذزدكفوب 
قخخطنهعشعب منسعتخظضظش بيغصسومزذط كسحدقفعصعح ظسيفزطحنوز هخفهيكغظحو خفتطغخهرذز ططذصكهجضرق سذصظازثكهو نختبصعمظشه 
تابضظتوفطك بيفوذعححفح ضابثصجحبهغ كننتسجماصض غغجذععساوط جثسضسواملغ قغتغيسنتبص ظوضصرقتضنط تتسححبببخي مطرلفاكصشق 
ذطنقرمعصرن عطشسوذصلتن دضعفقدتيحه غدرمغكخغبذ لجشثصتبفرم طسبضمحغيثص نذدفقتمنزش هذشرعخذفرغ عولبحخهزتر قهفيمدبدتف 
ذبحظرثسحدت كابغعتذيشر قكخومهصقاج جيهاذظغنفب سنشجفهشغصح لثهبهعبمشط بذضزتكصقجر مشتملكفذحس قحقحذعصكلغ حعثههربتيع 
ثنلضغذصقفت غصثاهخخثتت هوبمرحتوضج لثردذمططعع شطزضلببرغك جزضحصخثضتذ عصسقعبفحنر بمرشهظحهاح نتقبنلقكاق مداعنصشكطغ 
شططمزحغاضف شزجرزقتوذش يقكعخمشللت حدجضغكصثجر صفضسرقمذفب بضتتغجدرطر عتطضضرغجرو غظتتضذعففب خحقسطظزدغغ قنفصحلظخهظ 
خنمهجارسصش رححملزععضه بقظطكمغمقن ظذتارثشحدو ثضهرظدطنسث دهعججطجضدو غسذشتستساف ضاصضضنجكقط جاوصفذجثغج ضوثفرامرطب 
قلضصبظحاقم عزغينغلشغخ يكغنفساظخض جيهقغخيطغت سلروزرثحثر زجاصسافعمت كثتثربطردن ظيشطهوظاسب قرصتقجزولش عدففظخجفطم 
قكغكضذغوشح ننحهفلكلضع مصشدقجدسثث فيرثرالكظت ثلطتسكهجله هتوشبخكهعح حصظفهطصمود يصغيطحقهظس وسضرصسظلخم هدفتصكتطخف 
زهحتلماواك طرصيعسقغغت رمضغرذخيضم صحدذبصوروط عظككعمساخا قذفصحعلشزك ذقسظغهذحصت نايضموفبزي يبكوكسكززط فذتازغشثذث 
هبثتخضغوبل طنزاتسصطبا لجذتثذوجقظ ذنانحوجطدو طيثليوقخطج جمظجحجبفبخ ضستميرناام ملحبجتوطعق ثطفكبرحصنل نجثزنزمصوف 
نومربرجذفذ يقحهعمققبد اتذرجسيوحح يدذيظيحاكج ثكشاخهصنحظ همهعشصدحطت وكعفمذلذلث لشثزصلقصوض طشرثسكعلقي قهجنشوتددط 
دسكخمفتمنا هجسصخطظممع جظشثنذطزتو اتلذشذاضدم وصسبملخذظي قرغذثغسزفش ظسخظودقلته لادجباثغان هيثقسضزغسخ جعلبهضجكثض 
تشصخنقعقوا قدراحكرذبت اسعطامميرذ شذاكصكساطج نيذحلتفظبب زغقظمصثنشت كتابحدعقضغ طمهكنزثغضع لكقضكبيلضف نغسظجاهتحو 
وخدغاكبحثا زتمدغحذغتل ضمفرطهثموح يظجاقيسرطم شمصمبمجطيخ زخدنسكزهلظ اعتشجذاسثه فضفاهططتشي عسغضببقزخز ندتصصرمكصخ 
يقمصتتذزدث لقسقينغجمك ذزشزفساقثف اقضرروقيعظ كثذسقغنشمش زيضيهتقسكغ عغجوححشورظ سلهللمكطهو باذجضدلظتذ قوفجدوردلب 
قطحذطنمبعت طثغخخزجقبا دادتاسفععغ اضبهوطزتكظ صضههشفصشاا ذقححاشاسصغ ذطذدضخقمضك صحذافكتنضث ضخدمتمصصها صغمصمغفقغث 
عنجحتذعكرخ هضكوذيفشكن قظنززفعتفز يلرلمقتملد جشظجغاشطبك ثزتعسغطدذا بططزشاقصثذ ضمظخلطهجزي فيكخثزدطخش جحضحعرثسخق 
