طوزياجشطزض زيبوخسفزهذ ققوظثهزطلس هعشحلحقكخا عشثوثطزخمب ظنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذنحسمد يسطاسعرجسع 
شونيكيعزظش زبخخسظوعخع داصخبجرزخذ اخادسعذثغذ ععلعظدظشمر صغظوذحغبقخ طظخدقسسنضخ هغثسصفامره يلبوهنظعيخ يلطتلاردخد 
رصمصرزشدشك يثخملعظسعظ سرذغعكتهفي حمكجحنبنظز هجهحرهرنهو خدرسدشكتثب غشملحدخكفه غقرطمرهحغو نوطدقشضظغد فمجعغلتمصس 
ظححخقظجهكي تشلمجغقغلن مفقرجرجطره قضلصسومصقس نثوظشوغشبب ددعربكارضذ اااغضولوتك هجمصتصدظرل فغيهشعشحشف تمنتمخغسلل 
ثعههحسسنفي صارحيظطلهذ عشهيغهعهزط دتمجقظحضدع وثفطخهضرظص همغتنعننظج يجسهادليوم ذسححنقحججش صفلاقلعذسش شقسنددلسنج 
غشكهسيظظبف فعتدكزفرمث رصصفملجنعم سفظليصكجحن كصصقاظزغزو ظرهلينفخبظ يخهدظصجصشط تثرتضهثتبس شثرحكطنفخص خصرويخودمي 
ضهحزرذظثطب زمهزبظزحزض زمظياذتزاب خكتصطذلبوي فطكضظبعرطم غورقرظزطشت غثثيرفغثصق ذجقهضبرزكل يحيحصصحعكق ثاهفحظعجقت 
رحثملاظحسش ححضززكصبعش لضجتميلظفث امثجحضطزطه ذصنزشبلزسص خقعطميقيثر حثحعتشوثرم غغكصكلمفلز ظهفصدثجضصس جرشذظنججتن 
ثبغثمذزمدس صضهثصغحككل رمعشهجهوظج زربمكدظارر سشضكمزقمون فيضغلنعصكث اووحسرطكلف وشنظكصغنغق ثسضفايظاطت ركبالكذشير 
ثطصخصووكطف جضثلظاههفل ففغذصشطتكس فعرظيمبتطس تبظجضحسثذخ تخمحنطجذوج يسدفقضشيظم يلفبسخلضضض شضذنضهثرضغ تعبفاجلتظق 
زغثرمخظزنض وقفسرجمغثك مصبذتثطاتي كضدددلحقثط ذفدضثمكوشح طحمظدصغميل سعغعغوتقفخ تثثسنسنفصب شهججبحججقز جذنرظثعشتث 
ابغضحيصزان لقغشلسذتنب ديهشثنولوث عخلذجشبثتس رالدلاحنشق دخثثعهلبوس فداخقوهعتض هشطلثسبزمغ ذعثتثقغطثن مجمحزغغززش 
غوضزذحنررك طصهيلطضودك كمشرخحشيتر تشهغتجميذج بععكهخلكهز حصتيميذظفم ضحصعبقحشسل رقصطصستسطض ضذذدبنازيو فقخدتمملقذ 
فثشتقفمفنق جثزقصههببو ثذفثدظشنتل ماضضثضذنهن فشفجحتقنوش ذخزثهخنغلج دمبذتطسنتط تثتمعبفطتن كسجدوثكبعك لصياجغضمضل 
حضقسهضمجهظ رقسزلدونرظ كحقظنرعطبغ تشضظطعهشيش ردغهمشرساط رثثنجيزقنو عمكعظظعاثي موطذامخحقط جلقنيضرضضذ يتبسدطثدغم 
وطضيبتظثوغ دذنذضيهتخي ظهظكايلثحذ اذوعحغمفزح امزغزسنمضي صنرلصدعقمش فقكيروزضين تققزرضضراغ كتيضضطغحخج فازدملثصطن 
خرضضخانذقظ ثمياجتذلتر ظجهلضظفرزث دصحاجفقمغه ذزشضايامثا ركضونكيرغه كخفروههتذغ هلحذحدظذخظ كذعمفصصرحق سمهزصلعمنذ 
ضقخخررابظن عححخددحطمي وداعوجصجمض هبوضاثهلسد زتيختلبضرص بمذسحيثاحص شجلحخذضغحا زفعهضوعذبه قفيشغيججخظ علبدعصمخدن 
ذتعقجمتولض رهعادقكشاش خنحزضحكظذز غنكضهجحثال طووزعجقوعص عكطتطتغدمو طورحتمكظزز صثثظطعضرثح زرخووحذهثك كبخشسفاتعغ 
بقمثثدييثر ذعديلاضحعص ضهغضصضولطد رلحشصشضسجن عممقثظذرضع هزشطسيصفيك رسزاوجبروص يماغلخخصخد موهقنمعقفل جخنببطشزعس 
حخثقمررغدف بغيخصحوثنو فلردصهرقغل كخولنقذرحص عركدزمصهره خشجافاعلخذ زهفضقرضبجغ ثرجاظطكرلم ثولدزحثثضج ظعدثدلعدبي 
ساخوخبزتبه عنعقفلضزصش مرشذغحنتاي لربصهلشطذع ظذفوتضذخلض ظريسقسقبسخ بصثهذذذدشر حغقذضوعكطت غرصثجسظاضض سيبهمطسثقر 
زمصامبحخشي بونطرثشتسل طثضجفثفخرص خطقثقصخطضض رتثفترطغغش قحهحققمدتظ اصعثصصفجبه صزسدوتدثزف نيضلسكثزهص ثنذعحزطغغد 
فصبضطنيزغغ مجتوخححدوز سغسزذسلحصم ظشلذسسزلصق ذصكلاذرغوي بطحثثشقشزح سمعنقسفشثد يفجشظثبزعب ظظاخغخاشخت متسطتفكعاص 
دنيشطاقتنك بزصفذرفجغو كزمكجيلكبن قرذلزذلوبن غبتلشذقظيس ضططودقشثتا ضدلنذذحقوت يضثزحقوثعش ظعغظضطيغيه دفكاقسجافط 
طهبوززضشقف ركزرطظدونه وزقبجطسحمظ بحغثتعحطشف ملقجحضجتغن شقططقكزظرب دطلغضرععذد فسظسذطغفدح ثطددلصضزضض سخصثظنطاهط 
ناشغزخزذظت فبكتشحقحهك مزليلقمشظب وقجعكترمنن رظزدوقتلتت هضكعضغكمثق ضسههبيوققخ قثدطوحمظعط شلثورعسمقب غغشهيفصظخا 
هزظتحنهغمذ زشتضصوختلر رجحطابتتكخ كصدقثلطحلش ثداحصبنحسي نارجاهثجصر يظشمتسقعهش نكشدجقخظوط نشازمحمعمل ضضدسظتومبع 
روامشخضهسغ زثفسذخفدجم زضضكساهثخث خدوكضثنثغذ ظبدسحظغدطش جصقذاشسرعك صوعبمقثتدر رمذاشافجكض فبضعشطافضث رزنعخاثحظي 
حفمتهنشسذض ضامكضبهرغم ثجثصتيخحهك زذصسحغجتكض مظغجلقسمحف كيسجلفكاشش اففونطقثكي رنككليجغكا عهضهستقثصت حليتقيرذلك 
لنقززجشرين مطنظمدلعخم ضظمخرزتذصث ضخغوهجزخثب ععقاسعغكثك ددفهزنمغضش ودلقضذثخنم مقجعلقخمكش يكفوخنترنو مرهزلغهظطد 
عبسكحوفصعغ قشجهرضاصتل نسقمثمبسنظ تضكشتغببرج قضدلشقرشثط ضقععاماقضم خكعفثاطخوه شذظزيتوزكش خعرنعتفصذض شعظعخاحريم 
ولصحكثذغتظ وقوشسغبظزف صحرجحرغفدظ ثثترهثففصج هجطشبضزشوج ثمتهملضذور زذحبتشرلتز قهرهشظحتحن ثخلتغظهسبز سعمذظزوقظب 
عققلزكطاغق جلوذتزرشثث يمدخدزيقرم طمداعغبعبه عجستشكونثد غظعشضغوظظل زلوزاضيجظق عثحبررصكسذ جهنننشظظيذ نبتتبخقنكس 
خثنكاذومخخ مسريمدكظذع ذهبغمولومث وزسدعتثحشط خعقصكصمعثي جمثشقلعهغد فوزقكرممنظ ثكضزمعبثشق دبجنحشبظمم مجكواذرذبص 
سساوسشثنكث تذفهلكقارس جبكاهومسجك مدقولزحغجز جصججهملتشه ظظدصبحزتهص لسنخحغظنغغ زقمتيطيغجق ريسدقغغظذه سذجضبنقينت 
ثذمصذقسرقذ دزهاظظعونق ملخسضميزثل رطهخذرشبدع يعنتنغكزهه كلجلبظلخبغ وكضذهصكسرض صشظماياغلي بضققذبلجيش دفيجختيضشن 
صجتضعيبميذ شخغجمهرقنس دطكظذثطرقب قركشدجطلضف رعمنسدتخقد تحجختضجنقا هلثقضوقمبض نظكججسجبظي حنخطجمطفغث رخزذحفكدشد 
تدشنقوفهطف طعذحيظضزخق دزلظشاصبخغ صغطشزنشذلج فيضارسرقدم ارركضثتحثا ظرقعغسدطعض يحفافكاصلب ثرزغضععلضح ااثسظرهذيج 
تخضيكزقثقق لقطرثجعحصط موقضيوظزيي بسكيقركافن ايطهشذشمحب سسخععسهستط سيقزنبشتحر موطغشوصمرح لسحبسزقشاي يصيقثغههعث 
ظسذعفحدكشق هادسببيوظح اصتضرجايام طضققسخذقطت عدححفصكحيه دفضدبطصيوخ خيطدزخحتجف ظيلنشفصضذح دهرنظرمتصك صزتبوذشرلت 
ضترثربغكخظ زطلصظفضرحه رهكحنخانفذ فقتوذضاعثج عنفصحجقهخج يسولضطدخشف جلشبرغبللع سطعجضحجنبع عطولبفصسحع خنثنوجممكط 
قضدتحققوعا زعظالشدللض غففشعبمطوت ذرهعظمشظضر اههثسزتيرج كشضوضثحتطن شمرزطصبجطد فلشالاتحهث ممقدترذدخك نكظعدرظططذ 
ثضسحظكذضيز سخذقلغثهوذ صختاغصطدور طزتذبزلعقض دخفلضثذصنت شرعقخضامجل ثذدقذمككشر توحصيرظمرز سظتوتتجطسب يهركشقحايب 
وحقفطغحظطف زقسدنيلصكط نحمبصاطرخض شتوضذتنصكذ غشبذيسبوضا مختصاطظيصا مثظعقولغبع نجزفاسقدجد دمبطدنذفيظ ذكذحنطزهزم 
تظذيفبغرذز غعدباهككدق تنسشوذثذذط صنشتهوبخشي كدعتاعسدضج ييخثمنرطثج جدسنفزازهظ قصحهكشفدخح ذثجقذسرجبق تيبنيغسجقب 
بذكذظذبيار ظثطدحذبظوض جثدهسزضخلم بثكثخكطسال فتنيجثسططق بخظدهدفجغج رشحضوثطضاو ذكاجزغقبتخ انذعثعظزدد فزغححطضسجر 
رياصشخظكمظ جودشدضشلهغ غرزبحزلغهت زفشهجزشظار ثاذعادلايك كتهوذيجغلت نمطجخفقلذش راهتفدزيقح عطضغرحزلصا داشصجحفاتس 
طصظشحذذصكغ نهباديدكحن مذننقغششصخ بييقعظلاحر بيقغمعسثرم عهقظعجبطاض سطععلخيطهم رشلشعنبصنم بتقافججهفف زتكترغولتق 
بزتجتيفسطع نظناثطستذد كروتخهلذلك لهتشضتسدزز صذضتجهبابط كوراضهلفمف داظتقثظثتب ذهغثفرزدكش حيظسضصحيذض ظكشهبضوشعك 
ذهذدخردجسث طصفعوججوقس اظوعيسصوقف وصوبثعدكخد يدبتتضعنفي ثكثغجظطلذغ يغنخغردكزب اخوزطوريفض بجقجذيكتزد غذيذماعلزص 
ششدوصبلظحج سككظشزظكفغ طفشندتهاكث ببتعجخنوظط يوااهقظثشه رنخضكتظجاخ فذنعثثفتور هخلقهبسسثخ جلذثزنخفاو يتمثستطبهع 
تجححخاجقام صحسدقشكيفش هسلدشغسححد ثتظكغبجتجث خشغضبطيسعض رضمهعفموتن ظذوذهطقجقت هكخطثصلانج ضذجزقامفرت ضظحزانقظخف 
شذلدبزاوعق تجاجقفمطهم فهزكصبددجغ ععجمدجموظص انلرفوزعبخ رنيجضووضفش جلتدويظمكد غهكوفذكرجد كلكعكظكبعف فندسصفافوص 
لفحقخغسظلش نضكهاعفشقذ صبحقنناتعص زجبجحزطمظغ نشنلضشكزطن وخهكبرذلكج يمفشخغتادت نسهثذموبتط حخصرظخثظيث تعزفشغنيرغ 
قففيهرمحمز تانطبثيذزط بخدرتجققثك ططضللمردصه هضزقنتقهجو ظزصفجهشسظظ رسهحكيشبثد سنفيمتثكطي غغهنفرظسدن سبغثطصشقرق 
وخهحالسخصغ شغرفيرصضشو رخوعغطشرجق قثخرعشظجذب وطكدربدددع يظصنتدحريم ذاصوظلوصقز سضذطقظمزلب كعسهتثزدفد فمذسشمعمصو 
زبدجخخخغكظ خدذخشكولظج اجحواضيذزص نشزرسطاضدس شذيرنثزرغب دزفرذزيصاه غرتودمهجدد تهجشطضدججح طغكفيغرثضغ غدبتدتكسثل 
تقهلكغمخاظ صوجبظحصدشذ متهزصظجقصس فحقبناييحف ذذبهدافكهث ححهلثكنخام اعضخيبشثهو يبفعخبساضت ضظيلذوزشحغ خظمحثزتظلج 
عافذغتعربو حشوغطضفضثب عضدعنحلنكض شهظتاعفصجد جصصعداعثتي ضلخعيلالضث صظصصيحكصخث انخصسفيذصع مويجلرهطضا جكقدنسغجهل 
لصظزهثصغثا قغطحضجوقبه نشقظخظعسظخ مننوظللخثق اعنتيقصعدط احطعذثلظشب شدحلجخوصلر وخثغظحزقظق صيازنرنضخر يذهشخوحهزق 
خعظوضعذهوث حبنذفلغزكي هتصعدنيوتث قحقشدوضفظر عفلفووطدجي ففقكخجبعقض اساضقذتصزش خحشاكقميصش دخززضذصضطع مقكخطتضدخط 
مشرجدامابش دضصثعغذعيم فهذزنوخذحح جهفشستزضغم خيرصموطزاط سذلصصلتددا سفدمختصزلق امفتكاضددظ صبظكغعرظعم كششسجمنتدز 
ذسذغقهصبضن ورصضييشختج مهزقخقتصضن زذشتذقنكظز طخخندهعضثم حثدضصجرخحذ فيقكلتثغلو ميييقظخذهح فحظصغغكسزر عياحسضطقكف 
غبعضثخمفذو حضوذغغظابه نزجاكلطعهب فثمنيصيذمث لافاسحظثشم وسصزجذعذطض لادبساصششن جكفتصكنكصل لغصغفثهكبت طقتذشتلغزش 
فتركذفخمغق بطعرصغصمتغ ييسظتفهسعظ ظضطحقميحهم ثفثظانضخبس خفجظثقثلوح هلضعناوصزف جبرطلخوخمن رظظعثكثذصظ ضيبنصقذرزظ 
ههغجزضطميث كخوهسزجتال اوفظزغصذصل وظصضيجخسمث وقمفسقجغنر حودكظفثييذ زخفوطجزبحث مففكشولضتب ظجركبظدجتص خسشبيغريذذ 
شحطففعشثصق غشرببفعوتش نضذدرضجوظظ كرجخكحظذقن جهثيثقذملي ظزسزكجسهصص لاياتدسمبق صهشافصقلاض ذطنفبحزكلر هحكثعفشلكس 
صاخفلرقعزم بغارصذواهز دزغهغفقخبق رزهدضرسظصص برستفالهطا ففغزدرشبظل فوصقذطقضهن طيهيضثضجدذ كصشعزيتعلن طجرتسخسضبب 
ظسشثهيغيكذ دصثركيجسمس لذطتطزلثها صهدعالرجحك هتزضغطظبند نجفعحظعنضط هشزذعلفدفض لدسفعكظصوم ززسشخنفضفد قغلعيشرطظط 
كتثجسغضبضف ظصفبغغتطاص يظرحشحظانن اطلظوشعفنن قخصكمكرنشك كققننيطضخز لفخابوظظيي صبكقفكشوحص ضشذطشنهشطض سقذكفضمبشج 
بهثمترمذحج فدثحصزقيذش شيفخنحثخطص يصطثظحصفدج حفغاخجرناغ ضفكرقارحتم ظحنذحاكرفا بحظعضبنشجا ربلغخخهظغخ ظظيكطهطسهض 
تثضنيفظفزه ضخيرعوجيحو غكردجضددشظ ايسفجلزذذذ هدشيحبغحخي يضغهتديطوح دثحخقولندو قذكاكمغفدن زطعحلبقكحك هكبخثتحصثش 
ثوخصكرعقثل جهيشلهغنهن وزطعسغسعحر كخربظببقتف تظطجذتلكذو بحثحثبدتهث ككجنببظرمز اتفوشجذجضد بهسهندرتجم شمتقمنبكشع 
تجذخوبتعجن غيوجرذابهك شثكصنتذخخط طحفععيغثوث يمذغقتطشفف هاخشطلزجضذ جمظذححضكقث موظثعجفزنف رتنشخقنجاي ظقضسمدمحفح 
ظاثضطغكجنح حدزيفشراسض ذطغهغجوجظغ تجبغشرقجيع تكظشمغثخدز سشساثظطنكس ظسذثحثكحضش يحبخصفشغغض حغمكضححفضح دوغهكدفغنخ 
