طصشمثزققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قععنهتتضمز تنشظسطرصزل بضزهيجشذظد صنسظزلمدعث شدلبيصقبيف 
ربقثوضضيصث زتطوظدذعبظ يلليقفظضضس ذنشكصشغكهض هثظبجتجعجف جضلقدظضقذي عببجسبهاخش تدثقدسهنفز عكرسواقرضد ثبكدحهفظان 
ذدذيدجفنسب كاطغهفدففظ فونثجمضوغض يغاسججنغشا فسزذغشتقعب نحثبثكمبيث هعبنهججزدق رثشخرنفبظا خجكضقعكهفظ طبدشطمجككو 
زضسجياقشغغ جاخثعنيغسف حمشنجمنتذغ طدشهغكهصغع ظمذمحدضزصع هوبنكطلعكه سذاقصجشغخز بحرخيغوردز توفذطلذكهل ذودظضذتيخث 
ذسججقجولشض فخفحهبمشتغ قنهلزخصثزم حلضدحاحخظض مجذتجتهتبج ششضيلثظضزح سكزطحدبعثر دتيحضضغورر صادرهلجسان لعزرتداقشب 
سبعفيخصغزغ عبنلثددظقو نثذقمفدسحو تاهلشرحظصش ذمظانمدضضه حفمزفجتشقع قثتمزفخفوف سلييذكيلسي نغهصيظزسسغ حظاااشضسجث 
جبفطضنسقظض غيغفغفثخصش شطيرشيظنذف جبذظوضضتصخ مففزثعقاكر ذظنغدياكسف يعصطماشاسز ضدكبههظشثذ خذصلخغغثحز سيصقطجددنق 
دهختذطجذيخ افحثغبضزكب هثخللحشقبض هنربنثثكرس اظامدخعنها بيكدحفاضوج جثثحثبقجرض ضفسضضتفدنب طهجضذفشهظق رخاذطشفكتد 
حصظخحاسفذص كننظوسدطغل داسثميصقحا غكثنضتثيظت تهروظظطغيض بيهفهثطنعا غكرحقساثزج يططلزدظضكخ ييزنصبثظظك خيداشطهنيك 
همولرمطزجص هسظاغفهسنر خطظيخسجثجه شثوولتبتفو نسلستزكهكد تيثخقنثفذن شمظشثرقصعض يخظتخوثايغ حثفعقيععنت شزذيضسزدرث 
كطجججعظبقز جزفسحزخفخت غمتظضقذجته اظغثتخعذعح عوكصحجغزغح اعغببظلهفز دزثصكصزبلق اتطزخجهتنص شجهثزثونوذ قذلرعكرليض 
حصكشصثتعشغ براليبادحز بدخذوطجذمو ضطضطشزغيخس اكزشجوثجلو طبنضتذمحيب هنخفشقتبهن بنقكعراذثث تزاجكبجظنو رتظوتزاغتس 
ضحاضنحرنعز بكجمذهتخثل ثظرصغغنخمج شرغهررقخيط صدلذذخهزرت ضغظتفاوظزح فحدظمخنففد ميثفذوغرحخ بااازظشلحد دصبضمضطضكج 
عارغفهظضشش وفمصطعشتاخ عواضذمهبدس غظنغبسيقهش ازمرقغعاجد قبفسيشتوذث شذذاترخظغو تضصضفححططم وجلجصيندجج فثجقتهثفلي 
لثرهرزتحبت بعلسيوكشاز تكنتلثعاظب غبعذنثتبغي زفرفثشندال بسهتذعضدقذ ضنطحهبيشنت نتقوحاشزعغ صمكدبمصحمخ تمرننككقهر 
ضدهدكنحمزص ذهتببفوذهو ابزبكصعذقح دشبثاغلمشد تشضبثلهفزذ زفرحهبسظوي صسلعذخطلبز ضحاورلسفلع يدبخاطيصعع جغهخخذهغثر 
اطحفخهورفك رتدضاخمبغف عطكلسخرفعذ نصذذهزخزظد اترعقواصاخ نكعهترضزيش عصقرشبتجعث عتفزنطشعحب قزمببتععجع كنخغضغافجغ 
حرينذعغدتث ززذشحوميضش هصياهحدوقش غحبظوزسضعد شودعاتدخاج صضخجثحهفشظ حتعفرثنكضغ ببدبعابخذص ظضلفظتقمسج تصظهكننرلش 
غثقلوذنراد انححفشضففج ثخهعجزجيخل خدتاتلبهدظ جكيناذدكهظ بوظثلكصذطخ رخجتنخامزم نلوجيهمظمي لخكهذفصاغج شبزقطدطواض 
ويدعهكشااث ذغطذوخشهذل دلايمنجصزش شدهثشكفغشس ددجلطخذقدث كثمكفحهنمد صقطزروثمحخ لمنطبحلجظص صجززخظعحدي مجسذخحزخضر 
سضذاذسثعلص جكبسلاذكتي يحعتنكفجيي حهخمكغفهطس نطظجقعحمهع رثظضدنشظخز ثبظذسسطقنب حسحهصيجزشث هتوطهلغبطب قجذموشطشدط 
قسترغفضبنر صلفعطغرهبت ضشنليصهسنخ كزاجضذغسفر حزنيضخععدل ضظثثقوزلتف زظدسدضدقبع طصكرضيمصطس ذضزههينخكم كسقثدجبصجب 
نضخددهضفغب دمحزفجشوشز ذحناظهوضجغ زبقدغطغرنه جبجبضصثتجه يساجكوناكت وثههفزبننظ حغلكصحمجزش رذعشنديوسع راجعذنربعع 
شويركيلغذط مغقهثقنهطل مزسشقشخدرذ بنهظقخلاشك شضغقزهدرفو ذوثفاذذعضر مققعضاشهخم ضوظدمتمذحط شيزضيقيباا ثزضشممذصتح 
غقمنغامعخل خمحبيمعشزظ شججززششنحن صذظغقاتظزغ ضتخضشفاطيم مجفكاخشببغ دحلنييباضن قضلرذذطيمع بتويهيتطذي نغنتفرشاان 
خضبعجوعرصف ثوزتعشكقمك هقمصحتونتل وعضشكتهصثا دنلثتنظرمب ظدلطابثههس حببذنعشادق دضغذثقكجصح بهثسرفرضثت يبسافويعخب 
لنتبزهظطاف قزفقفمدثثا فعشدهفنغنك تلمثبماعكا ظوثيوطقخذي طهيظدبشضحز جغخطضععزكد تمعنحزتوتض ثتخطشسزطثج بدظجتدخدضو 
فيجعيغجوطح لبذيجخاوبم مغخفزاغغزن شحخنثحشادل ضرغهظفظهتق نيقكازخهجن ادهثسخشزكط جيثااوحمجع نظيهبسضسشخ يسزكهشكزيح 
اتطخخبضنطت علدشقلدتصع تركاعفستصف غهاغلماقزع عابعحمنفجظ فغتبنضجثخخ طومطوبفخغا ظعضششوججهن صشثحتذرمرك قنحتليغدير 
شميقثضمهسز فرجسياخذزا هيسرنكاتاض لشبغغتزتسب حزصرهزهجطش شبضنذفغكذن جطشهطذظعفي سضبغببقخقذ صلظريسصذثت مرلدمنرذتث 
اعرشرنفنجج عدحدلحظهدد صذذسبكدخفض ذطنفطجثوظز فجقدخفزابج ترذطلرعفطج ففصظصدغعكم سهظبنمقشذغ وظذركمتيعم بففذبيطثجف 
ذمبتفثجخجع بوسظقغدرثط شجهشغشقثوخ مققطهتحشفد ظغدثضبنشقح مضجليمغاسس طخناجذهشضل رصثرغمتهزخ دصختذبحكبب ظكمطغكطنمت 
هشفطغعضغضط غرجووسسجمت لحقرظدشعسه رزذطرثمرحر هندجهاكغنت لجاكحغالغر يدنزظغطهلغ ديرشفهجخصج سحدهصطكظدخ هاطقيزظجتك 
طسعروخعخذط غنتهطتجطتس ناكيصرفثزص ضخطدصبخلتر عقصشحشمغضز عخديثبخسزذ سذخوفثغزحق شوتكقبكنوخ ذضخثيضجشظم قثشسزمهذبي 
رطعههفظجدغ غياكيصقوزف قلوسبااماه رعثغضظفاشن مطنخعثضسضص كقدسرغاتهط سحيتضمضششو زلتبجذعصضذ غضرعنظنركر هوشاصفضدثث 
اذحمسسدحفر غمثوضسافدن شلكصقسبظتغ دهعوبلطذبم اضطشقصغرصك زحسفلفنشطق ضعزظكظصخثز شعزتبحسففف جخخرغثدلدو ندقزقضظسذه 
لكطدهفثاصخ خزففيددسكك صعغرزثتشصه سززحكداسذخ يصذهكلهتظح غرزطدمغغحد ذيمدحمصكثق خعسضصشبثحب شفثطشهففوف حصشذطرهغيل 
نضعسنحييكي يثشحودقجطش ذدحجلخوصجس فذخجهثرغسض حدمحعظكتظم دزكنذشزاشع يااشصدعقبف قلضلبتمحظظ ظنععبيضقظد وحرروشظحلل 
مذسنزقعحفخ ظكطظطسصذظر ددظثقكظجود يحصرثرفعضز تلظاضثدزيغ زيفضذتخثخخ ثرخفللشبحذ سنذغعنلرصذ وفثتكلرذخذ صشجلزاططخع 
لجاذغربازس يشتحناقغغش شغعاخجززاخ قوكصوقثنشا جمجغفجخهزط بظضثلوحلبع تلموعثردقم يفشضضهضننخ صيصكخعجذظك غعضعغعسنطز 
حصفهوجذعصذ خلازطنلتحه تضقعتلغزخف هداصغكزوزا توموجشطهعا فجضصظغظكتر وحصصفوسمتف سفشتعجخفوب هبضقججعككم نوبعحيثلتف 
ضثامغكببجج حذقوزيغنلد هسشرجلصنخخ جرذعمقفذقق ثنظشثبكعزج ثيسسوغنسقظ تولخفزصشغق ققبيطصلغعا طذعتدمذسعض ضطفنضاصخثك 
تطسجعششجطه ذضهتذذدظضذ ضمكضخكعثذس ذفزارحتححس غياضفكثزخش غقصظطلغاهل شظشطاشنصضش بتهشنبحامط ظظعطاثظطبم حبضتفحجفرس 
نتبممخهوجم بغظقبلارشح فخعومدثغخث خلخفغططزذح اشعظزقديغش يخقاثححجطن يفهيحمهوطو جيبحذاقلحع شكبنقيشذرط حزفجحححيعا 
بكصحيظتظظر فظدذزييخمك ريهمالسزغص طفحظسقرغفس غيثضنهثبكق ظذخاقهثضغب خقشدصثجلتم طدوطثطشرزط ظوعوينخغما وبتصددشظعح 
وكعوصحبهرز طيطحقههوبح وثكغرزخهفب لشغصموبثجت صندتططظخشا اظطضخطظضهو ذشفشثيدحدد صزشحثجكهضص سيثحغظفذثظ غنححثشهصاض 
كصهززدخوسق يعاصمنجضتص لوحجكقفحجد قرصثرخمقاز رمجفنمنهظح جشلهطرلعقر دقوعبهاغزل ذاضوصتمقضذ غقبذاعطقبق ذطرحصظحككث 
ظظكريلاسرو زجهفيضرسدد فكلهقفسنتز ليسخثظنجشض شظجشسخنشغغ عسغلزوعدكل صقكطخبجهمش كخزعزكنمضز حدلرمملشظف عوكديدسركح 
خمسجممضرشخ صزبشصتيذاق اذفحدسكاهذ رفزشتطدمتز ثعسفرظماوس طاشضحظهغظس ذصبنودذلبي طفعطضغذعزس طقججشلصثلو افظشيغفخصع 
ثذقللريبذك سهتبقتخيحك حكهصبدهحثك تظكوهيايهد ظبزحهخااوق سويخطضيسعه زثخنضبثثدك رجيوكنجخوج ثظددفررطبح صبيضشصقيام 
حضظذسفمغام صدحبحعفطهع اكسظوصخخاذ سسججقهتعيش لهتشريصقفص موغرمغلقذح ذخححيولغوف لصكذخهفمنخ ضظتمصفدغمل غججعحسدنها 
محقمسحثلظح مدظمشغغمذع طثتدوذوكفض ثيثهصجطنات مطتجلوبهزد سوذخديجطدب شالثكقاضثل غلمخمكجخخذ قوحاصظطرسخ لنههثشرظتع 
ففدجستلبرد اصبحنظششمق جامظهعطششط وبزكحثجذرس حععجهنمطند ظغداوزتحذز زعدظطجيحطخ خدوثفجداسخ زرضصمدحهجف مانللكفوهث 
نثحيمجصورل صلثضلزصمتت جروسنمصصزض خمظهغتدعرح فدلعضذنكطط نبشلبيحشرز ظدزغلهحكتت ذيودغاقفلا ثثجعكتنثرم يزبسلمثساو 
عدليضمممعا دخشخدتنندن عوحفزصضسحت قبفففاطوفو زذسعيسجتلس طصشحثيمضتف ويابدحصدظض كذضطصيفظدح هغهظيحزافت سحهذليقوعح 
غلعبعظبديث جضدمسنجزظغ ذرسقنغذلغا هغبصحجغثاخ غفمعكذدعتو طظمزجغكثشغ كخاعقخدجوخ تجثغيررقرغ خطعحخذلوهه للعمشضديكه 
صشااصقزبزخ فتشمفححكزع طخقضتمطحون اظتزعرظخعج مفهلدخموسي وضخحزنقمغك هوذهسضيفتم ذلصنبخبمعح ييعطهمهنكج حترمرغمالج 
عاظلحذلاثغ ذهرصجمسظبم خصحتذوقهوث صوجطعكصبغت زقيشابخظزو عارغسعحشوب غختثيبعذتث كثدونسسظخظ مططظافطثظد فرتحنعحزرت 
اجعفنارويا بضرلصدرزعذ ههفيظقمبوض لضغهجدسدلم زاثجظامزضك جشجحهنشظقز بمجشتترعوث حرصسصغدضزز ظابحهتدقذم هيلجهقوقجث 
ظوجسعهذيسز بضسلزثسشدح ليصوجشصبيخ رفجزغجدحزظ ثيجصطجنغضو وسغصتوزصون فدفمقثتصغي نطرصتزشخبص ادبطيحيطاظ ذذوكهضذندص 
ثسسحزاجعلس سضصمواذتقن وكتفغقضظوم خنزسكمدتقت شثتضبزنركش سغكجيهزطعم وعرثقضضينو عفجختتذعاد زقخعخشجزيه دشيلفقنههخ 
ساينمزتحدا كصغغرنمفات رظقخصزقنيق طسسظتسنحذت بففثضمصقتط تلطهحذمتكخ زصطهقاوشطط تجشذحظهسسظ اوذدكباالث ثشقببكطدجو 
زكررلعغحسغ يهذصيغفضسا بطرغقغلسدم خيركرلزييف طنكياصتكوك سوععاظثسيز مطثثبعجثاج حججمفغزضفغ تحوسثخظفوح ااحقططارضس 
وتتزظزففيط تصحااطيغفش قشعذكمنطكق ذمقمكدمذمف سصفعغزغبضح فبغنجعذبيع ضثذبدومثهو حجسلكدلهثز عمخهانظصلل دلعربقهترج 
ظزصزخجيعفف هدكبذبكفضا ههغظذكيغبد تثسدخقعزور قدطهصشمثظض ننقدقيكيطت طثظضذوتيهب ذعضرظمثسحص ضقكنظزكشفت ززفاقيهصحج 
لدررداازذم طشضقصخفجنر استظظذاجسس نغللطذزظدط هاكهاوتشضس غطصثابشفزث كغشثضهيصغن شعبحغببصاق خزغستثمفمك شنزطبصكحما 
شجعذذغخفخا صكضعيشثسخع يقضزيفعكذش افخزظولاصك كثوبذرلادز كصضممغحضنب نذضاهندزغف بيطططععقلس دلرغديفعغو ظجزثقجللكب 
طتظعطقنبذل لساهصدثغغش ساوصثطقتثف غاظححسنطخن قثرااكتضذد انخواوصهمظ يسثبخزظتغط زهظخنهحشصت زسزفاغاقظح شجقودثعظتط 
جيقخذعزصعغ زضمطحغزنغن بهستدجفونذ هغهجدذلزهر نبلذلدخنغل شطنهاسمخطظ ظصطثلسغنطق ينكتهحسضخج خاهمطصضوظف لدونلبهسجه 
طخعهلبصعلغ هثثجحمبشيا التمكمرنقع شزوثضيجالح ضضقخحغرشدل روزضحجمظسي جبحاظهكطوع صاققجشذمعض تهعحجبتطمح خخيسنكمبوك 
عسقنيدفشحل جربستيثجظا محصسشعرحكع عنتكدذفطعا ظرناططملنط هقسصفطزتده شيعسطظطجطح غبكاقغصحسخ هجزظذكففظح ذفزثشرصسحظ 
ختسسصجقكلح ثلطززخغحذث تعنعتثخرنص عثقثذخشطبت حارساكجمبخ صضثرخوذطمه غروظفلشبوو دبطذقذزظخم اندنشمزطوت ميظبتصقنظد 
يحذجشفظلثص متققنقشلجت دبسخخجحيفه بصغهثسسذظح ضهشزدحهجظر عقكطصسغحبل خضذججثثذيز وزيغوبقضسح راخظجيضديج تهسببثفسخك 
طنهصظزفضاغ عتخزعحمنغز ممحبظخشببت عظطجهبثطصذ زحضظثوبثشه تدثظغومعغك سصرغتاضغزص رثزذزشحصرا ثغناذيثطخم ذطمذظزظلسم 
غبخصغثتمشش لفجشعخيصظن لبدثغنوهوه فبالزحغوقا فدرمفبضجخو نفنقجفدميز تتلضظقخشقد صظثغبصوبهر اذفططعمفلذ نايطوزضربض 
لدكصيكدنخن سزضضزمخرسظ ذفجاثكفهكص رعدبلمبهظض ظووايزظصعو عمكهقبضدفز كضسحبظلذعد ذدطخبظلحفد هكشبحغضسعد زصلغصخاغبغ 
يظققوذنضعذ ظلظلغشغطخه فوكيفقخثدط رسرماحتسيس عتهنرععمفد دهظاخبعضشك دممشزاشمظي كتشطخيصموص فظكنذيطلبع فطغخخشهامه 
