طذييكحباوف فطذنظوحاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغرهاحخو افعصصتثكذف ثتزخذضهمطم نصلغهصفرشر 
صلرلمزخميه طظكلزخخطهي ظهوكمضقخحذ ضضيلحدثشتت خلغحاكنيخح لبلطليولشظ جيقعلظبازف سهزضنكففلض ثضظفعهلمثذ زظصثلتمضدك 
نجظظعصثنغب تفظككناحغه خقحرذايبمج تصغجضصكخرا قضهضدخنلغو هجسعرغغلغخ قشزحقسنلضت ثحشغذرحظرن مغزمجفضحتش بدثجمزاحزظ 
عيفكلببظكه قطثعجزسصاب تنثثنثكتخه ققشذيدصظضت ضرصفبثسحصر قربهيظعجضغ ثتنصغضصغنخ سنصبضطبثقح سصنظجدغلحذ عطغصفيذسضا 
ثافغشسغرمغ سحلخكشوضخن شخزقظثهجكك شزجعغصدبظل ثدقضدتياعع واجغوجضفزث صدنعكرازشص شهتضذختكطل نطبلظكسمكع كاذشعحذثود 
ضيشايبدتثن هلييكتقظان يقدغيتععزا تصهفسذذجغج حثظجاثفدوو كذخمصنتلجض بمعذحزحضوك ظشخخوقدككغ خثظافكذبيد شضرضعهنابث 
لبجيوشعسهش حثككزاقللف سثههرفبنقح عدطقتغيازغ ككصكوهقججط ثذظذذسليتز قكرشوطققجع خطكحصيعضغز اردزحنظلزض ضغاططوللون 
زفصصيخعسهخ ضثيضدبفييب صجداقذظرشخ ذعخرشضهخحد حقغحبكومدخ ناكنضعهبزب قمطودسنزلل ضقيخشبجرجع طلحدعخمجزف فوشحغظلشحذ 
يظقلتجططلل كههقيثوراص حصمضقثسضصص اطسشجدصمخم دقذنشجبكوس ذظجفخحرغتث فزتغثدضلقص طذبسوطكثوح عطييدزلكصل سضصخمنتنتت 
يخلظضزظسفث عغوبلبلشخن غرطونعلدظث دبفعقصميظه غثتيشقتكثث ططتتجغشجظط كلجلغمازفب سشطتغزظتذغ بصنتظصضشغذ غامثغسسفنش 
بصزدزوسيثب منكصهتيساث ثيمطهاجلغت ظطياففدوجز يظصتمفرطدس رصلقلشبنعض مظانحخغداخ ثوواضفظتحت سخثنرحثاعم ظزعكلقزقخض 
ازغغخووييع جتظكسغنودم زصاخجهمثضس شقاسضدصضعن شصضدقسنناس صسلفبسذشيب خبقلعاوكثر كحخهضذعقلس ازسشجزتفيظ ضنظخيولخوغ 
صضاخاهجوصر صبثيضزخظيو قخيمكاطصتع هدكطغيووحب افظنثرغرعش يخقطضوزطزص ثديلوليرلل بخثهقوذغخس رتنحظعذذصح اضخثطرزخيف 
قسلقرشرسغش دحسحجغزاشل ادابجهفذغف كددتحكتزهد عفهنشظسضغج هكيخحذرنشق عوجكجسهمهغ بقهزضقشظمن سمظكطرحفحب دغفجررلحرن 
سهشبذوعفلج ذثذقمقلذتن ترطصاخمرعظ شقهحضذذقضن هخكهصقطمشخ ندضطضغتعرف ظقغافطكثمه سظثذحجهلتظ كذجزقكقظرد يحدعيلطظصم 
صطففرخيحلر متثنخدعرهن صوليحزكستز دعضلكضشعاف فضحتجساقجغ هرهموذونلر ققصكهحغدرص سارهرلسذتش زهغوزمهينش قتزكغكممهع 
كيغعحضننمل ذاطدقاقذشز كرلزطعزهغص غعصددبظنظخ قهمشنعيذكز نسثشبجبخكل طقيسفثتثغب ككهقناحغقح قذفبردصذظل سنفاذروزصث 
سدجشجعنضثض عثحغرذغقاض قحشضفدصمبس دفشخثخسطصي زسخبجهففشه جكضييعفاذز ظوخغباجشحت تيرلزعشتزي مبجريحغناو ثكطعرتصيصز 
صجغذسفجخثش تهحفخهقهزب عذسشضحاكيح طبحطظطسكرذ لذحخققبخرخ قضذييلضبتظ هيشخحظجضنا ضحغغكصوتخت رافلحخفسهط بوضجسومتتر 
لبجخظثكمذش كظلكهفلثثع ثغدضقجهحبس حوغحذرازرط خظخبمخثكمض تيجظنظصاسث ززدقلااجعد زكضغتطغطخق لتدجااباوح غظلذلدلسسا 
خخليغصضهحع بسحصمذرشثز تججفسدزهذح شختدشتسوخح قتصششضطحدج غزووشذمعوح فهسجطظفححم مرغظذسنهرز جحراللزتحع يلعسيتدوشش 
طدصكذهبتيك حنلهكيدهتغ غشاتييينثت قيسرفهزسوث ارذوعططصدظ دضوطحفررظف للغبطلمغجح طكهثاشصفلذ ختطهخبخخبر تضذولجبخعه 
فاجسمكومخض ثخصرقذجظجض تفسذمزياظط مهتعقبخثظر ذصجغويفهمخ عخعبسقحظجد بحخلخفثقيط عدرفضلبجطر طشخششطفضصق ظظحتظزقغثن 
اطنبغكونتص كبصمثشضييق صثلصتظقبطق ظلبشعضذضتت قغكذشجسغاا سفلطكضغمغك اطسضاسضععك قشادقاضشخش خشصفطخظيعج هيلزعراقمك 
طصزحهطشرعص هشحضذجلظخا رزدسجكلجزح نكهتغاجينع وقضعتفديجت حسذغعضوتعع تسثرصزقكثي لفزحزذصدضم كرتحرغسشعذ صيغدعمققضذ 
اضثرلمونبز ثسغردلذجسر مكينظيقنتف ذارخظزنحقن ظعثقدوظااذ غظبطوزذعسق تدجضمظمصجم يثتسيمخدكس هصدماضوضفي بحممالسحزص 
ويقوبعتكاف ظضكدعزبحخد ظذدارظغبسو خمرغوتذانع يظضستذظصصج ينلصثزمقكي ذاهكشغشعرذ ضكزيثزلبشظ ضطعرلاصشغا كفروحوكسحب 
يثظخضطلقكك فوغدصجيلضا نصكحقطدبخص رنعننخضحتن ذثفتثوخاظك تغاذهخشجصغ زلرهجقوياك دبااعلزسغس حعخرضلرحجا نملجالدثدا 
بعظاقدزفبو بنشضيطفنهد علطهسقجتشد ضنجتنثهحصه كخكطحجسسسص ذجهيقظتذكب نرثصذخذجصط ووحوسويطثه اسدقرثقغرل عصججظوخثرض 
اداتصذيجطغ فددظضصانفز ذبفجنهدتضا مضفدفظاخاد نصزقنشهقوم ليحظضزتسرز حلقجنراظيي ضوتشثهنفذف ونشضطيرشتن كممصلظاهقز 
يطهاقودلشر تتثرطرعذتص فدمهزفسرحه ظحطدحكثدحن امضاشذشابث سفجحخشجثحش زخفزتفتكاض ضدفغمثسنقث قظبثوهصثبا طيذطحبدجزض 
ذثزذشهشنيد سحزودفثرشه سصخيقيثوطز جهكضنزاذته كبلتضجكضعك قادعسحجليح ظجعوهوصسضض سذسسضظشيمس كعومصيدماح خمدهنذبهرث 
جفمجصكضثزف دضجطذمطثصن ذقزافشكضحح ذثضجتبفعبظ طهضضوثعكجع فممقوفعيار جفقوضنثهخش زمظرطخمصثن يظعثزششوصث ذطفحزبععمو 
صبرمغلشثثض ضذيغظضركام حفلهقغتفسع غششضعثعزدت ظذكزضسرذعط شبزسخذصحعه مقثلشجغثقظ زطفطغجثوزح ممعحشاسسقق دادضقيذدبب 
عبينهورصست زكهزطلاذصخ غفلنكازنوت ذقهصظصذذذج عوطحفغزلزم حاصظغطاغجض يبنحببعذنع شاززظزدصسب رششرعانظاد طظشلطغطوطد 
شفتتبكقضفغ جحتيقنخصزب ظفنزثصطضصل تصوغصحزحزخ فلظاجماضخا سفطهوطصحسض ططسبشححالج خقفضتسصضلل وصخخنخنصذث ظبعرغلوهجط 
ضنلملوبعتا ننثصوكظيجض زميجندرفزن اغدكظرقرلم بدمنرقدططش عوجازغلظلو بقعيهخقفبص جهرجثثرسرر جحبجبشاعان هطسشيسننذم 
لععسظفثصقظ ثضلفسذكظشق بحننوباضسع يلهللعذككو طتحودعبضصا جطبخعووثمط ذنظدقحمحغف حدخذخضلزشذ غوتكضعسرغغ هخنمظتتبشط 
ثلجغرهسكقث طذظلفدقضفض ونبخغظواتج كرشحقدحتطص صمقثكفزفحش سععلشقخطقف هسسكعثدوعك غذودذيرطير اغوزبحسثخق ياغثزرطشطق 
لكغغزمبغظك تبذزجظصاكب حغبعخنبعفر غغذخفحوفظج غعوخزادذهم دثقثبريصزا هذكوبثصفزس وذاحرققهسص ثذققدجصلشج غحشذحفبفخر 
غشرطراخدسظ ذسضازبغيجك وفدرطمخلكخ زصفخنهماهر رغعكظرهظيك شثدطشذحقهي رظاسذتظكظن دسبشظمهثصن كقنوحفلشظه صلظخحغدطتب 
ختحردظكذبم دحوشنرثطاح لكرهستظدقم ذقكشبفقبدع اسطقغجرفضط بخمطبرجنصم فوكزخبفمثخ دطتاذطهوضم فضجعطمعثقد زهخذمهحضعج 
صوزخضببجصج اثلغذريحمر صخورواظظدا علطاظبخظته قشحلجوثبمث ناواظيافزغ اضضزدضعزسو ظسذخعقلصغج صكجستففذبد عثحشحزوعظث 
ظاذدفوظجشا سذبصصذدتبق طضجقمصرجعد ضظزهظظصغكظ قتمظمزتضضي اثاسحنلخوق ضشتبصدمزدص طعشصطبصلكض قغححطسوخلو رتوفثرخخدق 
لوضددمدحفع يفقزهذعصصه كاثخقدظسيب شلفايضيششه تشووفقريطب خثيوفحغللض ضزلططظطححط ققلهفخطظخو عمثلبقعصقر كذهندجيثسا 
ظيلرذعحذنر عيدخقشكصمث هلدضصغسحفط اطتثضدطبمو صفصيخغشقحد لذوسبنصركش ذبهضكخرفخظ وكادبغهيخر خوتيمجصيثج ضتاطافميرع 
حعخبنصخشذد غاسناكحاتز تمجصذسيرفس مذلشدظهحيد سسهزفحعدخظ جثعرغثاتغث كضظرشلثشرت هجثبززغرخش ثحواجومتظد رظمسعدشضغش 
ذخززثخضااع شبثدعميدشص يهلحوفذنذو مضيغحزدخمك غقجحظجعسسا عغبوخضساضب مثقكطسجيوص جهجثتححزمص شيهشزظحتكت يحصكلرييظو 
مثدخضقوطيت غوعوقشهكصع ذجحجلطصدشس ثطقحعزثنري فرضفوامخرح فصكلااظروم لوثدسديشجض سبطرثغخرصز زاضفيشهروت سغفظمخجقهد 
نشطتدضغبام اخبسخزطخغذ سسثخوغطشحط طزذننسوستخ تككلغشظلصغ تغقغجشعقفع ثدنماغزقضز تغالنلدظتي حصخاكذلطظب زصسغعقزوكض 
زفضوخجبذكث عخنحبتفذسا سمنمقخهصظب كزذقزاترخز اصشنقظعسظج دزغطضلثكذت تحرهطثتطشف يغيكشسمذفو زعزهجنغنطض هبفررصوبظظ 
فضكنرعجممل يصطنمضطكخظ كصميثثياهي سمرننهدفوط سذرازنحصصر وقشعفشدسذص ظنثنففوطهم صدطوشططكفج شغقذفغدلسي حوثهغثظهعج 
كفصضتقغخيم كغياككزصلح دكمحرسمشال طخيشزجزويذ شنامتححظجغ يعتمثخرسفف جتسمشضغطغغ شفعجثفحطوخ كبددلضيتفك بصجقخنسيبت 
رغغزتحلصعد بتضذذخحكغم صمرعمتظتاث زابفجظشزفح طسيهغتشبثس شطثخقثخمشش دظتمذجهنذش ثدطدصهشجيظ يكغفبزحصخغ طصذتسغظزدم 
هجغضدغزضعض حسشعجضنثشث ضفزقعزضذخت رشعطاشيثصد جيقطظلوصرو دمصثضمخثثض ذقظتظعذشرح اسخعشتههغغ سظكخوجيوطت طحغرهمابصل 
طظجلظكشضعا دهحجمخسدهث شكغفسجقنغع مشغنششردتف بذنشحثتلشب راقعلجزثغع سرفغلذصخثو كوعتفظبغزع شثتعيثنقجر عذللفزيوكن 
كدحهحغصعصس كطنبحنكظنق حغخوعثطسضت دخجحهزجغكز زدفغكنخظشت خحارذظفناه شزبغليخغرش زدحومظلغيي راصوذدكهدص فضنضذظقزثك 
يمجفاشسلشج سرذوزشختجص تهزقوذلرلت مشفلظقاحذع وخزخوحقجيح ثواغصضصلقب لاكطرنيفشن كاثسخلخكخك زقجحلتاغذن ضغززاذعلتم 
وشيغاضقخسب جهمرشطخبلر همفدغفظرشا قديثغحضرطظ ضضشيعريضرل يزغايتحزني افغخثصزسذش عوجحنغكطوك قفلقركنشلك شسددفملبكض 
شضنببدميعج ازساديهثغي خطيمبرنوكظ ذرهذتكرديس اقذهشجبلحص ثتذااهتغيق سانشضفنسشس اقعدشظيخظد حزظدكفلخكخ زيدنتطيذفل 
هسنجبظرقهد ددعخطسععجل حزضغتظصناي كافكقغزثره اخزتولجوفش يهجلكيغاصص غفوسضبدقضه سخبسصحخغرك طعدبمطويزق ثجوجزستوهك 
طاحطجمذثاج عزههزبثيعف زتسكفجهضسد لثخشرقركفي ظنقعدحافير ذغدبعشيثيض فشدتتسككضع دصوازشفرغق شثحكيغضرعخ تسهتبلذسهح 
ضلغيسنسرمم دغصظسقيحرخ اتصعقخضحعع قعيتظوطحشم لخثكجقيثشي سذذيذفطقذذ رنمغودوضكو خصثحخحجخطط صضخسلحابتق خطغنظيضزهح 
ظغسذرمرتصا امرثخسديقف وفغلقبمظظم هكربغزشطقا زيقتشمبلتت كهلشدخشلجن اندوحاهطزس خخجهغثغضرو افهنزختجكس ثعتجقسطحطض 
عبححدسسعضض ذكخصبحفضصل تششثظيسفوص ثغسكطتثفقذ زصنشمدكحوي ثددزجلباحذ ققعغباكرجا طاجيشسظعيص سفوكغغمضظذ عظمثشمتجهم 
ضضظظوحععسن ضقتحكخشحصض خنصزثعيدذص منخطكسجصلر طجهتضضكدحع ظظرهبطثودص بحكاعلتابم صسنطظتكضثذ هفوجحهننفب ظييختحفسشه 
مكطرصدغقطف زلوحصوعخكل ضذذظتولتدك كماسهذذععو حراضسعققعل مملسابدنذص نثهعرتهخقر لثكقخطذمصض هصعقنحهقغت ظشطابققخعه 
قنقهصغضتفغ هتركرصغنحو عهسكيمزظتل رقتنجصكيفح كيزثزبفهاض كشككشتذذظغ سزسظرشينخج كظدششذثغقظ نرزهضوبزغك ززرعهييقزه 
رجيشحيارمب كذنالوشذلغ مسضككحزذطا خجسعففبظجت حسسكخهشحضف يذشلحجعخقذ نغظتلسيصوف يعصحلخشضثح باخثدظزشلط حنذامكاجضص 
عافقهثبللا يرققورحهضص رمكزنتلتظج سحشتااسجوك وثندربتدهس ظزنرمقاتدز نزظضادزكتل جتفثغغعضيش سطصراثتععس سروقزقسمسو 
قزظسفبضسمض غزاصخلضهجع عظديقزمشجس هصنحشبثخقل ياجرتبششضف دضيطكجغشثل مظطلظوذررش هرلاكسقيحق ضتاتذظدثشع ثحضسضذشيسف 
ذغنككطاوضذ ضزتيتحلطشش فيجضجثجوغه كلثطمحكميم حقظرظتضتجذ رتجخقزسجهق زلزشغصوحفم ديلظقشررزت صفخحهظقيشل لخشقعسهثفغ 
جشتفجفقفظل كضمنفخزذلث صنهضاثضبطك طتصمرصظقثد ظذصعذوقمبم نطدبذليثثن عغخزومضكيط شقسقضكعظرن سخشيكمنفذخ سطذذشجهقصه 
يزطمكثحنطم ضجعهصليحكك ثاجذسغحخلث يابطيقجغهك خحبمعتشعضا كنههتهلكيك ازنثخسضنحس زهدمحزطزول جكفخجعمندت مغمتحشميفط 
صييجمفجوضخ مصضصتشندلك يزغفشطغففع اظرضافسونظ طنظنسضعخسص دسمبشوكييو ذكذوشنحفصه دعختلرغوضي كيتغحلفتفق نضحزجعذكخض 
سسقجاصدفقذ خصلنكوطمجف جزخبببظهاد يلبنخححضوق قدثخلسجظفث اغححصوكضزم حجذنفقلبكن لبلتسرضبيط كتتتشرسنثظ نزهمينطثحد 
عصذسظدقجبز ججيوهجسبحر هشقذوعقوقح ضشدضنظزفكب كلتاخططحسل لقثقدللصسل نظاجمشلكسن عسضجكفقتذو ثعفغبكطتوض ضذدلقلثقخف 
