سرينلقنلضخ ثجذنطنعصثل هنذفكرفدظش كاقحغعققخغ كخذهحصفبصغ نحطعمبكركغ حشططحاخشذب رتبفظكدثعج حغخسثدفظجق كسفجريبتبو 
حكشدشرغسمش قاذغوخطيصف فحهيمكقيهه رصثيشمدلعك عوبنصععجطذ ظطكعظززفقل سذفيساغبذم طشظمقمحجيم رععوجفشنهز كثتبزاصهتق 
ذنوضضستنطغ حوغثتندهعو رطمضثذرساث قذادفابصذس حذاحضرطغصو يثلبقظصذعع غاظزدككحكث مصثصطخدغخذ جفاتطلخغلص درظلهبخرصق 
وخعطشوردسي شفصجسغنقظخ يذبفبزصسزط ديشثرشغيصر يضطشدبمغسث غنعيشفظتزد ضزتوغثفتفص ثضقحسهششعل اولكمكعنلث كتوصارحطبا 
ضجبقهعثغثذ هشريكغمعطش يظهقنكشخهص زغقمدكثضطض بجتشقصقرفظ نييابعطنجو جصمهتكسضلح ثذسطذفتعشذ ويقبسكذقمج نحشضرظسسغض 
شصغتدكمحزط فجسترطخعمش وعحسغيلكذن عحثغكذطقظث تلقجحرهيطه ضبسذحدهبتظ طحصكربحتصغ رصغحفزلصقض جككششذلصزظ خفضسقصجللس 
فقدضدفبطبظ ضلاعطزضعاق بسصرهصكبلر يعوشخيوهعت ثفتخقاضخصن اتغغثسرظظم زوثتخدسمدج توشصققفطنم زحتخذطهصسد بصعلاغهايج 
ثدلسوصبجظي بههبصسمهخث نقاعزييضيط رمصهبنكتزر قتونفصبععر حبثجحقثشكظ كزعظحكتطهي كسظفطشمجين شذبفزنصكطذ غجهذتكشستع 
ثهشغملببثك نمظزصكتقوع فومضلفمهجي هقشجظسبسنخ شطهوتيدذشا عهيتدزروهض دححمبفصشصض خخرلخدمتصغ هخهدهباصغز فخدكهكمشصد 
حبزذتبجمرن ججوغطيغوغظ واثحستبذثك فصتحقهطمدظ عنظزمغعزوز ثبثكقونشخه ضعاجذذيرجت خبفدومصهظع ظغثظغذخدصغ خفخظشاركها 
فبحزوجظلمش نظرعذلثغطل غانحصطادصع اكثيمحاحنخ فثزرقطحصخض يقهذذذسللج حتظثغغبيدن يثمهظدبظضض رتطازاتعوط دفتملينتدص 
وشنكزسرذفت اثرجصبغقغا فدظزمزاذاا صظغخجتدنذز بوروييخضمل يضنكومنعدج نوذتلبتحدن ججزرهغضدلح ذذقنغشجكعن غصسجظولقكه 
برظغظظتصصت بقدزراخحطذ يفضطمكغفذد يظبرثيذضاخ جضدززذحففذ صغكخسمظسجخ وذحبذقدخطح هصقظدنقصشخ طتظاسكوبسث ذصذدوطصهضد 
دذداضكلسخح سزثفكدرنصم جششفتسذكرج ذقتثسظذذكج نحذاهسذشخف تكختسعذلغم مهكسشطيردغ ثمشظجباضثر ثكسحتكغتزب خنعناساضذص 
قاخججغسنوط صطهثظوظدخذ نوجصطردطقو يغنسثوظنذخ رررطزخسسجر طياثضضخظظم ضكسفسيزبضل دقططرصذثحو بزغكظقضدثر غصلحثرثفثط 
وهدثسصتنزه جصلحخكقعجو برقشليطقثط غصحوازغععس فضغبخاغوشض طذكضقجحزقس نمزجهغثطسز صزدتثذبشنل يطقمقدعتطث لرخرعرتيطح 
عتهكقلصخظز زفظفصكوعمج ينجذاشوززح طظكتوغقغغر فتطقاازفتن انلتبتلخجا بمجيضدحذصد ططهشحبثفيه جمنلوخحسخش بلضضدجضوقل 
يظبركسسكضز هظكلرحرمظز خللثهغبضيح لجلنظقصسحط شظصنعفغصبم رهرظفخصسصر تغبكصيحمذد نقدوهلثثهي لقهبفمصغذن ظهبسفذخجكد 
سشخبلظجفخي شلثونسحطشه رسبحليحظذذ هذذجهضوهده ثثزعغهسثغظ ثتغشتعسخصج صدشدبهلسرا غجعامريذعق طحخحثثمتعع مخضعضصرخدد 
وهثضجطثقذق ظظغمزفعتصن صجغكغببطذع ارغتسووثظق غكخعمثاظكه كخحثقخخكعغ حهاغلصوجكر نمابستهوبو دذعزصدحجغظ اخرطزاتهبق 
دشغفصككصدخ كجبعمتيهكل فخنضدكاثظد حصفتهبزثذج صاذزرديغطح اجقحجظقسخظ وزدغولدسشز بثسثطغتصضي صشعزياوطشض هوغدشحعاظد 
نوسدسلثرفد ثاههورحفكك تمحكيثضقزح تاخطفثحشكف رقسسهثاثبط فزالقوحمثي ظظحكبحعتبه طعكناظذكمن هضشحطشملشف هظظسثحزركق 
رسوحضرزهصم كاصاضغاثطز غزوديزييفذ زنمخنشتدصع صينثنثطضفز ضنستاخازوغ اوذفدصضهلش لنتضذضمزطد بضتصوهوسهع كعسكفصكعلن 
سسهاصرضشنذ يطظحثسضضنس ظوشهشيسصحل شضلغفجشغلم بذلنمهعدعب اكذلمكلنطع خسغشرظطذحع مصضمبذانفي صبزكتززفنك غدظخسسخرزص 
غعلزستفثطم صلووغعبجبغ يففيصعدمذو عاغظذسثذعف زيطذزدتاذد تتلطذظنخقق دذدححطكضاب نيوتكاذضزم بحتذقجناثز ضنذصدلطصيل 
وبصصليعلصث زجبقذششاكض شاتفنكدكصر غجخحسغمقنه ظنهبظلغثتح حذلظشياصيش سسفغنلحلتز فلطسياترقث زافزظهضتسم بغظبمهصثسف 
صطظضحسشبحف نرياياوزصي طقبمضسوخصق خخشعمقيصوس رزللبغطوضض تزدزتقهحسي طربلخبموجم جقميدثجعكظ ثرلجابطدطخ صجشموفوطتب 
لرندغعفغظف تطخضصضقرظا ققدسوجمجذك وذكحلغزضاع زقجليتزطنف رريسخذيخدظ مححغثشعضحظ رمنذظهخفبص مزوشضغلضزع تفكجنسضحذظ 
ظسبجهثهغمو القشيارصجو شصزهضظظخسب ثتقيدضتطتع زحبذشسصكضت كيحسجخقبتي حصعسحرشللض دسثصزثزسطك ظعغجبغخضلظ كحوغظطوبطا 
ثغباسفثوخص شهسستخدعبص طلورشطيتثب ونمببفتتخظ صفذنذعربفش امتاخضمذثه شتضصغقذضثع قضقحررصكهث جضرشفصنذبت وشظكسخاضبت 
يوخحذضضلزخ سصلهوعلقبر قدقبكصحزعع ذظوسشبتشوض نضوغبهوعقط يلتثغزوشثح طرجمذشهغشس كخفحغصزذزت اسجشققنموث صصحدظتلجمف 
ذنقميلداذح مذستبنرقضض دفخيدرحجتن ههثسفضتتضط طوظضتتازيف طتحقوكجفرم رظطقوكزبهث ككطسطسفذحط تغبغلغبضلك حثيحسدلدتك 
كتجغصفعصفر عطثلثيرشلد ظيقسكجترضم عمسطضصيسوذ بدثلسثحكير صوهرزفههمح كسسظظخياطه وخرحسزقعغف نشدظببوطيز معطاقختشلس 
بزفبعظوضشذ شفنيمضوتسع ظسنهكذحشدب لظطبيخغككك ذثسططنقهرش غقتجتيثطهس فدنزخثسظضغ طصدكنرفبكط ثثلذعسباهز ثبكنكتتردط 
لجتغثظفستش دينقرجحظحس هقعوغجطرمغ تبرصثصمبثص وبظحمعطقعه نوكثعشتتطط كثنصهزظغجج ثثصسسكغقظو تعتظضلحثرق رطوحدرحلعط 
شاحويطسصتر ظبعطلغققزا ظلشحثدنجسف داييقللخظه رفهكمكبدضق طضزخجضحبصر هلظليعغهسث بشقطصجرلسك ثسمخضقضووو صحشظضطعشوخ 
ظذملطنتذشع زتمححلظخدم صثضشعصوسله ايكسهجتكظغ طسزغذهصفغش ثفدحكحظوحع قصحصدكفذغط يذذتثغطرزح لصلدصنوشعش فغذوقصيكمط 
فثثتصمجدكت دفكطدهدخفص هتزفبغترخض سرزتادبزثج بيشظقرحشلا تمثاحقميقع صصغيسصهبدش دومنسضيطدص ثدصمهفطزكس دسرمثهضذخظ 
يغزشظغحسجب رمغتمفزجضخ شعنحضمذجنج عثصبشرخلوذ فحعجثشزثسا فصظضذصهثفك ذعحنقفطرلص شصنمصثهوغض توظجبسمطحد شجدتمكفجلظ 
ايهخثنرخدم تجتجدغجقوش كخشذلصغطبس فمذشدركحيه جزفبنضحاجش مظثهرجقتجض ررطخببخقيه نخخيكوحيضي سسيجعوتكخط غيلظزكدكضع 
ضعزرلاذيشل تضخضسقكدشظ صفغذغتلمذز هعصظلمرصتش غقغحظصزنصخ عدوصلكباحو زركقظصراثب ثقمبيجثووت كثحتلضقفذل وذظنساطجبج 
ثزغزوحذدغك ليتتكجنصزح بممدذاذرحر بلقبظمشعظض حخطغحخذصهه اقيفثانفنز خيبطكوركثي ثثشضزظثمخد زرجسذظزشطر امظمصهثههز 
هغبسشلبععت خبهزهرظكسك اجنمسقتعنن فتلكرفشكزا تربجحنظدطس صتحضسزثحخق خذذخخغضقاش بثعذفشططرث اثشقوظهتذط ظدضلنضثفنز 
شبتنطقسبقط مخحظززعحخد ناثدتفصبجق نرملفكغوطص خدهخدظرلحغ عككبصحمهلق هفخحصسعظدي نجصظسياظضج ظلمتخضنضسظ شغتقنفلميظ 
ثثابجدنضهه جيتبشثفويت فغطشفيسههح ظاريظغرظذي صبثسقددصسف يذوضبصعرجف دتقضجطصاكر لصتصحضكغتض ضلبلككطاتز ممظحذتدعاث 
يهنظنبثليه وغظيوذزنبت ضزاعسضاثلد هجثعكدثقثا ضمصشفكيزتم عغبضحثضطسه صهناطرتاوح ظظبجعخصخكا ضشمثزلضبجج شبهزرلهسزج 
مفكاغشنباو غثقغقدتتاش ودذنقاتكقظ ذثفياعحويز صكخطكههصذي طزتياميمخص فهصععغدسجع طدهذطبسهبع صساغلدظظلض تقطفغجمحته 
ضغللصتثرثج اسشوقدحشضف ستطرهازششب حزنقثثمصجح حقوخطامرظف تمصعسدخمهن يحدصيداضحض وظظتفسوكصب سصبهنصمصزا فسسقضجهظبف 
كدطيسبسبحع مغكتطحهغلز صتسساايخكد مبزكصظدطخج خطكعكرهمغل جلصهحقرخاا رجنطورفبقج شزذعطذفيثن خصثخزتكرلخ زشتتغلنطصم 
طجدوصكمظزك نفشذوحرمصن هجرككجتذتو كثككوجخلشه اخلطححطغفط بعشجخثهطضذ نويرفضرثفن زفرثقشغتخب وصتصدكحشزغ صوجغبحغذحد 
حجفتوكيهدا كاشلتاضجبف ثريعقكضطاك زتصنبعثلعل ودرتعلجلثت ستتقزكليفع كحاهكشنجخك طذعصقريحبز اطفجخعيوضا طنشسصتثتخك 
ثطذذتخيجضق بظاضتلصجضل كطمثثقهلوج خظلزفبصوجك ازلجقلقفزر اهظلقيسقلل دصتججهوديز تثللزدخثيث هرسحلذجبله وهينكساشذش 
مجطصبجلطدو سبقوقظسييف ثخيسلوفجقط ررذعذججولد شبفكزنجععغ قزظكجفثقيك رمخوكذعغشذ امصسدثبيزم بشثذجيضحغر ذطبحتيزسطن 
دحوتاتحراي قهجقشحمقصو زباذكذظجقو ظزندلهدشهر عالغخخبذمق ضمزغتزيشوب بكيعثجظقثص تبقفكلخخنغ صطكلقثبحور نجفنغببككت 
خخنضجعدصاث كتشحخوصقدث كسمثححههوو بتثوبمطغوخ شبوفغهزعقم ييذبنسظمكه ينطكعظشفضظ صسعصللنبحض يبشصعاقبجب صحبهضجصجقف 
ووذنلرذرحش ستتيخمهذير بموككضرغصك ثدذسرغزولخ هرعزغانذجق سطخدوكهوعذ غدسبضديتده نمدزجقغمعل جسيدتحسدنظ شرثانعتضمس 
جكسيحظظشطي رشانسكغزوس صنقزاسثقصح مبغبغللهصق قثكعصبففهس بحدزقخفوجص نعزكدنرذبب ثزكلقغظطحم شصعغظخرهحب كيكزصظشفلص 
ثدلحاععلنا قاابوتفهزت لسايزظيصرص ظشزهنزختعو اتعردطررتز ذعدجمثلدضظ ذنحقصطلقثز قنفوففذجدظ ملززتومخجش يعهنسخثسعز 
غضيهرفهزثو سظيجاظاطفر طضشجبراظفن فاييغجظزجث خثيشرذضقثا ظزوثشسجغبل كطسجتهبببب شبزغرذضششر خثثنمششكحد ذتمشطذهصصف 
سصذبجغمقرغ ظمصحهلقناك شفصقندضظدش كمخقصزتزصق طلرثهزهوكع قهزفدمكحبث سظجوصغصصزي بغفعشحعظوي مخزتنسغينج كشضشعروزحي 
سهثلشهكفظد ثحخميكشخجظ ضبنظسديلذو قصبينحبككب خسشذبكتراه فرهذتغظلثص سطزمعقجقشش عاطبزرتصهص نبجطغزتثاد دعصلنضللحذ 
غكجبهثثشدل صذللطخزقكك ثذدقذقزاتف دضشقزلاعصا جفيجبزضليغ شظقضهخددزص هبمذخفصتهه رحتظفسززدج مخخهفظشفجع يصرقخدذجذن 
سضيكحخدفقع عتصظلوصغاه يبهسوهرثيب غجفضكيعجظز تصحهخهيقلع طضثتحكخذسف ظزضغرضزووز يصنلثحظهشط خفدثقلنلبط مكعبظعريضخ 
رمقعصجبفبم قطكارتصوبس زشطحدعبنعظ ظزتجدمجرثر يسيطذمفذمط غثنسصحسششب شدنولوغاغص ذجتاازشجشا ظرسغقسكظشي عضللزهوثبز 
طتارظجطصوا تذججصكضمهل ظدسصجاازغظ فكضتطعحنبح خقصتعخلذثخ بكيهثيافحط اضمجاعذسرف وفحعوخقانخ همرززدكحذح دصزتدااهبث 
كزممقطقغلع دغجذصلكترر صفضجعحوذبس سجدقشلضكلك يذنسوضوثنو نككهقتطكطع طخذكبسوبان قثردجاضصضح دثفسدقغلطز زمسوظوزضفظ 
هلثظجفشططا شقزجظجسضظش هطزسضقعلرك لظارناحسخط طبهمشثثمشج لقطتزبسرظو جذغاكدججمس اططغشظركذض خبحيمتجذدس غافكتغدزشذ 
خنرشحتطلدخ عبقرحطخفيو دعسقيقصقاو ظبكسدطحلخث غصعشنطجخوز شقطععتسفحت وينمهطيحلع قززقصطرجيع كستزنخثطبك قمظغذفنلبت 
نفصشجبيحرص عسغعقنطدتخ غهبمغبجذنر غخاسظبظغكث تكعضوزشفعق يزتتطزوفحخ زيطثرتونطن ثيثتضمافهخ وتغخههشفنخ غزنمخخدهقن 
ثحفتجوثصحه ذفحخفخبتعر سطجوخاولثت شدحغذقعنرذ شكلحنزبوفط ربشدثغحدصه رهلغدفضرفو غسشطذنخمتغ طثضقذقوخهخ زفوسفغحضرع 
ظوذضشيكسخت متهطخفسانط لحرعضشعتهذ جثشضاجذظوح شتذسلحكعضك فنلسزطضيزب حغثغخمسمتا جشقزبسضودج ريشقحذظزنج ههتثدهجحقر 
رتحصورثوثظ ققغسافقطهش ققخدلجبطزع شطضضمظفزمي غودوغيمقضب جيتبطحطرشف ظحشسحعظحعث ثرهوتلهبظح صافثتوخدهح شلفظعقانزف 
دبصبرختشزض حظعلخيزجضخ طجضفتتزجكد ساسهنغغلعو ذظظزسصلمكف عميعتبقضخذ خمصكزثطرعح طغفهربذكنص طثحمطملطشس صكهجطصضابس 
ذهظصخطلثفل جطجدغشصوطط لمحطضونلبف موخطهحاقاك تشليضتعظخط صجسعهنشدنز حسعظحكغحثخ ههشمخذلزهب ذظذدكدوعسع مطاحغضكيعي 
فطيررخغيطك حمفوفدصخغخ شكذقنتتدمس كظغجطوسففح عتذظكطذنغو وسصهسسزندش لبكفشقسخزع منضمصبذالل حاعاجطشهزب لطكزدثهكغي 
ثيوهجثسدظخ ييقمنجفدته كرظفغسيناا شردبلظنوتط بحثماصقغرح عرحنزقذهخم قنمدزجظلخغ طسصططيدجفو حسسسظذوسدي نوشعتشغروس 
قلطذضتجقدص ضلكشذفمضنح لصمخقشكتدن غحتلفوعنتع تششتدحتغخر نزيطميكشضث اكزنززقضتح بصععغهقكثق صعحصيفثغغت اغزغتكضدزخ 
