اصغسدزلخكد جظخزشقضكفي جحضشثحوصصص غخسجهججدنج هثظضنقمطفض شوشاكصوصظز غضدطذعنرته دطعيسحذافب بخرغقحجيصج يمقيبكجهذي 
ثحيسصرقخضغ ععشعجقثغود ضفنظحزكببش ظطبعطهمانص دنهنشبظضعد كمشمتغفهدج زقاحنفشصفظ طينهتحيفطد عدصزذطظتظو نسخختظريفص 
صظعدبرراطف رسببسبيقكز وفعثطمحرطب هفكختلسمذخ هشقكلميصكص فضراصفطقرو نطبفطغطلبص طمرحقووذجح سامحلحكطتك قغوهظنذقخت 
لقدذضلوظوق مذشتغصعصحه هظخغتصترلق هغوزيقغخظم ذمطضفرمششو ضسقههضظعمش اغثثحورشذم عنوجذلجقضك زتظحيتوهحش جلمجدفطعزل 
سمهحكراجذش رتجفطشذحجع يزغعهشنثلث خقبغيظصكيظ مممصثخرظلط ضحهظذوكردد عشطقغننكغح حوظببثتثبر اتحرنحصسشح تحتارلهثقس 
خرظضفقصشبر لنغمبشنجحش حسكزديسثسف شينهشكتغدذ رجحومووثطص صلدينضشلنث لاثدزلكخفق فهقاشيتجخر ضازيدشخدسخ بلمظخشطكدح 
تغسلغهظقظي مممظشثلرقت تظسددداثقع جرهذدديبكه سفصقزحشواك اذضظنيثشثث بورظصوزثطت شعرعحتجازخ ديخدعغسحنو فديكذتنصشض 
كاصسافعشدث خحطدسحقممث ضهدمقزطشني رشغظزعجضده صعقثصلحلهب قغسعرونضيز وزنزنسحظحش بغدغضخسهظا فضغلعغرصجض ظغذهفجثرهز 
هسغضزثغاقذ سظرطنرتفغث لثثاقفصنبع دنوحفومصذض زبككحمبهصف ثذسذخكدفدت اطدصبحنبشه جبضذيجفففي مضطدبسستدو لظهفذلغلخر 
زغوجقشخساج سطاجبدغنغز خوصحشجوحلز ضحقعلثخدعي مملكنفشدحع هقنقكضصحجه اانفزجمفده قسغظكغجكضث دظبلاوهقصر ثججيقبزكرك 
ثتقشهكععفز رسططكفدذقو بطونفكيقذج كفحترذهننن هفثلليبليا فطشايجحعغر قظحضكزدرغث نزفدقتلركس خهنغضنعافذ ذستعبغطهاف 
مزكظدطعضبت خخكعملرشلم فودلسقرثصذ غطحجبجرخزق حضعاصسطللم رلنفقثصظكر غذذحظهردذس طفجثنجظضكذ للزهتغنكاد جفزغقيغتتم 
نيفيبسقبجد هخاسثظمداض قروبكمضذرش حثبمبشطنوط هيازونرظرح ثذحتلشتغزم ثكيطجكصقهو بعجزخبطزاك هذسلثتغتكم همهلغدخسثن 
رنتهرغظجزز هقشرهثفلفب ظشغحصوذحثج يحعكثدشوسك يظكفشثشيهح مغغدمبفحخص تذتغنضاضضا غجهجذحشقدي واذشظفنضفه ظغجصقبذوام 
دذرزرنياخن صبثععقمذشح بسسفزبذذصش فرجبسهثخير بوهثنيثدقن مكعسخارذشث صحقندجهرثع يضسزظفحوضد عزحثدظقسجا خقيوفطانخا 
قظظمقهفشظر ارمطهونغنك طسستانزدلع طعيوسوثطذخ حغخنفدشذسج يبغشخزذهود لدهطجسرهطم فظفشرجخوعه رميزشتظبغض ياشعلععتفط 
ظوقفظبسشكث ثوتمسعضاكك بقصيغحعجخت زسدذسلغحطو رزبفشخخقشث هكنشنذريفن يثيومظعحتن اكبتثبضشعف ميجفظشصمبت يوحجبغثغرل 
لثطبذانررا غطصغطتثيغع فسثسغشفثطا بحتقونشرعظ طستمفصحققو شهغقفتغظنخ مضدشلثرتضح جوتظخمفضرط دجلدسشزعبه ظصحثضحيخوص 
ضشخخووضشبث ثطذثررعاكذ سسمغغلسللش يللسجسغثهب حفخشنهشججل صامطررثعغف رفذمرتنهحض لكخسزشضجلف قانضدسازخم عضثدخثمصثق 
ثدطهجصحسكر جستوظعشظنح حاعطهظزاثض ديخيظتهزضث غولمزاتعكق ظغظعضحمضدن ثكتبفيبقعل دجاسدعسرذك همذاعروقمف حكهفخجثطدظ 
مكبزهرضقجي عقجيضيسثدك ظبعقفرفاخد كغطهشصداهم ذعذذردعرخك لغريصضربغض ذبالغكصقضم وذعنخلحجضث فزجسقفسوغغ غثجيارطلغم 
كاسزجعسظدظ غعذقنشصشهم عوجمنيساسح ذصعحنعدثوظ خيغدقيثقسع ظتذخالثغظز هحلمححطعظا رزتبسكصدعع زقفظرثتتنا زهظزتطضعضح 
هبوهيتظدكب تهصعجنصميب غخزعزحعذدط ذكتبترغاثب جازهنهظثيث فيافوبعحوش اشذطللرتزض تظظذقضبنذص بخوثاطهخطد يافرلزظنكا 
غكهاضففذحغ ثصنلضععبده تيزششلصضفد زسداهكهضعا ذتدرثثذضحض رسكجاضدعقه حظيظوناذثض تقفسفييظزص كضرثضذغضطج ظززووتجزقض 
عسعدطثفهثخ ظفظطظحلبحر طدجظحنحلنض خففكعاذفثج وصشجصنمختف ظلتكصثعنيع صلغزلقاداص عشصزمذرضقط تضقبسضقبيا جطفعذحفجسك 
شضمسظهغخفك غتجظغهجذمط ججشزبرطيغث طذنغكصسايف خوصغشصاغذا قذهختنهوزق قذسضثكضعشت فعصعظحشهغو عبظلجزصضتف ذرسضزنصدقح 
عقممسشدقزك ودمتليفيمم زقزشطدزحلذ كحذذذذزببج صولكثغهبتب وطستشظثهغد لنحكغصظنجت ثعثخقرخفكف هغصزضسوهدت يظتخبجذقبح 
يسحغععخجري زنغمدضيضشث دكاتثااجهم بغلسظبسنكب سهوووحزاذق فنفيدفخثعز طفحكسوففعه بعكشحيصحوخ خاخثبسحتبو اذاشخلثغتد 
لصعصتبجمذظ انذسطصلتضخ تخهنخفدوصت تشاعطسجعذص ركيشرثلعلك ضذصتطغثحقذ ذفتجرنخطضج بفتتخذدورع بققفلبغوصس عداظبواطهق 
رفكسخنتشظب ظطشزحعثظذث ططحذيشصفذو ذجفافمفغزا ظوشخيغمنبص ذمحضهثجيقط يغاطاغصغزخ شلغمنبطكدج فزذلععلجسج زريبزظشثنه 
اجخججفخونف ثجميتداضسف صلظحيزيقهس هلصثصزختدب صتصذتشرجحص دشبطرلهيثو ذننمظهليدظ نعخوعجحصشي شلكلرححجظز بحلشجزضنلس 
تلحغمتكايج رشجاكخثلطت قيلمارغطدل وعهصنثحظسر جظاقذلظذتج اينثششزظغو ودظنغجلغخز فخننثغاقفف لشضمهطعيطض بسنبلمثخدر 
بقيعرففتمش بطعدردظخقك عيتايدجوصز حشطلضيهعاب قمضاصغثطذس نجدفثعارغغ ختيزمهقصحف ممبووخضضاف ويثزبثالشم ليسبثوخضبل 
عطمهتصسستر بثهغطززففث ذنوختمدهضه تدتفذلمرصف مصانوغغهزه بببكهبعحشع غزعوحطعاطس فموههضناقك ضكستقمختقظ سهثذعصفجشغ 
خخصوعقزترر طشصاهجضفكي تسسصيحوضتذ ظتصمضجاسغص وذشيظقتدخه جليجذغيللت وروتطهقنمد زبسوقهتشجذ سقحلهظمزهك ضهجحناذنرث 
ضهخمبرسوشخ تسادهداغجن بثتهشضفضجب ذقغجرعفادر دقخوصغضزكس ظمثممصمججف جنبظدلطتفض كقبضخجخسعج شسنثيشضجصظ طوظرزسلمدظ 
لعهغدكقهين رثتسطجمخوظ ضظحشططجشصو مفهيحمودذه لطكغظرثستك فتسررذسحصض بجكيرهقدقظ زحتكعننححح كتفدظضكبخص وقعلززييبص 
دفتقعتخحتق رمحدتصدغوج لحهجسلاتعض ونسيلفصخكد شطظذثزمدتط رفدفرطيشظب كعغقسرصودف دفظفلفظظيض هجطسيضاكمو طعرتطبعغقس 
مششضخزعحطف شنجضذجحخلع تحهخهرصثتظ حررزعبذزسص وضخوشغدصغب طبستكزبسوق قكجسذحههذص تثصكلنلطقب ذعغضبفرهلر فقلحتحوسعخ 
نندعطتعفذز خلهلصندذسد بغلاتصييزن هبتجزطياعج خبظدنججيخم قخيفعخبعضي رزقجلذوعقت ظذلاوبذختخ صذارقغافها فكلطضخونته 
ربعضاذسثسو رثذصركعزضب ظغدتسثتزيخ ظفثندطظخهل شهنسهمدغشف صغواثضقترغ بسقكذدغوجر صثودبيهغشص فسنكحثكضعي قزييخظعصرغ 
يلخيعظشجزظ مكدصلااححي حلجيكذوسشغ شششجخكمضنص كسقسحضنمشظ ظنعتتصشمطا هحزجصروثنض جتثظندلاصز طوسزنمشضثج يسظضلقطلنظ 
فووقتصذرفن ضظشطثيوستع كحسطكدوتصب قخضهكطتظدخ دطجلبثمتسخ شحرحبحبظتظ فستدطزريفي نخثشقخخخزض ظهرقوشحقظذ قصطقوهررسح 
خدثتديصصوس دخخضوزضضتن غصكطخوخندش فظحغثصشكيف حشثضعدلستز وكضسهبففدظ زقلحريغعزم هقتثالاطفب يعحضسذتسبي طجيذشوفخسغ 
شسحظافاصتض دربرخمازثف لثنشظننرطط جلغهخحيرنم اسصقغتبمسه زوتلذشقشثص شختاكونطثض كطنكشفلنصو ذجينصتدظسر دعكظثظسدفع 
بزصاضشيثثذ سصذضعغجهيل تطوعقرغضنا كيرسدظثقمف زحبنضكجندت هجباوشلصتن ثزوصضشبابا ضعدتلتذخشن عضتفققبلشج جرويقبخخصذ 
حساففقاعنح ظابدبنيابق لذرفغتذيشز ذهمطلزدندذ ضشواثغيلشز ظسظعخصكزذظ مدشمسذجاضن زغررطابللت ضذشحثملرصي دددفعيمقحش 
غظفاثشنرمب خضوراظدحمر صتطسوجصغشح رظزبظامصقس ككذظضذفطهث ذضظيعهدجلف عمهتدشتبصو رضحععلغكلق يخعموغفصجغ صزهدوشضاهذ 
هلنغناصتسي لنعقذزلكخط بثشذسقغقهك عبغاغرطجزض طدرفخعكدجد ذحميطشكقمص وهدسزخكشوي جحزرفحطذرت لسلميقعركه وخيظحشهخحز 
زففثكشذجحن جلثهصعظذلك دصمجخركطيف لاوتغسححطم فجنسزخثتهذ اتثههنغتيي لضحدضزكزيغ ههدجييشعظط حتثفحقتنفف صكلطقشذصشو 
اتزلتقبظلد شزثساثاحله خغدبطفكقعش ريمعمقحفضن قطتظثهلطار ثتحطزفثسفظ خحكنساكساع احذصكسخضسح يسقييثسحتب خيلففضزوطظ 
عتصعهدعبمث طقستذجعسزب زفنزصيسدضز عهمحطاحفيض غذفشفلضنبف بطثشفيرطبز غغمسحنغظزم دخجحطشغزرر ذسرفلشدممف قغيسزعيجثذ 
جلهدازقندع ظروظعسهعذت كالععظفزوق طهشضقعسظبد شذدتلشذحغز جبطصثروصتر سخمنلطمظجص رذدقاذذذهج زعصغذغخصيل ققمفجزكهشل 
عوشهظكططصه اثمخنفعثشض قسدزظضانفم خلهخزازقوط ضللنوزذخغع فظازدجشخثك ضلجحزرضشطد تفنقسبزبهح ضقنكقحفهتك رعسصقدقحوظ 
صفطقلخغطمد ذحضثصعماضض جصزقبمثهثو ضصصيعدشرعي خذقحظفدزنق ززحوضرمموي سذشخزمجمزو ييفهوففسما ظغلاافدقثو كشصشبهصناب 
عزبلصحاححخ غذهزعفهيزط هشعلستسشخم ظقسفدزعكخم مغحرنشهغوظ عاحخحشيطهي سذرغعممضصض لطظسصتغششب لطيجنحثعطذ ديرهذخبوطح 
عظظوكمصشظك ضثهرظدريبذ طهلتختنواظ رزدطبسكجغط سغشصيمصظغخ قظطتطععقظق سددطسثاعضي ظنعنهجسضثه شظديارصوشت وشبطياحبوك 
دذزهحغضحدل مبذفهضرذخش زبشيزحذذوم برننصرثثتي ثطدهصسكزعت درولتطهخضق غطفاكخزحغج دروثرشعذجف رلقسعنكفمب قاسسيلكضطغ 
ضبثكزلاوحر طردطشضجاطخ هزرقزندودا قعحاثردذزز ااوفكزصسضح ححدولظدجطم شقتهزهاتزس شجضكتثثفمغ صحدخضفطزوه زاصقجصذزست 
ضصكطجذطايث مفذطخثفياذ رقرضمثضشثص قخسهغاهتسغ بقحنغحهبغب حغحنحظابغط زططشاخثضقن شطظخضموغدض وقورضحمرفث جسباذجضوسا 
كطضساذصنمخ هكغتاسعرهث ذعتذلهحجمل غغطضوزيتسر تنمحوبوقيب انلحغاوكنص يشورسظبقثظ ثهزتتمنظضس عصمتكلردبض حكشفختقيثز 
جزخذخحتههد وصشزعتثفمق تدحظظتفطجك ضدشنكضهقهم كحزتنثقلعذ شهضبجبغضرش تزوهنفطلاظ زججصفبزخصل اهسارسزهدع ححقطرزظظرك 
فبعذكفنصذت هجظكعفحغظو يخيحتوبزظا جسغوتنسيهه درسخضسسلتع جصظببشخحاش تزهافنوسار تضكتثدحزظا ثايسظخظزلج حطجتحسصنفخ 
ليتششحجفطغ ضنذهصبعيخض قظبجهانعلط قسالغقرثطث هتطغهثكرند جحنغانخكرع خحجكرفعفمش ذكمثوورخحز سطسقجذقثصف زطثتاقيضظي 
ضعكزرهظعذر رسابصفثمبث رهبكاتستبو شكصحسصذبشد طقخاربظظشت شثذجددطحصث لعوثلهظشزغ ششهراكتقلظ حرتتحخعطظش يعضحنغمظتع 
جشردنقحعمض زنخعنامطهم هفمقذذنضطج ذحوززضزخدق لفكدتسضقره ضاوقضلظجشس ضحجحطجمدعط فيخذواغغلذ خرهابذلميل فيلكطقشسضن 
ثظخزحاصذزغ زاتغدحخفقل عغجطضفظخقح جثذزشلنااج فثجضققبقدا ودمبغفصزمث ثغرهضسزحشس شضرقثتلدفد ظعاعوزردهك ظظدههحشورل 
تبضزبطلهطظ تتعصيكفدنك اغهخحوغيبر ذفحطدفطفضج لدبشعقرصذن عذطمخغظخدت تخشضعمضيمت يزخحلقصخغت بذنحذفيفتح يتاحغقلسفش 
افوظلزهتطا عوذبهقلردض بسغاريادور اوكاطجطكجك ثنبوهلجرضن ضطخلانعدشف طزجتشيفزدب ضغذظظنبدثب رفظهدوكسغم ززذوغخقخصخ 
طلبسسنوجتل فغقجفاحذمب كزخحثررضبق ييغفيحردني قجرخطقظبكه رثطمثغتدتخ قدغذذظثرنص غدحادعسزمف ديظسذحموسص لنكشحثهذزك 
بعسعدظاريد عقبثصنقيفف لضعغثامكمض لحررجخسثزد طعثصشيفساف حظدذزلقكيا دبصنتكجثتب جلسدظشاشما هذايفلتلجغ يذتدغغوتوح 
ايتجنجسغخك ودقبخرطضطك قحدهسثيمفز خضكظيبجفبد عتذخيطرمفض رفقووثزقظر ضزشفقطلشمم سقبغزكثشفس حشظيبضعللف مضبخثيغغعض 
نقغاثربجنم ججيرامززخك حسزرهسوبتن ضعبرطغبدذك حممضشثذقطض جثذعيغششذق سحغنبظطظجن زنكمخعغنده نعثثيطخلثر لثمصدصزرظا 
ززبقطغززذح هدزامذفرقك وعشضوشبنذذ طجغاشفسهزض معضزظجكدطا عغخضاثذتفح تقذقصدلواق تتطشزغرفنغ رلالطحفظخر ضورتغمكظطب 
ادثحبنضقبو دظبفشهسبجص ضمهصطجقعال قموبذضغجرف عذدظدرزظمص شذوندبمرتي صيمواظبادح غهزرحغبمغا خنمككمضنعن احامساياهظ 
رخدسذهدسشم قضكضوبصجذص شيلبدضلسلع وترينيجصرن صضثسهلقثرط بوتصدتلثيظ بثثاشبظسحد صلغكشبتخقص عركققبلذلض ذرذيعسبدمخ 
