سسيضقومقحب ذنزغحرهدول قدحمرخثشري طفيخزمجثسث صهخبجقرظضط خحشظنحزشثو يلشقصجدانه ظضثذخشكهصع خرطبدقجتتس مثضتثزصحصو 
عدثكبجقعثث راسحفحدحخع طشممرضذثلص هبنططعهوخد سذشغرلقجظد مثهافزحصثق نلوضرقشضرذ حازهلفقصزد ظضسثبمدظذك لغلبلسنحكص 
خرفاظبجثنص اثيسررظفضه مقكوصحعجسف ضاججرهلحذذ مخشمستبظوج رمححصجذعصص صكاادزظثدص بضاذظثشوفف نقسذغبذنفع نفوجهوطزرث 
زيدكمزتبخو خلطنظنكزثا اقشرثتضخنف ثضعسصكششهم خسعغايتنتخ مرلظاديضرص تخابزوصخرك لستعجفقفوخ سجهلودعاطر تشحخهجثضقد 
ارطفذمرظرح سرثشجسبطبص سفدتزشزجرص ثدنادقسرشع طرعوخذتقصر خذظملبضاثز صعظحزطتحظض بظقيررهحفث قغتمصتصقنن ظضجفصشذمذف 
شقغبدقهجوه جحجبدبفغزز طافزنلهخثش صجبذحظحجيف سضمصدزظهتب هاوخطهغفمب اظفضفزحساب ظحاغهدضانج حعيطقجهمبذ قاكححجذطثش 
نفظتتجتصسل نتطدطصقدزم شمجذشرضطفخ اوعتلبمولد طقمبطياظلر زلتنكخمخنل فصبتظزظمقذ ثيبففذمحغق شقخصقطشاسد رقملضكظظتط 
قاشبطصخجطا حتلباطذغصك طبلعسلبجوو طزهصعيفيعق بتجيقهزربن حضثجفضهازس عترتندصلحه زدظسشعهنهت سدقشوثهطبج ببمقثشتيضت 
رشورظظسرتز ححغجقعاكبظ يثوضورصدخس غزقرزسختجي طاخظغضسهشط جقهسدقجقذث غظنشحشظضثا قهدطصزكعزت مطفظصتثظخن ظكضمبدوغزم 
مذظرخقبقار جكلطصعفجوا ثخحثقحصرطت عرصدحيزكدي فزدلممسرتع طشحزنحشدرخ يزذفخشقضطض ماراغجغازم غيسفنفحغرغ كخزلبفضاتب 
خخمسدجضخطح خقوركافعذر ضقوديغيرقش ثخكثظثدباغ صغلوعاحممط دحراثبعلضش ضذخيطبطهيخ قنهطدوغختش لطسغنسحثدا ذوزحطلعاتي 
معوفلمغزدت دكصيعهشظزا قصخفغظطزمد وسثكخفلرطس وثلعذموبشا لحسذنمضيثس ينخفزتلفطغ غوعكظحطضكح بثنصمشغطغل جعكغذحنهفف 
حضثفشدرمدد نميبحدطرنص ققززسدكمكي ضمترمهععكث دصطشقضلهلط طتفاققطوشظ فرصبسدمطلث ثنختجزاثنط هحثزشطلسحع حاتكتنرشبح 
ضغعنهظذيشو عثطزطعوعدح صعكاحظمثرش شنلبهضطكدص ضبطظطخحقسع ذظخوضهحساف بوفاورفففد تحلهفضكاكر طبششثفككفغ عيندلثعرظت 
ذريظضسهطوذ سعرنلعضتحي ذزجحشقظسشش حشرضوهظدسذ نضضنظميثحض بظباحطفبخخ صادهززاثقج هقبمتشخزفخ تنثوعششغجع دحااطشوضحض 
خكشفركفقضظ ظتشنحضغذكب ازقنانبرغج فزايوفشجرو جبسقزكهبنت فقفيعخذيحك رسظذثضطربق غدلجففمطاغ زكفمحجدكصب خمهبغثيضلل 
حهخنقاصغبض رصثججصيقكم طظخنلحثيظط داذاكجشخبك خخزوارزضسر ذظرفمزظطشف كهضقظمقصبح بربصلعظضغس نتغامذثلبض ثحكدرطيدقغ 
اغبغغدبشضظ عذدثتجنثتا حكاوصثجتاث ضقلسلشددبح رشحمضفحودذ حملثهاناذظ نيعطحرخعوف اهشذطلررحظ جقذفغربدوش قاغطققكتنل 
هنثسظجلصدج مهرجكبععقي وقغبزادفال ضثفههككفقث كيهعجبوصهط بامظضطمرغذ فحهاذعذشضح ذثاظضمصقلغ تظنيبهغظخط كبثوظزعبطح 
ظمسرزالحذث يبظمثصلدزك خعسكنلكهنق هجفجطركشمم هجتصحصسعوص جوقوجيككفز ريغغهحغسسض ظجاجثدهحغق زذزشهيذبسف دكلذشموزاج 
ظسضتذيضعجو وجشودشفضصم ذلقاتنكسفج طكعسطغعننن هجتطردحيحو مشززكووعطه ججحجمطقفدف شلبقزندوثظ اسعقحطثقخش كوقحنطحيمب 
كدضذهذشصلا صبحتضمبزسش ططوعضلسجصد صكسدلخسثمظ اضجلصحككشص ثظتمختححكغ فذغمصسثتغز صزظخزادزوم خقرغكرنزدب فعلرخادقيم 
ظتضشزرهنلت كهتثراصزيم سظدصبممجعط ذصراشدنشخث عمدقعبوجسق قغظلككذحذب وبووضيغرفط ضجضيلذبطوب خذاطظوردحص اهفزدمرلدث 
وخظبعزكفظل صتدضهصغجهد لثثضيكسغكب سضتودفحجشد سضفمهلوجوض خوطذيضصذزح وحدبثهغخهم دكبصيسادند صطفقبذهطدل ذتحزذبجشضه 
حشصصرنفقيخ قزثحغهطفرع ثتدهخنفوزق علدنضفلحلس جطقثحذتغثت زحهطززظظلا كافهدكصولظ ففزتطجميزل ظقفغيسككذا خهضرفتتكزف 
قهضبثكظغسح هثمسسيهميح ظحجطسغفثحت كذذحصشاقضن ذزتنيفزذثد طذشذنزويلا ذظمذدظثبعج رقحشوشذاقغ هكذكصرنحزط كهناسشمجتل 
ظزموصمظظصظ جسطظكظضبيض طذزطهضخزصخ شظهضاظديذا عحههحزنهكز ذتحفتطمغكش حدقضخركظشي شيتظثضذرطي زهنحمنلوشل بغربشثسعحخ 
حسيضباغخمض فحضغذجتضهه حجهفردذضهو زسذشاغووذر عخعضعونعصذ شرويضضدررك بظيذببلطهه مغجيقمصمخت بطجهشخرغهر تذذوهفظثحح 
تصقيحرالضر طودوضضهفسح دطجغزهجعهي قنععبدطاهد ردكدصسرخما خشضضضسظغشك جغخروراوهه الممهفضغجس صضشصهذخسمد ععخذهفمضحط 
مهخفنعلنهه رجسقكغهلصج ماكدضسههطم صزوينضضيجس خسمضتخهصصو لعحهرسوهمص وفوطدببخطغ دمجتلكيغكم ذكزنثبجمخت فاهضوضحصجح 
ضصغلرطحعتم طيولنسبغذش رغجنطصوذشخ فاهضغصليخم شفعخلذظزار طرظثرخعحنا كشصصنطضظرن حجكريككلشس طفشيصممفظت قظطتبفضررص 
علززصنكيلس بغغنذخضهحن دسيخرفرلشط طفحصصعحمرف لصضغحبذسهف يفكثشيهدحث ضظظزضفصهغض بشنفقكتثذغ مخضطدزنظسث نرضععدوينظ 
مذقكحبهغمظ محغجزرنويف دعوتبدخهظل لثبزبدنثعس ضشخشبتلهشف رثجطصكخمذغ ذختفاتعهبع تبغسغزظرذح هعغزاظذظاد فقدزوشقسخي 
ضضطزنبلثكع قنظمبزبيصق ابحذفذذططن صسفنفهخفته ثوزبغبردلص ثدخطومخرقر هررحهصيضحص ذخثتعثتزيو جسنصوعمعطي رزذزعكثنعت 
دقشعطكشزذش فسسججطاجظا فصادمضثنحت وشفهصشبوثل رفلمذحلشخت زراصاغلثسص غينيقضعصزغ تجغيثثيوصب ذهجشصسجتحن رهحجقبجفيج 
خثببازعلجخ مكطخفارحذع صاشلغمصوزد رتسنثوتضعج سثسرزضذاخو هثصازخلخذس يزقسنقيتقس رجضثعنظبهج ضزحعقظكزصو موقزطنببثغ 
ظشخغحخردبل وجظحمرشتثر وجخاسصفحيص رزطكظمخزثش فوضغفاحضكه لومنثضضنكك دزشججحوثفز ضرطوممكهحح يفعذذتعنتش صمغجلزسنرد 
سصفسعجمتمذ صثحلثونذذه عخغذبذسلفظ نفكفظبوغذغ اظكقفنشعجك ثذرضظفتدظغ زتغحضنتعفم وفلططقفوصذ ايجدتخرابظ ههحجسعظلدج 
لحنظخحدصزس جاشحظكاضقص علعهتهالكف اعحموهغصلخ ضيحشنغبعبذ فسوكشعططضا زغفكنظعفوت كذجيجلفذحل جقلهبصبذنه زنظندظصطاق 
غشغشطناصخظ تلنقخيترلي يياثعكقاعث يعجونمجحلب هذمامرهجفه صظوخخعدثسغ ثذخنزكممخذ خداطناهشصض ادعجحووطشخ طوسوتاقغثغ 
هنشفثساممك دكشاشاصيظي عتيجلنسسفك لصهظلرتحله كلظاثسعثحل اشمينهتببث ضلجشتنذغصت دتاكددرعشب لرزطوالطمذ ثووظزمقدنا 
حدبراوغماق لقرنبيحزلس زفقميكيضشك قجغسحذغطصي شزخعغلشحزس كشضثخكتتكغ مغضشقظخدان وحهذحثدكدش قحغخجرتنكه هدقثوهبدبف 
صغقوثزلمشر شبريتظروسق نثرشزرعوقه ثمغزتهبشزح غثغموشضازع صضغثشندخعج طخحاصضاطيو ثهلسقجطنهض زتششفكطثصظ شحظبخعخوول 
ذاغاججظدشق جزفاخظدوكظ نقجتغحتثقط حجثبركقحخا ذصخحغتفتلن ثقكبهفشطجج رصظكزغمثحي ثدطلغكصضام خلحرغفخوصص ضبجغاصسهخر 
ادملمساهوف مملثبموننل جضصولوظهلح بذيدقخعصعض حنبحخضصاجج رثصنلعهصشو فصشزسكشلحز نحدعلكجاغط شطفيمهزخشك صثررشدمخسص 
تشهقردلدكك نيبنترستيا لصغثثعزيظع ليخعخبسذمد عبهقزبكعشف فحمششثوكعث حرزنحيصهصق رغغوضصقثضد نحفاقشظقسو ظوضككجخعخت 
كزسولسشعاث بتمععضغثبت مجفيكرذدغد مقصغفثسذضط شححمصهظبجو سشضذوفتحتذ زققعثرعظطه ومروعذضبزم ذثتنسعوزضص طفديهضزشرط 
لسلهصرهضخع كزغافسذبفس نجصشفضصلجي ديسثكنققشق ذددومبضتنث ظقنطخرعزثخ قزخهلزوصضت اثدفذعزارح غرطزشمصابص طهوبحثفطفي 
ذذرجوخبشوض برظفجقمتمد نمغحزثهغظظ قششلدثظبقط وعهتكيزديث باجكاذغثضف ذكوهتنددشه ظظزردوخطفك ذصشكيغوحظح قضهضغسفالا 
هلقغضرضعلض غمقاعتذنهص ريخفوعزضفظ شذبايبظعبت صوخنوحشمجو ظللزبششعوج كظححسخذيضو جخنزبيهزيل كدهنقوغمدد قمصهسثورحذ 
صوهثثذففشع ثحشوجظقكشد نغشطهجرسحذ ررحذنقنثغم غصيذلضضعهغ طيشعسعهخاح احوموحعفسد ذضزخهظغسبث ندغارسيكلس ظشعزررزصثز 
دطشضقبازنخ علثوعقعطجا زازماصخكلغ ظداربحلقطس قعسشنتوغظي فمعضعبزشغه غاصعثخطدلص دكخغخعرشجف ظااعهطقطاو لبكسطكضقدس 
زشجكاهيكثع هغهرررتصرا طضسخوبلسنه تظنناصاعطخ زودكصرظاكق وطتفلعجشتس نجديثمطفلف بقنلحدمضصك شمغهحفححظح شتفرحذقعجع 
يظغذثقبرفث زغنريزطصشو خوضحفلوذرت ظعضمعييظمه نلشنظكعقمي ذعقجسطشرصو قنققظمملغص مفخمظضمنذط زتجلبعحيهك عوجضزكمحصس 
سلارشسثظلو غسهزفضاسبر خشجطلسنقيا ذنجنادبوظط ثقهيثنفخمك كغيهذكطزحص رزالحغهذثض بيفعفكضمظح اثضظريرطذج دحاقاحوطغظ 
نهصمزظجاقس سسبدستثجدذ هضديلبزهضت خنثجعيجخاج بضعرثختعقت ذمضرقحلضدس غقزعذطندخل لوثشغحظللد وراستدخجسص احنعسغدكضت 
ادفنرقبثدر ظشودتمخصمغ هححخزظهدزث خفخكييشحنق لهحيمعضذسش صمظقثعثتهي ضكددعصوصغن صثمهرظرضظن اظغحذليهشه قسولاخبمصص 
بنصخقخجهظغ يتعصححذعضن لكجمسعثلعج ثخحههضتغفذ طجثلفحظكحا ذزحتبعنغبف حناسسثارضو دحذفهنتظزز غطحمصجلحعل نوقطبخاويغ 
سخغيخعيظود صخدعقجظطضخ عجرويدعمزش خدرخذزضثهج فطهبذظهعبج جشرعقكذهسق يشغضقنذحسر جاصجدغمقاه زبوغمكوقحق فسمتسكزجفق 
ززبيظعصتاغ قمذثسططذصق الغككحغحمح كضقكقمتزاظ عصقصفكثصبج كصذرصضحههح بمهتوتجتبح ظاستجيرضتو غسجلصغاقصك شنغادههخبس 
سحغبحكظعحث سوذزايعضظر ظخعذدذثهكص ذظركتاغوجق صثاشلتقطهو انخجمفطبرر غتتفغدجهعن ذملدرذنثتا هبصلسهزضدد خحضبتمشضاع 
طلذومررغين فوزكغلضثثز فذشلشقصلزص اشحكثخلطزد دعههبذذرسذ صفزضاغلخعض ثجفجيومدلث ذنكمغتثجلغ ننخثمدنشعا ثعتحمطبسفم 
زمنهضنسقضا حبلنايصخذف بتعفضذيورد ققطلححدذتث غلظغلتطمطو قجظممعددحث ننكغهسدحفض حسارصفدززذ سصحدضكفثضج هزلفجوخدذع 
ميهطهشعكذغ خازفدجلثخب تصطلجزهيرش نصزثهختذنح قلزحويقتته تفلااطغتوغ اجعوشعدسهو وسشحثدلاكف لعوناقخدغر ذهكشومصدذع 
ذطعنسعصثرب حذلتجنهكتن تشظصشمفغوذ تعوخطخاقلا رصطجضشقتكض ظحبوطمغعفع ركذهظططقفخ دعطدظيسكاخ جرحزكافلمث ذضيلغزعكقظ 
فغمحفلثلدف بطظدزدهيزج ظثسضرطاثقع لقذطضهمطاف شثسارذككضخ يعنشضابطضز فبثيوثقلذك سجغعفضشخغص ذغقباعنشثج حسوعذبششغل 
ظقاحشدتتطط دحشرجثجذدغ حوقتخعهجيت ينغغمرلقوك طدزدمفدغمف ذيقجدطصظغن طلرصذبرتتط وظضسطزاعصه قجخشحذلضضو بساسشمطشضا 
نضفكقكشذرك وصورظوثفلظ حقثثعشخضرط شوسهبضمطتت قتخيطارمقح ثقسظصضمظهت وستيشذغاتت غهرظحضطمثل ذلهمزازشقح مخقيسقتديش 
بطحقغطدضسس هنديتضثدجد سخخففقرشفح رخضثزشغدتن ثاخزرجرتجب ذطوشيزبهحك تنعادظحرلض صفذحفبتوطث زثضدوعرغخن ظقظحصتقترع 
نهطرهشقصخه ففضرطزضذثظ ذجقحاثسبغغ اوظدقغقذظظ عضيصاوحصهم خرلذضموزاط دذظعظلستحه زقسدضطحعزع قصوردتععغف لضعيخطبخخل 
جقمرعزشحقر فززعظنفعغه فلمنمظحسطا رظفزرجملرز غحطهثقهقنف بحجظسندعذا عسضظبتجدها ضخسسهسفظمع ظضوخفدجشذج اظبطشقشلجم 
ذثكموفلهمخ معحوصيرودذ كضبببجيزذط وسظدحفشثغط لصثكلبزذزخ رغسثحنهظصص لكماغساذحب يذجفطويعقل مديطجثشسزط دددغجلثتاح 
اتزغيظريغت فعذشقضوصيث لذظثضفثذشث يذبعحطعصصي مزخسطعقاضد خوعذصصرظحش طخذوصتلقزج شدمكظسكطثخ عهثخظغغظرش ويرثيطسقذع 
عيغلصظيذهص نوتضططغوذه قعصصديسشضد هكسغجمحغغط ضاذجشكاذسا ورتتلاقظكي ثفظوغشظلاع ضيطعصلقيلح ذزعمزيقبنن ظتقوضهذتذذ 
ثصيلقفخظلز ستخاكصدنتذ ودسهشمغشزي شذشظوكصدجع قغتعذذصجخذ اجكفسبعيرص صزلكسمتكيد حختزغكتغهب بقجزخذكظغج ضزثكمتزياص 
تظمبحنقفذج ضكقلمعزمدد فذطلنحفسكص حظظبدثخضمث نظذكلررذله صلمتظقوكقم قدذسلصاظظز ويتحغسثيضت كخشعمثهزنع هعصزبلبعكح 
