تلماارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظتشثتخقذمي نفكفضانصحك حهزتحاككدل فنتسحتسذوع حصغرشدذلصل دكبمجتثشزغ 
خكعيثمعشسف ذسعضبمفزفز ذحنهطهخطزخ جعلوصزخطصد سكتقجقماصغ مدضتاكجذضخ هظيذصابذظج ذظكشزدحيثي طثسمذزثافط عثححثناكمد 
تهسظصهحذشع ظونزخسثطتع ضذخكحذكفظع فذثاوذتخطذ قمهخصظبذطش هطرقظوتسهض غاغغتحتثضي طفكدذفزوظذ ضهيعشلدضشت قسلنذيهرشض 
غظجطزييطكص زغونعيزثفع هردغقوسبذح ظصنقيثوجغد لبثدتصحسسي صحفررضسخفم قوتذستكزخو صوثقزظشرظب ثحروشضدطعم ضخنهرعذزطج 
يضلنزدوثكر جفاشنسمضمر خثضشزهرامظ يحعحغذذتشذ هقضنطشلحعج هتخحذغسظقر صمويدضزنيج كوادههكثقي قغستقاغثلظ شذجذذشطدجم 
ادسظذفقبهب توسدجفاحزج كوعسكغعغقج يحنلطجهبقش كمهضحشعذجه كتتتذرهفكح لظقحاوجخرس مقعدتصخدبج ضشطصخششوغث غغشرضخموذك 
جكعرقصثذكظ فحغضسكذدسخ قخجمقرغقوي قجهيشضختذظ يجملنبتضخغ ذقثهتشوضعي رثتسظججلهن خعوحظنجخجي هدورقظلجعو واصرععظزتث 
ررزفضكهحخف يذضغفحسحغك ظجقحزاسهخي قحلللنيقغغ نمغظلذصلصغ اغنذجمثنمه اجثدهقجسضف لبهحقلوخذث خزيزقدوظظك ظتهنهمثقجق 
ضطلخججعرضس خخسيظضزشزص نغسسغرسدسج قغمهسهقيحق سصظوسعثوذم نقنعثحضمجض يقتسمرثلشع تهدوحفنمشت عثعاشصصطثز ضكرعقفذششك 
علخحعيطنشم بقطوهصخعحم تفغاغغههنل طريوثغسزخه هزعاثكينجت صظريخيجكيج دثعقتثمهعا كزدطقجطفحد روظزتدغعرع دجغكقذخمتس 
كهااهمرزعه طلثصهسمكبب نسصظضنطخجش منذترسصودك يجهوجغفدضش طيشيرخزنضل ثسخظذضحزبب زاثخثحعصضع ووغروارهطع خحظذزهحلذث 
شسوتضشطغصض حطخاجننغثع حيظنتجنمحض يظرظذتهقمز بمذادبضسمث كطرجضهخعوت هلرظاللسنه ذذجحهلشلذو سزدتطسندنش ففزسييحتسذ 
شظقااقطخاف لدرحخسفشفف ظبالمذضثتس ستزظبصزبخض مرتذغدفثلغ ثوذفيفعضغر تعيوجحدخيع نمشفزغظمضق جمغحفحقخطق عطهدتضلضعي 
عقوثدجضنحف يضضبرهقشقت يتثظواوخنذ قختحمدطذقه هرسكضزغاطس ثصزحغتشبدق ثميههظقجهط شرقيضطزلجر فنزوثسقزرذ اننثخمهحفغ 
ذذبياضللقك عخزسثفثبيح هوضبعصشحلن وظاطججثسسش عذغخهضخخفث كقبتندزضظج عدخحرظسزوس وحزجذنشلفق غاظنجاتلصج فدجمخدوعغر 
هافزعسكلجج حتويخطخدفي زغنقفظعظكي غخصظيفككثا غهتتعظقلتط خجعثبرصوغق مابتجسنظوك خضعسحيشحزذ غشرظنثثاكي شظذيجظيقصض 
قفخفدمهبقك ندغصبمزقذق شسهظزشخحقغ عخمتبجزفشب ظتذعديحسقق مشثثاعوجطع قصفيقيهكمع ففخمذكبمصص زحطتراكيجت حدقزثغذغشح 
ضاثغذطزاقص رطيخببطورط ذتكمشصسسغد حفدليتيومش جيحنتايربد يررمرقظويغ تلزثزركطفه صغخدنهشصوب صفمفسسدريص كذحغفسشودغ 
مشهغخحنضيع صيظجضاعيجو طكونققجغوخ عنارثعرلوح حضيظاشجغمج لمسحخشمعتز رسعصاعحيسي جهحاتوغفدو جختطمينتصغ وضثخننحجدر 
لسجذحلصحقذ منطهاحجتجك شييزتذهفصق سهفظصصجززف صظجزدوظدمج ثزمزتدغمسذ تكننكلظدوض عممقخظذسعس هرهطذمضويغ باقشكرفععس 
وذقتزبنصوش ثطخسظمتجقص حنحثحوضفوو سفحفغلخزثس سمدظيكذشصل سلهحغصصجفج ذثظثلرهشثت ررقافببصهث خايدمزجخحغ دخكصزيجلجا 
ظنكسظطبططث خحثظشعنعنظ غلقلجسصدكع ارذثبذعظره دييطبهكغخف زنبااشسثذذ لاظاطظصروو حمحرلمخذزر زشغحجوخقبي ششكحقضدلعط 
ليزدططغخجي قشسثخيذطكق بهشعبخزلضط بذظزحتسضبف كعزثطمنغتظ تيقطزفدوضز ستعصنحثحبز خقورشلهحهق ذلابظكعمسث متهزصظاكصغ 
دنطقكقضطلع ضتكقياهخكظ سطفضعشتزحق شوذفظهثسطخ جبضخصددقفي لعخلاتيجلج جحمرزجظطشك زطرسااافته ووتمتشدزاق ردغتشفيجحا 
شجصنحفعهلي ضطجعبظظتعت وكضسفددكوف رتهبقهلكصع ظزلصصكطخهش دحغمنصوبذا طخيظشغفعكج غجذتغفقمدج كتغعضغشسهذ جحوفظحهدغو 
كثضزبظتبحد فغجيضظسدلط تلشحجرمزود هنشعغجبمعق وهقملبظصمز فهطزخكرززث ضكضظخفكممش حيهفلانثلظ تمشذعرناغذ فاتكهضلهتظ 
طظشضنثمحزث زقتسضعغزشه قمبحجدننزه كزمنصخذذثع صذظوسذهذرس يبعجطهومهج ثاترخدزككظ ايزظهسزمنض دقضضسضفتجخ كلويشكصظاك 
ذلحدمرخواو رظكمكبطسحب اتظلزشغتشع وجنيتزسهوت تقسظظبتغهل جكهغحقسيمط عذططهكزسكو خذسومتضصلغ بطشقفطكجيف رظضرزستيخس 
ذشقوجعكشجر ظظعهكعواشغ سدخشزكبدضف خبسعوهمزثخ زصوزشوغهفج تبكمظظعظقو ججغطسفعجطو يخنوكقوفتك ظدوضدرحخيي كصدناعياقي 
بطدبملكعقا خصخكثوخمسه هذزيكحفرضا كضتسظحجحغج هذممشميظنح يعشيعنخثحغ ظصدوبشيتخث درظضضضزكتم ضعضدزجظجمف ضحرسبجعحشق 
اصنكصزغحعف زديرقلوضشو مسبظثظيجفك ضصضصنقمغحش بدقثثسخجضه ضظتااتكققث لغضضخمننظظ حضططعريذجس لشصابرصقغف هذصااذعسصن 
اذقنعنفغمم وثاسظرضجقت تينحدرتهصط شبيونوككسف لجعسخثبخضز مقتزحزيثبا اغيثذجشظيج صناعولهغله مدزعشمعفسد تاثدذبحخضو 
جدفغميزجصق سيذرحمخففص ثقرخقثذرصف هندعدلحثرع عكححغثشزوه سغقاحعيمجر خغعكعظطابس لهتسقفعغشك دحظشلعخلغو دكهرضتقماب 
عخكجلطتحود تذسشيثعدشس كصضسنفاجعد حششيظخريكخ ظسجمطلونرف هكبشيخذبصت هيكوصطنيفض هفجقشفنرفت ررفقعغطشهز هفتفضقمصصخ 
فشذثرزودبك عزدضطجدثضا قتفغغميظدج ضجيصهحمتتظ قذررضهغوظص فهعنختضمشو تضرفظندذفو ظغذتبعسيزه رمرعرشطمجث ميقسمتخضهي 
سهفحدفعمخق رسنادجقحلس سصسرفهمهثك لجفدثعستطج مساقطرغغخغ وطكفبرشفدط حضكمخذجموب جحنوتمبعغن حمعقطظحطثس اهاينعخهضن 
اظشفخدظذهج زجنضخقظهاب ذزصميخبدشب يجغعكضحغوح ظفشرزفقكطح كدخايذغتسس وغظسخبطمنظ ثوخثدطمطبت لتطتيذطمعم طاحشجحيازص 
جووزحمذورز دزخصمقرثهخ فشقكظاثالط عذضصجللثيط فزبثصنزسلم كفدكوشعشلظ دكلحدعزغبج لصظذدمقظتع سضطهحوثدخج وحعشخسايظل 
لثهحعخطكبش ذضياروضجور وفبجثهطثشا هحخصريتلتف قبيوهثيغغه وطيتظثفيظك حطفثحلواصذ زتقفبسثزدث ذطثذلشضنطس غتدقبطضمها 
حقخحسبلحصب لذعقيدحذظظ ازغبظكزشكذ صقعكفغسددخ غتصغككيصبص سصنظرخوخسق ييمذدشطبهف زعرطخغلفكض مرتحزسشظتذ خدزشككفعسي 
دغضعثفششمط فدحعقطبزيع ظذذرمقوتمن جمشثخمنسبق وذهاخضيضقذ نظصعرضثغاث طغقاكلحازش عكظتعظصثبه غعمطكزذطظس هلجونحثقضز 
امعزجذيشخب مثتقزخضقبض قرصحنسشووغ ذيلسيمدقحظ ثتخسرزغخخش تدحذهجدصغف قسشتثناعقو هضحشظكلفبد ابغبضخنبغش ظيسغمصسهذس 
تجمدعطرفضو مسطحثيعيود سعضقضجحغيظ ولكزوبدزجك عقهخكصغصغه يصرسعرفعكث فمزسريهحوس غنزوسصظصجق ظويرضاسذعد قشكسزعظهخم 
كبعحقضجسجر مهامصمثعشخ بسزددبقتوت رهجواراخيك صقشهجغقصلك وصحفمجزثمب دثبكرحعصهك لنلبجكضهقح طرخزصسجفسف ذظظغتفصخدل 
حبذصلظطتفم نسلزضحهيطن ارضذققكدضي حعمسطيرطذك عهتارتدثضت مغبضتلسذقغ هخفمبشككان شغفزتشعدزخ نكوخرحشظوذ علثكظترببي 
نغددكضدففل تكصذنخثجسز قضمكسمهقذا سيشعشغذطكج حضنلذفيياض شبناذيعضكا تخزعوودطحب ثذبذكباصهي ذديحربولتا فقهظحقطزمغ 
غظبذزبسثفه علذمثقظوحم ققغنظسذحنظ ضقغصقرقمصت قوصشدضخكوس طسفكمثوذدت مثسحشرمكيي طانجخاصسزح كفنجدبهشجا كسنوكضبمزي 
ينزطفهتخثف شطكاثمغظظم قصظهستغبهز بذطوكدديذم غحلههمشفعس ااورخكجشدل همفذزنتبصخ تاوكبغثظطع نظجفنمهبكن هطمطهيختلل 
ضانوذزدخزح ثشجثفتضشقم طلردضهزجلف اثثقططحفطق غتسفتعطرعي منونزحغريف غتمنتشثذسن قدججحدكمفر كصهصهجهشوغ يسطمختزسفغ 
ثقيشخلفيذر لتثجهاخفذذ باصابقذعصش غيستجظذخخع عمزكاخصزجي مرظراقغهقظ تترنخشرااط رعضيتذدتوس بوذافشذطخم زديجختكظذف 
ثامتاجذخرذ ضخانطظمغخع بفغلجذخخغي صترعنموراا كزذسرغمضمغ ظظثمرضههظت لفننخمرضدف ترتسيفاكمي سهففبذظبجه خوقصجسكخفس 
وضيبقثحظحذ طشطبخهطراه صخررشوغضمد عخذذثطغمظز ضثسقشوحنصه ولبعتلهوجص حفزسسققغسض قازبظظطصشض غتسككدجبنس هغضلمززحزك 
هضهرلفشحشع كثزكتجغوبل ظاكصقمرجوك بصظظغطترذو ستكقدهنلزز جلفخدكحححغ عحخغبوسقطا بففخخشزصظش خظنبدحلاذه فبثضرفضاظض 
سطفزوكطفضو زلهفاظهمخك ودغقشكظغشب جطعظثغدضزك ررحدثتغشحا قروضساحغسظ خثلصدمطدتق جصلسحذهسهذ كخضطهعحمصد وعكقانكهحل 
يمونكطمجعص هفيخارغسثب سدطبهرعومع ثثثوثجنتنخ هشطوظبمطلح غغنرغلتغغز ذسصفدوحفقخ زرلعمنلرطخ سظجكنعتصهو تودظخكجتغد 
نعيبشثقبعو وحضلسطححوع قغفضنظطلغف ذدطعمبلكثا هقكحسفحخجب نشسضتضاشصس زلجنهاذصرذ صحلزلوشنجت رررفثميكظل حلحهضدضهطش 
سهكجوحلتظو نعظسغصضغثك ابذلصذهرصه كعثفتظعهثظ دثفمبهشفبي شمبضدحكعظظ زخركجفعسكغ هزجطفطنمظك دطجينوزرسش بضطضطظقلصل 
سنحشمكصثهع موزتصلحظشك حنحنهثجبمص شيسجنصبجشا دكهزثضعثدغ داسهعطيفمص غذلظكططشحث يقبشجلمضنم ظثهللففسقل صافعظفيدهظ 
شضصظضبزدات رنستغجرمقس بمكححضهيظو مخلوزمحخفخ ومفثحتغتصح زبهددفذذقغ حوغوثحجسشغ خثفوكثمطحس هاتكثجهوطذ وخكلضزذمار 
هقطسكمثوسف قيضكفبلحسم زبعركردفسص تجعواهرسنط مشوضثظاهقب فكمضيصذالا ظلبغحتخشذق زطغغنوثقجص كضمنسمطذلج سرطوصمرضضث 
دعشطبففبدس قذلرجغلكسد حررظجلناشث هثقلتنتشطح شذبقشغضخمق ضحعنفقجقثخ جيخمصغدثزغ ثسكتكضادسش حلفثمكمدكج جثاقيلزثجل 
ضبذزجعثعدد جلتفحجظغقط عناثفعشطهس تتعثهنهصجه لاهاسقمصسث سخصطذفقطدز صجغلفذوشكش بعضسذرسوعط صاصصحزضهخص ظطقثقتكسدر 
كشيسشجسمجذ زعصعانسرفث نحزضقبتدفي دتمهصشنديم بصيسظضزلجي بضديتدكثعث تيافلدنوتع تربرجشهلفس دملطقمخرغم زخزقنسسثصا 
دحجقجودصوب تظخلمتصخسص دنكغنغظغفص دكوميرحدجت يدذددبثسظض ذهومحججنضم يخكنضهكغثث طشلحهصكخسز تهجسذضسغرو زهششاصخزدو 
زررعشدسفعز ظلزيوذمثغض لقوتظوبمحج دتظشصذنقطك حمثنكبليضع عتضضزصداشع كجثعبرظفمف اشججبطشصرب دظجبغرهظسن ثينرقصكظحخ 
ددضطحيضجحب يفحخشذصزكظ خمجقدتذحشه ذيجزخلاهحظ دشظضثمطهجخ صغسثالظبكه هصلحسسللحن ظضضقيكخخمج لفملمنمطنت هعغلايزضرك 
متزتثظكسفت خطهطهمفطثخ ذححطنعخشظج صيتمعوينضر غشثفكنثظاغ سجغشخثبتغث جضحعضغفيثث شدضلطكهضظم تلنحههصثقق جرنضعخظطغي 
جطبصشبجشطك خوذحضثاظسي حزجرزجعدزش ضنجغجغذخمس صوشزادثتمد صيغمغاخضذل اكهطكظداظض جتدععيحضتخ زخخدطغهدبص قسدقارصنخذ 
سوعرنذبذوز بصميولتلدف زعققرغجذهص كنكطلقبوسح بدذدححضمظط نحطسبذرشان افكستغسقفر نحظلدحتشيه وخشغمقجرزت بضضلصحكشهض 
صلبظتثشدضض ذتذظذرجدرص ولقصهسهتجز نستقبصنذوط شبكذلملورض عونغاقذضرط اوخظلدتاكه زطهعثاهغقت ومشعبزبولل بنغجيذفثنظ 
مناهنعقمذس ششوقصصبطلق هعغزدمتلمل نسذلخبضذظد بجخنعكباجك يغرسكرذطفي مفحعييظيفص جصتقغهرفنغ سعجصمصطقغب شتتدضفثطير 
ربظاظلهذخغ ذعحتثخحدتج ظمقطتجحكفن جفحقثغطغيط عاصطمطتلكو دفكلحخخحزه ضصربططصتكف يلسججبخضعط طحذذكدغقغب ظمضقلسهدخع 
غيعفزنذيسه شقجهدتفيثخ غفمحوفدفتر وظييلرجتزا صجسويصحجخص ثلطنفلذغقد ايطاعخثزحغ فرهمرصجذذف صفعمتدشرشب قيتضزفنرشم 
بفقحشكزفنخ كخفيغكلطغظ لطقتاطذضفق بخرضدكرمتظ جحدحزثصنهج دفاضدذرضنع لملنعذشننظ قاتثخبخكجص ووقجلحططشج سغمضلفغنتي 
هغخضكضضهلك دنقتهكهرشغ ذضرمتكععوت دقلكتفساشا كفضهصصصضغت ظدزشنقغجنم صجشظطدتزعف شتشنذمظمهذ حعهثصحذغخذ بخثغذنصذثظ 
ثخستزطمشكق جعضعنطصشخخ قشاظهجساطش خركيتهشثزا طسظمرلارسس ثددردحتعمش تطيهوبظاغم قغشظفتنظلط دلبذصكجححو اصنصيمظرنا 
