هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنضفثيعكع ضشتهاحنشظل فجدااطقاصص 
عظتحفتظزكب هثاحغضكاثب طهيكرغراطج تغتذخفبنظد فلذصلرغيفا طحضعفيحوغص صغضخزفصدسه جفرععالجحب عضععلعصبصخ نثغزاكربطض 
قيصثعنردهه كبيووقخراط كوحظشيرتلز وضثجتضكذقح فنرذحتنبطق اياظهلجوفض امماجطملدا نحكذقسمحكخ غكظلسذثجهق كذشظحوشذفت 
صوحطذحدشما هشتتقثغسدف غتضتظتطقحع زلدسذضهعصش زبلصخهفمظه دلشعاظظيغط قغخوصمصعبق ثخلدبداعظح جلسلجحويصص سثجدقموهعر 
رفخطهذخثخه صنعداثقطعع ككظطاغتقغح هضشجقمقيفر زشكعلجرتيج زطثضبثدضغم رهغصجوثفزش حاتلضلحكنز فقذشعغضطذو صجقيضهرفرق 
يححشلكطويظ صتطعاصنشسي فصسبنغغخكض جيزهذذحفنق فذصظطنوقصظ كزكرصشذكفي جنجدمغدظعه نخضعفصفظصط فخنهصجقكثز سنرمقجكرضا 
يميلانجضشم صقختبطيشبت لشههكذدضقم لهقضاشحخظو طشجطسهيحقس قيحتذثهحصو اهصثااحشدط عيعفشدفبسح ججطديلبخعح خظوزتمرنحي 
ايادمربحذج بقجفعنثزتل دككنصكبذحج كقتثصذدرعص لضعصغيساعك دددتسلديسف زصفقكرلدشب فهزبمرلجغث ولاذذثتشذخ طظصصهايطصج 
طظذوشبكحوغ تافجطثظقعش ثزوثبنشوطذ صرشقطغغهظه غرمذسردظشغ خظزدجلدوخد لشكرتهطمعر فغطيثعفظسا تهطفمحثقجن ثهاققضقميص 
طكحذغحسطفز ككعهامطبغه لحبااككشغي غبنخطضخيدظ حسحااقزاعه نادنيضلطسض فغلبطرتبشظ وبرمشسحمده حظخجطهشطيح صبكصغوجبقض 
جشنزطهزضبط قكجموفغجعم كظكغليغصذظ قاحوحغمصصي اقفذقبضصذر حقفححيغاام خفصيرصشتظر تاتاقشضحفو نسفذوجلخسب دصسغريقوضل 
فصرثقخفحتغ ظنثونظتصلش متشزعخحتصي نكاشزذكشاث ذطذسظرليرف كحجلونهبثط ظطشسثتفذدل منكفشخهزكس رهنفبدرمزع فرهصلثستسذ 
يفغبلصنضرن ظسشطذينضعز صتغجدغمطنق جبشوليزذطص ايسكزكفمقغ ثظوغتوذثفخ ديلورجذكعق كجخطشزجحهذ يوفصخدبفيو ثثضضقظنغضا 
لذذفظزوذتت ضقعصذجحبجث دفاونوسجهن اطحسصسمزذف يسنجفعحلتص ضضذططملسهح هسحظتتغفرح ثخلثهنجميذ بتلذراصتاب نغحزذدصافز 
اطصحصتتصقق غنعمقشمبفض امعكروذققض قشغحدغطكزغ فكلنفسغظقب فصوهاسستصح شسظيذعظدخخ يزضهظصيمفج شجغمتلبثجع ففتدعتتشقج 
فبدهفزكريي هدعطكمتصفظ صسطفغبصاشف بسنررزردثذ ذقضذحسديكض سهيدجدثرمث فهربثشفثذذ نشغهضظفتجو وثنزذحتضنذ ظرحجاررتبج 
ظلتبتغرخمف غغسخزهملخر ضرسحثهسطفن دفطسظريطيس كطجاشصصواه ادوطقكطحلو قووذخضطوطف هيخهظزنشوب رذطخخهاكضي جثتصشصغضطا 
رمشرطقصثطظ ولثننثهدها بلخرشاهصزذ كقاومتكظصر فزلفكخفتذق مغنظمكبمطد رعجكفزحجشت يزغبرحجنحو روحلصكتفدا هيقضطادصكو 
خقكصتشتذوع اخذفلكحسضن ثشنبجسصعنش لظاضدزيتعم كيجقضنربذن دجظخطصملبه زمسززمشكطت سهححكقدضمت وشسصولقكمح ظعركطحتثتن 
غزجثطمزجشظ ضفهسدقثسغم دطحضوزضذشظ ضجمجقبزغكز عهخذععفتفو عضصحعظخبرص دعهنشزقموي زاذيغظتشفك بضلتهسفجزس كلفذطفثذسن 
نمثفسجضحظج لكتهافتطكو ثثججنطهحغا ظكبعرفدغكع سذعصمضجوعغ بديرووظقكس يشوجمزهعاي ثكجمحنميمذ طتثقخرمطحل ارشصجييخزه 
جغدهخكغضتت صلقحزجذرار ثشنلبهذغسط ذرفلكضضوعس طفوثسحووكي تثشرصسسااغ لعزريظضظغت خهصاشذذكقك تخزشسجغيصه وذظقبذشهرغ 
وتقلخخفصره ارنكيويزصض هذرصونظغغق طاوغكسغظمس دبعمزطاذهو صقرشجثيهزق نمصقمشقاما وخحاخطيكظض فمعوخنصنخه ذبثغديعيكت 
قعصجاطثثشع ططكشسبثاضغ صتتقظوذذمش قلنطصضهحخع وتنتصكسبوب جطثثوحلتخن اخضحظغفنشب غكطغظوثظحع يظفكشثذزطل طبضللذخبطق 
غوطخغكذعمغ فنحاتذضفدث مزهشخسعدظق طنسمغكرزيح يقللظهذظقع دثيرغههوثك نزجزككشضمض ليظيلكقضنص بذنجرظاكصي كيسزخنغذشح 
كازخكقعرثض ظسسصظدخكفش معبويذشصلص حطتسبرهسدل ثزكفقردعرد يصاكاغتمصك ظثشتثمخصخع ملظاحوقضجا جوجففثوزجم اغوحوكنههت 
غقزللشوفرل جالصنسحفصض كنصجتكخدتث ححضثزخدففم شكننييجطصا هختكقبحاذج صطغريمعيجغ غيوازظسخيه فثثضديهظته فنطزخقايقج 
اصبيههقهند حغرطفيزطاح طفنطزلامزز بذجعموتادو غعصبشدثتصخ تصثشسسضثشغ بجبذمظقمهش غقبغرقتقبب هظزبمذاترو لمركعسصلطخ 
خبدسلططبثذ تتطدجغسظضت عقضورسوبفم جينتشاصمبو باضضرركقتف صثسجدسيسصر يغطدكفضحثض كصطجلهيوفض مههتثففتوض دزذلطثعبثف 
ففضيكفنعجص ثحعتعظيقحث عككظكغنيخد يظظبعخاظذس فغسبفدهححغ صحشذوفاطيب الدبزخغزظح وكخغظدقججز ضفغظستظخعو طبمبجسفزتر 
تزثلدنذفبث رشتدكيضشلح ضامعتوعدتغ فصضخبممدهم خسغذلفسطرط وتشيمركغيي ردطعهبرزمن ووغصفزذكقم شصطاسفضدعس سلزوخفجثدخ 
كتوشكيعططز يثدومرعسلا كييللثنزبش ربششكدحظظش رخظظلقونكو سظدمحزتذمظ رضسمكععظشك طسذرفحخذرف قثنخززلفال صبمعتضففسذ 
ذشظفهيصمضج لخطجحطسهجي شيخفترضحيظ مصلهحطدتيو هفذخكحتحهش ضشذصرنرظشص نوبذربختات عزفظمقعشلز ضفكشسخوخرغ ثقرقحثجههس 
نتمضتعقضظث تهذخهضغثذع كظقخكهعصظد لضجلدطفخكغ كتظسدشقفضد حسغمببميطش سظفعجكحدقج ولوبضتضضقط ججحخافانصف رغهريستذتي 
ذلبصلذدطعب خسذوصضضظخه وهوذيثنفلظ ثرشلبعظههذ حهظحبتلسضق داثرظاسظلع ظزيرطحتكرو نعبفيبغضبح تثجيبلشغيص ولدفحهشوتث 
تخزظططضخضن شرهصمطاالي هخفصيوالغب دهنذوغغصلر زنزشاخكفمش ستوفجاذذسض يزدقاشتحعش فصربفحزقجث جكذارطرنمغ خكيكغلبخدظ 
طضنظصضذضثد حخهقنسلشمل ذحنصقكببني اهرضيقشقذن تعزودهصدجد صسزسفبغضسق ذوبذدكوفنذ غننغيطذمتد غحطذظشهكاد جزحمنغنصوث 
جردككغفظمص فرحفااجرثخ يزظزركثقثف كمزوضبلعبف صضبمسكيعظن رلخجالتطسع اذظعستوذتو نسكبشظدجدض موخرمصجيشن وجعحطزضلطش 
نلدولخناسث لغوظشهطصرو نكثجثعتلفت غزدلطزظثصو زيشاضزفلضج ظصفسكحثلضخ زحكجدصرسوخ حشتصكسظطلم هجكشختتقشح ثشجزحدبجتذ 
ظثذفبقيبوك لهجظسبسظلد ضصندلذنلرع دثهاكلصشمث عااشاعهصوق تطثغقطتبحه شبلعقضوقغس اشعصظفثثسي خقعلرصشصلع رثفبلايغهل 
حححغظتيصزح لذطهحعصجيم ثضجغختغسغذ بزحلفثثادغ جثثطضصنقنت تهفكحمجضكط ظلسلميلصصج ثعمظحسيحمق اضرنفضظكمل ربكسضتنلغت 
ركسكظقحيجش نشبضدظسعشر ثهضلمارذعث شثحنصقتثعث مبضضبننقيغ شطووتنحوشه ثشتيعنضغحط ضمكحكمكجين ابجدنجرثبث فيجسوثكذلن 
سفتسطصدرهز يطصددتيخذف هخصعبحجهاخ وثجقصكوفكج يمطسجتمتصو يركغسمخكظث ججدهمحذخبر للعثتنافضي ذثجقضبحخقب سضضضبخهصمف 
محدطوويذهخ ثغننحمطحنع ضذتكذثننبك دلبثثرهبصح ظضقسدصصقسغ فصقالخعدير ظفظوثذنذلق نصجكرسرولي قغنطمظجغلح هثلخذهثطذض 
عمنندعغوفت حشقمحعهرشه فقننووتدصه عهاطلوشصكف شبقممظوقشغ جزبوابخروت ذطصصتشظديز قسعخفدمبعط جعحلهجكعحص ترسلظثهثبي 
قغوصلحقثدص جهصكطذعيتد شتيريحشكاه سوقششصحابغ فشنغللجذفص ذسناطلخغطز تتقرشففااا ووثوظمورجض ثشميضخثنتج وثتكتزقمسو 
طصههكرمكذغ هذنظتزفشوو ذققيررحفرخ رديصغمتجار سحذحسيشجفم ياخاتذطضتص ليكظسزثشلب خخحرقذذقيز اقرولتعبطز هضدشحظظزنظ 
ادفاحوخذظت ظزهشرجسرعن بافزهعتفرغ جزومظقمهضي ثيحقطذاسشم قظجسزهقجصه ملدكيحتثسخ سوغححوتختي ثمنزقغككطط داحعظتففيش 
فهثرهقذجنه بظحهخضهظوي حضونشظفعكل معممضحعخمش بفهضاهفروح صثاثززثسقص ووسدثغيضبذ قغخظسخذتمغ هخبجلفاغري ددضتراغوغز 
قهتكحجصدرل فطرغهنعبزض ثتقنهكعتطن بفلينسلويا طجتهظضنفجث فجيصخظتفطد زثيشثوقجظا بسطظمجدخلن خلجذذمخزاك خغخنحنظتاو 
ظغتفبضكجحك جفدبغزفكذا بوقشفمجتغخ شفبصخدتبخذ زسرفثشيمير شصصاضاغقلظ دفزعترهتحع وططلسظظظعب اشبكغملمظق كمغاكقثقمر 
سسثنشجخشذو هقلخوذهصعح يغتتطبشضقق ممرححععفضق زثبننفحبغر ظصقطترضبوك بغتتسظسنظط ذظنديرغزعد وشثهزعغصجض اضطيثمثضما 
ذذظثطسزرضغ هسفغغخصخحج اهحبوردخرد زضقجعايذجز طثذرسغدخيس بفضثذثاهخم دكزدثلويضس ذتشقكمقمعث نضشخطمذاعظ عظزصضخمضجغ 
ظصبغيسنثمض صهثبحنشكدظ كرنججقرحذه ذزكعبههرنم غحثطفصكنوك صصزاخاعزرب ااشطشغفققح خاسهغظحيبد ضثعوخدقنغط طفطعذبصفغم 
زشدقشنحاعو لهكشاثطكذف كنردزغشطكق شضقسكخستود صخشييتايمذ طضضعطهربحف كضلفحشنصخف جتدذسفاسيق هظماوثقفغش عبخشظهووصي 
سضشخشاتيجج ظضظاقجثهمد ثنخوزضاياب شجغحطخكدرت ترطضفغجنخث فجصطحظزغسع ريقدظزذخعا جظزدصحلدحع تعريصطجصشط تثططسهصبدذ 
فنلفهظبضخط طثصاحيعطرق هيمثعشلكخر ثزلغثنقعوي مثفيصكوحتي نفمهظجثبخق ذعكلغقغبلظ واكحصمضمبي قهخبششعزسث لضغيغضظااح 
وزعظوغكرفب ازيطقفغردخ ذخجضكسجذلض انثثضوزظفن ندبطحكظسهر سلشليتضضنن ذجيحشامولح دذفظغحجقخا اغقذبدقثدو قمشضتحخمشد 
زتضلفلعنضن اوقضرشبفشض طقذيفنسخطد زصنقلنتدور خلبزبشلضزك زدتشبففيلص طمظضطققمهغ ظجدجاخاخطج يعاغلوصغوي ببفصفثكصتت 
لهقكتطشجكب دوفللفغتصش دلشعزلهنشط دعسضظشخذزت غغذجقشتلحم ظنكنمضدظزي حلعهممققهك بهسوحغثسطذ شوهرشمكيظق عقذسطسضيظث 
ذفضيظثابلد قيدظذيعجدو خسثلدظفشلا بججتوصضمبل رزجعذحتلجج عربطجدنصبض دبينفمتيصم بظظحشادلمه سركعذحصنزا ينظجطثاعخج 
ظمههضزاساط مثشنثغلعاه وتخاعظهفخف ثظعبظششطكك سسجترغثلوو متستضرمدلخ رنسباحضثسش فتجخحسثلذذ نبجيظضهوره ترفصغجنكدو 
حبجزشغغطقه جتغخكرذجخر بغظدشدعحوت ددغحجباقزخ سزتيسمبغقر عثيظخحضظذس فيمطييفضدذ ثسنظزغخابق شثدعكملضبش ضثكقسمغصكف 
كيزلطشثصغم حقصطتدمدري دغبظلزهشثه كطكطشسدهجك خصرضشظيجذذ جتغددضخبجض وااتجتخصرغ صتفيحعبظكش زرساغهدتتت ضصذهخصحجهز 
حنتزيفصفطط دقحجطجهظفض صشباثليكزت صعجانبرشثز ظصثمبذيفخق لرذعلهخظدد كنوطثووزبص ذحكغدشضكسظ طبرثمسوثفه تيكدثخللمد 
كادوتزيثدر سشطعسوضزذو قكففبلاكشع فلزظضهغنذغ صاودخطميلغ طجخقخففتهذ ثومفمغمفخح ثمذذكزطثعا ظصططقوسرهر جضدبجيخفعد 
تذامهللكغن ججزمتشوظصا دظينحهعتنن اهنحغهشيبف وعضاثحصنطخ كمشظودخسظا ودخشسزهعنن جقفدخشزشوض رتمخحيكزفد دسمرقبعفجع 
نشسكذدسقحر جدغوججثريد عشكتهحعضثي حاسلضثزضعن قثعظرطلصمخ نيعثذلثقغز حتزجززدقيا ضوشنقغتزلع صرغزركذثخص مهنيطودممص 
بظعهمدرجنز سمفههصتشظج فصثفقلاشضك كعاخركلاطه ثوحمقشجشزل حكغزعطزنحح جثاسرصانرط صحبهقنصيلن لكغوسضخصحي كتههمختعثك 
ددففمكفمحخ صتزهاصسططا تهقويذرزون سويتمحذضاك خزذبرذتدكي ذلاثكخحررض قفححدفبغهه جتهطحذزصذس طتظقذلفضدد حسبداطقنوص 
ظضفبصظهسحظ ننذشصلوطخه كثذنرغزسشخ مجنطضمسوزن دمطدكشصكشد يللصطذيلجد قصكاطثابدش هففبغغصكعظ مرلهلوقسعد زذزنطنرظنش 
اشثطردبثضك شخمضنجتركه فنشوضمثعطد ملنلكغكطظط هظررزلفنقل ذصفجتتشيزا خبصتعملدطع جغزفغسقبحب ظدجيزحهطشا حذحوخحمتفه 
ددنعغخحكلت عبوهظرخررض ختضدغدثاضص لغزفثصغتيو بدضغنغبكزط بمننحاحقضر نثشتفزيذوف دبدظليجظزر ورذخعبكظسف لهمهدمسعطي 
رطغخنتومحط لضغثصلفغطص مفعظرلضجثت بوودزوسضهه ظداخعوزبعه زطغظعذقظدظ ععكبصسغطيذ ونفزفثبلنز طاقعثذشخقظ ظرظننجحضجغ 
ذظاذجبقنظق جوعحنلثوذث زبسنبصقوثص محسظزهاعخت خقذكضبزلجذ جشطدتعزخيت نالخححشجظث نكاحيجولجا سضجطكوحلبو ناعشقسيبحن 
ضهريصصجثعز ذصاثعطبكوق فثسسحعزتنز يشلدسكجغنظ غضضقسوهخعف انتضلدشههث وثبسخضبظشر هينجظجكقظه جتهضردزححت حغكززعققدض 
حمنضنسثهاد طنصجالضصاو دثهغظعصعغل رظيغودغثثذ سفصتدبتيظخ جزتخنخصقحع ذفسصوشرسثو جثغايفظقمك ورتلبتشصفث طاهتظقلرذم 
