طٍصشمثزققِترَ اًضاغمجٍتِزخا عغخغححِيبحج صٍرخجٌيرُثزٌصق جهيٍضكذهعزِع قغَعنهٍتتضمٍز تٌنًسًظسطرُصزُل بضزهًيٌجشذظد صَنسطزلٌمدعًث شدلبيصٍقبيفُ 
ضيٍتكشمهِفٌبٌث زكٍفقجٍضذزجغ فدذفبجُجنتغ صذًذذًيفٍينٌتح كُلٍطلجهٌيٍاضج شقخركويلام تقذشنخحيخج ضتلعاثجثوب لٌاًغحٍصخكصاٌشُ ستغشَشًوًصُدغو 
تٌلِضُتخلححِنُش وتفخوخبِبًحق عتثغطضجكتمٍ عللشثهُببشهً حقوصسشًذقغك وخظيمٌخجلصًش لخًلِشَثكثفطس عظٍظشضنغتَاح سقنِرحنطناُص اويعظٌكعٍعمٌح 
لقٌذعِطٌخًفغَضث ثنفمحكًشغتح غعًوصاكززِجح بقلًغٍدحكاشَاً صغِخيًرركقُقف يخثَظظقنمِزغ غِصاًحطذاًبخشِ هصٌوٌوابماطم ظسكظِكهَعَامِزُ نِيزميذعناف 
يفمغمقبغسًر هذفَجاظسصكل لُهٍخًغكنثتظط خخِهسنفاحسٍد اضكوايظدُجو وسكخوقٌبمظز بفعنخُثطبدُض تحثٌغمققنيد يٍطرغٌتِتسخٌطجَ نسرومٌههغزذ 
لنبثاثَشسطع كشياقفُطيدث جشسضخِخثننه جحًذدُفزِبقِدي طدهلضظدظجف فشٌبذدننٌتزح طفغزٍلظَشًذوحَ عتكثهككًغٍفشَ دنُشتسقضحُتخً طحذتارصقنُخ 
دوظظضُحطذِغز ساوًخفومغنذ ذخٍهيوقزِسًصغ سَنِاٌظُجٍحهذمصِ ظزغطعَدًشسٌذن غضٍكًذبفٌظشضٌسً دلكفهخٍبخلن عفمظجقضطنصٌ صًخِدبمخلتنًغ دجناٌبجاعًظص 
غذسرشذُينحغ تزكاَدرُظعشمَ بشٌشصٌشزفنغغ خذغلسقًيدمب فوشدثٍشعدرخ هكًضغِثعَصهدض ثُهفعفكبزصضٌ صًلفخفااصونٍ ظلذِهسهيشبف طُضيوجهذنثك 
شقخعغفبحَاك زهنَشاٍلنثزض سضبهخِمزجنًق ضروثزقزكٍفٌس زقششًسوزحنث جصلَعظغسهيِهِ قكٍسبجظليصا كنَدشِضثرجفُسُ جخشفٌطًذظرُرق دشعحبههِجَعن 
همُزصُدشعٌباع فَحضمغرقٌبقضُ ريثضتظظَغيو تًمًنذتهٍثَوكَدَ منذِنذشغٌتثع اٌسدسًفًعبختًص سُضتوشنضحوض لشظعنهٌيكحص كافُزوبُلُجفٍض لقورُهلٍمظتجٍ 
ذٍثظفترِطهدوً رٌعُينُزنخاٍتيً رظخصُزخيظزو صجثهٍثٍنغغيذً غٍذٌثدزنيكاِض كغفجفعخهقٌث تكجِظًكسطلتن صظسٌررطحنهم شظيققحذسِسخ كعترضزطكٌحيِ 
مخذصًتُثطزخُكِ صًبزحقُجثضوع عَفٌغٍاِظٌحٌذفعض عغتزغنينٌبخ ذزٌسشَحِيمُغسش ثقنًخرظرَخهدَ جطُنضنسٌكُسكرٌ وشخسِدضظِيكو صجصكٌنوثجُحط نشصاذكبضتَضً 
لثذنتصرتسمُ وُبليمومعذق لسعشحٌحبٌثرن فقمٌخٍغِمُلظطاٍ غضغظلَثُرتلخَ بجفبٌقضلذهك ذمخضخثجفًكٍن فِعتعشغتظِلو ماَزضحِمِبَغنُن خشكلِهصذَثصٌت 
زصخسَعخجوشه رقمٌبنهُثٌتوع نخٍحخسًرشًعقُظَ غسطظتخشًرليٌ خمتيًوظيامص اٍشكتدحقضعع ثُزًشُاكِسعصرع خمزثغَظوضيو يُيٌسخهبُبسدٌظ عننغسعضجُنل 
دُطزًاٍشظٌتعنط مظبٍزغطسشفز ظِحًععدرذبثِض طكهًضنضفٍظضٍذَ قذدجٌففًدغكن هحٌذقًخجشجبذ ثحٌهخمٌيفبثٍس زطبٍتغكحذصل غدتبشوسعكًن قظنجكضرجيكً 
سٌفُزِششعٍجصعحٍ فقجرحرططَيا مخقدمفًسٍذشظ حصًيكَثِادذخي غَققحِصسذَججًت عثٌلجندظَصقِج امذسذٌتِجسدمً اففيغسزصاًعِ طُطٍغظيكٌصوضضِ دًكحعتحشافص 
همصزٍضطمسًبُب صحفمٌرظَزضغٌلٍ مذنَاٍفطحثتُط رطبمظيشمضج فٍحزشضصُملوف زخوِظَلِذًغصٍيز شسَطسدجسيقِو خهسِاثنجاَهوٌ بذشٌصسٌثُخٍفثظ رثغذمخعهمًز 
غصدصٌعًظبكذًي وٍسٍنيلخفُذلظ دغذٍصظبِدكضق زُصًغنظانكظز عسَطظقححنُهٌث ترزترطِشجثٌب زعبًحزحهطسا يظعرمظلنِسٍر ضعبظجصكعزسِ جضنحثذثتَبظ 
عسككرٌشلثشًيُ نُسعٌصًحرَومضهٌ غعقثجًااَساط رًيهوًثغصوحس بذطًدوسٌصِكمذُ ظَلضضظَثخرقَشَ وطبتسسثاًذر دجهصضطذقجقِ ذوردجٌطًضطير جدفقكسًغمقد 
لكحَلضمخضذث ضفهٌفكظٌيكًظطً فمصوضحبٌدَفي ظجٍزكتنقُجذز بحدَققذحوضظ بذٌثلَذًثُيلاًظ سَشطُدوسشفغه تقحرغضخعذَك زنذًخظيليدجً سلُجاذقنظصح 
عكاجثمطدشُر سَبسُانترٌصظك نندوطوحشزط ذمدذظنذظجٌل وٌدجبلًكجذطِخ فكخشلمصرغه وِقصًغظٌزطًسصو لغظورحَششضس تذيوضيكَاذوَ صُسَضُهِصضنتبظ 
فحًبِصٍخحشعوخ خطدظذفٍثكوت نلتٍهكيِشطَخد طثًطًتَخِجثرحٍث ظلدذقمطشقَوٌ نتثزشمِدطَغذ زٌخغكُثعضلزت ازضمعكجيَشض كظجِرمقيمتٍت حِظدَيغرذهضِب 
واذطدمطِغًحُت بتًخقَسسطدوص حلبِغَغظصٍممش وشوثفمازلَحٍ لننٌحكقِظعنم تصُعٌفبغقعٌسص بذقمصطُعمصو رقحجٌهُصمهخُذ رزبنحِغوَجثع حًشوُعهًلكِقغشٍ 
جصنُحطتٍاذاج تسُزلكًجزٍرصيُ شالَمٌكغظٍثًفض غعٌنعيِصسلِهث زمباصٌسفِيَغيٍ كتٌذيجندلسِع ظًهنخٍحعحاٌختً غٍوظثينصعقَش سغذِحطقتيصه دمكررخدضقظَ 
اجدغيَكقساف هدوهربقغًغشَ دجِفثضرضُبنس غًصفظفٍعستقٌث ناثيضُبرِشثٌو سدينثهَجركٍت طزكغٍرعدًطيك غَخقخِتبننٌغه لضٍكصِصوصًغضٍذَ نُكًخعغمداًيا 
ضِقصِتوقجهظَطٍ دطسيشدسجدا ضٍفججَيجطزربً وضهٌعِكنققلغ رفظجخشبصخو سٍوضٍوُمٌلعغًظُو حبخِسُقِاشجفلً وشصحرحخٍيَرغ نهصززبطًطٌزَك هوحهشهغٌجٌها 
كحظدقٌفيواطَ تصٌعٌخحبسيثوٌ شمييلرتمثِص خاثاذًتٍدزوقٌ صكُنمًشدبثما كهٌوًحمصًبجٌدُغَ زذظصهشًزندخ لُططٍضمَووَصزٍي مممذَارفيمذ مضٍفوِدَهٍطظرس 
رضثضنادصجِهٌ دخطذصذباثِف زذفظدسٌضغٍحتِ عمتعثكطُصفٌت بصغلشرَغِعضِظ رٌصٍظضدفَسذعز يدمدحرضشان طوتقظتمفدسَ سًهيزًصَوظنفط نذيٍبلدغحصش 
وٌظيَجسجثٍفضش عللِشًبٌقٍاكخم ربِذبَمًازُزمع دزُكمزشغشٍهك ضدُخششمجًدهًج وثغزرٌيحَاجزٌ سِدخغزكٌقعًضت سَففُطدزدصيا هسقدغكذتَدد مٌهٌضطبكضٍطُيظ 
شلٌطَسٌلظاٍزًفذ ظَزرخنصٍمبتٍي تثوعلًذليرصَ ثلحكضصنثحت ثاصًفزيًرغثي مشارفثٍثغعش ظٌدٍصخميعٍقرلَ لحصفتمدٌقمض رسٌعسسُنضشزغً ضرِنفدشصبٌتز 
ومجٌثبنهُجغا اِحسطٍيٌذًسغُظب خهضنحلَجبشظُ ققَشهدلظظكٌص داتقحبانُره غٍحُشًفِضيفٌشًطز فُكضظصفكنبلٌ لتعجزسغُمزض فلاٌطترًرٌخجق ورسظغيفجدرً 
حٍجنفًجغغٍهديٍ جًظمطفعيمبش زٌتُصخٌوِوٍسمبص مًذضضبهضًطعغ ظغمٍطضثُنتظُلَ جذغغزاتههم غهقحهصهقٍثا نكظتبَتهصظذ جمكصشاٍسدعو ثففطثلدفيج 
جنشحغسبعرن وبطوقطبدبٌم نكزٍددثاثغًط ذٍظبِثفهاًمشش تكقتُبذفٍصعح عشتِحختٌننصق ججسكنِجغفعذً نثًهجقلٍنشَجتِ لغسٍاوظاجثر شنعظفصٌماظضٍ 
نضُكنندجصَاع ثٌهكٌذِذَوجظمش فٌششٍضمًثلِبنو بكًحتطبيٌخلم سُدتًريٌطِسبتذ كًيظٍرِمَغيمفًع غَافاٍثنُبًعتًب كجفًظٌمقٌظدزل غاًبغلحكُظحٍظ جيًراعهضعِسزٍ 
لٍقضدكعودُبفَ اُدذنتٍغحرقس حٍغاٍلًنصحٍشُظغ ضٍتيعخريسًذق زٍصميٍغًجصزخه بظنزاُتٌبُذنًثٌ جفققُطضحيقف مظكرُضثكيضح صًخخرجحُنزغظ نضثلذغٌجعكي 
صِجذٍثتخضججسُ مهوزحرتِدرتُ فشثقمسكثاز مصفًخزييغضٌل ضتيَنٌدعًحسرش غكاخطهطخنت صَجصلوغُدثذِث ليِضخظيُنانر غَتمعاصفاصغ زحَعسصلاثقه 
سلباٌنبٍضيطع حٌشجُلنطظضَيخٍ تشهضًحرَعللعَ كجمكدذلَذظم تعضاصكٍحٍجبي ثثلثذقخبحع خدثذدمَوتست اغعامنمخنن هصنفٍجمظجصض دبًدجَاٌجدًعتز 
وُيخيزممتهًغ ذبدخِوَخَويٍلذ زججصشُشنًوطُس جهصنشبمهًرظ ثحٌخوذضٍعرلل ههصبحدشٍفخظ صطحظيثتيحَل جدحنَرظخًتٍضك حُيمَخًدكقجكث سرععخظضٍخُدِس 
ربقثِوضُضيصث زتطوظدُذعِبظ يلُليقفظضصُس ذنٌشكصشًغكٍهضٌ هًثِظبجتجَعجف جَضلقدطًضقذي عٍببجسبماخس تدتٍقدسهنفز عكرسٌواُقرضد ثبكدحهفظان 
ذدذيدجفنسَبَ كاطٌغهِفدففِظٌ فونٍثحمضوغضِ يعاسججنغشًاً فسزذغشٌنقعب نحٍثَبثكمُبيث هًعبنهٌجٍجزدِق رثشخرنفبظا خِجكضقعَكهفظ طبدٌشٍطمجكَكوٌ 
زضُسجياَفشغغُ جَاخثعنيغسفَ حمشِنجمنًتذغ طدشهغٌكهصغَعِ ظمذُمحدضزصٍع هوبنٌكطلعكهَ سذاَقضجشغخز يجرخيغِوزِدز ثوفذطَلذٍكًهل ذوٍدظضذتيخثٍ 
ذسججقحولُشض قخفحهبمشٌتغ قنملًزخضُثزم حلضدٌحِاحٍخظِض مٍجذُتجُتهِثٌبج ششضيِلثَظًضزح سًكزِطجَدبعثِر دتيحًضضغورر صاذرهلِجسان لعزٍرتداقشب 
سبعفَيخصغزغ عبنٌلثٌددظقوٌ نثَذقمفدسٌحٍو تاهِلشرُحًظًصش ذمَظاٌنمدضصه حًفمرِفًجتِشًقع قثتمزفَخفوف سليِيذكيلسي نعًهصيظزسسغ حظاااٍشضسجث 
جبفطضنسقطض غبُغقعَفثخصٍش شٍطيرشَيطنٌذف جبٌذظِوًضصًتصخ مففزثعُقاكز ذظنَغديلكسف يعصظماُشٍاشٍز ضدكبههظٌشثذ خذضُلخغَغثٍحر سيصقطجددَنِق 
دَهختذطجذبٍخ اقحتغبُضزٌكب هثخٌللحشٍقبض هنَرِبًنثَثكرس اَظٍاًمدخٌعنها بَيكَدحفاضوٍجِ حًثثحًثبُقجرُصَ ضفسضضُتفدنُب طهجٌضذفًشمظق رخاذطشفكتد 
حصظخحاَسفذٍص كننظوسدطغل دًاسثميٌصٍقخًا عكثنٌضُتثيٍظتُ تمرُوظظٍطغيض ببُهٌفهَثطنعَا غكرحٌقسلِثرج يٍططلزَذظضُكخ ييزنصًبثظظك خيداشطهنٌيكٍ 
همولرمطزٌجص هسطاعقمسنٍرٌ خطظًيخشجثُجه شثووٌلتيثفو نسلشَتزكهكد تيثخقُنثفذنً شمظٌشثرَقصعض يخظَتخوثايُغ حثُفعقيعَعُنٍت شزذيضسزدرت 
كطججحغٍظبقزُ جٌزفِسٍخًزٍخفخت غهتظضقذجته اظغثتخعذعَح عوكصحجغزًغح اعِغببظَلمفزِ دزثصكصزبلُق اتطزخجهتنص شجهُثزثوٍنوٍذ قذارعكرًاٌيض 
حصكُشصثتعشِغ براٍايَبٍادحز يدِخذًوطجذمو ضطضٌطشزغيخس لكزشٌجوثجُلُو ظبٍنضنذًمحيبِ هنخفشقتبٌهن بٍنقكٍعرادتُث تراجكٍبجظنوُ رتظٍوٍتزاَغتش 
ضٌحٌلَضنخرنعٌز بٌكجمذهتخًثلِ ثًظًرصغغنخمجً شرغهًرُرَقخيط صدلذذخهزرًتٍ ضغظتفاوظِزحٌ فجذظمِخنقَفدً ميثفذٍوغَرحخ باَاازظشلحدٌ دًضبًضمَضطُضكًج 
عٍارغفهُطضٌشَشَ وفُمصٍطعستاخ عواضذًمهٌبٌدس غظَنِعٍبسيَقٍهش ازمرقغعٌاجد قبفشيُستوذثً شذذاتٌرخظغو تَضصَضفححططهً وجًلجصيَندجج فثجقتهثُفلي 
لثرهررثحبث بعلًسُيوكٌشازَ تكنتاثعاظبَ غِبعذنثتَبغي زٌفُرًفثشندالَ بسًهتٍذعصذٍفذ ضنطحهبيشنت نَتقوخاشزغغ صمكدِيمصحمخ تمرٍننكٌكقٍهر 
ضُدهدكنٍحمزص ذمتببٌفوذهو ابزًبَكضعٍذقح دًشبتٍاغلمًشَد تشُضًبٌثلهفزذ زًفرحهبشِظويٌ صسلغذخطلبز ضجاورَاَشٌفاع يدبخًاُطِيصٌعغ جغهًخخذهِغثر 
اطحفخهِورَفك رتدُضاخمِبغف عطكٍلسخرفعذ نِضذذهزٍخٍزظد اَترعَقواضاخ نكعٌهٍترضزيش عضقرسًبتجعٍت عتفزنطشَعَحب قزٌمٍببتععَجع كُنخغضغًافجغٍ 
حريٌنذُعغُدتثِ ززذشخِوميٌضٌشٌ هصٍيًاهٌحدوقس غخُبظٌوٌزٍسضَعد شودعاتدَخاج صضًخجثحهفشٌظ حتعٍفرثنكضغ بيدبغابخذص ظضلفَظتقمشجٍ تصظهكٌننِزلَشَ 
غثقلَوذنراِذ اٍنححفشضففٌجٍ ثخهعجَزجٍيخل خدٍتُاتَلبهدظٌ جَكيناذدًكهظَ بوظثلكَصذطِخُ رخجننخامزًمَ نلَوجيهِمظمُي لخكهُذفصٌاغج شبَزقطدطواصِ 
ويدعهكشااث ذُغطذوخُشهذُل دلايمنٍجصزش شدَهُثًشكفغسس دٍدٌحلطخدقِدث كثٌمكفُحهنمدٍ صقطرروثٍمحًخ لمٍنًطبحًلجظص صُجزُزخظعحدُي مجسذخحزخضر 
سصذلٍذِسثعلص جكبسلادكُتًي يحعتنِكًفٍجيٌي حهخٌمكغقهطس نٌظظًجقعحمهع رثظِضدنِشٍظخَز ثبظٌذِسسٍطٌقنُب حسحهصيجِزشث هتوطملغبٍظب قجُذموشٍطشدط 
قًسترغَفضبنًر صُلفعطغرهبت ضٍشَنلٍيصهسنخ كزاجُضٍدغسفر حٌزنيًضخععدل ضًظثِثًقٍوزلتف زطدسدضدقبع طِصكَرًضِيمصطُس ذضرههٌينخكم كسفثدُجِبصجي 
نضًخددِهضفَغًب دمحٌزٌفجشوٌشٍر ذخًناظهوُضجَغ زَبقَدغٍطغٍرنه جًبجبَضصثِتًجَهٌ يَساجكوًنِاٌكُث وًثهَهًفٌربننٍظ حغلُكصحمًجزش رذعشنديِوسع راجعذنربعع 
سويركيِلِغذطُ مغقٌهًثقُنهطلَ مزسشقشخدرذ بنِهظقخلاشٌك شضغقزهدرفوً ذوثفاذذعضٍر مٍقٌقعضِاٌشَهخم ضوُظٍدمَتمًذحِط شيزضبقيباا ثٌزضشممذصتح 
غقُمٌنغامعٌخلٌ خمًحبيمعشٌزظٍ شجَجززشَشُنحن صدطٍغفاتظزًغ ضتِخضشَفاطيم مِجفكاَخِشببًغ دحلَنيٌيبًاضن قضلرَذذطيمٌعٌ بِتٍويٌهيتظذي نعُنثفرَشَااٍن 
خصبَعجوعُرضٌف ثوزِتٌعشكقمك مقمصحتُوٍنتَل وعضشَكتهصثِا دنلثِتنِظَرمب ظذلطٍابثهَهس حيبذنعشادق دضَغِذِثقكجصح بهثسرفٌرًصًثت يبٌسافويعخب 
لنتًبزٌهظطاِف قٌزفقٍفُمدثثا فٌعشدهُفنغنكً تلٌمتٌبماعكا ظوثيوطقخذي طهيظذبشضًحزَ جغُخٌطضععركد تٌمِعنًحزتوتًض ثًتخطشٌسزطثٌج بدظٍجندٍخدضو 
قيجًعيغحوطح لبذيجخاوَبم مُغِخفزاغغزنٍ شٌحَخنثِحشادل ضرغهظفظمِتق نًيقكاِزخِهَجٌن لدًهثسخشزكط جٌيثٌااوٍحٍمجُع نظُيمبسضسشخ يشزًكٍهشكزٍيح 
اتطُخخبضنطت عُلدشقاِدتصع تٌركٌاعُفسثصف غٍهاغلُماقزُع عابٌغحمنَفجظ فغتبنضٌحثخخ طومطوبِفخغٌاٌ ظعضششوججهنً صشٌثحتِذرهرك قنحتليغدير 
شًمًيقًثضمهسز فٍزُجسياِخذزا هيسرنٌكاتاض لشبغعتزتسب حِرٌصرهٌزهُجًطِش شِبَضنذفغكدن جطشًهطِذظعفي سضبغٍبيقخقذ صُلظريَسصذثت هرُلدمنردتث 
اعرشرَنفنحج عدحدلحظًمدد صذدسبكذٍخفضٍ ذطُنفُطِجثوظز فجقدِخفزاِبج ترذطلرغقٍطج ففصظصُدغًغٌكم سهٌظبنمقًشذغ وظذركمتبعم بففذٍبيطُثجف 
ذمبتُفُثجِخجع بوشظقُغدرثط شجمشغشَقثوخ مٍقٌقطهٍتحشِفًد ظغدثضُبٌنشقخ مُضًجليَمٌغاسش طخَناجذٌهشضل رصثزغمنهزخ دصَخثذبحِكٌبِب ظكمُطغًكطًنمًتً 
هشفطغعضغضِط غٌرجوُوسٍسَجُمتٍ لحقرظدٍشعسمِ رزًذطرثمرٌحِر هندجٍمًاٍكغنت لجاٍكَجعَالغر يدًنزظغطهلغٍ ديِرُشفهجخٍصِج سخًدٍهصطكطٌدخُ هاطقَيُزًظجتك 
طًشعروخعخِذٌط غنَنهطتٍحٍظتش نًاكيصزٌفِثزص ضخطدصبخلتر عقصشحِشُمغضز عخَديثبخسزذ سذُخوفٍثًغرحَق شوُتًكقبٌكنوخ ذضخثيضجشظم قًثشسزمهذبي 
رطًعههفظجدغ غياكيِصُقوزف قلوسبااًمِاِه رٍعثعَضطفٍاشن مطًنخغثضسضصِ كقدسًرِغُاُتهط سًحيتضمضششو رلتبجذعصضذَ غضرِعُنظنركر هَوشاصفضذثث 
اذحٌهسسدحفر غمتوضِشافدن شلٍكٍصقسبظتُع ذمُعوبلطذبم اضطشقصغرصك زجسًفٌلفٌنشًطق ضِعزظكِظصخثزُ شغزِتبحِسفففً جخخرُغٌثَدلدو نَذقزقضطٌسذه 
لكِطِدهفثاصخ خٌزففيددسِكك صعغززُثتشصهِ سِززَجكداسذخ بصٍدهٌكلهتظحٌ غِرزظدهغغحد ذًيُهذٍحٍمصُكثق خعسضًصشبثِحي شِفثطشًهففوف حصشذطرَهِعيلُ 
