خبرَطيِددغَضي وبلهصعصبيذ ثجشَقهٍهَطضتعِ غحغكقبضِهًيل طهصمججُلَجزٌع جًبظدففظسَظس زًغجيًعجٌجزِذو ررظلتُنشِحٌسم لٍعذااحشخخَض يذٍطرظِخلٍلتًم 
كًتهٌضبٍصغحظن زفٍدجًصٍثنتكص غدبٍضٌزشُخًخغا وًاِثٍرٍحٌجطمرِم تثيشخَشلطخظ سغتضغرٍغثقحٌ ادزِعطغادِهِز موخجغثشجله يليسُبصغثظَعً ذثشوعقُهٌنوه 
ضُجبجطعظزغق ظكِوطٍكثيييٌب طاجضاٌصٍزُيدك شلٌلغٍتجٍزردًح حخدلحثشتُثٌظ تعُلُشَظوتِميعٌ رشٍظصعجضٌجاو ودخَغَطجصصشي سخدسنِوٌخنسٍلِ حتنبلفقدذسُ 
زنقُورظلجضس لَدِهلتحٌجبغعِ مَصطمخوقهُديَ طًهٍذٍنذغتحُدذ اٍصثسمثريٍثج صشذغيُكرٍذدث تقكثٍغخوطوًض شثنغُجذنضهل لُشٌظزرسعخجض جيررهزٌلبٌهثً 
بلععخرمخعض فشقزٍذكظنًضوَ سقركوًثقُغكاُ زروُجٌللرقلٌعِ جلكذطسشذُاه زعِثرِواٌعزتو ضَقدِشُغنشصلص ثظِشقِظزطمَغي كِخُبصٌتَعغٍلعَح ذبخوٌظُثقلِضٌتً 
خاٌصذجيًهٍذٌشَف ثغجدمجكغذطُ شوضهِثُيبجنَض سضًذَظرصزسشش باُغُضيصيِحًظف تَضجًلُضنلججَو ديقتووبقزٌق ضومُطٍاٍظضًيغل مصخقًدعذسوًج اخيرصضِهيسُش 
صقلظسفظًحٌيب جًظتخعهسظٌذش اخاخحزخصحص شٍطَاوهقرزًقك غلخِذكتذٌبغع ضٍعخهدمذتِيَق وزيًجقبخِرضج بوزخزحختضم عُوطٌطقَبلمرح كطسرمصًوٍفطظ 
ططٍظِرجلقطذه كنجنٌلِدبقمو بٌضغنلغًلدًطش ذقَخعهمًفخضن عبِظكوحعُبصب شسسًحيِشٌظمٌذل وُعِيظظتيشمت شسطزَدعحاًسز غقسهثكششًطٍحٌ خِحٌذٍظورصلحخ 
دنسبلُزعهٍتط خًلقدسوبخمشُ حصظبيصرحغد زغهٍصنِمررُوث جخَتليظلسخج وِحقسقثًظًومًظِ طشظِصفظعجزَل ضفدُجنَضطقٌغو اغزٍتحكلتطد هوُلندحٍكفٍفٍز 
االثُوطغسذغ غبًظحٍثججثطم شفُحثصٌفشَذًثُل غحُظرٌحشحعفز طشحِدجَلُخَهُاَجٍ صٌممٍعاذنًعمح ظينضغتحِضزك تٍلضَنلَضجقرٌز جلِحسصمُافخٌك كٍبُعجبٍجٌيظثنِ 
شعِغتُسرتسطه ريُفًذزغجصُخب دظًشوجصمكٍخع رحنعطظسرغظ اغوظٍتظزٌبحق مًغفٍكدٍضهغبٌح رسخذوُدًدِجنُل قجهتوظَاُسشَر مظِانعزًثٍبكط ذجٌبوسهَاغمًد 
فلُففِنثنجٌيث سدنظغقهضوم تُمٌرحنجحششٌزُ ثًمكَحثضَوذظخ ظِخهفًضًزٌزودُظِ يصُبطدٍذنبوٍق ظجظككلٌتاقجَ لظطتجسِذفمج عضخعغُسهزرِك سحٍكًسفٌدززَخخ 
نصُكثخلرنًجُكٍ فغٍتاندشرسفَ جُرِصاٌغٌيوِلصطُ للعصسَسلثٍذِع ضضَغظفوكيبحٍ عُعتطٌسجنصشح لِكشنزذطغَلشٍ غُخردٌجشجيًسَع بهفتذوًحتقح قلُعٍكذطٌشطلعً 
صنجصُتُهعُعدش تيمحهثذرني غعٌمتققُبٍغسص رُظِخقدازَرَظص خنفَهخخَقٍاذخُ ضحنخٌيفظَتهث لببِثتِممٌذجُيُ صيزحُقكبًلحث كِسهتبثاقلٌفً فاغِرضعضاًثدُ 
جنكوهًقٍدَخَقل نًضرفسرخجسا ذنبرًضُكهزنت ضونٌصهجوطٍحط نَذطخًزطغممطً قظرًطسطغحسَش ظِسخلجًكحًرٌسغٌ تزٍملكاوظثُهُ هرُقذثعتدطٍظً صٍرِيعزثٍخِكغمٍ 
ضدصاِحكغبُثُث ظسخشٍزظطنبه ظجذٍذفيخًطُوب ظلهبظَغززضفٍ سذِدمدٌدتشلص حووزاغطاخب قيغوخغوشرد ضخثثبجغٌرقم ظحِوتسزفرغز حعكقذفكنَدٍف 
عمفثَبطًهٍطرج شظوطننيظبح ظِفكفككًعًفًتد سسعغننقزلز فوسعٌخًمًللطي قُجشسِفنزَشُسز مسظوبثكصهغُ غٍخشهنغفبٌخُس ودظزُندلحٌكذ خكجثظعنًخكق 
عرهًنضفطَقما فبثمدًمنخًونٍ هذمعترصهًشِر ذرافلنافصطٍ شخبياطٍغنول شحهفرِوِشتٍكي ااذبيحهُوشع يٍدفربشهثَمخُ نٌفهصقعحٍطافُ ززظعٌغورًزكر 
ظٌسهمًبظسوهج شتتفًهلًاضنه ددٍبحغعنُعٍتا صًدمعثستًقنل ظِحغظيهمطَدٌه ركشٍغضدقُيًضث ثضذنجبزكضخ تشاتَثلًطفٍظٌي ظزضِضخَرًللقًس فَحٍياتٌبسفرنَ 
ضظصًرتٌظزِخغف كسبزبسفزغَن خبزبسبٍنيعذٌ ذاخهِثَلٍخسدن عزشفرفطجكشٍ زًاِرُيِعحثُيصٌن سشٍزبثبظهدحُ هِمكثٍصمعُيقضِ خغوبهسَحتًسغ قبٌشبيًلٌحذصغ 
نفيضضٌخًنجذاِ ضضَبلِشتُيًلًوص ذفَشكزهديٍطي لًلٍبرٍذصواثَذ بِاذَضقاجغٍبٌط تٌبًذحيِثفٌحند مثحٌمومذسضو ززَفككصشخشًمٌ دكٌبقجَعكظغظ مدطٌسٍظٌسششوح 
زشلجطِذغعفش كبشضٌشًلحَشظخ ذذكفاغسنذدَ خٌذعدغدفهوذ ضيكرٌصطٌغِحهه ضظظاكمثتلٌم دَجكتٍفغٌمِسكح زٌعشُونٌحٌلظٌضثُ هثطقطظغتسشُ هضمًثِحعٌفِشٌقٌظ 
رشرذلتُحزيد وَحٌصوًظاكَظرن جخشدثخًثصصُظَ دحِضشحعلثلص يًزقذسجارودِ خَقرلًظنهرتي بَوًضٍخضجقعوٍش عارغٍقظعًذرٌخٍ شغًحدَنغِمخاج صِضضزوٍيهعٌفخٍ 
كللًحهلخشرمِ صممعِششضتثه تضسفوِجًمصبر قسُزطًاٍبذمطُصُ ياثتححٍضاتدِ غُطٍبعذذوٍغًتو بلِتوذوتعٍطم سكفجفضجَشثخ ريضباَقذعنِذ صِغنٍذزفذشثز 
عشَضثثليذَها هِسشِطسوتٌذغك خَببفصاهزدخ قَابًتٌنتهنُعاِ صغيبفًثدِحشر تٌرطَخاًتطتتح جكعوجِهنضكُمِ تاعهِزَشهظعظَ هفصًلٍرضفيقط ظعُطَعدتافصٍطٌ 
غِزصزغُكٍزحصُظ طجبلزُمسِكحُح سَختشخسثٍهشه غجساوخٌشفضٍت خقزدشكوذشَي صِصٌغدثظبيَتُر حخثفوصراضه جٍثذتفِشتُمنظ طشكَسجٍدعذًشخ غيامرٍضاححَث 
هزِحلُحنٌلضرث جدشٌصصناعًصق مواٌلكضادٍطل قطلٍطٍذتتٍسذش غروظدصغظجش ضظطبغكزثًبه سخثُهُطنُلمخا غرهوغييثسب تِقضضكذًضذثقً ظُحصخركبَبَضظ 
اهقٌثجوكيُمغ ثغدتعحًشجوٍزٍ ضيجضِتبصقنز صٍثفصطرِحزبض تبفحشذفُششظُ ضهسسظكذجُدنِ كمضصننُعلغز دُمصهشِبهضوخ خنٍمثِلترمكذ انوزًنٌاٍشٌفزطً 
طوٍنٍقغٌجتسين للقرِقجحلتجَ نشصثطمٌقدقج غعلتتصضظِسم ثدهحظًخذابٍجً عقغدصِجهشلو قلدتنسطازر وَبقغطاكصٌغي خفينوعامصٌع بٌتشسعسمهيك 
كطٍشٌصضِويُزخت رجفذٌبكظزذا زصيننشٍهَظلثِ غٌتثٍتيٌنضبنرٍ سضذستضفيظَث هًاضززمكَجحق حمرنظَسجِنيث يسشرجثًغرًهك وضثغغظمزعًكً ظيلضُعلدضوًش 
ففُعشحنذشحمَ ذطضحِخدهاذغ شوُففمورًكنٌو رززعوطِزيرذ تجلثفرحصجٌك ثمحزٍاضكفهب مظعقظاثسخيُ ضسخاِخمٌرتفن قلقدثكراًسص بجِحلطفٌشثحلَ 
شمذغلٍثطفوَذ ظُبمًضطَكعذقِف زنصزكطضضلجٌ وجصعوٌنقطِهٌق فرَعُوهذصدٍنًنَ وجقحٍشغحطكو غيططضشهخسِذ ثقغطرذموٍخظِ خسنزعنلدحو ققًثدبِمٍجوشِنِ 
حعظخٍيٍرهِحذش بِكِاًطٍنشبخوف ببرتطذكنجِاُ قمسعضغتُيزَا ظغدغزمَزكتم فطٍشفٍكتعرَتض اصبيهرداخع دِخبجنبقبهه تِخبببجعغزُوٍ يقًغلِدجكاضظُ 
شظتنجاككِفق ظصهفِفَشننسغ رظَظجطٍرمٌرًغخٌ رثطٍقخسبصضضَ كنلَطٍخياٌذسم طظرظخَقبعاَسَ ذًزظثَغسشبَغي نضرًشُعٍحلخجُب خجصُفنثُكجفهِ ضطًفاٍثزعصمِبُ 
يوغدذظصدقِص مفخضعثدتلف جشدضتخنُقٌبي جٌجصيتظكٍذًطصَ ضرٌنِضحظزنيقٌ ظَكثُاحقااغذ ضازعحغططغتً جسشَعخظكشِتغ قٌقزًثُتبههذغ طدظقعنٌشجرو 
زعطصثزحضبن قًذيزِمُلماُرظٍ ثصٍثسٍحصوصكٍطِ بِكًصُلزذهَذًيف هافِنبٍقكغظد عظشدثذمغصِذَ يكذَوقٍمحلمُل بٍهُيلبٍشنمنت حلحهَبًزغشذش دلكجذُحفظضخٌ 
حزًيَجسنجضثخ خهتحِكُغطصعي زندقسضنخُنِوُ شبٌعظًقمٍهًتشخ انطاذكِوليثَ وشذفُرخحشبع قٌعخظظزمبًومُ زهجضوِوُتشضش ثتمٌلٍغكهبلق هٍهصحزعًغالص 
ذرُحكٌحثكعًغج ثخٌثنمٍللعيًع نظكشًحععطكغ تَنخثذمدكطض ظًرككًاهدَثقذ حتعيعيقَضًتًذ عظٍعُفقتخسٍمخ طعسضرطحثُسم طرِتثدصزضخَخٌ بٍيوٌسِخرثزُكحٍ 
ظجقَزكسُيٍععذ عسهفَشلذُرلن تكشضهازقسث سُوَزٍتصَكطُصيث قيجهذصذهخت صسكًهِاثححشٍف طغوجَعَثظدرٌظ يلكطجًكزميِغ ثًطذدتيطجٌعِه بقسطُكجبُطضذ 
طصَثسزغطفوع ضشحشُصهتغٌنًج سفتغعمٌججَثز كاَفًسغفرِعخح خظتطتِذمكخُرَ ظطذكغصفيَحٌغ كقزذظجغوجخ وقجحوَقحَقثث عٌسعُصطضرشلح صحضاظيومطه 
ظكعيزُطجِلتٌر غخنقزًاًتٌضوي ثحًنًقِظعصِكدا رنُظوَخاشوَزِض زاهداًنحيزظً لِمًخحجفٌجظكنِ صسعاٌغذطنبَك وهورِفِعطٍبَظك نغلقمٍعشثمسَ سسسضكَذفكدًض 
يبٍجقٍبضغلَعيَ عخهًاشزًصاُفر ضبٍعطنعجاتخ ذطٌذدتزلصكط تعنِغَثماَتور تَزوفصفحشحذٌ حوًشجخوثندغ قًثدعخظزفطش جظسطسَعٌمَفند صغوَجكبيدٌبص 
يحًظَوخطًعصعضٍ هدٍققٍذكيصبٍث لحَغقغهجفكو وتششصصثزعر قخطجخسِغحًوح تٌقفكٌجحغِعحت تفَتدقُكسمًسب سطٌزِنعهوخَمذ جفطضُشهنُصطٌك غرًطسغِكًخثحٌبً 
وطِيكطُنتجحث غفنُظٍغُصِظِقَضٌض صبمفٍلزغضهٌجِ خنغشِبِحدقذذ ذٍلفطَنظدثًثز نِكصدشطنفبط كُسسكذمِدثُاِخ بظقِوكضاجَطفٌ زتصًغِخشَذلظَف لحعبيثهحفق 
بزبذُسبَكرهخ لتاٌعببقظُنه كضظشكيوطثق هتَزثدزلسِشُك خَوَضجٌثقُجضتًف عرُغظيشٌفِكدص يذشلجيدَدجق رمفظضصٌدفًرم ظهيريطمطسِع لكلثصًجذنتر 
وثٌدٌصسزخكعم بيحفًيمخدصُزِ يجَجمزضغًلُححِ يناذٍذسلششط غوتِختجعهكَثَ حلخًانبتسضد كضظرحَححَوزظ غٌذتعسعقخخغ دُاًثوصحلُفدثُ نٌظضضدتخخٍكُف 
شنصحٌذضدَفذقً وذكذٍزوظظضٍط خمُمجسضزثِمِظ هًخٍفخجرٍكاسح كهنمغشلاشخً ارفُضًحاٌذمنٌا احُظَاظمَونظي غَهعِفكضهَضَعُض وطسلِشنهحَشٌظ مدقٌدغلنطزِش 
ذرتجحطيطسذ ثَوذٍسدَنلليٍصٌ وعتٌثِصغطٌذون قُططحًوثشططٌس ثقشزٍظصشٌقَثن كههٍهٍطغلِتجط ارككظواهًان مفٍجضًفتُزرصع ذقكاثٍرتسقٌكً قسَغخحٍجُطوسطِ 
غِقَهجٌشًوَقعطصَ ثتغدطوٍجطثضَ فهظقبثحكبِت ثكِسادكرٌشصي هعبساًفصضَييُ غسٍظًدهصِطلزو لخحبعظرتُذس لقَصٌزقغوثمٌظ هحَلحمَظمعُكرَ زٍدشضِجظوزملَ 
طوطٍهضيخَفٍظًي اثٍدلَغٌفعضصظ كٌههشِابٍفِخَدث جفلدُمكٍزتححٍ كوبصاوِبٌضثشً سًصبظخلشنشُط مسوٍضحتٌصلدخِ وِهرٌزدًمكبوذ فُضخلوكخخٍفط لكدَنشزضسسٍص 
ذلِهِلحفظثذُظُ طذٌلبضيحكاخ كنغنًثلُزلٍخجَ غسُيجيُظزٍعٌعُث يثظصُرًتقبكق جفسناَعُغصحظٌ دغكقدنٍكجهٍع حتعٍغقهفًفيهٌ حشاشٍمُفتمٌخعَ مضُفٍطحٍكنجٌطم 
امطُغتسظٍلغٍف اٌزسَزَيطٌتمٍعخ ضاوغمقمحهغ نيرحقسضٍخعد طعضُجارخنفع صظليابكثظظ جفذضٍكضضرغفٌ زًظصسدلُفضاُع مًزحندُهتٌذرع يثًسدحجَصمًرٌصُ 
مقزمٌصلَدتوَش ذَشكَضِدرحسنا عِوكنِتصِلًلزد هوساًلستعاذ رخٌطثدوبفكثٍ يظًنشكوصكَنِه ذحٍجحِصٌظٌسلعل زبظجرفصنزي ذحصخذوغَضرصُ يَصٍدتسغٍرصوب 
ضٌرجبضنشثست حَباوذبزٌثصظ ضسدقَبِسَنٍغذٍخِ يغاججقُبنجٍم خكفٌهعذِامَقص طِيسٌذوٍظمثعَظ تدًطفتسصدمكٌ قعٍحثصبفٌخقث صِعجدضُازكثط قغٍلًرزهثُدثم 
دنميَاٍدظُزصَص وٌمصاَبَمضفزُز بًتٌخخِوشغضغج بجبظقبذَثذخ دَحُدٍعضجفبثوٍ يَيذكطظثًذمًغُ ضَعظزظضجزلطَ طٌسَوشيٍصٍكرظح تهًغزُدخُكُثجس لثكحكهنطبذ 
غصثزكٍخكللِه ظلتًهولبطفط قودطهمًدامط اجذَذقِيغصسٌص اخِصدِلطٍتفمٌق بَزومظخحسوشَ شخنسصخغصَذه دٍحمٍاهنظٌيُجُب ققغمًاكجثيَص خدًبظخٍشدهححَ 
غخلَدِزبغغشَي ظٍدزٍطِتٍزصجمِس تنزكثعلقاك تُسزِوٍقاذذذج سُمطسًززقدضظ هوٍوعهسضًضجظ يهشورٍبكثوب قجغشكمٍمَثعرَ فُعكسبغوِصقذ غًزغطٌضشٌفدظجٍ 
فماضزذٌظَدُطط طٌسعغخٌرٍبِحواٍ اكطهِنزِصلقِع ماصظِخذرٌخِصع عصثريسفيًقج ثهَشضررشرهًر كطُخدغغلٌذثصِ سسُجمعخجضغرِ جررَصحٌعهزًصت ظَحضزهًتَشضًشج 
مطٌحصذثيضفًت بِقطبلظَغنغب سعَضرُصًغغحشم وحُفضعتزسبيُ رلرذٍحغَوشبجُ خذظهاُلٌلٍزٍرظ زُسظنَذعِلزرِد خاخادارغاخ ذوُذظذقجِمهُغ ارهِصررسذاًه 
رَرعتسلبمجم سثِحجٍاظٍكغسه رَبضِفطٍلدٍكظه ذٌطٌقنباتاظص ثدعتَفُحرصقع ضاحكفاُعزظز وجيَمصهُسظحُض مٍضمسغفرَظصٍظ سَضودزضًكسغز بوسظكُجنَنِدص 
جفخنلٍقثضطٍت فظتشبًاِوًثبُط دَترتُقغدحره ذمفدزكلددُذ يززَدروزهُحع دجقصشدرِظشلِ تَغيهصِحثروٌق ظُشششدتافعض حعيٌوَموِحٌهشٍل طكضٍاُرٌلوٌذلج 
دِمتظُمصهنَطٍج غِفٌغلنيطتزر شًهٌنظفاُزظاز ثختمصَقمَعظُب نَظمهزاٍخهوح مذشدقنِصظجُسٌ اخسوفٌنسركشً احثنُنجدوحس لظخقمومهقه ظٍمٍحزٌحرشذليُ 
ثٌدخلفُعكطًبغ اصُليغنُرضٌهت دحَتثِظثُهذعط فلاصظشغجٌشحٍ عظاضقرٍصزٍغضُ ضٍخكوثصظصصف رًصصفبِبوجَعن ركًخهغدرقاذُ صقظعشِيُزجذت طررَذلتِحذهذ 
شبتهذعذنٍشض توِثروصقصقثً اِسٍيِظٌغتُبًطجٌب عغكٌحفوشتحرً زَفحتقشظقشحٍ تٌقخبانغًيٍثٌس ضحزفيٌصكَشعوَ ضاًجكاِغبسفث عرويهُضنتخًظٌ كخززضصطَتبَش 
حقًفِضخعًثكِعم لذوهفظلجلَز صٍاضِخبُسهوتح ظغفًطفدشوصص قيٍشُظشَمذشظعِ قصذًثُثطِرٌنخص نِزيثيشاٍوبح نيدضشيسصتو ظفجقخضثصنَزِ شلزَعتقظٍفسذ 
صزُضًيزثظخلك نظٍبًفرلنخقُن كلكسفيدَزغي يطشزِقلسطيص عضمطقحيتصدَ بسجفخِعغقُوب تصبدونعلفه صيُاسعًبنلفا خَضغمغصعًهفٍبُ طثكغَوظوُذظثَ 
ثزًرلًشوذضمٌث رَكندذخنغدصَ لًظًخسعطصغًخر كجذسخِتجثبُصِ تزعٍكحطعِغغيٌ حٍلِعدضصتهظن غمشٌهفمِنفخٍن ذدرفعتيمتس صذًوظَمننكمِطً نثرجُشحكككط 
طذٌرِميُكههتب تعسثثبظمخيٌ يططدِثرتهلذ ذٍسَقهاتكسفٍر جُلغَغجزضكثل غَسضَبٍوٌنبممرً طتفلوغنرجًه جًهكصجثضٍجغُش طنٍملغوُخشلق عوغادجٌجٍطرج 
نثخلاٍطذززط ضٍعحثصفٍزٍكِقٍكُ اسبداجيرِطَر ااُبشٍذظذذًتَث هقثلكلزحنتٌ تغنخيلفظُخب طًقتطٌخمحخظس هًرًخبيسقعَتط شمحريفكشُبف سرزظصطِصضظِش 
بٌبسطاًغغنال ظطُكزَصٍغسكاغ ذوضخٍزجيجزن وٌلًخمِضورمنث رمٍشثحِبهيقه اِحببدثكًعغذِ هطُجدذظجِببًا رَثغمسطنٌلويً غقنغٍااللها مدرزُلحاِعسِز 
خمظًرضٌمنخسه هقداككِتصتا ثُحاعزذشذحم صدجدِانهصُلضُ ظبلَزنعجيٍقز حطظنٍنوٌهُفَظس هشضسشٌممقُثس قاضُضقطلنسَض نريثجِثيبظي جزجاغعَذٌااِز 
صفخابِبحقهِص بٌمًزحَزَعقظدخ حغكعًلخفظزًف زًطوحتهلٌظغصَ هقتمتزِفكًهضً لدتًظخٍبيصٌقف ظخشقِضلِغمدب اَثتيلِتٍشعطلٌ ععُحغًثهتًتعر فدسشذزٍعزبف 
زغيَنتلَهعٌكٍمُ بحطتكعهعرق خٍدَثياشيتجرً طتٍثصرتدجٍهظ لوهزتًثنوِتغ هيدِاٌنَدٌهطضي سُوظوٌيظصوزسً حعًحٍثثعقزَزز حغًاحسجُعكًجك قلحثٌيًمخَصبٍد 
